method,n,tr_time,r2_test,tr_V0,pval0,tr_V1,pval1,tr_V2,pval2,tr_V3,pval3,tr_V4,pval4,tr_V5,pval5,tr_V6,pval6,tr_V7,pval7,tr_V8,pval8,tr_V9,pval9,tr_V10,pval10,tr_V11,pval11,tr_V12,pval12,tr_V13,pval13,tr_V14,pval14,tr_V15,pval15,tr_V16,pval16,tr_V17,pval17,tr_V18,pval18,tr_V19,pval19,tr_V20,pval20,tr_V21,pval21,tr_V22,pval22,tr_V23,pval23,tr_V24,pval24,tr_V25,pval25,tr_V26,pval26,tr_V27,pval27,tr_V28,pval28,tr_V29,pval29,tr_V30,pval30,tr_V31,pval31,tr_V32,pval32,tr_V33,pval33,tr_V34,pval34,tr_V35,pval35,tr_V36,pval36,tr_V37,pval37,tr_V38,pval38,tr_V39,pval39,tr_V40,pval40,tr_V41,pval41,tr_V42,pval42,tr_V43,pval43,tr_V44,pval44,tr_V45,pval45,tr_V46,pval46,tr_V47,pval47,tr_V48,pval48,tr_V49,pval49
LOCO-W,300,80.62420582771301,0.7184487720572225,1.0,0.00020085837403460705,1.0,0.9905035483307372,1.0,0.13127961090850837,1.0,0.9997897786478664,1.0,0.39517302125954246,1.0,1.2470978808298838e-05,1.0,0.9960252541922436,1.0,0.0015866851289422224,1.0,0.8840619619069046,1.0,0.999457508410262,1.0,0.0004279895121815924,1.0,0.01772877656990246,0.0,2.1068490389075656e-05,0.0,0.20276230815273266,0.0,8.445784017629965e-05,0.0,0.2654561770907379,0.0,0.05266305216809075,0.0,0.09116739813955044,0.0,0.9964546852070914,0.0,0.9828187373791244,0.0,0.9970344436526334,0.0,0.008454486730244182,0.0,0.029455043308077355,0.0,0.9874573511106581,0.0,0.01287193336549819,0.0,0.999841495390701,0.0,0.9970631864485501,0.0,0.20188228875925907,0.0,0.023766372280551895,0.0,0.04586581675300161,0.0,0.7387607158055898,0.0,0.9830236230374293,0.0,0.15536650676988262,0.0,0.7414151483512812,0.0,0.0002767651277872929,0.0,0.09647221045478971,0.0,0.05118613540854655,0.0,0.9999058145721367,0.0,0.9901328478147375,0.0,0.9999903080681598,0.0,0.9787451103143248,0.0,0.23880946132345915,0.0,0.3655647877826801,0.0,0.997669830295435,0.0,0.9789695839805861,0.0,0.06491536568636391,0.0,0.9382476761644669,0.0,0.15036552749658705,0.0,0.5056416450844223,0.0,0.505245512922676
CPI,300,4.377161741256714,0.7184487720572225,1.0,0.034621293285900405,1.0,0.1437426655034889,1.0,0.011296362216842049,1.0,0.016229771157900783,1.0,0.7790204680546108,1.0,0.057268369842790115,1.0,0.053071673751065335,1.0,0.7857757973399566,1.0,0.042873884864782406,1.0,0.004109614102255911,1.0,0.020642001852652112,1.0,0.07280811855976174,0.0,0.020166654548621207,0.0,0.09955928826232169,0.0,0.6592872544147936,0.0,0.2070674848581242,0.0,0.9660534315608503,0.0,0.18722680950898485,0.0,0.04200029954705725,0.0,0.09571637037067171,0.0,0.4796121374879462,0.0,0.011877819648285487,0.0,0.02284890332050353,0.0,0.008750952877425463,0.0,0.9133282174824467,0.0,0.16827745006988487,0.0,0.12578930150489487,0.0,0.03520176513680986,0.0,0.672152595342944,0.0,0.5174913781919052,0.0,0.237959130840044,0.0,0.9376493254274106,0.0,0.24915610474965066,0.0,0.3107743858702062,0.0,0.4028194079354498,0.0,0.7878982130278636,0.0,0.23864251339051,0.0,0.23287389256033675,0.0,0.6104599320187968,0.0,0.7485995456748777,0.0,0.5505170607270855,0.0,0.09309321292225958,0.0,0.9185078014524475,0.0,0.3919785487649883,0.0,0.635124294805094,0.0,0.5278645244565972,0.0,0.7710785052379631,0.0,0.38208035274823404,0.0,0.2586008638279617,0.0,0.7823016894117345
CPI_sqrt,300,4.371209383010864,0.7184487720572225,1.0,0.48591525639460326,1.0,0.4487910940086973,1.0,0.15285335030793118,1.0,0.4957147553548298,1.0,0.4952481196996288,1.0,0.397946466493827,1.0,0.09468051245905762,1.0,0.495984066114379,1.0,0.46048210010701546,1.0,0.31961790986889405,1.0,0.08768895427525092,1.0,0.4153594419836074,0.0,0.48152750638100583,0.0,0.49502271668381126,0.0,0.4887199171494716,0.0,0.4985183070628108,0.0,0.5486715244991892,0.0,0.49400559972151364,0.0,0.5069619997872553,0.0,0.4812581312683712,0.0,0.5321536150229106,0.0,0.48193394159757347,0.0,0.4746788757626592,0.0,0.48706964727103635,0.0,0.5042329323836933,0.0,0.5020630612637718,0.0,0.5080316227070496,0.0,0.5024143275143566,0.0,0.5420021527203269,0.0,0.5820104866698881,0.0,0.49806975197465014,0.0,0.5232195001382371,0.0,0.5255320529002345,0.0,0.5052548565930817,0.0,0.476462591866217,0.0,0.502873284190838,0.0,0.48410207402990524,0.0,0.47324238994899226,0.0,0.4971367581703195,0.0,0.4980709012023277,0.0,0.49949653375278746,0.0,0.5038249983221542,0.0,0.5059303604283979,0.0,0.4859927942966557,0.0,0.5304488281575644,0.0,0.5065510552006842,0.0,0.5170551950661078,0.0,0.49894334585467903,0.0,0.49602919697135717,0.0,0.5202980341103555
CPI_n,300,4.36249041557312,0.7184487720572225,1.0,0.41155169057804725,1.0,0.05225364254177569,1.0,0.01398984938475803,1.0,0.5148735542911479,1.0,0.5765324569084533,1.0,0.2860605429560569,1.0,0.021722580141657826,1.0,0.4427752980188876,1.0,0.24061893023092262,1.0,0.01990405475772653,1.0,0.0021400741853915624,1.0,0.4578026601619718,0.0,0.6600241198252201,0.0,0.3805542261111804,0.0,0.3476525285683487,0.0,0.44163575549788975,0.0,0.7253688758230199,0.0,0.524163779879175,0.0,0.48933894914208464,0.0,0.530471504773808,0.0,0.5173892915340789,0.0,0.3577667334975616,0.0,0.2514065969164924,0.0,0.43897629967211577,0.0,0.5475504217275702,0.0,0.4515501248614897,0.0,0.5148967879451471,0.0,0.522829974080216,0.0,0.537987938913924,0.0,0.33137453280289597,0.0,0.4950182129551405,0.0,0.6719638662911034,0.0,0.6782602952840942,0.0,0.45222391662662575,0.0,0.49081879288420033,0.0,0.4733167734574566,0.0,0.6344927869252588,0.0,0.3510286334640822,0.0,0.5771587903194193,0.0,0.5090694721555549,0.0,0.3899093377541527,0.0,0.4565582034926764,0.0,0.5126859413765538,0.0,0.6021155457271774,0.0,0.5163009536559101,0.0,0.4585147345608436,0.0,0.7727784143985241,0.0,0.5018264793303543,0.0,0.4878061449682729,0.0,0.629315610250468
CPI_bt,300,4.55035924911499,0.7184487720572225,1.0,0.02004771824012348,1.0,0.14386615241631406,1.0,2.428109021277815e-10,1.0,0.08718436523996714,1.0,0.4714245142505825,1.0,0.020117067697985658,1.0,0.033535116565240754,1.0,0.8925677488045056,1.0,0.06613334124979772,1.0,0.0002441408734715993,1.0,5.869399149510384e-11,1.0,0.8465072871263692,0.0,0.2689451531520618,0.0,0.3816820055687346,0.0,0.46776776514462576,0.0,0.5298827976523892,0.0,0.9424468508343805,0.0,0.5363340443275999,0.0,0.44752305044204244,0.0,0.20189091973670092,0.0,0.7649504592399341,0.0,0.17497106280839508,0.0,0.1386866817795666,0.0,0.5102886236727958,0.0,0.5499839883677153,0.0,0.24582609423613105,0.0,0.7063384522744173,0.0,0.49054532952814794,0.0,0.6843765896132994,0.0,0.7918987527255059,0.0,0.4543724336159686,0.0,0.6234241254080752,0.0,0.1726206273413532,0.0,0.518993585965848,0.0,0.4001994935415757,0.0,0.4228587521347551,0.0,0.21400686146352838,0.0,0.08841088511002931,0.0,0.5618051755772105,0.0,0.4982296671548406,0.0,0.4987430586385326,0.0,0.5147858667807773,0.0,0.4996106169068532,0.0,0.3442422473607365,0.0,0.8088939458626734,0.0,0.5167775933363526,0.0,0.6471026228864226,0.0,0.3072353920468654,0.0,0.4696745141455765,0.0,0.6331066711506215
CPI_sqd,300,4.557280778884888,0.7184487720572225,1.0,1.4778556360794528e-199,1.0,7.79412009538737e-07,1.0,5.713816628295195e-13,1.0,1.3361405383844595e-154,1.0,0.5248433891965073,1.0,0.0016355846304424747,1.0,0.0018007825187758616,1.0,1.0,1.0,4.3177949867743497e-103,1.0,0.0003116539256231692,1.0,0.004308589324922498,1.0,6.487921993926268e-136,0.0,1.0,0.0,5.041030773469096e-79,0.0,5.22780517886817e-79,0.0,2.154112977433894e-48,0.0,0.9995882990156686,0.0,1.0284385309632137e-51,0.0,0.4717074056256081,0.0,2.8491102147380905e-30,0.0,1.0,0.0,1.7434524144342284e-10,0.0,1.6666378208758963e-152,0.0,4.1856169583586517e-103,0.0,1.0,0.0,5.853616785057006e-88,0.0,4.2754826544642024e-206,0.0,0.44645491971371515,0.0,8.914229137562668e-06,0.0,0.9999999999999996,0.0,1.4826227249742547e-11,0.0,1.0,0.0,0.12990610354206455,0.0,0.9999999999999997,0.0,7.519277340145117e-15,0.0,2.8623860640885068e-33,0.0,1.0,0.0,5.240603131562337e-66,0.0,1.3009495246829499e-70,0.0,0.9998422359216489,0.0,2.957221278009578e-52,0.0,0.8912800198683399,0.0,0.8709029841416094,0.0,1.817218229185454e-51,0.0,0.00031289910492062644,0.0,1.0811766530806664e-226,0.0,1.0,0.0,0.9999997694028951,0.0,8.510629709639735e-07,0.0,1.0
S-CPI,300,4.794238805770874,0.7184487720572225,1.0,0.1998443988311593,1.0,0.15710366150748234,1.0,0.00016386776266097744,1.0,0.06998601740282033,1.0,0.8024614925201461,1.0,0.27422422330660423,1.0,0.07072965342373619,1.0,0.5070386643333397,1.0,0.019201330411568213,1.0,0.0013828625677852902,1.0,0.02773485424771587,1.0,0.2740930447289266,0.0,0.17328874917235348,0.0,0.6180131294748162,0.0,0.15428821147541644,0.0,0.2154296432456494,0.0,0.9298946670817301,0.0,0.0778364619687485,0.0,0.6094990675737639,0.0,0.28431398112706496,0.0,0.8268549195836261,0.0,0.0398810212448756,0.0,0.04969078215588045,0.0,0.05155076930266338,0.0,0.8019822049472296,0.0,0.19309713652778143,0.0,0.23195064020480638,0.0,0.6641651918808131,0.0,0.6437323958312156,0.0,0.7244598682492167,0.0,0.3282951680141475,0.0,0.9752681101377604,0.0,0.5390923038448294,0.0,0.6823529648726909,0.0,0.4628148929340979,0.0,0.5029067162941447,0.0,0.2388401300835038,0.0,0.08503673957819408,0.0,0.7724562141992457,0.0,0.7358817024258033,0.0,0.29793805390503364,0.0,0.44825968327674137,0.0,0.8527263552912695,0.0,0.32970702398767215,0.0,0.7900204102973936,0.0,0.42092782823958047,0.0,0.8744881539126962,0.0,0.21328512539239158,0.0,0.2607928651852631,0.0,0.8374167559823781
S-CPI_sqrt,300,4.798368453979492,0.7184487720572225,1.0,0.4187492061549623,1.0,0.38453858489931414,1.0,0.13834262801323022,1.0,0.4665947100671425,1.0,0.5117329736885048,1.0,0.4806004046413873,1.0,0.1599506558639866,1.0,0.5260150240787795,1.0,0.3998086711047249,1.0,0.12879771870282547,1.0,0.11143795440778492,1.0,0.45850353073509864,0.0,0.48503563487131585,0.0,0.5029255495376831,0.0,0.4835410903024798,0.0,0.49343038090499214,0.0,0.5930800263756038,0.0,0.4770955004895188,0.0,0.503942582102536,0.0,0.4836706976393461,0.0,0.5324268351185385,0.0,0.456576653425445,0.0,0.46904618800728853,0.0,0.4871751464788722,0.0,0.5115451939713299,0.0,0.4806476064700279,0.0,0.5098785791470899,0.0,0.5052501791749776,0.0,0.5162730921040617,0.0,0.506541532017739,0.0,0.49983312622018866,0.0,0.5147081481387785,0.0,0.4844669389603218,0.0,0.5109768195009304,0.0,0.4936480189321393,0.0,0.48607043709130504,0.0,0.4694770911821239,0.0,0.4274556498857781,0.0,0.5084189185918764,0.0,0.5008372544970421,0.0,0.4821312337204992,0.0,0.5099794587642179,0.0,0.5228183112698103,0.0,0.49749285541615734,0.0,0.48946935155204874,0.0,0.48876090620616097,0.0,0.5392361095290297,0.0,0.4845941144398066,0.0,0.4946381609358232,0.0,0.5266809728084089
S-CPI_n,300,4.805185079574585,0.7184487720572225,1.0,0.21245306669470881,1.0,0.09170874303124582,1.0,0.003932853216891705,1.0,0.21511716210309112,1.0,0.7375909431478987,1.0,0.20480213340633857,1.0,0.08319961216195515,1.0,0.6246828831643092,1.0,0.11309546261279657,1.0,0.005266445962674029,1.0,0.04016758368938551,1.0,0.5364480721962721,0.0,0.3269598113745815,0.0,0.394036296475855,0.0,0.3255086155700265,0.0,0.3331584266704988,0.0,0.7963889493657723,0.0,0.3976085074519121,0.0,0.5088166157110244,0.0,0.4160708978110936,0.0,0.6770995885483045,0.0,0.169954957403611,0.0,0.22734614890494348,0.0,0.378848127737408,0.0,0.6136447252884144,0.0,0.3767062414559729,0.0,0.5508576086968939,0.0,0.515682024403647,0.0,0.6370858137777013,0.0,0.5836924926328553,0.0,0.48697347766559074,0.0,0.6083038531876258,0.0,0.4882802475610096,0.0,0.4781053208193667,0.0,0.4770361463111437,0.0,0.6140998370738375,0.0,0.41436377886509146,0.0,0.1760431601784791,0.0,0.5587028853293643,0.0,0.5097635060261864,0.0,0.5602725532152392,0.0,0.48113601760934993,0.0,0.5620656168701079,0.0,0.4399503454215956,0.0,0.5373979326359823,0.0,0.5120587849716348,0.0,0.7218130186686096,0.0,0.43854303410661105,0.0,0.4815563379018955,0.0,0.7006258831571215
S-CPI_bt,300,4.996443033218384,0.7184487720572225,1.0,0.3740197373300653,1.0,0.0002497917256754465,1.0,1.8776262895659008e-07,1.0,0.12962298278000106,1.0,0.9210358488798471,1.0,0.0855631408432061,1.0,0.15135819596385713,1.0,0.6407431285158807,1.0,0.0114221633881181,1.0,3.339013208898456e-05,1.0,0.044153912625198626,1.0,0.106343126085986,0.0,0.6096727850551845,0.0,0.3739516668280719,0.0,0.3121825696559853,0.0,0.3217733486743111,0.0,0.8186471072979358,0.0,0.35105482578779135,0.0,0.4733674249976106,0.0,0.372460019499549,0.0,0.7800870134974682,0.0,0.15164740876113436,0.0,0.1502013612703303,0.0,0.36291081268412617,0.0,0.5758513117784098,0.0,0.2587161153014934,0.0,0.6095267730883631,0.0,0.5396364215104781,0.0,0.8801629765956772,0.0,0.7462201837699692,0.0,0.457586721608572,0.0,0.7326672556691041,0.0,0.4670794320104084,0.0,0.5007753941430321,0.0,0.38611684657914797,0.0,0.3257897551080716,0.0,0.2867551785501882,0.0,0.050933200312136696,0.0,0.533242037398507,0.0,0.5109211719918418,0.0,0.4980253512033614,0.0,0.7440387739313169,0.0,0.5617567159153146,0.0,0.36968011355592434,0.0,0.4299442187364236,0.0,0.37150022250244996,0.0,0.8634848974831517,0.0,0.31139665957650364,0.0,0.4937329865892794,0.0,0.7486002052750041
