method,n,tr_time,r2_test,tr_V0,pval0,tr_V1,pval1,tr_V2,pval2,tr_V3,pval3,tr_V4,pval4,tr_V5,pval5,tr_V6,pval6,tr_V7,pval7,tr_V8,pval8,tr_V9,pval9,tr_V10,pval10,tr_V11,pval11,tr_V12,pval12,tr_V13,pval13,tr_V14,pval14,tr_V15,pval15,tr_V16,pval16,tr_V17,pval17,tr_V18,pval18,tr_V19,pval19,tr_V20,pval20,tr_V21,pval21,tr_V22,pval22,tr_V23,pval23,tr_V24,pval24,tr_V25,pval25,tr_V26,pval26,tr_V27,pval27,tr_V28,pval28,tr_V29,pval29,tr_V30,pval30,tr_V31,pval31,tr_V32,pval32,tr_V33,pval33,tr_V34,pval34,tr_V35,pval35,tr_V36,pval36,tr_V37,pval37,tr_V38,pval38,tr_V39,pval39,tr_V40,pval40,tr_V41,pval41,tr_V42,pval42,tr_V43,pval43,tr_V44,pval44,tr_V45,pval45,tr_V46,pval46,tr_V47,pval47,tr_V48,pval48,tr_V49,pval49
LOCO-W,300,22.762928247451782,0.7249541318778994,1.0,0.3317803522820302,1.0,0.6625035120484803,1.0,0.9928941451816553,1.0,0.5644060475861792,1.0,0.6107943129747357,1.0,0.7659467478317084,1.0,0.8245606803913388,1.0,0.7765674615005262,1.0,0.8884757924502743,1.0,0.7505491309890637,1.0,0.268390654024385,1.0,0.22447129155403012,0.0,0.9341886791450662,0.0,0.5586615800155441,0.0,0.9742011769991223,0.0,0.8206750940304368,0.0,0.9360551249718428,0.0,0.6136104737777119,0.0,0.8335722093333278,0.0,0.9133368487533586,0.0,0.8885970690554703,0.0,0.513133113917497,0.0,0.6087670457986842,0.0,0.40247536660463,0.0,0.8887911144802794,0.0,0.2575638305409452,0.0,0.8943418919638061,0.0,0.860611562907303,0.0,0.3458757062919482,0.0,0.3220449502363649,0.0,0.8771459153532569,0.0,0.5196284018446417,0.0,0.4881022565719275,0.0,0.5460120140359292,0.0,0.8064319639115798,0.0,0.14737514627193327,0.0,0.994621771909091,0.0,0.3228305398359086,0.0,0.5783886701623635,0.0,0.9822198615324867,0.0,0.26654664996940713,0.0,0.9191789340818999,0.0,0.351998973175361,0.0,0.8801912820681939,0.0,0.8526318650276534,0.0,0.765219107042479,0.0,0.9335885838372628,0.0,0.6712176801238499,0.0,0.6776558506977683,0.0,0.4769382210183768
CPI,300,4.032566785812378,0.7249541318778994,1.0,0.020398027907515878,1.0,0.0016582688226045132,1.0,0.00015903363468359967,1.0,0.046485392207315304,1.0,0.0013778250851834008,1.0,0.08678195519847048,1.0,0.038208931557657186,1.0,0.5704815314370194,1.0,0.9626601973638493,1.0,0.032896687850237874,1.0,0.022817522945557077,1.0,0.3594049927499446,0.0,0.5851513398924513,0.0,0.7909236841246572,0.0,0.31714330217105646,0.0,0.15673962163345695,0.0,0.17953101221447199,0.0,0.1010176254128855,0.0,0.40535801094051405,0.0,0.4338033653621172,0.0,0.2716115479979477,0.0,0.5612707258266428,0.0,0.0968729521931645,0.0,0.7403738992442519,0.0,0.4951223642457954,0.0,0.3047443121752802,0.0,0.11466473475238864,0.0,0.519568822252415,0.0,0.1029945104822852,0.0,0.01993300574051972,0.0,0.5868649161239424,0.0,0.7939530858842616,0.0,0.0729120196150658,0.0,0.2835474327676163,0.0,0.5306703091558834,0.0,0.8821119600656807,0.0,0.7759907706509617,0.0,0.4270375823191256,0.0,0.24786480013322143,0.0,0.5493917290019652,0.0,0.6143098924575682,0.0,0.9566143332963132,0.0,0.6446494989790679,0.0,0.5234894048259849,0.0,0.4255865614400333,0.0,0.8887495700470653,0.0,0.6371304265636453,0.0,0.34013071505282383,0.0,0.579902483925079,0.0,0.04802919581740277
CPI_sqrt,300,4.016093492507935,0.7249541318778994,1.0,0.005483599719751702,1.0,0.0473600915518992,1.0,0.00273643667455101,1.0,0.45511788008629905,1.0,0.4631446520121717,1.0,0.3704510765826664,1.0,0.2616512443921285,1.0,0.4002208248948957,1.0,0.3765565898480004,1.0,0.17570638366315527,1.0,0.18035163615015387,1.0,0.5191056492200761,0.0,0.5172653224800374,0.0,0.5661759212878266,0.0,0.4117226935450742,0.0,0.3732302753381881,0.0,0.49077475102004986,0.0,0.5488456048671624,0.0,0.5368368139825835,0.0,0.6159520983130907,0.0,0.4478608978421368,0.0,0.4902213340552381,0.0,0.4832892198651308,0.0,0.5453162856259925,0.0,0.49528258612068554,0.0,0.47074946226796566,0.0,0.4123597332357525,0.0,0.42285512885702803,0.0,0.4046636523596889,0.0,0.41834939094494383,0.0,0.5074366451938843,0.0,0.4192296123268724,0.0,0.4062943497754477,0.0,0.4555732957805107,0.0,0.454996348677529,0.0,0.5781451102365893,0.0,0.5215467800788067,0.0,0.5491319051276833,0.0,0.47796996997336627,0.0,0.5434152987405023,0.0,0.47383017663136073,0.0,0.5337975878475826,0.0,0.464314715193652,0.0,0.5257550077610667,0.0,0.6546127532266336,0.0,0.5044428694716016,0.0,0.45746091911627074,0.0,0.497117974797139,0.0,0.4776169618530024,0.0,0.398759818678316
CPI_n,300,4.028681993484497,0.7249541318778994,1.0,5.0367170564944276e-05,1.0,0.0058669019173525835,1.0,1.8301477604002655e-05,1.0,0.16446830067456747,1.0,0.2792414516717131,1.0,0.056316944178397006,1.0,0.019750233382949775,1.0,0.5383799845611896,1.0,0.3074435585718873,1.0,0.11087411330081337,1.0,0.045330306552686495,1.0,0.6537190085249258,0.0,0.8674962882981663,0.0,0.5414679855964419,0.0,0.5017018374202843,0.0,0.34622989192473397,0.0,0.7318235293356394,0.0,0.5640527024226509,0.0,0.7468755782503278,0.0,0.6200112650177892,0.0,0.3699342000144141,0.0,0.47517989759618395,0.0,0.4083562563561424,0.0,0.7184084556617135,0.0,0.4048148235200053,0.0,0.5166925048651729,0.0,0.6109413224797713,0.0,0.402340893450827,0.0,0.1887257007594118,0.0,0.25722253009886387,0.0,0.46586642595769046,0.0,0.5422198198597372,0.0,0.2338193797573433,0.0,0.32195705834944965,0.0,0.20676035507750562,0.0,0.8110664027065689,0.0,0.877424267563933,0.0,0.622602540397008,0.0,0.8012935980961171,0.0,0.8148636123548462,0.0,0.6642974709477867,0.0,0.64549972366216,0.0,0.6351402843057609,0.0,0.8065634241256414,0.0,0.5161658120002822,0.0,0.2966520330015049,0.0,0.07172244524020077,0.0,0.4450577925813982,0.0,0.4031487065021899,0.0,0.4987030662054317
CPI_bt,300,4.202324867248535,0.7249541318778994,1.0,6.924795677492957e-14,1.0,1.1439959199437491e-08,1.0,4.2354835072745805e-11,1.0,0.00041828814583140647,1.0,0.004789561844311741,1.0,0.0020186726803378204,1.0,1.750669084023979e-05,1.0,2.083697570786441e-05,1.0,0.8980537431520325,1.0,0.010446612340656518,1.0,0.0017534933125534105,1.0,0.9962594489430933,0.0,0.2281369200152405,0.0,0.9292764838919307,0.0,0.0004636038959312554,0.0,0.15953489671763588,0.0,0.6539061228180477,0.0,0.8492485870395542,0.0,0.9944168447970736,0.0,0.9029065142567784,0.0,0.00437357957155855,0.0,0.35682297697622023,0.0,0.016102461947701575,0.0,0.9586772938121679,0.0,0.6366405398335512,0.0,0.309048172856085,0.0,0.3972028350607114,0.0,0.07714518130542203,0.0,0.04868518112303173,0.0,0.0012066063327988324,0.0,0.9023574602984824,0.0,0.45715495068871637,0.0,0.9581976206091521,0.0,0.11266715852372644,0.0,0.2022534922000862,0.0,0.9841619171890457,0.0,0.9785116561536206,0.0,0.8783079218138974,0.0,0.8663691139171308,0.0,0.4909711702104368,0.0,0.7681799005760067,0.0,0.7045641509099884,0.0,0.3666595730711765,0.0,0.9978047596612674,0.0,0.47744447729270995,0.0,0.9774899366341396,0.0,0.0015701049021696082,0.0,0.24573770117912752,0.0,0.3089694403608374,0.0,0.07921688645041064
CPI_sqd,300,4.205648422241211,0.7249541318778994,1.0,2.3730137034124804e-10,1.0,0.0008147748637794521,1.0,3.1624409775806447e-10,1.0,7.12701884853e-08,1.0,3.1991739812295473e-180,1.0,2.3754737135451197e-174,1.0,0.0017651615584306293,1.0,2.9860889292666993e-31,1.0,1.0,1.0,8.162803610773795e-29,1.0,6.410388649300431e-13,1.0,2.5951237569543857e-08,0.0,0.9999999999537109,0.0,0.9999999870848417,0.0,2.67211509614797e-157,0.0,0.01061808899541287,0.0,1.0,0.0,0.9999744797912363,0.0,1.0,0.0,3.2468979479098796e-08,0.0,0.0042619085463939934,0.0,0.9999999983659492,0.0,0.9894395630203483,0.0,1.0,0.0,0.8749323476465298,0.0,5.060037397842622e-18,0.0,0.019772380986985767,0.0,0.0004659081475589621,0.0,1.336614226210809e-53,0.0,1.5201770235694973e-59,0.0,0.00037566544818486283,0.0,4.803770921150692e-15,0.0,3.698832214880618e-30,0.0,2.384393412870252e-26,0.0,5.95683032581539e-10,0.0,0.9999999999985182,0.0,1.0,0.0,0.999085549011393,0.0,0.9999999999999997,0.0,0.40709938035217724,0.0,1.9350095750569872e-20,0.0,0.9999999999996823,0.0,8.517634820686084e-08,0.0,1.0,0.0,1.0,0.0,0.8520891095697647,0.0,5.832925101486997e-42,0.0,3.7103711735163932e-75,0.0,0.9999819934162187,0.0,4.005157504527947e-05
S-CPI,300,4.193615436553955,0.7249541318778994,1.0,0.0013181995725503378,1.0,0.01570031641910054,1.0,7.568643638203325e-06,1.0,0.19088512700920268,1.0,0.01014450623235657,1.0,0.058792232991923044,1.0,0.037403983743732064,1.0,0.4884887741708781,1.0,0.7275302197830906,1.0,0.10952760377033444,1.0,0.06929767335954944,1.0,0.8148798946088679,0.0,0.9972898314349391,0.0,0.8773714370107606,0.0,0.23094477235354838,0.0,0.20809815313160773,0.0,0.7210269961907091,0.0,0.8195859504090806,0.0,0.8811985912505834,0.0,0.9296567002755252,0.0,0.3484921375504181,0.0,0.36937492447886544,0.0,0.2804310139839891,0.0,0.9276888166310577,0.0,0.4753328750096907,0.0,0.7349298600963271,0.0,0.5409583713524314,0.0,0.4452103449139045,0.0,0.383399553337222,0.0,0.11030522726378167,0.0,0.9381527203927177,0.0,0.4816595138773341,0.0,0.311345999319619,0.0,0.5169334740369127,0.0,0.23021081443470215,0.0,0.9492454443721143,0.0,0.9548715269441848,0.0,0.9242839402175967,0.0,0.7290069603456867,0.0,0.8825791767557966,0.0,0.6525653924212171,0.0,0.9536556124618153,0.0,0.5195302749799278,0.0,0.9750040452710713,0.0,0.8598954591758798,0.0,0.9408031500937996,0.0,0.3689973073181054,0.0,0.47903813015583796,0.0,0.7503824073759522,0.0,0.3103518060616648
S-CPI_sqrt,300,4.199830770492554,0.7249541318778994,1.0,0.04717363169668232,1.0,0.11754344137594391,1.0,0.0013072801834229663,1.0,0.4129789559114027,1.0,0.3904502813643841,1.0,0.25244471166084936,1.0,0.19146516059073704,1.0,0.4328703413627992,1.0,0.5356883522539665,1.0,0.1760724731075713,1.0,0.18670281320956317,1.0,0.5985000025546593,0.0,0.7353902037202587,0.0,0.5792443337607541,0.0,0.36747380821351894,0.0,0.3915937592159393,0.0,0.5333847189704737,0.0,0.5948245448845942,0.0,0.574375068054037,0.0,0.6350330357650472,0.0,0.38365490260976814,0.0,0.46608966857848994,0.0,0.47724123406164953,0.0,0.599194879857474,0.0,0.4752913412696395,0.0,0.496351259238988,0.0,0.5200768709238248,0.0,0.5442382393385217,0.0,0.44274126414781173,0.0,0.39634779721299873,0.0,0.68317375337653,0.0,0.5391998296788872,0.0,0.44806389320779194,0.0,0.487196068198669,0.0,0.47308532370653916,0.0,0.6368656122980368,0.0,0.6609309637643026,0.0,0.6149761520715583,0.0,0.6518193975828169,0.0,0.6373494176577035,0.0,0.5487754003459179,0.0,0.6121923060130833,0.0,0.46664123773510197,0.0,0.6531848809230023,0.0,0.6325863064407153,0.0,0.5985645848007309,0.0,0.3921829866645562,0.0,0.47353968709224814,0.0,0.5466962460103446,0.0,0.4527135509699721
S-CPI_n,300,4.189610481262207,0.7249541318778994,1.0,0.004211658809004358,1.0,0.011587672033198453,1.0,6.705996549508247e-05,1.0,0.19747846213549758,1.0,0.22659682379385082,1.0,0.07316897587456762,1.0,0.06199584597342991,1.0,0.5255496547799876,1.0,0.7806861097929354,1.0,0.09491461013571245,1.0,0.0478838531231681,1.0,0.7884656961692826,0.0,0.8988170117995762,0.0,0.717245710531345,0.0,0.18091306020278297,0.0,0.12458327903161398,0.0,0.6166211261067915,0.0,0.7463607835436491,0.0,0.862370997489076,0.0,0.7576916850650759,0.0,0.26807744300438074,0.0,0.589711529540402,0.0,0.32669372401993524,0.0,0.8099229165894117,0.0,0.4687279921790702,0.0,0.686296976621363,0.0,0.5512867653357914,0.0,0.44170925510556147,0.0,0.4637217382052647,0.0,0.21112852344469601,0.0,0.8400766703642423,0.0,0.5676241074865439,0.0,0.3088756841500271,0.0,0.31992632777562635,0.0,0.345422226632614,0.0,0.8317828541996792,0.0,0.8960525414741218,0.0,0.9343108850100206,0.0,0.7117117786851068,0.0,0.8869439212996598,0.0,0.7007437976373108,0.0,0.8811166391538378,0.0,0.4797777077255103,0.0,0.9441223418154921,0.0,0.7874079114040906,0.0,0.7638456911505169,0.0,0.23531990554226967,0.0,0.3071066710435064,0.0,0.5950055694236194,0.0,0.46045291791855075
S-CPI_bt,300,4.38601279258728,0.7249541318778994,1.0,9.079426722551567e-07,1.0,0.002114430781570933,1.0,0.0010652750321959404,1.0,0.03592845084419744,1.0,0.03493765077724984,1.0,2.889715305205458e-06,1.0,0.0015856186944204125,1.0,0.13525803725163105,1.0,0.9283946981642743,1.0,0.00013869320308039542,1.0,2.187968873175208e-05,1.0,0.9920168018251909,0.0,0.9999496008591889,0.0,0.7843435105477589,0.0,0.003979235332208318,0.0,0.006506553349424435,0.0,0.897093626971545,0.0,0.9829359195928831,0.0,0.9996439269537819,0.0,0.9928079929463489,0.0,0.10789117652312197,0.0,0.8950489713927468,0.0,0.05720533054308411,0.0,0.9993606360994082,0.0,0.40871634211132846,0.0,0.9536206565422088,0.0,0.7117549093617038,0.0,0.759304359106814,0.0,0.31496313993607483,0.0,0.0006013476982642841,0.0,0.9643847531267881,0.0,0.9870137647809932,0.0,0.283885902013826,0.0,0.08293884909201538,0.0,0.03545310690710808,0.0,0.9948547544185925,0.0,0.9999026608112446,0.0,0.9970969361280696,0.0,0.9999787374301268,0.0,0.9827988558757511,0.0,0.9906557250578533,0.0,0.9996297900801373,0.0,0.5177348016702256,0.0,0.9997686950785747,0.0,0.9095982785708077,0.0,0.9707102456747815,0.0,0.03565985096259931,0.0,0.2630569081313091,0.0,0.47793586710485764,0.0,0.1995828580859333
