method,n,tr_time,r2_test,tr_V0,pval0,tr_V1,pval1,tr_V2,pval2,tr_V3,pval3,tr_V4,pval4,tr_V5,pval5,tr_V6,pval6,tr_V7,pval7,tr_V8,pval8,tr_V9,pval9,tr_V10,pval10,tr_V11,pval11,tr_V12,pval12,tr_V13,pval13,tr_V14,pval14,tr_V15,pval15,tr_V16,pval16,tr_V17,pval17,tr_V18,pval18,tr_V19,pval19,tr_V20,pval20,tr_V21,pval21,tr_V22,pval22,tr_V23,pval23,tr_V24,pval24,tr_V25,pval25,tr_V26,pval26,tr_V27,pval27,tr_V28,pval28,tr_V29,pval29,tr_V30,pval30,tr_V31,pval31,tr_V32,pval32,tr_V33,pval33,tr_V34,pval34,tr_V35,pval35,tr_V36,pval36,tr_V37,pval37,tr_V38,pval38,tr_V39,pval39,tr_V40,pval40,tr_V41,pval41,tr_V42,pval42,tr_V43,pval43,tr_V44,pval44,tr_V45,pval45,tr_V46,pval46,tr_V47,pval47,tr_V48,pval48,tr_V49,pval49
LOCO-W,300,128.03182578086853,0.6430684688634867,1.0,0.28840783182447405,1.0,0.2442128663012495,1.0,0.7539499782673635,1.0,0.1274845148383854,1.0,0.9563781557009149,1.0,0.18724207647876223,1.0,0.7621185630365858,1.0,0.5744380533937226,1.0,0.16395359125331999,1.0,0.5258924313611862,1.0,0.9081503966644386,1.0,4.9692858717031996e-05,0.0,0.1324456431844665,0.0,0.931545394913707,0.0,0.0805170573488253,0.0,0.13771662456880596,0.0,0.06717636215369605,0.0,0.22537149508727072,0.0,0.4306456446979603,0.0,0.5459730787558845,0.0,0.9150063055127948,0.0,0.9618764271575089,0.0,0.745718068500853,0.0,0.3830401138285431,0.0,0.3886521516764918,0.0,0.8930972096193481,0.0,0.9800291977371253,0.0,0.8941795621043045,0.0,0.28251402904935385,0.0,0.7857686708247086,0.0,0.5343867589630622,0.0,0.7102296532988335,0.0,0.48424083716632416,0.0,0.4706416034772889,0.0,0.7294267718017111,0.0,0.9683747692430735,0.0,0.13043181819217953,0.0,0.12852122395710763,0.0,0.9385464049282777,0.0,0.5144129624222533,0.0,0.3236834001836282,0.0,0.06600925410712455,0.0,0.36149667509014405,0.0,0.3877701888030225,0.0,0.46710792860170924,0.0,0.14869026171543065,0.0,0.06198769132863313,0.0,0.11013572884676348,0.0,0.9329145486226599,0.0,0.7873412134012787
CPI,300,6.404775619506836,0.6430684688634867,1.0,6.113528822398944e-05,1.0,0.047340297363713486,1.0,0.658805525525568,1.0,0.22136378682746743,1.0,0.1360336143910736,1.0,0.31375480159217406,1.0,0.017013125730656033,1.0,0.20650161207964768,1.0,0.028808650450190435,1.0,0.6344379141705836,1.0,0.05220743671683633,1.0,0.002353122345930347,0.0,0.06459402724214679,0.0,0.65684872705768,0.0,0.3893596642823495,0.0,0.7890242829841585,0.0,0.3838841633613816,0.0,0.39697901400682556,0.0,0.27846022347805643,0.0,0.1047160345513592,0.0,0.960946780855503,0.0,0.2971418742189864,0.0,0.37712528416334395,0.0,0.03145270175146265,0.0,0.8264408249674501,0.0,0.28743805963372926,0.0,0.49421612728758263,0.0,0.5729571324804834,0.0,0.6290268285600129,0.0,0.9898687974840858,0.0,0.7020451673530607,0.0,0.9183791034392199,0.0,0.32316514522413536,0.0,0.3559475017941608,0.0,0.7642702405660154,0.0,0.7910159426980217,0.0,0.16506424466611752,0.0,0.6369547538603932,0.0,0.09297716772304782,0.0,0.5397478333995347,0.0,0.5755106272977453,0.0,0.8097221207755327,0.0,0.7380196955660655,0.0,0.4230518554321686,0.0,0.8980941258327211,0.0,0.7745723862205955,0.0,0.9524697865116549,0.0,0.18927409020197516,0.0,0.7450825614665466,0.0,0.37870790614282035
CPI_sqrt,300,6.413800239562988,0.6430684688634867,1.0,0.16792435782352605,1.0,0.47857831979787385,1.0,0.5021104240796854,1.0,0.4737157064380009,1.0,0.48273129373667223,1.0,0.49842410133520204,1.0,0.4155408587371262,1.0,0.5091065452816714,1.0,0.40431495340184226,1.0,0.5138024863408822,1.0,0.4908625434233198,1.0,0.010437609655210383,0.0,0.5088531670878305,0.0,0.5185545054893548,0.0,0.525548006864582,0.0,0.49183636003169307,0.0,0.51661925081817,0.0,0.4984063102602196,0.0,0.4927738101318349,0.0,0.45239751020347946,0.0,0.504352197777219,0.0,0.503573734523357,0.0,0.5033570831501185,0.0,0.49221444513821855,0.0,0.48739115012539186,0.0,0.49686800161218403,0.0,0.518372177718596,0.0,0.5044714538992017,0.0,0.5141638790601346,0.0,0.513094225175004,0.0,0.5072947697367313,0.0,0.49632999212060075,0.0,0.5042893957527741,0.0,0.4892238585638657,0.0,0.5178597025311926,0.0,0.5073988681163317,0.0,0.4989396145220397,0.0,0.48977003981123246,0.0,0.4132429189441462,0.0,0.5002617221973575,0.0,0.4986291490989885,0.0,0.5039665990568558,0.0,0.5280903843447534,0.0,0.5007088521460523,0.0,0.5116140061750262,0.0,0.5074471117380522,0.0,0.4996163875733644,0.0,0.4895979138342299,0.0,0.5039387316845416,0.0,0.4894969381877437
CPI_n,300,6.423014879226685,0.6430684688634867,1.0,0.0027289901250334603,1.0,0.3765409726381982,1.0,0.602452528427474,1.0,0.35651378037279663,1.0,0.15565093986470352,1.0,0.4178266386178834,1.0,0.06146115601489348,1.0,0.5707769069748729,1.0,0.11307442682428526,1.0,0.551724412643231,1.0,0.508604547100943,1.0,0.0008359599242577579,0.0,0.6117195727650881,0.0,0.5325958351083477,0.0,0.5502596086200461,0.0,0.43356029368904436,0.0,0.41474977679684444,0.0,0.5669210284046041,0.0,0.5820658424433168,0.0,0.14687409797777057,0.0,0.6308270064225272,0.0,0.5165661362943018,0.0,0.43520299689076763,0.0,0.43121899493360355,0.0,0.5460730900368268,0.0,0.48220243019866554,0.0,0.6498238229525863,0.0,0.5487638543900579,0.0,0.4209065773155105,0.0,0.6626115580770428,0.0,0.5917694557780864,0.0,0.58290331513549,0.0,0.5036087758034,0.0,0.3817385188228053,0.0,0.6641701581565613,0.0,0.6146761092437267,0.0,0.43432062904834456,0.0,0.6082896679555042,0.0,0.49912984151159767,0.0,0.4970315415891824,0.0,0.4656500377489772,0.0,0.5010598065862217,0.0,0.5568640936009462,0.0,0.43510325249533355,0.0,0.5396417401317388,0.0,0.5579877033029931,0.0,0.5252406439502514,0.0,0.4161227300180573,0.0,0.5366798579477862,0.0,0.4725222841413944
CPI_bt,300,6.613374710083008,0.6430684688634867,1.0,3.283186515944387e-16,1.0,0.48239805438493794,1.0,0.5381207461829189,1.0,0.46859397269073993,1.0,0.07947289480324488,1.0,0.5699300867777183,1.0,0.0027703023824028105,1.0,0.5300026505433681,1.0,0.00018467224108820518,1.0,0.5247984055626711,1.0,0.3224448467543611,1.0,0.0015932339054254734,0.0,0.4020255500728041,0.0,0.6562257773752881,0.0,0.4764076923474562,0.0,0.41746240099423776,0.0,0.40090938405908416,0.0,0.48156782198077003,0.0,0.4965667447697669,0.0,0.2630875359106716,0.0,0.576318884586008,0.0,0.5333285136863714,0.0,0.5034910966546693,0.0,0.34537321664151316,0.0,0.3679532024194207,0.0,0.309625617474533,0.0,0.7098784432600422,0.0,0.48717265916149305,0.0,0.5622244494829187,0.0,0.5465911453683572,0.0,0.5702012291773956,0.0,0.481468579181371,0.0,0.5618786689386088,0.0,0.4506862213176103,0.0,0.7259641257569629,0.0,0.5892935626628665,0.0,0.4498907484491686,0.0,0.7352391731677473,0.0,0.2103995053704179,0.0,0.5152865374293154,0.0,0.545638260047934,0.0,0.4636843656389204,0.0,0.26345335808163384,0.0,0.3928359947721371,0.0,0.6880221957158179,0.0,0.48996160745976036,0.0,0.5284229268058774,0.0,0.2343585568658909,0.0,0.5543303371948373,0.0,0.5960400707210234
CPI_sqd,300,6.598276615142822,0.6430684688634867,1.0,1.2684995703462447e-29,1.0,0.0,1.0,1.0,1.0,3.420740482768003e-179,1.0,0.0,1.0,0.03237508149851623,1.0,1.2233130519905622e-120,1.0,7.190925843584795e-173,1.0,2.0205406406674986e-252,1.0,1.0,1.0,7.931047007830477e-100,1.0,7.198763885367552e-09,0.0,2.87954475079571e-100,0.0,0.9999999975599843,0.0,9.890216449938152e-08,0.0,1.0,0.0,1.9744585923511496e-31,0.0,1.8423335756489268e-05,0.0,0.7473322671806795,0.0,0.0,0.0,1.0,0.0,6.239573152565429e-08,0.0,5.537884260556613e-75,0.0,1.0048316007997579e-98,0.0,8.881227949029707e-185,0.0,2.562961676188229e-191,0.0,1.0,0.0,1.5310476983749433e-50,0.0,1.0,0.0,0.9999999999995642,0.0,1.0,0.0,1.0,0.0,0.3812592988658087,0.0,0.9999999999951107,0.0,1.0,0.0,0.9999999999960443,0.0,1.0,0.0,1.0,0.0,3.724713609631873e-159,0.0,5.143052301661166e-99,0.0,1.0,0.0,2.9304567651404658e-05,0.0,1.0,0.0,9.665349944460881e-22,0.0,1.0,0.0,0.0002694293104924438,0.0,1.0,0.0,5.286335975564767e-31,0.0,1.0,0.0,1.0
S-CPI,300,18.17232394218445,0.6430684688634867,1.0,0.0001818259156770738,1.0,0.04157808516230646,1.0,0.837393464310842,1.0,0.3211068272060825,1.0,0.008883845434209442,1.0,0.12437348341002669,1.0,0.012773526629083886,1.0,0.43595999163894816,1.0,0.009677755691764729,1.0,0.5483504368883756,1.0,0.3247274171410187,1.0,0.01977016214932467,0.0,0.10052337239075149,0.0,0.8654613660606096,0.0,0.8295334801439,0.0,0.6483094133148526,0.0,0.11410628979094778,0.0,0.733968799599088,0.0,0.5625051581634957,0.0,0.12570385775138204,0.0,0.9485587135082654,0.0,0.6113131599125922,0.0,0.29889055321832647,0.0,0.09160851725269092,0.0,0.28583880778448284,0.0,0.2710279823866224,0.0,0.8481569970198819,0.0,0.45580563539413266,0.0,0.565637023732405,0.0,0.8953971810076128,0.0,0.8851785138707177,0.0,0.7632505509990075,0.0,0.727564690085398,0.0,0.31322799817321545,0.0,0.8411639711459025,0.0,0.9189580889135687,0.0,0.6816965941710204,0.0,0.807208991400658,0.0,0.46827010374017536,0.0,0.5656050884861943,0.0,0.348009062703637,0.0,0.6744620434963584,0.0,0.971242082083688,0.0,0.14592707817961775,0.0,0.8846270942222898,0.0,0.3428861498135079,0.0,0.8374361334954099,0.0,0.17940054127202143,0.0,0.3726195395960926,0.0,0.4161731195433581
S-CPI_sqrt,300,18.20148015022278,0.6430684688634867,1.0,0.15061540540837443,1.0,0.4841272127903552,1.0,0.525568619378528,1.0,0.4750595582128408,1.0,0.42346196640418343,1.0,0.4819335779597427,1.0,0.3572636657706174,1.0,0.5140143378165553,1.0,0.30997859476608824,1.0,0.4995128625296209,1.0,0.4893659858123019,1.0,0.08058856376726642,0.0,0.48840754664865005,0.0,0.5164181282914537,0.0,0.518426112599802,0.0,0.49264187276101856,0.0,0.48906106589683174,0.0,0.5054863288180357,0.0,0.4974671848489508,0.0,0.4587065660055468,0.0,0.5210793885107716,0.0,0.5003725888326461,0.0,0.49559714938414307,0.0,0.4785762307286553,0.0,0.4960468612619062,0.0,0.4815252404181957,0.0,0.5276347266688353,0.0,0.49788640605955614,0.0,0.5012180814243076,0.0,0.5141774756180579,0.0,0.5104367808734566,0.0,0.5130013041229583,0.0,0.50254733653891,0.0,0.4885021874193757,0.0,0.5499952224908237,0.0,0.5195026367985095,0.0,0.4994772620133942,0.0,0.5385839498083272,0.0,0.4898165258793275,0.0,0.5032058626938698,0.0,0.5030368321711357,0.0,0.4999144757782245,0.0,0.5104438576836583,0.0,0.4651972841657437,0.0,0.5314124079436721,0.0,0.5030293169191669,0.0,0.5074230418816384,0.0,0.46145993867889346,0.0,0.5032055556957792,0.0,0.5126007658999495
S-CPI_n,300,18.182533025741577,0.6430684688634867,1.0,0.009202253604297363,1.0,0.30996322398538245,1.0,0.5999895527153025,1.0,0.3402901661969445,1.0,0.20569315707171193,1.0,0.3648310720984067,1.0,0.07006671959085571,1.0,0.6181936499091906,1.0,0.04876957347990969,1.0,0.5397990675165738,1.0,0.38714124696515395,1.0,0.02151342100892401,0.0,0.4506708953898275,0.0,0.547417691481129,0.0,0.618415965623085,0.0,0.47843569905596667,0.0,0.3947416394054951,0.0,0.5458064008565555,0.0,0.4880260516642178,0.0,0.37869118176251215,0.0,0.6428031697440972,0.0,0.49719135104797557,0.0,0.5201654525224378,0.0,0.3649181493919339,0.0,0.4486762354729584,0.0,0.3826707350062792,0.0,0.6742656789004201,0.0,0.5020777366155337,0.0,0.4982431968765704,0.0,0.5657122095601242,0.0,0.6067265526175956,0.0,0.5360631140238695,0.0,0.5919242925561623,0.0,0.44860515643518734,0.0,0.7136163237572193,0.0,0.6159109352621064,0.0,0.6144183498098692,0.0,0.6844165361267303,0.0,0.4997025890245541,0.0,0.5013783669156222,0.0,0.4669872757140025,0.0,0.49996547232539207,0.0,0.44241234869095475,0.0,0.3286802550098725,0.0,0.6625726465083467,0.0,0.5131279276380903,0.0,0.5362167812811807,0.0,0.35347797679593,0.0,0.5146963929125055,0.0,0.5662205452634164
S-CPI_bt,300,18.391863584518433,0.6430684688634867,1.0,5.733490435889903e-17,1.0,0.2426053594012001,1.0,0.6800414307112819,1.0,0.3609553283054254,1.0,0.0663796820973306,1.0,0.32139867936721617,1.0,1.1209595008396322e-05,1.0,0.4972863339394281,1.0,9.742340976515043e-05,1.0,0.4747486577775364,1.0,0.23954528156266908,1.0,0.008632045324253322,0.0,0.4045054542544696,0.0,0.7236933360643532,0.0,0.6678004519502609,0.0,0.46365514167248867,0.0,0.38816369930241235,0.0,0.5178345093669996,0.0,0.45598825287226397,0.0,0.027471693808339227,0.0,0.6187849041492626,0.0,0.5323713304669166,0.0,0.42955845962241856,0.0,0.34662037247858113,0.0,0.4280901768459323,0.0,0.4170187362106091,0.0,0.7744230075325946,0.0,0.41365145521675845,0.0,0.4284924516998193,0.0,0.6682480037521635,0.0,0.6070824899009009,0.0,0.6983411984747199,0.0,0.5940829956116722,0.0,0.40286542499979444,0.0,0.8019973399838667,0.0,0.6186172286196763,0.0,0.5255251972557298,0.0,0.7913320207203314,0.0,0.40550757907502544,0.0,0.5268915643395203,0.0,0.5034976218326671,0.0,0.4488012407304828,0.0,0.5980849564545426,0.0,0.20906014638797177,0.0,0.7561406541744384,0.0,0.5644905828310364,0.0,0.5939475444423756,0.0,0.1712209110121049,0.0,0.5746816706913842,0.0,0.5079140757936951
