method,n,tr_time,r2_test,tr_V0,pval0,tr_V1,pval1,tr_V2,pval2,tr_V3,pval3,tr_V4,pval4,tr_V5,pval5,tr_V6,pval6,tr_V7,pval7,tr_V8,pval8,tr_V9,pval9,tr_V10,pval10,tr_V11,pval11,tr_V12,pval12,tr_V13,pval13,tr_V14,pval14,tr_V15,pval15,tr_V16,pval16,tr_V17,pval17,tr_V18,pval18,tr_V19,pval19,tr_V20,pval20,tr_V21,pval21,tr_V22,pval22,tr_V23,pval23,tr_V24,pval24,tr_V25,pval25,tr_V26,pval26,tr_V27,pval27,tr_V28,pval28,tr_V29,pval29,tr_V30,pval30,tr_V31,pval31,tr_V32,pval32,tr_V33,pval33,tr_V34,pval34,tr_V35,pval35,tr_V36,pval36,tr_V37,pval37,tr_V38,pval38,tr_V39,pval39,tr_V40,pval40,tr_V41,pval41,tr_V42,pval42,tr_V43,pval43,tr_V44,pval44,tr_V45,pval45,tr_V46,pval46,tr_V47,pval47,tr_V48,pval48,tr_V49,pval49
LOCO-W,300,868.6673617362976,0.946187419945931,1.0,1.3982890401109671e-08,1.0,0.014673199057610886,1.0,0.007132104768338476,1.0,0.8853480873370425,1.0,0.0796144133116593,1.0,0.15458812098556063,1.0,0.8968368838489513,1.0,0.004243622463841801,1.0,0.05785656952893481,1.0,0.07592671258514228,1.0,0.06505116730881799,1.0,0.9842506123061708,0.0,0.2874710096812405,0.0,0.8318075045435351,0.0,0.35394984023311205,0.0,0.9544085357529954,0.0,0.8967332441329658,0.0,0.8622552390161435,0.0,0.1373220990008336,0.0,0.14775657530622932,0.0,0.8780390751001144,0.0,0.061824382758565055,0.0,0.5361410633520113,0.0,0.05940090581751989,0.0,0.09198943770224899,0.0,0.4376998106610197,0.0,0.2639958372625184,0.0,0.4151213853034106,0.0,0.8547025498964524,0.0,0.048698571773670096,0.0,0.4177532292616537,0.0,0.8969998239935033,0.0,0.030353292577954605,0.0,0.014901210853706437,0.0,0.17785783010714562,0.0,0.8043935106170794,0.0,0.7765805951203497,0.0,0.997749857189176,0.0,0.7779987108949187,0.0,0.028072484091386518,0.0,0.2997399079862745,0.0,0.12013474357250487,0.0,0.08309320359151995,0.0,0.21251227959110008,0.0,0.48696668578547275,0.0,0.02976390509475968,0.0,0.8756709167067334,0.0,0.9928134392143417,0.0,0.1493035403323193,0.0,0.09765229411131204
CPI,300,16.53054642677307,0.946187419945931,1.0,2.8585397703617376e-09,1.0,0.0023278781448848405,1.0,0.00706566092753216,1.0,0.0029308392258034447,1.0,6.36673521408508e-07,1.0,0.0295706380087368,1.0,0.06105624722935242,1.0,1.7784241181984709e-06,1.0,0.1406595958162039,1.0,0.00025646636601890275,1.0,2.6167751827891378e-05,1.0,0.9510725835766856,0.0,0.16645138648588748,0.0,0.4957997199890896,0.0,0.7034333075034644,0.0,0.9241563393007581,0.0,0.6283047259791665,0.0,0.11137956685374889,0.0,0.6744839305259605,0.0,0.2978626613352746,0.0,0.24738157644572195,0.0,0.9300165880414655,0.0,0.9396148824942272,0.0,0.5287335386790455,0.0,0.5923625753322808,0.0,0.6107255181525889,0.0,0.05623845145135367,0.0,0.46505362153218555,0.0,0.8662707981653792,0.0,0.29348615452360083,0.0,0.2965319273466518,0.0,0.26612712263813476,0.0,0.2899229306503992,0.0,0.8605543204365271,0.0,0.5570661986414789,0.0,0.20161859674663324,0.0,0.03876732926094279,0.0,0.5538334441885914,0.0,0.9339846434181982,0.0,0.24346105671894075,0.0,0.8246374129536159,0.0,0.12015749178770885,0.0,0.26846419180208425,0.0,0.3792362540637256,0.0,0.7913436052802164,0.0,0.04932921832673853,0.0,0.4954938528270236,0.0,0.8660362549331282,0.0,0.45354315942574874,0.0,0.2630499215064588
CPI_sqrt,300,16.558377981185913,0.946187419945931,1.0,0.0018138037411903154,1.0,0.01153735190002194,1.0,0.19021953056256263,1.0,0.3366530605592898,1.0,0.23473820242107268,1.0,0.5000722343656451,1.0,0.4070553677906741,1.0,0.0020494951002717047,1.0,0.4994596118474257,1.0,0.16695790173698505,1.0,0.04293692343282941,1.0,0.5003629699357565,0.0,0.49975496017234405,0.0,0.4999078590176601,0.0,0.5000289307040107,0.0,0.5000004685906565,0.0,0.4876824323789977,0.0,0.4999230726272042,0.0,0.5000011094614002,0.0,0.49886899686436526,0.0,0.5002400698255296,0.0,0.5006923789267044,0.0,0.5004562378626298,0.0,0.5001833246788325,0.0,0.5006870015342885,0.0,0.4999464376635039,0.0,0.5000113225785318,0.0,0.4999330629061556,0.0,0.5004388115706816,0.0,0.49998797675514817,0.0,0.49816457988580515,0.0,0.49959385680554613,0.0,0.5001856315206615,0.0,0.500184641176549,0.0,0.49999523670578705,0.0,0.499997631020475,0.0,0.4999743902884956,0.0,0.5000994323972173,0.0,0.493658889511908,0.0,0.49738643028053736,0.0,0.5010632209415666,0.0,0.49974342142381434,0.0,0.4916136920952825,0.0,0.49986387923857734,0.0,0.5000697385870024,0.0,0.4999880197545854,0.0,0.49962025930495735,0.0,0.5000598351742552,0.0,0.499841552288607,0.0,0.5008280274956117
CPI_n,300,16.557551622390747,0.946187419945931,1.0,0.00036675578163452275,1.0,0.004470194613214845,1.0,0.019765108799492843,1.0,0.02307393525082498,1.0,0.00357079597819172,1.0,0.4954988698683315,1.0,0.11598361803700336,1.0,1.3209398429690396e-05,1.0,0.499130213184679,1.0,0.0005028902152559847,1.0,1.6948694111231004e-05,1.0,0.5012137546759708,0.0,0.49768773062743793,0.0,0.49991176286277184,0.0,0.5013542785455796,0.0,0.5031435100222859,0.0,0.4809235989215881,0.0,0.5010399263213446,0.0,0.5003707426447673,0.0,0.4938403014079434,0.0,0.49985866867273404,0.0,0.5113395735564759,0.0,0.5065500825679625,0.0,0.5007747964575973,0.0,0.5183525675790225,0.0,0.4993978960301551,0.0,0.5008579309335828,0.0,0.498760346060406,0.0,0.5008660894825442,0.0,0.5010018215922509,0.0,0.5348964695621415,0.0,0.49728849428996424,0.0,0.49748826402696716,0.0,0.49859363613621605,0.0,0.5000876196971785,0.0,0.4995914589572,0.0,0.49920183414952085,0.0,0.499796085756028,0.0,0.5098395795568836,0.0,0.4615369460127859,0.0,0.5166132075106113,0.0,0.4989124420498498,0.0,0.42273125927578775,0.0,0.4997348418212571,0.0,0.4998036072853896,0.0,0.5000417892058563,0.0,0.4909390563463534,0.0,0.5012843155054534,0.0,0.49974851540261506,0.0,0.5066692459600317
CPI_bt,300,16.73184585571289,0.946187419945931,1.0,2.626247395910761e-13,1.0,0.2416463605089128,1.0,4.374396980780299e-11,1.0,1.5209580430512182e-08,1.0,6.582787238106395e-10,1.0,0.49926037824070435,1.0,0.02342036810117196,1.0,9.824757330308682e-13,1.0,0.49762342671302917,1.0,1.1076545645544729e-16,1.0,1.0047033632659377e-10,1.0,0.503176801290136,0.0,0.4982329694213984,0.0,0.4997680233146388,0.0,0.501146864265248,0.0,0.5001519754604625,0.0,0.42392020464055047,0.0,0.4994749840449754,0.0,0.4989721151198561,0.0,0.4738508034661909,0.0,0.5001797615641267,0.0,0.5083618949988232,0.0,0.50189571807421,0.0,0.5003322449108839,0.0,0.49486215498311603,0.0,0.49954271042558923,0.0,0.4984029558746606,0.0,0.4984870349354646,0.0,0.501337071738344,0.0,0.5005169260397706,0.0,0.49509313084690904,0.0,0.5019974776962219,0.0,0.49615188610070265,0.0,0.495922402743769,0.0,0.5002895899323501,0.0,0.5000657276876613,0.0,0.4997480590504097,0.0,0.5012090804662321,0.0,0.48321069668924843,0.0,0.49504496194221836,0.0,0.5206596422152784,0.0,0.49997469851428217,0.0,0.3136394631345113,0.0,0.49994554522351475,0.0,0.502481606660328,0.0,0.4989486384118654,0.0,0.5319837384969693,0.0,0.5009555315738631,0.0,0.4984425259287953,0.0,0.5007810227046414
CPI_sqd,300,16.725430488586426,0.946187419945931,1.0,7.254494313381614e-13,1.0,0.10948374186606519,1.0,1.4287532986267616e-30,1.0,0.0,1.0,0.0,1.0,0.2929931384245788,1.0,0.0,1.0,3.534041312218707e-14,1.0,0.026569798320365073,1.0,0.0,1.0,1.0516926253885464e-51,1.0,0.7815654603015987,0.0,0.36189331672927816,0.0,0.4368916052129793,0.0,0.7277083260968048,0.0,0.5873757577839481,0.0,3.591023163154752e-06,0.0,0.4638521041647674,0.0,0.502433927525044,0.0,0.03571404463188316,0.0,0.5644805652521429,0.0,0.6730960524947032,0.0,0.5740947764914064,0.0,0.44920452488851265,0.0,0.9587014260830646,0.0,0.5176625737716262,0.0,0.4168731325677531,0.0,0.35830045092434193,0.0,0.635705076232744,0.0,0.6858675607328059,0.0,0.9900261422792238,0.0,0.2949496132925302,0.0,0.027619586126142757,0.0,0.39468287690510306,0.0,0.46380102549348545,0.0,0.5044994865579635,0.0,0.41385236145169263,0.0,0.4427523209216665,0.0,0.9999681402596299,0.0,4.378011037608273e-44,0.0,2.7551673016661357e-07,0.0,0.4799043086316401,0.0,8.051788136569237e-87,0.0,0.4058625769996776,0.0,0.6123742295391156,0.0,0.3582119529525609,0.0,2.6446634121119734e-08,0.0,0.6293308653805934,0.0,0.23251999690934,0.0,0.6111116491343341
S-CPI,300,29.632257223129272,0.946187419945931,1.0,1.5502161306047136e-06,1.0,0.017762738446971446,1.0,0.019753002550444734,1.0,0.0009578062756617773,1.0,0.0072216268504294665,1.0,0.13897395839431942,1.0,0.09489163847846066,1.0,4.811521470315495e-05,1.0,0.3956018949918816,1.0,0.0002843260163231693,1.0,0.00035074968688221997,1.0,0.8163924711513525,0.0,0.0037009527176675295,0.0,0.4118730226445209,0.0,0.6947055283836089,0.0,0.4745132482089038,0.0,0.411175902100414,0.0,0.10077604863846801,0.0,0.42948505095311856,0.0,0.20964778374033738,0.0,0.4838850560264131,0.0,0.8063827328515971,0.0,0.7556391874071315,0.0,0.6582594664548032,0.0,0.5181763415626831,0.0,0.45410337403940326,0.0,0.25176463154477796,0.0,0.0861574126328758,0.0,0.8957489357962078,0.0,0.8093938534472196,0.0,0.41954565791035314,0.0,0.03691338766732057,0.0,0.13695515703751604,0.0,0.5765951082521097,0.0,0.08328405331587818,0.0,0.26805961511806353,0.0,0.12207343861439918,0.0,0.7618957260107229,0.0,0.30306797198736624,0.0,0.7994412141937453,0.0,0.7575832510585113,0.0,0.36180734594990005,0.0,0.15828757019420453,0.0,0.31492738464009207,0.0,0.9131246774807329,0.0,0.19808903812638562,0.0,0.9140087516942511,0.0,0.8769553127135019,0.0,0.11062094862467703,0.0,0.8571228313274353
S-CPI_sqrt,300,29.619712591171265,0.946187419945931,1.0,0.0032695582011819787,1.0,0.0347128014333072,1.0,0.19418171938626966,1.0,0.36150415732648217,1.0,0.2637105857496176,1.0,0.49946661150614885,1.0,0.4084653637434449,1.0,0.01190020649274585,1.0,0.4990951487681239,1.0,0.16254779877678188,1.0,0.07781816743394025,1.0,0.5007927729229626,0.0,0.49960603441517165,0.0,0.5000059831044986,0.0,0.5000962905292762,0.0,0.4999743955201243,0.0,0.49890327788598854,0.0,0.4997686324487477,0.0,0.49997363487209473,0.0,0.4987453157901838,0.0,0.5001403923717355,0.0,0.5018800218055012,0.0,0.5009059721730397,0.0,0.4998907372847054,0.0,0.5001897745138084,0.0,0.499961466712913,0.0,0.49977153979675415,0.0,0.49984434365595964,0.0,0.5002107848339407,0.0,0.5002269655086967,0.0,0.5014684167748285,0.0,0.4994534190959801,0.0,0.49953904946471517,0.0,0.5001497205637068,0.0,0.4999484793469212,0.0,0.49997358770639805,0.0,0.49984190718690846,0.0,0.5001157359469688,0.0,0.4987255479113789,0.0,0.5050645746113478,0.0,0.5020752978868029,0.0,0.4999222355535803,0.0,0.48071958289869376,0.0,0.5000929629752094,0.0,0.5001463147268975,0.0,0.4997876294182069,0.0,0.5075294626223429,0.0,0.5001571207756178,0.0,0.4998202381040718,0.0,0.5007540383452069
S-CPI_n,300,29.678891897201538,0.946187419945931,1.0,1.2120796996001341e-05,1.0,0.02446020994928773,1.0,0.060999425677004476,1.0,0.04565575428079247,1.0,0.0421833470995829,1.0,0.49683975790833523,1.0,0.20723120095495828,1.0,0.00030365681951357464,1.0,0.4939732203865,1.0,0.003941064856065475,1.0,0.0006469222549236394,1.0,0.505941673046176,0.0,0.49528281714019035,0.0,0.498959091834389,0.0,0.5016563583304835,0.0,0.5002074029766451,0.0,0.4255643363969877,0.0,0.4989416552565165,0.0,0.49995101376667395,0.0,0.4927180372334958,0.0,0.5002718165451284,0.0,0.5118962869930985,0.0,0.5098664817903692,0.0,0.49978576814897896,0.0,0.502247140620063,0.0,0.49941645799700096,0.0,0.4983289481000349,0.0,0.49828338710812276,0.0,0.5034907115115158,0.0,0.5014764481517158,0.0,0.5117319288623404,0.0,0.4955831049036656,0.0,0.4974500881054884,0.0,0.4987048856047016,0.0,0.4991756024748706,0.0,0.4997152204568259,0.0,0.49896478119417065,0.0,0.5001466842580049,0.0,0.503984604739041,0.0,0.5164703896330596,0.0,0.5182752093992729,0.0,0.5000154173262553,0.0,0.3861133159428231,0.0,0.5001438923062721,0.0,0.5024305701355128,0.0,0.498518648279043,0.0,0.4976046494954348,0.0,0.5012688929783131,0.0,0.49794956606803625,0.0,0.5057476797834652
S-CPI_bt,300,29.84320092201233,0.946187419945931,1.0,5.216254269115769e-07,1.0,0.3052546790868584,1.0,2.0711398282886947e-06,1.0,1.9538931839523166e-06,1.0,1.225106112541176e-10,1.0,0.4946262067318521,1.0,0.07159657634519137,1.0,3.2338296650444024e-07,1.0,0.4928510569266302,1.0,7.088280799202481e-16,1.0,3.163747419074299e-10,1.0,0.5068739873742862,0.0,0.4951888268333967,0.0,0.49963183663457555,0.0,0.5019629785295907,0.0,0.49993185625367065,0.0,0.4515677966235485,0.0,0.4983547401315762,0.0,0.4997263452415947,0.0,0.4826082532127095,0.0,0.5005235726806953,0.0,0.5111950524536019,0.0,0.5062817623739834,0.0,0.5003804047622492,0.0,0.5016092293523334,0.0,0.4991366295045745,0.0,0.49720499125293804,0.0,0.498146446956385,0.0,0.5018365970814085,0.0,0.5019652601204274,0.0,0.5275912476379919,0.0,0.494393323583805,0.0,0.497219076083541,0.0,0.4996887531783868,0.0,0.4989634817940626,0.0,0.4998302804097885,0.0,0.4992422834467378,0.0,0.5010835296600639,0.0,0.48091105116049865,0.0,0.5505342843123358,0.0,0.5256914713098172,0.0,0.4997065658507472,0.0,0.4130609359781014,0.0,0.5004386555474033,0.0,0.5016956044076959,0.0,0.49898435138188046,0.0,0.5089751434743955,0.0,0.5009575804420419,0.0,0.49772786322438006,0.0,0.5065863090236732
