method,n,tr_time,r2_test,tr_V0,pval0,tr_V1,pval1,tr_V2,pval2,tr_V3,pval3,tr_V4,pval4,tr_V5,pval5,tr_V6,pval6,tr_V7,pval7,tr_V8,pval8,tr_V9,pval9,tr_V10,pval10,tr_V11,pval11,tr_V12,pval12,tr_V13,pval13,tr_V14,pval14,tr_V15,pval15,tr_V16,pval16,tr_V17,pval17,tr_V18,pval18,tr_V19,pval19,tr_V20,pval20,tr_V21,pval21,tr_V22,pval22,tr_V23,pval23,tr_V24,pval24,tr_V25,pval25,tr_V26,pval26,tr_V27,pval27,tr_V28,pval28,tr_V29,pval29,tr_V30,pval30,tr_V31,pval31,tr_V32,pval32,tr_V33,pval33,tr_V34,pval34,tr_V35,pval35,tr_V36,pval36,tr_V37,pval37,tr_V38,pval38,tr_V39,pval39,tr_V40,pval40,tr_V41,pval41,tr_V42,pval42,tr_V43,pval43,tr_V44,pval44,tr_V45,pval45,tr_V46,pval46,tr_V47,pval47,tr_V48,pval48,tr_V49,pval49
LOCO-W,300,77.75849628448486,0.13035935327275294,0.0,0.15835910197614478,0.0,0.7341988430870421,1.0,0.9687965375847654,1.0,0.0017108303460811047,1.0,0.10871416195415229,1.0,2.3499458696729647e-06,0.0,0.9880101601542364,0.0,0.9141522538617617,1.0,0.16242371726492588,0.0,0.2137906799148428,0.0,0.9999698169422174,0.0,0.3522311276333622,0.0,0.6190335535297411,0.0,0.004228764137155339,1.0,0.21906662872955573,0.0,0.04565159356350379,1.0,0.0004138748590303276,0.0,0.8494108033868675,1.0,0.931509758672966,0.0,0.5433086988319644,0.0,0.6833328007203332,0.0,0.001195258720779191,0.0,0.36968761376082326,0.0,0.5663669654869119,0.0,0.6034978148616571,0.0,0.0098202997746476,0.0,0.037564095770488914,0.0,0.2512535304666478,0.0,0.014467364451000275,1.0,0.9706539748124374,1.0,0.23676438738937566,0.0,0.0022187886137620128,0.0,0.7108037446260254,1.0,0.001657728518747903,0.0,0.30651428723724106,0.0,0.1697731575868211,0.0,0.9662843016474857,0.0,0.7360411579985593,0.0,0.3876569010950881,0.0,0.061721306222508265,0.0,0.04820327980998462,0.0,0.00016614898642242082,0.0,0.3044252142105204,0.0,0.08048639159223736,1.0,0.05888160633351358,0.0,0.05042990164005279,0.0,0.004178351997893848,0.0,0.9988750902293853,0.0,0.7210179151994375,0.0,0.9665862365457342
CPI,300,4.173096179962158,0.13035935327275294,0.0,0.9977964433363518,0.0,0.37023849789825924,1.0,0.19627366727926882,1.0,0.2102231003024434,1.0,0.168452944860093,1.0,0.15753344266038571,0.0,0.5733759886243963,0.0,0.28394418003839306,1.0,0.10173528220780109,0.0,0.8426215789646126,0.0,0.41498682697559147,0.0,0.4692421196038053,0.0,0.28842074919850136,0.0,0.6030832956170102,1.0,0.0729512951285221,0.0,0.41521192041187016,1.0,0.31024295218389686,0.0,0.5958980081955132,1.0,0.7771711072501322,0.0,0.4631649289517213,0.0,0.8422531313874186,0.0,0.12180952222405761,0.0,0.44584058013519445,0.0,0.24172573948307235,0.0,0.11860026008046559,0.0,0.7734632338721783,0.0,0.7086825001087009,0.0,0.10620165194306042,0.0,0.44875956007406764,1.0,0.6779388226171703,1.0,0.10616044142708131,0.0,0.8871062708751754,0.0,0.3155049255518889,1.0,0.0645919240103096,0.0,0.4813375633935625,0.0,0.893669951302875,0.0,0.14857058702753734,0.0,0.866638030241511,0.0,0.9035910667007421,0.0,0.5424016945667435,0.0,0.9431899008490569,0.0,0.49860509867825054,0.0,0.32107151754999314,0.0,0.8065789869583426,1.0,0.21274205116977152,0.0,0.23543187161387602,0.0,0.8431762635733862,0.0,0.302895934679492,0.0,0.046728292853593055,0.0,0.655963062569635
CPI_sqrt,300,4.172307968139648,0.13035935327275294,0.0,0.5757432941305592,0.0,0.2245307499028314,1.0,0.8252346001442769,1.0,0.6623649568957561,1.0,0.3861027535454367,1.0,0.8451434848962667,0.0,0.6226225064903395,0.0,0.3977728848940227,1.0,0.19576149920625402,0.0,0.3863721414774849,0.0,0.44681218403854683,0.0,0.6904225328860307,0.0,0.36177035955603043,0.0,0.3844736566053758,1.0,0.6759820634637764,0.0,0.9200099142186502,1.0,0.4493726097168605,0.0,0.5674968093586767,1.0,0.7265041312108308,0.0,0.4684904361784541,0.0,0.7860739528976747,0.0,0.7467108674670283,0.0,0.5324068110643494,0.0,0.5693521899972308,0.0,0.3417566773184253,0.0,0.3879369593278581,0.0,0.41531136242926736,0.0,0.3164183834048875,0.0,0.28612785872257984,1.0,0.9300800367986833,1.0,0.054602870567063796,0.0,0.48255829385697796,0.0,0.22090817582279687,1.0,0.1458083235842938,0.0,0.509018761327499,0.0,0.4727770517440108,0.0,0.37344827256151436,0.0,0.496964380273585,0.0,0.9564408058087767,0.0,0.6756279312977025,0.0,0.5671609874776009,0.0,0.5564714157052519,0.0,0.5560929640143354,0.0,0.6023908159937476,1.0,0.7933926535685553,0.0,0.5149423972148339,0.0,0.5536828600548138,0.0,0.5540721242016242,0.0,0.6306456460706413,0.0,0.3614971000492999
CPI_n,300,4.159395694732666,0.13035935327275294,0.0,0.9220060108934662,0.0,0.06772673079385637,1.0,0.9171541500040178,1.0,0.14744847417529472,1.0,0.2643872852159907,1.0,0.6875685453776783,0.0,0.2740287301833433,0.0,0.6316396110189001,1.0,0.2188527860590252,0.0,0.8690453406680078,0.0,0.5133703082856308,0.0,0.3885650591190463,0.0,0.3841527588719691,0.0,0.3359831045859917,1.0,0.591568714968483,0.0,0.8964718714134725,1.0,0.07182552677739085,0.0,0.5457344948035079,1.0,0.72976748530284,0.0,0.7981499310733605,0.0,0.8996164666098478,0.0,0.6181733006976643,0.0,0.13054800641656744,0.0,0.2263265312528675,0.0,0.2584964284416207,0.0,0.5898124873678168,0.0,0.9137018385250867,0.0,0.11314330506942816,0.0,0.3776896775040559,1.0,0.976965761425725,1.0,0.015271183328363762,0.0,0.7465408558638476,0.0,0.6903091481777894,1.0,0.04011382329863818,0.0,0.3066937902016049,0.0,0.1126513329485076,0.0,0.4462071419626251,0.0,0.8982067725548621,0.0,0.9585956132207841,0.0,0.11692519611250213,0.0,0.6816024706778024,0.0,0.49306096458737764,0.0,0.7859354368685485,0.0,0.7747492847145759,1.0,0.057195533721299714,0.0,0.35282756871535415,0.0,0.72404293035363,0.0,0.4693417028579774,0.0,0.12620586795571986,0.0,0.8370958872091232
CPI_bt,300,4.338096857070923,0.13035935327275294,0.0,0.6312711300348457,0.0,0.46258630405057827,1.0,0.5323468101146462,1.0,0.5715899080922328,1.0,0.4632314731309545,1.0,0.45274147161567846,0.0,0.2573818579863231,0.0,0.5337132880159413,1.0,0.4806011001813655,0.0,0.5473408510032596,0.0,0.33893301096740974,0.0,0.4612419106667792,0.0,0.5010405585561648,0.0,0.7084497287637375,1.0,0.52907255063094,0.0,0.5754007786242763,1.0,0.49330869818326983,0.0,0.5064163159888967,1.0,0.682526656740014,0.0,0.6134962546802611,0.0,0.5151608760129959,0.0,0.4599624553142854,0.0,0.58067558248929,0.0,0.5062917102586914,0.0,0.18463599977149325,0.0,0.5552240477945042,0.0,0.6626712989281319,0.0,0.5414120233858418,0.0,0.44727263429279984,1.0,0.47142067392712234,1.0,0.44474227340853084,0.0,0.6291003057532413,0.0,0.5302421108691325,1.0,0.4417176654644548,0.0,0.5186128727324135,0.0,0.3068437625062844,0.0,0.7153595609778468,0.0,0.8974172590514091,0.0,0.5554961030415364,0.0,0.38400180282765756,0.0,0.8878881102871639,0.0,0.7502027804439635,0.0,0.4708916682809017,0.0,0.7437743870972142,1.0,0.532789960664594,0.0,0.14617064014950965,0.0,0.6672677269294047,0.0,0.7372314828584627,0.0,0.3597502974943325,0.0,0.6411023178456194
CPI_sqd,300,4.336143493652344,0.13035935327275294,0.0,0.80150451629448,0.0,0.3790813259927275,1.0,0.5385496120415074,1.0,0.5682398375744322,1.0,0.4846657000864053,1.0,0.5047600647959797,0.0,0.395774618156773,0.0,0.6252289132757453,1.0,0.470342474258092,0.0,0.5225181801232864,0.0,0.3929951311087566,0.0,0.38843267502782214,0.0,0.41148436535413063,0.0,0.6932174530512653,1.0,0.5352120091051769,0.0,0.4878199025069398,1.0,0.48375591196066736,0.0,0.4931940519506711,1.0,0.5089274212219739,0.0,0.001987048062938773,0.0,0.4721759092559196,0.0,0.46590573768439075,0.0,0.5561337398342128,0.0,0.4464161714287554,0.0,0.08858574866012098,0.0,0.473897716861763,0.0,0.4147247281503386,0.0,0.30996851098611117,0.0,0.35641735817159137,1.0,0.5242398517462369,1.0,0.44201914226909833,0.0,0.5289816750394413,0.0,0.4494489614182902,1.0,0.4323814377037597,0.0,0.5907036673548993,0.0,0.5345084867171228,0.0,0.6662223134250627,0.0,0.5691422957450095,0.0,0.5529481919379478,0.0,0.4855689484259976,0.0,0.8503919464361072,0.0,0.9995123195114762,0.0,0.4527956110704657,0.0,0.6316381070934203,1.0,0.6227599046362958,0.0,0.22405997750989537,0.0,0.9342753987844834,0.0,0.8938225508120213,0.0,0.39175008962229707,0.0,0.6586986061177574
S-CPI,300,4.548104286193848,0.13035935327275294,0.0,0.9912109461474621,0.0,0.03804863186030239,1.0,0.8897533869442116,1.0,0.26510949077866763,1.0,0.18928833161140474,1.0,0.8057274180812959,0.0,0.6160549165555269,0.0,0.6805890906267473,1.0,0.14737093331903567,0.0,0.8956332987292619,0.0,0.33701907998111325,0.0,0.5709881674181634,0.0,0.1992398366194159,0.0,0.5112804909938599,1.0,0.9683389561166111,0.0,0.7858055506131852,1.0,0.1505125876458318,0.0,0.6709445823143498,1.0,0.7030040666109196,0.0,0.8797522927322146,0.0,0.6846484391845082,0.0,0.21780939480509037,0.0,0.6459329214579631,0.0,0.2764449960884372,0.0,0.1237955171061727,0.0,0.7305848401785052,0.0,0.6546319634631204,0.0,0.30625490306244574,0.0,0.2161972848510138,1.0,0.7771472985478829,1.0,0.013981641723150608,0.0,0.9306987538374338,0.0,0.4367779455832197,1.0,0.024723218936042436,0.0,0.7325873466497237,0.0,0.600336409846309,0.0,0.7638097586921158,0.0,0.9591472490098992,0.0,0.9487001298909088,0.0,0.4505182276366735,0.0,0.9402135696028721,0.0,0.8058846246738598,0.0,0.4651665470595918,0.0,0.9341534519908472,1.0,0.7437782916927176,0.0,0.23263951322361254,0.0,0.8757079732805896,0.0,0.556115717931185,0.0,0.2153838176424639,0.0,0.9213057029664262
S-CPI_sqrt,300,4.547962188720703,0.13035935327275294,0.0,0.971601370732793,0.0,0.152827317743572,1.0,0.8435542276894761,1.0,0.8045507648977722,1.0,0.22411047326976913,1.0,0.34596598294264197,0.0,0.5059760231419573,0.0,0.5709723540364943,1.0,0.16707993186973402,0.0,0.8286392630837335,0.0,0.3003477812764318,0.0,0.5256079100249202,0.0,0.4106406755738369,0.0,0.46646209651860704,1.0,0.8940391733785078,0.0,0.679812763542265,1.0,0.18543400844600977,0.0,0.5443740518525509,1.0,0.7110632500721986,0.0,0.6917942164616451,0.0,0.7470149974578602,0.0,0.4842534633965306,0.0,0.5562058511022367,0.0,0.2820197546212761,0.0,0.3286647813783552,0.0,0.3432068140451738,0.0,0.6732065478825645,0.0,0.3316425554911505,0.0,0.3561027220006894,1.0,0.8044132724642152,1.0,0.08004076585336534,0.0,0.7856169859505115,0.0,0.28678383463484086,1.0,0.09480476766185048,0.0,0.47411206407711004,0.0,0.5323396995290508,0.0,0.5850217188075213,0.0,0.7825587490200836,0.0,0.8009286830446609,0.0,0.4217299021870622,0.0,0.5659788973532303,0.0,0.5504823362703914,0.0,0.43116406802091295,0.0,0.7767195185742051,1.0,0.5470480193800178,0.0,0.42971136510154484,0.0,0.6176370314796908,0.0,0.5603351932479388,0.0,0.21475463722460447,0.0,0.7324146242892497
S-CPI_n,300,4.546090841293335,0.13035935327275294,0.0,0.9966261491455508,0.0,0.16121729768787263,1.0,0.6470647243905636,1.0,0.9210235521447446,1.0,0.24613575124546494,1.0,0.5640187927308716,0.0,0.44888896455429184,0.0,0.8865347452781795,1.0,0.10421478071865603,0.0,0.8653145717046753,0.0,0.4588366387638588,0.0,0.6979108102953208,0.0,0.29759949761828464,0.0,0.31991187608884125,1.0,0.899578372779066,0.0,0.9329022104965284,1.0,0.1859773526504393,0.0,0.5927904620146612,1.0,0.6534691019220225,0.0,0.822523648610265,0.0,0.712212400764682,0.0,0.20921236436932206,0.0,0.6418940316696431,0.0,0.5253473474412169,0.0,0.17165759875910508,0.0,0.6113377155330455,0.0,0.6236707868410606,0.0,0.22432455506822768,0.0,0.3277643445850419,1.0,0.9579147945721315,1.0,0.029118930217979733,0.0,0.9069201158831717,0.0,0.4311371863026598,1.0,0.06429846368029911,0.0,0.7670744898956893,0.0,0.6320645110420822,0.0,0.8017112493901069,0.0,0.9728595534355083,0.0,0.9529200999976997,0.0,0.6231216362755333,0.0,0.7942182380631528,0.0,0.724224840912591,0.0,0.5184459683714112,0.0,0.8782639391290059,1.0,0.8831342168408213,0.0,0.3992963175174013,0.0,0.8556069869381693,0.0,0.4927295262974563,0.0,0.2827077730141743,0.0,0.821630069082683
S-CPI_bt,300,4.720709800720215,0.13035935327275294,0.0,0.7013923517778817,0.0,0.35153383945205297,1.0,0.5267400988351877,1.0,0.5247767873642913,1.0,0.4864837209339903,1.0,0.5087233784644903,0.0,0.5206924379653398,0.0,0.5826679801293517,1.0,0.48474794002553423,0.0,0.5282843157120216,0.0,0.42522058848704936,0.0,0.5792601945200879,0.0,0.45428730923039934,0.0,0.3379294734586984,1.0,0.530371795137341,0.0,0.5122047910335381,1.0,0.4855195713599091,0.0,0.5102025255998434,1.0,0.5831551460132306,0.0,0.5715868571905988,0.0,0.56199058265703,0.0,0.47284892135340034,0.0,0.5549655615118779,0.0,0.52392908590963,0.0,0.22773459749249458,0.0,0.4999773828725738,0.0,0.574166541792002,0.0,0.3319479405424621,0.0,0.3741970123726079,1.0,0.5203059316633535,1.0,0.451739818916393,0.0,0.5644955286504791,0.0,0.4634170061438184,1.0,0.3811292914426335,0.0,0.6265108469456632,0.0,0.523362901279098,0.0,0.5571729278111195,0.0,0.8744923241696925,0.0,0.5434066846772969,0.0,0.39546869656939876,0.0,0.911840804459906,0.0,0.880772518887452,0.0,0.49445405353341804,0.0,0.6952050529890608,1.0,0.5775566216545979,0.0,0.41494521620533686,0.0,0.8859358408569856,0.0,0.4249142777498621,0.0,0.48481287755386604,0.0,0.6925449664951822
