method,n,tr_time,r2_test,tr_V0,pval0,tr_V1,pval1,tr_V2,pval2,tr_V3,pval3,tr_V4,pval4,tr_V5,pval5,tr_V6,pval6,tr_V7,pval7,tr_V8,pval8,tr_V9,pval9,tr_V10,pval10,tr_V11,pval11,tr_V12,pval12,tr_V13,pval13,tr_V14,pval14,tr_V15,pval15,tr_V16,pval16,tr_V17,pval17,tr_V18,pval18,tr_V19,pval19,tr_V20,pval20,tr_V21,pval21,tr_V22,pval22,tr_V23,pval23,tr_V24,pval24,tr_V25,pval25,tr_V26,pval26,tr_V27,pval27,tr_V28,pval28,tr_V29,pval29,tr_V30,pval30,tr_V31,pval31,tr_V32,pval32,tr_V33,pval33,tr_V34,pval34,tr_V35,pval35,tr_V36,pval36,tr_V37,pval37,tr_V38,pval38,tr_V39,pval39,tr_V40,pval40,tr_V41,pval41,tr_V42,pval42,tr_V43,pval43,tr_V44,pval44,tr_V45,pval45,tr_V46,pval46,tr_V47,pval47,tr_V48,pval48,tr_V49,pval49
LOCO-W,300,160.30111002922058,0.12552132989785103,0.0,0.12507033184987548,0.0,0.2139141963148814,1.0,0.5352789996434739,1.0,0.2437595890785731,0.0,0.5637593130051283,0.0,0.1583658210028973,0.0,0.11190537751088714,0.0,0.5788411707822521,0.0,0.1802651896189923,1.0,0.07971018915159622,1.0,0.06482737157553875,0.0,0.031180164785588937,1.0,0.9254792330985078,0.0,0.44677481198624114,0.0,0.04975952518970739,0.0,0.363159724630582,1.0,0.28701449252160227,0.0,0.01174651325342524,0.0,0.5136793484450171,0.0,0.8156222361138463,1.0,0.27485406788124767,0.0,0.6527435388198044,1.0,0.7722095282631245,0.0,0.7688500318231675,0.0,0.770909239572898,1.0,0.8525439489337285,0.0,0.942820573790161,0.0,0.9307354498511622,0.0,0.39207479990068916,0.0,0.6269043898702283,0.0,0.37285170194059214,0.0,0.6690251391502742,0.0,0.30250412499055834,0.0,0.9855416455035049,1.0,0.22436935419764137,0.0,0.5877123521575646,1.0,0.07572289496801632,0.0,0.03883486782647705,0.0,0.9348355806256532,0.0,0.9588039584121274,0.0,0.9312611359711366,0.0,0.19677961195988702,1.0,0.26627586174378015,0.0,0.011100208147380997,0.0,0.27916695995265006,0.0,0.9626096911744991,0.0,0.5323998986869332,0.0,0.8654570493043183,0.0,0.49681579512311824,0.0,0.735322379548905
CPI,300,6.836456298828125,0.12552132989785103,0.0,0.042622524023432175,0.0,0.9600195530141294,1.0,0.7442221570639971,1.0,0.57087003825734,0.0,0.21673280954712038,0.0,0.4910495382223897,0.0,0.928306670248455,0.0,0.7562249095000335,0.0,0.1539467073742496,1.0,0.1676141597902116,1.0,0.9020422998376988,0.0,0.7689769480892656,1.0,0.09253793283849837,0.0,0.910272402967841,0.0,0.5918839096855891,0.0,0.2846484384154321,1.0,0.5070851781726755,0.0,0.05174620267678248,0.0,0.4614900122659916,0.0,0.6448050069652046,1.0,0.046912084358619315,0.0,0.5686189304194189,1.0,0.016524446558803974,0.0,0.8679768830033239,0.0,0.5015151369359062,1.0,0.7428723481936229,0.0,0.8443468749927887,0.0,0.18288593939655146,0.0,0.49952094117915363,0.0,0.6736864055910583,0.0,0.742806498511697,0.0,0.3033813454381933,0.0,0.1630314082219162,0.0,0.9386315208607237,1.0,0.12448572283922521,0.0,0.8692664583648415,1.0,0.9960583124411854,0.0,0.8732183289440605,0.0,0.7296981110206701,0.0,0.856742491362952,0.0,0.8273880009922081,0.0,0.24122141319548523,1.0,0.14700266620473085,0.0,0.8586575003375136,0.0,0.6648285819192908,0.0,0.07445705738215928,0.0,0.986203217679096,0.0,0.25602217581590153,0.0,0.9323257084893508,0.0,0.9683363552872771
CPI_sqrt,300,6.847823143005371,0.12552132989785103,0.0,0.5050481457409169,0.0,0.5837992355616355,1.0,0.7028347944440201,1.0,0.0698418761331314,0.0,0.494980395069686,0.0,0.27618465913243695,0.0,0.5986402637726584,0.0,0.4654517872578332,0.0,0.5793304355269557,1.0,0.17527241358490298,1.0,0.7292099741767173,0.0,0.7308927227963435,1.0,0.17159732240045017,0.0,0.5602348740820096,0.0,0.5741714347726531,0.0,0.23751301970155436,1.0,0.3205819641281981,0.0,0.301091052923819,0.0,0.564545975216572,0.0,0.35353068198205784,1.0,0.3785593502506057,0.0,0.6776431127032464,1.0,0.3349310472639475,0.0,0.46460449815061816,0.0,0.7924407718848376,1.0,0.3067481571096744,0.0,0.6170031201367772,0.0,0.5260525716813919,0.0,0.31638084425914814,0.0,0.48198184299996083,0.0,0.3669801051078926,0.0,0.5564832101156663,0.0,0.5937558265108559,0.0,0.8105946910432182,1.0,0.2546734239590813,0.0,0.7487395930901155,1.0,0.5893944851700864,0.0,0.6194791931524084,0.0,0.4438464721073001,0.0,0.5237846619785376,0.0,0.611373542443457,0.0,0.5381511864011914,1.0,0.14149462144683617,0.0,0.5574487321877255,0.0,0.5150070095978515,0.0,0.6245448530603398,0.0,0.6720093594900656,0.0,0.5293400760984692,0.0,0.5009550303939413,0.0,0.5618499969907614
CPI_n,300,6.871667146682739,0.12552132989785103,0.0,0.17472812160334517,0.0,0.7480245367025147,1.0,0.9256107887523167,1.0,0.2451480088530696,0.0,0.38954313117227657,0.0,0.5790904180862386,0.0,0.8258173463495357,0.0,0.5610329622986427,0.0,0.5567286416650098,1.0,0.03833052507031111,1.0,0.3579367376456871,0.0,0.8034574800133663,1.0,0.20856041047747031,0.0,0.9100052228862943,0.0,0.761323379853018,0.0,0.11562508685775524,1.0,0.020817199556190987,0.0,0.26391137597304326,0.0,0.30549909421435756,0.0,0.3816186907346591,1.0,0.677703354019441,0.0,0.7954022830637356,1.0,0.03883249982563406,0.0,0.8479035597823619,0.0,0.6080664527783295,1.0,0.3104698932631116,0.0,0.7759528995044542,0.0,0.9066322330723995,0.0,0.17928344532886914,0.0,0.3372162890925574,0.0,0.09334042896931538,0.0,0.7375537882260371,0.0,0.5740235297038573,0.0,0.8461450938623241,1.0,0.09714389390674599,0.0,0.9036515917257455,1.0,0.8257350448326446,0.0,0.4324207428056173,0.0,0.49256093451602473,0.0,0.42723447664098413,0.0,0.7028164060471006,0.0,0.4798346989143944,1.0,0.1793616109122836,0.0,0.6007230393538565,0.0,0.6254933610457029,0.0,0.6607141153915862,0.0,0.41910782327924556,0.0,0.54344254861451,0.0,0.7118912152690915,0.0,0.905825641201673
CPI_bt,300,7.049087047576904,0.12552132989785103,0.0,0.20756777966322976,0.0,0.8928115651793076,1.0,0.34774294359174707,1.0,0.4709496326249265,0.0,0.621120577378446,0.0,0.30653326342503734,0.0,0.9178343531724701,0.0,0.5786165040277037,0.0,0.37877419884698577,1.0,0.40309277025193574,1.0,0.5095914395286641,0.0,0.5200010605831208,1.0,0.3561693253009547,0.0,0.7120437838101236,0.0,0.7106906991312107,0.0,0.3984797351757055,1.0,0.45875486707762525,0.0,0.03332850809157239,0.0,0.48923821207162316,0.0,0.46935105074049893,1.0,0.0998712146018112,0.0,0.8981586099250299,1.0,0.1151797812804281,0.0,0.5051507703636091,0.0,0.5966105565695711,1.0,0.47964542738750576,0.0,0.9429542466422167,0.0,0.7323131435692802,0.0,0.030095494929442267,0.0,0.934124860966871,0.0,0.5811529584553871,0.0,0.8683478745550377,0.0,0.3960814476601794,0.0,0.7631057078497843,1.0,0.2504175507962872,0.0,0.5185549081461431,1.0,0.8521125370412361,0.0,0.8025622665348411,0.0,0.4574734539245908,0.0,0.8516522946151801,0.0,0.9407302135817792,0.0,0.5687012980554643,1.0,0.3277816672544368,0.0,0.033035419028857,0.0,0.5150815114803494,0.0,0.5678481708789725,0.0,0.9595925180254605,0.0,0.4813931404454385,0.0,0.9730635628590604,0.0,0.8380268720215445
CPI_sqd,300,7.0137317180633545,0.12552132989785103,0.0,0.5502643989507731,0.0,0.9831692037048451,1.0,0.4347022311811227,1.0,0.4578359702204659,0.0,0.2726309073442227,0.0,0.2805250739326448,0.0,0.9539493720227825,0.0,0.3882986784691215,0.0,0.4193340949505597,1.0,0.31488619046540645,1.0,0.4982112766847641,0.0,0.6965249170974316,1.0,0.3565421479949352,0.0,0.5391063065606022,0.0,0.8054818564581008,0.0,0.34490501670862983,1.0,0.4660997681578497,0.0,2.2503145378125308e-18,0.0,0.31929094191993723,0.0,0.9999342140494,1.0,0.6089131759734627,0.0,0.5946900847570118,1.0,0.526584682911219,0.0,0.33767555926617515,0.0,0.7992275152110289,1.0,0.4821590089077641,0.0,0.8670309680045678,0.0,0.41407361735533565,0.0,0.00014445114545232342,0.0,0.9174170486330601,0.0,0.11524663933433305,0.0,0.18672455746130961,0.0,0.33997412451895154,0.0,0.6687954194817932,1.0,0.3095643244528001,0.0,0.5883067348712886,1.0,0.9999961278391786,0.0,0.4764916848529806,0.0,0.03296945499109476,0.0,0.940929760891569,0.0,0.921194391465461,0.0,0.6003510129064951,1.0,0.25321990791706894,0.0,0.3895428703944923,0.0,0.798074291856514,0.0,0.9998316849914337,0.0,0.30527415692895515,0.0,0.35573061890466934,0.0,0.2622927110849568,0.0,0.8278667355569764
S-CPI,300,19.12095046043396,0.12552132989785103,0.0,0.10892413049657168,0.0,0.9609260331825308,1.0,0.915667527311292,1.0,0.3119417020983782,0.0,0.4713663801654763,0.0,0.034475215315144386,0.0,0.9497392589934406,0.0,0.8213247201783884,0.0,0.595170773758996,1.0,0.797439239273147,1.0,0.6599455177166016,0.0,0.8727358266032542,1.0,0.0066174243898289836,0.0,0.7038793723974173,0.0,0.650768347865599,0.0,0.04712333891404262,1.0,0.28414548087518743,0.0,0.031139308180062497,0.0,0.38514729722595276,0.0,0.5097831050971924,1.0,0.2657203203705605,0.0,0.7694183257968475,1.0,0.0045392765751271595,0.0,0.36808920577766646,0.0,0.8628616644953385,1.0,0.32718537954348736,0.0,0.8178613213898396,0.0,0.881686808393226,0.0,0.09863132218032206,0.0,0.3551031235257151,0.0,0.15873326937787696,0.0,0.6337045954308409,0.0,0.7613089915192957,0.0,0.9059063210091816,1.0,0.13648106390359316,0.0,0.5165454446505281,1.0,0.9671997149837122,0.0,0.9531448979329751,0.0,0.4511727383944891,0.0,0.6069897304002791,0.0,0.9035626484342887,0.0,0.7000148386140911,1.0,0.011891024118954752,0.0,0.19062833393229095,0.0,0.5484568099997218,0.0,0.5913687964039959,0.0,0.7564625908135547,0.0,0.39445869521884924,0.0,0.2855233866752472,0.0,0.8537696834261199
S-CPI_sqrt,300,18.879305362701416,0.12552132989785103,0.0,0.43147956667138787,0.0,0.6077670675105873,1.0,0.7735892918383562,1.0,0.38105926251061184,0.0,0.5611314325833873,0.0,0.23729600906515746,0.0,0.7207650896679412,0.0,0.7082301154053823,0.0,0.5294561381322836,1.0,0.6363944181743427,1.0,0.4940269189569215,0.0,0.737263764677506,1.0,0.04192057861636521,0.0,0.6569065469133297,0.0,0.6793359574737546,0.0,0.13912799843386975,1.0,0.6062279924011068,0.0,0.31054830031672215,0.0,0.489358933490807,0.0,0.48177657102767873,1.0,0.31816607347867104,0.0,0.7234832230860119,1.0,0.04371619988393794,0.0,0.5202874170520407,0.0,0.5799164295080458,1.0,0.3708845062587711,0.0,0.7119127004478749,0.0,0.727154533958129,0.0,0.2992193033327017,0.0,0.4628632708621408,0.0,0.36568078057387005,0.0,0.5056286467431036,0.0,0.5750069620744174,0.0,0.8008627980848086,1.0,0.19294962199639276,0.0,0.6141606495134697,1.0,0.7468362876240678,0.0,0.6165190423857607,0.0,0.4499290505972732,0.0,0.4753197452062617,0.0,0.612997164584552,0.0,0.5917529825039677,1.0,0.07515229110665805,0.0,0.6265124714072581,0.0,0.46956495627764194,0.0,0.49214455696608617,0.0,0.5636618503247489,0.0,0.4489058039074385,0.0,0.45949891157711525,0.0,0.7127501344817112
S-CPI_n,300,18.87351703643799,0.12552132989785103,0.0,0.1654040484062862,0.0,0.8133184954561827,1.0,0.8872926901909276,1.0,0.27152941196332653,0.0,0.3591847201859824,0.0,0.23926085225079674,0.0,0.9089697362099965,0.0,0.7599774937663223,0.0,0.4470465837885317,1.0,0.46715970131897433,1.0,0.5720109926599738,0.0,0.7492115039744734,1.0,0.005011517941440203,0.0,0.7946919099974186,0.0,0.7559931171581038,0.0,0.03585171347685927,1.0,0.5191111920508883,0.0,0.06327612654145938,0.0,0.7817367377829914,0.0,0.5003711214413412,1.0,0.07209552187760562,0.0,0.8794993009392806,1.0,0.006159128050246445,0.0,0.5195920649731458,0.0,0.6390768305775325,1.0,0.27356322274808975,0.0,0.7768863224187246,0.0,0.851134979201059,0.0,0.13094309678237004,0.0,0.32526899140015264,0.0,0.16425505918768374,0.0,0.5610874800207255,0.0,0.5633216297660276,0.0,0.8144649568754903,1.0,0.15860086469220025,0.0,0.5853306819110223,1.0,0.9539582412157602,0.0,0.7774929858229529,0.0,0.34984584884937237,0.0,0.5619145525013338,0.0,0.850273745080728,0.0,0.782564250401494,1.0,0.00759978572389173,0.0,0.527864724413693,0.0,0.4620447924331898,0.0,0.44441969695313327,0.0,0.7171032476189985,0.0,0.5137147058936792,0.0,0.4380258538024027,0.0,0.9111089242691446
S-CPI_bt,300,19.04281711578369,0.12552132989785103,0.0,0.2045341690844788,0.0,0.6266629368614114,1.0,0.6235907522444315,1.0,0.48962556194286466,0.0,0.6520202154564168,0.0,0.33987798172495143,0.0,0.8530448340304335,0.0,0.5668923153834102,0.0,0.4869597544585025,1.0,0.47106955288471275,1.0,0.5337774259986775,0.0,0.5715313139844048,1.0,0.39975282723490735,0.0,0.615106049933633,0.0,0.7451678443693592,0.0,0.3831479836592571,1.0,0.4468808785106764,0.0,0.03601235283872646,0.0,0.5067010109359777,0.0,0.65372418748296,1.0,0.05411434890888223,0.0,0.7013164323541846,1.0,0.12825797643989378,0.0,0.5970260858401857,0.0,0.5671427863721409,1.0,0.4894349151672918,0.0,0.6933126474848066,0.0,0.7492602555697909,0.0,0.043345159840818825,0.0,0.3392930622250051,0.0,0.18516041620062734,0.0,0.8824467247340806,0.0,0.5776675877326373,0.0,0.6237076771945346,1.0,0.387862135691602,0.0,0.5246426975913479,1.0,0.9616077883870067,0.0,0.8113378721636847,0.0,0.3843875613859853,0.0,0.7239664212003784,0.0,0.796729243330663,0.0,0.5945912712718179,1.0,0.2698476125204745,0.0,0.5578808551903756,0.0,0.6250987919494833,0.0,0.5726095507862475,0.0,0.6205938140780104,0.0,0.363272210543381,0.0,0.27654823247591,0.0,0.6439647204730926
