method,n,tr_time,r2_test,tr_V0,pval0,tr_V1,pval1,tr_V2,pval2,tr_V3,pval3,tr_V4,pval4,tr_V5,pval5,tr_V6,pval6,tr_V7,pval7,tr_V8,pval8,tr_V9,pval9,tr_V10,pval10,tr_V11,pval11,tr_V12,pval12,tr_V13,pval13,tr_V14,pval14,tr_V15,pval15,tr_V16,pval16,tr_V17,pval17,tr_V18,pval18,tr_V19,pval19,tr_V20,pval20,tr_V21,pval21,tr_V22,pval22,tr_V23,pval23,tr_V24,pval24,tr_V25,pval25,tr_V26,pval26,tr_V27,pval27,tr_V28,pval28,tr_V29,pval29,tr_V30,pval30,tr_V31,pval31,tr_V32,pval32,tr_V33,pval33,tr_V34,pval34,tr_V35,pval35,tr_V36,pval36,tr_V37,pval37,tr_V38,pval38,tr_V39,pval39,tr_V40,pval40,tr_V41,pval41,tr_V42,pval42,tr_V43,pval43,tr_V44,pval44,tr_V45,pval45,tr_V46,pval46,tr_V47,pval47,tr_V48,pval48,tr_V49,pval49
LOCO-W,300,2.400710344314575,0.2759214979097473,0.0,0.1792605691216781,0.0,0.0051796451596352044,0.0,0.010770303440198359,0.0,0.945787624061953,1.0,0.9740345723801221,1.0,0.4921679204750661,0.0,0.06271699192774516,0.0,0.15403123637961913,1.0,0.9815216963103224,0.0,0.9545370492859656,1.0,0.7350357957177345,1.0,0.08408819712936277,0.0,0.32145626598426014,0.0,0.060903565975703344,1.0,0.006140171357762458,0.0,0.2157224997744851,0.0,0.5931203625215994,0.0,0.5708981618516,0.0,0.7923876753312973,0.0,0.9812621055105185,0.0,0.021855294374998335,0.0,0.399939070107974,0.0,0.31149510855131735,0.0,0.08926847140393956,0.0,0.7880045893234784,0.0,0.7262542396759798,1.0,0.0170174626403633,0.0,0.29722609323054416,1.0,0.8385112115305176,0.0,0.974298829753443,0.0,0.40921012652633715,1.0,0.3932265950864203,1.0,0.8683485335480233,0.0,0.9267219145543468,0.0,0.6402447997321585,0.0,0.37125031173375067,1.0,0.14930098312825035,0.0,0.12324394724234566,0.0,0.7682661728878044,0.0,0.9999970917941208,0.0,0.3353757956202892,0.0,0.1232116324429029,0.0,0.501507015380636,0.0,0.5370908596244135,0.0,0.7301305858840652,1.0,0.7698559689014441,0.0,0.934606200584958,0.0,0.8215726542836226,0.0,0.08714814436728602,0.0,0.31619258626724156
CPI,300,3.1997413635253906,0.2759214979097473,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.08347831899874353,0.0,1.0,0.0,1.0,1.0,0.12766308827156847,0.0,0.6360829010272752,1.0,0.028209472315665864,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.000800657811771553,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.49045145434175996,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.3497235210015292,1.0,0.041502202808202465,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.6143569290502715,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.9219001375098017,0.0,0.514759398589593,0.0,1.0,0.0,0.7244193302260307,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
CPI_sqrt,300,3.1825568675994873,0.2759214979097473,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,1.0,0.5,1.0,0.07062777560427952,0.0,0.5,0.0,0.5,1.0,0.4970178281653541,0.0,0.5739413105559567,1.0,0.2375190677199574,1.0,0.5,0.0,0.5,0.0,0.5,1.0,0.0011427946601783687,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,1.0,0.027156675390564797,0.0,0.5,1.0,0.5,0.0,0.5,0.0,0.5806555722278657,1.0,0.2008563506807251,1.0,0.5,0.0,0.5,0.0,0.5,0.0,0.4194806086640329,1.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.7607914178851912,0.0,0.49546815385663956,0.0,0.5,0.0,0.6780603310384242,1.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5
CPI_n,300,3.1904640197753906,0.2759214979097473,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,1.0,0.5,1.0,0.07325672029824004,0.0,0.5,0.0,0.5,1.0,0.14092857482162685,0.0,0.7511010817434982,1.0,0.15519567947173762,1.0,0.5,0.0,0.5,0.0,0.5,1.0,0.026472456523554615,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,1.0,0.18417788316955702,0.0,0.5,1.0,0.5,0.0,0.5,0.0,0.566501835617759,1.0,0.14895360933531115,1.0,0.5,0.0,0.5,0.0,0.5,0.0,0.7599725933661898,1.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.9344065700778289,0.0,0.4533896305380931,0.0,0.5,0.0,0.3798037997823459,1.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5
CPI_bt,300,3.3569018840789795,0.2759214979097473,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,1.0,0.5,1.0,0.4650719253559784,0.0,0.5,0.0,0.5,1.0,0.35415285458942214,0.0,0.2878738616713194,1.0,0.4453695326957714,1.0,0.5,0.0,0.5,0.0,0.5,1.0,0.4744021298413017,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,1.0,0.4050419065784844,0.0,0.5,1.0,0.5,0.0,0.5,0.0,0.8176564086182232,1.0,0.46974172175187756,1.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5377594606866335,1.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5204587055860902,0.0,0.2460547766084274,0.0,0.5,0.0,0.7776034831537261,1.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5
CPI_sqd,300,3.3533437252044678,0.2759214979097473,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,1.0,0.5,1.0,0.4691519710658112,0.0,0.5,0.0,0.5,1.0,0.34650649945766987,0.0,0.9847965824854827,1.0,0.3738989036278758,1.0,0.5,0.0,0.5,0.0,0.5,1.0,0.47468488854988516,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,1.0,0.43199172575754646,0.0,0.5,1.0,0.5,0.0,0.5,0.0,0.9304266822908891,1.0,0.47804509181486315,1.0,0.5,0.0,0.5,0.0,0.5,0.0,0.740918637673016,1.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.6681676703651322,0.0,0.9957851740514572,0.0,0.5,0.0,0.8149105627035542,1.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5
S-CPI,300,3.283578634262085,0.2759214979097473,0.0,5.1769006220667636e-05,0.0,5.1769006220667636e-05,0.0,5.1769006220667636e-05,0.0,5.1769006220667636e-05,1.0,5.1769006220667636e-05,1.0,0.010320133053211384,0.0,5.1769006220667636e-05,0.0,5.1769006220667636e-05,1.0,0.16610222849538087,0.0,0.5810767717432425,1.0,0.2292802886012999,1.0,5.1769006220667636e-05,0.0,5.1769006220667636e-05,0.0,5.1769006220667636e-05,1.0,0.030282064272619588,0.0,5.1769006220667636e-05,0.0,5.1769006220667636e-05,0.0,5.1769006220667636e-05,0.0,5.1769006220667636e-05,0.0,5.1769006220667636e-05,0.0,5.1769006220667636e-05,0.0,5.1769006220667636e-05,0.0,5.1769006220667636e-05,0.0,5.1769006220667636e-05,0.0,5.1769006220667636e-05,0.0,5.1769006220667636e-05,1.0,0.025305220906416633,0.0,5.1769006220667636e-05,1.0,5.1769006220667636e-05,0.0,5.1769006220667636e-05,0.0,0.9618386780272639,1.0,0.16027868545469692,1.0,5.1769006220667636e-05,0.0,5.1769006220667636e-05,0.0,5.1769006220667636e-05,0.0,0.6953981761498903,1.0,5.1769006220667636e-05,0.0,5.1769006220667636e-05,0.0,5.1769006220667636e-05,0.0,5.1769006220667636e-05,0.0,5.1769006220667636e-05,0.0,0.9812459789206792,0.0,0.25798613611787913,0.0,5.1769006220667636e-05,0.0,0.7287684632961371,1.0,5.1769006220667636e-05,0.0,5.1769006220667636e-05,0.0,5.1769006220667636e-05,0.0,5.1769006220667636e-05,0.0,5.1769006220667636e-05
S-CPI_sqrt,300,3.285074234008789,0.2759214979097473,0.0,0.4999999999999864,0.0,0.4999999999999864,0.0,0.4999999999999864,0.0,0.4999999999999864,1.0,0.4999999999999864,1.0,0.022586680576270425,0.0,0.4999999999999864,0.0,0.4999999999999864,1.0,0.23823872306781346,0.0,0.5154750586654664,1.0,0.32745284245955575,1.0,0.4999999999999864,0.0,0.4999999999999864,0.0,0.4999999999999864,1.0,0.0891814601022462,0.0,0.4999999999999864,0.0,0.4999999999999864,0.0,0.4999999999999864,0.0,0.4999999999999864,0.0,0.4999999999999864,0.0,0.4999999999999864,0.0,0.4999999999999864,0.0,0.4999999999999864,0.0,0.4999999999999864,0.0,0.4999999999999864,0.0,0.4999999999999864,1.0,0.060008056218713454,0.0,0.4999999999999864,1.0,0.4999999999999864,0.0,0.4999999999999864,0.0,0.5844955408373996,1.0,0.22733237044857618,1.0,0.4999999999999864,0.0,0.4999999999999864,0.0,0.4999999999999864,0.0,0.6183094304609791,1.0,0.4999999999999864,0.0,0.4999999999999864,0.0,0.4999999999999864,0.0,0.4999999999999864,0.0,0.4999999999999864,0.0,0.8571781094898032,0.0,0.48100004724557194,0.0,0.4999999999999864,0.0,0.681726478573017,1.0,0.4999999999999864,0.0,0.4999999999999864,0.0,0.4999999999999864,0.0,0.4999999999999864,0.0,0.4999999999999864
S-CPI_n,300,3.285611867904663,0.2759214979097473,0.0,0.49999999999987105,0.0,0.49999999999987105,0.0,0.49999999999987105,0.0,0.49999999999987105,1.0,0.49999999999987105,1.0,0.004704354086228528,0.0,0.49999999999987105,0.0,0.49999999999987105,1.0,0.13731755973615134,0.0,0.6002756086047565,1.0,0.4266147895788999,1.0,0.49999999999987105,0.0,0.49999999999987105,0.0,0.49999999999987105,1.0,0.026925603802822582,0.0,0.49999999999987105,0.0,0.49999999999987105,0.0,0.49999999999987105,0.0,0.49999999999987105,0.0,0.49999999999987105,0.0,0.49999999999987105,0.0,0.49999999999987105,0.0,0.49999999999987105,0.0,0.49999999999987105,0.0,0.49999999999987105,0.0,0.49999999999987105,1.0,0.019861730673834444,0.0,0.49999999999987105,1.0,0.49999999999987105,0.0,0.49999999999987105,0.0,0.7580836744931065,1.0,0.23488090160203712,1.0,0.49999999999987105,0.0,0.49999999999987105,0.0,0.49999999999987105,0.0,0.45560806530778875,1.0,0.49999999999987105,0.0,0.49999999999987105,0.0,0.49999999999987105,0.0,0.49999999999987105,0.0,0.49999999999987105,0.0,0.9244426100484701,0.0,0.3444202079763149,0.0,0.49999999999987105,0.0,0.6919790593510036,1.0,0.49999999999987105,0.0,0.49999999999987105,0.0,0.49999999999987105,0.0,0.49999999999987105,0.0,0.49999999999987105
S-CPI_bt,300,3.4648618698120117,0.2759214979097473,0.0,0.49999999999987105,0.0,0.49999999999987105,0.0,0.49999999999987105,0.0,0.49999999999987105,1.0,0.49999999999987105,1.0,0.47942608472147946,0.0,0.49999999999987105,0.0,0.49999999999987105,1.0,0.41466248203649164,0.0,0.51979043471862,1.0,0.4894734937004048,1.0,0.49999999999987105,0.0,0.49999999999987105,0.0,0.49999999999987105,1.0,0.48622547291943885,0.0,0.49999999999987105,0.0,0.49999999999987105,0.0,0.49999999999987105,0.0,0.49999999999987105,0.0,0.49999999999987105,0.0,0.49999999999987105,0.0,0.49999999999987105,0.0,0.49999999999987105,0.0,0.49999999999987105,0.0,0.49999999999987105,0.0,0.49999999999987105,1.0,0.40008061720627813,0.0,0.49999999999987105,1.0,0.49999999999987105,0.0,0.49999999999987105,0.0,0.6272654160099105,1.0,0.4934740913953369,1.0,0.49999999999987105,0.0,0.49999999999987105,0.0,0.49999999999987105,0.0,0.6276840533706031,1.0,0.49999999999987105,0.0,0.49999999999987105,0.0,0.49999999999987105,0.0,0.49999999999987105,0.0,0.49999999999987105,0.0,0.6708723007048647,0.0,0.3886358416557454,0.0,0.49999999999987105,0.0,0.8933075532231955,1.0,0.49999999999987105,0.0,0.49999999999987105,0.0,0.49999999999987105,0.0,0.49999999999987105,0.0,0.49999999999987105
