method,n,tr_time,r2_test,tr_V0,pval0,tr_V1,pval1,tr_V2,pval2,tr_V3,pval3,tr_V4,pval4,tr_V5,pval5,tr_V6,pval6,tr_V7,pval7,tr_V8,pval8,tr_V9,pval9,tr_V10,pval10,tr_V11,pval11,tr_V12,pval12,tr_V13,pval13,tr_V14,pval14,tr_V15,pval15,tr_V16,pval16,tr_V17,pval17,tr_V18,pval18,tr_V19,pval19,tr_V20,pval20,tr_V21,pval21,tr_V22,pval22,tr_V23,pval23,tr_V24,pval24,tr_V25,pval25,tr_V26,pval26,tr_V27,pval27,tr_V28,pval28,tr_V29,pval29,tr_V30,pval30,tr_V31,pval31,tr_V32,pval32,tr_V33,pval33,tr_V34,pval34,tr_V35,pval35,tr_V36,pval36,tr_V37,pval37,tr_V38,pval38,tr_V39,pval39,tr_V40,pval40,tr_V41,pval41,tr_V42,pval42,tr_V43,pval43,tr_V44,pval44,tr_V45,pval45,tr_V46,pval46,tr_V47,pval47,tr_V48,pval48,tr_V49,pval49
LOCO-W,300,69.70313000679016,0.27706438689073554,0.0,1.333544581427759e-07,0.0,0.9999999240931012,1.0,0.16047517648230847,1.0,0.929020347908463,1.0,0.997503757128888,0.0,0.09079098862747226,0.0,3.9284120401106293e-10,0.0,0.036861219230747144,1.0,0.9999999998282696,0.0,3.987077368261538e-08,0.0,0.9999575891602474,1.0,0.023304867056078593,0.0,0.0884619107196799,1.0,0.001077221255913141,0.0,0.0002029310894458014,0.0,0.8419626308446695,0.0,1.575993335833914e-09,1.0,0.26111235517397036,0.0,0.9999730699520433,0.0,0.9999999993266456,0.0,1.5160739756381325e-05,0.0,0.8870355752758723,0.0,0.9036443456398617,1.0,7.00086460909688e-05,0.0,1.580695115133146e-06,0.0,0.9999786191889635,0.0,9.906367698075957e-05,0.0,0.9999999875426357,0.0,0.8684693506132847,0.0,0.9928097544729995,0.0,0.1347507097165892,0.0,0.9999999978276697,1.0,0.04276580627219839,0.0,0.999992027249581,0.0,0.01791146066238325,0.0,0.9999999999999795,0.0,1.0103029524088925e-14,1.0,0.9999998589709739,0.0,0.04566785738731527,0.0,0.9999999999998581,1.0,0.9935326646693429,0.0,0.0044946651568936735,0.0,3.369047263390712e-10,0.0,0.9999996878382569,0.0,2.1094237467877974e-15,0.0,0.7869890192419703,1.0,0.9999999997275866,0.0,0.46732928232182724,0.0,0.9999043550172891,0.0,0.9991763854052604
CPI,300,4.219374895095825,0.27706438689073554,0.0,0.24783539859555676,0.0,0.07566447415993562,1.0,0.6554045244335535,1.0,0.15137418371153838,1.0,0.7168934407644054,0.0,0.27167716248840035,0.0,0.7869927740043641,0.0,0.1968815071988027,1.0,0.16772585787548727,0.0,0.8062516749858624,0.0,0.803764510203689,1.0,0.7451763335056405,0.0,0.5539094400561428,1.0,0.6353452560549124,0.0,0.05406928969616579,0.0,0.10735772378856184,0.0,0.6055285686964685,1.0,0.18413692772939433,0.0,0.8356512046396254,0.0,0.16174982415473038,0.0,0.978682692242343,0.0,0.7224578979340003,0.0,0.40327946766875633,1.0,0.9753953294477974,0.0,0.7801566496659148,0.0,0.683563238385295,0.0,0.08149065669461203,0.0,0.9357098327486211,0.0,0.3556646518387391,0.0,0.7713252432125814,0.0,0.1472646323381135,0.0,0.7407622247536563,1.0,0.10208171063670879,0.0,0.734455977342779,0.0,0.2604539795296817,0.0,0.8381076372969772,0.0,0.8176986612419819,1.0,0.20517390193010682,0.0,0.09975512707958356,0.0,0.6441214458183608,1.0,0.38422157885109853,0.0,0.8131521968255497,0.0,0.6719678592798289,0.0,0.19381719233175487,0.0,0.2087623147483747,0.0,0.6914085767550167,1.0,0.7103838805702536,0.0,0.992419701129053,0.0,0.36658111648115355,0.0,0.35236288978239616
CPI_sqrt,300,4.214568853378296,0.27706438689073554,0.0,0.5033243345718228,0.0,0.4911151371444591,1.0,0.5074307359325776,1.0,0.4610511396119599,1.0,0.5016609230153578,0.0,0.49215089343728285,0.0,0.5081819271662102,0.0,0.48341375153742383,1.0,0.4529084732270201,0.0,0.4994367223976211,0.0,0.5081805130989694,1.0,0.49569795952884543,0.0,0.48401648812342235,1.0,0.5141671702852968,0.0,0.48351488712072316,0.0,0.49895760151769497,0.0,0.49180251985297474,1.0,0.4879008737888278,0.0,0.5135004701507465,0.0,0.4992784581024347,0.0,0.5039584272939546,0.0,0.5080046802443823,0.0,0.5085418857971608,1.0,0.5155854546966815,0.0,0.5025959957640058,0.0,0.49812062534096146,0.0,0.49708805394047034,0.0,0.5085259655365251,0.0,0.5085101963993534,0.0,0.5162792965611666,0.0,0.48330549213075685,0.0,0.5071587688913581,1.0,0.45834099013399177,0.0,0.5149761621938342,0.0,0.500797748771666,0.0,0.5068447660578677,0.0,0.4963804521289566,1.0,0.4137898292182287,0.0,0.48873213036424895,0.0,0.5058662736794478,1.0,0.5155457062830694,0.0,0.5182045871236794,0.0,0.5040420982340375,0.0,0.5009857399761327,0.0,0.497639699917683,0.0,0.5215308366171787,1.0,0.5038135224406511,0.0,0.5027625601272651,0.0,0.4969361109070584,0.0,0.4951395617536631
CPI_n,300,4.2197160720825195,0.27706438689073554,0.0,0.4560179323454025,0.0,0.45506200920680073,1.0,0.45642945576492877,1.0,0.4270949120509734,1.0,0.5373920003364024,0.0,0.5444539163451672,0.0,0.6323462537387771,0.0,0.5819953533961544,1.0,0.5289699318890796,0.0,0.5125954394637335,0.0,0.5614017276328027,1.0,0.4628083666618006,0.0,0.4863597256884334,1.0,0.39604505643318055,0.0,0.46130976211692853,0.0,0.542974316833124,0.0,0.39748739560485186,1.0,0.40631071448903416,0.0,0.43853934484721274,0.0,0.5326445446139058,0.0,0.5101176058134991,0.0,0.4403536998052706,0.0,0.5457338093663562,1.0,0.6038371299938252,0.0,0.520641917635603,0.0,0.4522569369699213,0.0,0.42308257791015924,0.0,0.5324710530238909,0.0,0.5002134516563798,0.0,0.5984671998143231,0.0,0.35271673186442964,0.0,0.4854130539372749,1.0,0.0980801392986611,0.0,0.7177042279046274,0.0,0.5152678352757295,0.0,0.5170600534834396,0.0,0.5151875484120799,1.0,0.41249736910358514,0.0,0.3974195022726271,0.0,0.47857670400432023,1.0,0.588311982532355,0.0,0.5595326166739621,0.0,0.5577992825799166,0.0,0.46874763724506885,0.0,0.5003089292760459,0.0,0.5044030732345219,1.0,0.6215451011064737,0.0,0.5733464513697483,0.0,0.6464359291720871,0.0,0.5048457425927086
CPI_bt,300,4.403786659240723,0.27706438689073554,0.0,0.5035049712544123,0.0,0.43548216142037643,1.0,0.5040142681875599,1.0,0.8986787196668856,1.0,0.5091245226830985,0.0,0.20061621502324933,0.0,0.6495003705155069,0.0,0.398546688113216,1.0,0.3280803974206741,0.0,0.48457460761119037,0.0,0.6751642862436061,1.0,0.5255197869840031,0.0,0.5338506829639594,1.0,0.49274863752492404,0.0,0.28759102142387427,0.0,0.4176465839507183,0.0,0.5499954050800997,1.0,0.4382651490310939,0.0,0.7773737886087022,0.0,0.5512381985930119,0.0,0.4941064079295726,0.0,0.5519621152688479,0.0,0.4603629821040309,1.0,0.7091947244253608,0.0,0.5819186556891826,0.0,0.48034845241038765,0.0,0.4621717273516294,0.0,0.5205155368809259,0.0,0.5268938550662337,0.0,0.5033858200244516,0.0,0.2980272328763828,0.0,0.4396584553681296,1.0,0.006775132227170416,0.0,0.6892076435606715,0.0,0.5141866232870286,0.0,0.5207083773471324,0.0,0.6583595766700547,1.0,0.14469525146734374,0.0,0.48321991056240715,0.0,0.5342410669883263,1.0,0.6484744063728309,0.0,0.4305176879890904,0.0,0.4501987699979944,0.0,0.4953667086754673,0.0,0.5419112727507746,0.0,0.5286185694026327,1.0,0.37737505165804913,0.0,0.45207659920995824,0.0,0.41954772805101226,0.0,0.4853767484469965
CPI_sqd,300,4.4067909717559814,0.27706438689073554,0.0,1.1556879866367308e-07,0.0,2.0224869159457008e-188,1.0,3.470730065568328e-251,1.0,1.0,1.0,0.9415204041131526,0.0,9.03595989508885e-294,0.0,1.0,0.0,0.07649511559945912,1.0,0.9674769709990088,0.0,9.477681989239172e-07,0.0,1.0,1.0,0.9999999996284934,0.0,7.383260603677957e-139,1.0,0.9999999997558091,0.0,3.9722973356306893e-66,0.0,1.0,0.0,1.572860755131497e-11,1.0,0.30938376145937785,0.0,3.440159364811349e-87,0.0,2.5303503464684114e-14,0.0,1.0,0.0,0.22314571517138804,0.0,3.288574573484463e-12,1.0,1.0,0.0,1.0,0.0,2.0241054138109754e-07,0.0,6.491515431052653e-19,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0932558238964323e-18,1.0,0.0,0.0,1.0,0.0,5.1036532178928174e-05,0.0,1.0,0.0,1.0,1.0,2.868072255955235e-97,0.0,2.3850775731885146e-67,0.0,0.9987443527547818,1.0,0.02355053997043365,0.0,1.0,0.0,0.04231599778453313,0.0,3.42425852627784e-24,0.0,0.9997786779042241,0.0,1.0,1.0,1.0,0.0,0.9999999997050947,0.0,1.0,0.0,0.7817660664980044
S-CPI,300,4.673061847686768,0.27706438689073554,0.0,0.2985400717940103,0.0,0.020833465333597364,1.0,0.6501548438618254,1.0,0.923140979345003,1.0,0.298870206849243,0.0,0.40053921959547967,0.0,0.9404095982717011,0.0,0.528179168352731,1.0,0.5600623056954295,0.0,0.4931328824640727,0.0,0.9145910406965434,1.0,0.2732005880428939,0.0,0.24265717801979247,1.0,0.6510008292481235,0.0,0.2912510768665272,0.0,0.38671863837055076,0.0,0.7868769252128276,1.0,0.11192659611789613,0.0,0.8657287156821978,0.0,0.6040215613807854,0.0,0.7926644128602572,0.0,0.28639461157104895,0.0,0.5373185636232789,1.0,0.9724533652652219,0.0,0.9987503890159105,0.0,0.4920791286504427,0.0,0.34551252819390976,0.0,0.9673899196354893,0.0,0.6059522824394507,0.0,0.9220163071255159,0.0,0.05482458222344484,0.0,0.41323824756144906,1.0,0.10896732065326664,0.0,0.8183027062282339,0.0,0.5305730641746241,0.0,0.813183741133679,0.0,0.7269076850455497,1.0,0.12435237142396383,0.0,0.1493576097117299,0.0,0.48553782867887435,1.0,0.6514640872259656,0.0,0.734923757577299,0.0,0.8051296757956987,0.0,0.29057376000303814,0.0,0.6701595646630263,0.0,0.8371461472165066,1.0,0.8089731544574315,0.0,0.9159532402599976,0.0,0.6785963380829898,0.0,0.39777867034721587
S-CPI_sqrt,300,4.6768481731414795,0.27706438689073554,0.0,0.49917017818765236,0.0,0.47878651173828124,1.0,0.502790927161227,1.0,0.5498403551237252,1.0,0.49882266671483577,0.0,0.4937254832100674,0.0,0.5177416336013687,0.0,0.5025859351660951,1.0,0.49968846916504794,0.0,0.5061808838191213,0.0,0.5158308053474197,1.0,0.4873591608570443,0.0,0.48814539291561443,1.0,0.5120393536378649,0.0,0.48652958890870845,0.0,0.4959412691027671,0.0,0.5148895127330249,1.0,0.486909177071802,0.0,0.5223497780835629,0.0,0.501710644602809,0.0,0.5054284978904348,0.0,0.4971594428334703,0.0,0.5011822285913087,1.0,0.5316672295587863,0.0,0.5203377707688772,0.0,0.5087568686122862,0.0,0.4933791388549362,0.0,0.527146281734672,0.0,0.5243605494777631,0.0,0.5016742694627996,0.0,0.46597968032398185,0.0,0.49947080471499417,1.0,0.435144080863174,0.0,0.54325274135783,0.0,0.4995730065263535,0.0,0.507514133729113,0.0,0.5044091069629274,1.0,0.4422153386601821,0.0,0.4900226887636085,0.0,0.5059022073339624,1.0,0.5234604970476292,0.0,0.5048596679499818,0.0,0.5080417265366239,0.0,0.49032175333863565,0.0,0.5014991868880997,0.0,0.5203750968546739,1.0,0.5169651792304284,0.0,0.5109924421861822,0.0,0.5094796052692118,0.0,0.49760940447811913
S-CPI_n,300,4.665839195251465,0.27706438689073554,0.0,0.47137441612922026,0.0,0.2697575037529243,1.0,0.6189596707263532,1.0,0.5675441617069759,1.0,0.5063124377095509,0.0,0.4940996243016169,0.0,0.6638860102080237,0.0,0.4838059339707958,1.0,0.4182085052550171,0.0,0.5301115183568514,0.0,0.6572857526455159,1.0,0.4627168432084147,0.0,0.49995177722900463,1.0,0.5324326046735032,0.0,0.40788405491542645,0.0,0.45370765047229306,0.0,0.5598899356724686,1.0,0.46538449045456964,0.0,0.633090767718667,0.0,0.5335552672571223,0.0,0.5416439542140323,0.0,0.47154730557919905,0.0,0.5215481851788059,1.0,0.6556133870365708,0.0,0.6388926768235506,0.0,0.558132883372616,0.0,0.4446944532780037,0.0,0.6644880058855641,0.0,0.5874933739377121,0.0,0.6039233663816759,0.0,0.2840365456932253,0.0,0.5537247407462634,1.0,0.17655564041795568,0.0,0.7761031322465489,0.0,0.4988679259368286,0.0,0.5721306409575163,0.0,0.5424479170119931,1.0,0.29734016814253755,0.0,0.42366667030345556,0.0,0.5084606027816824,1.0,0.6130127558410869,0.0,0.574421462521499,0.0,0.5555782889533711,0.0,0.4272939776205421,0.0,0.5217482630896543,0.0,0.5617702225400774,1.0,0.6084071630731892,0.0,0.5698410798425614,0.0,0.5497826445181608,0.0,0.4887730891183524
S-CPI_bt,300,4.853874921798706,0.27706438689073554,0.0,0.4758795308383224,0.0,0.20588902171409784,1.0,0.5280704725264346,1.0,0.9175810590435931,1.0,0.5030040768787785,0.0,0.292338129200136,0.0,0.6710165925344256,0.0,0.46957125807412287,1.0,0.4606569694966379,0.0,0.5497968454222171,0.0,0.5938683345548545,1.0,0.46099448014890215,0.0,0.3874845293745626,1.0,0.5447016641342233,0.0,0.36399491331393563,0.0,0.5280001905209935,0.0,0.677674465187006,1.0,0.3651086647986982,0.0,0.9005979550386856,0.0,0.4944245840244486,0.0,0.570712708761594,0.0,0.5012753775355295,0.0,0.5469571412411147,1.0,0.738890431011732,0.0,0.6678072669667037,0.0,0.5439129125622784,0.0,0.42299964366633347,0.0,0.7003053255404266,0.0,0.6415800171667966,0.0,0.5860309154558034,0.0,0.2403059234324737,0.0,0.517743697456007,1.0,0.006216963623228554,0.0,0.842453937437377,0.0,0.5252735405622644,0.0,0.6461301215214357,0.0,0.5883596959521483,1.0,0.12939667853181802,0.0,0.42534516259064725,0.0,0.4936031668618904,1.0,0.7225733037471715,0.0,0.6066418986315439,0.0,0.660071556742237,0.0,0.4080879596535173,0.0,0.5141454381532101,0.0,0.6658904350961178,1.0,0.6196733272311614,0.0,0.5399907478887209,0.0,0.5187724929276337,0.0,0.48967583184827274
