method,n,tr_time,r2_test,tr_V0,pval0,tr_V1,pval1,tr_V2,pval2,tr_V3,pval3,tr_V4,pval4,tr_V5,pval5,tr_V6,pval6,tr_V7,pval7,tr_V8,pval8,tr_V9,pval9,tr_V10,pval10,tr_V11,pval11,tr_V12,pval12,tr_V13,pval13,tr_V14,pval14,tr_V15,pval15,tr_V16,pval16,tr_V17,pval17,tr_V18,pval18,tr_V19,pval19,tr_V20,pval20,tr_V21,pval21,tr_V22,pval22,tr_V23,pval23,tr_V24,pval24,tr_V25,pval25,tr_V26,pval26,tr_V27,pval27,tr_V28,pval28,tr_V29,pval29,tr_V30,pval30,tr_V31,pval31,tr_V32,pval32,tr_V33,pval33,tr_V34,pval34,tr_V35,pval35,tr_V36,pval36,tr_V37,pval37,tr_V38,pval38,tr_V39,pval39,tr_V40,pval40,tr_V41,pval41,tr_V42,pval42,tr_V43,pval43,tr_V44,pval44,tr_V45,pval45,tr_V46,pval46,tr_V47,pval47,tr_V48,pval48,tr_V49,pval49
LOCO-W,300,14.705928325653076,-0.1881917781467175,0.0,0.9016814332977301,0.0,0.6819787953867178,0.0,0.9819723055873038,0.0,0.9597447642452901,0.0,0.7323189088527006,0.0,0.9285504998975039,0.0,0.23467103256107358,0.0,0.9434199035168779,0.0,0.9308261186424408,0.0,0.4345251647165356,0.0,0.5808672487879065,0.0,0.6409272900993909,1.0,0.31110863723185833,1.0,0.43737532772328414,0.0,0.6843266441476816,1.0,0.5614073218444027,0.0,0.26790784704949877,0.0,0.5903482486194374,0.0,0.3057564052166759,1.0,0.5912952325719785,0.0,0.5466321108462089,0.0,0.8978892039368134,0.0,0.39502654931798453,0.0,0.3675679459757789,0.0,0.9252459490070919,0.0,0.974475461969578,0.0,0.5267858003582234,0.0,0.7834680485554737,0.0,0.6542271559257884,0.0,0.838247619247658,1.0,0.7125248961989252,0.0,0.7454568745866165,0.0,0.5508326078929288,0.0,0.8118056787188141,0.0,0.8319822802651619,0.0,0.22656109631623322,0.0,0.2333553119000007,1.0,0.6315051934515286,0.0,0.8774458996514731,0.0,0.9927277788144401,0.0,0.8347322471492375,1.0,0.5758717511970759,1.0,0.8532880096646938,1.0,0.5616353958078029,1.0,0.6914014681694891,0.0,0.9885729313418795,1.0,0.9094555739940162,1.0,0.7689041463776838,0.0,0.6204299308389558,0.0,0.8844962208133165
CPI,300,3.6498420238494873,-0.1881917781467175,0.0,0.9000565455216791,0.0,0.5929274142492417,0.0,0.7210359212849389,0.0,0.9216556359842496,0.0,0.841494428935706,0.0,0.9887114200125382,0.0,0.02497163070877323,0.0,0.5580764774735711,0.0,0.7591418642475136,0.0,0.9461977818739724,0.0,0.49263619289487537,0.0,0.31540103976348166,1.0,0.023656159982749343,1.0,0.7682019001043361,0.0,0.4447436585560579,1.0,0.3797146947788517,0.0,0.6260030159104331,0.0,0.027274065178796603,0.0,0.4417712953049503,1.0,0.03054754865952266,0.0,0.03501042690702177,0.0,0.9821130333694937,0.0,0.902446138856027,0.0,0.28544132606439976,0.0,0.7507008493487873,0.0,0.23870643886695908,0.0,0.6441869880360228,0.0,0.5266395751928336,0.0,0.380455745632431,0.0,0.3078688118244406,1.0,0.8248893649718885,0.0,0.48896481881963116,0.0,0.11284233397661975,0.0,0.45139343709566054,0.0,0.881754387031456,0.0,0.8737391885363919,0.0,0.7222917912833146,1.0,0.8235233549188447,0.0,0.6786660923491502,0.0,0.9078494815786341,0.0,0.5505553773287607,1.0,0.011492270757922987,1.0,0.6482271500161695,1.0,0.18778801709625592,1.0,0.9171282277215558,0.0,0.5182163621009057,1.0,0.0031009130192539373,1.0,0.841257804266887,0.0,0.5270164705876013,0.0,0.7962497045275008
CPI_sqrt,300,3.6257855892181396,-0.1881917781467175,0.0,0.5241439484644361,0.0,0.49144107779529617,0.0,0.44765817630208543,0.0,0.5266772015288789,0.0,0.544480187048116,0.0,0.521161200475519,0.0,0.46629508167471984,0.0,0.5181587155870706,0.0,0.5613023418200718,0.0,0.5385347263128903,0.0,0.5479361762906367,0.0,0.550796698511492,1.0,0.494686118160959,1.0,0.5357334444643436,0.0,0.4381430746839702,1.0,0.46287695226930187,0.0,0.5654109342233908,0.0,0.459649460996193,0.0,0.5073864796636738,1.0,0.4996135059624361,0.0,0.46046831358303353,0.0,0.5437117215583489,0.0,0.531280513830057,0.0,0.4910687794106075,0.0,0.4948880302938265,0.0,0.47675001843297704,0.0,0.4876280707556612,0.0,0.48750095260988857,0.0,0.5237810288586625,0.0,0.4876115059966755,1.0,0.5424641770076698,0.0,0.48316033785581136,0.0,0.5166893418162427,0.0,0.5288068805704277,0.0,0.5768404905869478,0.0,0.49797688433120046,0.0,0.5261571520393197,1.0,0.5233064871310473,0.0,0.5233136279946224,0.0,0.5717584278216977,0.0,0.5283274629907309,1.0,0.4169335396086848,1.0,0.5088275968845523,1.0,0.49925715083622063,1.0,0.6021703356663867,0.0,0.5463989371473311,1.0,0.4664961061066674,1.0,0.47035521135930414,0.0,0.4858743307105868,0.0,0.4759925516212417
CPI_n,300,3.6228787899017334,-0.1881917781467175,0.0,0.7196322184238715,0.0,0.5465787545293972,0.0,0.34516865597633295,0.0,0.3793334324941434,0.0,0.39200410350824194,0.0,0.7019085477826443,0.0,0.5787694616170529,0.0,0.6489134461293391,0.0,0.6254319806262179,0.0,0.8809489632358432,0.0,0.4523096542818029,0.0,0.7031065076967357,1.0,0.5477707667535688,1.0,0.44857903847988484,0.0,0.4042846844498353,1.0,0.2747409785801116,0.0,0.5667008939117337,0.0,0.3574837426152307,0.0,0.2906694200623776,1.0,0.14524544952438517,0.0,0.3914407573896437,0.0,0.6987649236452133,0.0,0.9119818452016776,0.0,0.24663174022596163,0.0,0.29822630510412373,0.0,0.5038217439462063,0.0,0.2353953029928526,0.0,0.5946956437406135,0.0,0.5438415048441585,0.0,0.35726444617177544,1.0,0.1482568426875468,0.0,0.4958336890166446,0.0,0.4489624710027663,0.0,0.5473991380340111,0.0,0.6921449352684693,0.0,0.6048899890536881,0.0,0.6105282908748645,1.0,0.48344249392412403,0.0,0.34262375785996546,0.0,0.7838038156366534,0.0,0.6270585047810153,1.0,0.2573352879333263,1.0,0.5285822220625,1.0,0.4432148028794296,1.0,0.7925473823397674,0.0,0.629065677558685,1.0,0.2961756348351597,1.0,0.6682702512350116,0.0,0.6620454806806414,0.0,0.508561306443784
CPI_bt,300,3.8071792125701904,-0.1881917781467175,0.0,0.8751974536890146,0.0,0.22203210454125472,0.0,0.307982341852581,0.0,0.3248626525900093,0.0,0.7601821840207663,0.0,0.7200618098145136,0.0,0.4688345516030452,0.0,0.404798843962221,0.0,0.41072337610719944,0.0,0.2887599823793153,0.0,0.3240729506649731,0.0,0.6741185626802559,1.0,0.46943680951305095,1.0,0.8538744025670942,0.0,0.6121481311676839,1.0,0.14707663435974572,0.0,0.5183836368456175,0.0,0.7496278657798341,0.0,0.579592998201417,1.0,0.00637904287286898,0.0,0.226520821469833,0.0,0.9827136423601044,0.0,0.1452891336591139,0.0,0.5324858625544402,0.0,0.18732151889380821,0.0,0.2557112566939228,0.0,0.035752665161051744,0.0,0.751432297388064,0.0,0.3166836746741502,0.0,0.3001409442854527,1.0,0.10894373778842936,0.0,0.21349879062533422,0.0,0.382018344462188,0.0,0.3400130540293397,0.0,0.9284396775294278,0.0,0.4788342543590155,0.0,0.8484350713923182,1.0,0.8964499265838264,0.0,0.41827931155516096,0.0,0.2834898133865045,0.0,0.1210401309283084,1.0,0.012941382291754554,1.0,0.35049141061867284,1.0,0.022556803837938823,1.0,0.9925639864143628,0.0,0.5109830322785359,1.0,0.00903935174512815,1.0,0.8570203519495327,0.0,0.5154113998813965,0.0,0.3527799010389756
CPI_sqd,300,3.8042423725128174,-0.1881917781467175,0.0,1.9354884379908143e-111,0.0,0.0,0.0,1.0,0.0,0.9553849777684174,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0589380451163483e-88,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.952625247253058e-225,1.0,0.0,0.0,0.9999960866409237,0.0,1.0,0.0,1.0,0.0,8.349876402468595e-118,0.0,0.9999915809514084,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.8108887422230372e-273,0.0,0.0,1.0,5.707793056070836e-13,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.6105029560930654e-05,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,2.194407777669267e-72,1.0,1.0,0.0,3.681861658909587e-15,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0
S-CPI,300,3.7896554470062256,-0.1881917781467175,0.0,0.9977519833075627,0.0,0.4789287841513027,0.0,0.949245012368006,0.0,0.6089665163188789,0.0,0.9409396155624172,0.0,0.9731808434875252,0.0,0.7390354003402282,0.0,0.6450051224226827,0.0,0.7152572561827696,0.0,0.9919072636560622,0.0,0.7439659119980686,0.0,0.4288268609621939,1.0,0.6326853144747684,1.0,0.7849021568544369,0.0,0.7414893938477263,1.0,0.30257939295557634,0.0,0.796057881896231,0.0,0.7987333845192169,0.0,0.5836571181872406,1.0,0.16683743691153108,0.0,0.21945651956169238,0.0,0.996063322694072,0.0,0.9093424758150498,0.0,0.5198980664072163,0.0,0.18682605408481612,0.0,0.5559963259790758,0.0,0.1954043306441534,0.0,0.5825130684586949,0.0,0.7306500632166643,0.0,0.3865877399894456,1.0,0.5089678556876135,0.0,0.37170934484808227,0.0,0.19644443986320315,0.0,0.7381633867366839,0.0,0.9298702217903874,0.0,0.5210344732770812,0.0,0.9259546626634356,1.0,0.9226682349983346,0.0,0.885756788037921,0.0,0.9182251691207346,0.0,0.7153475775279106,1.0,0.09009273137320684,1.0,0.8568336918591404,1.0,0.45361051436016686,1.0,0.9953714806403587,0.0,0.9265923554067661,1.0,0.14567357163901695,1.0,0.8585641188408943,0.0,0.8920479440034894,0.0,0.46728659037662507
S-CPI_sqrt,300,3.7953708171844482,-0.1881917781467175,0.0,0.6096681300970186,0.0,0.512421382018633,0.0,0.5592058513766245,0.0,0.5333442807572915,0.0,0.5685118317770317,0.0,0.5554649540138834,0.0,0.5256220614692794,0.0,0.5197717062524191,0.0,0.571225968342517,0.0,0.5847486484384413,0.0,0.5117686137838182,0.0,0.48139269397427115,1.0,0.5098233372248812,1.0,0.5166929460332299,0.0,0.5297265545624463,1.0,0.44038174002693287,0.0,0.544655785516922,0.0,0.5191943725630606,0.0,0.5159179028633781,1.0,0.44977360164264335,0.0,0.46556431351416794,0.0,0.6146387761779737,0.0,0.5929271069409416,0.0,0.5190905719476119,0.0,0.43932343239651045,0.0,0.5095846661513432,0.0,0.46787456686512485,0.0,0.5607627711045993,0.0,0.5415715505215349,0.0,0.47954891789039444,1.0,0.4971887157403134,0.0,0.49632416753571096,0.0,0.477551496228789,0.0,0.5259383928023759,0.0,0.5704924012793143,0.0,0.5326128863923036,0.0,0.5669785849921323,1.0,0.5555962943298977,0.0,0.5331916524819442,0.0,0.5923327339980065,0.0,0.5117197684376324,1.0,0.4315101562003914,1.0,0.5603678986876078,1.0,0.4960236681419828,1.0,0.647448616288607,0.0,0.5719242603049336,1.0,0.4202261011611832,1.0,0.5658346981746571,0.0,0.5305926995615307,0.0,0.48105671894542096
S-CPI_n,300,3.7937135696411133,-0.1881917781467175,0.0,0.953857994658842,0.0,0.5998891613683559,0.0,0.7806744711799221,0.0,0.5048418323300703,0.0,0.7574611926403565,0.0,0.7465013302300444,0.0,0.7195097244944582,0.0,0.5595697488005463,0.0,0.7417125318234014,0.0,0.9242836813600728,0.0,0.7157408255864849,0.0,0.5386055809135513,1.0,0.5375025534314904,1.0,0.6141352100225671,0.0,0.537300040076608,1.0,0.20177812878915097,0.0,0.6051446266810909,0.0,0.49577440146389284,0.0,0.5922186670127452,1.0,0.35319011565005387,0.0,0.36488976840488907,0.0,0.8942291920887784,0.0,0.8235611016008745,0.0,0.5684101326278187,0.0,0.29044491298389985,0.0,0.48960106571694806,0.0,0.419479215535524,0.0,0.5948277891251874,0.0,0.6550024480484203,0.0,0.482967157134419,1.0,0.579694496651732,0.0,0.37483778167545534,0.0,0.2977352561164529,0.0,0.5903510214900611,0.0,0.775987761870527,0.0,0.6149135434096646,0.0,0.7996726745518468,1.0,0.6991753961275213,0.0,0.6671120575547393,0.0,0.8039446172617359,0.0,0.5798090998896054,1.0,0.29239871514584886,1.0,0.6630098296608531,1.0,0.3304688005688735,1.0,0.9420021749547888,0.0,0.7791588225229914,1.0,0.12876987082490016,1.0,0.7823240442040058,0.0,0.7580401072531727,0.0,0.4913810353187767
S-CPI_bt,300,3.9788944721221924,-0.1881917781467175,0.0,0.9990684990339906,0.0,0.6075642909785449,0.0,0.8740869436840499,0.0,0.49838706612952044,0.0,0.937028212146372,0.0,0.9370264291352347,0.0,0.8906821859323798,0.0,0.8634853343375772,0.0,0.9772394891175609,0.0,0.9986098107772361,0.0,0.9285352319023472,0.0,0.7343408032892613,1.0,0.4204320865315436,1.0,0.8587169885179785,0.0,0.469720241320577,1.0,0.21438593534174016,0.0,0.9479433372178461,0.0,0.5272732542388093,0.0,0.6524307491771517,1.0,0.14895473300524315,0.0,0.28766546005240784,0.0,0.9982555653201476,0.0,0.9937825835986827,0.0,0.580658944756269,0.0,0.07713996627968078,0.0,0.5279390697143755,0.0,0.14612406494938301,0.0,0.5916957920975916,0.0,0.81470801336381,0.0,0.7407243956471543,1.0,0.5222601064297355,0.0,0.3075890909244452,0.0,0.2044365530835331,0.0,0.8058100399959234,0.0,0.9154916239610393,0.0,0.9073495624919556,0.0,0.8857239813362129,1.0,0.8526474875558434,0.0,0.9464682494243735,0.0,0.9894124041796162,0.0,0.7493793789267237,1.0,0.060757357911817085,1.0,0.8658392772271373,1.0,0.35943952393176315,1.0,0.9999949094758112,0.0,0.8983989268541094,1.0,0.00013970807264560115,1.0,0.9219455634291585,0.0,0.7847854176703092,0.0,0.19692896532588677
