method,n,tr_time,r2_test,tr_V0,pval0,tr_V1,pval1,tr_V2,pval2,tr_V3,pval3,tr_V4,pval4,tr_V5,pval5,tr_V6,pval6,tr_V7,pval7,tr_V8,pval8,tr_V9,pval9,tr_V10,pval10,tr_V11,pval11,tr_V12,pval12,tr_V13,pval13,tr_V14,pval14,tr_V15,pval15,tr_V16,pval16,tr_V17,pval17,tr_V18,pval18,tr_V19,pval19,tr_V20,pval20,tr_V21,pval21,tr_V22,pval22,tr_V23,pval23,tr_V24,pval24,tr_V25,pval25,tr_V26,pval26,tr_V27,pval27,tr_V28,pval28,tr_V29,pval29,tr_V30,pval30,tr_V31,pval31,tr_V32,pval32,tr_V33,pval33,tr_V34,pval34,tr_V35,pval35,tr_V36,pval36,tr_V37,pval37,tr_V38,pval38,tr_V39,pval39,tr_V40,pval40,tr_V41,pval41,tr_V42,pval42,tr_V43,pval43,tr_V44,pval44,tr_V45,pval45,tr_V46,pval46,tr_V47,pval47,tr_V48,pval48,tr_V49,pval49
LOCO-W,300,126.21895337104797,0.3507745291160951,0.0,0.4446126183083474,0.0,0.018410061799320587,0.0,0.7873436187065792,0.0,0.9847245418844532,0.0,0.8470175229995304,0.0,0.45572771643872856,0.0,0.7692604980643796,0.0,0.8281062059178608,0.0,0.9369723509030936,0.0,0.6174854296182852,0.0,0.4982981236209505,0.0,0.6836258297216289,0.0,0.44575146620336004,1.0,0.7691857079602935,0.0,0.28810493386113045,0.0,0.9233451463368847,0.0,0.30119585006278626,0.0,0.5288689048500308,0.0,0.6656700654427754,0.0,0.06781052776072494,0.0,0.7250791748275283,0.0,0.315335537531769,0.0,0.744746720034206,0.0,0.14353389114217208,1.0,0.8390527181256334,0.0,0.14765806362405742,1.0,0.4123346644894317,1.0,0.29237819300766865,0.0,0.980963719526136,0.0,0.9257432935415812,0.0,0.8818096839942513,0.0,0.9053008631069215,0.0,0.3007304386087908,0.0,0.974793798258404,1.0,0.7634780131759279,0.0,0.6039122584972838,1.0,0.1620899512585161,0.0,0.7276659205044365,1.0,0.6602969747200294,1.0,0.06814877591926183,0.0,0.7023263058958878,1.0,0.23057695605899564,1.0,0.3013304448391604,1.0,0.30066026950757707,0.0,0.1256721431288168,0.0,0.8627260857165981,0.0,0.09528100277587725,0.0,0.053319645484634304,1.0,0.2829416170331158,0.0,0.45202233353551846
CPI,300,6.39434552192688,0.3507745291160951,0.0,0.8689040183491634,0.0,0.29670810830689487,0.0,0.9598512877177665,0.0,0.7163484785506844,0.0,0.7917385897726933,0.0,0.5943355945051305,0.0,0.3952788608691761,0.0,0.6128285442390985,0.0,0.8054667207407473,0.0,0.2420368369892334,0.0,0.26409408004475377,0.0,0.34135584386297435,0.0,0.47734202432368,1.0,0.38457077432858466,0.0,0.7441830224178312,0.0,0.19200359691374036,0.0,0.1970556016839265,0.0,0.4744474845892839,0.0,0.07765414492808853,0.0,0.6933779406013103,0.0,0.9024848437006399,0.0,0.8177390494267398,0.0,0.9540982508741883,0.0,0.8477056688914284,1.0,0.9377431200879852,0.0,0.9569488485654709,1.0,0.3810252005557023,1.0,0.42504045266572826,0.0,0.3691281690052697,0.0,0.33306466611311514,0.0,0.28724567182747307,0.0,0.3629419215265438,0.0,0.6603369966477487,0.0,0.11573243943553779,1.0,0.5996651040679841,0.0,0.43650480736431047,1.0,0.05742006992252504,0.0,0.7180476696215335,1.0,0.5330789759468079,1.0,0.10849079104310871,0.0,0.27896232018991524,1.0,0.6694238939211112,1.0,0.9299903197128169,1.0,0.014709527021888354,0.0,0.4636569949201244,0.0,0.8849877982199379,0.0,0.8764074523677678,0.0,0.7051192907522655,1.0,0.49339497705382945,0.0,0.000373076223995517
CPI_sqrt,300,6.356985807418823,0.3507745291160951,0.0,0.5072368781430322,0.0,0.5020012960711514,0.0,0.5111042783723847,0.0,0.49979880808547417,0.0,0.5029115865344487,0.0,0.5036462172742918,0.0,0.5036224651446845,0.0,0.49739808047842726,0.0,0.5000965940234564,0.0,0.49868778764317634,0.0,0.5061500894586823,0.0,0.4960471181366736,0.0,0.5006764254518721,1.0,0.5007257327705261,0.0,0.5082913247454578,0.0,0.49965578790061016,0.0,0.49708237843852443,0.0,0.502429748934769,0.0,0.4993188366085139,0.0,0.5015599622449577,0.0,0.49066138570688655,0.0,0.50288712851229,0.0,0.5041792837797667,0.0,0.5027401028975532,1.0,0.5124393944357948,0.0,0.4997445009388639,1.0,0.5021590689119977,1.0,0.5008212070336623,0.0,0.5016085482755226,0.0,0.5031415592174368,0.0,0.4996995268377947,0.0,0.4957123230338727,0.0,0.4944820892343467,0.0,0.4968454762424513,1.0,0.5028189438189526,0.0,0.4989175437648749,1.0,0.48871240078223294,0.0,0.4949893673466631,1.0,0.5028433803103268,1.0,0.424753263883692,0.0,0.49555496276423594,1.0,0.5012874032864563,1.0,0.5013154673092111,1.0,0.3965901346267898,0.0,0.5116085381875779,0.0,0.49945023803924765,0.0,0.49894278798312897,0.0,0.5087609377932362,1.0,0.4251105438013122,0.0,0.4858958302493175
CPI_n,300,6.357882022857666,0.3507745291160951,0.0,0.5625957180740373,0.0,0.5233392810342196,0.0,0.5567691932266235,0.0,0.5186244122403596,0.0,0.5440233064701919,0.0,0.5439911843906946,0.0,0.5189984262504057,0.0,0.5006525520193921,0.0,0.4999381547154621,0.0,0.5102048977403242,0.0,0.5429350217113765,0.0,0.4886649081829266,0.0,0.5353372053764668,1.0,0.5485157483588237,0.0,0.6932739278334683,0.0,0.4907812329960138,0.0,0.4906579064847908,0.0,0.5117153624219295,0.0,0.4802440028551314,0.0,0.5078499653420518,0.0,0.4811801259441802,0.0,0.5072219734897805,0.0,0.5768589035693397,0.0,0.49203525405604776,1.0,0.5369725992614108,0.0,0.5096846934277495,1.0,0.510444484587121,1.0,0.5202023754750509,0.0,0.5121107390633213,0.0,0.5316761766265694,0.0,0.4859303159585334,0.0,0.5069919207084994,0.0,0.48336705552790704,0.0,0.4695675260757045,1.0,0.489857661199972,0.0,0.44067250760033294,1.0,0.40852064315535375,0.0,0.4380346897020154,1.0,0.5341782642157592,1.0,0.24992786526973548,0.0,0.4941032993468931,1.0,0.4966885068526074,1.0,0.5218240305164026,1.0,0.2762899426267834,0.0,0.5169834284390017,0.0,0.5112869312576934,0.0,0.49955856607214616,0.0,0.5378746580392039,1.0,0.39599559120971484,0.0,0.41109715244690304
CPI_bt,300,6.549657344818115,0.3507745291160951,0.0,0.5595060626533856,0.0,0.5135112509628329,0.0,0.5752294922083222,0.0,0.5200209782504547,0.0,0.5307423068211127,0.0,0.5131428518020891,0.0,0.526586147418467,0.0,0.5113947247886369,0.0,0.5185243272816388,0.0,0.4853848942021637,0.0,0.49215966753065055,0.0,0.5129449827090419,0.0,0.4837597727249939,1.0,0.48476655084388337,0.0,0.3401965079308002,0.0,0.4691660227274076,0.0,0.49059111072518724,0.0,0.49269119068982814,0.0,0.4871693023501031,0.0,0.49634764491354544,0.0,0.44209436709434424,0.0,0.4992454782040089,0.0,0.5137361338190981,0.0,0.5643276050583941,1.0,0.5149539825859721,0.0,0.5397849459514781,1.0,0.520846778546833,1.0,0.5014345467791174,0.0,0.49417213242103886,0.0,0.5132116189153155,0.0,0.4519386146445463,0.0,0.496474392250097,0.0,0.5195472190353524,0.0,0.45890128440089917,1.0,0.4666873349499211,0.0,0.44678883831776733,1.0,0.3867276639080126,0.0,0.4628497822653398,1.0,0.6286877810863158,1.0,0.034087709743655346,0.0,0.5252129864300409,1.0,0.495097757137963,1.0,0.4949564158247156,1.0,0.01094870283873532,0.0,0.4775897024482595,0.0,0.5204569171189387,0.0,0.5257644780416106,0.0,0.5627592424496812,1.0,0.031072417342425062,0.0,0.47966090600252387
CPI_sqd,300,6.548197269439697,0.3507745291160951,0.0,1.0,0.0,0.9886052185017876,0.0,0.9999999898641146,0.0,4.576995186985652e-10,0.0,1.0,0.0,0.7782675881310925,0.0,0.01265831890192837,0.0,0.9999865508837533,0.0,0.7441526115474805,0.0,8.703064031938955e-08,0.0,1.0,0.0,0.999874396084097,0.0,1.8134676581076983e-10,1.0,0.0021620895016448765,0.0,1.0,0.0,0.6071045459768168,0.0,1.867952005085971e-21,0.0,0.9999997103523358,0.0,0.14907400726833936,0.0,0.9999999999400035,0.0,6.923795287604062e-61,0.0,0.6689825634154323,0.0,0.2780823364390027,0.0,1.0,1.0,0.9999999999999922,0.0,0.9909927232753477,1.0,3.712571100837805e-05,1.0,0.999999967143698,0.0,0.13010481491302905,0.0,0.9999013339429101,0.0,0.6631518975823854,0.0,1.0,0.0,1.0,0.0,0.8382196376308155,1.0,1.0,0.0,7.242840536850856e-08,1.0,1.9228805804407326e-193,0.0,0.9999908993987994,1.0,0.6429327765363623,1.0,0.0,0.0,0.08721060446910034,1.0,0.9998346815115988,1.0,0.713827674626802,1.0,0.0,0.0,1.0,0.0,0.9588201860032886,0.0,0.116945927517978,0.0,0.9999991660125414,1.0,0.0,0.0,2.1041326645394186e-119
S-CPI,300,18.588844060897827,0.3507745291160951,0.0,0.9651139158287316,0.0,0.4819604944082139,0.0,0.9876315237817701,0.0,0.7962302385328455,0.0,0.6987247734428429,0.0,0.8061859853051705,0.0,0.6844422637675026,0.0,0.730935994417875,0.0,0.8428153640864402,0.0,0.11475926291821309,0.0,0.7978608931131856,0.0,0.4614362315596556,0.0,0.5359460134049614,1.0,0.5824176538101486,0.0,0.7691230016926696,0.0,0.528365282426165,0.0,0.28539300373636906,0.0,0.8283364214104199,0.0,0.11969006930224196,0.0,0.5929286818017668,0.0,0.20509435258124065,0.0,0.8509882507359514,0.0,0.9152693986538685,0.0,0.7767002741008453,1.0,0.5944283156036319,0.0,0.8359764966066396,1.0,0.534215099200319,1.0,0.718601580892402,0.0,0.5114808659412095,0.0,0.8143172246228074,0.0,0.34973687708362666,0.0,0.6527733035192325,0.0,0.5816145203011065,0.0,0.09767976020730962,1.0,0.40030306039900626,0.0,0.05460966244688487,1.0,0.23621009570422197,0.0,0.2168585044123275,1.0,0.8131352883223532,1.0,0.2747128539413148,0.0,0.2027183989587797,1.0,0.6557077740394569,1.0,0.9328891349609711,1.0,0.002332906392087493,0.0,0.45902234976385853,0.0,0.8496302447036673,0.0,0.4647706540046888,0.0,0.8246309840745993,1.0,0.5795910257397678,0.0,0.01741571115715254
S-CPI_sqrt,300,18.6048743724823,0.3507745291160951,0.0,0.5147770160429507,0.0,0.5016742420845381,0.0,0.5056099078662568,0.0,0.5030495658765607,0.0,0.5027106117145758,0.0,0.5030365931062669,0.0,0.501962047647418,0.0,0.5038076685585187,0.0,0.5052990256495373,0.0,0.4964108967945762,0.0,0.5085520038620616,0.0,0.4998333041500242,0.0,0.5002352306950573,1.0,0.5032771538090384,0.0,0.5175591777467501,0.0,0.49940068863542825,0.0,0.49893821488115725,0.0,0.5017707710608069,0.0,0.4987236615257191,0.0,0.5004166366444557,0.0,0.49542663436853746,0.0,0.5043853806383289,0.0,0.5059381754254902,0.0,0.5027906286888499,1.0,0.5053071979908215,0.0,0.504273572721075,1.0,0.501159075956681,1.0,0.5004141865513105,0.0,0.5001376265480154,0.0,0.5012154101434932,0.0,0.49736562356466824,0.0,0.5008620839709077,0.0,0.5035266048327964,0.0,0.4942960989241827,1.0,0.49882982538794135,0.0,0.4957260908744363,1.0,0.49389233657204235,0.0,0.49574103466511066,1.0,0.5099193373156363,1.0,0.43952459164415936,0.0,0.4974880430149593,1.0,0.5010873889112487,1.0,0.5025854228323919,1.0,0.38142208829494434,0.0,0.4970133603646401,0.0,0.5028380018691098,0.0,0.49967329701094676,0.0,0.5037474875343534,1.0,0.48884596207819075,0.0,0.4863708322609593
S-CPI_n,300,18.61166286468506,0.3507745291160951,0.0,0.616492381809313,0.0,0.5121290120681774,0.0,0.6048405636813079,0.0,0.5176423507396382,0.0,0.5412440884268025,0.0,0.5065867314209156,0.0,0.5113893011569453,0.0,0.5192151474603981,0.0,0.5366865291285542,0.0,0.46515751581639847,0.0,0.5607549011532669,0.0,0.5047103094182714,0.0,0.4906564242234032,1.0,0.5169426663414275,0.0,0.6596946139219965,0.0,0.5000795001230027,0.0,0.4760737173159768,0.0,0.5267251512583335,0.0,0.492194661223287,0.0,0.5006500966509506,0.0,0.46021095427576664,0.0,0.5309990814959205,0.0,0.547607590517186,0.0,0.5801305200080589,1.0,0.5488146631045201,0.0,0.520841636279284,1.0,0.5090647994040366,1.0,0.5211294149115255,0.0,0.4992600842839564,0.0,0.5193425819660838,0.0,0.49726068557804304,0.0,0.5009664200660234,0.0,0.5341313503464336,0.0,0.437152322956323,1.0,0.4895576630406469,0.0,0.45972008970756467,1.0,0.43256380077121614,0.0,0.4587076566566049,1.0,0.5182999352939077,1.0,0.30747455333601814,0.0,0.4417661740708465,1.0,0.5002755864868142,1.0,0.5214666962183695,1.0,0.05239810920220191,0.0,0.462543920666472,0.0,0.537734134559968,0.0,0.49257356365594096,0.0,0.5480398729736635,1.0,0.32841774036164295,0.0,0.4172296139124222
S-CPI_bt,300,18.790217638015747,0.3507745291160951,0.0,0.6370007846362457,0.0,0.5209068882060325,0.0,0.6455082917971655,0.0,0.5045353884964117,0.0,0.541563890551086,0.0,0.5126362446955745,0.0,0.523259828349121,0.0,0.5121438557168456,0.0,0.538458988745317,0.0,0.47609523762265543,0.0,0.5709553022376505,0.0,0.4869552837412114,0.0,0.5283040388370821,1.0,0.5048826959230102,0.0,0.8100232929907223,0.0,0.494596859522216,0.0,0.44855803713403564,0.0,0.5085529102200174,0.0,0.4777345169782782,0.0,0.5126187526175563,0.0,0.4180096308013141,0.0,0.5341268051753914,0.0,0.5474211058104756,0.0,0.5563534134014784,1.0,0.5438244212963742,0.0,0.5351653426891753,1.0,0.5043372977851219,1.0,0.5223822944435791,0.0,0.49828673049850414,0.0,0.5301355238880459,0.0,0.4731149961646377,0.0,0.5132917087916812,0.0,0.5407640896052954,0.0,0.4402032153550775,1.0,0.5183623582517736,0.0,0.4911547799430134,1.0,0.42656891064328956,0.0,0.4511554460764243,1.0,0.5647837354402795,1.0,0.1494967448829666,0.0,0.4236048169108318,1.0,0.510312770759569,1.0,0.547005852199879,1.0,0.0001483847340061314,0.0,0.46314519924366926,0.0,0.5318587249959787,0.0,0.49711264967187907,0.0,0.521894798283498,1.0,0.15593207787280672,0.0,0.37385177543424664
