method,n,tr_time,r2_test,tr_V0,pval0,tr_V1,pval1,tr_V2,pval2,tr_V3,pval3,tr_V4,pval4,tr_V5,pval5,tr_V6,pval6,tr_V7,pval7,tr_V8,pval8,tr_V9,pval9,tr_V10,pval10,tr_V11,pval11,tr_V12,pval12,tr_V13,pval13,tr_V14,pval14,tr_V15,pval15,tr_V16,pval16,tr_V17,pval17,tr_V18,pval18,tr_V19,pval19,tr_V20,pval20,tr_V21,pval21,tr_V22,pval22,tr_V23,pval23,tr_V24,pval24,tr_V25,pval25,tr_V26,pval26,tr_V27,pval27,tr_V28,pval28,tr_V29,pval29,tr_V30,pval30,tr_V31,pval31,tr_V32,pval32,tr_V33,pval33,tr_V34,pval34,tr_V35,pval35,tr_V36,pval36,tr_V37,pval37,tr_V38,pval38,tr_V39,pval39,tr_V40,pval40,tr_V41,pval41,tr_V42,pval42,tr_V43,pval43,tr_V44,pval44,tr_V45,pval45,tr_V46,pval46,tr_V47,pval47,tr_V48,pval48,tr_V49,pval49
LOCO-W,300,835.0700216293335,0.3984153087835004,1.0,0.9751602030450311,0.0,0.9998819331341444,0.0,5.573319583618286e-14,0.0,0.9999999999372374,0.0,0.0,0.0,0.5298071630403123,0.0,0.860480171747618,1.0,0.6568599679606978,0.0,0.8494996895304578,0.0,0.03910432042342604,0.0,2.4424906541753444e-15,1.0,1.887379141862766e-15,1.0,0.001402256554364989,0.0,1.0,0.0,0.41088734523679293,0.0,0.6848286038474042,0.0,0.9663569333075184,0.0,1.1102230246251565e-16,1.0,0.9932719478914434,1.0,3.1945557310564254e-12,0.0,0.9997570474160832,1.0,0.9999999992928155,0.0,2.7755575615628914e-15,0.0,0.9999999999999949,0.0,0.12743741934387431,0.0,0.999999999998252,0.0,0.6191364074795728,0.0,1.2205580990354292e-10,0.0,4.525081151340871e-06,1.0,0.006947364852666671,1.0,1.0,0.0,1.0,0.0,0.9944705186464615,1.0,0.9999971883177534,0.0,0.9984401851539354,0.0,0.9999999968282157,0.0,2.8071545088437233e-11,0.0,0.0,0.0,0.9999999999999027,0.0,0.9982740908768662,0.0,0.0,0.0,0.9999999996736073,0.0,0.9995273597157629,1.0,0.9998244635969604,0.0,0.00673811574340033,0.0,0.8941762462954654,0.0,0.8809319197971013,1.0,0.006930347265259651,0.0,0.002623432606485787,0.0,1.0
CPI,300,16.11397933959961,0.3984153087835004,1.0,0.12067424733161114,0.0,0.23971980440627266,0.0,0.3030158333020929,0.0,0.7719922199924889,0.0,0.39798502492358523,0.0,0.5200182391524596,0.0,0.710321886367374,1.0,0.20659756264594598,0.0,0.1142748634647422,0.0,0.9764026993438848,0.0,0.45848962815729477,1.0,0.6009366910776379,1.0,0.13838053025828734,0.0,0.5574421780947778,0.0,0.9752337484966296,0.0,0.8476046817036318,0.0,0.6776651265209386,0.0,0.7641799578339459,1.0,0.2839047307318856,1.0,0.29180353539381376,0.0,0.6761210352295141,1.0,0.003954256133877793,0.0,0.3428268354142153,0.0,0.17926797537106026,0.0,0.5316056633095176,0.0,0.9646258028210897,0.0,0.9614728454055488,0.0,0.9111476101303819,0.0,0.800305358727474,1.0,0.009321488776658435,1.0,0.29067153597311923,0.0,0.8788546348131481,0.0,0.34686707746519385,1.0,0.681351460212505,0.0,0.027738542704198538,0.0,0.23678498645179058,0.0,0.040569429754681086,0.0,0.24975306551633625,0.0,0.4172976250934702,0.0,0.7271827706926157,0.0,0.32969413984821194,0.0,0.8401598658452685,0.0,0.9918210308073997,1.0,0.004985444968230818,0.0,0.7316279429382513,0.0,0.2624111424627855,0.0,0.3273522327622536,1.0,0.8742625327295477,0.0,0.6552541121431229,0.0,0.7961958444251416
CPI_sqrt,300,16.118414878845215,0.3984153087835004,1.0,0.4921264305981744,0.0,0.4966631200323209,0.0,0.4996113261872156,0.0,0.5018766548073031,0.0,0.5021647311938793,0.0,0.5010726449808864,0.0,0.5028214467330563,1.0,0.5026246102731812,0.0,0.4820935800728222,0.0,0.5010767074357235,0.0,0.4977776778517954,1.0,0.49934240655885076,1.0,0.5049390473934489,0.0,0.4993704899753526,0.0,0.49824074391729334,0.0,0.5055021448385165,0.0,0.5097784002781661,0.0,0.5014769721948081,1.0,0.4957452360555546,1.0,0.488516198827508,0.0,0.513126974066682,1.0,0.4758338293448331,0.0,0.5039748872445599,0.0,0.4993610430657439,0.0,0.49923679300991175,0.0,0.5022368715007491,0.0,0.5024732829730278,0.0,0.4969154185959834,0.0,0.4999245861471141,1.0,0.4340414010244291,1.0,0.33060475559089575,0.0,0.4989910859528467,0.0,0.49764986036341496,1.0,0.5053376711491653,0.0,0.4686408676326726,0.0,0.4954965369999267,0.0,0.4980023885020588,0.0,0.49946541359038493,0.0,0.5030421419709842,0.0,0.5023376790769285,0.0,0.5006710440775364,0.0,0.5080320138789294,0.0,0.502937455809999,1.0,0.3934360108218474,0.0,0.5101677175122052,0.0,0.49808555652208136,0.0,0.5027498060738477,1.0,0.5000498087701901,0.0,0.4996626627997413,0.0,0.5100606555567648
CPI_n,300,16.121536254882812,0.3984153087835004,1.0,0.4999004109774656,0.0,0.4447959714841729,0.0,0.48666144487710833,0.0,0.5366292961702025,0.0,0.5124586605004342,0.0,0.47610337353813453,0.0,0.5189912415259016,1.0,0.5603970367292584,0.0,0.5590474377598803,0.0,0.5139416866351794,0.0,0.48309440995743613,1.0,0.48936212981255833,1.0,0.45347088585961115,0.0,0.4765390766835987,0.0,0.4995479864944654,0.0,0.5094946899023833,0.0,0.5822203287039311,0.0,0.45054607096422916,1.0,0.5325527989292632,1.0,0.43549266387279845,0.0,0.6580973559935375,1.0,0.3230617197415955,0.0,0.5427916457876246,0.0,0.43304426966415915,0.0,0.4977652429343334,0.0,0.5632223354221985,0.0,0.5227911811827755,0.0,0.5271590479998355,0.0,0.5206826394624313,1.0,0.14892240920196975,1.0,0.11465663399615122,0.0,0.5113897024050826,0.0,0.4780627203365255,1.0,0.49946010062656043,0.0,0.3824031512178608,0.0,0.5755874039649044,0.0,0.47956398716029947,0.0,0.4877552073689751,0.0,0.5035586228670389,0.0,0.4831334668957471,0.0,0.4834459589922772,0.0,0.5746810242365237,0.0,0.5115163635018308,1.0,0.09433232824679016,0.0,0.39394617738849735,0.0,0.4752016520193353,0.0,0.5273220579637918,1.0,0.4840826489309252,0.0,0.49458206135612126,0.0,0.5225838112906396
CPI_bt,300,16.295296907424927,0.3984153087835004,1.0,0.31650223901665153,0.0,0.48297068894687917,0.0,0.4455894997579771,0.0,0.49176694952443806,0.0,0.5361696411415326,0.0,0.49764428445695624,0.0,0.5053980391181214,1.0,0.6905216122401134,0.0,0.4474673606867758,0.0,0.4971030596903601,0.0,0.4995865231662748,1.0,0.47897656584707377,1.0,0.5539063792203743,0.0,0.45763771930627994,0.0,0.5287396773933634,0.0,0.4999038537072845,0.0,0.57816633107415,0.0,0.5289674611504132,1.0,0.46206947444064617,1.0,0.34639030405916316,0.0,0.5615571160600494,1.0,0.24320267593213524,0.0,0.49449946822612306,0.0,0.5013081545972113,0.0,0.5010973038713307,0.0,0.549715208826592,0.0,0.4916427615499782,0.0,0.5674466172391714,0.0,0.5123867241341393,1.0,0.06241529870750423,1.0,0.1411816497703698,0.0,0.49053748948837084,0.0,0.4901180689229618,1.0,0.5112678089272212,0.0,0.3037631454660363,0.0,0.43424521533229365,0.0,0.47877843598279013,0.0,0.5284917001066632,0.0,0.5165529322268323,0.0,0.5243745860675815,0.0,0.4981150615004475,0.0,0.5803628969436587,0.0,0.4730278529953955,1.0,7.390178932067799e-05,0.0,0.42405444793579355,0.0,0.5260267407932457,0.0,0.5234111606717717,1.0,0.46462038780095016,0.0,0.44418622095098426,0.0,0.5586668293889351
CPI_sqd,300,16.288907289505005,0.3984153087835004,1.0,0.0,0.0,1.3972556564952515e-47,0.0,2.3436807360053702e-15,0.0,0.9945171064802691,0.0,1.0,0.0,0.6805861720747917,0.0,0.0010951837800038625,1.0,0.999981352482111,0.0,2.314602474573705e-50,0.0,0.9997846427479558,0.0,1.0,1.0,1.8178957859010052e-10,1.0,3.41913629503652e-165,0.0,0.003994777471975441,0.0,1.0,0.0,0.9999452137804458,0.0,1.0,0.0,1.0,1.0,3.186300305424863e-14,1.0,1.0,0.0,0.16489421782046504,1.0,0.0,0.0,1.0,0.0,0.9999999906421257,0.0,0.9957458068886733,0.0,0.9999999999985045,0.0,0.9999988641519455,0.0,0.8938222750133435,0.0,1.1902250006897039e-11,1.0,0.0,1.0,0.0,0.0,5.8795100264652e-09,0.0,0.010994300766253752,1.0,1.0,0.0,1.7894376913738687e-178,0.0,0.7715392879353822,0.0,6.740637056614354e-14,0.0,0.9999980242841162,0.0,3.101613163941323e-20,0.0,1.0,0.0,1.4919622916412476e-12,0.0,1.0,0.0,0.9607228709364136,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.9999769154508441,1.0,0.9999999801638908,0.0,1.748111296587148e-08,0.0,1.0
S-CPI,300,28.438834190368652,0.3984153087835004,1.0,0.04044132469974584,0.0,0.184929675730923,0.0,0.10184837526748997,0.0,0.5052809526230719,0.0,0.9559590058379867,0.0,0.3406217123147457,0.0,0.4805726099911394,1.0,0.7494221951132888,0.0,0.481961498377436,0.0,0.9520067482477946,0.0,0.8001775530332145,1.0,0.3798876077014652,1.0,0.5871755944195166,0.0,0.5399470043154881,0.0,0.9862006122259926,0.0,0.7846649438819717,0.0,0.9369888062626504,0.0,0.822561408797782,1.0,0.46544249636476914,1.0,0.7336755701625717,0.0,0.7944145704720962,1.0,0.024074304835948985,0.0,0.9699690572631604,0.0,0.3494321004154819,0.0,0.5076856736362144,0.0,0.9968618424040441,0.0,0.8530892656936253,0.0,0.7144412900930213,0.0,0.7344957249339317,1.0,0.0037370282498100336,1.0,0.10097429593530838,0.0,0.18343924185331473,0.0,0.4890901339603227,1.0,0.7700169204074105,0.0,0.12910440914394522,0.0,0.601103979612961,0.0,0.047425951420904895,0.0,0.43517558308495197,0.0,0.3515064776875062,0.0,0.8686415504858114,0.0,0.36162669108688006,0.0,0.9141766425378968,0.0,0.9246414403524171,1.0,0.020669848905965467,0.0,0.7338426810177512,0.0,0.8181603392929381,0.0,0.9520915875440068,1.0,0.7169572547360719,0.0,0.36900586984173406,0.0,0.8482626596377965
S-CPI_sqrt,300,28.44097089767456,0.3984153087835004,1.0,0.46252803518688956,0.0,0.5003602786872122,0.0,0.49692255731976537,0.0,0.49990989822973003,0.0,0.5039772936719609,0.0,0.4981027324551321,0.0,0.5002617937157576,1.0,0.5151301704924836,0.0,0.5013341720451613,0.0,0.503196026645527,0.0,0.49903214934161433,1.0,0.4993784320821263,1.0,0.496366783300902,0.0,0.5003764982025972,0.0,0.5109622016198673,0.0,0.5016714196876678,0.0,0.5164710017077072,0.0,0.5051713586659565,1.0,0.500830055735439,1.0,0.5100926168832606,0.0,0.518590719088691,1.0,0.4612169034114419,0.0,0.5066287842972483,0.0,0.4988767675506347,0.0,0.5008537269057652,0.0,0.5094398228085877,0.0,0.5022045281667791,0.0,0.504263997278361,0.0,0.5028240296686782,1.0,0.4203315264221982,1.0,0.4081211762700012,0.0,0.5002357052174548,0.0,0.4995383266057649,1.0,0.5047951169878968,0.0,0.47939656613496784,0.0,0.5009943851745999,0.0,0.4966987905128344,0.0,0.5021176931830147,0.0,0.4993412157936813,0.0,0.5031834329595186,0.0,0.49837056244004035,0.0,0.5083315597194572,0.0,0.5030980329090472,1.0,0.3726498827817263,0.0,0.4988696319289617,0.0,0.5098225139669066,0.0,0.5064130863756288,1.0,0.5051725602278705,0.0,0.49669285577208366,0.0,0.5096620646206691
S-CPI_n,300,28.44416308403015,0.3984153087835004,1.0,0.25790387454314356,0.0,0.48004340345704216,0.0,0.4547634058096139,0.0,0.504452151147252,0.0,0.5369104628276332,0.0,0.48533914118253546,0.0,0.5062939124768269,1.0,0.6060920853068172,0.0,0.4823001884590673,0.0,0.5273579687763442,0.0,0.5164056446249788,1.0,0.4615103262748854,1.0,0.48049280382549125,0.0,0.4853318055748263,0.0,0.5862331908845402,0.0,0.5414622443609727,0.0,0.5950159690482573,0.0,0.5303589042449942,1.0,0.4583859132890318,1.0,0.6142410629678339,0.0,0.6597126271766305,1.0,0.2787149935784168,0.0,0.5623669515057172,0.0,0.4914328825499742,0.0,0.5149997365429162,0.0,0.5752410663899742,0.0,0.5234883950709321,0.0,0.5335060534777342,0.0,0.5241899137287017,1.0,0.1357895058333914,1.0,0.16075587150526982,0.0,0.4900735338118379,0.0,0.4917288451088651,1.0,0.5635170414167712,0.0,0.2952472965069275,0.0,0.4949738523846781,0.0,0.47727433277186665,0.0,0.5082282422245968,0.0,0.49346647035125374,0.0,0.5144907974321189,0.0,0.48329501884634085,0.0,0.5671235918160699,0.0,0.5469984159684047,1.0,0.07334010091740593,0.0,0.5210205665806642,0.0,0.5460503724323749,0.0,0.5506434173017614,1.0,0.5189274008997591,0.0,0.4854587623018175,0.0,0.5540700377728649
S-CPI_bt,300,28.606184482574463,0.3984153087835004,1.0,0.23203346159741622,0.0,0.48079246165763023,0.0,0.4536082843376048,0.0,0.5163396531901618,0.0,0.5403120515333873,0.0,0.5024001828697016,0.0,0.4929702311268974,1.0,0.6105588847361219,0.0,0.49198318023702176,0.0,0.5202136838723601,0.0,0.5096995016964654,1.0,0.4938142839501713,1.0,0.4010662380524001,0.0,0.49086789832600514,0.0,0.5798888100707194,0.0,0.5261463469931779,0.0,0.6446806013578493,0.0,0.5551746865027056,1.0,0.44202110776670245,1.0,0.6373041379899868,0.0,0.733703471239141,1.0,0.216433234557246,0.0,0.5648796126874362,0.0,0.4750230078573772,0.0,0.5168751417256381,0.0,0.5948057162180614,0.0,0.5230629719264537,0.0,0.4698173174061231,0.0,0.5200518393870412,1.0,0.005479980011675146,1.0,0.1191494031939403,0.0,0.497999252037244,0.0,0.48917199422123686,1.0,0.5279717955571347,0.0,0.21145533464283361,0.0,0.505675339502319,0.0,0.46812203810813785,0.0,0.5161256255356428,0.0,0.4851345686719637,0.0,0.5464365120780087,0.0,0.4760956335951861,0.0,0.5787363181716694,0.0,0.5835358403136772,1.0,0.0006524182133022523,0.0,0.5295958398107423,0.0,0.5757154695648091,0.0,0.5628392479980292,1.0,0.5410173284829429,0.0,0.4712663023633506,0.0,0.6023804888694827
