method,n,tr_time,r2_test,tr_V0,pval0,tr_V1,pval1,tr_V2,pval2,tr_V3,pval3,tr_V4,pval4,tr_V5,pval5,tr_V6,pval6,tr_V7,pval7,tr_V8,pval8,tr_V9,pval9,tr_V10,pval10,tr_V11,pval11,tr_V12,pval12,tr_V13,pval13,tr_V14,pval14,tr_V15,pval15,tr_V16,pval16,tr_V17,pval17,tr_V18,pval18,tr_V19,pval19,tr_V20,pval20,tr_V21,pval21,tr_V22,pval22,tr_V23,pval23,tr_V24,pval24,tr_V25,pval25,tr_V26,pval26,tr_V27,pval27,tr_V28,pval28,tr_V29,pval29,tr_V30,pval30,tr_V31,pval31,tr_V32,pval32,tr_V33,pval33,tr_V34,pval34,tr_V35,pval35,tr_V36,pval36,tr_V37,pval37,tr_V38,pval38,tr_V39,pval39,tr_V40,pval40,tr_V41,pval41,tr_V42,pval42,tr_V43,pval43,tr_V44,pval44,tr_V45,pval45,tr_V46,pval46,tr_V47,pval47,tr_V48,pval48,tr_V49,pval49
LOCO-W,300,2.23960542678833,0.41046811462532884,0.0,0.6073255255380636,1.0,0.9764439641778647,1.0,0.9921769664823944,0.0,0.32161323450329204,0.0,0.9694400676265754,1.0,0.9169832292835588,0.0,0.24928898442530856,1.0,0.9657385041181743,0.0,0.8041060181914792,0.0,0.32045512509411145,0.0,0.37532737492863,0.0,0.13640828951513972,1.0,0.1445298156767172,0.0,0.9933453335373316,0.0,0.15275311266830993,1.0,0.045937496443446246,0.0,0.26990442717747865,0.0,0.6924593903478695,1.0,0.19037992110535018,1.0,0.702909264207918,0.0,0.8463755978574511,0.0,0.6853771323185429,0.0,0.10484993337336501,0.0,0.7419895675861017,1.0,0.4979078462031058,0.0,0.6808560824853866,1.0,0.03444401020651222,0.0,0.31767639259446356,0.0,0.6868042649225593,0.0,0.8551542050155907,0.0,0.3530233512534393,1.0,0.8873349820042058,0.0,0.22392055993547044,0.0,0.42152184404604154,0.0,0.16620782877854567,0.0,0.2677955468149197,1.0,0.838805376065199,0.0,0.48578116246223657,0.0,0.15282346109340406,0.0,0.33477543863492576,0.0,0.10862386135317592,0.0,0.3678872058292668,0.0,0.013670833495725176,0.0,0.9621172934787905,0.0,0.45839521540485684,0.0,0.6170658974555799,0.0,0.5993281416722429,0.0,0.33116944754347166,0.0,0.5542801418499897,0.0,0.6609188116734102
CPI,300,3.2587239742279053,0.41046811462532884,0.0,1.0,1.0,0.08485240630604185,1.0,1.0,0.0,1.0,0.0,0.5335599843319113,1.0,1.0,0.0,1.0,1.0,0.19991918491776456,0.0,0.5430114024463397,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.3298797580630044,0.0,0.1788416213106399,0.0,0.854371379113934,1.0,0.7645339870365685,0.0,1.0,0.0,1.0,1.0,0.001273141870969301,1.0,0.003748718524883367,0.0,1.0,0.0,0.2748672598812291,0.0,1.0,0.0,1.0,1.0,0.06254469554124295,0.0,1.0,1.0,0.0009052251545910333,0.0,0.43691105060712393,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.45904971742795314,0.0,1.0,0.0,1.0,0.0,0.4230906426683782,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.31657645934554524,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.7329626816979792
CPI_sqrt,300,3.246365547180176,0.41046811462532884,0.0,0.5,1.0,0.5107241543947627,1.0,0.5,0.0,0.5,0.0,0.4995824049695764,1.0,0.5,0.0,0.5,1.0,0.49340981538507195,0.0,0.4954367852009345,0.0,0.5,0.0,0.5,0.0,0.5,1.0,0.3905756656337866,0.0,0.5004384736148052,0.0,0.5009905789844231,1.0,0.5003428852541727,0.0,0.5,0.0,0.5,1.0,0.47292864471516,1.0,0.44005474311625103,0.0,0.5,0.0,0.5011429973903279,0.0,0.5,0.0,0.5,1.0,0.39933986452752374,0.0,0.5,1.0,0.41688086812894015,0.0,0.5002724663965216,0.0,0.5,0.0,0.5,0.0,0.5,1.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,1.0,0.4942361884337274,0.0,0.5,0.0,0.5,0.0,0.5092993216708458,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.4999796975544437,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.4993073352595688
CPI_n,300,3.253877878189087,0.41046811462532884,0.0,0.5,1.0,0.3705176829293292,1.0,0.5,0.0,0.5,0.0,0.4941894029910893,1.0,0.5,0.0,0.5,1.0,0.29735595998411546,0.0,0.5380045085690497,0.0,0.5,0.0,0.5,0.0,0.5,1.0,0.17123654030907637,0.0,0.5052138917140154,0.0,0.5184114389740362,1.0,0.3109047631248305,0.0,0.5,0.0,0.5,1.0,0.3564999972663554,1.0,0.3138690948082326,0.0,0.5,0.0,0.5220387659989446,0.0,0.5,0.0,0.5,1.0,0.054421925413133225,0.0,0.5,1.0,0.040585471820258734,0.0,0.5017218055437542,0.0,0.5,0.0,0.5,0.0,0.5,1.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,1.0,0.4953375135431044,0.0,0.5,0.0,0.5,0.0,0.5035131050057825,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.4515225886438812,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.48125286229393294
CPI_bt,300,3.428990602493286,0.41046811462532884,0.0,0.5,1.0,0.44947291292821545,1.0,0.5,0.0,0.5,0.0,0.4940928679576489,1.0,0.5,0.0,0.5,1.0,0.37472791346295237,0.0,0.45000661869687075,0.0,0.5,0.0,0.5,0.0,0.5,1.0,0.03251598391969704,0.0,0.4943228936366168,0.0,0.5145691790162299,1.0,0.5001550191158382,0.0,0.5,0.0,0.5,1.0,0.4365052347653365,1.0,0.15929182782062773,0.0,0.5,0.0,0.5203750350311245,0.0,0.5,0.0,0.5,1.0,4.164634531638261e-05,0.0,0.5,1.0,1.0434510814524968e-07,0.0,0.5004978866746344,0.0,0.5,0.0,0.5,0.0,0.5,1.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,1.0,0.4965624268207699,0.0,0.5,0.0,0.5,0.0,0.6658910506914043,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.47077350318626693,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5396690389039707
CPI_sqd,300,3.4251551628112793,0.41046811462532884,0.0,0.5,1.0,1.0,1.0,0.5,0.0,0.5,0.0,0.6129749637240703,1.0,0.5,0.0,0.5,1.0,0.0,0.0,1.542285569669367e-46,0.0,0.5,0.0,0.5,0.0,0.5,1.0,0.0,0.0,0.8854577856255184,0.0,0.615842293867086,1.0,8.4429042253977e-266,0.0,0.5,0.0,0.5,1.0,0.0,1.0,0.0,0.0,0.5,0.0,0.9970497880245581,0.0,0.5,0.0,0.5,1.0,0.0,0.0,0.5,1.0,0.0,0.0,0.9383555685447817,0.0,0.5,0.0,0.5,0.0,0.5,1.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,1.0,6.619158923033022e-14,0.0,0.5,0.0,0.5,0.0,1.0,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,3.037160819920791e-11,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.016604925696522662
S-CPI,300,3.3497514724731445,0.41046811462532884,0.0,0.5,1.0,0.5100964598285914,1.0,0.5,0.0,0.5,0.0,0.4644367493594313,1.0,0.5,0.0,0.5,1.0,0.0653697525479199,0.0,0.8492232167640557,0.0,0.5,0.0,0.5,0.0,0.5,1.0,0.2738764586068286,0.0,0.8045535906584251,0.0,0.767681980907404,1.0,0.4430238787876192,0.0,0.5,0.0,0.5,1.0,0.006439717929554196,1.0,0.0017509877047287804,0.0,0.5,0.0,0.7261377407577109,0.0,0.5,0.0,0.5,1.0,0.032925942386880874,0.0,0.5,1.0,0.0009085175432543536,0.0,0.745759773839392,0.0,0.5,0.0,0.5,0.0,0.5,1.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,1.0,0.2837243503875809,0.0,0.5,0.0,0.5,0.0,0.8033892666914945,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.3147832724728864,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.8365922810165587
S-CPI_sqrt,300,3.349429130554199,0.41046811462532884,0.0,0.5,1.0,0.5031616993305059,1.0,0.5,0.0,0.5,0.0,0.5011427790180548,1.0,0.5,0.0,0.5,1.0,0.4707648372212187,0.0,0.5174790126886095,0.0,0.5,0.0,0.5,0.0,0.5,1.0,0.48182695331162934,0.0,0.5004511985224077,0.0,0.5017669015815264,1.0,0.4876920709893573,0.0,0.5,0.0,0.5,1.0,0.45743335681736064,1.0,0.43298038239146885,0.0,0.5,0.0,0.5011736758065989,0.0,0.5,0.0,0.5,1.0,0.39828129823380704,0.0,0.5,1.0,0.285312439286825,0.0,0.5001897436185541,0.0,0.5,0.0,0.5,0.0,0.5,1.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,1.0,0.4954224919566351,0.0,0.5,0.0,0.5,0.0,0.5171665651226465,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.4970775798791432,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5143270901274564
S-CPI_n,300,3.3493893146514893,0.41046811462532884,0.0,0.5,1.0,0.46722457262210393,1.0,0.5,0.0,0.5,0.0,0.5024633607834987,1.0,0.5,0.0,0.5,1.0,0.3649606315448031,0.0,0.5990692793847454,0.0,0.5,0.0,0.5,0.0,0.5,1.0,0.30169597452640434,0.0,0.49631579510711005,0.0,0.5184947419443809,1.0,0.42549597980399023,0.0,0.5,0.0,0.5,1.0,0.19695299753729378,1.0,0.12509350951063458,0.0,0.5,0.0,0.5004262956080869,0.0,0.5,0.0,0.5,1.0,0.14494117713719473,0.0,0.5,1.0,0.014922115973760733,0.0,0.5027557566766387,0.0,0.5,0.0,0.5,0.0,0.5,1.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,1.0,0.4710069169944752,0.0,0.5,0.0,0.5,0.0,0.640098381412989,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.48547793981722137,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.6103873057332732
S-CPI_bt,300,3.538029909133911,0.41046811462532884,0.0,0.5,1.0,0.44211454415448626,1.0,0.5,0.0,0.5,0.0,0.5045328651481115,1.0,0.5,0.0,0.5,1.0,0.21927607836174512,0.0,0.6946434896654564,0.0,0.5,0.0,0.5,0.0,0.5,1.0,0.335429993860186,0.0,0.5099566821849458,0.0,0.5248262256658,1.0,0.3556230092781037,0.0,0.5,0.0,0.5,1.0,0.1648003229152315,1.0,0.055054019439106164,0.0,0.5,0.0,0.5111893718694254,0.0,0.5,0.0,0.5,1.0,0.00028357952177515444,0.0,0.5,1.0,8.573839036361853e-10,0.0,0.502037754691898,0.0,0.5,0.0,0.5,0.0,0.5,1.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,1.0,0.4872530348910046,0.0,0.5,0.0,0.5,0.0,0.6261209013638979,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5159460083748664,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.7116901003911824
S-CPI_sqd,300,3.526750087738037,0.41046811462532884,0.0,0.5,1.0,1.0,1.0,0.5,0.0,0.5,0.0,0.7964737268030089,1.0,0.5,0.0,0.5,1.0,0.0,0.0,1.0,0.0,0.5,0.0,0.5,0.0,0.5,1.0,0.9999772385240405,0.0,0.999839862427799,0.0,0.9598918559863683,1.0,5.779683031821848e-93,0.0,0.5,0.0,0.5,1.0,0.0,1.0,0.0,0.0,0.5,0.0,1.0,0.0,0.5,0.0,0.5,1.0,0.0,0.0,0.5,1.0,0.0,0.0,0.7433340262724708,0.0,0.5,0.0,0.5,0.0,0.5,1.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,1.0,2.1616922411581457e-05,0.0,0.5,0.0,0.5,0.0,1.0,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,7.830079820106885e-06,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.9999999999779295
S-CPI2,300,4.398407459259033,0.41046811462532884,0.0,0.042598264228464286,1.0,0.5408651721057203,1.0,0.042598264228464286,0.0,0.042598264228464286,0.0,0.6934188003358872,1.0,0.042598264228464286,0.0,0.042598264228464286,1.0,0.10071064211843694,0.0,0.7230100539104951,0.0,0.042598264228464286,0.0,0.042598264228464286,0.0,0.042598264228464286,1.0,0.46164942943357523,0.0,0.7102193550032396,0.0,0.851957128770355,1.0,0.44770998694884984,0.0,0.042598264228464286,0.0,0.042598264228464286,1.0,0.0019187093095544114,1.0,0.0027835081054737244,0.0,0.042598264228464286,0.0,0.644286946104455,0.0,0.042598264228464286,0.0,0.042598264228464286,1.0,0.013989215554634579,0.0,0.042598264228464286,1.0,0.0019861862337280075,0.0,0.7189179067799044,0.0,0.042598264228464286,0.0,0.042598264228464286,0.0,0.042598264228464286,1.0,0.042598264228464286,0.0,0.042598264228464286,0.0,0.042598264228464286,0.0,0.042598264228464286,0.0,0.042598264228464286,1.0,0.2218745260918713,0.0,0.042598264228464286,0.0,0.042598264228464286,0.0,0.7642661812474394,0.0,0.042598264228464286,0.0,0.042598264228464286,0.0,0.042598264228464286,0.0,0.042598264228464286,0.0,0.042598264228464286,0.0,0.3608691686201809,0.0,0.042598264228464286,0.0,0.042598264228464286,0.0,0.042598264228464286,0.0,0.8256147310436854
S-CPI2_sqrt,300,4.3921003341674805,0.41046811462532884,0.0,0.4999999999999989,1.0,0.50466975717172,1.0,0.4999999999999989,0.0,0.4999999999999989,0.0,0.5006692182808222,1.0,0.4999999999999989,0.0,0.4999999999999989,1.0,0.46770718563128655,0.0,0.514850102764707,0.0,0.4999999999999989,0.0,0.4999999999999989,0.0,0.4999999999999989,1.0,0.48356114874781625,0.0,0.5003819681982034,0.0,0.5018876530919647,1.0,0.4977817877014574,0.0,0.4999999999999989,0.0,0.4999999999999989,1.0,0.45618312219341856,1.0,0.4236486913368905,0.0,0.4999999999999989,0.0,0.5033136282381612,0.0,0.4999999999999989,0.0,0.4999999999999989,1.0,0.372252372827299,0.0,0.4999999999999989,1.0,0.2781731334904317,0.0,0.5003106080186871,0.0,0.4999999999999989,0.0,0.4999999999999989,0.0,0.4999999999999989,1.0,0.4999999999999989,0.0,0.4999999999999989,0.0,0.4999999999999989,0.0,0.4999999999999989,0.0,0.4999999999999989,1.0,0.49739406389833174,0.0,0.4999999999999989,0.0,0.4999999999999989,0.0,0.5133066747467462,0.0,0.4999999999999989,0.0,0.4999999999999989,0.0,0.4999999999999989,0.0,0.4999999999999989,0.0,0.4999999999999989,0.0,0.4987155048491617,0.0,0.4999999999999989,0.0,0.4999999999999989,0.0,0.4999999999999989,0.0,0.5119723006980618
S-CPI2_n,300,4.394529342651367,0.41046811462532884,0.0,0.4999999999999897,1.0,0.5153332555136044,1.0,0.4999999999999897,0.0,0.4999999999999897,0.0,0.5066069149139176,1.0,0.4999999999999897,0.0,0.4999999999999897,1.0,0.3038037756279659,0.0,0.6044780142368561,0.0,0.4999999999999897,0.0,0.4999999999999897,0.0,0.4999999999999897,1.0,0.4539331678491277,0.0,0.5069801771889774,0.0,0.5143429849467012,1.0,0.4615429763450271,0.0,0.4999999999999897,0.0,0.4999999999999897,1.0,0.22580124633464677,1.0,0.12766957346774488,0.0,0.4999999999999897,0.0,0.5338243370648686,0.0,0.4999999999999897,0.0,0.4999999999999897,1.0,0.11369576518220348,0.0,0.4999999999999897,1.0,0.016072004686886972,0.0,0.5026572170045338,0.0,0.4999999999999897,0.0,0.4999999999999897,0.0,0.4999999999999897,1.0,0.4999999999999897,0.0,0.4999999999999897,0.0,0.4999999999999897,0.0,0.4999999999999897,0.0,0.4999999999999897,1.0,0.480812443802064,0.0,0.4999999999999897,0.0,0.4999999999999897,0.0,0.5983496426319158,0.0,0.4999999999999897,0.0,0.4999999999999897,0.0,0.4999999999999897,0.0,0.4999999999999897,0.0,0.4999999999999897,0.0,0.472402532213971,0.0,0.4999999999999897,0.0,0.4999999999999897,0.0,0.4999999999999897,0.0,0.5797643418062711
S-CPI2_bt,300,4.568019390106201,0.41046811462532884,0.0,0.4999999999999897,1.0,0.5228166888118104,1.0,0.4999999999999897,0.0,0.4999999999999897,0.0,0.5060102918544649,1.0,0.4999999999999897,0.0,0.4999999999999897,1.0,0.2326790635819121,0.0,0.7074526768003434,0.0,0.4999999999999897,0.0,0.4999999999999897,0.0,0.4999999999999897,1.0,0.37048569385289076,0.0,0.507942048622321,0.0,0.5162089025053682,1.0,0.43125439277464883,0.0,0.4999999999999897,0.0,0.4999999999999897,1.0,0.1535066916844769,1.0,0.03221638901564374,0.0,0.4999999999999897,0.0,0.5319038322874008,0.0,0.4999999999999897,0.0,0.4999999999999897,1.0,0.0010056120345049494,0.0,0.4999999999999897,1.0,3.254039095834836e-11,0.0,0.5028520577613922,0.0,0.4999999999999897,0.0,0.4999999999999897,0.0,0.4999999999999897,1.0,0.4999999999999897,0.0,0.4999999999999897,0.0,0.4999999999999897,0.0,0.4999999999999897,0.0,0.4999999999999897,1.0,0.4772047343871636,0.0,0.4999999999999897,0.0,0.4999999999999897,0.0,0.6554702058879083,0.0,0.4999999999999897,0.0,0.4999999999999897,0.0,0.4999999999999897,0.0,0.4999999999999897,0.0,0.4999999999999897,0.0,0.47951722231834953,0.0,0.4999999999999897,0.0,0.4999999999999897,0.0,0.4999999999999897,0.0,0.6375204208331589
S-CPI2_sqd,300,4.571088790893555,0.41046811462532884,0.0,0.4999999999990694,1.0,4.464049828105058e-09,1.0,0.4999999999990694,0.0,0.4999999999990694,0.0,0.9440104723637183,1.0,0.4999999999990694,0.0,0.4999999999990694,1.0,0.0,0.0,1.0,0.0,0.4999999999990694,0.0,0.4999999999990694,0.0,0.4999999999990694,1.0,8.912646224255288e-13,0.0,0.9596475505392924,0.0,0.9999841858815965,1.0,0.0016453873250155092,0.0,0.4999999999990694,0.0,0.4999999999990694,1.0,0.0,1.0,0.0,0.0,0.4999999999990694,0.0,1.0,0.0,0.4999999999990694,0.0,0.4999999999990694,1.0,0.0,0.0,0.4999999999990694,1.0,0.0,0.0,0.7934803795388328,0.0,0.4999999999990694,0.0,0.4999999999990694,0.0,0.4999999999990694,1.0,0.4999999999990694,0.0,0.4999999999990694,0.0,0.4999999999990694,0.0,0.4999999999990694,0.0,0.4999999999990694,1.0,1.8104725434225927e-11,0.0,0.4999999999990694,0.0,0.4999999999990694,0.0,1.0,0.0,0.4999999999990694,0.0,0.4999999999990694,0.0,0.4999999999990694,0.0,0.4999999999990694,0.0,0.4999999999990694,0.0,2.8857481497196987e-14,0.0,0.4999999999990694,0.0,0.4999999999990694,0.0,0.4999999999990694,0.0,1.0
