method,n,tr_time,r2_test,tr_V0,pval0,tr_V1,pval1,tr_V2,pval2,tr_V3,pval3,tr_V4,pval4,tr_V5,pval5,tr_V6,pval6,tr_V7,pval7,tr_V8,pval8,tr_V9,pval9,tr_V10,pval10,tr_V11,pval11,tr_V12,pval12,tr_V13,pval13,tr_V14,pval14,tr_V15,pval15,tr_V16,pval16,tr_V17,pval17,tr_V18,pval18,tr_V19,pval19,tr_V20,pval20,tr_V21,pval21,tr_V22,pval22,tr_V23,pval23,tr_V24,pval24,tr_V25,pval25,tr_V26,pval26,tr_V27,pval27,tr_V28,pval28,tr_V29,pval29,tr_V30,pval30,tr_V31,pval31,tr_V32,pval32,tr_V33,pval33,tr_V34,pval34,tr_V35,pval35,tr_V36,pval36,tr_V37,pval37,tr_V38,pval38,tr_V39,pval39,tr_V40,pval40,tr_V41,pval41,tr_V42,pval42,tr_V43,pval43,tr_V44,pval44,tr_V45,pval45,tr_V46,pval46,tr_V47,pval47,tr_V48,pval48,tr_V49,pval49
LOCO-W,300,83.27237224578857,0.709810975216979,1.0,0.993016386259366,1.0,4.1092921900354185e-05,1.0,0.0009303032086895868,1.0,1.5002754660820017e-07,1.0,5.896523269655063e-10,1.0,0.08788758479893488,1.0,1.4876988529977098e-14,1.0,0.0021274397162523995,1.0,2.3037808483117317e-07,1.0,0.10251876687161277,0.0,0.0003293464973167515,0.0,0.9999997909782598,0.0,0.9939204834474583,0.0,6.076424070577957e-07,0.0,0.9999999998201612,0.0,0.9999999999915328,0.0,0.165516231035151,0.0,4.7723751854800156e-05,0.0,4.8319319537859506e-05,0.0,5.560763599954388e-05,0.0,0.8424730135139675,0.0,0.5886465881504501,0.0,0.6983735702772763,0.0,0.0755450625458961,0.0,0.9999999585517516,0.0,0.9999637335884415,0.0,6.817334889497317e-06,0.0,0.999985459438186,0.0,0.9999997222217969,0.0,0.2301518165022709,0.0,0.9986787828718604,0.0,0.008500564297888258,0.0,0.9999999809555831,0.0,0.8950570687556112,0.0,0.9832243569935823,0.0,0.9999999101120506,0.0,0.598089398138909,0.0,1.1467004956688953e-07,0.0,0.2273092637807661,0.0,0.9999999991433183,0.0,0.10070498602333022,0.0,1.3725465208835885e-10,0.0,0.987514230779962,0.0,0.06344441022099168,0.0,0.3123925849610436,0.0,0.0042201342067722525,0.0,0.0036952372084444463,0.0,0.999998679674333,0.0,0.9964636959458864,0.0,0.9999544023996594
CPI,300,4.548123598098755,0.709810975216979,1.0,2.111329974615343e-05,1.0,0.0037935457438042,1.0,0.0009467696133763405,1.0,2.022474635986549e-05,1.0,0.006802555355006912,1.0,0.004533828882874768,1.0,0.005034956174629233,1.0,0.0037988987346593275,1.0,0.009414652639439155,1.0,0.0002655193264365349,0.0,0.6140144693574792,0.0,0.859945372360446,0.0,0.9512052142921348,0.0,0.009311791106953574,0.0,0.18698784751959158,0.0,0.18106142395813268,0.0,0.26995427316410997,0.0,0.09502837744999915,0.0,0.2197058966915001,0.0,0.443516126963848,0.0,0.6913105838676016,0.0,0.06281789627533135,0.0,0.9964660395345245,0.0,0.07004314884773888,0.0,0.5239806731713216,0.0,0.4755273308812685,0.0,0.623580006649086,0.0,0.8525594692300067,0.0,0.7672259175560865,0.0,0.005327961010592449,0.0,0.6828747714223504,0.0,0.216970030039149,0.0,0.9659162746562096,0.0,0.856674054335063,0.0,0.5280243531782314,0.0,0.4499352440967283,0.0,0.04408128354644446,0.0,0.6502500909160023,0.0,0.6629115158303824,0.0,0.3309435431005891,0.0,0.9018426497427912,0.0,0.5315849798424377,0.0,0.853814662312473,0.0,0.4796986166650574,0.0,0.038794025687269314,0.0,0.8173684441413636,0.0,0.06230411916093091,0.0,0.5454920248207745,0.0,0.6494918836742669,0.0,0.9692886338902642
CPI_sqrt,300,4.537607669830322,0.709810975216979,1.0,0.1262179413783278,1.0,0.18871589108814674,1.0,0.1475490736010715,1.0,0.11910134697120445,1.0,0.34293168576712185,1.0,0.1848069427973668,1.0,0.20210658668690112,1.0,0.3530250963883106,1.0,0.18422189321740867,1.0,0.08297324025947383,0.0,0.48046732191492764,0.0,0.4989934815803054,0.0,0.5116881311532876,0.0,0.4925715747706374,0.0,0.4977263115449839,0.0,0.4995813287444594,0.0,0.49793803435690925,0.0,0.5047718180552222,0.0,0.4763925406703561,0.0,0.5213397288425587,0.0,0.5110836072315145,0.0,0.49390618219814414,0.0,0.5165928981610437,0.0,0.5056763756096465,0.0,0.4973764812411319,0.0,0.4987704681189306,0.0,0.521447043607312,0.0,0.5022477349666284,0.0,0.4956375282869995,0.0,0.4970719198717286,0.0,0.4993418412316657,0.0,0.4854321243880026,0.0,0.4977486743343127,0.0,0.5084721949576334,0.0,0.5417826248138121,0.0,0.4743225365116077,0.0,0.4945915036165849,0.0,0.5014967256771949,0.0,0.49392188947772203,0.0,0.4791422061718876,0.0,0.505619803665522,0.0,0.49929060233014216,0.0,0.49704123255481936,0.0,0.5003328990709974,0.0,0.45766910576671205,0.0,0.49858055808300483,0.0,0.49509342352320324,0.0,0.5008216028984787,0.0,0.4992618432896492,0.0,0.5313820605167234
CPI_n,300,4.540753126144409,0.709810975216979,1.0,0.019412365446197764,1.0,0.0012687574799942268,1.0,0.05180233498510267,1.0,0.004222198799230604,1.0,0.05378536843468899,1.0,0.020968599767633527,1.0,0.019581514272452475,1.0,0.002561964960999056,1.0,0.04099542194896766,1.0,0.0012093866715767883,0.0,0.40424625177884776,0.0,0.4654603253695132,0.0,0.6229300420283852,0.0,0.4157156269273591,0.0,0.48375812686547043,0.0,0.6719875580085886,0.0,0.513627620205882,0.0,0.42264492142431304,0.0,0.3939542343036302,0.0,0.4790869028204833,0.0,0.4873051402327277,0.0,0.45794477343403384,0.0,0.7786229035220256,0.0,0.5546057663175661,0.0,0.5601521369186867,0.0,0.5492986279624839,0.0,0.48190313902697673,0.0,0.5079473331858932,0.0,0.49134265707172575,0.0,0.4651205760312142,0.0,0.5281669014451051,0.0,0.3439705233988711,0.0,0.5114174392519436,0.0,0.5226933042524804,0.0,0.579353457531125,0.0,0.4321299676834118,0.0,0.3739007992786741,0.0,0.5864988818683823,0.0,0.21585370552388883,0.0,0.6675735968012699,0.0,0.5764088538666001,0.0,0.4910951967412989,0.0,0.4926947881200863,0.0,0.521901763178121,0.0,0.3342695400017687,0.0,0.4849203140644981,0.0,0.5237356579806322,0.0,0.5045229335256686,0.0,0.483484568611371,0.0,0.63191508801337
CPI_bt,300,4.732127666473389,0.709810975216979,1.0,1.9669549269113286e-23,1.0,7.080327156130654e-22,1.0,3.9524865562775255e-27,1.0,5.2517917965000195e-19,1.0,3.9008721295911194e-15,1.0,1.6786270327860686e-22,1.0,8.196066353520535e-08,1.0,2.6741686519128282e-21,1.0,9.973991435834036e-07,1.0,4.028363442243394e-24,0.0,0.23661815560734045,0.0,0.7460667890124958,0.0,0.6263768168697684,0.0,0.5363608105551512,0.0,0.4870325964557012,0.0,0.4059491306366182,0.0,0.43961752310985686,0.0,0.5130278340201359,0.0,0.1791373244690112,0.0,0.4140604245835825,0.0,0.502237638836399,0.0,0.4047053853683529,0.0,0.879063101475615,0.0,0.47806127705790363,0.0,0.5690640470234418,0.0,0.5348747866245027,0.0,0.6222219070950398,0.0,0.512525818532859,0.0,0.41724533033817945,0.0,0.49583150481828026,0.0,0.3899515606359188,0.0,0.4050877555825996,0.0,0.6882556439570449,0.0,0.5429101179251274,0.0,0.8628148846181347,0.0,0.03621232351433301,0.0,0.40851031510227415,0.0,0.5264096302626569,0.0,0.21041473989166276,0.0,0.6857296362938309,0.0,0.5458661179685123,0.0,0.3868623890769647,0.0,0.47147850701301947,0.0,0.5093931249562386,0.0,0.08496366012568962,0.0,0.5505788236373419,0.0,0.38113963734667444,0.0,0.4588159126241651,0.0,0.4783674862171811,0.0,0.8321752030939349
CPI_sqd,300,4.728318214416504,0.709810975216979,1.0,8.907085257116219e-165,1.0,4.522630727265406e-229,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0885848415143764e-54,1.0,0.0,1.0,2.549300417735102e-143,1.0,2.7171560304359266e-130,1.0,1.9423622023910223e-17,0.0,1.0,0.0,1.0,0.0,1.0,0.0,7.6661131186237e-20,0.0,0.18936413261266322,0.0,0.4809772027736163,0.0,0.9999999999963777,0.0,0.9496994850959258,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.2362955112222436e-05,0.0,1.0,0.0,0.9817069134856452,0.0,0.9999999999375828,0.0,0.0,0.0,1.0,0.0,0.9706460517644357,0.0,1.0,0.0,2.2074715963207246e-20,0.0,1.0,0.0,1.0,0.0,0.0013043708185353647,0.0,0.9999999999999475,0.0,1.0,0.0,5.574334211390745e-68,0.0,0.6188213605427563,0.0,4.596571250110975e-37,0.0,2.952105417146852e-141,0.0,7.565260146480644e-06,0.0,1.0,0.0,0.8632481407030643,0.0,4.5906264164906883e-07,0.0,1.6042298341988192e-05,0.0,0.9999999999391941,0.0,1.614416445035573e-10,0.0,2.503542463968325e-45,0.0,6.52627119432259e-07,0.0,0.17702809945296083,0.0,1.0
S-CPI,300,5.001762866973877,0.709810975216979,1.0,0.0008963247644874997,1.0,0.004408802038567623,1.0,0.00422029188965944,1.0,1.005048897776181e-05,1.0,0.0075226041289344105,1.0,0.009887041035768632,1.0,0.015142955348313725,1.0,0.020476455290977226,1.0,0.061307820910243886,1.0,0.09535538687974937,0.0,0.5504138871495886,0.0,0.5623873490501016,0.0,0.9532049958771572,0.0,0.21517654371203027,0.0,0.4885662328923801,0.0,0.7582060375511037,0.0,0.1847618069111056,0.0,0.399119990870997,0.0,0.21595543566802172,0.0,0.7804884627098432,0.0,0.6217579802641563,0.0,0.3568181803903442,0.0,0.9846142484898747,0.0,0.6824005676046138,0.0,0.5750247790841002,0.0,0.4664963738640699,0.0,0.6817630566935933,0.0,0.6956366593273118,0.0,0.6719527314221379,0.0,0.15374624749091853,0.0,0.49048430938626153,0.0,0.3655556434835727,0.0,0.9052548434765759,0.0,0.6771924002234405,0.0,0.866644186008651,0.0,0.5129191727657492,0.0,0.0661948701555013,0.0,0.7996282134369417,0.0,0.08086534950030172,0.0,0.6474675051744522,0.0,0.9593881319408372,0.0,0.2237514746381954,0.0,0.5290375344451277,0.0,0.4219670425689637,0.0,0.015267289514177633,0.0,0.7228275720561057,0.0,0.3236797615607098,0.0,0.18986406589985666,0.0,0.20681328700719936,0.0,0.9805654216532307
S-CPI_sqrt,300,5.003953218460083,0.709810975216979,1.0,0.1506621366524729,1.0,0.21097911606738767,1.0,0.19148827021456927,1.0,0.08663745340265755,1.0,0.2018182270653231,1.0,0.1923871304792531,1.0,0.2026684777430815,1.0,0.20202669674309853,1.0,0.3095431470337461,1.0,0.30499184214279296,0.0,0.4911946092903154,0.0,0.5280695210180102,0.0,0.5173557189075749,0.0,0.4956922747715367,0.0,0.4996147691120394,0.0,0.5018479386194263,0.0,0.4978999243048263,0.0,0.5011690429153086,0.0,0.45440554898391283,0.0,0.5163501304396539,0.0,0.5080546625445596,0.0,0.49046781339984136,0.0,0.5537762125271007,0.0,0.4999301645775727,0.0,0.5078808422919731,0.0,0.4987489877606974,0.0,0.5223328256887525,0.0,0.5035350812587586,0.0,0.5059265693506158,0.0,0.49297122890879524,0.0,0.4996772391980267,0.0,0.4879603319399159,0.0,0.5061636269206107,0.0,0.5066233148491155,0.0,0.5478291778015222,0.0,0.5044016218416403,0.0,0.47210611550639237,0.0,0.5091926350880367,0.0,0.4582541536446846,0.0,0.5186407989092765,0.0,0.5212353884081719,0.0,0.49925211661125485,0.0,0.5014806054964115,0.0,0.497233346052676,0.0,0.4420039766759797,0.0,0.5051140837959492,0.0,0.5000577199108944,0.0,0.49638469207915503,0.0,0.49773772992664267,0.0,0.5355838760206995
S-CPI_n,300,5.001941204071045,0.709810975216979,1.0,0.000872689078693018,1.0,0.007657501522501839,1.0,0.02336869339237542,1.0,0.00029152134708299515,1.0,0.021110844689330596,1.0,0.05002225884808123,1.0,0.0044131419404536505,1.0,0.06104780157721073,1.0,0.10527307088708654,1.0,0.060667964691557386,0.0,0.46643178016303816,0.0,0.6261297475157368,0.0,0.6436708474735677,0.0,0.4779639793857075,0.0,0.49267264163533797,0.0,0.5515522559309074,0.0,0.4603675753241348,0.0,0.46522251867939424,0.0,0.23613292762068094,0.0,0.6398565693884711,0.0,0.5530464722782532,0.0,0.4187188364364245,0.0,0.7598904840373583,0.0,0.5045455241047101,0.0,0.4819424558628718,0.0,0.5359038060848575,0.0,0.6345831346914551,0.0,0.5108593510482689,0.0,0.49427510363462146,0.0,0.4566052358102501,0.0,0.5041886996822762,0.0,0.3765310247682404,0.0,0.6113793595728965,0.0,0.6018215843419494,0.0,0.770462918152409,0.0,0.5299532663224985,0.0,0.3671389693178996,0.0,0.5262440771301339,0.0,0.3235286558211359,0.0,0.5416848324396412,0.0,0.6698386750563411,0.0,0.4858118960587853,0.0,0.47223290769543497,0.0,0.4777629069533354,0.0,0.167864497601515,0.0,0.5422806862662036,0.0,0.45021306873731004,0.0,0.5021225037233223,0.0,0.4827323426217727,0.0,0.7995622376774785
S-CPI_bt,300,5.216954469680786,0.709810975216979,1.0,7.83967405880307e-19,1.0,1.0993787646015764e-09,1.0,1.5240293875383684e-23,1.0,4.636949620583282e-41,1.0,6.843379345238936e-13,1.0,8.320725739761483e-11,1.0,1.8227454303501086e-20,1.0,9.159701633019786e-12,1.0,6.126565520596539e-07,1.0,0.00019052338161071187,0.0,0.5842356287635153,0.0,0.808389140721884,0.0,0.7065885437786263,0.0,0.35733431196661797,0.0,0.4876368779081619,0.0,0.5154114734341314,0.0,0.4868394070815239,0.0,0.5094041065328894,0.0,0.22473582231619288,0.0,0.6326240781930184,0.0,0.4851151038519391,0.0,0.43646207037599716,0.0,0.8484988715393963,0.0,0.5066981324706913,0.0,0.693647761882087,0.0,0.44945321284006795,0.0,0.7437396616511931,0.0,0.5335078618152059,0.0,0.5766965093325063,0.0,0.4638331420237205,0.0,0.46042705858884103,0.0,0.4419725469046047,0.0,0.6017229560554211,0.0,0.6163820576784654,0.0,0.9243927104054631,0.0,0.550355965227178,0.0,0.3262985443951979,0.0,0.5550421719797315,0.0,0.15752753040312867,0.0,0.7061531559352678,0.0,0.6474492797285863,0.0,0.45749216896046,0.0,0.45844120414642203,0.0,0.4891260500521344,0.0,0.06299539746053733,0.0,0.5541900527573503,0.0,0.5077849124370625,0.0,0.4840522426367769,0.0,0.4699573649041833,0.0,0.8959295452580145
