method,n,tr_time,r2_test,tr_V0,pval0,tr_V1,pval1,tr_V2,pval2,tr_V3,pval3,tr_V4,pval4,tr_V5,pval5,tr_V6,pval6,tr_V7,pval7,tr_V8,pval8,tr_V9,pval9,tr_V10,pval10,tr_V11,pval11,tr_V12,pval12,tr_V13,pval13,tr_V14,pval14,tr_V15,pval15,tr_V16,pval16,tr_V17,pval17,tr_V18,pval18,tr_V19,pval19,tr_V20,pval20,tr_V21,pval21,tr_V22,pval22,tr_V23,pval23,tr_V24,pval24,tr_V25,pval25,tr_V26,pval26,tr_V27,pval27,tr_V28,pval28,tr_V29,pval29,tr_V30,pval30,tr_V31,pval31,tr_V32,pval32,tr_V33,pval33,tr_V34,pval34,tr_V35,pval35,tr_V36,pval36,tr_V37,pval37,tr_V38,pval38,tr_V39,pval39,tr_V40,pval40,tr_V41,pval41,tr_V42,pval42,tr_V43,pval43,tr_V44,pval44,tr_V45,pval45,tr_V46,pval46,tr_V47,pval47,tr_V48,pval48,tr_V49,pval49
LOCO-W,300,36.91659092903137,0.18197555987778657,1.0,0.9999918890407746,1.0,0.999991804121554,1.0,0.9978610583868073,1.0,0.8220748057418921,1.0,0.9624082757215522,1.0,0.9956417199048548,1.0,0.9987130780626746,1.0,0.9993635144605745,1.0,0.9996452773840807,1.0,0.9663678559755331,0.0,0.9943859111830913,0.0,0.880673463881959,0.0,0.9758407665929415,0.0,0.9949064421108046,0.0,0.9817011971424735,0.0,0.43518826462387916,0.0,0.08181129449740765,0.0,0.017506754221652043,0.0,0.9905977948166437,0.0,0.9982946853383406,0.0,0.9648543000169321,0.0,0.8424445242160827,0.0,0.9993689594496215,0.0,0.9975986198155372,0.0,0.6536768405034236,0.0,0.5138491615523746,0.0,0.9310797777663489,0.0,0.8554525152809579,0.0,0.9999892370473097,0.0,0.9624118712843993,0.0,0.9929521301546824,0.0,0.9315956385076815,0.0,0.9944376420763998,0.0,0.9956397940241093,0.0,0.9061227465200976,0.0,0.9989256096569142,0.0,0.925567722397356,0.0,0.9960834487684022,0.0,0.9861693088400912,0.0,0.990521270546179,0.0,0.9766169672239027,0.0,0.999823822830823,0.0,0.9966910444328866,0.0,0.9966969053386207,0.0,0.9977909907336958,0.0,0.9987832478140197,0.0,0.8793898745200375,0.0,0.9999958446373742,0.0,0.9999876970466304,0.0,0.9997964436683345
CPI,300,4.733065128326416,0.18197555987778657,1.0,0.10695826701592454,1.0,0.16661210862811826,1.0,0.005442422299789762,1.0,0.26718817693330976,1.0,0.04231796436481364,1.0,0.9316295535265131,1.0,0.0024416044451133602,1.0,0.07227278181920276,1.0,0.004803349124924694,1.0,0.0348190714841846,0.0,0.508954025423613,0.0,0.707311940539515,0.0,0.5157950300253918,0.0,0.9417782237954652,0.0,0.15492998156705984,0.0,0.9645897905458614,0.0,0.2505047858147976,0.0,0.008728145130059846,0.0,0.38160330253788777,0.0,0.8026270304865174,0.0,0.1722787905444858,0.0,0.19629919694284703,0.0,0.42090629213820574,0.0,0.7448440613569856,0.0,0.5322929578753046,0.0,0.22568659329480595,0.0,0.5458428132147142,0.0,0.917407869548526,0.0,0.18732337965022383,0.0,0.4070573320982205,0.0,0.9024661544585657,0.0,0.23980412566631498,0.0,0.6168339918630518,0.0,0.08867546701470475,0.0,0.6238012301712416,0.0,0.8554730346855558,0.0,0.4321015434732783,0.0,0.4335369720029533,0.0,0.09226695990177985,0.0,0.10652219392953294,0.0,0.008736641298782799,0.0,0.1713137381069661,0.0,0.6492565307077475,0.0,0.5315631252017575,0.0,0.028085000789991925,0.0,0.4812423554539424,0.0,0.3403753968306537,0.0,0.4769750381538585,0.0,0.7628089782248941,0.0,0.05687336696210436
CPI_sqrt,300,4.721336603164673,0.18197555987778657,1.0,0.29037810898505156,1.0,0.2400873927616241,1.0,0.2742161015295469,1.0,0.3452179314430046,1.0,0.20749549502100362,1.0,0.4763700214443436,1.0,0.3111873434164341,1.0,0.21288289721815162,1.0,0.17614674933019336,1.0,0.16751131531979346,0.0,0.625829076898478,0.0,0.5838701709513986,0.0,0.5386116618312131,0.0,0.47092133991959906,0.0,0.3836247988526561,0.0,0.4611009610856488,0.0,0.3911125994037135,0.0,0.2542814081323,0.0,0.3831280933840673,0.0,0.2629221777541607,0.0,0.33844745746024774,0.0,0.3406486077908085,0.0,0.4104576097473667,0.0,0.5969035902731986,0.0,0.4298782388898563,0.0,0.5197479009904085,0.0,0.5188340105571158,0.0,0.6377667454084305,0.0,0.380136950656814,0.0,0.5763087829996595,0.0,0.4571959239297503,0.0,0.4353822038785477,0.0,0.6110162799809078,0.0,0.5559074692312563,0.0,0.4006325350811189,0.0,0.6598548983362917,0.0,0.5291705841503723,0.0,0.32168456203203766,0.0,0.564117792505428,0.0,0.49389031945818723,0.0,0.3241904550939184,0.0,0.2791719326560508,0.0,0.5943692984583479,0.0,0.5611296349303196,0.0,0.35863156317556755,0.0,0.4130784013909864,0.0,0.35016039220822137,0.0,0.41974188704409504,0.0,0.49132030756821965,0.0,0.5434633992655099
CPI_n,300,4.723616600036621,0.18197555987778657,1.0,0.02835375297543738,1.0,0.481943418214611,1.0,0.019843682742708608,1.0,0.2566080051523219,1.0,0.023917480057210765,1.0,0.46475305453706856,1.0,0.038591239991025726,1.0,0.1214661010273535,1.0,0.12854473575848846,1.0,0.5267781746399778,0.0,0.742329241581425,0.0,0.23558974663471582,0.0,0.2918061479740959,0.0,0.47379288693362115,0.0,0.28252849397787694,0.0,0.7443097273059893,0.0,0.30927105610721184,0.0,0.03385719671186104,0.0,0.3126310786742622,0.0,0.05532204601758853,0.0,0.36913554831671624,0.0,0.12595378788826528,0.0,0.4560572929147711,0.0,0.4519344291699012,0.0,0.38909520018099836,0.0,0.6279825583490029,0.0,0.31286793186562445,0.0,0.9436473201046539,0.0,0.2661362796100394,0.0,0.5777923185063235,0.0,0.4907858411812415,0.0,0.25983479422958167,0.0,0.49029003853621156,0.0,0.795027881497208,0.0,0.640869337143976,0.0,0.5100459556175587,0.0,0.14285982405736392,0.0,0.6056235893173141,0.0,0.1575771354227749,0.0,0.6191557339947074,0.0,0.10664925437014056,0.0,0.2798162256656491,0.0,0.8329067125405557,0.0,0.6878336688886552,0.0,0.3178035409436859,0.0,0.32683119557107154,0.0,0.26540939860747226,0.0,0.7180115538968073,0.0,0.7898828771150762,0.0,0.23042467246198406
CPI_bt,300,4.909124135971069,0.18197555987778657,1.0,0.24844144297915316,1.0,0.796339834077139,1.0,1.9895864549418406e-05,1.0,0.005524663567632633,1.0,2.0668047861253828e-11,1.0,0.3160553463106714,1.0,2.212019338936583e-16,1.0,1.2859575355826111e-08,1.0,3.7134255330801004e-05,1.0,0.00010903633264124847,0.0,0.9800812965581646,0.0,0.7721937157706371,0.0,0.6606639131036561,0.0,0.024342254490159858,0.0,0.025712643040959396,0.0,0.9996210896295903,0.0,0.0037748720448969515,0.0,2.8285010352420016e-05,0.0,0.006652676283860483,0.0,4.854408540431916e-08,0.0,0.015539352439116649,0.0,0.061908941437667564,0.0,0.02068536990748057,0.0,0.02405774938584211,0.0,0.12725447139364532,0.0,0.2756873422738416,0.0,0.7933058362477579,0.0,0.9999308217160817,0.0,0.8838257780891363,0.0,0.08227069417693511,0.0,0.23114257890987322,0.0,0.10475188669100322,0.0,0.9000997462105451,0.0,0.9855465366273962,0.0,0.0036591415305184437,0.0,0.09723887376967044,0.0,0.956340147198622,0.0,0.06013510550114716,0.0,0.09586530276482796,0.0,0.7908026625752149,0.0,1.0521932785627734e-06,0.0,0.013718709376457201,0.0,0.9575768974302477,0.0,0.7006636592672171,0.0,0.0019481055050747736,0.0,0.3819134312080262,0.0,0.951399553492065,0.0,0.14133261420196996,0.0,0.9415339312949423,0.0,0.001222434767870878
CPI_sqd,300,4.906594753265381,0.18197555987778657,1.0,1.937147952514529e-33,1.0,3.0795443438970496e-36,1.0,2.52969698171505e-34,1.0,7.761088214398194e-17,1.0,0.6226538674960879,1.0,0.9982092538997042,1.0,0.0,1.0,4.2565109448757346e-23,1.0,1.3112228420902657e-133,1.0,3.1116657344417042e-137,0.0,5.820344158521369e-13,0.0,1.0,0.0,1.0,0.0,0.9999993469602643,0.0,0.907941320778868,0.0,1.0,0.0,2.9708240697543725e-51,0.0,1.994129531379994e-194,0.0,1.8231094248757246e-52,0.0,0.21747452736756856,0.0,1.0,0.0,0.6698441441485914,0.0,3.072221484156682e-06,0.0,0.9822421415556116,0.0,8.626540928443041e-10,0.0,0.0030053210038274245,0.0,0.24380976196533177,0.0,1.0,0.0,1.3359763715058402e-07,0.0,2.003504841278206e-16,0.0,0.4597640459776646,0.0,0.29325982468245637,0.0,0.0011842870327639823,0.0,1.0,0.0,1.2484018106180769e-11,0.0,2.822216948696173e-17,0.0,8.043413083174398e-37,0.0,5.122855907160577e-103,0.0,4.5600860753863104e-73,0.0,0.4922649500352986,0.0,3.6928677975111906e-79,0.0,9.145510522187844e-54,0.0,1.0,0.0,0.999999999987437,0.0,3.342898982770984e-61,0.0,3.552013631409254e-117,0.0,2.1918236270243114e-17,0.0,0.011599911833584338,0.0,1.0,0.0,9.48180234724759e-41
S-CPI,300,4.895512342453003,0.18197555987778657,1.0,0.09839841985870551,1.0,0.5519135442466905,1.0,0.03208653166260268,1.0,0.5241504653899887,1.0,0.1949092913337509,1.0,0.9142372944710426,1.0,0.011489291379286825,1.0,0.037761538818321325,1.0,0.06709779053515152,1.0,0.09942469689902772,0.0,0.8070831026751787,0.0,0.7020753565117399,0.0,0.8435837992518036,0.0,0.7276774572232542,0.0,0.3224873782503564,0.0,0.9721824708097272,0.0,0.22666223625034193,0.0,0.0073097271979764445,0.0,0.40305340234084697,0.0,0.2635172586947434,0.0,0.7187319963675112,0.0,0.5604808263429977,0.0,0.6878061875755254,0.0,0.9609022102132482,0.0,0.353060887090217,0.0,0.24143849734386014,0.0,0.5630019413768683,0.0,0.9994078600087757,0.0,0.5621420010653332,0.0,0.540141663422709,0.0,0.8526983462662243,0.0,0.4170412350321652,0.0,0.8928549849691245,0.0,0.8871559816187471,0.0,0.6020683563053941,0.0,0.881965268343755,0.0,0.43718564408983024,0.0,0.4262177557168302,0.0,0.2935922461787377,0.0,0.4739131311157412,0.0,0.12409536385639708,0.0,0.3636049446843892,0.0,0.9865584185874301,0.0,0.8389034022333657,0.0,0.0747945961252414,0.0,0.21629892382621407,0.0,0.3434973425656668,0.0,0.667770519332292,0.0,0.8714139336016377,0.0,0.14089941207434248
S-CPI_sqrt,300,4.896389961242676,0.18197555987778657,1.0,0.21598846882023254,1.0,0.483041043220375,1.0,0.16062893223869246,1.0,0.43038745515958265,1.0,0.29486701863853304,1.0,0.6727962999441057,1.0,0.20094217444842716,1.0,0.19328733506674106,1.0,0.2572000826852473,1.0,0.41509537685734427,0.0,0.7002630883884565,0.0,0.6297791930632346,0.0,0.5699560143529316,0.0,0.5778353578472648,0.0,0.42289994119105057,0.0,0.7442423220351323,0.0,0.40064485244008274,0.0,0.22773953706283,0.0,0.433331633174138,0.0,0.37568324754187554,0.0,0.5292097799050166,0.0,0.5538370631981324,0.0,0.5420563193244367,0.0,0.5943761012382793,0.0,0.4677583120941962,0.0,0.5084895574579256,0.0,0.5351237077667598,0.0,0.7952853519787111,0.0,0.5132600617878913,0.0,0.571080706360682,0.0,0.6200857368736229,0.0,0.44424467456650074,0.0,0.673593744704444,0.0,0.6594859830457702,0.0,0.626701481788474,0.0,0.6926631544307335,0.0,0.587856646551436,0.0,0.5116804594872263,0.0,0.4563233155532171,0.0,0.513074708793401,0.0,0.2811992863652788,0.0,0.4344456931480131,0.0,0.7660903693510324,0.0,0.7202924678189955,0.0,0.309962038282772,0.0,0.47936125317496053,0.0,0.36566855770822454,0.0,0.6135597372772081,0.0,0.6509793452428485,0.0,0.3636832044746313
S-CPI_n,300,4.891658782958984,0.18197555987778657,1.0,0.09160315972048994,1.0,0.5383682164608151,1.0,0.008009059667569951,1.0,0.4124879942676825,1.0,0.20295439148840305,1.0,0.8534808660220019,1.0,0.048966439895741704,1.0,0.018063272751611514,1.0,0.1692740266811541,1.0,0.31752678806765233,0.0,0.8802588545354191,0.0,0.6968555397344434,0.0,0.531611887789603,0.0,0.9022370634128702,0.0,0.35771145103185564,0.0,0.8879710788558111,0.0,0.17791131415093409,0.0,0.055166187507343055,0.0,0.22347032591112415,0.0,0.14413896809403176,0.0,0.7026160105351386,0.0,0.6942210004871564,0.0,0.6341073647395472,0.0,0.9081289385706763,0.0,0.32446001420113024,0.0,0.48304128274202396,0.0,0.39860498469522826,0.0,0.9880136536496862,0.0,0.24036645825197567,0.0,0.671544714178053,0.0,0.7044348197164796,0.0,0.6354318794757798,0.0,0.8801069599684039,0.0,0.9209935792299679,0.0,0.6743799530951017,0.0,0.8465467237300687,0.0,0.6217183605089287,0.0,0.5047604440052715,0.0,0.42207922940166,0.0,0.6525633547574143,0.0,0.07482016595528036,0.0,0.38973580157111465,0.0,0.9499640347233923,0.0,0.8185476848383387,0.0,0.08526547266663781,0.0,0.5090810820390681,0.0,0.3362735426940139,0.0,0.7536987506846725,0.0,0.6232866441485682,0.0,0.27623466806552005
S-CPI_bt,300,5.094200611114502,0.18197555987778657,1.0,6.121250824516011e-06,1.0,0.3080625111282096,1.0,1.0525655528438813e-16,1.0,0.9857012453771472,1.0,0.06931281709819682,1.0,0.911401152846526,1.0,1.4102199870548128e-14,1.0,7.65781469138054e-06,1.0,5.123971706919657e-09,1.0,0.451638748465645,0.0,0.9999940989507669,0.0,0.9994756745909259,0.0,0.9217269016037226,0.0,0.9973861737340152,0.0,0.08911164410487304,0.0,0.9999999831940841,0.0,9.32129387136714e-06,0.0,2.3271959289716854e-10,0.0,0.11738618856313765,0.0,0.017959383216583136,0.0,0.5691587549892703,0.0,0.9659588384265339,0.0,0.9361895171925168,0.0,0.9999429440719655,0.0,0.774463749282281,0.0,0.2682461312421216,0.0,0.015672408398594462,0.0,1.0,0.0,0.08742534570087912,0.0,0.024080785974828475,0.0,0.999956553099692,0.0,0.05320677733624211,0.0,0.9999850258394386,0.0,0.9998374826284129,0.0,0.9790625433202889,0.0,0.9999991473054252,0.0,0.7657682659726446,0.0,0.007195543612045378,0.0,0.10252551051808645,0.0,0.6538700472497724,0.0,0.0021733021414424365,0.0,0.052824424056819634,0.0,0.9999999999740392,0.0,0.9999631181796313,0.0,6.173868429287455e-08,0.0,0.4793573360481789,0.0,0.12016434353114208,0.0,0.962307913750325,0.0,0.9817820933572823,0.0,0.0001900437392072713
