method,n,tr_time,r2_test,tr_V0,pval0,tr_V1,pval1,tr_V2,pval2,tr_V3,pval3,tr_V4,pval4,tr_V5,pval5,tr_V6,pval6,tr_V7,pval7,tr_V8,pval8,tr_V9,pval9,tr_V10,pval10,tr_V11,pval11,tr_V12,pval12,tr_V13,pval13,tr_V14,pval14,tr_V15,pval15,tr_V16,pval16,tr_V17,pval17,tr_V18,pval18,tr_V19,pval19,tr_V20,pval20,tr_V21,pval21,tr_V22,pval22,tr_V23,pval23,tr_V24,pval24,tr_V25,pval25,tr_V26,pval26,tr_V27,pval27,tr_V28,pval28,tr_V29,pval29,tr_V30,pval30,tr_V31,pval31,tr_V32,pval32,tr_V33,pval33,tr_V34,pval34,tr_V35,pval35,tr_V36,pval36,tr_V37,pval37,tr_V38,pval38,tr_V39,pval39,tr_V40,pval40,tr_V41,pval41,tr_V42,pval42,tr_V43,pval43,tr_V44,pval44,tr_V45,pval45,tr_V46,pval46,tr_V47,pval47,tr_V48,pval48,tr_V49,pval49
LOCO-W,300,119.54791235923767,0.4481801127709215,1.0,0.8349520361880052,1.0,0.9058538375275931,1.0,0.6269293913537325,1.0,0.3383782022524,1.0,0.773540026571079,1.0,0.4720514213507948,1.0,0.1723642016757676,1.0,0.6830117937689144,1.0,0.5481675619802655,1.0,0.8628232710196552,0.0,0.013307462866592124,0.0,0.9986431301900962,0.0,0.9763273660084709,0.0,0.02952154998941947,0.0,0.9703449017853858,0.0,0.5459695266928374,0.0,0.13446838466963373,0.0,0.49438105003915445,0.0,0.18713366799195574,0.0,0.7009578994089362,0.0,0.8611110375100992,0.0,0.03547163524253749,0.0,0.7943968272168447,0.0,0.6390920829848696,0.0,0.4608381713151589,0.0,0.8728581355695908,0.0,0.6932782121769006,0.0,0.3336020499960295,0.0,0.0009970729808562728,0.0,0.53229954889327,0.0,0.7906872933305038,0.0,0.7635308538219798,0.0,0.12284350697884228,0.0,0.4552240652287758,0.0,0.3450647854777288,0.0,0.4983031828435579,0.0,0.9762012450775507,0.0,0.9849904471033002,0.0,0.9831112336665772,0.0,0.0640380896809819,0.0,0.32289511738226195,0.0,0.21098873758843295,0.0,0.2609606190862779,0.0,0.45461180182726957,0.0,0.897962615283954,0.0,0.2280987316344003,0.0,0.4915855037671052,0.0,0.268656179734149,0.0,0.026218130195122757,0.0,0.45244421048105943
CPI,300,6.170608758926392,0.4481801127709215,1.0,0.0022317087313242345,1.0,0.0011064896506144586,1.0,0.0066468953980983085,1.0,0.009277415357225625,1.0,0.0005028932586243986,1.0,2.8776716936105982e-05,1.0,0.008521305610787266,1.0,0.048857964332086994,1.0,0.02011161633867709,1.0,0.0114820157192702,0.0,0.03655327202637372,0.0,0.927404198759691,0.0,0.14083089797141346,0.0,0.2859935240520832,0.0,0.2746566406836155,0.0,0.25507747506223233,0.0,0.8370759995975896,0.0,0.48222214092357685,0.0,0.31685387744598065,0.0,0.496904488375886,0.0,0.5412599069105335,0.0,0.4247043061957594,0.0,0.8954975626562565,0.0,0.15500032890569387,0.0,0.6693038934618178,0.0,0.794040544213221,0.0,0.23967170396337678,0.0,0.19279244341375107,0.0,0.09123262858178621,0.0,0.390872659652481,0.0,0.9076502069439197,0.0,0.8310610963545673,0.0,0.7772243601741278,0.0,0.25075268748942925,0.0,0.31542623302141726,0.0,0.9681610604611479,0.0,0.4185694742979539,0.0,0.8640070720091169,0.0,0.22784673322330673,0.0,0.5904248888376745,0.0,0.9382330564433968,0.0,0.5580898885814681,0.0,0.9690461808961616,0.0,0.7566026651757818,0.0,0.5272109636074166,0.0,0.14130469541432134,0.0,0.6553312579684597,0.0,0.14598431327498507,0.0,0.5022042665519778,0.0,0.3666939235858546
CPI_sqrt,300,6.147953271865845,0.4481801127709215,1.0,0.2833063012671461,1.0,0.0589835191430558,1.0,0.33024153680728424,1.0,0.21590647385688477,1.0,0.417302246550584,1.0,0.4002610586988319,1.0,0.4103984617335239,1.0,0.2065853392926364,1.0,0.273778404041985,1.0,0.31040869525229375,0.0,0.4866521316724705,0.0,0.5019017957161876,0.0,0.4959296227347638,0.0,0.5112196472582488,0.0,0.49193831361653567,0.0,0.48243600484082355,0.0,0.49956274459968153,0.0,0.502345682578763,0.0,0.49697830014829464,0.0,0.48986080382300684,0.0,0.5190676751774058,0.0,0.49751618596056196,0.0,0.5127825351937182,0.0,0.4837027138248421,0.0,0.49718209204218694,0.0,0.5084612036469333,0.0,0.503511879205357,0.0,0.4939257021468934,0.0,0.5075518980937607,0.0,0.49542932751126406,0.0,0.5008851365776243,0.0,0.5168382759269979,0.0,0.499347689226062,0.0,0.49480587302108225,0.0,0.4940512800296494,0.0,0.50523647886125,0.0,0.4901829874438901,0.0,0.4934656478709217,0.0,0.49905813196677684,0.0,0.4854607849204924,0.0,0.5135681035973478,0.0,0.4977704156638208,0.0,0.5171121525321264,0.0,0.500730883101232,0.0,0.4902777464750231,0.0,0.49776223397436864,0.0,0.5021099743430435,0.0,0.48557233814802264,0.0,0.522702712630713,0.0,0.49052658424461404
CPI_n,300,6.154121160507202,0.4481801127709215,1.0,0.019121467677837057,1.0,0.007123274055571933,1.0,0.1252044008028177,1.0,0.11293044894125776,1.0,0.10213300686244858,1.0,0.11398216878104156,1.0,0.060244897682491354,1.0,0.022266246458106657,1.0,0.08486821699117375,1.0,0.0077464139620409085,0.0,0.41414693485452747,0.0,0.5252124408037321,0.0,0.42921848233044213,0.0,0.49315246778866884,0.0,0.4541185523855025,0.0,0.6145923027691235,0.0,0.585290485855517,0.0,0.612420870266669,0.0,0.4562159714638734,0.0,0.38842250504256887,0.0,0.5597346534703926,0.0,0.5529489500577197,0.0,0.569070284016819,0.0,0.44733822527245876,0.0,0.5390012916090084,0.0,0.5939356141964057,0.0,0.5693670798872114,0.0,0.417522930739293,0.0,0.41906139631718575,0.0,0.5633278406462862,0.0,0.5765361544541394,0.0,0.6196178868097548,0.0,0.5550146809495071,0.0,0.3350600994748015,0.0,0.593394198674745,0.0,0.3652971597934511,0.0,0.5500145190636968,0.0,0.5685296586597582,0.0,0.48124614210024996,0.0,0.4469342770341005,0.0,0.6458183184782298,0.0,0.5022188474882575,0.0,0.6502413839561056,0.0,0.517217427182797,0.0,0.6457326644965863,0.0,0.4390312355099451,0.0,0.5224632277935355,0.0,0.4031805087222119,0.0,0.4960390248273116,0.0,0.46336871953801817
CPI_bt,300,6.340287685394287,0.4481801127709215,1.0,0.00015203577188545854,1.0,2.7205783558995067e-33,1.0,2.858213156994054e-07,1.0,2.7726309343131074e-08,1.0,0.047713238541095535,1.0,0.016134662924191155,1.0,7.643962006012809e-08,1.0,0.4058890152085933,1.0,2.8995493834825356e-06,1.0,1.2406461442093966e-06,0.0,0.3916871176342694,0.0,0.6022146491586743,0.0,0.46628694563591055,0.0,0.650183798308017,0.0,0.3302771685290833,0.0,0.39543083903754206,0.0,0.6385453185492598,0.0,0.5479116994321503,0.0,0.526871193257833,0.0,0.40238646220933333,0.0,0.29095465784688257,0.0,0.5535772571822037,0.0,0.4806846190278869,0.0,0.2377701093928679,0.0,0.482533357315171,0.0,0.4793560682321173,0.0,0.4529123818640727,0.0,0.43890163549604244,0.0,0.3275465783649537,0.0,0.6184471272104773,0.0,0.49699375386777234,0.0,0.6246979246478679,0.0,0.4684577826459269,0.0,0.4772476088371562,0.0,0.5960911957968722,0.0,0.4710453665712232,0.0,0.4574872188708699,0.0,0.45446979672822063,0.0,0.49730199729943486,0.0,0.3910951717580038,0.0,0.5668148908494453,0.0,0.42069237487455435,0.0,0.6606667446543547,0.0,0.5452971966170278,0.0,0.4315479081869731,0.0,0.4912046654694069,0.0,0.5892720841940541,0.0,0.39711451606071946,0.0,0.5152214700568135,0.0,0.4960704929159232
CPI_sqd,300,6.346157550811768,0.4481801127709215,1.0,0.0,1.0,4.746497967214487e-100,1.0,4.4073980830920585e-39,1.0,6.740457911295555e-49,1.0,0.0,1.0,0.0,1.0,0.0,1.0,3.0474925572725665e-275,1.0,6.950137759928934e-37,1.0,0.0,0.0,1.6711563284708896e-94,0.0,1.0,0.0,0.8054170964102871,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.9999999999999978,0.0,2.2453549700125466e-107,0.0,3.358012570540947e-09,0.0,0.9999999686592744,0.0,4.083549907669977e-06,0.0,1.2508958384525955e-17,0.0,4.825379757391578e-156,0.0,1.0,0.0,1.0,0.0,1.0,0.0,8.306099540222037e-184,0.0,6.199815352302186e-140,0.0,6.854888866948671e-112,0.0,0.05103309433515668,0.0,1.0,0.0,0.9754781196206388,0.0,0.0,0.0,1.0,0.0,0.7945223769137985,0.0,1.0,0.0,1.0,0.0,1.0,0.0,7.940200204770649e-11,0.0,0.9999999999997883,0.0,1.7112897714323635e-98,0.0,1.0,0.0,3.796442423286332e-07,0.0,7.721869506659215e-23,0.0,9.688673676965768e-112,0.0,0.9997390219885359,0.0,1.031199189527197e-63,0.0,1.0,0.0,1.1398921132463562e-10
S-CPI,300,18.275157928466797,0.4481801127709215,1.0,0.00013573019692504743,1.0,0.17206181122861897,1.0,0.02002869508587631,1.0,0.015090642898188114,1.0,0.0001842019899213522,1.0,3.21454000196397e-06,1.0,0.0009616033018343434,1.0,0.024250414616002552,1.0,0.03935318299678734,1.0,0.003878253796762647,0.0,0.246780792338966,0.0,0.8891163523015129,0.0,0.2367407957968511,0.0,0.9233015293738599,0.0,0.43299438768189,0.0,0.42754462485109496,0.0,0.8938718427012127,0.0,0.9076353628170144,0.0,0.17708348083936204,0.0,0.1311998863096076,0.0,0.8950072659441315,0.0,0.69452038201096,0.0,0.7895448101577627,0.0,0.4397899210267949,0.0,0.7696831378557609,0.0,0.9184067357140712,0.0,0.5665570526754623,0.0,0.14921346114442696,0.0,0.1865235287394189,0.0,0.8413550172593578,0.0,0.7772251750086443,0.0,0.7921189571711005,0.0,0.8972449810609724,0.0,0.20873794380952504,0.0,0.6584521485244673,0.0,0.739149441503886,0.0,0.3821832680676751,0.0,0.5175170460806716,0.0,0.3843693744719317,0.0,0.2139569352564924,0.0,0.9664186586613841,0.0,0.08505795986019837,0.0,0.9681738779015311,0.0,0.8321935368255589,0.0,0.4115276510250086,0.0,0.3632764375666133,0.0,0.27919353566848293,0.0,0.04347605653549632,0.0,0.8000321706935036,0.0,0.4661115488184905
S-CPI_sqrt,300,18.246275901794434,0.4481801127709215,1.0,0.2439624131346516,1.0,0.24845036907079743,1.0,0.2574676825911437,1.0,0.257451325067387,1.0,0.37857711334871713,1.0,0.35866928849210833,1.0,0.29176889165273123,1.0,0.29274191420560247,1.0,0.2283347541908275,1.0,0.22461159770978434,0.0,0.49468232143937446,0.0,0.5096987781456628,0.0,0.4926450004355205,0.0,0.5121098190944702,0.0,0.5012847779491927,0.0,0.4967386131653387,0.0,0.5240009773134662,0.0,0.508188675995919,0.0,0.48756375702513,0.0,0.4869203370556832,0.0,0.5163230527718169,0.0,0.5076889365094275,0.0,0.5131447394168194,0.0,0.49080351305050846,0.0,0.5160631245704916,0.0,0.5126234926784853,0.0,0.5030768465564305,0.0,0.497116680867809,0.0,0.4549335489857072,0.0,0.5092493567684495,0.0,0.5053478209325485,0.0,0.5182038919095352,0.0,0.5047666544323619,0.0,0.4736217207538,0.0,0.49907539599184975,0.0,0.5096677699197407,0.0,0.4982598879919115,0.0,0.5040340888572652,0.0,0.506309642824058,0.0,0.4848509560392217,0.0,0.5168349306525929,0.0,0.4853561855462031,0.0,0.530916521642735,0.0,0.5081761700547324,0.0,0.47407852539381706,0.0,0.4945188904870576,0.0,0.49714371126346957,0.0,0.48380466286861357,0.0,0.5219871000885314,0.0,0.4952903319658161
S-CPI_n,300,18.223453998565674,0.4481801127709215,1.0,0.010947771940925876,1.0,0.08357543313651844,1.0,0.056716432753383415,1.0,0.017904432887876288,1.0,0.0492584250839133,1.0,0.017168202336449445,1.0,0.006301936202012471,1.0,0.04688490620804083,1.0,0.0746729974839734,1.0,0.02014560122925777,0.0,0.40033291518089753,0.0,0.5486742685878996,0.0,0.4405534227020638,0.0,0.6133518807246173,0.0,0.5725309897975267,0.0,0.45889771990066075,0.0,0.6231852578222747,0.0,0.6179007754473197,0.0,0.43141902681908617,0.0,0.3588081004917051,0.0,0.6044968061597922,0.0,0.5167080064683142,0.0,0.5468124848673467,0.0,0.49916350111536867,0.0,0.5659882595580552,0.0,0.6748016322980277,0.0,0.49234947138479185,0.0,0.4265975150731914,0.0,0.3267834476354034,0.0,0.5627727331385891,0.0,0.5166952111186959,0.0,0.6499650721789199,0.0,0.5683206161678322,0.0,0.34122943530662375,0.0,0.5597154670156111,0.0,0.5246490641154334,0.0,0.4840312063693858,0.0,0.49474307989906574,0.0,0.48913410707561156,0.0,0.4202173258242974,0.0,0.6786880152861723,0.0,0.37778917291127273,0.0,0.6976309653612722,0.0,0.5650516956737892,0.0,0.4492962031880574,0.0,0.4528010196637681,0.0,0.527331257337186,0.0,0.32956968869777303,0.0,0.5951016508938407,0.0,0.4786639448281812
S-CPI_bt,300,18.47605538368225,0.4481801127709215,1.0,5.771601468887486e-14,1.0,8.071034056826658e-08,1.0,9.909435585084205e-11,1.0,4.1513004275954005e-12,1.0,0.0061548444619721875,1.0,8.02471642946369e-06,1.0,1.4640191545159374e-11,1.0,2.1795253927692535e-12,1.0,1.1060841827183713e-12,1.0,1.5415934669571113e-12,0.0,0.3940155085394548,0.0,0.558651074146387,0.0,0.47498868537493016,0.0,0.547556853937397,0.0,0.5385557853927989,0.0,0.34737406816186533,0.0,0.7647892119587614,0.0,0.6486811045379971,0.0,0.3910418425104349,0.0,0.3985755466608043,0.0,0.6523866345691897,0.0,0.4978760626550191,0.0,0.6078984606018081,0.0,0.44592440097434544,0.0,0.634730072085592,0.0,0.646598265781619,0.0,0.6058631796301144,0.0,0.3944069331645143,0.0,0.18258733808502325,0.0,0.5986195855495807,0.0,0.586564213685969,0.0,0.5688110352625739,0.0,0.5814425658544212,0.0,0.2944618796197387,0.0,0.5116007664977277,0.0,0.5412740110120315,0.0,0.4882324072752464,0.0,0.5329895061531921,0.0,0.5151479256437451,0.0,0.38389487859687577,0.0,0.7123734441613401,0.0,0.35329319833554546,0.0,0.7918997213077905,0.0,0.5412174430689484,0.0,0.3006249378017428,0.0,0.44320116728440356,0.0,0.51292408631583,0.0,0.3131681696758098,0.0,0.701907043838767,0.0,0.4509640696538384
