method,n,tr_time,r2_test,tr_V0,pval0,tr_V1,pval1,tr_V2,pval2,tr_V3,pval3,tr_V4,pval4,tr_V5,pval5,tr_V6,pval6,tr_V7,pval7,tr_V8,pval8,tr_V9,pval9,tr_V10,pval10,tr_V11,pval11,tr_V12,pval12,tr_V13,pval13,tr_V14,pval14,tr_V15,pval15,tr_V16,pval16,tr_V17,pval17,tr_V18,pval18,tr_V19,pval19,tr_V20,pval20,tr_V21,pval21,tr_V22,pval22,tr_V23,pval23,tr_V24,pval24,tr_V25,pval25,tr_V26,pval26,tr_V27,pval27,tr_V28,pval28,tr_V29,pval29,tr_V30,pval30,tr_V31,pval31,tr_V32,pval32,tr_V33,pval33,tr_V34,pval34,tr_V35,pval35,tr_V36,pval36,tr_V37,pval37,tr_V38,pval38,tr_V39,pval39,tr_V40,pval40,tr_V41,pval41,tr_V42,pval42,tr_V43,pval43,tr_V44,pval44,tr_V45,pval45,tr_V46,pval46,tr_V47,pval47,tr_V48,pval48,tr_V49,pval49
LOCO-W,300,827.2389273643494,0.7118429787908016,1.0,0.9869290185433944,1.0,0.1161908522863454,1.0,0.7120621984211072,1.0,0.9999722304710139,1.0,0.8629956228238624,1.0,0.9999305688572908,1.0,3.2728364462997206e-10,1.0,0.0003283324323390957,1.0,0.3245346617121885,1.0,0.04861219406813466,0.0,0.6834621962725203,0.0,0.1861707467211573,0.0,0.007280667902846094,0.0,0.04834758130051853,0.0,0.5194572073160486,0.0,0.9552556231349398,0.0,5.881497162629756e-07,0.0,0.020517794521396904,0.0,0.9974285149302644,0.0,0.729242494563922,0.0,0.9999999125545924,0.0,4.092407845934787e-07,0.0,0.013587016115692685,0.0,0.0064918454990989805,0.0,0.0012147960489989895,0.0,0.9442562768753193,0.0,0.9999291658164615,0.0,0.36452085372056076,0.0,0.022285173137354897,0.0,0.5662936480487146,0.0,6.33744103522016e-05,0.0,0.5355465471656864,0.0,0.9999886829595018,0.0,0.4078571280149287,0.0,0.7091600943600946,0.0,0.04142816858460652,0.0,0.24461000085826534,0.0,0.3017126452662213,0.0,0.03558377371390575,0.0,0.9961081597834541,0.0,0.08848517788504373,0.0,0.5256634885211928,0.0,0.9999047896619662,0.0,0.0056517292588440515,0.0,0.9994242741117524,0.0,0.9998797676459978,0.0,0.35091055309490804,0.0,0.20200537898780402,0.0,0.7759193050720938,0.0,0.09036895856404792
CPI,300,15.601327419281006,0.7118429787908016,1.0,3.2277259046961205e-05,1.0,0.004451395435091751,1.0,0.0002716320351715877,1.0,0.00011717117073663272,1.0,0.007096770533839719,1.0,0.0011240813701519834,1.0,0.001775504350933693,1.0,3.918256248373832e-05,1.0,0.002675143328917313,1.0,2.8014709481572616e-05,0.0,0.40004465770609177,0.0,0.9188856181815701,0.0,0.9740033659283439,0.0,0.023031832666849432,0.0,0.05888910010524132,0.0,0.43299264632528506,0.0,0.4333552209020072,0.0,0.057543457547412025,0.0,0.2492592367044647,0.0,0.659732009929472,0.0,0.9308729146420709,0.0,0.12349598036944492,0.0,0.9799082036896599,0.0,0.2839347769485671,0.0,0.5181773097356666,0.0,0.5596093845802742,0.0,0.6111721477667974,0.0,0.9451843321698739,0.0,0.79945769452299,0.0,0.2938613172552239,0.0,0.8126038402708671,0.0,0.3003861489188473,0.0,0.9463918322298459,0.0,0.8096024416862913,0.0,0.5317405041110956,0.0,0.9004300973223366,0.0,0.16225992274273254,0.0,0.739361902840361,0.0,0.6294049159514374,0.0,0.05302743647564584,0.0,0.9362648179960906,0.0,0.2650401181193638,0.0,0.6493849704024601,0.0,0.8931096033172634,0.0,0.02805205935114034,0.0,0.8112025110348293,0.0,0.055508488734033266,0.0,0.418997406512988,0.0,0.004968341995442877,0.0,0.9268485185665157
CPI_sqrt,300,15.619229078292847,0.7118429787908016,1.0,0.10322367873841315,1.0,0.09827466301670318,1.0,0.07565814712591674,1.0,0.06537733916695583,1.0,0.22390938899673085,1.0,0.12544919933255394,1.0,0.13229013892876118,1.0,0.23301360689222955,1.0,0.11251789189300399,1.0,0.059813085627943297,0.0,0.4701151299716269,0.0,0.5076866113281712,0.0,0.5093326562514506,0.0,0.4916040945638445,0.0,0.49951345944965997,0.0,0.494268914235707,0.0,0.49903468064892675,0.0,0.5038002830356925,0.0,0.4891748568957886,0.0,0.5266408185519603,0.0,0.5237621103892478,0.0,0.4988313601604099,0.0,0.5077114540360701,0.0,0.5031839537043504,0.0,0.49244797921221856,0.0,0.516269672521843,0.0,0.5128288169635845,0.0,0.5012664004405344,0.0,0.5041614572492797,0.0,0.5015920075221705,0.0,0.5145040051769011,0.0,0.4879051063834344,0.0,0.49391993350420077,0.0,0.52231500722896,0.0,0.5628583917310706,0.0,0.52107798696898,0.0,0.48345478638903355,0.0,0.5033351280194122,0.0,0.48666210660968867,0.0,0.43445536109287036,0.0,0.5179957820627811,0.0,0.49596961988993976,0.0,0.4966213763539608,0.0,0.49966914336778023,0.0,0.4579006493296871,0.0,0.49631389579465307,0.0,0.4988557195664531,0.0,0.49958680276140727,0.0,0.4562070566375999,0.0,0.517522972204791
CPI_n,300,15.633854389190674,0.7118429787908016,1.0,0.01623838658670778,1.0,0.0006333670410632653,1.0,0.011824181071394192,1.0,0.006611266761568565,1.0,0.017452695222045827,1.0,0.00892086846530228,1.0,0.001508036131134234,1.0,0.00018678565135599057,1.0,0.003958376486659842,1.0,0.0003045500447610367,0.0,0.34056617092137365,0.0,0.5419932987348688,0.0,0.5335950670082044,0.0,0.4257905865438347,0.0,0.4838045828573467,0.0,0.6853465744527528,0.0,0.5239311698327185,0.0,0.43630530429716513,0.0,0.45328474186344736,0.0,0.5085358420708453,0.0,0.5867197551443031,0.0,0.5132172016655516,0.0,0.7482650871244975,0.0,0.5122073153537918,0.0,0.5445594754661006,0.0,0.5927968836114835,0.0,0.4630615177126909,0.0,0.5230375347869634,0.0,0.4863175341118877,0.0,0.4929678676713352,0.0,0.5346106021465169,0.0,0.24908331237862186,0.0,0.4898501060771147,0.0,0.7229699254711797,0.0,0.7007291274499,0.0,0.5759558311696877,0.0,0.3463122733184729,0.0,0.6389612404948694,0.0,0.22588866600698115,0.0,0.382403302311875,0.0,0.6102710738347509,0.0,0.4826584822589215,0.0,0.4183388232933516,0.0,0.519516728809388,0.0,0.31772130706041346,0.0,0.45639869131666644,0.0,0.4936766941884199,0.0,0.4821493620374279,0.0,0.3427887604086868,0.0,0.5659402926573764
CPI_bt,300,15.79184341430664,0.7118429787908016,1.0,5.282293939350192e-25,1.0,5.649743952257874e-46,1.0,1.4526473997238094e-46,1.0,4.757677501478573e-28,1.0,4.558602704528384e-23,1.0,2.721212403744804e-30,1.0,1.0245571421973588e-15,1.0,8.756852794402157e-30,1.0,6.940922352862828e-11,1.0,8.301170578189094e-28,0.0,0.21459924149780035,0.0,0.653177597024075,0.0,0.5534262395925388,0.0,0.5062542333043721,0.0,0.48696841600536483,0.0,0.35886473993721857,0.0,0.4720841172252156,0.0,0.4956151988753131,0.0,0.27656884957120814,0.0,0.5147441959472911,0.0,0.5842677154042947,0.0,0.44273699605817984,0.0,0.7968444291540131,0.0,0.44631855827445716,0.0,0.4748326975637703,0.0,0.5453890078363199,0.0,0.504617333842382,0.0,0.5326631217581338,0.0,0.48040214495831834,0.0,0.5190754038787857,0.0,0.47940363131367353,0.0,0.5403014811568136,0.0,0.5742777170313605,0.0,0.6189097853211303,0.0,0.9290940205605303,0.0,0.09844549702891475,0.0,0.22246592604816096,0.0,0.5622497211178694,0.0,0.2917154089153893,0.0,0.3315064728843663,0.0,0.8097381214214822,0.0,0.3899082810158915,0.0,0.47344038870116345,0.0,0.5002024105444871,0.0,0.12077165376497523,0.0,0.5228752570549313,0.0,0.40718451860800065,0.0,0.45043571542046745,0.0,0.10351607824550246,0.0,0.7132463758866094
CPI_sqd,300,15.797365427017212,0.7118429787908016,1.0,0.0,1.0,4.0451529389512837e-184,1.0,1.0162748606515114e-179,1.0,1.7852988843933785e-224,1.0,6.135357116754389e-301,1.0,2.263797348455038e-51,1.0,0.0,1.0,2.6935378463529325e-233,1.0,5.708892368384371e-293,1.0,4.575209837615854e-74,0.0,1.0,0.0,1.0,0.0,0.5517345309779593,0.0,8.324674501414694e-52,0.0,0.017757065924228373,0.0,3.9272565604290253e-45,0.0,1.0,0.0,0.00440093761100451,0.0,1.6778882551820087e-296,0.0,1.0,0.0,1.0,0.0,9.314174141993498e-42,0.0,0.3156790937806534,0.0,0.10876547084417149,0.0,0.9998034881674956,0.0,2.13099084331585e-82,0.0,1.0,0.0,0.9959539530166411,0.0,1.0,0.0,0.944616939439275,0.0,1.0,0.0,1.0,0.0,6.438635490706011e-60,0.0,1.0,0.0,1.0,0.0,0.9535581386131914,0.0,2.661515533544588e-10,0.0,1.3889721510028926e-99,0.0,3.8919664443314384e-285,0.0,4.012244993836061e-273,0.0,1.0,0.0,9.27678268346641e-16,0.0,1.269395667629282e-24,0.0,0.9880692422960818,0.0,1.0,0.0,4.282151876327243e-38,0.0,8.704875613679296e-15,0.0,5.658392615820358e-17,0.0,0.0,0.0,1.0
S-CPI,300,28.409212112426758,0.7118429787908016,1.0,0.0013153868504300983,1.0,0.008088289637957335,1.0,0.00031844520724188196,1.0,0.003860257646154585,1.0,0.011112762051784882,1.0,0.0041536845699917365,1.0,0.0005525343226538613,1.0,0.001480443388066106,1.0,0.016716974539808412,1.0,0.01844810499114065,0.0,0.6637227230783928,0.0,0.7423895329535968,0.0,0.9143574097447609,0.0,0.2464157223402894,0.0,0.5485389263685764,0.0,0.5669919277229184,0.0,0.28771571468995333,0.0,0.3186417838684812,0.0,0.29983918353845085,0.0,0.6478328373872221,0.0,0.9456113719665591,0.0,0.6615840883615774,0.0,0.9487221595625462,0.0,0.2617085420734598,0.0,0.4853108986794116,0.0,0.7202013134778041,0.0,0.5671552406333423,0.0,0.9103036764682334,0.0,0.8783226795161141,0.0,0.7336859957772228,0.0,0.8558602200752805,0.0,0.38501371796148226,0.0,0.7828761813296875,0.0,0.9685756279337624,0.0,0.984402029517258,0.0,0.8644119664304812,0.0,0.2715324787598675,0.0,0.7861788364141608,0.0,0.14308597461116607,0.0,0.3029025035659048,0.0,0.9715579865705188,0.0,0.023225175876984118,0.0,0.10091746011179403,0.0,0.7863172851628107,0.0,0.017711131233371317,0.0,0.47092878488366463,0.0,0.22524798132692703,0.0,0.08494337040164168,0.0,0.001137876921326872,0.0,0.8802045984252709
S-CPI_sqrt,300,28.366690397262573,0.7118429787908016,1.0,0.14790801925252778,1.0,0.19525109437668187,1.0,0.10263975435465655,1.0,0.11482594688714481,1.0,0.17681693153830386,1.0,0.11763410443620015,1.0,0.12850763758091954,1.0,0.10824393718908248,1.0,0.2508911649572003,1.0,0.21589325177418972,0.0,0.4980339831564381,0.0,0.5284507026203454,0.0,0.5058833073548723,0.0,0.4979602260416799,0.0,0.49980204485799773,0.0,0.5008441010732612,0.0,0.49935934978521623,0.0,0.49830660765947205,0.0,0.47712957175688864,0.0,0.5155157984063091,0.0,0.5305626518487121,0.0,0.5001653992098221,0.0,0.5420775309897327,0.0,0.4968922971928905,0.0,0.5024125531390029,0.0,0.5061760678861557,0.0,0.5113762993142679,0.0,0.5030281871429031,0.0,0.5142754074328608,0.0,0.5015272280135963,0.0,0.5267692232227867,0.0,0.4878581846573334,0.0,0.49753135190636827,0.0,0.5563770282168325,0.0,0.6184996227706968,0.0,0.564537558299285,0.0,0.4542396565470591,0.0,0.5262797427245727,0.0,0.4599785405530983,0.0,0.47781233277665464,0.0,0.5606148337421066,0.0,0.4911180792711885,0.0,0.4943425765495965,0.0,0.5001200865437044,0.0,0.4585737301409899,0.0,0.4992114377651755,0.0,0.4969252993238098,0.0,0.4949890167521576,0.0,0.445797185177992,0.0,0.5084553879386807
S-CPI_n,300,28.511952877044678,0.7118429787908016,1.0,0.0024571642682428836,1.0,0.018209596793518485,1.0,0.006174283235522192,1.0,0.005758205065490062,1.0,0.02115219690153668,1.0,0.021499368796182455,1.0,0.0004744050096288946,1.0,0.011505011303180027,1.0,0.06321584411025725,1.0,0.008733147095461573,0.0,0.5122211097631545,0.0,0.6706023245017395,0.0,0.5560200458315017,0.0,0.47930845057419674,0.0,0.4953221434543256,0.0,0.52405478557688,0.0,0.47382358550059117,0.0,0.4872126706866541,0.0,0.33327914863536884,0.0,0.6225216096972047,0.0,0.6887952213311015,0.0,0.4714676598272709,0.0,0.6900284980267338,0.0,0.4724297109730346,0.0,0.4586548520579035,0.0,0.6000293347067518,0.0,0.5838812945713154,0.0,0.5217285979012325,0.0,0.5567416028160057,0.0,0.5099682583141043,0.0,0.6814766963751192,0.0,0.36483480263245893,0.0,0.5449823288618275,0.0,0.8457106284701331,0.0,0.8799443862760905,0.0,0.7881706280038758,0.0,0.3125243788397224,0.0,0.5553107609865776,0.0,0.30095334405835494,0.0,0.2672697892029316,0.0,0.8671099172928234,0.0,0.4316273858838453,0.0,0.428284151181329,0.0,0.500878981693735,0.0,0.20554896077538348,0.0,0.5033513541140591,0.0,0.461530493380153,0.0,0.4646434913257291,0.0,0.15300694502562046,0.0,0.6862888306789593
S-CPI_bt,300,28.644216299057007,0.7118429787908016,1.0,3.357120033878548e-19,1.0,1.9262379826759837e-09,1.0,1.934322568183751e-33,1.0,2.8445308011244585e-19,1.0,1.7614017747563093e-14,1.0,2.7093422448417734e-15,1.0,1.5719953800414337e-27,1.0,7.902027048928108e-19,1.0,9.44067102958243e-08,1.0,6.142752265082609e-09,0.0,0.6591805266424601,0.0,0.811590758432894,0.0,0.5893415560000923,0.0,0.36179705260179773,0.0,0.4764452383879714,0.0,0.4249450876529437,0.0,0.49160528004641313,0.0,0.49907255741855266,0.0,0.37095250639781696,0.0,0.6713463312472764,0.0,0.6673803547655546,0.0,0.486664997312444,0.0,0.7400720913235106,0.0,0.4761172854183584,0.0,0.5776802719173225,0.0,0.5505513540197687,0.0,0.6441498472772063,0.0,0.5378900571691851,0.0,0.7433855412138497,0.0,0.5212603761098904,0.0,0.6875894196104697,0.0,0.36632970493371453,0.0,0.5181985945130873,0.0,0.9226035098696064,0.0,0.9987901311086919,0.0,0.9914017173697846,0.0,0.2855201586705336,0.0,0.561879331070427,0.0,0.1852224948023502,0.0,0.24569819676935262,0.0,0.9244287234315768,0.0,0.40427016132156324,0.0,0.4000958026834582,0.0,0.5185732159746489,0.0,0.11597888346232876,0.0,0.5135249223001845,0.0,0.49477854136943644,0.0,0.48161923491652764,0.0,0.03234460344038439,0.0,0.7102265824427594
