method,n,tr_time,r2_test,tr_V0,pval0,tr_V1,pval1,tr_V2,pval2,tr_V3,pval3,tr_V4,pval4,tr_V5,pval5,tr_V6,pval6,tr_V7,pval7,tr_V8,pval8,tr_V9,pval9,tr_V10,pval10,tr_V11,pval11,tr_V12,pval12,tr_V13,pval13,tr_V14,pval14,tr_V15,pval15,tr_V16,pval16,tr_V17,pval17,tr_V18,pval18,tr_V19,pval19,tr_V20,pval20,tr_V21,pval21,tr_V22,pval22,tr_V23,pval23,tr_V24,pval24,tr_V25,pval25,tr_V26,pval26,tr_V27,pval27,tr_V28,pval28,tr_V29,pval29,tr_V30,pval30,tr_V31,pval31,tr_V32,pval32,tr_V33,pval33,tr_V34,pval34,tr_V35,pval35,tr_V36,pval36,tr_V37,pval37,tr_V38,pval38,tr_V39,pval39,tr_V40,pval40,tr_V41,pval41,tr_V42,pval42,tr_V43,pval43,tr_V44,pval44,tr_V45,pval45,tr_V46,pval46,tr_V47,pval47,tr_V48,pval48,tr_V49,pval49
LOCO-W,300,2.3581886291503906,0.511526760311948,1.0,0.5743136615127948,1.0,0.7345871167781185,1.0,0.6657760268089122,1.0,0.025322052382941496,1.0,1.594778777924688e-07,1.0,0.10231639734993614,1.0,0.01449942077110511,1.0,0.2049452214804719,1.0,0.7609576427158617,1.0,0.21778217878708062,0.0,0.2819674596598247,0.0,0.22602286097593838,0.0,0.1461924803392478,0.0,0.6692841281388515,0.0,0.9999998887942492,0.0,5.2698190494693264e-06,0.0,0.02674504326547944,0.0,0.24707670018942085,0.0,0.9999893586462819,0.0,0.1847103017392958,0.0,0.7782215293192991,0.0,0.9635037830396264,0.0,0.4708202236116833,0.0,0.41407843737391414,0.0,0.698392546962235,0.0,0.6364855583189352,0.0,0.71472452078562,0.0,0.3794376102673578,0.0,0.9999999999972407,0.0,0.6446613157776505,0.0,0.6746347591131626,0.0,0.5008155321527792,0.0,0.9009307425404385,0.0,0.7830867912870211,0.0,0.9290729052864579,0.0,0.7772658440631344,0.0,0.9999999542814981,0.0,0.9147402616864162,0.0,0.9999994012593045,0.0,0.011366998459179545,0.0,0.9676783661904031,0.0,0.4117880885683354,0.0,0.8735665241993991,0.0,0.9349451379235519,0.0,0.36839152193644176,0.0,0.9616718198586844,0.0,0.6582533170126096,0.0,0.31158673966439,0.0,0.9816454060300641,0.0,0.6993613301925964
CPI,300,3.396921396255493,0.511526760311948,1.0,0.01678953058605694,1.0,0.019984701616279896,1.0,0.2253777761766929,1.0,0.00539280609134962,1.0,0.10793477537596818,1.0,0.0018502317479322003,1.0,0.006401006847579742,1.0,0.06466307483897506,1.0,0.04364925767661947,1.0,0.07365704880703097,0.0,1.0,0.0,1.0,0.0,0.3093235750065889,0.0,1.0,0.0,0.6306749730267733,0.0,0.17346517123081684,0.0,0.20689452544893966,0.0,0.5080381929475396,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.32739864917578715,0.0,0.18512744302750705,0.0,1.0,0.0,0.86214582980214,0.0,0.43798793869833785,0.0,1.0,0.0,0.4420736128807322,0.0,1.0,0.0,1.0,0.0,0.6786630171594807,0.0,0.4656625246131511,0.0,1.0,0.0,1.0,0.0,0.6185451942021467,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.08306555711912189,0.0,1.0,0.0,1.0,0.0,0.022926636338565565,0.0,0.9397895828972604,0.0,1.0,0.0,1.0,0.0,0.19735263272280335,0.0,0.627913831045105,0.0,0.398479367554337
CPI_sqrt,300,3.3788576126098633,0.511526760311948,1.0,0.15064152290623317,1.0,0.3900996951781527,1.0,0.4870094344422781,1.0,0.18920692423698798,1.0,0.4381230022972094,1.0,0.11174472366285543,1.0,0.20587179248515164,1.0,0.25373754287705497,1.0,0.25115954588518863,1.0,0.2910956702234512,0.0,0.5,0.0,0.5,0.0,0.4856630799830075,0.0,0.5,0.0,0.4997709966048478,0.0,0.5048313397962583,0.0,0.5289026445643241,0.0,0.4582429753295621,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.44710990997554567,0.0,0.48759237505089353,0.0,0.5,0.0,0.5523050137433421,0.0,0.4942453410629756,0.0,0.5,0.0,0.4958470884676449,0.0,0.5,0.0,0.5,0.0,0.5044732628558674,0.0,0.49266401046535424,0.0,0.5,0.0,0.5,0.0,0.5075908835350276,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.47550611714238267,0.0,0.5,0.0,0.5,0.0,0.45638883814396886,0.0,0.5008166196582995,0.0,0.5,0.0,0.5,0.0,0.4998912074350882,0.0,0.5035692325019442,0.0,0.49883120090912725
CPI_n,300,3.3711984157562256,0.511526760311948,1.0,0.013460489273605426,1.0,0.010886679704497278,1.0,0.13309497618365485,1.0,0.024369019929714023,1.0,0.08993658636338919,1.0,0.058676424707706426,1.0,0.0426667027161816,1.0,0.1321012563790107,1.0,0.11978505528707717,1.0,0.059448963018917056,0.0,0.5,0.0,0.5,0.0,0.26384343767689583,0.0,0.5,0.0,0.41161345848128483,0.0,0.6170976412505914,0.0,0.3902064571943451,0.0,0.49133752674593006,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.6700086681943136,0.0,0.41647492750670584,0.0,0.5,0.0,0.7191262514749481,0.0,0.4760477497105758,0.0,0.5,0.0,0.40388368256099183,0.0,0.5,0.0,0.5,0.0,0.43372166936064094,0.0,0.4657633783178401,0.0,0.5,0.0,0.5,0.0,0.46162071496350043,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.24886613705807636,0.0,0.5,0.0,0.5,0.0,0.2705363928195552,0.0,0.5004071154616251,0.0,0.5,0.0,0.5,0.0,0.5013780321038318,0.0,0.5896214574279873,0.0,0.47649757846877644
CPI_bt,300,3.559528350830078,0.511526760311948,1.0,1.268614268247289e-30,1.0,0.003918224475109239,1.0,0.006214001007470822,1.0,4.3572187098628377e-11,1.0,0.43362634651510784,1.0,2.4789820908289482e-27,1.0,1.1196444792968893e-12,1.0,1.8906280876950942e-08,1.0,1.6159276129294021e-21,1.0,1.992311030134973e-08,0.0,0.5,0.0,0.5,0.0,0.18883256568713525,0.0,0.5,0.0,0.5494294754464584,0.0,0.5999280385365879,0.0,0.6726526209927044,0.0,0.7962224547367155,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.9982694351057899,0.0,0.38732234828825424,0.0,0.5,0.0,0.7966129601950063,0.0,0.9908660623317499,0.0,0.5,0.0,0.5096814036453823,0.0,0.5,0.0,0.5,0.0,0.5528571799345977,0.0,0.5425141749280583,0.0,0.5,0.0,0.5,0.0,0.3535602084718125,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.3846623698214924,0.0,0.5,0.0,0.5,0.0,0.40169953456515856,0.0,0.502233125397124,0.0,0.5,0.0,0.5,0.0,0.486868025004552,0.0,0.477232120833232,0.0,0.5151312092792916
CPI_sqd,300,3.55847430229187,0.511526760311948,1.0,0.0,1.0,0.0,1.0,2.6457546761095998e-59,1.0,0.0,1.0,1.2225138848298355e-18,1.0,1.6722023273052474e-47,1.0,2.0208217923357418e-137,1.0,2.2323787160137744e-45,1.0,1.5032484245905393e-198,1.0,4.888736058460106e-25,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.5,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.9998398847173096,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,3.616060978845293e-10,0.0,2.7493429430303326e-25,0.0,0.5,0.0,1.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.5,0.0,1.0,0.0,1.6995294644975742e-98,0.0,0.5,0.0,0.5,0.0,8.606933698402378e-78,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,1.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.12348021217400007,0.0,0.5,0.0,0.5,0.0,0.15281790224939273,0.0,0.9969969423907686,0.0,4.494111192947739e-05
S-CPI,300,3.482185125350952,0.511526760311948,1.0,2.205848069225571e-05,1.0,0.0021546894774650384,1.0,0.06695677793684084,1.0,0.007386315258523863,1.0,0.4415535214241702,1.0,0.006301290262806047,1.0,0.06258313265259564,1.0,0.31763594767563347,1.0,0.0014906660558973992,1.0,0.09938171621721775,0.0,0.5,0.0,0.5,0.0,0.015110472900773098,0.0,0.5,0.0,0.758243173796576,0.0,0.6283617858090672,0.0,0.8117343474058873,0.0,0.6405681902719887,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.7775138307682073,0.0,0.0524918747371298,0.0,0.5,0.0,0.9851407075358483,0.0,0.8236914039703485,0.0,0.5,0.0,0.19290566592799369,0.0,0.5,0.0,0.5,0.0,0.8133739660684771,0.0,0.6458341307506857,0.0,0.5,0.0,0.5,0.0,0.7471040515592774,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.06913998151263485,0.0,0.5,0.0,0.5,0.0,0.18781148951326287,0.0,0.8740204098821116,0.0,0.5,0.0,0.5,0.0,0.22505726704052031,0.0,0.6709061545407083,0.0,0.39494424460600147
S-CPI_sqrt,300,3.482457160949707,0.511526760311948,1.0,0.1792160663447534,1.0,0.2477614168890756,1.0,0.3657454861097399,1.0,0.16530951005538574,1.0,0.4185435625061873,1.0,0.1743067933729448,1.0,0.283427837457924,1.0,0.5381821655633907,1.0,0.19143030155958196,1.0,0.26115970361743895,0.0,0.5,0.0,0.5,0.0,0.4453711985301821,0.0,0.5,0.0,0.5291217760608024,0.0,0.5050100553593229,0.0,0.5229138318030218,0.0,0.5364675483958911,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5312507294655593,0.0,0.48905939327361914,0.0,0.5,0.0,0.5698349727432189,0.0,0.569878881813487,0.0,0.5,0.0,0.5000337001618951,0.0,0.5,0.0,0.5,0.0,0.5103475011962202,0.0,0.5143765948757932,0.0,0.5,0.0,0.5,0.0,0.5002364310099283,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.45515259783844253,0.0,0.5,0.0,0.5,0.0,0.45360211713311277,0.0,0.5023688757142639,0.0,0.5,0.0,0.5,0.0,0.49983756441588767,0.0,0.5037040713567983,0.0,0.4997808795297962
S-CPI_n,300,3.4894189834594727,0.511526760311948,1.0,0.0017442984027884732,1.0,0.049763891739957974,1.0,0.1998256574874096,1.0,0.031493834687055154,1.0,0.20340023595615742,1.0,0.03565301884631347,1.0,0.19157356272517123,1.0,0.3881669402549097,1.0,0.01762161029649381,1.0,0.13433447600055431,0.0,0.5,0.0,0.5,0.0,0.18719017286930834,0.0,0.5,0.0,0.7486452310467656,0.0,0.49783221742437284,0.0,0.6440218285924215,0.0,0.5478053236824015,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.4618690551668493,0.0,0.4223922403160618,0.0,0.5,0.0,0.7037894015188177,0.0,0.8110912115218158,0.0,0.5,0.0,0.4223215149823909,0.0,0.5,0.0,0.5,0.0,0.608245397328361,0.0,0.6615803905536924,0.0,0.5,0.0,0.5,0.0,0.5633689826203934,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.2534745920750738,0.0,0.5,0.0,0.5,0.0,0.3201249580630096,0.0,0.5263889438474854,0.0,0.5,0.0,0.5,0.0,0.5029946707720715,0.0,0.5463783389279284,0.0,0.4854363985018336
S-CPI_bt,300,3.679854154586792,0.511526760311948,1.0,2.3692147610316778e-37,1.0,1.7908519502742156e-08,1.0,2.54130585046895e-06,1.0,5.115316913060795e-16,1.0,0.007754637880642922,1.0,9.446520367492975e-19,1.0,3.620358764414532e-08,1.0,0.6586362332988568,1.0,2.3077683710315987e-17,1.0,4.518426381665984e-07,0.0,0.5,0.0,0.5,0.0,0.16447963980331692,0.0,0.5,0.0,0.6744855399019367,0.0,0.5588993190301036,0.0,0.8532281787414363,0.0,0.8174906091726819,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.4439580098495006,0.0,0.3388186463221624,0.0,0.5,0.0,0.9061028427288298,0.0,0.9974496572167468,0.0,0.5,0.0,0.43399163791928136,0.0,0.5,0.0,0.5,0.0,0.591659213258186,0.0,0.7172049251442283,0.0,0.5,0.0,0.5,0.0,0.5361090839347986,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.19661326140886992,0.0,0.5,0.0,0.5,0.0,0.34470314888014736,0.0,0.5217063984977318,0.0,0.5,0.0,0.5,0.0,0.500257553797227,0.0,0.5543382951033018,0.0,0.4938874835026325
