method,n,tr_time,r2_test,tr_V0,pval0,tr_V1,pval1,tr_V2,pval2,tr_V3,pval3,tr_V4,pval4,tr_V5,pval5,tr_V6,pval6,tr_V7,pval7,tr_V8,pval8,tr_V9,pval9,tr_V10,pval10,tr_V11,pval11,tr_V12,pval12,tr_V13,pval13,tr_V14,pval14,tr_V15,pval15,tr_V16,pval16,tr_V17,pval17,tr_V18,pval18,tr_V19,pval19,tr_V20,pval20,tr_V21,pval21,tr_V22,pval22,tr_V23,pval23,tr_V24,pval24,tr_V25,pval25,tr_V26,pval26,tr_V27,pval27,tr_V28,pval28,tr_V29,pval29,tr_V30,pval30,tr_V31,pval31,tr_V32,pval32,tr_V33,pval33,tr_V34,pval34,tr_V35,pval35,tr_V36,pval36,tr_V37,pval37,tr_V38,pval38,tr_V39,pval39,tr_V40,pval40,tr_V41,pval41,tr_V42,pval42,tr_V43,pval43,tr_V44,pval44,tr_V45,pval45,tr_V46,pval46,tr_V47,pval47,tr_V48,pval48,tr_V49,pval49
LOCO-W,300,81.92255520820618,0.6757034212556557,1.0,1.7005792884994264e-08,0.0,0.9998984827047512,0.0,6.209585659744388e-05,0.0,1.5896484794053478e-06,1.0,0.062423171516635234,0.0,0.9474681410404604,0.0,0.014845647374615356,0.0,0.856890091184642,1.0,1.963857426345861e-06,0.0,0.3837367769270321,0.0,0.04002585604885178,0.0,0.002378492196207893,1.0,0.053370865601920836,0.0,0.99998310288701,0.0,0.00010321313745020877,0.0,0.9998627347428721,1.0,0.38613104715903024,0.0,0.9998670664663758,0.0,0.9982117397732175,0.0,0.11565524901537572,1.0,0.07495780152122389,0.0,0.007642618568616477,0.0,0.9999378259383949,0.0,6.863985839666853e-05,1.0,0.1280290782751632,0.0,0.14948676572283337,0.0,2.0229682373695823e-09,0.0,0.01261215451421649,1.0,2.7183439943456733e-09,0.0,0.019253410747769206,0.0,0.5821226920272303,0.0,0.6427243378850128,1.0,0.9997823933930046,0.0,4.9528863616421503e-05,0.0,0.0871387711849898,0.0,0.9197366696386793,1.0,0.00041508400873668805,0.0,7.1428706283072074e-09,0.0,0.9932759517883203,0.0,0.9228958637675367,1.0,6.161519075575939e-05,0.0,0.9501023046233823,0.0,1.6641707345499412e-07,0.0,3.517539750519383e-05,1.0,0.998569802531664,0.0,0.0014267834296942672,0.0,0.7478400387739477,0.0,0.9998893404967999,0.0,0.9988545396737283,0.0,0.9997050206192485
CPI,300,4.396734714508057,0.6757034212556557,1.0,0.0007587146151605056,0.0,0.14616987211021815,0.0,0.6278660664656288,0.0,0.8689637250344111,1.0,0.006820888579166967,0.0,0.5566712730114329,0.0,0.6865035091842697,0.0,0.09246778967037628,1.0,0.7901467179681605,0.0,0.8689299544038647,0.0,0.671947789913979,0.0,0.5518737773907629,1.0,0.023784471260851925,0.0,0.15718063079707534,0.0,0.11569056463122768,0.0,0.03376537866878481,1.0,0.023613709873901136,0.0,0.9599053575505728,0.0,0.7959528348543963,0.0,0.5404207490692927,1.0,0.3162830487012046,0.0,0.21659210892160619,0.0,0.2679860961297374,0.0,0.7226981150356129,1.0,0.023864023345315424,0.0,0.6079938378677209,0.0,0.9495564094127367,0.0,0.5172793779608857,1.0,0.04712495387728411,0.0,0.10645368071027161,0.0,0.5048424424749138,0.0,0.04589155685924342,1.0,0.06171139625564428,0.0,0.8799923483865254,0.0,0.5439142161068623,0.0,0.23394644267344783,1.0,0.05413144950247974,0.0,0.4785633744423294,0.0,0.8219517790665887,0.0,0.017601738450634227,1.0,0.03919340769024279,0.0,0.842624433780125,0.0,0.5005551782452683,0.0,0.11146845371932007,1.0,0.057713326314131126,0.0,0.2607578127195533,0.0,0.9572852560127629,0.0,0.664032219945965,0.0,0.20463329141623304,0.0,0.5320540207082445
CPI_sqrt,300,4.3982932567596436,0.6757034212556557,1.0,0.16181476899548608,0.0,0.4809675416209225,0.0,0.5169021163868944,0.0,0.49760296778142166,1.0,0.2749471714936092,0.0,0.6011326430831003,0.0,0.5120887815740875,0.0,0.49455907353184453,1.0,0.4460901434189247,0.0,0.5372815206956268,0.0,0.524855295707988,0.0,0.5061017710435426,1.0,0.21789435560036713,0.0,0.4768797855688049,0.0,0.4160949835622134,0.0,0.5004901387062914,1.0,0.14557266956014775,0.0,0.5022369048789771,0.0,0.5113953000951486,0.0,0.5642412970271389,1.0,0.3631212946187953,0.0,0.5034526799953349,0.0,0.5670545225733928,0.0,0.5118675410478165,1.0,0.23721736391046916,0.0,0.48878156533676775,0.0,0.5622192436843108,0.0,0.48075689415610373,1.0,0.39974175644907595,0.0,0.5011528021079659,0.0,0.5118593152014163,0.0,0.49045508721793696,1.0,0.3076618727984051,0.0,0.457110157789447,0.0,0.5048929640457421,0.0,0.45233521683708694,1.0,0.33255118751859053,0.0,0.5161815867388354,0.0,0.5032911258256549,0.0,0.4815395407335301,1.0,0.24236646101702614,0.0,0.48732876721307306,0.0,0.5053819961823027,0.0,0.5027622136273988,1.0,0.27699262482205333,0.0,0.5116401173407285,0.0,0.49730498849794347,0.0,0.49717386207070224,0.0,0.49510203993868684,0.0,0.49948486350419496
CPI_n,300,4.3891825675964355,0.6757034212556557,1.0,0.009296002909384602,0.0,0.3583629204035473,0.0,0.50635357214347,0.0,0.5782644760087539,1.0,0.009389293252491462,0.0,0.5163880268673787,0.0,0.39334156026019595,0.0,0.49122657594950664,1.0,0.32202171637384036,0.0,0.7757297583018812,0.0,0.6500100337657866,0.0,0.666950633225867,1.0,0.01790633191239081,0.0,0.3049180157639514,0.0,0.22214015044481283,0.0,0.3366203517343923,1.0,0.19214769624076522,0.0,0.5319187603766098,0.0,0.6092274747548195,0.0,0.3561067429059678,1.0,0.1473122663687259,0.0,0.4945810019620719,0.0,0.40344560727151924,0.0,0.4149044738257982,1.0,0.023205194258864626,0.0,0.22654078104312397,0.0,0.7341475848366865,0.0,0.16541610480128505,1.0,0.07048197429382881,0.0,0.5381430533059295,0.0,0.5710803920649772,0.0,0.45929660659049065,1.0,0.20038876580409776,0.0,0.20924228619434942,0.0,0.5217483569646364,0.0,0.2848648367863118,1.0,0.1484848519756754,0.0,0.7667260019758744,0.0,0.6726871229025005,0.0,0.4473346902819454,1.0,0.36066840373051257,0.0,0.5271509517104316,0.0,0.6369892379463088,0.0,0.35557025750993715,1.0,0.07614539953253488,0.0,0.6584535232348211,0.0,0.6971780509509874,0.0,0.5420214072640551,0.0,0.44504576293994613,0.0,0.5477411885045792
CPI_bt,300,4.577653169631958,0.6757034212556557,1.0,3.493459167389458e-07,0.0,0.2564314293035708,0.0,0.7171441665316342,0.0,0.3871353061074302,1.0,0.00044148520491854825,0.0,0.9982275992720879,0.0,0.7413703395645641,0.0,0.4696899833189509,1.0,0.9864119374152502,0.0,0.8639233971125871,0.0,0.5776259812980084,0.0,0.6936976306499676,1.0,0.0003030928410345657,0.0,0.22721018991772307,0.0,0.4150462749505053,0.0,0.3491923136799633,1.0,0.029663672099592208,0.0,0.5147215556818825,0.0,0.29434858746825376,0.0,0.5081708376661069,1.0,0.0019748721155638848,0.0,0.24189542746530368,0.0,0.2388237251428994,0.0,0.20115834890503737,1.0,1.0177616850429388e-13,0.0,0.0042280771715148885,0.0,0.8270003956348101,0.0,0.35498370510728317,1.0,8.82696880701849e-06,0.0,0.4771959179526415,0.0,0.6619763073955016,0.0,0.37629287102184256,1.0,0.0002489063504817443,0.0,0.1358321069521462,0.0,0.5317704442933837,0.0,0.5606592173078675,1.0,4.895831555804843e-07,0.0,0.3499394743699572,0.0,0.4730800991523736,0.0,0.39844647392800464,1.0,5.7858125718288596e-08,0.0,0.791351864914866,0.0,0.576939429114853,0.0,0.41306881519920235,1.0,0.002257569283949262,0.0,0.6431603902394966,0.0,0.692507664549302,0.0,0.45513131140710866,0.0,0.280983456141647,0.0,0.5108928008023775
CPI_sqd,300,4.598666191101074,0.6757034212556557,1.0,2.5353837988529468e-27,0.0,6.202519794578088e-19,0.0,0.676657118341714,0.0,5.2691314803506046e-167,1.0,0.0004698508059156322,0.0,1.781891321725748e-28,0.0,1.0,0.0,1.0,1.0,0.3459455603381939,0.0,0.9999999999999423,0.0,4.1554825091007835e-05,0.0,1.0,1.0,0.6091243647864802,0.0,2.7195800741913504e-65,0.0,0.8906347931091808,0.0,9.481071182780354e-66,1.0,0.009861939360462268,0.0,0.9999999764947788,0.0,1.0,0.0,0.004422440117047172,1.0,1.6334274740371103e-46,0.0,4.649688185385309e-68,0.0,0.2727198626894043,0.0,0.19764924247779492,1.0,4.3948552891142205e-05,0.0,7.686219232455369e-23,0.0,1.0,0.0,2.866874142815531e-159,1.0,9.199750508942872e-47,0.0,0.5427505242808331,0.0,1.0,0.0,5.891555994658457e-51,1.0,2.2966738689079344e-10,0.0,1.0,0.0,1.1733153218445564e-25,0.0,9.650105199891273e-18,1.0,5.840837013403003e-14,0.0,1.9220614652727566e-08,0.0,1.0,0.0,0.0,1.0,4.105960870950124e-12,0.0,0.9999998520720023,0.0,1.0,0.0,1.3187999766971817e-30,1.0,0.0029844540685702425,0.0,0.998176420130722,0.0,1.0,0.0,0.9440881974699346,0.0,9.605770934797221e-32,0.0,0.9999999999943989
S-CPI,300,4.8278820514678955,0.6757034212556557,1.0,0.00014671380911571624,0.0,0.32292574721595735,0.0,0.776572698745569,0.0,0.4986268485000929,1.0,0.025548387495667364,0.0,0.43789338247151555,0.0,0.7302700906844639,0.0,0.37006311594632146,1.0,0.8922075427403114,0.0,0.9179458338982234,0.0,0.4812176038169099,0.0,0.7275339539648453,1.0,0.3283429163352216,0.0,0.12713996762804447,0.0,0.06445578730618355,0.0,0.06647178536027622,1.0,0.11796255074980122,0.0,0.7511716824093226,0.0,0.8165338874614245,0.0,0.7475556494680322,1.0,0.2880161552871041,0.0,0.30407190509110865,0.0,0.7153726184133187,0.0,0.8105253080159083,1.0,0.008780465933623404,0.0,0.15013160748761778,0.0,0.9863207828885233,0.0,0.06606657224915424,1.0,0.026754498965026654,0.0,0.2736260068147186,0.0,0.974434850826087,0.0,0.17062275434854335,1.0,0.18785362325083554,0.0,0.6638574511207956,0.0,0.6452416571952913,0.0,0.7231714914588351,1.0,0.08743824724445176,0.0,0.8040581164688518,0.0,0.8246891937935277,0.0,0.07218133686131646,1.0,0.010420994897927131,0.0,0.712840671465941,0.0,0.7302382373017902,0.0,0.1011235570304635,1.0,0.07333743148856449,0.0,0.8758060859514667,0.0,0.9584861625446608,0.0,0.5581041984414318,0.0,0.18752424119499145,0.0,0.8530904971750464
S-CPI_sqrt,300,4.825026988983154,0.6757034212556557,1.0,0.10975862738506792,0.0,0.47163693395086587,0.0,0.5259376534479175,0.0,0.4870115632916983,1.0,0.15471985503647745,0.0,0.5008265915800895,0.0,0.5415364438311809,0.0,0.50060397359829,1.0,0.6325036018677724,0.0,0.5707746381185297,0.0,0.48250800106849057,0.0,0.5105000466857146,1.0,0.36425545001278303,0.0,0.44550827574999524,0.0,0.43640660252144237,0.0,0.4658596918803844,1.0,0.4023980291395041,0.0,0.5020073578774177,0.0,0.5734243811398857,0.0,0.5379494583637777,1.0,0.31049330982121304,0.0,0.4777772646992372,0.0,0.5242134314123277,0.0,0.590922660677966,1.0,0.1029797995707945,0.0,0.35760235517813876,0.0,0.5799355450534087,0.0,0.4360770618798626,1.0,0.2997510007275923,0.0,0.46888258582424747,0.0,0.5175763827018895,0.0,0.4750690036170322,1.0,0.4579519255970404,0.0,0.5238404329579567,0.0,0.5032539468821697,0.0,0.5348859549632684,1.0,0.3421567432248884,0.0,0.5543130763948779,0.0,0.5431500783966946,0.0,0.48211323392126343,1.0,0.16497272788163853,0.0,0.5321994845609221,0.0,0.5405234737515272,0.0,0.4883950575787954,1.0,0.35232750658802836,0.0,0.5099024814948665,0.0,0.5280085202876311,0.0,0.5030373520183945,0.0,0.4868281777608692,0.0,0.5077598375451355
S-CPI_n,300,4.8275299072265625,0.6757034212556557,1.0,0.003812551351663537,0.0,0.43644434006859256,0.0,0.6618761215819637,0.0,0.3844715485590794,1.0,0.0391603178131061,0.0,0.5913264265640066,0.0,0.7220406419072796,0.0,0.45770094682034607,1.0,0.8410257041332591,0.0,0.8365367177026928,0.0,0.5934859929427727,0.0,0.5419679816149738,1.0,0.39750291008991845,0.0,0.2544480763464444,0.0,0.22211099463539696,0.0,0.2968075125868579,1.0,0.2169234555498289,0.0,0.5399522773854216,0.0,0.7356056839242504,0.0,0.5223348093455298,1.0,0.3487346375207892,0.0,0.43242906311186957,0.0,0.48862658452217034,0.0,0.876772224849079,1.0,0.016515999747981916,0.0,0.24524902828564799,0.0,0.8517732217027361,0.0,0.1926785440432236,1.0,0.054290867415310126,0.0,0.35504829080957223,0.0,0.6750830922696971,0.0,0.3905220607990785,1.0,0.3465692892433681,0.0,0.5545132433909213,0.0,0.5083665811920915,0.0,0.6098784521103141,1.0,0.08018550334132957,0.0,0.6721307571361034,0.0,0.6841128405135382,0.0,0.31052950253248635,1.0,0.008567985582554906,0.0,0.5292339541622694,0.0,0.4968352597668378,0.0,0.3755993568277364,1.0,0.2556066620201992,0.0,0.622725777568119,0.0,0.6826925267357858,0.0,0.5273412820061574,0.0,0.3989817814858924,0.0,0.5157264459118673
S-CPI_bt,300,5.016919136047363,0.6757034212556557,1.0,9.75090371377329e-12,0.0,0.12337706190402076,0.0,0.642645274805955,0.0,0.5043100379848502,1.0,0.037244772270543944,0.0,0.8473287948403913,0.0,0.7539141763716555,0.0,0.49843709161934796,1.0,0.9670667466663305,0.0,0.9619651492434045,0.0,0.6372433757397367,0.0,0.7389373002264383,1.0,0.5855413524020499,0.0,0.063203898628037,0.0,0.037938870662893726,0.0,0.2690415680428889,1.0,0.2819951906741113,0.0,0.5222461038834499,0.0,0.9152258673303126,0.0,0.4399566357017872,1.0,0.0010602841242141885,0.0,0.2593392176857431,0.0,0.8612560930994386,0.0,0.9542908671362283,1.0,4.2323567188334476e-07,0.0,0.048834247318024285,0.0,0.9634302810655784,0.0,0.10944983549704135,1.0,1.4567805039902697e-05,0.0,0.2942563306111493,0.0,0.7200145512339986,0.0,0.3844625643289283,1.0,0.094767724188628,0.0,0.8808770811391159,0.0,0.5298956351324665,0.0,0.8958083445087786,1.0,0.027976868563768076,0.0,0.9954862862095629,0.0,0.8642890906158168,0.0,0.3019233456440032,1.0,0.0009726912760219407,0.0,0.7448808058545948,0.0,0.8406152933176083,0.0,0.3603896533751194,1.0,0.026237377928085545,0.0,0.686205651269248,0.0,0.7585360390316266,0.0,0.5225131731915038,0.0,0.407680938135552,0.0,0.5185229514815775
