method,n,tr_time,r2_test,tr_V0,pval0,tr_V1,pval1,tr_V2,pval2,tr_V3,pval3,tr_V4,pval4,tr_V5,pval5,tr_V6,pval6,tr_V7,pval7,tr_V8,pval8,tr_V9,pval9,tr_V10,pval10,tr_V11,pval11,tr_V12,pval12,tr_V13,pval13,tr_V14,pval14,tr_V15,pval15,tr_V16,pval16,tr_V17,pval17,tr_V18,pval18,tr_V19,pval19,tr_V20,pval20,tr_V21,pval21,tr_V22,pval22,tr_V23,pval23,tr_V24,pval24,tr_V25,pval25,tr_V26,pval26,tr_V27,pval27,tr_V28,pval28,tr_V29,pval29,tr_V30,pval30,tr_V31,pval31,tr_V32,pval32,tr_V33,pval33,tr_V34,pval34,tr_V35,pval35,tr_V36,pval36,tr_V37,pval37,tr_V38,pval38,tr_V39,pval39,tr_V40,pval40,tr_V41,pval41,tr_V42,pval42,tr_V43,pval43,tr_V44,pval44,tr_V45,pval45,tr_V46,pval46,tr_V47,pval47,tr_V48,pval48,tr_V49,pval49
LOCO-W,300,28.188274383544922,0.8723729118394473,1.0,0.6391057813850558,0.0,0.7622564549496397,0.0,0.10300931316992301,0.0,0.2924345192679424,1.0,0.35385516219433977,0.0,0.16265028874660192,0.0,0.49953466422115944,0.0,0.9556739214974831,1.0,0.6566949982598606,0.0,0.7228956408690558,0.0,0.17854950658434943,0.0,0.5106528528475069,1.0,0.6613390475483202,0.0,0.7196503514007582,0.0,0.35155656686310055,0.0,0.19934426603071165,1.0,0.5800347707278233,0.0,0.6834970599824,0.0,0.61185872427918,0.0,0.2298504605041387,1.0,0.01561679290986584,0.0,0.23992159886225362,0.0,0.16795569279927536,0.0,0.5252429722554722,1.0,0.7556559428497729,0.0,0.5232490436192179,0.0,0.5384002081782686,0.0,0.7956104094170887,1.0,0.8248611815174349,0.0,0.7696230935543851,0.0,0.7953766274206925,0.0,0.6192571901012413,1.0,0.44491462766424783,0.0,0.31147697265443985,0.0,0.6335905679999434,0.0,0.5343535096371624,1.0,0.24693634445421075,0.0,0.7748880728380543,0.0,0.648932295443258,0.0,0.3416432172289168,1.0,0.3444734788802424,0.0,0.8183661441038632,0.0,0.19949865951909262,0.0,0.20084855815510738,1.0,0.9511257025698527,0.0,0.4513118959388026,0.0,0.3452814685198611,0.0,0.2469654131939929,0.0,0.8327667081807842,0.0,0.7665332082777543
CPI,300,3.786989688873291,0.8723729118394473,1.0,0.0002926350811320529,0.0,0.8994005389309991,0.0,0.42075954620196865,0.0,0.02869858529834509,1.0,0.004687223906988991,0.0,0.6380195193117729,0.0,0.0875267983777715,0.0,0.938370848995675,1.0,0.024221578953180372,0.0,0.893683653445313,0.0,0.5281837545926281,0.0,0.6078017297603783,1.0,5.554078924561142e-05,0.0,0.4215037533220925,0.0,0.8387126768548226,0.0,0.6484865524536633,1.0,2.5961899664019748e-06,0.0,0.286049367384424,0.0,0.4441065076597218,0.0,0.25113940780139654,1.0,7.484479634954108e-05,0.0,0.36417763830028416,0.0,0.7025399347210723,0.0,0.705756889613522,1.0,0.04330340048498295,0.0,0.11521716180149139,0.0,0.6473867233833714,0.0,0.032277179653343376,1.0,2.9824359222601608e-06,0.0,0.669953142333802,0.0,0.8530130462800869,0.0,0.9200267654209967,1.0,0.00016685280423304308,0.0,0.9129689216284456,0.0,0.1964886301879274,0.0,0.8876055723574354,1.0,6.6148895535292055e-06,0.0,0.19490582699620157,0.0,0.35860753161295694,0.0,0.41211719712112505,1.0,7.687846718134311e-05,0.0,0.5208950361838263,0.0,0.23996005016471667,0.0,0.31524581801773693,1.0,0.0004181868075455697,0.0,0.7964532396075134,0.0,0.45964803380162866,0.0,0.9602890535616978,0.0,0.19957096331172564,0.0,0.7262696182152855
CPI_sqrt,300,3.7780086994171143,0.8723729118394473,1.0,0.22840948060064736,0.0,0.46131897507250763,0.0,0.4385304713725616,0.0,0.4621346237050047,1.0,0.27707825214149995,0.0,0.4508266549022076,0.0,0.4841756833710497,0.0,0.5123556568983851,1.0,0.261974324823091,0.0,0.4327626922508906,0.0,0.4749484474991508,0.0,0.5231193678343095,1.0,0.2135625727185353,0.0,0.4717721124561096,0.0,0.5118411218087529,0.0,0.49824227714194985,1.0,0.09901197849533055,0.0,0.5332020952813986,0.0,0.5473813541935529,0.0,0.4486499296763853,1.0,0.14090079136903566,0.0,0.5450387035456525,0.0,0.51223386877153,0.0,0.5188124714494805,1.0,0.40665149379203414,0.0,0.45807830441871866,0.0,0.48480761803572225,0.0,0.4670179113205115,1.0,0.14709420914004617,0.0,0.47049257815403367,0.0,0.5393916121099266,0.0,0.5015124344540375,1.0,0.26696740439043953,0.0,0.48985005665978976,0.0,0.4858507008461791,0.0,0.5579069216027951,1.0,0.1080348039466496,0.0,0.5157605364858201,0.0,0.5060893575106591,0.0,0.5103725576633783,1.0,0.2147869432719673,0.0,0.5585194440863324,0.0,0.5083404762317183,0.0,0.46697814066287485,1.0,0.19592127088667866,0.0,0.49248267509851146,0.0,0.4296600147493832,0.0,0.48106104935388855,0.0,0.4957685031016233,0.0,0.48471660598772803
CPI_n,300,3.789154529571533,0.8723729118394473,1.0,0.002537752525889084,0.0,0.3426000245187216,0.0,0.6364922194087704,0.0,0.34219828362860205,1.0,0.005284216946439297,0.0,0.41689014811811737,0.0,0.15308800158886016,0.0,0.5869270909153169,1.0,0.0901832365354352,0.0,0.5713705245901968,0.0,0.3768910963109859,0.0,0.4534220943096747,1.0,0.004240049309733833,0.0,0.319660943892668,0.0,0.5401394344886254,0.0,0.7845884713959256,1.0,0.002226608683499127,0.0,0.37872294688564,0.0,0.6593793829610562,0.0,0.41388582932734486,1.0,0.01775111602925179,0.0,0.37002432290832077,0.0,0.5067545772346482,0.0,0.7356246438703578,1.0,0.06384755112252903,0.0,0.23409830802483456,0.0,0.5797434705849582,0.0,0.22735626698959444,1.0,0.016178617286244642,0.0,0.38015338438935464,0.0,0.7277623404325648,0.0,0.6572458238589071,1.0,0.004078477356068674,0.0,0.4972185234076148,0.0,0.5033097525447762,0.0,0.49980731057162625,1.0,0.001629758163040116,0.0,0.5517181657866433,0.0,0.29347751379189024,0.0,0.3050639781546166,1.0,0.022481384213769558,0.0,0.49817295166769,0.0,0.48002455631639374,0.0,0.20507504646005253,1.0,0.030806269885866974,0.0,0.5700454389272135,0.0,0.31959203806516334,0.0,0.63130452921312,0.0,0.6308793067456326,0.0,0.6083916815881227
CPI_bt,300,3.964982032775879,0.8723729118394473,1.0,2.280110813226383e-15,0.0,0.1725064835847565,0.0,0.417870728682606,0.0,0.6672911341720443,1.0,8.406328703604698e-11,0.0,0.1664046743016232,0.0,0.45430024004624536,0.0,0.7735910338033656,1.0,9.624174356919847e-08,0.0,0.12615421792007575,0.0,0.38772834649167287,0.0,0.5469294424711759,1.0,5.9354713360747945e-09,0.0,0.1817588512746917,0.0,0.6711215340658006,0.0,0.9166731685996536,1.0,2.8153180192191095e-10,0.0,0.5662476071819038,0.0,0.8158008208426049,0.0,0.10126384677861494,1.0,1.2465339645327674e-06,0.0,0.7974242265629317,0.0,0.7964978428550421,0.0,0.9540786804973439,1.0,0.0020882484923237373,0.0,0.1106402616263421,0.0,0.4189048550342386,0.0,0.025041395147010776,1.0,3.208514997437955e-23,0.0,0.4980185430920497,0.0,0.6875846815196851,0.0,0.5901432589003714,1.0,2.1630929807003714e-05,0.0,0.7708723383615503,0.0,0.8302434800888553,0.0,0.34805265184788964,1.0,4.294899925061833e-30,0.0,0.4784724048777232,0.0,0.6959439377899215,0.0,0.4014469198061593,1.0,7.01481913964256e-12,0.0,0.6079242096381063,0.0,0.3224542051744238,0.0,0.011025265635093946,1.0,1.655156135846037e-07,0.0,0.7072851433104648,0.0,0.2913512925775491,0.0,0.8127497117364993,0.0,0.32912450167292373,0.0,0.5927560122617281
CPI_sqd,300,3.964397430419922,0.8723729118394473,1.0,6.351872061860426e-32,0.0,0.999999996600615,0.0,3.930324518882284e-10,0.0,1.0250558420764016e-29,1.0,2.3306250057623e-39,0.0,8.17075058601473e-07,0.0,1.3207141160792293e-15,0.0,1.0,1.0,2.478266713091403e-77,0.0,0.9999999999999998,0.0,5.73033792202803e-120,0.0,1.3030520179596934e-07,1.0,1.8216251328349122e-19,0.0,6.2882118804721586e-208,0.0,9.021612061274567e-76,0.0,1.0,1.0,7.217524436859776e-74,0.0,1.793913353826234e-39,0.0,1.0,0.0,0.9937420281252791,1.0,4.817717031939351e-21,0.0,0.964380197892739,0.0,0.9999994443101218,0.0,1.0,1.0,1.1332155329669031e-14,0.0,1.5093161463040177e-211,0.0,0.9921576955934502,0.0,2.472678735836488e-92,1.0,1.7236270678357495e-21,0.0,2.4264371061885893e-19,0.0,1.0,0.0,1.0,1.0,2.294227407196278e-41,0.0,0.9999999991246183,0.0,0.21786839681910114,0.0,1.0,1.0,3.613265998522274e-14,0.0,1.0,0.0,1.2635920224389232e-15,0.0,1.2655770606576545e-14,1.0,5.412076341629205e-27,0.0,0.9843401528870248,0.0,4.70136603271911e-85,0.0,4.208046607157718e-05,1.0,7.52491395882958e-24,0.0,0.267561473104469,0.0,1.3378795372572753e-115,0.0,1.0,0.0,2.076620912149971e-36,0.0,0.7390096681868257
S-CPI,300,3.9453909397125244,0.8723729118394473,1.0,5.242783339932565e-05,0.0,0.5075027441077932,0.0,0.84930471313304,0.0,0.05553890193532445,1.0,0.03912388789901072,0.0,0.8490425061003797,0.0,0.09384753019161829,0.0,0.9063159054952211,1.0,0.012633042804803561,0.0,0.5504207946431328,0.0,0.4661908698322588,0.0,0.5706273212943146,1.0,0.002754166760269946,0.0,0.306194293584354,0.0,0.5871950393103179,0.0,0.9064512202842667,1.0,2.7546381130143152e-05,0.0,0.7960051534547234,0.0,0.8526173772710757,0.0,0.5183676503206989,1.0,7.772420551982573e-05,0.0,0.9285603992591216,0.0,0.9538773777868642,0.0,0.9698655966035553,1.0,0.21881219602152008,0.0,0.08361638236028374,0.0,0.5347555915988708,0.0,0.2644875175531296,1.0,0.0007570420085498453,0.0,0.553717016725795,0.0,0.8412186532560916,0.0,0.7681045904671474,1.0,0.00021490078227678688,0.0,0.924865124836054,0.0,0.4455445670833209,0.0,0.9732856614800655,1.0,9.768471951898019e-06,0.0,0.8365865895619743,0.0,0.6609694608170728,0.0,0.5723250457304165,1.0,0.0015363608709422383,0.0,0.7526869588098943,0.0,0.14956086461840917,0.0,0.15945325768814073,1.0,0.005817281989084158,0.0,0.8861421340100634,0.0,0.23723215920153828,0.0,0.9301504401277296,0.0,0.784915546518482,0.0,0.651543666516362
S-CPI_sqrt,300,3.949079751968384,0.8723729118394473,1.0,0.10657045969223322,0.0,0.5066672673492569,0.0,0.593123734389221,0.0,0.43508961494147896,1.0,0.2820723291300213,0.0,0.5342270585703778,0.0,0.464091213069864,0.0,0.5386237412426612,1.0,0.2465177294980398,0.0,0.5394551736368867,0.0,0.4884700747317635,0.0,0.5069212190496,1.0,0.09905238412546552,0.0,0.5018199694174575,0.0,0.5240495616656274,0.0,0.556127189790677,1.0,0.05343545704102812,0.0,0.5365158864448173,0.0,0.5534384410287327,0.0,0.5050810211531185,1.0,0.06346958459178953,0.0,0.549639080318849,0.0,0.5527063386051372,0.0,0.5980153655289534,1.0,0.3639588356125049,0.0,0.4424208594614514,0.0,0.5271419020967097,0.0,0.476402272146112,1.0,0.1130271786778419,0.0,0.5142491103433475,0.0,0.5562992612757813,0.0,0.5277058910699864,1.0,0.16076773212515555,0.0,0.5363051840844094,0.0,0.48521250743519434,0.0,0.5580759910370385,1.0,0.09939348505728074,0.0,0.526506167720065,0.0,0.4976292509078874,0.0,0.48629460739517444,1.0,0.1745373245924165,0.0,0.5487681889376744,0.0,0.4474655016291602,0.0,0.46948969579230476,1.0,0.15126522792210811,0.0,0.5527008657357351,0.0,0.4579409227396679,0.0,0.518986460155916,0.0,0.5093539842581943,0.0,0.510682530355708
S-CPI_n,300,3.9476118087768555,0.8723729118394473,1.0,0.004587923691202127,0.0,0.36326769490789246,0.0,0.5851024017427665,0.0,0.17487406384766702,1.0,0.029528524639952113,0.0,0.6554206972435378,0.0,0.3288243283740558,0.0,0.7307920519938182,1.0,0.057636768639212965,0.0,0.4683501430276857,0.0,0.4815632182929208,0.0,0.6175440861767334,1.0,0.008089585907989269,0.0,0.4675845977954552,0.0,0.63099162447897,0.0,0.8358174732181631,1.0,9.562169034557159e-05,0.0,0.6131286691360164,0.0,0.7675147342244171,0.0,0.2960474086090897,1.0,0.0014546738095823264,0.0,0.7519368456711377,0.0,0.7769041960223173,0.0,0.7536105852414381,1.0,0.38890834161652066,0.0,0.17186148769757031,0.0,0.5245383628750967,0.0,0.4051156720125787,1.0,0.0008090525287935556,0.0,0.6040236455634881,0.0,0.772121211405723,0.0,0.557769071093056,1.0,0.009089071067722563,0.0,0.7859661502897265,0.0,0.4713465477767035,0.0,0.7980063397924415,1.0,0.0008504828775834091,0.0,0.7181454133502492,0.0,0.5369996998108086,0.0,0.5305640936602527,1.0,0.016414981965646874,0.0,0.6324960382857798,0.0,0.43636559830893906,0.0,0.2866858956169227,1.0,0.021606723977061648,0.0,0.678645716125172,0.0,0.23283302044196602,0.0,0.7264884374156069,0.0,0.6365330382526153,0.0,0.45209195797041124
S-CPI_bt,300,4.128761291503906,0.8723729118394473,1.0,3.3481379066814666e-11,0.0,0.5267799602235734,0.0,0.9366673403942031,0.0,0.1323383362779203,1.0,5.162709544911305e-05,0.0,0.7758558172153136,0.0,0.1589422948230605,0.0,0.8960828467540062,1.0,9.079594194697387e-10,0.0,0.789676932255724,0.0,0.46004612057216154,0.0,0.41299712890535295,1.0,4.082410891565197e-09,0.0,0.3189602412625408,0.0,0.6751367523524748,0.0,0.8851580650222424,1.0,9.470853765880115e-10,0.0,0.6769393877161288,0.0,0.9784422245083229,0.0,0.1297430617400292,1.0,3.8584475180008994e-09,0.0,0.9257731877560209,0.0,0.960716046602018,0.0,0.9293724146280752,1.0,0.08747268221730475,0.0,0.04282277256566354,0.0,0.5942429121743014,0.0,0.14038788083313208,1.0,1.196989324507727e-12,0.0,0.6704637443587994,0.0,0.8316772612326455,0.0,0.809492792398312,1.0,3.0694590656545813e-12,0.0,0.6303398789722532,0.0,0.6133114191124098,0.0,0.965509127529845,1.0,1.292719654378955e-14,0.0,0.7650871752962132,0.0,0.37142206608290596,0.0,0.30119161121539634,1.0,4.3613917174479125e-06,0.0,0.7538409286546974,0.0,0.34460647894976326,0.0,0.5245713429222048,1.0,6.800121224885254e-07,0.0,0.5891262036586942,0.0,0.1040149088538867,0.0,0.7988766996291495,0.0,0.6597918770050923,0.0,0.7812092803553823
