method,n,tr_time,r2_test,tr_V0,pval0,tr_V1,pval1,tr_V2,pval2,tr_V3,pval3,tr_V4,pval4,tr_V5,pval5,tr_V6,pval6,tr_V7,pval7,tr_V8,pval8,tr_V9,pval9,tr_V10,pval10,tr_V11,pval11,tr_V12,pval12,tr_V13,pval13,tr_V14,pval14,tr_V15,pval15,tr_V16,pval16,tr_V17,pval17,tr_V18,pval18,tr_V19,pval19,tr_V20,pval20,tr_V21,pval21,tr_V22,pval22,tr_V23,pval23,tr_V24,pval24,tr_V25,pval25,tr_V26,pval26,tr_V27,pval27,tr_V28,pval28,tr_V29,pval29,tr_V30,pval30,tr_V31,pval31,tr_V32,pval32,tr_V33,pval33,tr_V34,pval34,tr_V35,pval35,tr_V36,pval36,tr_V37,pval37,tr_V38,pval38,tr_V39,pval39,tr_V40,pval40,tr_V41,pval41,tr_V42,pval42,tr_V43,pval43,tr_V44,pval44,tr_V45,pval45,tr_V46,pval46,tr_V47,pval47,tr_V48,pval48,tr_V49,pval49
LOCO-W,300,131.6971709728241,0.5073623479922194,1.0,0.0003845047449220207,0.0,0.7875979329976135,0.0,0.1329776861359926,0.0,0.04299475597750402,1.0,0.6662075701651745,0.0,0.49241251957640064,0.0,0.18172942841995543,0.0,0.0070441143772388415,1.0,0.6855057026380575,0.0,0.01428201452334954,0.0,0.21377548192857876,0.0,0.27172679326097204,1.0,0.2478527420314114,0.0,0.8689471407937648,0.0,0.2189044470807633,0.0,0.6207492948399906,1.0,0.26347254350645155,0.0,0.16798500344210954,0.0,0.9104965574600243,0.0,0.07241739583247753,1.0,0.7899425690981409,0.0,0.6627488427705981,0.0,0.23230537218863412,0.0,0.884015315119848,1.0,0.9549631233170721,0.0,0.83912611570788,0.0,0.11126299378930549,0.0,0.900935112797608,1.0,0.2917844486065607,0.0,0.37791382564063836,0.0,0.09714817269080944,0.0,0.296969573601676,1.0,0.049025091251927555,0.0,0.742111845403213,0.0,0.05505016953388142,0.0,0.4349201388856112,1.0,0.5506108475159112,0.0,0.2957828157073681,0.0,0.8301321195374853,0.0,0.8433103250771148,1.0,0.3188629731954865,0.0,0.965983109846224,0.0,0.5579270085280474,0.0,0.1476579721029534,1.0,0.04696970490285568,0.0,0.4725928012301892,0.0,0.7235823840783686,0.0,0.5374216085873035,0.0,0.2197161278838694,0.0,0.2545352019367979
CPI,300,6.695029020309448,0.5073623479922194,1.0,0.0006118403486768099,0.0,0.02340238957037734,0.0,0.8070548310567747,0.0,0.3637439310847569,1.0,0.003629790329862162,0.0,0.7300669396077182,0.0,0.10953624806726742,0.0,0.8983733925029218,1.0,0.41374305062825245,0.0,0.5307167346897056,0.0,0.742239323599943,0.0,0.2466639995820391,1.0,0.07927613507708475,0.0,0.6432236076907254,0.0,0.9261130659457322,0.0,0.08556444157077364,1.0,0.06259684537300075,0.0,0.5125167280882614,0.0,0.26648368077077056,0.0,0.7231255473060764,1.0,0.06882864203506947,0.0,0.11321139544466274,0.0,0.3105283823340865,0.0,0.6102409920059392,1.0,0.5268699265670675,0.0,0.1918282888469363,0.0,0.11271725910846458,0.0,0.15311872532499787,1.0,0.037515743522371726,0.0,0.02477839806339733,0.0,0.9193834970037956,0.0,0.18356216027167965,1.0,0.0266068336615024,0.0,0.9538000624915084,0.0,0.7180754173301163,0.0,0.2633266852095764,1.0,0.3363927938493301,0.0,0.5241852425322275,0.0,0.1225171444664136,0.0,0.9761145141544927,1.0,0.0011438284908947321,0.0,0.4961444858179796,0.0,0.13205682526597373,0.0,0.667768891703881,1.0,0.008038814284533933,0.0,0.45730663263839727,0.0,0.12079782272047235,0.0,0.044320259638223225,0.0,0.08105499070865985,0.0,0.8128264244666865
CPI_sqrt,300,6.703925609588623,0.5073623479922194,1.0,0.16026111066643234,0.0,0.4884930793518367,0.0,0.520440352097747,0.0,0.4599411319950739,1.0,0.3546078306076634,0.0,0.5757578833127168,0.0,0.46996467735534114,0.0,0.5117050533974234,1.0,0.5141377481929121,0.0,0.5056193846355317,0.0,0.5123266975680562,0.0,0.5113123545245434,1.0,0.4858547759273204,0.0,0.5337892943828206,0.0,0.5158308376318459,0.0,0.44922663902555704,1.0,0.4160653207773389,0.0,0.45037678482692256,0.0,0.49553430552793115,0.0,0.5047946559653924,1.0,0.4958433125918272,0.0,0.46736959440541176,0.0,0.4757005569466828,0.0,0.5069200414741553,1.0,0.47966374890335767,0.0,0.4545203059069245,0.0,0.49632722700968535,0.0,0.47281229774060196,1.0,0.4221156493594646,0.0,0.4800727331870683,0.0,0.4651050513316871,0.0,0.4927875708851024,1.0,0.39653445550944083,0.0,0.499502877024004,0.0,0.43148240377130626,0.0,0.49567578357508174,1.0,0.4101968384803367,0.0,0.5496312246802385,0.0,0.4664156379665987,0.0,0.5272117637686222,1.0,0.17306360362962203,0.0,0.48741350300090236,0.0,0.48079683817622637,0.0,0.5691223697888409,1.0,0.3192634347343928,0.0,0.5222906955341409,0.0,0.5625357548231342,0.0,0.48786877819548863,0.0,0.48427139910230077,0.0,0.5088828798727799
CPI_n,300,6.707674980163574,0.5073623479922194,1.0,0.12496374517738695,0.0,0.4088790446784611,0.0,0.5986456292307542,0.0,0.39382649463897823,1.0,0.15091265338115345,0.0,0.4592279063710051,0.0,0.4222679988025516,0.0,0.5373581060271629,1.0,0.4374024224517976,0.0,0.7076163611994172,0.0,0.460466639148034,0.0,0.23394450986754317,1.0,0.386785036572939,0.0,0.6232726575233609,0.0,0.7056661928951028,0.0,0.5766341271990568,1.0,0.15914786857128627,0.0,0.29883257091542687,0.0,0.5535817430586553,0.0,0.6189918548785303,1.0,0.47230828523988033,0.0,0.5527488504888081,0.0,0.4264156121103738,0.0,0.43031976989512344,1.0,0.8563270372184237,0.0,0.6453394286662376,0.0,0.35206621012219574,0.0,0.31054619603700445,1.0,0.27560511115767883,0.0,0.3599226755470304,0.0,0.5397175451491311,0.0,0.3834266746848182,1.0,0.2270216888746483,0.0,0.6509572717513706,0.0,0.2940826266982206,0.0,0.6338767192957805,1.0,0.0927821404610848,0.0,0.28660138020157455,0.0,0.3167716529996646,0.0,0.4631564884560228,1.0,0.019266621235848207,0.0,0.6546701321309969,0.0,0.3409693149519664,0.0,0.6830730536671953,1.0,0.0035324332410257534,0.0,0.6212237137787713,0.0,0.34974566040587096,0.0,0.31419887045217115,0.0,0.40894300280538837,0.0,0.564518378649946
CPI_bt,300,6.886624336242676,0.5073623479922194,1.0,1.6478421618668256e-07,0.0,0.6045230655161481,0.0,0.7177789143062,0.0,0.32473161562386443,1.0,0.0005740256588843668,0.0,0.8068031562777209,0.0,0.5714820262416489,0.0,0.647552648115189,1.0,0.699110697320157,0.0,0.6798775349995609,0.0,0.5003168404860909,0.0,0.39803869189180174,1.0,0.36518959462920964,0.0,0.6262341638496881,0.0,0.6777085453951351,0.0,0.33966748127467195,1.0,0.0004748543939524778,0.0,0.2130728618322807,0.0,0.2638696581727312,0.0,0.5384143856720774,1.0,0.12230221150313603,0.0,0.4002228539892789,0.0,0.3094234109433598,0.0,0.393317979657656,1.0,0.8000994384644884,0.0,0.37613001355184666,0.0,0.746154116385978,0.0,0.5977592758359356,1.0,0.38950912469705873,0.0,0.21182351609413042,0.0,0.3630809414409891,0.0,0.5558064401100234,1.0,0.0012840422526846373,0.0,0.49279458273244553,0.0,0.037229089564208874,0.0,0.016072134789249765,1.0,0.07009120091195406,0.0,0.078358364855655,0.0,0.14957461888737222,0.0,0.9988879509485746,1.0,2.819813448843283e-07,0.0,0.36575110708984276,0.0,0.5255308263867313,0.0,0.9076460575874958,1.0,0.0002732008744621097,0.0,0.696513567553698,0.0,0.4232321562580796,0.0,0.31007278787624115,0.0,0.34943607963037615,0.0,0.5298699315892402
CPI_sqd,300,6.875659465789795,0.5073623479922194,1.0,8.008603508764601e-19,0.0,2.4133628914485235e-199,0.0,0.9999999999999954,0.0,1.4639013953062611e-192,1.0,4.4280886243052153e-32,0.0,0.9999999999998327,0.0,2.29313725698018e-119,0.0,1.0,1.0,3.931817955452896e-146,0.0,1.0,0.0,1.0,0.0,2.4817198053018935e-89,1.0,5.442782722440907e-241,0.0,3.0069137113648697e-233,0.0,1.0,0.0,1.2755589073072922e-241,1.0,7.300990606564277e-49,0.0,2.8960340666148017e-103,0.0,2.6524425427839443e-12,0.0,1.4214844419768605e-91,1.0,2.1006524658514563e-147,0.0,5.556400110739294e-26,0.0,0.9999538543441899,0.0,1.0,1.0,1.6095506417246233e-21,0.0,8.560026750786285e-61,0.0,4.254415041800873e-27,0.0,1.1170022999376268e-71,1.0,1.3190356744857058e-119,0.0,7.305958194478463e-104,0.0,0.9999998374387586,0.0,1.0,1.0,1.9745400963755217e-22,0.0,1.0,0.0,2.2124009243361527e-45,0.0,7.918753253151024e-301,1.0,0.013689587463797932,0.0,1.0,0.0,3.6785887090201153e-169,0.0,1.0,1.0,2.2116342680205662e-10,0.0,0.8944902104384451,0.0,5.096934545179535e-39,0.0,1.0,1.0,0.0009531410728106591,0.0,0.9992815522873723,0.0,1.3306647425106769e-05,0.0,2.136704635673585e-38,0.0,0.29691972033788916,0.0,1.0
S-CPI,300,19.620289087295532,0.5073623479922194,1.0,0.060699572164519947,0.0,0.1088954236000379,0.0,0.8895181068406317,0.0,0.03822213466044459,1.0,0.010818231293824894,0.0,0.9586130380800647,0.0,0.3639066472595301,0.0,0.6235664328273586,1.0,0.3117899842827453,0.0,0.9041850682702578,0.0,0.9049380943644865,0.0,0.08111120936424493,1.0,0.17739902770296018,0.0,0.7103549252142454,0.0,0.962252587267315,0.0,0.6906730430300971,1.0,0.002122423872505586,0.0,0.11263094575730942,0.0,0.19020085052041236,0.0,0.5908793730960024,1.0,0.034676835570638956,0.0,0.502877136243368,0.0,0.08559734093254756,0.0,0.6156471361889264,1.0,0.2695786186214317,0.0,0.41632678489314556,0.0,0.4228045778082409,0.0,0.2669744244095256,1.0,0.14826306273203216,0.0,0.13892881612000152,0.0,0.5310113068154244,0.0,0.7052337864871387,1.0,0.010645450711006973,0.0,0.8941151536889385,0.0,0.12704651265202377,0.0,0.14454787565699734,1.0,0.20596441522408032,0.0,0.41408920789264125,0.0,0.21021782740388545,0.0,0.8544826981143441,1.0,0.00783426992361769,0.0,0.7826302167478002,0.0,0.05130113367876644,0.0,0.98597106207223,1.0,0.019317325497826537,0.0,0.669925666384779,0.0,0.3415459734539521,0.0,0.48884812977267117,0.0,0.023358299566571428,0.0,0.4440589927755307
S-CPI_sqrt,300,19.599446773529053,0.5073623479922194,1.0,0.1570463420335006,0.0,0.4510244182553899,0.0,0.5212528882486652,0.0,0.4758361652768492,1.0,0.3535380915365994,0.0,0.5932090831415935,0.0,0.49361891091595145,0.0,0.5040197423495847,1.0,0.475162813220204,0.0,0.5363003553928363,0.0,0.5237277777438909,0.0,0.4760921107437167,1.0,0.4807607786755989,0.0,0.5118892797329475,0.0,0.5238629377449092,0.0,0.48176500015860335,1.0,0.3364447715214991,0.0,0.47374089055338603,0.0,0.4829911727318022,0.0,0.5097097472720266,1.0,0.42933908901320983,0.0,0.47285090432806653,0.0,0.46548565230228384,0.0,0.4941263836889766,1.0,0.48173614444777085,0.0,0.45716865666722933,0.0,0.48500266219376414,0.0,0.454222608634675,1.0,0.3742828321213294,0.0,0.43822161404790305,0.0,0.5106487818363802,0.0,0.5086972435938236,1.0,0.3738461164276172,0.0,0.5484024207770141,0.0,0.4691272385232777,0.0,0.4784536162961965,1.0,0.3897612518182135,0.0,0.4749288483935882,0.0,0.4535331942680618,0.0,0.5606816065065888,1.0,0.08145157304243067,0.0,0.5060510655567385,0.0,0.4823466406384312,0.0,0.5655469735142469,1.0,0.29152006504762784,0.0,0.5637618860140376,0.0,0.4987660696569339,0.0,0.47806527288263584,0.0,0.47627395534108247,0.0,0.5108650291777209
S-CPI_n,300,19.600995302200317,0.5073623479922194,1.0,0.013129674649834163,0.0,0.3197084154195238,0.0,0.6469034096513504,0.0,0.3630687698970111,1.0,0.10762533895446869,0.0,0.8669016317371117,0.0,0.38756288888423307,0.0,0.5912757855238926,1.0,0.4418925617301369,0.0,0.6315430117362894,0.0,0.6342453378802232,0.0,0.28838099416381846,1.0,0.4501512522252571,0.0,0.6470016574977676,0.0,0.6748257589532018,0.0,0.4704060624683204,1.0,0.09594350753313136,0.0,0.3224708193435695,0.0,0.41813159912949655,0.0,0.4910372105659219,1.0,0.18724972161715292,0.0,0.44763353413148904,0.0,0.3301525709773616,0.0,0.5067869025754007,1.0,0.5333852117862075,0.0,0.2489902153669275,0.0,0.4805699744054921,0.0,0.2681113235789707,1.0,0.08681999021124087,0.0,0.2677997411895833,0.0,0.4406827226998791,0.0,0.593628839244583,1.0,0.09145167588487868,0.0,0.6481441436309026,0.0,0.24402527267910679,0.0,0.33607285001518944,1.0,0.38034872320028823,0.0,0.6175777502837934,0.0,0.4003871930522733,0.0,0.7817546734818998,1.0,0.005766407877625659,0.0,0.6080226716919179,0.0,0.3249612659676648,0.0,0.7417010284986644,1.0,0.039929655165736135,0.0,0.40386653913477427,0.0,0.3663765406207513,0.0,0.44217062147245884,0.0,0.3742318346526225,0.0,0.5595855459234093
S-CPI_bt,300,19.826603889465332,0.5073623479922194,1.0,0.006567378241434828,0.0,0.11172766940781509,0.0,0.721824599686763,0.0,0.1586462631536114,1.0,0.0007202417951823589,0.0,0.9840733947208244,0.0,0.24536203074809682,0.0,0.5713090969319612,1.0,0.6834524277702277,0.0,0.7852703229808069,0.0,0.6098551264664014,0.0,0.2406379449593548,1.0,0.18613418038979623,0.0,0.5365722762987466,0.0,0.7585219972190455,0.0,0.2376966737346055,1.0,0.0010461052834824852,0.0,0.1751645812650724,0.0,0.4255257683239968,0.0,0.5685685976807207,1.0,0.0239593340048528,0.0,0.5535542769969024,0.0,0.27247616437800987,0.0,0.4921856124270785,1.0,0.376370400002717,0.0,0.20274505114672575,0.0,0.5341778161497447,0.0,0.18889773654743558,1.0,0.00048810313430850403,0.0,0.10058456204350935,0.0,0.32219131286116276,0.0,0.5522634421643491,1.0,0.003280312334298557,0.0,0.9207676524682622,0.0,0.41670421350864595,0.0,0.12430840903050244,1.0,0.008124215369344222,0.0,0.9057315254506353,0.0,0.1775557455426648,0.0,0.7767007371276613,1.0,0.00042992589506430273,0.0,0.7425005885135663,0.0,0.29790790360164454,0.0,0.9737408613510379,1.0,4.770820107637666e-06,0.0,0.7351186906576523,0.0,0.6144508889697121,0.0,0.2679419111217498,0.0,0.29589084245177966,0.0,0.5519697136483086
