method,n,tr_time,r2_test,tr_V0,pval0,tr_V1,pval1,tr_V2,pval2,tr_V3,pval3,tr_V4,pval4,tr_V5,pval5,tr_V6,pval6,tr_V7,pval7,tr_V8,pval8,tr_V9,pval9,tr_V10,pval10,tr_V11,pval11,tr_V12,pval12,tr_V13,pval13,tr_V14,pval14,tr_V15,pval15,tr_V16,pval16,tr_V17,pval17,tr_V18,pval18,tr_V19,pval19,tr_V20,pval20,tr_V21,pval21,tr_V22,pval22,tr_V23,pval23,tr_V24,pval24,tr_V25,pval25,tr_V26,pval26,tr_V27,pval27,tr_V28,pval28,tr_V29,pval29,tr_V30,pval30,tr_V31,pval31,tr_V32,pval32,tr_V33,pval33,tr_V34,pval34,tr_V35,pval35,tr_V36,pval36,tr_V37,pval37,tr_V38,pval38,tr_V39,pval39,tr_V40,pval40,tr_V41,pval41,tr_V42,pval42,tr_V43,pval43,tr_V44,pval44,tr_V45,pval45,tr_V46,pval46,tr_V47,pval47,tr_V48,pval48,tr_V49,pval49
LOCO-W,300,855.9543995857239,0.9629171256957794,1.0,0.0005574556052913016,0.0,0.4153504882315092,0.0,0.990979693990484,0.0,0.7467126864299938,1.0,0.00030137198560065137,0.0,0.1797200360844151,0.0,0.0006192613151351223,0.0,0.1515143269950594,1.0,0.0036347751898408998,0.0,0.18434783952256362,0.0,0.7926676575853608,0.0,0.711338319956021,1.0,0.02159696956414181,0.0,0.8856804143427373,0.0,0.16002674456396904,0.0,0.39672213925064503,1.0,0.00036953196803457544,0.0,0.14280916915135178,0.0,0.16707852774639875,0.0,0.9290102044782894,1.0,4.7028114225078355e-07,0.0,0.06114625315542932,0.0,0.14621678817987005,0.0,0.014510834969908237,1.0,0.011671645912486595,0.0,0.37033608242596916,0.0,0.5566353246315928,0.0,0.5501791686113929,1.0,0.37025642759430744,0.0,0.5310926956836935,0.0,0.7640869987677825,0.0,0.8404215609957669,1.0,0.02563320842490857,0.0,0.006879446857907978,0.0,0.5362581925507517,0.0,0.18925376417356587,1.0,0.014118453404174613,0.0,0.14070188836172548,0.0,0.4581456661458754,0.0,0.41394915392527476,1.0,0.02527982571823162,0.0,0.9189566106456692,0.0,0.5468319345900776,0.0,0.9998806065550493,1.0,0.15310372751384305,0.0,0.039092907603199945,0.0,0.8437170629492734,0.0,0.5168065333135736,0.0,0.6552047895109478,0.0,0.04322987074327045
CPI,300,16.471283197402954,0.9629171256957794,1.0,4.2352215070223975e-07,0.0,0.6757930882489709,0.0,0.22555447552273872,0.0,0.7205172795070379,1.0,2.272275900829509e-07,0.0,0.7042280012222016,0.0,0.9677078356563694,0.0,0.5348481652963492,1.0,1.6397073639504603e-07,0.0,0.15119345191866135,0.0,0.32861577045161505,0.0,0.5034527055983035,1.0,6.49861126684538e-08,0.0,0.8732206848900054,0.0,0.5766247414590904,0.0,0.014933595771020637,1.0,9.319769717290114e-06,0.0,0.22112871503115733,0.0,0.2840365842566514,0.0,0.6340834946761176,1.0,7.536155996014357e-08,0.0,0.976800971634068,0.0,0.5456760747548524,0.0,0.7686706992729695,1.0,3.408947530205515e-05,0.0,0.08539508764013182,0.0,0.386675699433072,0.0,0.3943800326615478,1.0,0.000751261917848514,0.0,0.5777388622585589,0.0,0.7542223228338665,0.0,0.1406410681137505,1.0,0.0005736430519734522,0.0,0.8635530020330086,0.0,0.5009725586584154,0.0,0.11656316652013449,1.0,1.0617147325674822e-09,0.0,0.061686654407012,0.0,0.418693014213113,0.0,0.5832392977997114,1.0,5.116715733932894e-05,0.0,0.508085424863545,0.0,0.9163329291177404,0.0,0.8335916032643033,1.0,0.0018906469392357774,0.0,0.41762082543200607,0.0,0.68286913770119,0.0,0.7732863430632719,0.0,0.2648565428982905,0.0,0.37332608778050547
CPI_sqrt,300,16.437042951583862,0.9629171256957794,1.0,0.10641428169233741,0.0,0.49830399237136414,0.0,0.5005603054684286,0.0,0.49428483566166304,1.0,0.06641982843266997,0.0,0.5146119866590632,0.0,0.5190965902637289,0.0,0.5080817683327007,1.0,0.20193045873112286,0.0,0.49929962711196635,0.0,0.5028616793787054,0.0,0.4998507145009389,1.0,0.10802538093279557,0.0,0.49761869238356665,0.0,0.49883292096309917,0.0,0.5009602334638167,1.0,0.1756543886506005,0.0,0.4889728921402135,0.0,0.49847187472188176,0.0,0.4998431609083591,1.0,0.03350479272467766,0.0,0.5196838925256319,0.0,0.49903616428414393,0.0,0.49996311774153335,1.0,0.12158140527361877,0.0,0.4987291705356568,0.0,0.5024134264468211,0.0,0.49876885554019595,1.0,0.24194309844062722,0.0,0.49880692354120787,0.0,0.5016169816654923,0.0,0.48762260361874804,1.0,0.1080297032745206,0.0,0.5032473302912427,0.0,0.5010092244734171,0.0,0.49959422114120844,1.0,0.06663098922286453,0.0,0.4958187106223849,0.0,0.5001425677885549,0.0,0.4996440144259734,1.0,0.2572169994698257,0.0,0.4999404509186522,0.0,0.5010567197882888,0.0,0.4999607473134363,1.0,0.22555716674435444,0.0,0.5024461183084957,0.0,0.5018640752840449,0.0,0.500613668248776,0.0,0.4996672079685291,0.0,0.5120694301030522
CPI_n,300,16.383936643600464,0.9629171256957794,1.0,7.71247922155849e-05,0.0,0.516979062690356,0.0,0.5067180644700068,0.0,0.5105320653461269,1.0,0.0018168247712450623,0.0,0.555384199079507,0.0,0.6240826682345344,0.0,0.5117231160792579,1.0,0.00016948647103398327,0.0,0.48837340360409276,0.0,0.5122612056756317,0.0,0.5042141652932027,1.0,8.402186043748052e-05,0.0,0.5034709944835117,0.0,0.49404019019305906,0.0,0.5005617449573008,1.0,0.0026960617084057963,0.0,0.5353929175821778,0.0,0.49901293902951743,0.0,0.48812324795453826,1.0,2.445397319338335e-07,0.0,0.6148110824270616,0.0,0.47968205104960465,0.0,0.5057639426567813,1.0,0.00027039052072480964,0.0,0.4915616965609221,0.0,0.4927628081087454,0.0,0.49608368726792135,1.0,0.006974436035644723,0.0,0.5026916437206829,0.0,0.5092064993818933,0.0,0.42820925763765105,1.0,0.004175710156687167,0.0,0.53979843181565,0.0,0.5070732421809608,0.0,0.43557616327196136,1.0,9.516851331611515e-06,0.0,0.41799510556933916,0.0,0.5038585485070232,0.0,0.505412565990281,1.0,0.00056842264416567,0.0,0.49985708352222097,0.0,0.49983994552668215,0.0,0.5019778444265047,1.0,4.722629207141792e-05,0.0,0.5065744884159206,0.0,0.5132753203863581,0.0,0.5028506927979313,0.0,0.4898403787095448,0.0,0.5514888514951011
CPI_bt,300,16.538788318634033,0.9629171256957794,1.0,1.2130446582806396e-17,0.0,0.48497299161838026,0.0,0.508967161942376,0.0,0.46380101537420465,1.0,2.523567697898949e-18,0.0,0.6106830144771719,0.0,0.531498279867084,0.0,0.5633663859486244,1.0,3.3256947980050015e-10,0.0,0.4846476510087728,0.0,0.5710719212928232,0.0,0.49567944362778915,1.0,1.8561907784178905e-12,0.0,0.4908937519410165,0.0,0.4966332186691633,0.0,0.497739883241031,1.0,4.263236822217761e-17,0.0,0.3839182103481671,0.0,0.49753713153402745,0.0,0.4972012174511652,1.0,7.487764889364844e-17,0.0,0.6603752845951087,0.0,0.47174254123999265,0.0,0.504879474980217,1.0,3.651721426706607e-31,0.0,0.496481634432156,0.0,0.5251509637427088,0.0,0.5027365716196889,1.0,1.469232476724546e-07,0.0,0.4859523803513843,0.0,0.5101924304934499,0.0,0.4102445029357519,1.0,1.3199842257552065e-07,0.0,0.6274808262357177,0.0,0.6167771794182639,0.0,0.4759937711323833,1.0,1.818653945864612e-21,0.0,0.47070028329672475,0.0,0.49313745597231073,0.0,0.5195871318164885,1.0,3.832978543748862e-13,0.0,0.5250749558620472,0.0,0.508421944911643,0.0,0.49972636991042874,1.0,4.846610331133786e-14,0.0,0.4873190437582796,0.0,0.5135304210576128,0.0,0.5040925537228615,0.0,0.4906569060923614,0.0,0.5385490448528887
CPI_sqd,300,16.51807403564453,0.9629171256957794,1.0,2.085823890678601e-15,0.0,0.7382626780746362,0.0,0.9297094643040921,0.0,1.0,1.0,2.7430289462590702e-93,0.0,0.999999999797306,0.0,1.0,0.0,0.9999999999999998,1.0,2.442624845231079e-96,0.0,8.605732034276325e-09,0.0,4.0326390481593244e-07,0.0,0.5684200128715036,1.0,7.476631739144499e-73,0.0,0.9999999999138277,0.0,0.34815006414465477,0.0,0.27752156669195693,1.0,3.8005054519594135e-16,0.0,1.1336399665970893e-172,0.0,0.998576636968377,0.0,0.9027086640018307,1.0,2.1367924790883752e-29,0.0,1.0,0.0,4.847506266278892e-08,0.0,0.3103691349791319,1.0,2.9831892307009284e-53,0.0,0.29379948923803634,0.0,3.629618940455935e-14,0.0,0.6673169700916963,1.0,9.531284151088423e-83,0.0,1.0,0.0,1.0,0.0,1.0217178852445573e-26,1.0,3.48153107837563e-70,0.0,0.9940852468059544,0.0,4.673541462388128e-74,0.0,4.0793552378509455e-44,1.0,2.002498364871044e-15,0.0,3.7724729595254886e-28,0.0,0.8962740816753587,0.0,0.029945338444112932,1.0,4.7478043274022247e-76,0.0,0.999414613745959,0.0,0.4049409729441853,0.0,0.9936177254180077,1.0,7.598476416493454e-96,0.0,1.0686645398803464e-06,0.0,0.5414786767371742,0.0,0.43638992889761624,0.0,0.03539078246436302,0.0,1.0
S-CPI,300,29.157538890838623,0.9629171256957794,1.0,0.0004689562401108356,0.0,0.5533105856086835,0.0,0.9089964201918848,0.0,0.6494050595823723,1.0,0.0002846389765263298,0.0,0.9599732265268435,0.0,0.9718953702119412,0.0,0.7115971182723282,1.0,2.7012300123947136e-05,0.0,0.31858748987958163,0.0,0.979567033886293,0.0,0.446279303533741,1.0,9.824882429571609e-05,0.0,0.6723621946350721,0.0,0.2553305575430057,0.0,0.061484944887774784,1.0,0.0015994736175695232,0.0,0.4256934122374781,0.0,0.3619802017488326,0.0,0.5724971256757854,1.0,9.068539523857296e-06,0.0,0.9529868980736446,0.0,0.47093613447016586,0.0,0.5726881405900389,1.0,0.0036335141640492555,0.0,0.20706775312833736,0.0,0.06351140170136117,0.0,0.2952934055466553,1.0,0.017237352201215906,0.0,0.4097768354914105,0.0,0.9419035486535373,0.0,0.18723517858841893,1.0,0.04536304811793771,0.0,0.9351067377973404,0.0,0.5440703868184549,0.0,0.1588522399242448,1.0,0.00020021925891359048,0.0,0.08091166338551031,0.0,0.4736523663108004,0.0,0.7178100042448561,1.0,0.0005117977444664855,0.0,0.5724520035716373,0.0,0.8503343731235554,0.0,0.5555587387023428,1.0,0.000481227060780351,0.0,0.4828392019131972,0.0,0.925936664626526,0.0,0.8207091830582172,0.0,0.030645279844473412,0.0,0.8624357606256825
S-CPI_sqrt,300,29.006831884384155,0.9629171256957794,1.0,0.10055113996029463,0.0,0.5042922191379945,0.0,0.5008596070716339,0.0,0.5094217405504774,1.0,0.13567642034654825,0.0,0.5178725756450973,0.0,0.5330643758070215,0.0,0.5093511672341191,1.0,0.12077404830450383,0.0,0.4978426798920777,0.0,0.5110594502410929,0.0,0.4994705780440714,1.0,0.1283027193248732,0.0,0.5023534059331543,0.0,0.49979112754182187,0.0,0.49723010985798943,1.0,0.10799578362091722,0.0,0.5023377783175506,0.0,0.49929793935951466,0.0,0.5003954988664873,1.0,0.04276823799899461,0.0,0.5401463248462305,0.0,0.5004336381301291,0.0,0.5004921972596549,1.0,0.10308386649890056,0.0,0.49948765835929565,0.0,0.4971556008463224,0.0,0.4994521869729128,1.0,0.2914959654080036,0.0,0.5040135002519138,0.0,0.50510911015697,0.0,0.48306587902076514,1.0,0.2572329862157919,0.0,0.5133656849935122,0.0,0.4996377492843123,0.0,0.4903566090872123,1.0,0.08992430750259811,0.0,0.4908506091974498,0.0,0.49977272904647785,0.0,0.5022015457744454,1.0,0.2034703297141111,0.0,0.5009815991758102,0.0,0.5009098413494464,0.0,0.5004358082340232,1.0,0.230530106002174,0.0,0.5021459674894598,0.0,0.5016448076453521,0.0,0.5000635836750958,0.0,0.498707366896388,0.0,0.510682707516908
S-CPI_n,300,29.002001523971558,0.9629171256957794,1.0,0.0014263855796476331,0.0,0.5198777704284225,0.0,0.5108938014195769,0.0,0.543835491239789,1.0,8.602096171546033e-05,0.0,0.6127176614094306,0.0,0.681477009773273,0.0,0.5216538687168617,1.0,0.0004945864771260262,0.0,0.4781321974479689,0.0,0.5867474602221064,0.0,0.5055114384646032,1.0,0.00133440206887439,0.0,0.5166848042918569,0.0,0.49192680202056394,0.0,0.4878602060128304,1.0,0.003612326807619047,0.0,0.5267456510094063,0.0,0.4904381664961947,0.0,0.5032130944568298,1.0,5.287854960297709e-05,0.0,0.8143756672255691,0.0,0.5030318890037276,0.0,0.5019031377912055,1.0,0.0004844414125607541,0.0,0.49785306312542316,0.0,0.46586158498417535,0.0,0.49634472583841466,1.0,0.06296413118723194,0.0,0.5018314800478751,0.0,0.5419798404230267,0.0,0.39976135367555576,1.0,0.02571262171566526,0.0,0.565910076072218,0.0,0.5258683287807792,0.0,0.4400315310178432,1.0,0.0009420581047028302,0.0,0.4483872457069354,0.0,0.4997623453385277,0.0,0.5216314672180318,1.0,0.006878204306981608,0.0,0.5115064757713859,0.0,0.5084070647182951,0.0,0.4986559005128788,1.0,0.0035647830805540337,0.0,0.5280119945344671,0.0,0.5185823941097925,0.0,0.5065185666734014,0.0,0.48926782440829153,0.0,0.522895441726688
S-CPI_bt,300,29.275720357894897,0.9629171256957794,1.0,4.538666126626563e-05,0.0,0.5476698265638403,0.0,0.5107456275374802,0.0,0.5637336351262303,1.0,1.239371685937936e-12,0.0,0.5992444079934516,0.0,0.7733614101636346,0.0,0.5188044833434989,1.0,1.0586858418209106e-11,0.0,0.4923523252178271,0.0,0.5892126030402092,0.0,0.5014482030397791,1.0,2.444637235116e-11,0.0,0.5210053528280003,0.0,0.4972198108111139,0.0,0.4842341808992932,1.0,1.0774623742375494e-09,0.0,0.45774911813256913,0.0,0.490794119916712,0.0,0.5039324745373526,1.0,1.34753542044949e-13,0.0,0.886220349797801,0.0,0.49805877912047203,0.0,0.5011456234156533,1.0,2.6620033634363533e-09,0.0,0.49435731514947606,0.0,0.4596501033258862,0.0,0.48813446596290994,1.0,7.395467947782987e-06,0.0,0.4816243566537329,0.0,0.5387679343978211,0.0,0.33895914706671465,1.0,5.2670401842240705e-06,0.0,0.6012342871733328,0.0,0.5206350151874076,0.0,0.3915442475725909,1.0,7.174673481227636e-19,0.0,0.43626210435688406,0.0,0.4975002079193668,0.0,0.5213638799605116,1.0,2.3146170595712335e-08,0.0,0.5080037694245227,0.0,0.5064615650897103,0.0,0.502579883704903,1.0,1.7672951412650778e-09,0.0,0.5194560005488316,0.0,0.5155101822169456,0.0,0.5022344827081845,0.0,0.4917502841821845,0.0,0.5681001758842901
