method,n,tr_time,r2_test,tr_V0,pval0,tr_V1,pval1,tr_V2,pval2,tr_V3,pval3,tr_V4,pval4,tr_V5,pval5,tr_V6,pval6,tr_V7,pval7,tr_V8,pval8,tr_V9,pval9,tr_V10,pval10,tr_V11,pval11,tr_V12,pval12,tr_V13,pval13,tr_V14,pval14,tr_V15,pval15,tr_V16,pval16,tr_V17,pval17,tr_V18,pval18,tr_V19,pval19,tr_V20,pval20,tr_V21,pval21,tr_V22,pval22,tr_V23,pval23,tr_V24,pval24,tr_V25,pval25,tr_V26,pval26,tr_V27,pval27,tr_V28,pval28,tr_V29,pval29,tr_V30,pval30,tr_V31,pval31,tr_V32,pval32,tr_V33,pval33,tr_V34,pval34,tr_V35,pval35,tr_V36,pval36,tr_V37,pval37,tr_V38,pval38,tr_V39,pval39,tr_V40,pval40,tr_V41,pval41,tr_V42,pval42,tr_V43,pval43,tr_V44,pval44,tr_V45,pval45,tr_V46,pval46,tr_V47,pval47,tr_V48,pval48,tr_V49,pval49
LOCO-W,300,2.4441518783569336,0.9684568396296954,1.0,0.0006498002668544611,0.0,0.95330920344337,0.0,0.7918957109047203,0.0,0.9778546992710093,1.0,1.0460334530781878e-06,0.0,0.1672706170830791,0.0,0.8225500444044852,0.0,0.0009064932517175439,1.0,3.122484823270266e-05,0.0,0.8038940598906655,0.0,0.19901161972366965,0.0,0.9954876046983604,1.0,1.0377556434182367e-06,0.0,0.9304431911008803,0.0,0.7893181925862348,0.0,0.7608156494951099,1.0,1.253559819835992e-06,0.0,0.8777196969750137,0.0,0.9407072867766468,0.0,0.0007565447343880205,1.0,0.008683313520062796,0.0,0.6518889652374774,0.0,0.017131986376024977,0.0,0.023680614450732662,1.0,0.0007425777027759706,0.0,0.25122357423320296,0.0,0.8545156333150352,0.0,0.9747068365709113,1.0,0.0029773419779496324,0.0,0.9388720068528436,0.0,0.08368286213278275,0.0,0.6436580328606352,1.0,2.48191215801441e-06,0.0,0.18999612639455887,0.0,0.003782422369709937,0.0,0.8048478650403417,1.0,0.00013396209636051815,0.0,1.3101443172014449e-05,0.0,0.9989318015598952,0.0,0.1874066525348166,1.0,0.010059727468234247,0.0,0.44191758920801405,0.0,0.9681094585001058,0.0,0.15839945807833067,1.0,2.234695112512952e-06,0.0,0.3966486941803683,0.0,0.7866785713552191,0.0,0.10121942261231953,0.0,0.6748698336639198,0.0,0.9111327583796476
CPI,300,3.3386406898498535,0.9684568396296954,1.0,0.00016013348133671432,0.0,0.31441460486206774,0.0,0.808794657167757,0.0,1.0,1.0,1.307050001952236e-10,0.0,0.4705005806360973,0.0,1.0,0.0,0.2886179381033371,1.0,1.196108714408628e-07,0.0,1.0,0.0,1.0,0.0,0.553979952071181,1.0,5.327983134278896e-09,0.0,1.0,0.0,1.0,0.0,1.0,1.0,8.895331829460939e-08,0.0,1.0,0.0,1.0,0.0,0.8610751893862879,1.0,3.243235653912668e-07,0.0,1.0,0.0,1.0,0.0,1.0,1.0,4.3232830699710346e-08,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0597547063571015e-06,0.0,0.42320411981723166,0.0,1.0,0.0,0.5526288216789266,1.0,6.375144278118e-12,0.0,1.0,0.0,1.0,0.0,0.8052773910205605,1.0,4.830042652178744e-10,0.0,0.3619040375214144,0.0,1.0,0.0,1.0,1.0,1.0122344989233248e-06,0.0,0.3232919331330867,0.0,1.0,0.0,0.4804000195240217,1.0,1.885357398176478e-05,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
CPI_sqrt,300,3.3304741382598877,0.9684568396296954,1.0,0.1957086738110701,0.0,0.4963130023067067,0.0,0.5023531490968071,0.0,0.5,1.0,0.04024410284253796,0.0,0.5014115739164464,0.0,0.5,0.0,0.4975343295106392,1.0,0.30087717563904903,0.0,0.5,0.0,0.5,0.0,0.500836280417567,1.0,0.04986904767685334,0.0,0.5,0.0,0.5,0.0,0.5,1.0,0.1656355616563986,0.0,0.5,0.0,0.5,0.0,0.4991896692733358,1.0,0.30243682336081423,0.0,0.5,0.0,0.5,0.0,0.5,1.0,0.13083246906295437,0.0,0.5,0.0,0.5,0.0,0.5,1.0,0.1522977681475648,0.0,0.4982127901217027,0.0,0.5,0.0,0.5031786187393481,1.0,0.08976004920037578,0.0,0.5,0.0,0.5,0.0,0.4995746234958422,1.0,0.08405092847823054,0.0,0.4985029076121773,0.0,0.5,0.0,0.5,1.0,0.1890348806253243,0.0,0.4999171527754355,0.0,0.5,0.0,0.4987597289983154,1.0,0.25895188693655247,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5
CPI_n,300,3.3277711868286133,0.9684568396296954,1.0,9.31546522866898e-05,0.0,0.4687551940426401,0.0,0.47438890973001846,0.0,0.5,1.0,1.3087022414984111e-05,0.0,0.504144216208992,0.0,0.5,0.0,0.4914487677863853,1.0,0.0011876337635568454,0.0,0.5,0.0,0.5,0.0,0.45742311512738193,1.0,3.819685929426887e-06,0.0,0.5,0.0,0.5,0.0,0.5,1.0,6.518844401134623e-05,0.0,0.5,0.0,0.5,0.0,0.5210188316200216,1.0,0.0073289501448351,0.0,0.5,0.0,0.5,0.0,0.5,1.0,0.0012617925788004885,0.0,0.5,0.0,0.5,0.0,0.5,1.0,0.0018284594806121715,0.0,0.48287059394561477,0.0,0.5,0.0,0.5071290290686072,1.0,7.103221016456246e-06,0.0,0.5,0.0,0.5,0.0,0.4816183918102845,1.0,5.372020584474049e-05,0.0,0.5023124154821725,0.0,0.5,0.0,0.5,1.0,0.004841779914036723,0.0,0.4955920758148673,0.0,0.5,0.0,0.5109885750497606,1.0,0.0029239002642250187,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5
CPI_bt,300,3.509937047958374,0.9684568396296954,1.0,1.1647963863307903e-07,0.0,0.4674522822759977,0.0,0.5529802258151383,0.0,0.5,1.0,8.080792539047115e-30,0.0,0.5017793594443986,0.0,0.5,0.0,0.47867365606295514,1.0,3.2226132257758073e-10,0.0,0.5,0.0,0.5,0.0,0.5139611965891328,1.0,6.301083377029175e-34,0.0,0.5,0.0,0.5,0.0,0.5,1.0,3.702698341793381e-21,0.0,0.5,0.0,0.5,0.0,0.5258101150532999,1.0,5.3723228630715845e-12,0.0,0.5,0.0,0.5,0.0,0.5,1.0,7.821553015655147e-24,0.0,0.5,0.0,0.5,0.0,0.5,1.0,1.922103580316166e-18,0.0,0.466908803655843,0.0,0.5,0.0,0.5284823163346204,1.0,4.922303518019662e-34,0.0,0.5,0.0,0.5,0.0,0.49937513365660985,1.0,1.0351426150003404e-34,0.0,0.5385115811830073,0.0,0.5,0.0,0.5,1.0,8.504299645589291e-11,0.0,0.48694337710493946,0.0,0.5,0.0,0.5019396411237285,1.0,6.5670271305138966e-15,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5
CPI_sqd,300,3.5056304931640625,0.9684568396296954,1.0,7.075366365861051e-91,0.0,1.717977693273123e-09,0.0,0.9999996473782262,0.0,0.5,1.0,1.0671693111154922e-58,0.0,0.39232742249290403,0.0,0.5,0.0,2.497369059625952e-07,1.0,1.721119931645041e-229,0.0,0.5,0.0,0.5,0.0,7.418394914714924e-05,1.0,3.235094104537774e-154,0.0,0.5,0.0,0.5,0.0,0.5,1.0,1.1261283138456308e-108,0.0,0.5,0.0,0.5,0.0,0.9991943506926702,1.0,0.0,0.0,0.5,0.0,0.5,0.0,0.5,1.0,6.2160990887968705e-115,0.0,0.5,0.0,0.5,0.0,0.5,1.0,1.6439598573117943e-166,0.0,0.9999999999917951,0.0,0.5,0.0,0.9995625902186782,1.0,5.055797110491752e-107,0.0,0.5,0.0,0.5,0.0,0.18944318634740304,1.0,0.0,0.0,0.00044938193649229143,0.0,0.5,0.0,0.5,1.0,1.8787284057139732e-162,0.0,0.00433993008465081,0.0,0.5,0.0,0.978480787874595,1.0,2.931885834244892e-168,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5
S-CPI,300,3.4343526363372803,0.9684568396296954,1.0,0.00022525410383348059,0.0,0.030396334290825586,0.0,0.6993622817094518,0.0,0.9998049199370661,1.0,3.993249693506726e-09,0.0,0.6643684904582354,0.0,0.9998049199370661,0.0,0.06808849769910773,1.0,2.0562298600260966e-05,0.0,0.9998049199370661,0.0,0.9998049199370661,0.0,0.47147991477737616,1.0,9.538517708136577e-08,0.0,0.9998049199370661,0.0,0.9998049199370661,0.0,0.9998049199370661,1.0,9.68201530665224e-06,0.0,0.9998049199370661,0.0,0.9998049199370661,0.0,0.6910454656864344,1.0,7.357247384888826e-05,0.0,0.9998049199370661,0.0,0.9998049199370661,0.0,0.9998049199370661,1.0,0.00015449071196802478,0.0,0.9998049199370661,0.0,0.9998049199370661,0.0,0.9998049199370661,1.0,1.034162679344831e-05,0.0,0.5831280445606417,0.0,0.9998049199370661,0.0,0.4321268284658445,1.0,4.98541256326777e-08,0.0,0.9998049199370661,0.0,0.9998049199370661,0.0,0.7342237695777462,1.0,5.396510647726603e-10,0.0,0.7127587369410959,0.0,0.9998049199370661,0.0,0.9998049199370661,1.0,2.4289553506163898e-05,0.0,0.0677741931215045,0.0,0.9998049199370661,0.0,0.8116792531853645,1.0,0.00039128486767778253,0.0,0.9998049199370661,0.0,0.9998049199370661,0.0,0.9998049199370661,0.0,0.9998049199370661,0.0,0.9998049199370661
S-CPI_sqrt,300,3.4394824504852295,0.9684568396296954,1.0,0.19787211534010601,0.0,0.4947492764799638,0.0,0.5009017593318479,0.0,0.5000000000000003,1.0,0.03827122766065319,0.0,0.5010138082337691,0.0,0.5000000000000003,0.0,0.4993634823833003,1.0,0.2208044371618203,0.0,0.5000000000000003,0.0,0.5000000000000003,0.0,0.5010165370892138,1.0,0.04710439702474914,0.0,0.5000000000000003,0.0,0.5000000000000003,0.0,0.5000000000000003,1.0,0.07750956168598402,0.0,0.5000000000000003,0.0,0.5000000000000003,0.0,0.5011121343395779,1.0,0.2619308650114398,0.0,0.5000000000000003,0.0,0.5000000000000003,0.0,0.5000000000000003,1.0,0.148017935514014,0.0,0.5000000000000003,0.0,0.5000000000000003,0.0,0.5000000000000003,1.0,0.19497822363490114,0.0,0.5004729961033275,0.0,0.5000000000000003,0.0,0.5019996788077483,1.0,0.05032953365975859,0.0,0.5000000000000003,0.0,0.5000000000000003,0.0,0.5010991367727854,1.0,0.07163953769022298,0.0,0.5015502429479679,0.0,0.5000000000000003,0.0,0.5000000000000003,1.0,0.23653705062942215,0.0,0.498286429233144,0.0,0.5000000000000003,0.0,0.5011601997727253,1.0,0.23032090722863513,0.0,0.5000000000000003,0.0,0.5000000000000003,0.0,0.5000000000000003,0.0,0.5000000000000003,0.0,0.5000000000000003
S-CPI_n,300,3.432682991027832,0.9684568396296954,1.0,0.003346568030447993,0.0,0.4594608132622416,0.0,0.514999112612477,0.0,0.500000000000003,1.0,1.651642438741135e-06,0.0,0.5080694326417223,0.0,0.500000000000003,0.0,0.4866520260163877,1.0,0.002698064523319209,0.0,0.500000000000003,0.0,0.500000000000003,0.0,0.47270693029493016,1.0,3.8305574862512946e-05,0.0,0.500000000000003,0.0,0.500000000000003,0.0,0.500000000000003,1.0,0.00010505192440886545,0.0,0.500000000000003,0.0,0.500000000000003,0.0,0.5327341463757415,1.0,0.004158869178906488,0.0,0.500000000000003,0.0,0.500000000000003,0.0,0.500000000000003,1.0,0.004819156253031007,0.0,0.500000000000003,0.0,0.500000000000003,0.0,0.500000000000003,1.0,0.000524852345878182,0.0,0.5057528473703898,0.0,0.500000000000003,0.0,0.5142244426804028,1.0,4.497438519940756e-06,0.0,0.500000000000003,0.0,0.500000000000003,0.0,0.5138596819688909,1.0,1.3630712423209967e-06,0.0,0.48785528311353293,0.0,0.500000000000003,0.0,0.500000000000003,1.0,0.0032411868917522676,0.0,0.4841119985795734,0.0,0.500000000000003,0.0,0.5119373314195041,1.0,0.015570690672681287,0.0,0.500000000000003,0.0,0.500000000000003,0.0,0.500000000000003,0.0,0.500000000000003,0.0,0.500000000000003
S-CPI_bt,300,3.6148531436920166,0.9684568396296954,1.0,8.636484418773967e-11,0.0,0.44622965638287443,0.0,0.5358589337273861,0.0,0.500000000000003,1.0,4.230136640012771e-28,0.0,0.5053449784642898,0.0,0.500000000000003,0.0,0.4772242135532706,1.0,6.0179858136030525e-12,0.0,0.500000000000003,0.0,0.500000000000003,0.0,0.47912681767816867,1.0,2.047080752504861e-27,0.0,0.500000000000003,0.0,0.500000000000003,0.0,0.500000000000003,1.0,3.10340273302104e-12,0.0,0.500000000000003,0.0,0.500000000000003,0.0,0.5304830627400654,1.0,2.6783231876703284e-13,0.0,0.500000000000003,0.0,0.500000000000003,0.0,0.500000000000003,1.0,1.1668157797835272e-16,0.0,0.500000000000003,0.0,0.500000000000003,0.0,0.500000000000003,1.0,8.342172541617257e-19,0.0,0.5114860350075465,0.0,0.500000000000003,0.0,0.5127113141187842,1.0,3.490313192093123e-24,0.0,0.500000000000003,0.0,0.500000000000003,0.0,0.5122358652720773,1.0,1.2533578314700732e-35,0.0,0.5086847532181897,0.0,0.500000000000003,0.0,0.500000000000003,1.0,9.111613959952555e-16,0.0,0.48441083847613187,0.0,0.500000000000003,0.0,0.5154847931395858,1.0,1.7777145277516896e-07,0.0,0.500000000000003,0.0,0.500000000000003,0.0,0.500000000000003,0.0,0.500000000000003,0.0,0.500000000000003
