method,n,tr_time,r2_test,tr_V0,pval0,tr_V1,pval1,tr_V2,pval2,tr_V3,pval3,tr_V4,pval4,tr_V5,pval5,tr_V6,pval6,tr_V7,pval7,tr_V8,pval8,tr_V9,pval9,tr_V10,pval10,tr_V11,pval11,tr_V12,pval12,tr_V13,pval13,tr_V14,pval14,tr_V15,pval15,tr_V16,pval16,tr_V17,pval17,tr_V18,pval18,tr_V19,pval19,tr_V20,pval20,tr_V21,pval21,tr_V22,pval22,tr_V23,pval23,tr_V24,pval24,tr_V25,pval25,tr_V26,pval26,tr_V27,pval27,tr_V28,pval28,tr_V29,pval29,tr_V30,pval30,tr_V31,pval31,tr_V32,pval32,tr_V33,pval33,tr_V34,pval34,tr_V35,pval35,tr_V36,pval36,tr_V37,pval37,tr_V38,pval38,tr_V39,pval39,tr_V40,pval40,tr_V41,pval41,tr_V42,pval42,tr_V43,pval43,tr_V44,pval44,tr_V45,pval45,tr_V46,pval46,tr_V47,pval47,tr_V48,pval48,tr_V49,pval49
LOCO-W,300,821.9851675033569,0.9880352585991576,1.0,0.1761251600472331,1.0,0.0028737840274765114,1.0,0.5957160196940603,1.0,0.0038498910838169476,1.0,0.0008612889527565004,1.0,7.870339971061124e-05,1.0,3.513281941724955e-05,1.0,0.0575248173784253,1.0,9.72325699954979e-07,1.0,0.0001681749677959754,1.0,0.0018905180573588476,1.0,1.1847481973803475e-05,0.0,0.2886087425861402,0.0,0.5724911840891325,0.0,0.6901732747438469,0.0,0.14345109778531928,0.0,0.32095573787284226,0.0,0.80681090622848,0.0,0.8292490288287324,0.0,0.670133686910019,0.0,0.9625588390230803,0.0,0.5999249025191289,0.0,0.7750156934533021,0.0,0.2370639143353962,0.0,0.7646576828866012,0.0,0.24889122161396737,0.0,0.5411663475948465,0.0,0.07785541050732259,0.0,0.23770784992709193,0.0,0.02038060649667306,0.0,0.4240225346785991,0.0,0.2520683135031826,0.0,0.8151907280415582,0.0,0.9514482024809261,0.0,0.8598373185428034,0.0,0.5754115563433453,0.0,0.45146646873091034,0.0,0.46839615606193175,0.0,0.42584585695926724,0.0,0.03379780504853058,0.0,0.44879392481420655,0.0,0.979135207191892,0.0,0.1937913003366567,0.0,0.8025429594412634,0.0,0.9280111649093589,0.0,0.01856551326666467,0.0,0.13489523739350961,0.0,0.0767944619195915,0.0,0.44893288947255927,0.0,0.1613622577903272
CPI,300,15.495072841644287,0.9880352585991576,1.0,3.0118402559920765e-10,1.0,1.7462076867568183e-06,1.0,4.545343847957355e-06,1.0,2.738662920646533e-07,1.0,4.701988617706061e-05,1.0,1.253590122931461e-06,1.0,1.961308066780527e-06,1.0,3.1963371938166965e-08,1.0,6.479673172656484e-07,1.0,2.8010177560041005e-07,1.0,5.139335287892879e-10,1.0,3.9290668452203475e-09,0.0,0.8465894165636894,0.0,0.880593012750108,0.0,0.26178886356635234,0.0,0.5707220139438676,0.0,0.12320164207714956,0.0,0.6586782560244315,0.0,0.6522710750489551,0.0,0.8686356470008483,0.0,0.91857312917743,0.0,0.529455026668722,0.0,0.22762074206874022,0.0,0.29734082714455135,0.0,0.38429104907775213,0.0,0.9013484450607481,0.0,0.49786370541536484,0.0,0.23602284729066392,0.0,0.021408393532136444,0.0,0.6590085662175595,0.0,0.3831146790196232,0.0,0.0954602951457798,0.0,0.6267631578800494,0.0,0.33313212679659643,0.0,0.08041263987119485,0.0,0.8326463965699548,0.0,0.19013470061446835,0.0,0.5937325624815118,0.0,0.0646545430775279,0.0,0.3903401011731656,0.0,0.995526724619754,0.0,0.9086821182313536,0.0,0.033684812229837525,0.0,0.7204979480900716,0.0,0.9057863190760527,0.0,0.23388931257178042,0.0,0.4767763598024872,0.0,0.847175703566338,0.0,0.9961907177529395,0.0,0.8027194971528828
CPI_sqrt,300,15.496980667114258,0.9880352585991576,1.0,0.2975178839573508,1.0,0.33366920939299505,1.0,0.21367310449723897,1.0,0.26220273796837357,1.0,0.3052204128173996,1.0,0.16084153401185403,1.0,0.28484871781062127,1.0,0.193071228870063,1.0,0.0997608843573638,1.0,0.14357890854269056,1.0,0.18116686658242032,1.0,0.05380261255399627,0.0,0.5000362842622583,0.0,0.49998959241424384,0.0,0.4999916257877123,0.0,0.4999328405605657,0.0,0.4999782168615297,0.0,0.49996432169250116,0.0,0.5000648966297635,0.0,0.5000363012331314,0.0,0.5000796383090634,0.0,0.49983944724562673,0.0,0.500097163037346,0.0,0.4999903828405303,0.0,0.4999780557226278,0.0,0.4999663208661768,0.0,0.49997496801532276,0.0,0.4999363241010045,0.0,0.4992338025157663,0.0,0.4999855856364387,0.0,0.5000352151035609,0.0,0.5000414567696752,0.0,0.5000061642064135,0.0,0.5000429017327734,0.0,0.49983938235934455,0.0,0.5000219707935197,0.0,0.4999781219235396,0.0,0.5000370862470492,0.0,0.4999214083728919,0.0,0.4995459238145221,0.0,0.5015874116399864,0.0,0.5001066387858192,0.0,0.4999216695063191,0.0,0.5000452993814007,0.0,0.5002480012898854,0.0,0.49997955785539283,0.0,0.5000507038387898,0.0,0.5000266524666881,0.0,0.5000855421361541,0.0,0.500034811695545
CPI_n,300,15.510826587677002,0.9880352585991576,1.0,0.008234377104484604,1.0,0.02549486032056823,1.0,0.00043068539397703837,1.0,0.002358434161202281,1.0,0.00295250083600466,1.0,0.0067128797825999524,1.0,0.0006287058935451208,1.0,5.5542523187143e-05,1.0,6.129465848962846e-06,1.0,1.532371942996574e-05,1.0,3.7038413246530725e-05,1.0,3.4089359123097434e-06,0.0,0.49974451977685314,0.0,0.5005017902411505,0.0,0.499857510549353,0.0,0.5001640023262115,0.0,0.49932681544292545,0.0,0.5001053286382862,0.0,0.4999527609691371,0.0,0.5004862611282189,0.0,0.5008176859296981,0.0,0.49835174033171104,0.0,0.5016246920354339,0.0,0.4993003370567571,0.0,0.5001131880900359,0.0,0.4995199892519622,0.0,0.5009164596052716,0.0,0.4995564917573139,0.0,0.4691798031502513,0.0,0.5008354633876386,0.0,0.5019641688007075,0.0,0.5003717527218345,0.0,0.5003663742087626,0.0,0.5000756448688961,0.0,0.4996961783073653,0.0,0.5003912728724285,0.0,0.49950428247579215,0.0,0.49997759039582174,0.0,0.49906311530308106,0.0,0.5012845065916222,0.0,0.5108278149888953,0.0,0.5005222358644023,0.0,0.49993271801371225,0.0,0.5007145422392025,0.0,0.500120473015329,0.0,0.5000529555548175,0.0,0.500316664538745,0.0,0.4994541838642554,0.0,0.5011757133305857,0.0,0.5003623359816398
CPI_bt,300,15.684622764587402,0.9880352585991576,1.0,8.034649991991639e-09,1.0,1.3495608068544654e-05,1.0,3.7275749126412045e-07,1.0,3.925887336017801e-08,1.0,1.9749790123459028e-11,1.0,5.700511631952926e-22,1.0,1.1837720433853462e-11,1.0,6.026814567929423e-17,1.0,7.83944800005829e-15,1.0,1.1643318125868415e-11,1.0,1.1159884936733608e-17,1.0,1.171012435282378e-16,0.0,0.49956809412487985,0.0,0.5005008220302357,0.0,0.500019990755199,0.0,0.5004067224622047,0.0,0.4996400903907039,0.0,0.500306319456733,0.0,0.500501217057886,0.0,0.5000417492156882,0.0,0.5007963662453581,0.0,0.49573402824916374,0.0,0.5013711520778121,0.0,0.4998038887520853,0.0,0.5012551397563066,0.0,0.4995321716358741,0.0,0.49991910489069674,0.0,0.4992489518990818,0.0,0.4095678494278034,0.0,0.5002924700518363,0.0,0.4986748103798286,0.0,0.5001424269357168,0.0,0.49993944206017865,0.0,0.4982577659597265,0.0,0.49927980375938474,0.0,0.5009740110029799,0.0,0.5000583821637747,0.0,0.5003916463267308,0.0,0.49828378084921987,0.0,0.49268177272642866,0.0,0.5093706410065674,0.0,0.5009059122418742,0.0,0.49857876786937116,0.0,0.5005075657079352,0.0,0.5001270770528462,0.0,0.5000191088762572,0.0,0.4993278314177959,0.0,0.5007175570240934,0.0,0.5011139991582323,0.0,0.500677381239127
CPI_sqd,300,15.673887491226196,0.9880352585991576,1.0,4.660616753061174e-152,1.0,1.799745342877437e-266,1.0,1.789859127962885e-45,1.0,3.6943509008082003e-106,1.0,1.1786558382007412e-134,1.0,3.057134261824528e-122,1.0,2.264053515496064e-223,1.0,3.0667432718828684e-149,1.0,4.0964287877568767e-135,1.0,2.281957369625799e-39,1.0,2.5225245733278743e-104,1.0,1.5221330261936492e-94,0.0,0.44674032028314514,0.0,0.5873978127270726,0.0,0.5005598243253703,0.0,0.42111026983693245,0.0,0.4234756911552999,0.0,0.5018287390638385,0.0,0.6026690062147223,0.0,0.5201798088386496,0.0,0.564857764166431,0.0,0.14249568444877192,0.0,0.6259398253756585,0.0,0.3750681027533779,0.0,0.4925611130106454,0.0,0.5092602876028977,0.0,0.4992554827037764,0.0,0.4285058425335747,0.0,1.8414862580642967e-27,0.0,0.4621483366942093,0.0,0.5829004199015455,0.0,0.5362979765993522,0.0,0.4583061082591724,0.0,0.38201415614055634,0.0,0.25377847574598167,0.0,0.6152532752166157,0.0,0.44041454524386203,0.0,0.5295357040134248,0.0,0.4300729053498056,0.0,0.0002486349141434861,0.0,0.9992749930711112,0.0,0.5277333913203232,0.0,0.26733824708141546,0.0,0.5162824056659009,0.0,0.4487258518907299,0.0,0.5485597543964967,0.0,0.5207811798467575,0.0,0.5335991266374842,0.0,0.5584712936807089,0.0,0.46266191024494047
S-CPI,300,27.628173828125,0.9880352585991576,1.0,6.389897118672872e-05,1.0,0.00010694284805156308,1.0,0.0005415990884061236,1.0,7.374064591984651e-06,1.0,0.0014782418152445415,1.0,1.6489340561422573e-05,1.0,6.5224514509071576e-06,1.0,0.0003332493303344266,1.0,5.848714249263973e-08,1.0,9.976077214721163e-06,1.0,1.1972845754901527e-08,1.0,5.882324680123029e-07,0.0,0.2135087032024418,0.0,0.8322752887887825,0.0,0.568489367788577,0.0,0.49441077950571427,0.0,0.16822154675820827,0.0,0.8329000243904306,0.0,0.5855843881167455,0.0,0.885584881127325,0.0,0.9949908662084208,0.0,0.34629186299935777,0.0,0.6745694950637647,0.0,0.05190843352423517,0.0,0.4765060150416475,0.0,0.20593476131973082,0.0,0.8709258122269788,0.0,0.19529933423391227,0.0,0.04212248437426936,0.0,0.9110820372972106,0.0,0.6403778919922692,0.0,0.4330550612768263,0.0,0.3344612061044293,0.0,0.0662235626806424,0.0,0.1332580088571556,0.0,0.9544088702561072,0.0,0.2707698730199191,0.0,0.5229750981510595,0.0,0.18725950798690466,0.0,0.42216933981201193,0.0,0.9661345976012138,0.0,0.9958815668464971,0.0,0.048369213766594706,0.0,0.8021589518753853,0.0,0.5681899377626026,0.0,0.6807904677034767,0.0,0.36740503727089774,0.0,0.615401476702792,0.0,0.9940280211410026,0.0,0.291637020462167
S-CPI_sqrt,300,27.628037452697754,0.9880352585991576,1.0,0.29933795190159346,1.0,0.28743870179068365,1.0,0.28895934039801907,1.0,0.27246791868165454,1.0,0.27804010297114373,1.0,0.17687739521896717,1.0,0.18134174373633422,1.0,0.21399890249027986,1.0,0.10141411623441116,1.0,0.13842801847324382,1.0,0.19311494507355476,1.0,0.057928765878942926,0.0,0.49989335545211233,0.0,0.5001120643675783,0.0,0.5000101384177214,0.0,0.49993417621657066,0.0,0.4999162015045367,0.0,0.5000650639540816,0.0,0.5001219388130974,0.0,0.5000438751266076,0.0,0.5001408730979013,0.0,0.4991375860007534,0.0,0.5001696801513092,0.0,0.4998343445192667,0.0,0.49997285741587677,0.0,0.49994355430212145,0.0,0.500155644804023,0.0,0.49996887708886845,0.0,0.49332920319481227,0.0,0.5000552790563552,0.0,0.500245492795539,0.0,0.5000079962206271,0.0,0.49996923967031304,0.0,0.49983158787812126,0.0,0.4997069810878795,0.0,0.5001747970679422,0.0,0.49993407031010134,0.0,0.5000233324838941,0.0,0.499815904700863,0.0,0.49894332335810554,0.0,0.501813739255104,0.0,0.500081459602599,0.0,0.4997391415508407,0.0,0.5001231668764402,0.0,0.5001102304070312,0.0,0.50001979783974,0.0,0.49996170625437203,0.0,0.4999871371748515,0.0,0.5002026693794337,0.0,0.5000499537767862
S-CPI_n,300,27.629299879074097,0.9880352585991576,1.0,0.01544528282979203,1.0,0.005591868682901053,1.0,0.010476336536971567,1.0,0.006565029022783552,1.0,0.009311383728995025,1.0,0.0031004322323855303,1.0,0.001628694659216396,1.0,0.005607141036195517,1.0,6.989775938648512e-05,1.0,0.00037797653655702583,1.0,0.00019431771496675394,1.0,0.00010484479494463251,0.0,0.49988897840148155,0.0,0.5014067563821146,0.0,0.49984810744847114,0.0,0.4998557800449318,0.0,0.4991693179055492,0.0,0.5005487984084918,0.0,0.5011635548755438,0.0,0.5004664730817088,0.0,0.5019230786342944,0.0,0.4944571010396014,0.0,0.5010629373745369,0.0,0.49830227678503225,0.0,0.5002321078692155,0.0,0.4995277007982093,0.0,0.501334521508223,0.0,0.5000716492201378,0.0,0.43926275349165617,0.0,0.5004204111613691,0.0,0.5007590915810063,0.0,0.500057158705693,0.0,0.49961639157468885,0.0,0.49895429357001997,0.0,0.49778730174949837,0.0,0.5012934058285542,0.0,0.49961374942890996,0.0,0.5005373286655646,0.0,0.4995383624072467,0.0,0.4922476035744518,0.0,0.5131862794708317,0.0,0.5010397531967676,0.0,0.49787099346399116,0.0,0.5009768054615336,0.0,0.5006083543683386,0.0,0.5005614760045995,0.0,0.4997145237188209,0.0,0.5004007930158889,0.0,0.5018206405480562,0.0,0.5006997791034205
S-CPI_bt,300,27.786071300506592,0.9880352585991576,1.0,4.295297022110201e-06,1.0,7.426006873677224e-07,1.0,7.861005283284396e-07,1.0,1.2683956883987405e-07,1.0,9.777269635196593e-08,1.0,7.598043066926123e-11,1.0,1.4274238961971601e-12,1.0,5.660827992385793e-06,1.0,9.304881081648078e-15,1.0,2.874130880197487e-15,1.0,3.398338432420687e-12,1.0,1.2987541770585267e-12,0.0,0.49953399286116423,0.0,0.5012617606490372,0.0,0.5000354160047383,0.0,0.49970207465820216,0.0,0.4990990621514825,0.0,0.5006563808375795,0.0,0.5005130709947968,0.0,0.5005115599720156,0.0,0.5017485667721091,0.0,0.49656505745050017,0.0,0.5012349861868391,0.0,0.4987859189246146,0.0,0.5008673013721179,0.0,0.49949403611723325,0.0,0.50089061716457,0.0,0.4999888118147221,0.0,0.4067083154323662,0.0,0.5004566845141968,0.0,0.5009603803871079,0.0,0.49979182591194843,0.0,0.499552630488677,0.0,0.49889450630064863,0.0,0.4970675590551237,0.0,0.5012522245750672,0.0,0.49954201143516386,0.0,0.5002679410139734,0.0,0.4991367697447107,0.0,0.4970188139827825,0.0,0.5216743093390912,0.0,0.5010836398031921,0.0,0.497227839831697,0.0,0.5009647384116042,0.0,0.5003935803253465,0.0,0.5002341955859634,0.0,0.49953615453893896,0.0,0.500130685713563,0.0,0.5016068841737606,0.0,0.5004987370520735
