method,n,tr_time,r2_test,tr_V0,pval0,tr_V1,pval1,tr_V2,pval2,tr_V3,pval3,tr_V4,pval4,tr_V5,pval5,tr_V6,pval6,tr_V7,pval7,tr_V8,pval8,tr_V9,pval9,tr_V10,pval10,tr_V11,pval11,tr_V12,pval12,tr_V13,pval13,tr_V14,pval14,tr_V15,pval15,tr_V16,pval16,tr_V17,pval17,tr_V18,pval18,tr_V19,pval19,tr_V20,pval20,tr_V21,pval21,tr_V22,pval22,tr_V23,pval23,tr_V24,pval24,tr_V25,pval25,tr_V26,pval26,tr_V27,pval27,tr_V28,pval28,tr_V29,pval29,tr_V30,pval30,tr_V31,pval31,tr_V32,pval32,tr_V33,pval33,tr_V34,pval34,tr_V35,pval35,tr_V36,pval36,tr_V37,pval37,tr_V38,pval38,tr_V39,pval39,tr_V40,pval40,tr_V41,pval41,tr_V42,pval42,tr_V43,pval43,tr_V44,pval44,tr_V45,pval45,tr_V46,pval46,tr_V47,pval47,tr_V48,pval48,tr_V49,pval49
LOCO-W,300,2.3385770320892334,0.9877451961079888,1.0,0.007577010876746115,1.0,0.01347748576869967,1.0,0.014983526275234582,1.0,0.07807557901091788,1.0,0.010905234598343916,1.0,0.009540344524538336,1.0,0.0075466806806242515,1.0,0.0002101123568353236,1.0,0.0055223084791165,1.0,4.362874539654005e-05,1.0,0.017586101895331163,1.0,2.4114814891618153e-06,0.0,0.8553141247252012,0.0,0.07151132993012754,0.0,0.7116496939977928,0.0,0.4019355318822607,0.0,0.7397318999865391,0.0,0.22481438699409761,0.0,0.9123633553705301,0.0,0.799670256339422,0.0,0.2840882455572763,0.0,0.9915068092157212,0.0,0.9090099639094337,0.0,0.3548025512121936,0.0,0.12843539580682184,0.0,0.984370934620646,0.0,0.7074847343286934,0.0,0.6950660127651809,0.0,0.5364450861294952,0.0,0.11814261089609224,0.0,0.8523632261948512,0.0,0.25759501722813305,0.0,0.017605317143180033,0.0,0.2692703863002308,0.0,0.25521189589303095,0.0,0.24150052380723797,0.0,0.7384802585338535,0.0,0.767696214697007,0.0,0.34619764011214205,0.0,0.5430944005387488,0.0,0.06421923815912634,0.0,0.11849440190899574,0.0,0.5589810131717725,0.0,0.6158377562316715,0.0,0.9028950714105618,0.0,0.8279353700598844,0.0,0.9895463941090027,0.0,0.10994880821763897,0.0,0.9726753271607491,0.0,0.7875621816353553
CPI,300,3.25986385345459,0.9877451961079888,1.0,9.772969769531428e-11,1.0,2.042184916356463e-06,1.0,3.1188110721517278e-06,1.0,2.9688544922099986e-07,1.0,0.00012996016482037857,1.0,1.4200241387338923e-06,1.0,2.3319444595243635e-06,1.0,2.3254866935775126e-08,1.0,1.029909978553074e-06,1.0,3.7240011575428117e-07,1.0,4.901451660494945e-09,1.0,1.598275198713618e-09,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.6391627239834571,0.0,0.18419191286757508,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.01623559916953415,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.2762123963810822,0.0,0.9974532752359252,0.0,1.0,0.0,0.08394529970944736,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
CPI_sqrt,300,3.2570502758026123,0.9877451961079888,1.0,0.2909710397657902,1.0,0.3330771455442294,1.0,0.20723657841791565,1.0,0.2578835070666965,1.0,0.3128380131549804,1.0,0.15742850168227712,1.0,0.28130794767219236,1.0,0.19484811081380404,1.0,0.10920168757098797,1.0,0.14817898430721943,1.0,0.18842887773096184,1.0,0.05462410420940907,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5000616062362022,0.0,0.5000441333793572,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.4978614251430218,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.49938082750269147,0.0,0.5016025068404475,0.0,0.5,0.0,0.4999360432872419,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5
CPI_n,300,3.257486581802368,0.9877451961079888,1.0,0.005999118680598171,1.0,0.027254887554265042,1.0,0.0005953517180952804,1.0,0.0012830358574080851,1.0,0.0032588411669982323,1.0,0.004527198985408236,1.0,0.0005331402577291538,1.0,4.9691541142308056e-05,1.0,6.2124108723175565e-06,1.0,1.339310541524185e-05,1.0,4.701952893561584e-05,1.0,2.787865252190748e-06,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.4993501766245132,0.0,0.5008682221927415,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.4667803937205894,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.49953429230079677,0.0,0.5107795067752581,0.0,0.5,0.0,0.500330854775788,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5
CPI_bt,300,3.4468681812286377,0.9877451961079888,1.0,4.8663552956686345e-09,1.0,1.0157069986685202e-05,1.0,1.548492137486334e-07,1.0,5.240092664224752e-08,1.0,2.921557697213786e-10,1.0,4.1277814550794274e-23,1.0,3.5935965992929325e-10,1.0,5.641760755151422e-16,1.0,2.3134644571242674e-14,1.0,3.956394745982517e-12,1.0,9.117405545872809e-20,1.0,2.923100661914574e-14,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.4954216784351487,0.0,0.5003962778469898,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.4033751907097903,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.49262976497408234,0.0,0.5091875713575578,0.0,0.5,0.0,0.4987038450812605,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5
CPI_sqd,300,3.445369243621826,0.9877451961079888,1.0,9.642314526301041e-287,1.0,2.7255420301033635e-258,1.0,1.2847170976790429e-31,1.0,1.1948381472105016e-207,1.0,1.7465841877467803e-116,1.0,9.892740738759282e-112,1.0,2.178889027640357e-149,1.0,1.6243803926888727e-89,1.0,1.2057493496530275e-122,1.0,2.180946828892288e-40,1.0,3.4706103275697586e-223,1.0,1.22096719153264e-161,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.19436265318786594,0.0,0.5525035042253518,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,1.5572435195944062e-26,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.0006573247452601641,0.0,0.9995794156256071,0.0,0.5,0.0,0.3114577903271091,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5
S-CPI,300,3.3579893112182617,0.9877451961079888,1.0,7.0843168386636024e-06,1.0,0.00012500001816453748,1.0,0.0004003022603897989,1.0,1.7187074970932617e-06,1.0,0.0018318781865754698,1.0,6.23881772693795e-06,1.0,3.332160742132419e-05,1.0,0.00019138723798351205,1.0,6.582549395360143e-08,1.0,9.090268647576032e-06,1.0,6.178494072390948e-09,1.0,2.6172454690584257e-07,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.43822455785279807,0.0,0.6054050485762443,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.021440637378192982,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.310911356952258,0.0,0.9666929706141366,0.0,0.5,0.0,0.09198709138924471,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5
S-CPI_sqrt,300,3.3594467639923096,0.9877451961079888,1.0,0.27798120019573785,1.0,0.2846069253198217,1.0,0.2869343674142264,1.0,0.25705108206794636,1.0,0.2747126341445635,1.0,0.16299653137618464,1.0,0.18661856534365712,1.0,0.20587356308106114,1.0,0.10705177016683914,1.0,0.1239029166888404,1.0,0.19918921354810326,1.0,0.05409065122953796,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.4992127197171422,0.0,0.5000901992947008,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.49274017299700057,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.4987238526129385,0.0,0.5021480101264747,0.0,0.5,0.0,0.4998018131913257,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5
S-CPI_n,300,3.3659067153930664,0.9877451961079888,1.0,0.007057811195576095,1.0,0.005978544156786997,1.0,0.011267921878487646,1.0,0.005427619864598015,1.0,0.010665717089771211,1.0,0.0015826129769937896,1.0,0.002389537017117166,1.0,0.005025167256431831,1.0,8.274641497469992e-05,1.0,0.0002572412169467659,1.0,0.00022391023780624991,1.0,6.950885890999083e-05,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.49599496068731247,0.0,0.5004816188924515,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.4362377345065871,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.48982120037528565,0.0,0.5157358021619984,0.0,0.5,0.0,0.49854256794879964,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5
S-CPI_bt,300,3.545809507369995,0.9877451961079888,1.0,1.0170579544916108e-06,1.0,2.4918243924400125e-07,1.0,9.518136490062666e-07,1.0,2.823678358502422e-08,1.0,3.2021842917914924e-08,1.0,5.913193245200276e-11,1.0,2.2393460997225905e-11,1.0,1.886729677952362e-06,1.0,2.1414572305974497e-15,1.0,6.648447328139182e-12,1.0,1.740261758145639e-11,1.0,2.768703745085364e-15,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.4971847397711464,0.0,0.501073219518759,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.41095486330890696,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.4935779469190905,0.0,0.5234228802271631,0.0,0.5,0.0,0.4976814040206825,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5
