method,n,tr_time,r2_test,tr_V0,pval0,tr_V1,pval1,tr_V2,pval2,tr_V3,pval3,tr_V4,pval4,tr_V5,pval5,tr_V6,pval6,tr_V7,pval7,tr_V8,pval8,tr_V9,pval9,tr_V10,pval10,tr_V11,pval11,tr_V12,pval12,tr_V13,pval13,tr_V14,pval14,tr_V15,pval15,tr_V16,pval16,tr_V17,pval17,tr_V18,pval18,tr_V19,pval19,tr_V20,pval20,tr_V21,pval21,tr_V22,pval22,tr_V23,pval23,tr_V24,pval24,tr_V25,pval25,tr_V26,pval26,tr_V27,pval27,tr_V28,pval28,tr_V29,pval29,tr_V30,pval30,tr_V31,pval31,tr_V32,pval32,tr_V33,pval33,tr_V34,pval34,tr_V35,pval35,tr_V36,pval36,tr_V37,pval37,tr_V38,pval38,tr_V39,pval39,tr_V40,pval40,tr_V41,pval41,tr_V42,pval42,tr_V43,pval43,tr_V44,pval44,tr_V45,pval45,tr_V46,pval46,tr_V47,pval47,tr_V48,pval48,tr_V49,pval49
LOCO-W,300,79.89635014533997,0.3310242970048688,0.0,0.00013126113786110505,0.0,0.999999890776329,0.0,0.0010731219015013282,0.0,0.16959317562788967,0.0,4.074232236894737e-05,0.0,0.9947995078286214,1.0,2.2055013371158338e-10,1.0,0.9901960407012539,0.0,0.0008172909160848452,0.0,2.385606236998683e-07,1.0,4.853207502542034e-09,0.0,1.7501012828935458e-06,0.0,0.7035845621912085,0.0,1.2420024794179696e-06,0.0,6.553868558967224e-12,1.0,0.9997885065724851,0.0,0.6420066589692148,0.0,0.9991191174317907,1.0,0.09859876476675788,0.0,0.9124065539573109,1.0,0.9999952089756959,0.0,0.9941221382875995,1.0,0.001765192351386058,1.0,0.040555796507464104,0.0,0.09754748608926211,0.0,0.0019291168097800293,0.0,0.42788710640115035,0.0,0.4430349254994097,0.0,0.00590496539361729,0.0,0.23696238657743918,0.0,0.05107034620086581,1.0,0.9999982945843938,1.0,0.6497778541432139,0.0,0.9999996565818003,0.0,1.0900488173759548e-05,0.0,0.0012426687208458853,0.0,0.013818253832337368,0.0,0.9287622175031877,0.0,0.5420435230177011,0.0,0.9999999999457599,0.0,0.00027344821218155957,1.0,0.984041621876905,1.0,3.338211174153116e-08,0.0,0.0005154379459137992,0.0,5.536096466807194e-07,0.0,0.14811865744351005,0.0,0.7340252762642692,0.0,0.909862439342703,0.0,0.9999568157374935,0.0,0.0063240837067959355
CPI,300,4.217142581939697,0.3310242970048688,0.0,0.9308428454641234,0.0,0.5653692922367258,0.0,0.20349288936922483,0.0,0.09863220880641588,0.0,0.42523471984567973,0.0,0.7005053990556602,1.0,0.0725925713709179,1.0,0.9677114335395209,0.0,0.8251127151127879,0.0,0.9875519985209886,1.0,0.04975203101358314,0.0,0.5592595241833382,0.0,0.8814157041379297,0.0,0.20464071846562254,0.0,0.43789734989548285,1.0,0.002521174750338446,0.0,0.40904184920633047,0.0,0.30109759181454576,1.0,0.07598530397697541,0.0,0.3823087588310138,1.0,0.09754189016855996,0.0,0.8364693845597233,1.0,0.002020506439819657,1.0,0.06517195185340326,0.0,0.4076992814832348,0.0,0.3041960246064747,0.0,0.29066549499186145,0.0,0.8478097316608366,0.0,0.3675838082690921,0.0,0.868055112076958,0.0,0.22133423902131993,1.0,0.13441133512784725,1.0,0.07534402475910836,0.0,0.7338649907302629,0.0,0.2711432132822492,0.0,0.5286027289091824,0.0,0.7201826098657602,0.0,0.7425139881635804,0.0,0.22479876445329589,0.0,0.9813964021995369,0.0,0.26700096590033046,1.0,0.007600156741872554,1.0,0.01109830097055656,0.0,0.6074573039050118,0.0,0.1411432296117907,0.0,0.5817256083758283,0.0,0.9665353077813659,0.0,0.26807416955155994,0.0,0.20643448940823,0.0,0.03896820642799703
CPI_sqrt,300,4.208084583282471,0.3310242970048688,0.0,0.5114453588474608,0.0,0.4852702463170217,0.0,0.48661466119878766,0.0,0.45337005121910934,0.0,0.4975871258768209,0.0,0.5436190654593966,1.0,0.3246587874681136,1.0,0.6763487672858463,0.0,0.5340463905240663,0.0,0.5678913412482925,1.0,0.2965009983634088,0.0,0.5358284349750503,0.0,0.514431917096425,0.0,0.49471204194078583,0.0,0.5256760452027456,1.0,0.49639932210613247,0.0,0.44193394179660406,0.0,0.5291371945638405,1.0,0.268825293659681,0.0,0.49962864166568105,1.0,0.46069881139483504,0.0,0.5604415389993587,1.0,0.15844449978667108,1.0,0.41869109077468747,0.0,0.4794584586081921,0.0,0.5057281772764605,0.0,0.5129349944006782,0.0,0.5067798062941308,0.0,0.49024851103588823,0.0,0.49026959573324264,0.0,0.5242262237563399,1.0,0.20433953487332068,1.0,0.44050884121994655,0.0,0.5012056997007388,0.0,0.5043884005754233,0.0,0.5017615357002941,0.0,0.49879944253032465,0.0,0.5258453221341136,0.0,0.5199466797245297,0.0,0.5826852680468955,0.0,0.5088866062655648,1.0,0.3143868673005096,1.0,0.3076309993604093,0.0,0.5234095545514506,0.0,0.444059974930476,0.0,0.49989801094009767,0.0,0.5034660794165792,0.0,0.4686456646163935,0.0,0.43753955514088977,0.0,0.45675492197560374
CPI_n,300,4.206678867340088,0.3310242970048688,0.0,0.6097583947506356,0.0,0.532837024690401,0.0,0.20304578852933186,0.0,0.4165425409221487,0.0,0.4762541475254124,0.0,0.7098694795391818,1.0,0.333896696478736,1.0,0.12849823949630967,0.0,0.43263676413433727,0.0,0.6764862110666812,1.0,0.0894001668281435,0.0,0.5379967180576333,0.0,0.51267430994186,0.0,0.7602494691152052,0.0,0.7187840289808085,1.0,0.12913547630447647,0.0,0.19564566698343572,0.0,0.6839936047649563,1.0,0.3212203200590622,0.0,0.3479607778074793,1.0,0.36613284714333677,0.0,0.777137243900639,1.0,0.0021892020304038525,1.0,0.08187307240712449,0.0,0.2427387149602288,0.0,0.44525388928879955,0.0,0.5002729822312615,0.0,0.42774633525973327,0.0,0.562964861725346,0.0,0.7888450843816963,0.0,0.2463538708871193,1.0,0.05388018336081364,1.0,0.5098990019611547,0.0,0.3319570950876207,0.0,0.3634261535435874,0.0,0.5596614482913489,0.0,0.3435485659978984,0.0,0.43583072008904716,0.0,0.45217613810499857,0.0,0.7331045355126243,0.0,0.5315530169205401,1.0,0.14796831855997822,1.0,0.1409549515636292,0.0,0.6440611747166605,0.0,0.5513237301668041,0.0,0.6635831539191709,0.0,0.5912630288609713,0.0,0.4654539440242008,0.0,0.6813625331343673,0.0,0.6321328705976383
CPI_bt,300,4.388826608657837,0.3310242970048688,0.0,0.7237313481053841,0.0,0.6436424149849083,0.0,0.002346452093911165,0.0,0.2411758912008275,0.0,0.5058312220631871,0.0,0.420263698718028,1.0,2.172398400147484e-06,1.0,0.5654377250691389,0.0,0.4521916242758248,0.0,0.8986625583696576,1.0,3.332675694204373e-13,0.0,0.7054750814106099,0.0,0.7406479101106208,0.0,0.733193426225513,0.0,0.6324590141251603,1.0,1.1133215282131598e-06,0.0,0.06835451144326869,0.0,0.7223857229436632,1.0,2.2297112879949103e-07,0.0,0.2233386961183434,1.0,0.008183289871888988,0.0,0.9974543556762029,1.0,2.576024982437428e-26,1.0,4.209079634074401e-09,0.0,0.5454382869348795,0.0,0.19520199172512764,0.0,0.46682776365778417,0.0,0.6559701050067206,0.0,0.7011600777434253,0.0,0.6778022538354899,0.0,0.04791666715169571,1.0,0.019737908734461993,1.0,0.2407199075213493,0.0,0.502778058720424,0.0,0.358233234267193,0.0,0.5870005425462157,0.0,0.4274186458573391,0.0,0.6237142517102041,0.0,0.928427347302782,0.0,0.9998719369252438,0.0,0.3177822032261196,1.0,0.2884502942676567,1.0,0.19839132697353756,0.0,0.4829097261322294,0.0,0.09088311499991825,0.0,0.5199124434526129,0.0,0.5719237561725556,0.0,0.24570894349896527,0.0,0.1363944383419876,0.0,0.6819374064947266
CPI_sqd,300,4.379690408706665,0.3310242970048688,0.0,1.0,0.0,8.477091378895836e-06,0.0,3.1739910911546938e-139,0.0,3.498505768928388e-40,0.0,0.015251724385352475,0.0,1.0,1.0,3.4204844433948e-54,1.0,0.0071101315884001025,0.0,1.0,0.0,1.0,1.0,1.1480975336706105e-139,0.0,2.2169610870710607e-298,0.0,0.9999999980442912,0.0,1.0,0.0,1.0,1.0,2.5531289234790552e-70,0.0,6.958525464857674e-107,0.0,1.0,1.0,8.63492211680046e-39,0.0,0.0,1.0,5.57094278578919e-65,0.0,0.9999999621347654,1.0,3.879691816413989e-93,1.0,8.365440895514469e-43,0.0,1.8439446059525955e-37,0.0,3.389537670286918e-110,0.0,0.026306336899443974,0.0,1.0,0.0,1.0,0.0,1.0,0.0,7.425823894116161e-29,1.0,1.4899384161130415e-07,1.0,4.240140384956869e-188,0.0,6.3553033237333985e-127,0.0,4.699512474119107e-16,0.0,0.9999999999999953,0.0,2.650389279437514e-57,0.0,1.0,0.0,0.9999991116575387,0.0,0.01906291941289493,0.0,0.9999617451123168,1.0,1.1963419482271208e-234,1.0,2.25317453500805e-90,0.0,1.0,0.0,9.8653593763523e-47,0.0,1.0,0.0,1.1260286450771378e-66,0.0,0.0,0.0,0.9530055532754315,0.0,1.0
S-CPI,300,4.6317644119262695,0.3310242970048688,0.0,0.8887082680059811,0.0,0.436074968648717,0.0,0.0712645470372929,0.0,0.0786620778102301,0.0,0.5514858887475453,0.0,0.7541861623022662,1.0,0.01471989809654006,1.0,0.5562191780701632,0.0,0.8599444427180774,0.0,0.9736115006043442,1.0,0.01463242692322102,0.0,0.5820511985912964,0.0,0.7206061169522956,0.0,0.7795301459134412,0.0,0.7455598618367674,1.0,0.00320258701637771,0.0,0.037098710209459256,0.0,0.6490478647552276,1.0,0.3175437254457639,0.0,0.24706830117082085,1.0,0.08863879614864911,0.0,0.9822624753134701,1.0,0.005004920571753624,1.0,0.12284528159686925,0.0,0.5818611488606089,0.0,0.3780524460305682,0.0,0.8382862887105813,0.0,0.6837579267824945,0.0,0.3602848544706303,0.0,0.6435116577383913,0.0,0.42725651727002023,1.0,0.04945136586143254,1.0,0.05429791210099665,0.0,0.5273886415331303,0.0,0.3225893242603597,0.0,0.9345278119863359,0.0,0.5295865654204682,0.0,0.9075488562623117,0.0,0.7009722593198435,0.0,0.9620066945073001,0.0,0.5684947131078941,1.0,0.028001728227151374,1.0,0.28888547016403576,0.0,0.75753149012982,0.0,0.31451962298123315,0.0,0.8474593286484107,0.0,0.8999355960861825,0.0,0.2784176642775167,0.0,0.03549017575838209,0.0,0.3778225143970031
S-CPI_sqrt,300,4.628740072250366,0.3310242970048688,0.0,0.5316200670951716,0.0,0.5130409947346408,0.0,0.41113192158368017,0.0,0.43581765375251913,0.0,0.5026695024170359,0.0,0.5321043393810183,1.0,0.31263799799608627,1.0,0.5629609230803638,0.0,0.5494099763091482,0.0,0.5762584512358917,1.0,0.26559048751055314,0.0,0.5281497355307312,0.0,0.515663594998592,0.0,0.5250190682406558,0.0,0.5161021150100129,1.0,0.32752650092877256,0.0,0.43107153857901653,0.0,0.5218839211505877,1.0,0.3745050463536115,0.0,0.48555480893530284,1.0,0.4239219371470433,0.0,0.643741742754516,1.0,0.16819933400203252,1.0,0.38163120068556033,0.0,0.44579895020621196,0.0,0.48674956147379084,0.0,0.5083894824127339,0.0,0.5081931863481047,0.0,0.49718735876594583,0.0,0.5250990817849046,0.0,0.44793166148429464,1.0,0.30407532625422806,1.0,0.3490904425731559,0.0,0.5013393082730198,0.0,0.5001952924513571,0.0,0.5046339165705869,0.0,0.4922096746861431,0.0,0.5406864164009151,0.0,0.5599925226454098,0.0,0.6990539566435535,0.0,0.5080152913979062,1.0,0.33468177801083365,1.0,0.42152164476615256,0.0,0.518043777440451,0.0,0.45020946063765593,0.0,0.5198266635403547,0.0,0.5180893602309673,0.0,0.4572929500592776,0.0,0.4670376427926687,0.0,0.4961714792248973
S-CPI_n,300,4.628851652145386,0.3310242970048688,0.0,0.6986349668968481,0.0,0.5984981893909616,0.0,0.13552367890565786,0.0,0.2466711159507049,0.0,0.476455773839616,0.0,0.6110605412335075,1.0,0.12767250978747952,1.0,0.6214049414607375,0.0,0.7781058773506102,0.0,0.8588367954352865,1.0,0.04263673513074518,0.0,0.6339705503311335,0.0,0.618665940898067,0.0,0.8032095602111391,0.0,0.5773194355547212,1.0,0.06778973189051944,0.0,0.17173723543243935,0.0,0.5993477757573935,1.0,0.30723839200282804,0.0,0.3214327817887436,1.0,0.23259260672682563,0.0,0.8988359471653038,1.0,0.003935827741298456,1.0,0.24693464399449355,0.0,0.4417563731630155,0.0,0.3999777417785161,0.0,0.5747093730945005,0.0,0.5815817862483996,0.0,0.445989624301369,0.0,0.7364337787242554,0.0,0.5376497254634677,1.0,0.09932123751687166,1.0,0.07594577858435292,0.0,0.5873830670776237,0.0,0.4702456142658892,0.0,0.5320248792358309,0.0,0.51117097145339,0.0,0.6826924666294175,0.0,0.6993609867449155,0.0,0.903238746752605,0.0,0.532086343850498,1.0,0.07969678962193133,1.0,0.2830716427201651,0.0,0.5376993685710295,0.0,0.5703320724931742,0.0,0.6214161823783964,0.0,0.6970844998494019,0.0,0.322359341868239,0.0,0.1616768945520789,0.0,0.43999159525531467
S-CPI_bt,300,4.809381723403931,0.3310242970048688,0.0,0.7738557523590995,0.0,0.5830248255062286,0.0,0.0016154541885001188,0.0,0.14597718171230645,0.0,0.4698982218388205,0.0,0.850386004416806,1.0,9.746406742910676e-08,1.0,0.3000279450777119,0.0,0.8352781977308161,0.0,0.9538542265863179,1.0,0.0005914722736635885,0.0,0.7878528909202067,0.0,0.7039992334691706,0.0,0.9542784755231057,0.0,0.7280898365956145,1.0,7.440642175839803e-06,0.0,0.0035922538341034266,0.0,0.7714799736673756,1.0,0.10613452361675063,0.0,0.41937603112075084,1.0,0.008959270470420742,0.0,0.9999721961565317,1.0,6.649185236224707e-22,1.0,4.231660352431369e-06,0.0,0.45464580013162603,0.0,0.14148775832430494,0.0,0.6160953959485648,0.0,0.6117782806707338,0.0,0.5958788481871098,0.0,0.8570125272302431,0.0,0.2552058737065761,1.0,1.0051159862768867e-06,1.0,0.0001467493595182174,0.0,0.46347469594371304,0.0,0.47769972593859966,0.0,0.5638126986949696,0.0,0.3433954503778106,0.0,0.8224984775284321,0.0,0.795457095990915,0.0,0.9999167128157127,0.0,0.5709145141413867,1.0,4.3440714642313696e-07,1.0,0.01396944438357965,0.0,0.5811406969335942,0.0,0.1727482144423233,0.0,0.7205466102778207,0.0,0.8053200933668327,0.0,0.16829132448251205,0.0,0.013509560892319611,0.0,0.28368173521284556
