method,n,tr_time,r2_test,tr_V0,pval0,tr_V1,pval1,tr_V2,pval2,tr_V3,pval3,tr_V4,pval4,tr_V5,pval5,tr_V6,pval6,tr_V7,pval7,tr_V8,pval8,tr_V9,pval9,tr_V10,pval10,tr_V11,pval11,tr_V12,pval12,tr_V13,pval13,tr_V14,pval14,tr_V15,pval15,tr_V16,pval16,tr_V17,pval17,tr_V18,pval18,tr_V19,pval19,tr_V20,pval20,tr_V21,pval21,tr_V22,pval22,tr_V23,pval23,tr_V24,pval24,tr_V25,pval25,tr_V26,pval26,tr_V27,pval27,tr_V28,pval28,tr_V29,pval29,tr_V30,pval30,tr_V31,pval31,tr_V32,pval32,tr_V33,pval33,tr_V34,pval34,tr_V35,pval35,tr_V36,pval36,tr_V37,pval37,tr_V38,pval38,tr_V39,pval39,tr_V40,pval40,tr_V41,pval41,tr_V42,pval42,tr_V43,pval43,tr_V44,pval44,tr_V45,pval45,tr_V46,pval46,tr_V47,pval47,tr_V48,pval48,tr_V49,pval49
LOCO-W,300,27.700681686401367,0.9098896148918173,1.0,0.876770430045914,1.0,0.9265872818123998,1.0,0.42586121224108187,1.0,0.36436632278461045,1.0,0.4747878240835286,1.0,0.911661518766619,1.0,0.6344239114984049,1.0,0.8715220846901391,1.0,0.744198920682094,1.0,0.5922067349799621,1.0,0.6462288619673907,1.0,0.3201719983668293,0.0,0.5789611748465361,0.0,0.4745247148967746,0.0,0.6478100873160273,0.0,0.21484907237785889,0.0,0.66131364168228,0.0,0.36639398006300605,0.0,0.24188560502869172,0.0,0.7491132487095102,0.0,0.25808494064807086,0.0,0.32585608800007493,0.0,0.7351874550149861,0.0,0.7948321527261248,0.0,0.6816169418297343,0.0,0.1196227682887604,0.0,0.8101843293084787,0.0,0.46435038210161406,0.0,0.20528899299177494,0.0,0.47879992692810636,0.0,0.7493327918481143,0.0,0.21173359326660923,0.0,0.6370424301486617,0.0,0.7600543350205745,0.0,0.8500244300659883,0.0,0.6411548377786196,0.0,0.8765824894628551,0.0,0.21790898822300375,0.0,0.4037456649720076,0.0,0.5551638997220134,0.0,0.33695388932981096,0.0,0.4647111388867544,0.0,0.5972404195354009,0.0,0.6083182325574578,0.0,0.5193208387364904,0.0,0.24938371470076326,0.0,0.4112553713544369,0.0,0.11004861752928075,0.0,0.4055960437858922,0.0,0.2579396012213495
CPI,300,4.03448486328125,0.9098896148918173,1.0,0.00685243667608696,1.0,1.035340157431731e-05,1.0,0.00021851140168647424,1.0,0.8443097245441269,1.0,0.050770610284295636,1.0,0.0006408830325318741,1.0,0.010754595752906805,1.0,0.8434663003798507,1.0,0.09825299216461131,1.0,0.037527315576118936,1.0,0.00681732608630454,1.0,0.006009379023205997,0.0,0.2672274255628489,0.0,0.09099767665292824,0.0,0.07042973984175023,0.0,0.7072708558140959,0.0,0.5321579377789606,0.0,0.6803067170909826,0.0,0.6308839925088674,0.0,0.5167272751289923,0.0,0.251747126488568,0.0,0.42052461620791914,0.0,0.5014167122375777,0.0,0.2208949479426205,0.0,0.11224963350770895,0.0,0.6125501549170073,0.0,0.9278981337221895,0.0,0.8696617580206472,0.0,0.5278695903493503,0.0,0.9158628777237763,0.0,0.46936195562540894,0.0,0.5404944256340268,0.0,0.2798799984196561,0.0,0.366793895238957,0.0,0.5805765142292114,0.0,0.2764066954617353,0.0,0.650308163738996,0.0,0.7177529557323042,0.0,0.9310414983743363,0.0,0.2933310282674779,0.0,0.13953811758914336,0.0,0.49195635938809845,0.0,0.8940786484775853,0.0,0.29057834829322327,0.0,0.05055001613827367,0.0,0.1323913098889652,0.0,0.7054195619218269,0.0,0.8368107539882539,0.0,0.7200387798534815,0.0,0.6471680740524968
CPI_sqrt,300,4.017843961715698,0.9098896148918173,1.0,0.3530046383411414,1.0,0.01091782612762534,1.0,0.07591477373972216,1.0,0.6099019509186384,1.0,0.2960270407767195,1.0,0.0187750891046868,1.0,0.09810552563883684,1.0,0.5480165317816575,1.0,0.4475272981291681,1.0,0.4549377584174003,1.0,0.1635780832902478,1.0,0.23474955284996152,0.0,0.4216969929883684,0.0,0.5042200378315814,0.0,0.4780039783169248,0.0,0.47090207859316824,0.0,0.5000533620810701,0.0,0.5062597423335514,0.0,0.47299621173420153,0.0,0.47872909462448965,0.0,0.4462342923222276,0.0,0.5408641659414274,0.0,0.5145918373569971,0.0,0.43822129416899686,0.0,0.3579060097934131,0.0,0.4566257939651867,0.0,0.5044598502331531,0.0,0.5014067809021526,0.0,0.5196522699384403,0.0,0.5556750489985613,0.0,0.5419789932561724,0.0,0.5195326634656087,0.0,0.5162800941873869,0.0,0.4276878724301731,0.0,0.48534402887191885,0.0,0.5154209169970586,0.0,0.45788890134366894,0.0,0.5153952768349814,0.0,0.5194938061586892,0.0,0.5098388501543352,0.0,0.5379116289669237,0.0,0.4849989895294445,0.0,0.49047761357199504,0.0,0.4897275107746793,0.0,0.45342189272762534,0.0,0.460165150436581,0.0,0.5445153715326514,0.0,0.45231275390044,0.0,0.464356131957943,0.0,0.5103835764717354
CPI_n,300,4.067232847213745,0.9098896148918173,1.0,0.10110057052753657,1.0,9.821282234019774e-05,1.0,0.0011350134058993567,1.0,0.5121677113915805,1.0,0.03750555345872041,1.0,9.326785392345401e-05,1.0,0.0043857325616596735,1.0,0.5429909318343955,1.0,0.07878677481054935,1.0,0.28610358816067966,1.0,0.15439612450307427,1.0,0.01441543366689062,0.0,0.1777025341298858,0.0,0.6014122874951333,0.0,0.40501872404354966,0.0,0.5981295042750957,0.0,0.5781285443836476,0.0,0.41889405946248376,0.0,0.3404883062541795,0.0,0.6164358343086993,0.0,0.4696433723071172,0.0,0.3943975228064149,0.0,0.7166114227729122,0.0,0.26428909943306134,0.0,0.24135748649871586,0.0,0.3833149133832672,0.0,0.31325965111033427,0.0,0.6073755801103009,0.0,0.5822754532818094,0.0,0.2796541313200986,0.0,0.7543664587864767,0.0,0.4311192997965094,0.0,0.4661511412879685,0.0,0.546555302017331,0.0,0.7788537933908585,0.0,0.42783875252282927,0.0,0.33981197093829396,0.0,0.514046861389152,0.0,0.4280262090313349,0.0,0.3118789358993328,0.0,0.15847260870243712,0.0,0.16349595035388337,0.0,0.7219848175748567,0.0,0.2793909535973811,0.0,0.11325427177919611,0.0,0.4172093267347134,0.0,0.9119540513959192,0.0,0.7589352246456846,0.0,0.46178532071845474,0.0,0.5392730805149566
CPI_bt,300,4.211515426635742,0.9098896148918173,1.0,0.00019956656699383004,1.0,3.2145795674532013e-11,1.0,5.0930722968079976e-05,1.0,0.5785957765192955,1.0,9.207034894487343e-05,1.0,0.023447453924064183,1.0,7.723727844040256e-13,1.0,0.6776800331052242,1.0,0.18365100480076846,1.0,0.7025120557751074,1.0,1.7540191267625395e-08,1.0,9.182101049287623e-11,0.0,0.005686782588743487,0.0,0.14117881226365148,0.0,0.5525142746680488,0.0,0.9005492046690984,0.0,0.8831087318922506,0.0,0.3999793567647643,0.0,0.12600938161700437,0.0,0.3421413693451313,0.0,0.30087948844079293,0.0,0.39508970677035427,0.0,0.7810305496231058,0.0,0.0704353633920781,0.0,0.9150380016435498,0.0,0.12265303416309103,0.0,0.267498448860857,0.0,0.3199143225913158,0.0,0.42100929761283856,0.0,0.7338284690495599,0.0,0.8428691408622002,0.0,0.9668416967705803,0.0,0.37711851223446385,0.0,0.19202315791685176,0.0,0.5071985941865363,0.0,0.4375710413369542,0.0,0.765924105815708,0.0,0.8739337479214646,0.0,0.5765787049266811,0.0,0.33286334909289994,0.0,0.3224616881744029,0.0,0.19215016906677246,0.0,0.5075158321218461,0.0,0.0510057021145931,0.0,0.30745676800881294,0.0,0.07468509996126033,0.0,0.8860437371316199,0.0,0.5026919139908183,0.0,0.42639022895366474,0.0,0.49867603726347015
CPI_sqd,300,4.20792031288147,0.9098896148918173,1.0,1.542205912766812e-39,1.0,1.9438942495552524e-08,1.0,0.0036720271133347483,1.0,0.9994922320425996,1.0,8.803596976383271e-13,1.0,0.008809162942731163,1.0,2.985537733684213e-08,1.0,0.17538394319025702,1.0,7.009212589356323e-07,1.0,0.5486526755951261,1.0,4.6855626998244544e-11,1.0,2.8255264500385207e-63,0.0,1.896405792083157e-42,0.0,2.362396462889449e-39,0.0,0.9999999997289577,0.0,0.7008903653811254,0.0,0.0012824065362255065,0.0,0.9999999999999997,0.0,0.000426724421346943,0.0,3.401040700404185e-10,0.0,0.00020430983800509344,0.0,0.8666934780310314,0.0,0.44067153582209745,0.0,3.879764906831652e-155,0.0,1.0,0.0,1.755190450581584e-31,0.0,0.0005482273150316111,0.0,0.02214583452726951,0.0,4.985166483799267e-12,0.0,1.0,0.0,0.8795222241615124,0.0,1.0,0.0,2.1165899851722988e-10,0.0,0.9081514683219986,0.0,0.5474904474531614,0.0,0.7270564980567866,0.0,0.564176895617382,0.0,1.2988055218583427e-05,0.0,1.0,0.0,7.471185909499976e-100,0.0,0.2240625879323867,0.0,2.5190023907346277e-16,0.0,0.9999998711003996,0.0,9.378252669507515e-27,0.0,8.328020016255386e-72,0.0,0.9999999999999999,0.0,1.0,0.0,1.0,0.0,3.1262858395397894e-12,0.0,1.0
S-CPI,300,4.200990676879883,0.9098896148918173,1.0,0.015869776669819632,1.0,4.3556686301594705e-05,1.0,0.002195426640378164,1.0,0.9534767548600709,1.0,0.0629540056329681,1.0,0.0007816092482422082,1.0,0.002747479541637323,1.0,0.8849713711612169,1.0,0.11171324831641039,1.0,0.362393601015515,1.0,0.005467860526155304,1.0,0.0002713918880037836,0.0,0.19960578495021464,0.0,0.7959909170971962,0.0,0.6409473999352937,0.0,0.42797764764522755,0.0,0.7757138444460724,0.0,0.5696658293529154,0.0,0.24533559925657739,0.0,0.7876634475044342,0.0,0.17992160512484234,0.0,0.30348283804288745,0.0,0.978361385329892,0.0,0.24573700087556488,0.0,0.28005605526038424,0.0,0.13901231369875516,0.0,0.567371843750526,0.0,0.32485273421696115,0.0,0.758335533692273,0.0,0.7500919859014239,0.0,0.8431453731036906,0.0,0.8698971205285647,0.0,0.7309610539596022,0.0,0.24704237222031855,0.0,0.7538491100449936,0.0,0.6515641045022285,0.0,0.5607817781295164,0.0,0.784906517749433,0.0,0.9236606398835622,0.0,0.37368496104516424,0.0,0.36344989676176587,0.0,0.4980457379362174,0.0,0.9023179978598332,0.0,0.5340886920976322,0.0,0.016747591410168287,0.0,0.2102617263940686,0.0,0.9468142120461925,0.0,0.8645817974142063,0.0,0.9223303932463345,0.0,0.866833484079095
S-CPI_sqrt,300,4.204824686050415,0.9098896148918173,1.0,0.32138559311814324,1.0,0.007611888792816911,1.0,0.09770143191182457,1.0,0.6560200836055765,1.0,0.2761177830879716,1.0,0.0154233001780178,1.0,0.1643674926440477,1.0,0.5788531440207716,1.0,0.3702316602267324,1.0,0.47882825512488236,1.0,0.2691519186960142,1.0,0.21691663838709258,0.0,0.40110849108088636,0.0,0.4632199254583424,0.0,0.5202494805440279,0.0,0.5245533922483455,0.0,0.509066581663699,0.0,0.4772238298861995,0.0,0.47629133666527507,0.0,0.5207488725977404,0.0,0.4836276984571401,0.0,0.5167895942878362,0.0,0.5417124384537596,0.0,0.4557189794756593,0.0,0.477461444621037,0.0,0.45429387725638337,0.0,0.5105016862305763,0.0,0.5050573841505963,0.0,0.5691840138128986,0.0,0.52235588865568,0.0,0.5932640562651507,0.0,0.5546208417630354,0.0,0.5292613184977233,0.0,0.4615920421062656,0.0,0.5556836267223629,0.0,0.578731966412642,0.0,0.5315440019160355,0.0,0.5212162082517005,0.0,0.5872109956899249,0.0,0.5107849802488089,0.0,0.45715307124512444,0.0,0.425424294107621,0.0,0.5483825497661516,0.0,0.524908397494012,0.0,0.4172173482488904,0.0,0.4665521533437026,0.0,0.5801878030714179,0.0,0.548254801511328,0.0,0.5928353978251968,0.0,0.5818246850019977
S-CPI_n,300,4.203383207321167,0.9098896148918173,1.0,0.020662276640897884,1.0,2.0193215995751132e-05,1.0,0.004062621025840382,1.0,0.8395998932554491,1.0,0.04197960983112752,1.0,0.002709183608714207,1.0,0.004725583981643308,1.0,0.5640218106910382,1.0,0.1265789029272813,1.0,0.3370435653512569,1.0,0.05679659132954062,1.0,0.01262780245791647,0.0,0.3391642582424591,0.0,0.5401921160599485,0.0,0.6838572151091823,0.0,0.5488152820989745,0.0,0.501842317137112,0.0,0.5735447551500231,0.0,0.4076532040026149,0.0,0.5631572529883404,0.0,0.3902054963934454,0.0,0.4977887514366622,0.0,0.8132605676429623,0.0,0.42181353381231856,0.0,0.6105401561166156,0.0,0.47308562688269623,0.0,0.5838620449397602,0.0,0.5425417821759573,0.0,0.6679464737034119,0.0,0.6872825476331521,0.0,0.7904535005184858,0.0,0.7533110614763519,0.0,0.506916902408867,0.0,0.2518979553833927,0.0,0.670321635926489,0.0,0.5938436147420405,0.0,0.5822252393165483,0.0,0.5762528455047988,0.0,0.7889855271233228,0.0,0.5174600637970727,0.0,0.43114851944801125,0.0,0.1808124313743566,0.0,0.7206946403049295,0.0,0.44322974334850995,0.0,0.10848155047078428,0.0,0.38358394685844943,0.0,0.8690922815102813,0.0,0.7096553954841223,0.0,0.7115663476532416,0.0,0.7457198187767142
S-CPI_bt,300,4.391010522842407,0.9098896148918173,1.0,0.007292355543164272,1.0,3.3052790485378275e-06,1.0,0.0040205459797701525,1.0,0.9867296915056166,1.0,0.02430192742311441,1.0,0.18449263321134324,1.0,2.618602239890356e-10,1.0,0.8836474177810142,1.0,0.010096471632070923,1.0,0.28270010159496317,1.0,0.0012356967885624693,1.0,6.06710089201043e-07,0.0,0.028614119128187194,0.0,0.2672967635015029,0.0,0.40339089378469184,0.0,0.7543364054043664,0.0,0.670764891437683,0.0,0.4270920554181524,0.0,0.18365455110760315,0.0,0.5919286047033749,0.0,0.2604573081768409,0.0,0.5889100529999561,0.0,0.9553810687643775,0.0,0.09034096201097586,0.0,0.27015072193600165,0.0,0.8384379623302716,0.0,0.8226099803780236,0.0,0.7478741658736203,0.0,0.8281709224912399,0.0,0.8917380881977799,0.0,0.8618113369976617,0.0,0.9737408250947478,0.0,0.5679712475498206,0.0,0.1451367438596865,0.0,0.9389744831966227,0.0,0.48434738055413,0.0,0.7683171065842949,0.0,0.807703049355879,0.0,0.9823446354491474,0.0,0.4729365275527667,0.0,0.5915721584740519,0.0,0.3468338938999902,0.0,0.7268812189867655,0.0,0.5131980564991576,0.0,0.02348115970462766,0.0,0.1851420011334648,0.0,0.9978847005768501,0.0,0.9767502384984567,0.0,0.7594186634606774,0.0,0.9817516910030795
