method,n,tr_time,r2_test,tr_V0,pval0,tr_V1,pval1,tr_V2,pval2,tr_V3,pval3,tr_V4,pval4,tr_V5,pval5,tr_V6,pval6,tr_V7,pval7,tr_V8,pval8,tr_V9,pval9,tr_V10,pval10,tr_V11,pval11,tr_V12,pval12,tr_V13,pval13,tr_V14,pval14,tr_V15,pval15,tr_V16,pval16,tr_V17,pval17,tr_V18,pval18,tr_V19,pval19,tr_V20,pval20,tr_V21,pval21,tr_V22,pval22,tr_V23,pval23,tr_V24,pval24,tr_V25,pval25,tr_V26,pval26,tr_V27,pval27,tr_V28,pval28,tr_V29,pval29,tr_V30,pval30,tr_V31,pval31,tr_V32,pval32,tr_V33,pval33,tr_V34,pval34,tr_V35,pval35,tr_V36,pval36,tr_V37,pval37,tr_V38,pval38,tr_V39,pval39,tr_V40,pval40,tr_V41,pval41,tr_V42,pval42,tr_V43,pval43,tr_V44,pval44,tr_V45,pval45,tr_V46,pval46,tr_V47,pval47,tr_V48,pval48,tr_V49,pval49
LOCO-W,300,131.95002675056458,0.26478649151764977,0.0,0.449011929897148,0.0,0.2688690251904984,0.0,0.5714121340483866,0.0,0.7991760348879551,0.0,0.7649477964247241,0.0,0.4022857971877829,0.0,0.6341017594218751,0.0,0.9090652523573431,1.0,0.861640813313123,1.0,0.37003353543087214,0.0,0.9456188397312438,0.0,0.03698783886609547,0.0,0.22629523591086753,0.0,0.8658008893820384,1.0,0.99897258040793,1.0,0.46845547702286683,0.0,0.31408294845011353,0.0,0.7708455056230883,0.0,0.7684625025325096,0.0,0.0034610296204609092,1.0,0.0027049268580964236,0.0,0.03583514158888035,0.0,0.7793852249043636,1.0,0.1402107467684386,1.0,0.46694355981338254,1.0,0.026112510401071876,1.0,0.9773362239760311,0.0,0.6418295506867255,0.0,0.09294295044594159,0.0,0.19356665840224696,0.0,0.8409465922786705,0.0,0.21547595982479784,0.0,0.7466865988912359,0.0,0.016650861847311682,0.0,0.14019773565718463,0.0,0.12939874167451204,0.0,0.9964412542693536,0.0,0.738056249987293,1.0,0.33749374606491256,0.0,0.5430639096891344,0.0,0.7571531401706703,0.0,0.23094537280410177,1.0,0.05961734538979335,0.0,0.3723813102405269,0.0,0.2879844342678577,0.0,0.2149126759342871,0.0,0.07697798747314377,0.0,0.3569353423694175,0.0,0.24036266884254842,1.0,0.15775990085575342
CPI,300,6.523963928222656,0.26478649151764977,0.0,0.8762763540636331,0.0,0.3128091289037257,0.0,0.4981263263057376,0.0,0.6191644394882454,0.0,0.2662451932111934,0.0,0.1090624138295595,0.0,0.7065169522480028,0.0,0.8544386340977684,1.0,0.18278734742571684,1.0,0.5739930042863916,0.0,0.049944849965833316,0.0,0.4912306590137298,0.0,0.9133888513060837,0.0,0.3233453613170589,1.0,0.7936256646381882,1.0,0.11460660160224617,0.0,0.6869486452525766,0.0,0.8766811125754211,0.0,0.06530279971174498,0.0,0.7828921525806003,1.0,0.0035849422968171705,0.0,0.7886045101247137,0.0,0.11699232238217472,1.0,0.23357495187011112,1.0,0.10281237382658048,1.0,0.30142616492045715,1.0,0.3404664446536061,0.0,0.00022402423983811535,0.0,0.6710356589904571,0.0,0.9277578976638288,0.0,0.24561834312310238,0.0,0.7341335862870213,0.0,0.4213163698942059,0.0,0.6892931586248408,0.0,0.7611068285466569,0.0,0.9102833034170417,0.0,0.4364036652681189,0.0,0.03259678654718432,1.0,0.19667050339568426,0.0,0.7383497927964526,0.0,0.43039449033794414,0.0,0.3548999211735697,1.0,0.20062898918304134,0.0,0.14725296946496774,0.0,0.7995939769106679,0.0,0.9050383733866585,0.0,0.8323132406076781,0.0,0.4365129326040358,0.0,0.2928865674133267,1.0,0.18685321556541984
CPI_sqrt,300,6.528497695922852,0.26478649151764977,0.0,0.49829905285560305,0.0,0.4934600440673051,0.0,0.4963202842433491,0.0,0.500645794873949,0.0,0.4969267888279793,0.0,0.49475869529249933,0.0,0.503324042523297,0.0,0.5042734199627855,1.0,0.4764713734127547,1.0,0.5010652835950169,0.0,0.4999801451508506,0.0,0.49942688115317146,0.0,0.5019892430095737,0.0,0.4991980926152334,1.0,0.5015032101149354,1.0,0.49999658228890387,0.0,0.5007968673818561,0.0,0.5038049264469064,0.0,0.4977852148678546,0.0,0.5030219357758113,1.0,0.27105396377325186,0.0,0.500391371574719,0.0,0.5007033458782093,1.0,0.5005234224364375,1.0,0.4254165222183639,1.0,0.49793259353262764,1.0,0.5045041956443713,0.0,0.49427480843516397,0.0,0.5007498711662968,0.0,0.5025427228294838,0.0,0.49436450628423756,0.0,0.5038460451740792,0.0,0.4984423261697852,0.0,0.4992910249007994,0.0,0.506851732193292,0.0,0.501843224645373,0.0,0.49618373327313386,0.0,0.4959018651858788,1.0,0.48515811418904264,0.0,0.507044063665752,0.0,0.49998891116486954,0.0,0.5004527642037045,1.0,0.49951626026207835,0.0,0.4979748346971655,0.0,0.49963746258227015,0.0,0.5054150507205413,0.0,0.49680586696038875,0.0,0.5014863041661913,0.0,0.4994411499423813,1.0,0.49065385592688265
CPI_n,300,6.526724815368652,0.26478649151764977,0.0,0.520537256837509,0.0,0.394607756328686,0.0,0.4751078278966195,0.0,0.5104845559908209,0.0,0.5028187454222847,0.0,0.45218681435628877,0.0,0.5156515757597079,0.0,0.5424759213452308,1.0,0.37458687740226815,1.0,0.49952688364965886,0.0,0.5051841852902188,0.0,0.48934084832787295,0.0,0.5004970767085758,0.0,0.4931997044302818,1.0,0.47346965953875314,1.0,0.49638021257249787,0.0,0.5055554770928351,0.0,0.5242902951231543,0.0,0.4285004095487543,0.0,0.4518515670190505,1.0,0.0039022285226927326,0.0,0.5724266390504685,0.0,0.48325661935205333,1.0,0.48193971453722084,1.0,0.06523313436771608,1.0,0.41696538782221965,1.0,0.4708845663825865,0.0,0.4533523387856791,0.0,0.5119098946467195,0.0,0.49980138295744553,0.0,0.4933478061111093,0.0,0.5136993919518282,0.0,0.48722541321299456,0.0,0.4875995032842764,0.0,0.5883885339371129,0.0,0.5109031564809775,0.0,0.4733708284390352,0.0,0.4408714365669141,1.0,0.43509718565076155,0.0,0.5494796152315937,0.0,0.4791628807160572,0.0,0.48108083176763905,1.0,0.4762771429059781,0.0,0.4726194373659897,0.0,0.5036871496121558,0.0,0.5021108057724103,0.0,0.48582363676381535,0.0,0.5279499060898895,0.0,0.498600167739543,1.0,0.3846053147785323
CPI_bt,300,6.727436780929565,0.26478649151764977,0.0,0.5169585127549143,0.0,0.42606635175579044,0.0,0.5639521552134669,0.0,0.5185397699165545,0.0,0.4902166490778321,0.0,0.4665090046185639,0.0,0.5070614016210423,0.0,0.5231441613940708,1.0,0.37843894359358277,1.0,0.5239259186181537,0.0,0.5659293032352413,0.0,0.46656105502383693,0.0,0.5464244992625984,0.0,0.4786798474594083,1.0,0.4510231302262499,1.0,0.4444433990552291,0.0,0.4877562575755294,0.0,0.5392699614691291,0.0,0.4358831862728722,0.0,0.5136436070383585,1.0,3.4845290581866295e-23,0.0,0.5692275338445474,0.0,0.5185243461388558,1.0,0.4404724883201096,1.0,0.010254260119428057,1.0,0.4326726217391838,1.0,0.517746852774975,0.0,0.4695975646046342,0.0,0.4996340922648832,0.0,0.5332182690729774,0.0,0.4730429122099241,0.0,0.5391168662877996,0.0,0.4916891045846481,0.0,0.5016932323193802,0.0,0.4889304678626709,0.0,0.5248185209958673,0.0,0.46144275360856973,0.0,0.481630407367606,1.0,0.4674010557047066,0.0,0.5926953745385802,0.0,0.4994959069324164,0.0,0.46253013572666807,1.0,0.42365539829937465,0.0,0.46475184456397045,0.0,0.45988188797948876,0.0,0.5628740595865643,0.0,0.4931004591345685,0.0,0.5127409734870298,0.0,0.5202955907644724,1.0,0.6129949399714043
CPI_sqd,300,6.724537134170532,0.26478649151764977,0.0,1.0,0.0,1.6145033924874457e-157,0.0,0.9999999982900888,0.0,0.9999939707330615,0.0,0.2615297176291698,0.0,1.0119915950287084e-117,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.9974004073740111,0.0,1.9943622213394133e-06,0.0,0.9999999998420072,0.0,1.0,0.0,0.6494471239730991,1.0,1.4221406633499398e-34,1.0,0.031786212557917796,0.0,9.392975279512727e-61,0.0,0.9530845179162334,0.0,4.9454344398682275e-15,0.0,3.698738078854652e-09,1.0,0.0,0.0,1.0,0.0,0.9999999982139062,1.0,0.9951493419621467,1.0,0.0,1.0,2.572122326121183e-13,1.0,0.40628150698463533,0.0,1.3400282236354064e-16,0.0,0.9996913771817926,0.0,1.0,0.0,6.462495606259442e-48,0.0,0.9999999999988478,0.0,0.3671185771853418,0.0,2.757581987499791e-08,0.0,1.0,0.0,0.9932018630515433,0.0,5.147908329987344e-20,0.0,3.415300508172381e-22,1.0,1.2524527397657715e-86,0.0,0.9975406020191692,0.0,0.9999999747418994,0.0,0.9991958824430931,1.0,2.910584695094459e-20,0.0,0.0011480331805805457,0.0,0.9998070871793244,0.0,1.0,0.0,2.310301597170188e-23,0.0,2.2328555075984007e-15,0.0,0.3187146139093494,1.0,0.9999999995745477
S-CPI,300,19.251330852508545,0.26478649151764977,0.0,0.7758219264016696,0.0,0.3806518622566788,0.0,0.6010664324908075,0.0,0.7790344990477429,0.0,0.4335604375482375,0.0,0.42796217530665337,0.0,0.5598909564278518,0.0,0.8957727548134335,1.0,0.1933121027729353,1.0,0.5579265013890495,0.0,0.6985921473999945,0.0,0.38704527558977586,0.0,0.9918222195167762,0.0,0.14673715932835646,1.0,0.14187313116033978,1.0,0.29228601933584514,0.0,0.5216466214575056,0.0,0.8485196448891981,0.0,0.03695545383503333,0.0,0.42523061017730185,1.0,0.022382764132761978,0.0,0.9933821854969147,0.0,0.8247921301473835,1.0,0.1637366899546414,1.0,0.004617567497088806,1.0,0.01600412207524473,1.0,0.28570356493249005,0.0,0.002082865763602822,0.0,0.8944710788397255,0.0,0.8326717158904366,0.0,0.027860496810780046,0.0,0.4960011647181188,0.0,0.3220635406977276,0.0,0.6311192033318397,0.0,0.8500766903086786,0.0,0.8701435557530623,0.0,0.13845943859162335,0.0,0.10201880559222576,1.0,0.22149866274071178,0.0,0.8651152954545493,0.0,0.4537218911176963,0.0,0.7134234187451168,1.0,0.03139636503135298,0.0,0.007116977971607791,0.0,0.2379923980117935,0.0,0.7543200618730486,0.0,0.474851501028417,0.0,0.5607665623489516,0.0,0.5735407895544735,1.0,0.16205314592689257
S-CPI_sqrt,300,19.25890827178955,0.26478649151764977,0.0,0.5101105887874218,0.0,0.49800159500795765,0.0,0.5045651130150326,0.0,0.501455111891691,0.0,0.49809073215120525,0.0,0.4944165592555122,0.0,0.49940128576633885,0.0,0.5114006025079575,1.0,0.48341910060612664,1.0,0.5012999937019774,0.0,0.5011037221399197,0.0,0.4995000320751964,0.0,0.5073090941126509,0.0,0.4984189303754979,1.0,0.4952442861633594,1.0,0.4996358846029766,0.0,0.49994147826017393,0.0,0.5004693207866244,0.0,0.493265210833373,0.0,0.4997864287814934,1.0,0.2628372937693262,0.0,0.5118474621432688,0.0,0.5022616933488612,1.0,0.4993771796507551,1.0,0.3895836152261726,1.0,0.48980846216984864,1.0,0.500356341405641,0.0,0.4918063393942674,0.0,0.5022321829540999,0.0,0.5027860607875632,0.0,0.49463863811564956,0.0,0.5058796018397131,0.0,0.4996418999457879,0.0,0.5008148688953418,0.0,0.5093674293895329,0.0,0.5029740837791568,0.0,0.49663526602159686,0.0,0.4914835146651513,1.0,0.49250805595672587,0.0,0.5186920309982138,0.0,0.49910145839755027,0.0,0.50198329914596,1.0,0.49429037724939623,0.0,0.4954076331560201,0.0,0.4994232310710233,0.0,0.5023827301480582,0.0,0.49886629500039636,0.0,0.5021803376818652,0.0,0.5010751755439067,1.0,0.48741351729186155
S-CPI_n,300,19.249778270721436,0.26478649151764977,0.0,0.5581192311630893,0.0,0.40865367667116537,0.0,0.5397539492315153,0.0,0.5263900479909799,0.0,0.49038418864097877,0.0,0.43296732629351153,0.0,0.5106288037142931,0.0,0.5814731063460776,1.0,0.3667454856645176,1.0,0.5196206617182352,0.0,0.49733698484901295,0.0,0.4995857048681149,0.0,0.5640063817316416,0.0,0.4782929788345855,1.0,0.4591463617775363,1.0,0.4917543507755078,0.0,0.5057281022745727,0.0,0.5254744038167543,0.0,0.4178812010561886,0.0,0.48206184759689746,1.0,0.09169166039140098,0.0,0.5906339385597058,0.0,0.5194360219154024,1.0,0.47525054297581343,1.0,0.04855051042462047,1.0,0.4183225758423831,1.0,0.48997564509703445,0.0,0.4389432107788319,0.0,0.5180956070228546,0.0,0.5222305932826984,0.0,0.4316790792319975,0.0,0.5109173214639777,0.0,0.49275841138494475,0.0,0.4951701748433898,0.0,0.529651433126459,0.0,0.5545548533157149,0.0,0.45681785239863437,0.0,0.41159813381799126,1.0,0.4185125568624845,0.0,0.6039316610753114,0.0,0.5099985841570343,0.0,0.5038908723318125,1.0,0.44575878104674693,0.0,0.44112659198672105,0.0,0.46817455725344687,0.0,0.526288718043015,0.0,0.48496303419562586,0.0,0.5494265199353908,0.0,0.5113032496888091,1.0,0.4043802633827032
S-CPI_bt,300,19.48359513282776,0.26478649151764977,0.0,0.591280830687584,0.0,0.541375368009338,0.0,0.5177972892479054,0.0,0.5255012009933563,0.0,0.48915512579931797,0.0,0.4481475189685358,0.0,0.5260582751609163,0.0,0.5956271755874769,1.0,0.16717625153962745,1.0,0.5027798725066828,0.0,0.4932981062039574,0.0,0.49995899794857745,0.0,0.5816696289903464,0.0,0.48864779093352173,1.0,0.4585270822794583,1.0,0.4891120768806008,0.0,0.49513573369442115,0.0,0.5413853989961039,0.0,0.4276808165499842,0.0,0.4830019448144777,1.0,1.9988585091357912e-07,0.0,0.6242993014729005,0.0,0.5057091475973532,1.0,0.45275801764678125,1.0,0.01940628139162433,1.0,0.4270798796224745,1.0,0.4873557896405326,0.0,0.43309693797283966,0.0,0.5331060451467595,0.0,0.5332520304458047,0.0,0.43769033621133624,0.0,0.5272763595045433,0.0,0.4873778124674627,0.0,0.5039836177509917,0.0,0.5404843983722359,0.0,0.5588161849436515,0.0,0.4632176413150332,0.0,0.4075898699381677,1.0,0.3631955164404497,0.0,0.6407506408760774,0.0,0.5116562952502334,0.0,0.5112704634941926,1.0,0.4208078023534949,0.0,0.4435223760574125,0.0,0.49276365868761735,0.0,0.5545990992085449,0.0,0.5257960820842805,0.0,0.5241318418416407,0.0,0.48877971566800754,1.0,0.3764263503855415
