method,n,tr_time,r2_test,tr_V0,pval0,tr_V1,pval1,tr_V2,pval2,tr_V3,pval3,tr_V4,pval4,tr_V5,pval5,tr_V6,pval6,tr_V7,pval7,tr_V8,pval8,tr_V9,pval9,tr_V10,pval10,tr_V11,pval11,tr_V12,pval12,tr_V13,pval13,tr_V14,pval14,tr_V15,pval15,tr_V16,pval16,tr_V17,pval17,tr_V18,pval18,tr_V19,pval19,tr_V20,pval20,tr_V21,pval21,tr_V22,pval22,tr_V23,pval23,tr_V24,pval24,tr_V25,pval25,tr_V26,pval26,tr_V27,pval27,tr_V28,pval28,tr_V29,pval29,tr_V30,pval30,tr_V31,pval31,tr_V32,pval32,tr_V33,pval33,tr_V34,pval34,tr_V35,pval35,tr_V36,pval36,tr_V37,pval37,tr_V38,pval38,tr_V39,pval39,tr_V40,pval40,tr_V41,pval41,tr_V42,pval42,tr_V43,pval43,tr_V44,pval44,tr_V45,pval45,tr_V46,pval46,tr_V47,pval47,tr_V48,pval48,tr_V49,pval49
LOCO-W,300,2.1459314823150635,0.43218400952119385,0.0,0.9701974982626544,0.0,0.40114847200732506,1.0,0.01858474159326684,1.0,0.13660728264722066,1.0,0.5921629619523104,1.0,0.5567506345125711,0.0,0.061987770362989414,0.0,0.7522813368262606,1.0,0.22027297270711443,0.0,0.8291142285479542,0.0,0.4262277778747783,0.0,0.06477034061615738,0.0,0.9545465249994333,0.0,0.8125319801167628,1.0,0.017819025646916953,0.0,0.9769745828843923,1.0,0.1525896634868329,0.0,0.8782195296028007,1.0,0.4165380843862082,0.0,0.9253113557466893,0.0,0.8845534422819672,0.0,0.253899019227912,0.0,0.8257766189345461,0.0,0.6133411271047349,0.0,0.7735563572667135,0.0,0.9984036732996702,0.0,0.7248870406938343,0.0,0.822367729435199,0.0,0.7971956748550016,1.0,0.013559510744353465,1.0,0.9172761678033281,0.0,0.7098812976270266,0.0,0.501317873117727,1.0,0.00574288529817335,0.0,0.18874552667306776,0.0,0.9727111405088605,0.0,0.43788420111061166,0.0,0.4438696608631393,0.0,0.21801275581112955,0.0,0.1575888662867545,0.0,0.9297383158359502,0.0,0.020745941126766754,0.0,0.2013194922316457,0.0,0.7735382594047401,1.0,0.49816267965746,0.0,0.7802322609068413,0.0,0.6666534675651092,0.0,0.014928138663698687,0.0,0.30292132454533083,0.0,0.963242573203025
CPI,300,3.0935750007629395,0.43218400952119385,0.0,0.2509380985893075,0.0,0.949455417127566,1.0,0.0026079487085394026,1.0,0.5736983225024024,1.0,0.3317761127718357,1.0,1.0,0.0,1.0,0.0,0.4057690267099428,1.0,0.07539619836738758,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.8696951746383297,0.0,0.1764122776173977,1.0,0.6410054868278678,0.0,1.0,1.0,0.019887082373419348,0.0,0.7543823361016198,1.0,1.0,0.0,0.7220902737166766,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.40631212528948324,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.05896995071742234,1.0,0.13855443925584532,0.0,1.0,0.0,1.0,1.0,0.024730881436162377,0.0,0.32911436112620585,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.012987755927550906,0.0,0.9633416566083891,1.0,0.0017120941664415653,0.0,0.9497103976738711,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.12225703057599435
CPI_sqrt,300,3.086183547973633,0.43218400952119385,0.0,0.4874929983908548,0.0,0.5328695872292228,1.0,0.4667926424213905,1.0,0.5048269535135969,1.0,0.4906407738148425,1.0,0.5,0.0,0.5,0.0,0.4979072229765373,1.0,0.4759075658551888,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5070315212937374,0.0,0.49749040071417133,1.0,0.5086464386547687,0.0,0.5,1.0,0.48162421465912575,0.0,0.5177918705769542,1.0,0.5,0.0,0.49907968523855367,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.49976798623073454,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,1.0,0.4383683748536585,1.0,0.4955584401112846,0.0,0.5,0.0,0.5,1.0,0.4121674916134417,0.0,0.4995653012474848,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.49379842353111375,0.0,0.500247810347985,1.0,0.4651504839272287,0.0,0.5001888091018746,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.4950742617426231
CPI_n,300,3.085570812225342,0.43218400952119385,0.0,0.4608117844784719,0.0,0.6753728300863819,1.0,0.16217906544987165,1.0,0.5618182268147972,1.0,0.46002885211804967,1.0,0.5,0.0,0.5,0.0,0.46669247870382213,1.0,0.0512855854430637,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5209346581368369,0.0,0.454368506872292,1.0,0.4808134179439171,0.0,0.5,1.0,0.264730247593679,0.0,0.5934738271002078,1.0,0.5,0.0,0.45173204714579784,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.49002363145226374,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,1.0,0.26899565367006795,1.0,0.3385367763005621,0.0,0.5,0.0,0.5,1.0,0.03830537867896586,0.0,0.5032957658966862,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.4478458971368624,0.0,0.5024678789075457,1.0,0.2818042467729329,0.0,0.49987453227862383,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.32536936105311953
CPI_bt,300,3.246283769607544,0.43218400952119385,0.0,0.25579854596335344,0.0,0.6108362732229348,1.0,0.12320575961640179,1.0,0.5105179120685961,1.0,0.46594030993459035,1.0,0.5,0.0,0.5,0.0,0.4952416768809319,1.0,0.04521594098236132,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5895071785333746,0.0,0.45262576905766294,1.0,0.6173872072689699,0.0,0.5,1.0,0.4019080836643988,0.0,0.5190153183937678,1.0,0.5,0.0,0.5364631354693334,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.48349923929635025,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,1.0,0.4228357001609965,1.0,0.2744650903612813,0.0,0.5,0.0,0.5,1.0,0.02515022596738244,0.0,0.5081714081184883,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.4644277223386413,0.0,0.5086208224425744,1.0,0.10208105426017011,0.0,0.5019318555447866,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.4469662113265512
CPI_sqd,300,3.2532734870910645,0.43218400952119385,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.9999870926989087,1.0,0.0,1.0,0.5,0.0,0.5,0.0,0.36340978647967404,1.0,0.0,0.0,0.5,0.0,0.5,0.0,0.5,0.0,1.0,0.0,1.2957378941000179e-18,1.0,1.0,0.0,0.5,1.0,7.655346203613209e-96,0.0,1.0,1.0,0.5,0.0,0.9999999980642567,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.21297910894202332,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,1.0,0.0,1.0,1.306329863189816e-101,0.0,0.5,0.0,0.5,1.0,0.0,0.0,0.006815504032896557,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,6.107172203398776e-32,0.0,0.9968182437167028,1.0,0.0,0.0,0.3712971049297112,0.0,0.5,0.0,0.5,0.0,0.5,0.0,7.009649634753914e-51
S-CPI,300,3.1757800579071045,0.43218400952119385,0.0,0.31499636248452045,0.0,0.9878136285907851,1.0,0.0103410232470035,1.0,0.9271851596597531,1.0,0.5298770280854843,1.0,0.999999999973849,0.0,0.999999999973849,0.0,0.0927310524149848,1.0,0.029147841384923084,0.0,0.999999999973849,0.0,0.999999999973849,0.0,0.999999999973849,0.0,0.9608922447669123,0.0,0.03612684951507031,1.0,0.7646755761826672,0.0,0.999999999973849,1.0,0.010075846954090042,0.0,0.9578908084421162,1.0,0.999999999973849,0.0,0.7625637648572607,0.0,0.999999999973849,0.0,0.999999999973849,0.0,0.999999999973849,0.0,0.31951079550509565,0.0,0.999999999973849,0.0,0.999999999973849,0.0,0.999999999973849,0.0,0.999999999973849,0.0,0.999999999973849,1.0,0.3583834128692975,1.0,0.4106410334369941,0.0,0.999999999973849,0.0,0.999999999973849,1.0,0.008736303370964954,0.0,0.5859049467540026,0.0,0.999999999973849,0.0,0.999999999973849,0.0,0.999999999973849,0.0,0.999999999973849,0.0,0.999999999973849,0.0,0.999999999973849,0.0,0.999999999973849,0.0,0.04138317809959382,0.0,0.9334423617855983,1.0,0.0156863034581791,0.0,0.7763291919078608,0.0,0.999999999973849,0.0,0.999999999973849,0.0,0.999999999973849,0.0,0.34999017474568683
S-CPI_sqrt,300,3.177725076675415,0.43218400952119385,0.0,0.4795105753680534,0.0,0.5369624870242915,1.0,0.3898452820218209,1.0,0.5042610918677612,1.0,0.4938489296286018,1.0,0.5000000000000003,0.0,0.5000000000000003,0.0,0.49769675748467695,1.0,0.42161305024135,0.0,0.5000000000000003,0.0,0.5000000000000003,0.0,0.5000000000000003,0.0,0.5097429957251626,0.0,0.49239468272152703,1.0,0.5010670430242277,0.0,0.5000000000000003,1.0,0.44615741880496124,0.0,0.5189370510698604,1.0,0.5000000000000003,0.0,0.5025960148754264,0.0,0.5000000000000003,0.0,0.5000000000000003,0.0,0.5000000000000003,0.0,0.49896259431487516,0.0,0.5000000000000003,0.0,0.5000000000000003,0.0,0.5000000000000003,0.0,0.5000000000000003,0.0,0.5000000000000003,1.0,0.46822614974455284,1.0,0.49570551693645154,0.0,0.5000000000000003,0.0,0.5000000000000003,1.0,0.3301709024470613,0.0,0.5000435393161242,0.0,0.5000000000000003,0.0,0.5000000000000003,0.0,0.5000000000000003,0.0,0.5000000000000003,0.0,0.5000000000000003,0.0,0.5000000000000003,0.0,0.5000000000000003,0.0,0.49130800177158324,0.0,0.5010657100163456,1.0,0.4420123602195127,0.0,0.5003108065799265,0.0,0.5000000000000003,0.0,0.5000000000000003,0.0,0.5000000000000003,0.0,0.4868978810041917
S-CPI_n,300,3.173436164855957,0.43218400952119385,0.0,0.38106518391261995,0.0,0.7195347718591145,1.0,0.06591883224072645,1.0,0.572108433793111,1.0,0.47513998369484506,1.0,0.5000000000000032,0.0,0.5000000000000032,0.0,0.47609876973191056,1.0,0.09949990283823024,0.0,0.5000000000000032,0.0,0.5000000000000032,0.0,0.5000000000000032,0.0,0.6092155617381212,0.0,0.4543994272644246,1.0,0.5725987208234298,0.0,0.5000000000000032,1.0,0.2151361241476537,0.0,0.5928023128721416,1.0,0.5000000000000032,0.0,0.49847629830815476,0.0,0.5000000000000032,0.0,0.5000000000000032,0.0,0.5000000000000032,0.0,0.49877477472948023,0.0,0.5000000000000032,0.0,0.5000000000000032,0.0,0.5000000000000032,0.0,0.5000000000000032,0.0,0.5000000000000032,1.0,0.3728056935449786,1.0,0.4716942492188716,0.0,0.5000000000000032,0.0,0.5000000000000032,1.0,0.029735120049842453,0.0,0.49851800808229196,0.0,0.5000000000000032,0.0,0.5000000000000032,0.0,0.5000000000000032,0.0,0.5000000000000032,0.0,0.5000000000000032,0.0,0.5000000000000032,0.0,0.5000000000000032,0.0,0.4357849808338634,0.0,0.5143780308911314,1.0,0.18258698771524523,0.0,0.5032143982555082,0.0,0.5000000000000032,0.0,0.5000000000000032,0.0,0.5000000000000032,0.0,0.40856676370304396
S-CPI_bt,300,3.3466219902038574,0.43218400952119385,0.0,0.4050338070819311,0.0,0.8752952463093341,1.0,0.002533249859339142,1.0,0.5430482835727671,1.0,0.5614758512905115,1.0,0.5000000000000032,0.0,0.5000000000000032,0.0,0.47604124463283715,1.0,0.002462932565340891,0.0,0.5000000000000032,0.0,0.5000000000000032,0.0,0.5000000000000032,0.0,0.6187049135721667,0.0,0.4414170640961602,1.0,0.5756151642236403,0.0,0.5000000000000032,1.0,0.08423770828261662,0.0,0.6215082308171973,1.0,0.5000000000000032,0.0,0.5027790385165019,0.0,0.5000000000000032,0.0,0.5000000000000032,0.0,0.5000000000000032,0.0,0.490198507070753,0.0,0.5000000000000032,0.0,0.5000000000000032,0.0,0.5000000000000032,0.0,0.5000000000000032,0.0,0.5000000000000032,1.0,0.18495266007594552,1.0,0.33392291597497514,0.0,0.5000000000000032,0.0,0.5000000000000032,1.0,2.871818391254771e-07,0.0,0.5016182620197187,0.0,0.5000000000000032,0.0,0.5000000000000032,0.0,0.5000000000000032,0.0,0.5000000000000032,0.0,0.5000000000000032,0.0,0.5000000000000032,0.0,0.5000000000000032,0.0,0.4266701655218712,0.0,0.5203736998919571,1.0,0.058816962599382606,0.0,0.5028604269822216,0.0,0.5000000000000032,0.0,0.5000000000000032,0.0,0.5000000000000032,0.0,0.36956416732370034
