method,n,tr_time,r2_test,tr_V0,pval0,tr_V1,pval1,tr_V2,pval2,tr_V3,pval3,tr_V4,pval4,tr_V5,pval5,tr_V6,pval6,tr_V7,pval7,tr_V8,pval8,tr_V9,pval9,tr_V10,pval10,tr_V11,pval11,tr_V12,pval12,tr_V13,pval13,tr_V14,pval14,tr_V15,pval15,tr_V16,pval16,tr_V17,pval17,tr_V18,pval18,tr_V19,pval19,tr_V20,pval20,tr_V21,pval21,tr_V22,pval22,tr_V23,pval23,tr_V24,pval24,tr_V25,pval25,tr_V26,pval26,tr_V27,pval27,tr_V28,pval28,tr_V29,pval29,tr_V30,pval30,tr_V31,pval31,tr_V32,pval32,tr_V33,pval33,tr_V34,pval34,tr_V35,pval35,tr_V36,pval36,tr_V37,pval37,tr_V38,pval38,tr_V39,pval39,tr_V40,pval40,tr_V41,pval41,tr_V42,pval42,tr_V43,pval43,tr_V44,pval44,tr_V45,pval45,tr_V46,pval46,tr_V47,pval47,tr_V48,pval48,tr_V49,pval49
LOCO-W,300,127.8769063949585,0.5670504092314123,1.0,0.556971385544792,0.0,0.23003890263549187,0.0,0.5861728779216612,0.0,0.8736644218520897,1.0,0.6681252174036753,0.0,0.4960072389481901,0.0,0.9590428136737773,0.0,0.05522889339125192,1.0,0.327640371474601,0.0,0.3078234631068075,0.0,0.5926460409970415,0.0,0.08019383882447295,1.0,0.27591944922906,0.0,0.9650748180696286,0.0,0.9865716804236302,0.0,0.9824507251421573,1.0,0.45666706714168903,0.0,0.8537906663629702,0.0,0.008315952214319355,0.0,0.6358477171021247,1.0,0.3033475628424759,0.0,0.11803200128437297,0.0,0.9902161761973317,0.0,0.6784355085680079,1.0,0.11129004061326997,0.0,0.03841680145622062,0.0,0.9728092845812796,0.0,0.8050315110442199,1.0,0.844015862056172,0.0,0.9489195018048933,0.0,0.42568814464988314,0.0,0.8598368986099854,1.0,0.9907672777050107,0.0,0.22959748507381983,0.0,0.7974583172299454,0.0,0.33552607930928924,1.0,0.5003066084916932,0.0,0.6979971156184047,0.0,0.4583393851262987,0.0,0.6034046831777228,1.0,0.8180203390687035,0.0,0.6016902855603232,0.0,0.9967961968802398,0.0,0.3595442654938592,1.0,0.07146996632294822,0.0,0.1183490758675898,0.0,0.6042249222063518,0.0,0.9849176236636658,0.0,0.19122327184511412,0.0,0.4157556861051839
CPI,300,6.440931081771851,0.5670504092314123,1.0,0.023188444884927877,0.0,0.37345815146746597,0.0,0.31018746151952653,0.0,0.2519795882457794,1.0,0.001648233441595173,0.0,0.25286812580080065,0.0,0.818085203546816,0.0,0.9632734443856349,1.0,0.008428186979847234,0.0,0.9635439571647648,0.0,0.5478130322931702,0.0,0.41013938787364995,1.0,0.7019172315911306,0.0,0.43012169458713434,0.0,0.9659705104359314,0.0,0.560448298387114,1.0,0.44259786381766497,0.0,0.97878555801852,0.0,0.2332371624206408,0.0,0.7305721077116358,1.0,0.009804235672892611,0.0,0.30083682244252585,0.0,0.7045673711480336,0.0,0.8040288005211509,1.0,0.0043726026839069065,0.0,0.5383703306409096,0.0,0.40774320186237867,0.0,0.4169755706990707,1.0,0.11230029502685535,0.0,0.2234856591901629,0.0,0.33369582441069934,0.0,0.26580514777450626,1.0,0.22810622452045343,0.0,0.3558607594412192,0.0,0.36353665517003336,0.0,0.27183569234717053,1.0,0.8201768324030692,0.0,0.07428366910035997,0.0,0.43772424922845166,0.0,0.22281702855951008,1.0,0.7175692958579476,0.0,0.009639046032385678,0.0,0.3768842917543189,0.0,0.4701770752976165,1.0,0.04813335951569203,0.0,0.3692788360695899,0.0,0.9453353503672756,0.0,0.0486552469121636,0.0,0.7676376208845548,0.0,0.48786346318921403
CPI_sqrt,300,6.45012640953064,0.5670504092314123,1.0,0.22832938702148287,0.0,0.4842239864429354,0.0,0.5239212599598869,0.0,0.4920528381710765,1.0,0.2753597223076626,0.0,0.556003737210263,0.0,0.512581647318943,0.0,0.6112445270463043,1.0,0.33994238095418094,0.0,0.5666005201016331,0.0,0.46463343403138113,0.0,0.51559400014432,1.0,0.6248110788633849,0.0,0.48319881836401146,0.0,0.6268189789313614,0.0,0.5206513811473664,1.0,0.5104417333330352,0.0,0.49593892398690975,0.0,0.46488962181736926,0.0,0.5510478221166533,1.0,0.431220497054214,0.0,0.48992624223166253,0.0,0.502930870659482,0.0,0.5206646872268732,1.0,0.269475530242256,0.0,0.6186435896936414,0.0,0.5419330905932823,0.0,0.4939422873343127,1.0,0.4094705188229124,0.0,0.47682949417379034,0.0,0.4916514234263052,0.0,0.47428711534686135,1.0,0.3673876045250848,0.0,0.47834780064681903,0.0,0.45749789517492095,0.0,0.4758236933034283,1.0,0.4182185645964358,0.0,0.4817182130095188,0.0,0.500445546356292,0.0,0.447135234911359,1.0,0.41025675288674684,0.0,0.4375643198855015,0.0,0.47488972926622236,0.0,0.4560832360519024,1.0,0.49742378635748136,0.0,0.5038947313632461,0.0,0.5125623529513635,0.0,0.48538832735200177,0.0,0.5207348617380686,0.0,0.49768487819920126
CPI_n,300,6.451533079147339,0.5670504092314123,1.0,0.18763217236286883,0.0,0.49337653153152566,0.0,0.5455962017738059,0.0,0.3660852321631241,1.0,0.1064813296327155,0.0,0.43848734984887866,0.0,0.5903864057260865,0.0,0.47053929983092513,1.0,0.035795878144413505,0.0,0.6005942633185455,0.0,0.4279152038003226,0.0,0.5063801838884762,1.0,0.36784693352414477,0.0,0.29156536749166734,0.0,0.6380224221597,0.0,0.5327333248444919,1.0,0.3385677344637225,0.0,0.3900490740069513,0.0,0.2905276664528082,0.0,0.636993192637957,1.0,0.11118144054875428,0.0,0.556789666300212,0.0,0.5135016744743723,0.0,0.7547159460722592,1.0,0.06853591254643625,0.0,0.43395746243270505,0.0,0.6970736638246559,0.0,0.3138508335062806,1.0,0.08016455111136922,0.0,0.4916840202158728,0.0,0.37331880778072224,0.0,0.3534000514582756,1.0,0.20575948866592708,0.0,0.35876204476840967,0.0,0.3910470920541469,0.0,0.45140434786222583,1.0,0.1281514655290698,0.0,0.5041025621606029,0.0,0.4358681510225235,0.0,0.12151998142038867,1.0,0.3734661084452462,0.0,0.2193615236375256,0.0,0.5485734944370756,0.0,0.439835679716343,1.0,0.29239183266375857,0.0,0.7186216463360121,0.0,0.5616144413414897,0.0,0.5102898377380374,0.0,0.7569220158856346,0.0,0.6394710588833105
CPI_bt,300,6.639180898666382,0.5670504092314123,1.0,0.2892237407186429,0.0,0.4643741255858645,0.0,0.5336984664086963,0.0,0.4050298527529615,1.0,4.682483007974086e-10,0.0,0.29501006560086596,0.0,0.5398663015579824,0.0,0.7850949275284965,1.0,0.00022413873347087868,0.0,0.5473166885673583,0.0,0.35343475418870196,0.0,0.5608468875738198,1.0,0.18534696354681746,0.0,0.036235062085316155,0.0,0.9800242976462653,0.0,0.6135033215719496,1.0,0.062150392680731525,0.0,0.4081439839297445,0.0,0.2154828792033272,0.0,0.6513632532538826,1.0,0.02795129806287435,0.0,0.12552362822188723,0.0,0.47640249278455543,0.0,0.36954321679786895,1.0,0.009011348313927144,0.0,0.8979692757983495,0.0,0.2087655566029093,0.0,0.2574070742758243,1.0,0.010306485172158548,0.0,0.4037958706058022,0.0,0.34235671070644824,0.0,0.13890016100835828,1.0,0.3698636688581335,0.0,0.16095208871639,0.0,0.1029039023955644,0.0,0.522440294371738,1.0,0.30967018287035875,0.0,0.5658662351478915,0.0,0.5505522601492117,0.0,0.03141951687951715,1.0,0.659171732873132,0.0,0.02928939719436501,0.0,0.22249053661144513,0.0,0.33684030397376025,1.0,0.014789703506424537,0.0,0.5048315685700602,0.0,0.5871960279288604,0.0,0.3143748570500295,0.0,0.5452572128979464,0.0,0.4896986346539174
CPI_sqd,300,6.63287878036499,0.5670504092314123,1.0,6.47279727132157e-42,0.0,0.0003021552142440039,0.0,0.00023371492720024735,0.0,2.277685884192066e-09,1.0,2.4471059774881153e-21,0.0,1.0,0.0,1.0,0.0,1.0,1.0,2.5129914221160064e-25,0.0,1.0,0.0,0.002116072238865478,0.0,4.2744641988335924e-09,1.0,0.03347900350198423,0.0,1.5927870963647e-48,0.0,1.0,0.0,1.6464527083041034e-12,1.0,5.65429791545025e-85,0.0,1.0,0.0,1.661866302152278e-144,0.0,1.0,1.0,6.21911286010447e-304,0.0,4.97715487828017e-23,0.0,1.0,0.0,0.9999838604267948,1.0,4.512710439662403e-05,0.0,0.0014217949432601999,0.0,1.0,0.0,1.3236236789638119e-80,1.0,0.4020042633028506,0.0,1.5761724254037444e-97,0.0,0.0,0.0,4.436507692650731e-275,1.0,2.1441296074260432e-05,0.0,2.651686927643136e-37,0.0,9.076054370068736e-27,0.0,3.277890866283484e-35,1.0,2.8663882565663313e-202,0.0,0.02074741775746341,0.0,0.9991754915185028,0.0,5.484869627029295e-27,1.0,0.4193472752892691,0.0,3.547448262775506e-30,0.0,2.1547707794399332e-30,0.0,1.0902422250473674e-38,1.0,5.349083698355487e-108,0.0,1.5158579210509506e-15,0.0,0.7266592110167461,0.0,9.75452243972292e-75,0.0,1.0,0.0,1.0
S-CPI,300,19.01286768913269,0.5670504092314123,1.0,0.00217502811479542,0.0,0.6327483172750641,0.0,0.863246583883932,0.0,0.3213077375134308,1.0,0.0003826446047274861,0.0,0.31261448397684444,0.0,0.6519928087892545,0.0,0.9843890028677412,1.0,0.014631585433307599,0.0,0.9367472911836888,0.0,0.2834315866027842,0.0,0.9164944231568208,1.0,0.14197989651143378,0.0,0.28434206325806577,0.0,0.9784377333835164,0.0,0.816654185179005,1.0,0.007628825407829583,0.0,0.2253144902793603,0.0,0.03724380846565615,0.0,0.9198982936065775,1.0,0.0023661443712655775,0.0,0.1615301808524518,0.0,0.49679396438592804,0.0,0.9216789834988198,1.0,0.007610025964337494,0.0,0.9653524083772785,0.0,0.8511046648085128,0.0,0.14833124754909038,1.0,0.017661802716152343,0.0,0.10111624041305595,0.0,0.055127549230980476,0.0,0.11219134075429654,1.0,0.03621525346137548,0.0,0.1970706487741915,0.0,0.42242737991357227,0.0,0.20330700605402807,1.0,0.2370128495906516,0.0,0.059936152999319904,0.0,0.4749699029946891,0.0,0.02113812021619088,1.0,0.7038497003404671,0.0,0.06587543715698586,0.0,0.17484169197817817,0.0,0.15942189710215576,1.0,0.0010002210420674677,0.0,0.7109918783735665,0.0,0.9009124719116518,0.0,0.07040131350349656,0.0,0.8997565172906135,0.0,0.6665414421021316
S-CPI_sqrt,300,19.251680612564087,0.5670504092314123,1.0,0.22210215842997139,0.0,0.49518590062554224,0.0,0.5380184493805771,0.0,0.4920705482920451,1.0,0.2716504428697297,0.0,0.47897679376456676,0.0,0.5093883040457251,0.0,0.6423582211884988,1.0,0.20347164586727967,0.0,0.5522228736737778,0.0,0.4618784947994602,0.0,0.5104633068697528,1.0,0.4084064592762911,0.0,0.46648811073593865,0.0,0.6003804200492587,0.0,0.5122605796661115,1.0,0.4230954043546268,0.0,0.49505876755234174,0.0,0.44865000378472486,0.0,0.5472108130922332,1.0,0.3946293821394964,0.0,0.4863416632042909,0.0,0.49555024134360953,0.0,0.5552460115806985,1.0,0.19633375388820218,0.0,0.773609028927043,0.0,0.5488198131529265,0.0,0.46003330781858376,1.0,0.23487494314579516,0.0,0.4922870022054717,0.0,0.4581770252215933,0.0,0.46129459192178457,1.0,0.19932503990017703,0.0,0.4516646964511099,0.0,0.4774774161771279,0.0,0.4726187328829948,1.0,0.4619435750889044,0.0,0.4578090168619086,0.0,0.49209517807242714,0.0,0.36352656161667296,1.0,0.5395503347437739,0.0,0.4314174927392579,0.0,0.4676133613787883,0.0,0.4886292329404795,1.0,0.3703616217230904,0.0,0.5006310495432328,0.0,0.5264392653142708,0.0,0.48261450422909685,0.0,0.5237560239127458,0.0,0.5173614819833757
S-CPI_n,300,19.152774810791016,0.5670504092314123,1.0,0.018805517053068904,0.0,0.5197996535337356,0.0,0.7142753465529985,0.0,0.5042561086856578,1.0,0.025546802761485538,0.0,0.4346610008541413,0.0,0.6386816556613958,0.0,0.9517379315233272,1.0,0.1356879745740785,0.0,0.8002731575829931,0.0,0.32367161923800036,0.0,0.7120798357742288,1.0,0.17086792740765439,0.0,0.43002266465780076,0.0,0.7560237750343877,0.0,0.6584482238509185,1.0,0.11666855253182484,0.0,0.4670898419597039,0.0,0.2101745324597285,0.0,0.6815662586349732,1.0,0.06452588415403407,0.0,0.3827352759523163,0.0,0.5630183039668109,0.0,0.7574809940318392,1.0,0.058441556284839845,0.0,0.8775007176482383,0.0,0.7489451965446263,0.0,0.27651074426361444,1.0,0.21781176951394954,0.0,0.36332847693194903,0.0,0.3136974548500779,0.0,0.35285136398915984,1.0,0.12024450471527254,0.0,0.31873951027131797,0.0,0.41405401796384267,0.0,0.39778319775532345,1.0,0.39882707279989454,0.0,0.33331097748860167,0.0,0.4397200922200172,0.0,0.07534274824767394,1.0,0.8028886028715797,0.0,0.196339530713181,0.0,0.3148586145272719,0.0,0.24390834286307278,1.0,0.04543426339110173,0.0,0.5854630775249707,0.0,0.5919000308911244,0.0,0.3453172378937016,0.0,0.6584828386186492,0.0,0.533696775156359
S-CPI_bt,300,19.381646633148193,0.5670504092314123,1.0,7.269035484908282e-07,0.0,0.42117957518666127,0.0,0.761252544929621,0.0,0.41145707484164484,1.0,1.786514462958865e-05,0.0,0.4718744139811423,0.0,0.6392708891796237,0.0,0.9996947544419945,1.0,1.7770001785747783e-05,0.0,0.9230502666461886,0.0,0.28601980557563117,0.0,0.7836080113571899,1.0,0.07541597091381776,0.0,0.053292418194636565,0.0,0.9886563561064956,0.0,0.6167291694920661,1.0,0.03529467873356231,0.0,0.36307272314577443,0.0,0.08863361906398193,0.0,0.9329100711234803,1.0,0.004345153598060618,0.0,0.38514215079297437,0.0,0.5771289388515023,0.0,0.868469616697404,1.0,3.784200167748728e-05,0.0,0.9883652069346472,0.0,0.9301225399542077,0.0,0.23152997758946742,1.0,0.17701152943878307,0.0,0.3943415041063205,0.0,0.22362629651674415,0.0,0.24228710208873439,1.0,0.0009136341502652441,0.0,0.2813982880086563,0.0,0.22208237559716215,0.0,0.3262983703875571,1.0,0.06204744569841886,0.0,0.247113321592073,0.0,0.4737064563631158,0.0,0.0008348358000192768,1.0,0.7420841287868024,0.0,0.008041909675773125,0.0,0.12342151779821581,0.0,0.4207496604120524,1.0,7.583569650461257e-05,0.0,0.6422463959439806,0.0,0.6526085572721105,0.0,0.2628442627758777,0.0,0.8028894303576923,0.0,0.5353380631247755
