method,n,tr_time,r2_test,tr_V0,pval0,tr_V1,pval1,tr_V2,pval2,tr_V3,pval3,tr_V4,pval4,tr_V5,pval5,tr_V6,pval6,tr_V7,pval7,tr_V8,pval8,tr_V9,pval9,tr_V10,pval10,tr_V11,pval11,tr_V12,pval12,tr_V13,pval13,tr_V14,pval14,tr_V15,pval15,tr_V16,pval16,tr_V17,pval17,tr_V18,pval18,tr_V19,pval19,tr_V20,pval20,tr_V21,pval21,tr_V22,pval22,tr_V23,pval23,tr_V24,pval24,tr_V25,pval25,tr_V26,pval26,tr_V27,pval27,tr_V28,pval28,tr_V29,pval29,tr_V30,pval30,tr_V31,pval31,tr_V32,pval32,tr_V33,pval33,tr_V34,pval34,tr_V35,pval35,tr_V36,pval36,tr_V37,pval37,tr_V38,pval38,tr_V39,pval39,tr_V40,pval40,tr_V41,pval41,tr_V42,pval42,tr_V43,pval43,tr_V44,pval44,tr_V45,pval45,tr_V46,pval46,tr_V47,pval47,tr_V48,pval48,tr_V49,pval49
LOCO-W,300,862.3257739543915,0.9620465700939405,1.0,1.159742929546237e-05,0.0,0.9507469597756413,0.0,0.0009816700813074508,0.0,0.03641735933718837,1.0,7.5387243891889e-08,0.0,0.7991680201828422,0.0,0.010118650532961349,0.0,0.02631071913491345,1.0,0.3493235992052358,0.0,0.007888139217196999,0.0,0.007813289694627912,0.0,0.9409085413217421,1.0,1.1052696474722623e-06,0.0,0.9999756312525087,0.0,0.9882382346020174,0.0,0.9818543593389096,1.0,1.6375635292220636e-09,0.0,0.02314589758630281,0.0,0.030399920858580676,0.0,0.9418392842685966,1.0,2.527249820527544e-08,0.0,0.999831676131148,0.0,0.7428822989394398,0.0,0.2506180208777977,1.0,0.9724458092406757,0.0,0.026769889539388414,0.0,0.9999116454028629,0.0,0.5033041586813747,1.0,0.0002537997625384758,0.0,0.8991864989222416,0.0,0.9993151974340021,0.0,0.9951077944443385,1.0,0.006736532768506387,0.0,0.3526603444674066,0.0,0.781400599048875,0.0,0.989129223769668,1.0,1.0891287871572786e-13,0.0,0.7253468549448674,0.0,0.5791631158945518,0.0,0.20273549125973167,1.0,1.5877985042322962e-06,0.0,0.8717902779108213,0.0,0.9961529990048069,0.0,0.016242580238745696,1.0,1.1896452752235831e-05,0.0,0.03646387668889206,0.0,0.9959151796908299,0.0,0.30804967225926483,0.0,0.9830433691643055,0.0,0.9997880530916021
CPI,300,16.52406072616577,0.9620465700939405,1.0,2.3279003603138188e-08,0.0,0.019595475379219043,0.0,0.6957604464357898,0.0,0.4159600299564374,1.0,1.5630152697202657e-06,0.0,0.9544012028539837,0.0,0.07789227816656732,0.0,0.7319273527905885,1.0,4.7330689171757405e-05,0.0,0.18423490884185484,0.0,0.1048236698167963,0.0,0.8752410026265358,1.0,1.3181172212795125e-07,0.0,0.2643418706850726,0.0,0.649958296012533,0.0,0.9437074860567041,1.0,4.692311485030622e-08,0.0,0.7728123727029941,0.0,0.2169267051077305,0.0,0.8390598590080927,1.0,4.373171611696116e-13,0.0,0.225578648120283,0.0,0.8222525120617481,0.0,0.6165631580444981,1.0,5.978836088542296e-05,0.0,0.013016759910472327,0.0,0.7057477613659686,0.0,0.6446391825350881,1.0,1.5945102396232068e-08,0.0,0.6145715880590068,0.0,0.045886039537357974,0.0,0.9833422897518674,1.0,4.611601377208518e-09,0.0,0.1802874334705325,0.0,0.8181396702341419,0.0,0.5512832573935393,1.0,5.8033063364802034e-08,0.0,0.6554322075201928,0.0,0.6429010945166945,0.0,0.7246868655095254,1.0,8.809218402245602e-07,0.0,0.2769427427054176,0.0,0.424009770378257,0.0,0.8001946606414887,1.0,6.145377466297989e-07,0.0,0.0008491062416975654,0.0,0.8276500863390837,0.0,0.06810357127482246,0.0,0.8048170586989366,0.0,0.7280249760820356
CPI_sqrt,300,16.531673192977905,0.9620465700939405,1.0,0.08453031014002427,0.0,0.499444208535284,0.0,0.5015803967501741,0.0,0.4993028099140001,1.0,0.0887350596433028,0.0,0.501148017263157,0.0,0.49172579002012323,0.0,0.5003437661970553,1.0,0.19243431498923014,0.0,0.49611966746668407,0.0,0.4998121952885223,0.0,0.5026178539738609,1.0,0.11789969441614284,0.0,0.49873966175358675,0.0,0.5002820284776857,0.0,0.5011943706431122,1.0,0.08252514395862337,0.0,0.499666014981126,0.0,0.4998036303386051,0.0,0.5014734892299438,1.0,0.051917336393374126,0.0,0.4997686093922699,0.0,0.5001547238772904,0.0,0.4991551242550947,1.0,0.28643938244636813,0.0,0.5000730725778006,0.0,0.5001567445012249,0.0,0.5041105408869839,1.0,0.046255597796553215,0.0,0.4996482899940385,0.0,0.4981289726799,0.0,0.5024348299170993,1.0,0.16948002212344465,0.0,0.4996751045511352,0.0,0.49886887932943164,0.0,0.5000412327039148,1.0,0.06662301692527772,0.0,0.5006053345385004,0.0,0.5000058496508661,0.0,0.4961509208740838,1.0,0.17220002163898634,0.0,0.4986316255508958,0.0,0.5003720855970533,0.0,0.5015065600764578,1.0,0.14669406201897067,0.0,0.499165223365166,0.0,0.5011980216964615,0.0,0.49912254803405415,0.0,0.5004242382209978,0.0,0.5003650412023968
CPI_n,300,16.53920316696167,0.9620465700939405,1.0,1.5214311066480158e-05,0.0,0.5017173687153822,0.0,0.5071612021978633,0.0,0.49314021120467094,1.0,7.888525430076189e-06,0.0,0.514842509880849,0.0,0.4113638640447617,0.0,0.504788460792913,1.0,0.0010186878881329117,0.0,0.513080946216776,0.0,0.5025746541526943,0.0,0.5348684514707714,1.0,0.00016030383280581282,0.0,0.4927617461352639,0.0,0.4989367011873492,0.0,0.5107662649649354,1.0,0.0002977448412535004,0.0,0.47756556364738584,0.0,0.5001771555486457,0.0,0.5139929996575869,1.0,0.00011336694670491388,0.0,0.49854901828988324,0.0,0.5025706140728727,0.0,0.5054418581471242,1.0,0.004939438934478177,0.0,0.4850994437838662,0.0,0.5062155759545692,0.0,0.5152531067420979,1.0,0.0002724936464258919,0.0,0.5063617883253235,0.0,0.48869623186223426,0.0,0.5074920737837315,1.0,0.00025025068441386145,0.0,0.499959224625535,0.0,0.51160446783916,0.0,0.48985079166876466,1.0,0.00010338855609146989,0.0,0.5043584235616871,0.0,0.5020517406118715,0.0,0.48410777312327846,1.0,0.0001091624867321347,0.0,0.5016989249168607,0.0,0.5021658748084513,0.0,0.5105154955165049,1.0,0.01026557668091676,0.0,0.49200460792967715,0.0,0.4907250604583001,0.0,0.49751872896768884,0.0,0.5053492723703708,0.0,0.5030735851117636
CPI_bt,300,16.73363184928894,0.9620465700939405,1.0,8.986045067258585e-30,0.0,0.48436079791912456,0.0,0.5078563096703073,0.0,0.5013629108359053,1.0,9.896993996454172e-18,0.0,0.5078850162071937,0.0,0.4362022543786917,0.0,0.5033984007814873,1.0,1.7746410226252925e-18,0.0,0.46381286001281063,0.0,0.5001178232929827,0.0,0.4916449156286992,1.0,2.9888402528162452e-12,0.0,0.4986053682872763,0.0,0.5041256337502034,0.0,0.5118874539204732,1.0,5.178178137881938e-19,0.0,0.47703759375960253,0.0,0.49320304583444613,0.0,0.5028111589494063,1.0,6.4873825308423116e-21,0.0,0.495528055273185,0.0,0.5032062866973332,0.0,0.5296876952438682,1.0,3.3919299436114532e-15,0.0,0.48920208734690046,0.0,0.497036675431618,0.0,0.513588714773613,1.0,1.0197268286914419e-24,0.0,0.49634665591841015,0.0,0.4751910182611075,0.0,0.5310471879293515,1.0,4.0069490026904944e-12,0.0,0.5011798587853689,0.0,0.5022797502186643,0.0,0.49594290331167484,1.0,1.3383365362204324e-33,0.0,0.5100475292793455,0.0,0.5016568646943999,0.0,0.5197732631313063,1.0,3.308099054354163e-31,0.0,0.4904213943807901,0.0,0.5017955303031185,0.0,0.5121110103535305,1.0,4.819971198610981e-16,0.0,0.4902015720147524,0.0,0.49264806735042826,0.0,0.4933446160907341,0.0,0.5035874356502879,0.0,0.505571923418349
CPI_sqd,300,16.72467041015625,0.9620465700939405,1.0,5.3053829284933743e-135,0.0,0.7532184250327993,0.0,0.9998195441533491,0.0,0.1288879294002987,1.0,1.4092339152022717e-176,0.0,0.9069541426895548,0.0,6.318583245367781e-93,0.0,0.6708735340231349,1.0,5.443681976334338e-257,0.0,5.8012266571203856e-30,0.0,0.5698010238732208,0.0,0.7493536417737477,1.0,5.66020833820438e-107,0.0,0.5157217393765166,0.0,0.8062781474283292,0.0,0.9999988717182726,1.0,1.7390224390258448e-266,0.0,0.0015097847609594304,0.0,0.12547129015758157,0.0,0.9597279911458383,1.0,4.2900484348761094e-46,0.0,0.13222859236924467,0.0,0.5069772284129249,0.0,0.9999999989890683,1.0,3.556518085463549e-196,0.0,2.7015572355516853e-09,0.0,0.7460847812544452,0.0,0.9994338805967785,1.0,1.2684597866199023e-136,0.0,0.9913507984445581,0.0,0.0032957502003326906,0.0,0.9975393140397194,1.0,6.812229272793191e-155,0.0,0.1207019602809361,0.0,0.09774799342353235,0.0,0.17193698272614416,1.0,4.598974274138731e-59,0.0,0.9120203371473559,0.0,0.6390099974232828,0.0,0.9863619704549558,1.0,9.655469032268044e-93,0.0,0.0033437495963071348,0.0,0.3851215227620337,0.0,0.9961262407499899,1.0,7.328121061390997e-147,0.0,6.435061052140878e-06,0.0,0.8887208547150165,0.0,0.39025585182037287,0.0,0.75131566938345,0.0,0.7399682531092204
S-CPI,300,29.55418372154236,0.9620465700939405,1.0,8.903755940009846e-07,0.0,0.35221038007640526,0.0,0.9097793015386739,0.0,0.08949856405719481,1.0,4.002626179012746e-05,0.0,0.9314987866703967,0.0,0.0629551740346923,0.0,0.8144333354852756,1.0,2.043991901174374e-07,0.0,0.6002277048404498,0.0,0.7177469588773098,0.0,0.8633305581960373,1.0,0.0001004295342230216,0.0,0.3970194139267083,0.0,0.7024780742881525,0.0,0.8844884091294959,1.0,1.9358431705968582e-06,0.0,0.08992282825596304,0.0,0.28428326695115014,0.0,0.6593418947299251,1.0,6.561201795412063e-10,0.0,0.1950214051413089,0.0,0.6430757341905795,0.0,0.8465018423773165,1.0,0.008916458789699,0.0,0.03861459073856082,0.0,0.6412965368389644,0.0,0.9755354936547624,1.0,1.7176179842858097e-05,0.0,0.24951565039710538,0.0,0.1082802532953544,0.0,0.9718512686049886,1.0,1.5082873442138115e-06,0.0,0.20543456889227008,0.0,0.6025979400119187,0.0,0.3513515496248716,1.0,9.676779083422715e-08,0.0,0.7994552126898229,0.0,0.5833150900680948,0.0,0.28105080676168714,1.0,1.5102914902490184e-06,0.0,0.05759774973693317,0.0,0.8646474828877633,0.0,0.9536230966591532,1.0,0.00023226526784960824,0.0,0.01500186002678923,0.0,0.40809851372646094,0.0,0.1492805699193504,0.0,0.5948576139040669,0.0,0.847319078119261
S-CPI_sqrt,300,29.55117893218994,0.9620465700939405,1.0,0.04335124266971274,0.0,0.49956059248272333,0.0,0.5011646458505711,0.0,0.4990858212549498,1.0,0.14612630955862277,0.0,0.5006106035105888,0.0,0.48848695474034165,0.0,0.5006148505091098,1.0,0.14581182200688958,0.0,0.502347852259981,0.0,0.500063085416502,0.0,0.5029086526394039,1.0,0.08917403184306805,0.0,0.49874525558314514,0.0,0.5004616117978941,0.0,0.5024610991225343,1.0,0.0760083845900045,0.0,0.49727641625078,0.0,0.4997457729811921,0.0,0.5013329108579061,1.0,0.04089733652845732,0.0,0.4995926876469533,0.0,0.5004039518935108,0.0,0.5018351177512063,1.0,0.2777094276877169,0.0,0.49837046781314603,0.0,0.5007047356157104,0.0,0.5042180347241318,1.0,0.07093913955198312,0.0,0.4990940131716009,0.0,0.49858902493180046,0.0,0.5025280185573667,1.0,0.1232406122601416,0.0,0.4998788210422771,0.0,0.500722138879377,0.0,0.497847127711,1.0,0.04628299796508751,0.0,0.5004755822515117,0.0,0.5000718587558667,0.0,0.49771222213307315,1.0,0.09542945543149517,0.0,0.4984940340157586,0.0,0.500301280198067,0.0,0.5015882440407756,1.0,0.21649280024081796,0.0,0.4981860194787514,0.0,0.5002970860559046,0.0,0.49893321368018756,0.0,0.5000277205322347,0.0,0.5005715418052945
S-CPI_n,300,29.553576231002808,0.9620465700939405,1.0,4.311147545341437e-05,0.0,0.49761248457089147,0.0,0.5202895446661377,0.0,0.4891335692283731,1.0,0.000860606503843193,0.0,0.509930081257226,0.0,0.42151898228880413,0.0,0.5026686763611508,1.0,0.0009081276462430921,0.0,0.4857827772832589,0.0,0.5005478704414275,0.0,0.5270043019115684,1.0,0.0015937487615641712,0.0,0.4924904597718642,0.0,0.505245052564261,0.0,0.5254842019989439,1.0,2.035903396968477e-05,0.0,0.47001133555940805,0.0,0.4956191409668613,0.0,0.5138642933957099,1.0,8.334920159048986e-06,0.0,0.4922599700265569,0.0,0.5070972212541974,0.0,0.508963047271414,1.0,0.04298662931282537,0.0,0.47744678571798044,0.0,0.5078713630148606,0.0,0.5414208616421399,1.0,8.379894875285617e-05,0.0,0.4875156952666482,0.0,0.48200403104436823,0.0,0.5242612249022771,1.0,0.0005734988509500472,0.0,0.4952645754912612,0.0,0.5050169817549875,0.0,0.49218857701211344,1.0,1.4254586180994011e-05,0.0,0.5041415267077667,0.0,0.5031933566936352,0.0,0.47710034312920085,1.0,0.0013554133243115708,0.0,0.4872552562903699,0.0,0.5046314985113055,0.0,0.5176601750614701,1.0,0.009962396114176488,0.0,0.48381140540012907,0.0,0.5061568893696974,0.0,0.49487870429541436,0.0,0.5017244179362625,0.0,0.5018206967489401
S-CPI_bt,300,29.738627910614014,0.9620465700939405,1.0,3.846951048117808e-20,0.0,0.5005116944309863,0.0,0.5179501286733348,0.0,0.493931536181368,1.0,1.0155638059817085e-17,0.0,0.5082436453143899,0.0,0.41482711100229464,0.0,0.5014028747329256,1.0,2.377580505307242e-22,0.0,0.5016312938758237,0.0,0.4986118926598731,0.0,0.5195177532295845,1.0,5.731878884395227e-13,0.0,0.4923350094326176,0.0,0.5056760791021695,0.0,0.5189962512454298,1.0,6.129247064238758e-22,0.0,0.4765632629666715,0.0,0.492720021302222,0.0,0.5171957968019446,1.0,1.746770652299202e-32,0.0,0.49427872425266706,0.0,0.5031119299137369,0.0,0.5233836162604142,1.0,3.51715024179543e-05,0.0,0.48583677698632727,0.0,0.5047020081158393,0.0,0.5334186171825055,1.0,7.330979775708667e-15,0.0,0.4896669179630431,0.0,0.4839293231803253,0.0,0.5464651013499966,1.0,2.0381311529229176e-20,0.0,0.4960376996744928,0.0,0.5005205252633986,0.0,0.484687484589818,1.0,6.4326713577009e-25,0.0,0.5088347407707079,0.0,0.5015091906771958,0.0,0.4888213748881619,1.0,3.233327563029448e-17,0.0,0.4844484112968956,0.0,0.5026729191043567,0.0,0.510304857654712,1.0,3.399482331661615e-08,0.0,0.4835717158381957,0.0,0.4977822391290402,0.0,0.4921930927027898,0.0,0.5029089431464296,0.0,0.4996148734246896
