method,n,tr_time,r2_test,tr_V0,pval0,tr_V1,pval1,tr_V2,pval2,tr_V3,pval3,tr_V4,pval4,tr_V5,pval5,tr_V6,pval6,tr_V7,pval7,tr_V8,pval8,tr_V9,pval9,tr_V10,pval10,tr_V11,pval11,tr_V12,pval12,tr_V13,pval13,tr_V14,pval14,tr_V15,pval15,tr_V16,pval16,tr_V17,pval17,tr_V18,pval18,tr_V19,pval19,tr_V20,pval20,tr_V21,pval21,tr_V22,pval22,tr_V23,pval23,tr_V24,pval24,tr_V25,pval25,tr_V26,pval26,tr_V27,pval27,tr_V28,pval28,tr_V29,pval29,tr_V30,pval30,tr_V31,pval31,tr_V32,pval32,tr_V33,pval33,tr_V34,pval34,tr_V35,pval35,tr_V36,pval36,tr_V37,pval37,tr_V38,pval38,tr_V39,pval39,tr_V40,pval40,tr_V41,pval41,tr_V42,pval42,tr_V43,pval43,tr_V44,pval44,tr_V45,pval45,tr_V46,pval46,tr_V47,pval47,tr_V48,pval48,tr_V49,pval49
LOCO-W,300,70.33109593391418,0.8777064865993074,0.0,0.026290021484974502,0.0,0.45047859023889636,0.0,2.700732705807063e-06,0.0,0.27810038592967024,0.0,0.9999830865389188,0.0,0.7787600372548784,0.0,0.9408400947785368,0.0,0.9746613000020679,0.0,0.005551296337565681,0.0,0.01637409271258594,0.0,0.9971527250699094,0.0,0.009689718830754646,0.0,0.9744248858676356,0.0,0.99999264126491,0.0,0.3248994595865442,0.0,0.9999925516593114,0.0,0.9998405028235096,0.0,0.9909134463940001,0.0,0.01352000445198065,0.0,0.8608877349803914,0.0,3.9905252681937675e-05,0.0,0.45735018485958523,0.0,0.9633975085035431,0.0,0.0008987412606772383,0.0,0.02395964617930446,0.0,0.9999970736910216,0.0,0.21040239722578824,0.0,0.5502325109446093,0.0,0.004753483824771698,0.0,0.0018064758141586035,0.0,0.9999938933173056,0.0,0.45924642084751954,0.0,0.9011267568945305,0.0,0.004584585245386408,0.0,0.9212998828328859,0.0,0.16639045327238322,0.0,0.9445423207077812,0.0,0.3360024497637544,0.0,0.3057906683708269,0.0,8.006757580059087e-06,1.0,5.155354809716073e-09,0.0,0.08594521031932989,0.0,0.000799227669169289,0.0,0.9928243922563453,0.0,0.5855496827263269,0.0,0.9998153258373266,0.0,0.9999998195347384,0.0,0.9999752840551599,0.0,0.20343351211900806,0.0,0.0023102205687600685
CPI,300,4.215999126434326,0.8777064865993074,0.0,0.19793797986889455,0.0,0.372870367619643,0.0,0.8436270013707003,0.0,0.8419637590435819,0.0,0.23753625414708696,0.0,0.49956790963395364,0.0,0.45365945296234256,0.0,0.6513657614682171,0.0,0.12776290501138488,0.0,0.9032832229145094,0.0,0.6079449276500466,0.0,0.367522732694924,0.0,0.7622753321450471,0.0,0.44695469718347475,0.0,0.1751366944985766,0.0,0.4469982633620286,0.0,0.391619660977643,0.0,0.6919887336075039,0.0,0.6367261714298391,0.0,0.8768920141689716,0.0,0.33516383050855336,0.0,0.21010399386429085,0.0,0.44198969491825124,0.0,0.7299487524897268,0.0,0.36879009813582597,0.0,0.7166444415374369,0.0,0.9386946192382158,0.0,0.9390316843984533,0.0,0.7983737170377319,0.0,0.6684758902811982,0.0,0.5372031188656571,0.0,0.24104210366465445,0.0,0.036655941468459914,0.0,0.5546595973375745,0.0,0.6651587354240382,0.0,0.343614965943678,0.0,0.254496315229198,0.0,0.9173482390948773,0.0,0.5073158953193684,0.0,0.9829052294149538,1.0,9.285184101254276e-06,0.0,0.34268827137220037,0.0,0.6311768682713211,0.0,0.7550141502481199,0.0,0.33517833976167644,0.0,0.5224232690689681,0.0,0.8502076877384914,0.0,0.8829436704552769,0.0,0.8638014647044248,0.0,0.9674587899827201
CPI_sqrt,300,4.1994242668151855,0.8777064865993074,0.0,0.4992596638449162,0.0,0.4980462328161974,0.0,0.5000218933538488,0.0,0.5002254934860321,0.0,0.49915751729171814,0.0,0.4973023739659361,0.0,0.498423292861693,0.0,0.5068409980237368,0.0,0.5041872415290894,0.0,0.507017808262553,0.0,0.5017767759524305,0.0,0.4993272946715646,0.0,0.506245246471856,0.0,0.5021907909959445,0.0,0.48845860603947117,0.0,0.5021732164236417,0.0,0.5001709446589427,0.0,0.5018729653634212,0.0,0.49972490379472717,0.0,0.500880881800728,0.0,0.4963173849502137,0.0,0.49870915140019695,0.0,0.5001777882319749,0.0,0.4995937779249947,0.0,0.5007673221346421,0.0,0.4999342793254389,0.0,0.5018641928901486,0.0,0.4984845106455078,0.0,0.4970981614762889,0.0,0.49922683305917487,0.0,0.498376095308312,0.0,0.4997983856227849,0.0,0.49515949959930605,0.0,0.4968364541429702,0.0,0.49693682977858455,0.0,0.5005183527341821,0.0,0.5018270703111601,0.0,0.5017924790406615,0.0,0.5061664436522036,0.0,0.5138794585708704,1.0,0.0015270762911020327,0.0,0.5009957718150266,0.0,0.505860969419112,0.0,0.4989009435593107,0.0,0.4991089520471304,0.0,0.5028956743103481,0.0,0.50088875102592,0.0,0.5003950209522693,0.0,0.5070332002816424,0.0,0.5028134001857197
CPI_n,300,4.198792934417725,0.8777064865993074,0.0,0.4936703704796073,0.0,0.48983726167532016,0.0,0.5366515591047828,0.0,0.5015766738914673,0.0,0.4914008872087207,0.0,0.48232849657694865,0.0,0.503695868039605,0.0,0.5121114949153258,0.0,0.5418505965826198,0.0,0.5448422065722434,0.0,0.483756073781843,0.0,0.5008191141924774,0.0,0.4503752835857981,0.0,0.4828513183252597,0.0,0.4205832411597456,0.0,0.5027808498187067,0.0,0.5001450155415753,0.0,0.47423697864570974,0.0,0.4839643095494271,0.0,0.5219589166891198,0.0,0.5018435626283715,0.0,0.499626034051473,0.0,0.5107245005839295,0.0,0.503897546326199,0.0,0.5001125656215945,0.0,0.49809741310662115,0.0,0.5254158980849561,0.0,0.5154377123924423,0.0,0.49626009554504386,0.0,0.4876341693940343,0.0,0.5232390586392981,0.0,0.4900189222920172,0.0,0.4918899339338235,0.0,0.48957399904725113,0.0,0.4744914769444311,0.0,0.49029628943094894,0.0,0.4936703684375832,0.0,0.5329031781515825,0.0,0.4797104857797516,0.0,0.6167608614170568,1.0,4.961970274209547e-08,0.0,0.4912391048355448,0.0,0.5363194007268424,0.0,0.5019309216919551,0.0,0.5070182780975819,0.0,0.4747516341472492,0.0,0.5230074763955014,0.0,0.5013207921804229,0.0,0.5457325973720537,0.0,0.5239395543368697
CPI_bt,300,4.388272762298584,0.8777064865993074,0.0,0.5007726169155946,0.0,0.4943775972722627,0.0,0.5293842072140117,0.0,0.4975933728160588,0.0,0.47383810900127404,0.0,0.483133191641648,0.0,0.5077441797555294,0.0,0.5193341428659565,0.0,0.45151665685605885,0.0,0.5692674903233668,0.0,0.4998533841479486,0.0,0.5044508301506069,0.0,0.5513432837362491,0.0,0.504207126126513,0.0,0.4047280807655321,0.0,0.5033652238768285,0.0,0.4982503248701612,0.0,0.5483422357501687,0.0,0.4969563842230529,0.0,0.5170783490690424,0.0,0.4707531753048869,0.0,0.44950905793092194,0.0,0.46602593257162434,0.0,0.4962908500007539,0.0,0.504638199391503,0.0,0.48551296058963994,0.0,0.5284276312556115,0.0,0.5158688747372755,0.0,0.5331336716696289,0.0,0.4830536794773728,0.0,0.5188599795314353,0.0,0.5095765328513833,0.0,0.4808840282816947,0.0,0.5077172549814827,0.0,0.48204614790628714,0.0,0.49617796807300385,0.0,0.5310568652330258,0.0,0.5016788755043814,0.0,0.5022361489754368,0.0,0.7059174808362908,1.0,5.6194389677458485e-62,0.0,0.4988673303238828,0.0,0.5246956710092296,0.0,0.49529552213453165,0.0,0.4945208470974538,0.0,0.5177562313023472,0.0,0.5380605680845065,0.0,0.5143060358018972,0.0,0.522505280142885,0.0,0.5327958459217622
CPI_sqd,300,4.386163949966431,0.8777064865993074,0.0,0.9846012941948626,0.0,4.195864349791816e-05,0.0,0.9999999992019999,0.0,0.9972305968069575,0.0,0.7976670489000594,0.0,0.5480235557483534,0.0,0.9787804653761312,0.0,0.9957442066857387,0.0,8.175117327387381e-06,0.0,1.0,0.0,0.4718696501839937,0.0,0.013789516575534691,0.0,0.18000201454390302,0.0,9.167547922360027e-08,0.0,2.6201662084936244e-30,0.0,0.0018955194509788452,0.0,0.08328065714339361,0.0,0.921736206146416,0.0,0.09239175279174444,0.0,0.9911974974794958,0.0,0.0005900593976452871,0.0,0.1880909586218718,0.0,0.04578536770135591,0.0,0.40942950035696074,0.0,0.9999999999999933,0.0,0.0026680006523415387,0.0,0.9999999998402123,0.0,1.0,0.0,1.0,0.0,0.9876935842411876,0.0,9.852032992895012e-09,0.0,2.1282165593638715e-08,0.0,9.075147039805372e-18,0.0,2.8653060124300542e-05,0.0,0.999999566074606,0.0,0.07828772107284768,0.0,0.6546036764687698,0.0,0.9999999999999999,0.0,4.613661313550747e-26,0.0,1.0,1.0,1.0048677763764819e-119,0.0,0.5774721867223993,0.0,1.0,0.0,0.6534763306282764,0.0,0.08593760147740648,0.0,0.9065447846333778,0.0,1.0,0.0,0.93545391554431,0.0,1.0,0.0,1.0
S-CPI,300,4.643996953964233,0.8777064865993074,0.0,0.6494899034671919,0.0,0.07905431288976761,0.0,0.9810822708672767,0.0,0.8230069839885108,0.0,0.39351445334926205,0.0,0.12950633417547103,0.0,0.8880053184453216,0.0,0.9090282998281898,0.0,0.564405208807755,0.0,0.9624643625561056,0.0,0.6628354614298996,0.0,0.49355088966888594,0.0,0.5496022259111251,0.0,0.8452832861114687,0.0,0.08603979767090264,0.0,0.3801828741558393,0.0,0.2990005358954135,0.0,0.7740330738134845,0.0,0.6607062457655165,0.0,0.9235137267883995,0.0,0.46131277067866633,0.0,0.29893892517816223,0.0,0.3909908705616253,0.0,0.5565194636055986,0.0,0.7818158057338354,0.0,0.10277354574659281,0.0,0.9810192794811374,0.0,0.8863786815055694,0.0,0.8487670013677537,0.0,0.32820083515341664,0.0,0.5914093860675356,0.0,0.39279267250005656,0.0,0.05361288128655068,0.0,0.5019638680139039,0.0,0.1990700550811798,0.0,0.3920939942625244,0.0,0.43847322949857703,0.0,0.9839247561859055,0.0,0.6342555504343987,0.0,0.9865289461502611,1.0,6.092691302476737e-06,0.0,0.6961635755524892,0.0,0.8636625308243506,0.0,0.7906646726654948,0.0,0.5128338721216378,0.0,0.9675747502607925,0.0,0.9521024656476054,0.0,0.8831451205772247,0.0,0.9715286645850068,0.0,0.9748816210309824
S-CPI_sqrt,300,4.6431310176849365,0.8777064865993074,0.0,0.5001910842480239,0.0,0.49819852916387114,0.0,0.5080600737701317,0.0,0.5014302329002938,0.0,0.5011369631210424,0.0,0.4956138949164973,0.0,0.5058927437054529,0.0,0.507603429317733,0.0,0.49764229087591844,0.0,0.5102983495767538,0.0,0.498912221303147,0.0,0.5007063527111745,0.0,0.5023929444058345,0.0,0.5014675584013015,0.0,0.4919872752933707,0.0,0.5016777459233013,0.0,0.49958303213449484,0.0,0.5026126060625646,0.0,0.5004177771208997,0.0,0.5025128304738766,0.0,0.4973214157281336,0.0,0.4979948707670249,0.0,0.49594176167762183,0.0,0.5006549199041668,0.0,0.5040111740214788,0.0,0.4994473010300376,0.0,0.5078236465160668,0.0,0.5086274735696561,0.0,0.5013536480625651,0.0,0.5000876683127857,0.0,0.5009075561208189,0.0,0.49714981913759876,0.0,0.4968160380672354,0.0,0.5048149514092782,0.0,0.4966818524854625,0.0,0.4998022792598477,0.0,0.49962947547380804,0.0,0.5052947487393287,0.0,0.5000667303019672,0.0,0.530568998169545,1.0,0.012724165709588378,0.0,0.5009110931060298,0.0,0.504708139203152,0.0,0.4993732546814511,0.0,0.4999576212591815,0.0,0.5051521392049021,0.0,0.5086609936431651,0.0,0.5015600084953948,0.0,0.5042242312814165,0.0,0.5040668279014527
S-CPI_n,300,4.630304336547852,0.8777064865993074,0.0,0.4946925636345307,0.0,0.4840052149114842,0.0,0.5457216919878196,0.0,0.5174403497747866,0.0,0.4956775216553291,0.0,0.4681074834104261,0.0,0.5318464266260058,0.0,0.5897255430499906,0.0,0.4677961377640736,0.0,0.5712565927823112,0.0,0.49317712643456274,0.0,0.5016167510137464,0.0,0.5309600889987288,0.0,0.5100789868380801,0.0,0.4378802060703726,0.0,0.5168945639885646,0.0,0.49312142038228923,0.0,0.5277704400658659,0.0,0.5063990836938665,0.0,0.5248610339556455,0.0,0.49372701305703665,0.0,0.4872455921479657,0.0,0.4837996040858281,0.0,0.5107851305363503,0.0,0.505739445549079,0.0,0.4782245943929232,0.0,0.5672307222653412,0.0,0.5545902395628886,0.0,0.5238762882364068,0.0,0.5107596139055152,0.0,0.49543635862994356,0.0,0.4918345712243661,0.0,0.45688962612688433,0.0,0.5159309265111772,0.0,0.47992434852237914,0.0,0.5100687896235322,0.0,0.4987605595499322,0.0,0.5597297669396383,0.0,0.4919056165841259,0.0,0.6880432885229616,1.0,0.0001836653029041455,0.0,0.5038567522776157,0.0,0.5509894960778564,0.0,0.5135807368683374,0.0,0.5005048152457849,0.0,0.5422686517405946,0.0,0.5707841082708678,0.0,0.5156364597993534,0.0,0.5428971905822945,0.0,0.5319433771979958
S-CPI_bt,300,4.820911884307861,0.8777064865993074,0.0,0.524125654828986,0.0,0.4648029030255712,0.0,0.553296595110397,0.0,0.5055977774687486,0.0,0.49022467213192444,0.0,0.4623869000147225,0.0,0.5444010645272103,0.0,0.6268000751091384,0.0,0.5267721707158791,0.0,0.6120757786796408,0.0,0.49057952966563817,0.0,0.5028614074819858,0.0,0.5127610114389315,0.0,0.5132659221738364,0.0,0.408586647792762,0.0,0.5346200888889352,0.0,0.49090929578975984,0.0,0.48185979560178305,0.0,0.5221029587972904,0.0,0.5269533870893598,0.0,0.4963817705398631,0.0,0.4841736679044779,0.0,0.4771912707560064,0.0,0.5035736919169153,0.0,0.5305699103154656,0.0,0.4879543167459783,0.0,0.5512959037410712,0.0,0.5514905592824173,0.0,0.5380529647837107,0.0,0.5171671253553876,0.0,0.5151591471362722,0.0,0.501087262037467,0.0,0.4515464190834029,0.0,0.5010617017872312,0.0,0.4777658632915097,0.0,0.4943327044842936,0.0,0.4597924238648985,0.0,0.5868612064980461,0.0,0.5128933668700069,0.0,0.7511777915467452,1.0,1.2010450995964535e-50,0.0,0.5029694825946046,0.0,0.5740823030564899,0.0,0.5037346882368737,0.0,0.49911753550076043,0.0,0.546436886680749,0.0,0.5906723053665793,0.0,0.5088964282571202,0.0,0.5544717262928728,0.0,0.5440193037623283
