method,n,tr_time,r2_test,tr_V0,pval0,tr_V1,pval1,tr_V2,pval2,tr_V3,pval3,tr_V4,pval4,tr_V5,pval5,tr_V6,pval6,tr_V7,pval7,tr_V8,pval8,tr_V9,pval9,tr_V10,pval10,tr_V11,pval11,tr_V12,pval12,tr_V13,pval13,tr_V14,pval14,tr_V15,pval15,tr_V16,pval16,tr_V17,pval17,tr_V18,pval18,tr_V19,pval19,tr_V20,pval20,tr_V21,pval21,tr_V22,pval22,tr_V23,pval23,tr_V24,pval24,tr_V25,pval25,tr_V26,pval26,tr_V27,pval27,tr_V28,pval28,tr_V29,pval29,tr_V30,pval30,tr_V31,pval31,tr_V32,pval32,tr_V33,pval33,tr_V34,pval34,tr_V35,pval35,tr_V36,pval36,tr_V37,pval37,tr_V38,pval38,tr_V39,pval39,tr_V40,pval40,tr_V41,pval41,tr_V42,pval42,tr_V43,pval43,tr_V44,pval44,tr_V45,pval45,tr_V46,pval46,tr_V47,pval47,tr_V48,pval48,tr_V49,pval49
LOCO-W,300,129.99523973464966,0.8976882589526715,0.0,0.4835661362385727,0.0,0.484443840775298,0.0,0.7442995691463592,0.0,0.6695891989717917,0.0,0.7383223766683669,0.0,0.8434170909777596,0.0,0.123273275467781,0.0,0.5971700968434213,1.0,0.0,0.0,0.15209359240414,0.0,0.9433424430926911,0.0,0.7633167857750851,0.0,0.5361158064807456,0.0,0.018339079417748927,0.0,0.029695991769556396,0.0,0.20150853095965693,0.0,0.0018769031437270156,0.0,0.9076352373287592,0.0,0.26325270460892103,0.0,0.038507858487867974,0.0,0.9563856989014452,0.0,0.24782470674425272,0.0,0.8570987905447541,0.0,0.012635429593377046,0.0,0.9019096284890427,0.0,0.9609214157901652,0.0,0.9637984820605658,0.0,0.04087898320047412,0.0,0.028565291315419516,0.0,0.07098166160279684,0.0,0.9999854513511017,0.0,0.7201039378726912,0.0,0.18702393247277072,0.0,0.4258925380188816,0.0,0.01362730792364153,0.0,0.9354350278824589,0.0,0.991589196892698,0.0,0.12974316814665166,0.0,0.008120120184153201,0.0,0.6993977402183349,0.0,0.47543627095401364,0.0,0.9806996831227833,0.0,0.5969621091507149,0.0,0.8974051641463816,0.0,0.9101296731126265,0.0,0.9955018899529944,0.0,0.07849076882868888,0.0,0.2601452338526725,0.0,0.9995809223450272,0.0,0.23917393340638848
CPI,300,6.488814115524292,0.8976882589526715,0.0,0.5844403392564851,0.0,0.9461354440443958,0.0,0.3065336796088231,0.0,0.45969801989852466,0.0,0.7805182846377823,0.0,0.01644893486876537,0.0,0.05354361654047992,0.0,0.7099069323098326,1.0,1.6836774672506012e-09,0.0,0.9053615092242031,0.0,0.050593585406867286,0.0,0.9709616017856371,0.0,0.15533608385757008,0.0,0.8261595373329641,0.0,0.7868291476841007,0.0,0.020222342563729387,0.0,0.8560545314329515,0.0,0.07221192954345886,0.0,0.8655789913527281,0.0,0.8908665895020957,0.0,0.0337233568446061,0.0,0.9144201514933814,0.0,0.9262330280877686,0.0,0.29520826624702484,0.0,0.5334155394687969,0.0,0.32459735030999703,0.0,0.9039266611599809,0.0,0.4917693919307633,0.0,0.7380379559694307,0.0,0.5789175265893522,0.0,0.191217782644045,0.0,0.7262907046922393,0.0,0.0858225503869558,0.0,0.2096302346418077,0.0,0.7189149474994947,0.0,0.3221736447272055,0.0,0.7341728096003712,0.0,0.7822949262818981,0.0,0.64980500395212,0.0,0.4060114737348101,0.0,0.12606210233183934,0.0,0.8243023358278083,0.0,0.20590590965429717,0.0,0.6448828658799322,0.0,0.5497527988066916,0.0,0.4899195909696285,0.0,0.8430608763621723,0.0,0.7063347169574531,0.0,0.27270063089752844,0.0,0.7242257344310772
CPI_sqrt,300,6.486209392547607,0.8976882589526715,0.0,0.4990332076296979,0.0,0.5033024375295039,0.0,0.49793395850822636,0.0,0.5001687905087545,0.0,0.5025989208153739,0.0,0.4986966031370921,0.0,0.49990105915138094,0.0,0.5001661440004589,1.0,0.0006565448039395604,0.0,0.5013790793304098,0.0,0.49891923196885674,0.0,0.5009221368456258,0.0,0.49876650766191705,0.0,0.5024778196898171,0.0,0.4996317360578027,0.0,0.49963824739979773,0.0,0.49985803433397996,0.0,0.4994311421876116,0.0,0.5004826169182298,0.0,0.5003146314895823,0.0,0.49923495544788765,0.0,0.5004065717035183,0.0,0.5014978780750482,0.0,0.5003198692255248,0.0,0.4993348231657402,0.0,0.49946581446120736,0.0,0.5004299139539113,0.0,0.4996968024275374,0.0,0.49934266121755705,0.0,0.5005004834250005,0.0,0.5002104766080406,0.0,0.5005993004396116,0.0,0.498563384375711,0.0,0.4994749023851432,0.0,0.502133345727292,0.0,0.49965690293533516,0.0,0.500220198523647,0.0,0.4997947904491429,0.0,0.5004054692840999,0.0,0.49992172484734093,0.0,0.5001568432470015,0.0,0.5001057914596848,0.0,0.5009318685895797,0.0,0.4914542505733312,0.0,0.5004191350588404,0.0,0.501241275703383,0.0,0.5001610368067029,0.0,0.5004497707420903,0.0,0.4995400113600925,0.0,0.5006640685923128
CPI_n,300,6.5016233921051025,0.8976882589526715,0.0,0.4944138762297975,0.0,0.5110182543340938,0.0,0.4892351992505366,0.0,0.4947220802644051,0.0,0.5335110384527283,0.0,0.5070868803071967,0.0,0.48669916496492904,0.0,0.5048756850547642,1.0,6.3551030023430255e-06,0.0,0.522704735918251,0.0,0.5001231006239918,0.0,0.515759762669021,0.0,0.4952496245238205,0.0,0.5419897099583056,0.0,0.5035824427063443,0.0,0.494935421347632,0.0,0.49778664877364814,0.0,0.5239964931550839,0.0,0.5100026054629099,0.0,0.5121531350052788,0.0,0.49135823110428134,0.0,0.505462785175638,0.0,0.537861617919136,0.0,0.49892283511807384,0.0,0.5017130625157189,0.0,0.5062031244859629,0.0,0.503158754619248,0.0,0.5027836883624667,0.0,0.5118781362177578,0.0,0.5065036793050673,0.0,0.5004240248289796,0.0,0.5034390770020482,0.0,0.4933752661169515,0.0,0.4990960523732114,0.0,0.5192483722370679,0.0,0.49914097528239276,0.0,0.5069437455296453,0.0,0.5022062696664813,0.0,0.5037009363709771,0.0,0.5008794164530956,0.0,0.5064091337147435,0.0,0.49699305989776693,0.0,0.48978015322785246,0.0,0.5715109646943561,0.0,0.5006501716760857,0.0,0.5213841600791009,0.0,0.5014223512636831,0.0,0.5161802517610335,0.0,0.4969351255798023,0.0,0.49874042401864016
CPI_bt,300,6.6848602294921875,0.8976882589526715,0.0,0.4971709346765975,0.0,0.5241098819047729,0.0,0.4921191510329512,0.0,0.5104883967670222,0.0,0.5120383912370536,0.0,0.4874605243190672,0.0,0.488916839081419,0.0,0.4930794341757807,1.0,4.588234314669377e-71,0.0,0.5040138161273318,0.0,0.48848456147546065,0.0,0.4928027119321165,0.0,0.4939458206141366,0.0,0.5196671970341782,0.0,0.512148419049362,0.0,0.5012429178559797,0.0,0.5009824246540336,0.0,0.48963058299324164,0.0,0.508150494930535,0.0,0.4932035528819065,0.0,0.49172242671410693,0.0,0.5080080639286857,0.0,0.5136594512029725,0.0,0.5004114308801046,0.0,0.49866815673605597,0.0,0.5052989985507008,0.0,0.5181275885900213,0.0,0.49853630995479964,0.0,0.5028478323086337,0.0,0.5106126138546075,0.0,0.502222094585842,0.0,0.5036823177353486,0.0,0.49040228213446757,0.0,0.49706749316393517,0.0,0.502641435120933,0.0,0.49400820202305556,0.0,0.504908543422189,0.0,0.5012104754120851,0.0,0.5007490569327715,0.0,0.4976885823242378,0.0,0.4944022928017072,0.0,0.49591838747460415,0.0,0.5023696409812821,0.0,0.5058688780488487,0.0,0.49915090559577374,0.0,0.5130308852621709,0.0,0.549736670771016,0.0,0.508021513577422,0.0,0.4892709576643333,0.0,0.49874423688870373
CPI_sqd,300,6.682012319564819,0.8976882589526715,0.0,0.8878475711557142,0.0,0.9780151660283425,0.0,0.4443794453260538,0.0,0.7479523717354258,0.0,0.9999999415045774,0.0,2.6786431351057545e-05,0.0,0.040274443619514634,0.0,0.9999999905602165,1.0,3.265151821007281e-283,0.0,0.9997786468617871,0.0,0.012081527136360199,0.0,0.9987697072609707,0.0,0.4649864999000204,0.0,0.9999999999999983,0.0,0.17275816448948605,0.0,0.6645909568654427,0.0,0.9999999981502655,0.0,0.6871181920848652,0.0,0.2911291626150356,0.0,0.9614459412085378,0.0,0.23202432175873805,0.0,0.9259277350065465,0.0,0.001474158414796691,0.0,0.12823074742171414,0.0,0.41553405717167885,0.0,0.3605880283010951,0.0,0.9999982931689041,0.0,0.0018872691764986412,0.0,0.9999837551622476,0.0,0.9958933918994749,0.0,0.4939558251833708,0.0,0.9996638895560789,0.0,0.7789174928722691,0.0,3.163850105223886e-05,0.0,0.963753094682379,0.0,0.6576060841842526,0.0,0.23870662911147617,0.0,0.19370971891360445,0.0,0.2554587506225242,0.0,0.4620846130660687,0.0,0.018495254322157963,0.0,0.25222752781708424,0.0,0.9722086580857472,0.0,0.7036883333778525,0.0,0.0019419339434254815,0.0,0.9574463369229005,0.0,0.6528251890321645,0.0,0.9980765344542089,0.0,0.04724344946534891,0.0,0.6656858265362657
S-CPI,300,18.96058964729309,0.8976882589526715,0.0,0.6334858720603009,0.0,0.9682830491411054,0.0,0.2468959887708549,0.0,0.46486032746621425,0.0,0.9272913697799556,0.0,0.07694805770397206,0.0,0.04454699246940887,0.0,0.9067048227597059,1.0,0.0008593204205437626,0.0,0.47578610597791904,0.0,0.1319963854727752,0.0,0.8658845836309443,0.0,0.2795783825303845,0.0,0.9320292594703807,0.0,0.8380156233527836,0.0,0.11051606636471911,0.0,0.842856740710875,0.0,0.560471185684293,0.0,0.733024166273374,0.0,0.8415911636768807,0.0,0.03651303507200705,0.0,0.9492561938974834,0.0,0.9146885963515029,0.0,0.40579471036640813,0.0,0.49893732958263776,0.0,0.8654182839889286,0.0,0.8949336660143583,0.0,0.42774896415842545,0.0,0.815485452740278,0.0,0.9936963673368038,0.0,0.6562237683453478,0.0,0.8204410930535337,0.0,0.07994564679978944,0.0,0.2336876588301387,0.0,0.9175215366459055,0.0,0.3276105944910124,0.0,0.9304582706873746,0.0,0.5853314505023663,0.0,0.6649346114490245,0.0,0.2587493645675796,0.0,0.20828692247021235,0.0,0.573421324953167,0.0,0.5900496073635639,0.0,0.6591803182393099,0.0,0.5210771853943932,0.0,0.9912994404690414,0.0,0.8418385023715195,0.0,0.6212963277203664,0.0,0.017368387141736424,0.0,0.638441630161742
S-CPI_sqrt,300,18.961228370666504,0.8976882589526715,0.0,0.49968820560338734,0.0,0.5047168954246617,0.0,0.4989866857613177,0.0,0.5003987300199623,0.0,0.5047191556222247,0.0,0.4979848699980448,0.0,0.4990850685890375,0.0,0.5014619035741619,1.0,0.001524701468286033,0.0,0.5010683652811884,0.0,0.4998347117916929,0.0,0.5002420254011011,0.0,0.498493250932943,0.0,0.5034405156225268,0.0,0.5014113144456017,0.0,0.499817357786156,0.0,0.5008726509926212,0.0,0.49959552656548273,0.0,0.5012253513977936,0.0,0.5026027891597358,0.0,0.49853287960143755,0.0,0.5014814229469633,0.0,0.5020312551997069,0.0,0.4998393020247981,0.0,0.49883413595140236,0.0,0.5005519578625774,0.0,0.5028577797420942,0.0,0.49990156573559896,0.0,0.5019169263915476,0.0,0.5019611285592632,0.0,0.5006304312379769,0.0,0.5011595316513421,0.0,0.4983077060684573,0.0,0.49783855099349894,0.0,0.5028961966400574,0.0,0.4991299751623088,0.0,0.5010614630482765,0.0,0.5004786293692626,0.0,0.5000106700230851,0.0,0.49924620096510713,0.0,0.4990545256025818,0.0,0.5000659108736835,0.0,0.4998618783757903,0.0,0.5020216718525342,0.0,0.5000561385052317,0.0,0.5017340385466212,0.0,0.5043899850343051,0.0,0.5008422328176845,0.0,0.4980543837992086,0.0,0.5008946702324557
S-CPI_n,300,18.95769214630127,0.8976882589526715,0.0,0.5063619179268933,0.0,0.5326582242260105,0.0,0.48809890545116774,0.0,0.5016658131321459,0.0,0.5382317655999658,0.0,0.4773747950916072,0.0,0.47986045162761554,0.0,0.5252720941031398,1.0,0.000248923763146131,0.0,0.498676611295183,0.0,0.5136145955817489,0.0,0.5051346240553171,0.0,0.48155544054952787,0.0,0.5356378236763589,0.0,0.514147836876998,0.0,0.49426211711338797,0.0,0.5272510312568961,0.0,0.4999802675674814,0.0,0.50663813424746,0.0,0.5132222958373186,0.0,0.48761061639432335,0.0,0.5185312069608834,0.0,0.5362497025939363,0.0,0.4987669542766179,0.0,0.49370152535664585,0.0,0.5041020333783106,0.0,0.5298406083996756,0.0,0.4940596710686228,0.0,0.523066387707146,0.0,0.5099003530319868,0.0,0.5029027002415405,0.0,0.504432792856671,0.0,0.48579606949202275,0.0,0.4819528542141385,0.0,0.5198195214979333,0.0,0.492576445137599,0.0,0.5133773611329485,0.0,0.507761708524725,0.0,0.4997792064778525,0.0,0.49258061372686046,0.0,0.49473844485668117,0.0,0.49901719102938197,0.0,0.494666580681436,0.0,0.5668924069440098,0.0,0.49699266101859546,0.0,0.5240544070632087,0.0,0.5370075113579573,0.0,0.507528737786263,0.0,0.4844418281268732,0.0,0.5068525127188098
S-CPI_bt,300,19.16827130317688,0.8976882589526715,0.0,0.5013485784899332,0.0,0.5470781180259002,0.0,0.47885030357101765,0.0,0.49657709581719944,0.0,0.5279248856387914,0.0,0.4870451912204986,0.0,0.48677726696638035,0.0,0.5212200699422069,1.0,2.190640085123492e-50,0.0,0.5086108020845196,0.0,0.5013537341120816,0.0,0.5126140405186282,0.0,0.4800410119266256,0.0,0.5332714862594023,0.0,0.5000445032968289,0.0,0.4977682954945978,0.0,0.5264254480579122,0.0,0.5102605685656633,0.0,0.5076279189103217,0.0,0.5114701088576435,0.0,0.49148457799303336,0.0,0.513745631148612,0.0,0.5188292102163838,0.0,0.4984011319218847,0.0,0.49870833205975745,0.0,0.5050426129995078,0.0,0.526130610111791,0.0,0.5043302652984822,0.0,0.5091457228018494,0.0,0.5171314797732853,0.0,0.5083609852757436,0.0,0.5084623280987564,0.0,0.4785085275586074,0.0,0.4838808364412701,0.0,0.5158403218123351,0.0,0.4973478231640089,0.0,0.5133394354761348,0.0,0.5056304912502909,0.0,0.500871107245814,0.0,0.4960488852628212,0.0,0.49269198501548417,0.0,0.498205852903132,0.0,0.4939452487559449,0.0,0.5429949716390455,0.0,0.4950989157557368,0.0,0.5252165421628969,0.0,0.5131222095427456,0.0,0.5092832089354886,0.0,0.4876108962841966,0.0,0.501247418414647
