method,n,tr_time,r2_test,tr_V0,pval0,tr_V1,pval1,tr_V2,pval2,tr_V3,pval3,tr_V4,pval4,tr_V5,pval5,tr_V6,pval6,tr_V7,pval7,tr_V8,pval8,tr_V9,pval9,tr_V10,pval10,tr_V11,pval11,tr_V12,pval12,tr_V13,pval13,tr_V14,pval14,tr_V15,pval15,tr_V16,pval16,tr_V17,pval17,tr_V18,pval18,tr_V19,pval19,tr_V20,pval20,tr_V21,pval21,tr_V22,pval22,tr_V23,pval23,tr_V24,pval24,tr_V25,pval25,tr_V26,pval26,tr_V27,pval27,tr_V28,pval28,tr_V29,pval29,tr_V30,pval30,tr_V31,pval31,tr_V32,pval32,tr_V33,pval33,tr_V34,pval34,tr_V35,pval35,tr_V36,pval36,tr_V37,pval37,tr_V38,pval38,tr_V39,pval39,tr_V40,pval40,tr_V41,pval41,tr_V42,pval42,tr_V43,pval43,tr_V44,pval44,tr_V45,pval45,tr_V46,pval46,tr_V47,pval47,tr_V48,pval48,tr_V49,pval49
LOCO-W,300,824.785383939743,0.8999626840566654,0.0,0.29315660977108227,0.0,0.9601528293430039,0.0,0.00016550502375667353,1.0,0.0,0.0,0.06341981833372767,0.0,0.6825270141551757,0.0,0.9995799063963496,0.0,3.1382265869295267e-06,0.0,0.7922665049698645,0.0,1.2226338753418275e-05,0.0,0.9994700100606697,0.0,0.5121821467653548,0.0,6.32887317384423e-05,0.0,0.24117538362912616,0.0,0.9993300593803516,0.0,0.0002804273056450368,0.0,0.9986554272334209,0.0,0.003669678836891177,0.0,0.9938012249231604,0.0,0.9999996718268334,0.0,0.245883628350276,0.0,0.8940021270892249,0.0,0.8444975884557596,0.0,0.0038882306002531175,0.0,1.7129770557566815e-07,0.0,0.5609686506795729,0.0,0.9946325038472574,0.0,0.0002225768481975976,0.0,0.06446845363136777,0.0,0.9235830406480943,0.0,0.29177462330529624,0.0,1.6557850401888174e-07,0.0,0.0005847202037596588,0.0,3.786434586228182e-05,0.0,0.37110492473869117,0.0,0.17609556811204619,0.0,0.9929765128068505,0.0,0.8456964017017812,0.0,0.40209117833827435,0.0,0.0013231018838613107,0.0,0.4295372755999207,0.0,0.8594091775611186,0.0,0.9250468373008647,0.0,0.9097879549592232,0.0,0.9988729900123253,0.0,0.1756307594015759,0.0,0.9345785404051695,0.0,0.3512803065923792,0.0,0.9883724405548695,0.0,0.9204693756322069
CPI,300,15.45530891418457,0.8999626840566654,0.0,0.7667977389248049,0.0,0.2654434501466848,0.0,0.4789179706378784,1.0,2.1048437524434335e-05,0.0,0.6912909981903367,0.0,0.20382183661492376,0.0,0.6850400373506004,0.0,0.7732141910032092,0.0,0.7078999310863539,0.0,0.5046586868611694,0.0,0.49027860246339555,0.0,0.11745793473050326,0.0,0.9605703974645587,0.0,0.6561120606971064,0.0,0.4196318641200981,0.0,0.045653914595245426,0.0,0.2271506120728901,0.0,0.42638295900420164,0.0,0.8494353532917838,0.0,0.8450225718749528,0.0,0.9798023499021382,0.0,0.7485021166437277,0.0,0.13381830202161726,0.0,0.332508674578731,0.0,0.2477166036921818,0.0,0.11672425812500692,0.0,0.2955055271018591,0.0,0.766428247044067,0.0,0.9948682224039884,0.0,0.9120614854618673,0.0,0.21128378262106667,0.0,0.5162727847784045,0.0,0.9053612574269847,0.0,0.7475521369235962,0.0,0.7426541313093219,0.0,0.6263215600419747,0.0,0.4331471948714057,0.0,0.9720049032848352,0.0,0.7758734736972398,0.0,0.600748139256774,0.0,0.9468500575683608,0.0,0.22092279001472792,0.0,0.8821082307482753,0.0,0.5980338379029829,0.0,0.15748828183166236,0.0,0.39147218482339563,0.0,0.6454667407657593,0.0,0.16159772851648913,0.0,0.135725213172101,0.0,0.05855118999414943
CPI_sqrt,300,15.463396310806274,0.8999626840566654,0.0,0.5007390125160707,0.0,0.49970986989123195,0.0,0.49966183574164286,1.0,0.013660912327852028,0.0,0.49996792463482326,0.0,0.4992019210366121,0.0,0.4997372929945923,0.0,0.5007156156808992,0.0,0.4996659857774156,0.0,0.499426650781038,0.0,0.5011479607964233,0.0,0.49871412638189244,0.0,0.5053186531171202,0.0,0.5008936229685736,0.0,0.5003911749737804,0.0,0.4976608387706951,0.0,0.5015325945978779,0.0,0.4997144315785759,0.0,0.5006432953428525,0.0,0.4993052930781038,0.0,0.5005732376004524,0.0,0.5003340110605018,0.0,0.4963451604531824,0.0,0.4999867061711096,0.0,0.49961177633089343,0.0,0.4988483293653057,0.0,0.4997957170475075,0.0,0.5002970171825938,0.0,0.5007896357739116,0.0,0.49913158178576844,0.0,0.49944438972895183,0.0,0.4998314543370763,0.0,0.4999594114841065,0.0,0.5003774495702532,0.0,0.5026583786129605,0.0,0.5008389709544369,0.0,0.49925976801347954,0.0,0.5006782094253533,0.0,0.5016957649073011,0.0,0.49955027056026113,0.0,0.5000580533301864,0.0,0.4994564344756149,0.0,0.5003583443212156,0.0,0.5002616642509318,0.0,0.49877091105652416,0.0,0.500139151603706,0.0,0.4995591708660096,0.0,0.4973782098878553,0.0,0.4995832725980598,0.0,0.4990770234318534
CPI_n,300,15.473583459854126,0.8999626840566654,0.0,0.49606837724707625,0.0,0.4884402781854408,0.0,0.49789083128165135,1.0,5.379495460830137e-05,0.0,0.5024604364903377,0.0,0.5021490158570381,0.0,0.5063924045209837,0.0,0.5117853470454513,0.0,0.5000979372313734,0.0,0.5006700258160892,0.0,0.5079004751487097,0.0,0.4923162291590196,0.0,0.5443728638949408,0.0,0.497070790853573,0.0,0.5136109657179395,0.0,0.4905731845481434,0.0,0.445542011167088,0.0,0.49555459031742216,0.0,0.49524200398186546,0.0,0.49705753045946893,0.0,0.5054616552448206,0.0,0.5048479119158626,0.0,0.47766502739131506,0.0,0.49750510371588996,0.0,0.5142096911689121,0.0,0.4776971358423172,0.0,0.5031284458888653,0.0,0.5031330291550941,0.0,0.5173882129806066,0.0,0.5189499529329985,0.0,0.5082105690586791,0.0,0.5042077326287784,0.0,0.4974263211790869,0.0,0.4981349032720217,0.0,0.5343115363893064,0.0,0.5150407834563867,0.0,0.5051723753091483,0.0,0.5118074528933176,0.0,0.5006374873641067,0.0,0.5007261276554545,0.0,0.5080768763093592,0.0,0.4883606769306607,0.0,0.5040871543949936,0.0,0.505507510536569,0.0,0.4869185486887902,0.0,0.4979390056014458,0.0,0.4871592914356032,0.0,0.5396452105665571,0.0,0.4911325303500192,0.0,0.5013977550406326
CPI_bt,300,15.630732297897339,0.8999626840566654,0.0,0.49543910073366626,0.0,0.496801082501118,0.0,0.4947320038412158,1.0,1.4761385640078855e-90,0.0,0.48913286951491863,0.0,0.5108751532769044,0.0,0.5014391893756587,0.0,0.5156399713459684,0.0,0.4959360963515513,0.0,0.4951619571455091,0.0,0.5206644221602288,0.0,0.4883061499926905,0.0,0.5134505576983618,0.0,0.5062940829322733,0.0,0.49920087004938574,0.0,0.4736521716733291,0.0,0.4565222947464108,0.0,0.5083812358843542,0.0,0.5097698320448417,0.0,0.48467278365691757,0.0,0.5032611884443099,0.0,0.5039616801235853,0.0,0.45523358806839864,0.0,0.4992105780522985,0.0,0.5236775864826794,0.0,0.4919752964419845,0.0,0.5016195757379253,0.0,0.5000489609834236,0.0,0.5084862137638682,0.0,0.5350976867215147,0.0,0.49249666382183077,0.0,0.5017899940002974,0.0,0.4984536577743549,0.0,0.49852827934376204,0.0,0.5279737780008408,0.0,0.4951972893390035,0.0,0.49825229658321557,0.0,0.5304502219789955,0.0,0.508189747098943,0.0,0.5001495996031605,0.0,0.506855272460506,0.0,0.49445841129945456,0.0,0.503738112850758,0.0,0.49742906657516245,0.0,0.485812360751586,0.0,0.49697646852102234,0.0,0.4935286998897827,0.0,0.5040916513684375,0.0,0.49741221427130794,0.0,0.4933486617979054
CPI_sqd,300,15.693783283233643,0.8999626840566654,0.0,0.9996737555718396,0.0,0.07941364490423353,0.0,0.4550767200938673,1.0,0.0,0.0,0.7764999502369663,0.0,0.7028480060888009,0.0,0.6430619926781259,0.0,0.9829532772151547,0.0,0.21818474133325177,0.0,0.40248925586724027,0.0,0.8361176376707136,0.0,0.55777202487611,0.0,0.9999999999999286,0.0,0.01418745956775575,0.0,0.0007138049658853695,0.0,7.499264329458565e-07,0.0,0.00442070137962896,0.0,0.008364203594301171,0.0,0.9998615242174616,0.0,0.24291014656353932,0.0,0.750333092097205,0.0,0.7591523636005192,0.0,5.081301698568093e-07,0.0,0.6972584970543133,0.0,0.5423782147451951,0.0,0.5159957969862747,0.0,0.9999998274375236,0.0,0.3202638469126072,0.0,0.6773074109534989,0.0,0.9999740452437305,0.0,0.05002841463462887,0.0,0.8992012422772919,0.0,0.3757735331839037,0.0,0.30262205825908384,0.0,0.99756720925053,0.0,0.9962187125002337,0.0,1.3964835508187696e-05,0.0,0.9946739000856212,0.0,3.0490301720112143e-05,0.0,0.07712868227475014,0.0,0.8284723363968397,0.0,0.04221113853967432,0.0,0.999995326401953,0.0,0.803228404048391,0.0,0.003292035836080248,0.0,0.031369399196182694,0.0,0.1899854976358385,0.0,0.9075848520431222,0.0,0.00024146383507750655,0.0,0.15436126611323847
S-CPI,300,27.375787496566772,0.8999626840566654,0.0,0.7824741894559247,0.0,0.1952877071377061,0.0,0.23577332671854417,1.0,0.0005955002137195484,0.0,0.6552652791947684,0.0,0.4762037401136774,0.0,0.6049194019985527,0.0,0.9265314391748363,0.0,0.5382010855762371,0.0,0.7805817897509706,0.0,0.74084817546116,0.0,0.12269143253728415,0.0,0.9761641644817824,0.0,0.46031900420320593,0.0,0.6403866278571415,0.0,0.03934705779268821,0.0,0.5209765035667371,0.0,0.6699786233788817,0.0,0.6876856919733392,0.0,0.10808530823053752,0.0,0.9404559267169623,0.0,0.8602442904396395,0.0,0.02522085683374046,0.0,0.4950846625372728,0.0,0.9012269688049348,0.0,0.023205367069153382,0.0,0.7176583661693371,0.0,0.7537927067733319,0.0,0.7951709790894491,0.0,0.779495284803734,0.0,0.07189565056862324,0.0,0.8330435797019649,0.0,0.5290285740311959,0.0,0.3773009922718643,0.0,0.7842690678161826,0.0,0.696264790535039,0.0,0.30303812361405713,0.0,0.9430670185908777,0.0,0.7574663340273236,0.0,0.18741949768833288,0.0,0.695496782662184,0.0,0.06411065709582842,0.0,0.9473988012845578,0.0,0.4435678822127246,0.0,0.13607856400331536,0.0,0.45791706204468874,0.0,0.29022361081033665,0.0,0.3590973513633059,0.0,0.2800981777788762,0.0,0.1183379539850068
S-CPI_sqrt,300,27.350115299224854,0.8999626840566654,0.0,0.49989123978714983,0.0,0.4987432748861576,0.0,0.4998383949286787,1.0,0.013852812110685769,0.0,0.5003039620363703,0.0,0.5005418561910077,0.0,0.4997235940715619,0.0,0.5024992349664169,0.0,0.49991657931294703,0.0,0.5007188341984887,0.0,0.5008316762132758,0.0,0.4989729829260478,0.0,0.5037227644068463,0.0,0.49944253037855574,0.0,0.5009005645871338,0.0,0.4950926620598476,0.0,0.4965602137393838,0.0,0.5012424754956044,0.0,0.5003939531572337,0.0,0.498672904873126,0.0,0.5004213634206431,0.0,0.5008091250067679,0.0,0.49536637170873604,0.0,0.49961448416692555,0.0,0.5034641608277886,0.0,0.4977422027255117,0.0,0.5011545446285921,0.0,0.5005480227640354,0.0,0.5011143551299292,0.0,0.504479925610417,0.0,0.4991520307916206,0.0,0.50036962659732,0.0,0.49967298408021543,0.0,0.5003028042255618,0.0,0.5022290309113399,0.0,0.5007112719886666,0.0,0.49926220157622553,0.0,0.5039398392615436,0.0,0.5015251950221572,0.0,0.49964118043736694,0.0,0.5000202710469193,0.0,0.498650655468405,0.0,0.5019219369544946,0.0,0.4997756758354779,0.0,0.49861732093749406,0.0,0.499912672400896,0.0,0.49967684616773317,0.0,0.5020112286049169,0.0,0.4992358879801526,0.0,0.4987171775194253
S-CPI_n,300,27.36433696746826,0.8999626840566654,0.0,0.4986543068458645,0.0,0.4914542954105687,0.0,0.5000884532789565,1.0,0.00012643961077792078,0.0,0.5031368654836623,0.0,0.5061709062889803,0.0,0.501135087563318,0.0,0.5166575780644531,0.0,0.502474817522853,0.0,0.5128730271268139,0.0,0.5062441041578472,0.0,0.48930566023857164,0.0,0.5481798661719737,0.0,0.4982582099466861,0.0,0.5139025138555022,0.0,0.45277675216238567,0.0,0.4860605880044885,0.0,0.5005116200614832,0.0,0.5056223104911486,0.0,0.49158410786919626,0.0,0.504671544797763,0.0,0.510889653339275,0.0,0.44560755165163735,0.0,0.500767579321046,0.0,0.5203593922729873,0.0,0.4827977556063232,0.0,0.49853781449790124,0.0,0.5027245352971413,0.0,0.5216713077135524,0.0,0.5241017140344776,0.0,0.4924334983761888,0.0,0.5029338024776852,0.0,0.49930642629798505,0.0,0.500669336942877,0.0,0.528348206162361,0.0,0.5021652493430147,0.0,0.49971708244913476,0.0,0.5233653695054336,0.0,0.5074530940559311,0.0,0.5011218348818337,0.0,0.5039593062801129,0.0,0.48963633509444315,0.0,0.5205444201835989,0.0,0.4993398673645902,0.0,0.4886024788130517,0.0,0.4925570669058035,0.0,0.49835367549326404,0.0,0.5176851247605301,0.0,0.49304697155766164,0.0,0.48634033164995516
S-CPI_bt,300,27.617417335510254,0.8999626840566654,0.0,0.5016821653632534,0.0,0.4924312314762231,0.0,0.505915085599049,1.0,1.0137822257735132e-111,0.0,0.5154702433791947,0.0,0.5027074895020908,0.0,0.5007413633570377,0.0,0.5201598258481408,0.0,0.49822519234237184,0.0,0.5064864211918294,0.0,0.5055024107736368,0.0,0.48414328864461864,0.0,0.5482719924179894,0.0,0.49876630912248976,0.0,0.5124258867282844,0.0,0.46196647752654885,0.0,0.4726557902480619,0.0,0.5018433475759944,0.0,0.5037919047199129,0.0,0.49366501621637426,0.0,0.506957933349183,0.0,0.5089107439859862,0.0,0.445172947243441,0.0,0.5014439085082625,0.0,0.5231022808033641,0.0,0.47922828371647924,0.0,0.5137319552107041,0.0,0.5056837715535887,0.0,0.5150288377227811,0.0,0.5239453729944328,0.0,0.4938286480334507,0.0,0.5003443757448133,0.0,0.4990523628299625,0.0,0.5042401558227789,0.0,0.5263461319459667,0.0,0.5136639433276338,0.0,0.4987386005530692,0.0,0.5365590832797349,0.0,0.5118114452490363,0.0,0.5056196172346474,0.0,0.504252381652588,0.0,0.49430181597323186,0.0,0.5246958500384882,0.0,0.48916957731123095,0.0,0.4858521534059545,0.0,0.494284200860355,0.0,0.4917274798179092,0.0,0.540086398765588,0.0,0.48681267112662313,0.0,0.4881220473461704
