method,n,tr_time,r2_test,tr_V0,pval0,tr_V1,pval1,tr_V2,pval2,tr_V3,pval3,tr_V4,pval4,tr_V5,pval5,tr_V6,pval6,tr_V7,pval7,tr_V8,pval8,tr_V9,pval9,tr_V10,pval10,tr_V11,pval11,tr_V12,pval12,tr_V13,pval13,tr_V14,pval14,tr_V15,pval15,tr_V16,pval16,tr_V17,pval17,tr_V18,pval18,tr_V19,pval19,tr_V20,pval20,tr_V21,pval21,tr_V22,pval22,tr_V23,pval23,tr_V24,pval24,tr_V25,pval25,tr_V26,pval26,tr_V27,pval27,tr_V28,pval28,tr_V29,pval29,tr_V30,pval30,tr_V31,pval31,tr_V32,pval32,tr_V33,pval33,tr_V34,pval34,tr_V35,pval35,tr_V36,pval36,tr_V37,pval37,tr_V38,pval38,tr_V39,pval39,tr_V40,pval40,tr_V41,pval41,tr_V42,pval42,tr_V43,pval43,tr_V44,pval44,tr_V45,pval45,tr_V46,pval46,tr_V47,pval47,tr_V48,pval48,tr_V49,pval49
LOCO-W,1000,250.10613775253296,0.3018595004229523,0.0,0.6861278551153369,0.0,0.8559227358877417,0.0,0.42518466732206406,0.0,0.4469580543658507,0.0,0.008705151833034108,1.0,0.10020610242157146,0.0,0.9187755198529726,0.0,0.23918288132761245,0.0,0.6867644139343209,0.0,0.0850774448568774,1.0,0.9448775516036729,1.0,0.16273556645364384,0.0,0.23899196197168504,0.0,0.5691907449580433,1.0,0.004602951427549851,1.0,0.06713865269071218,1.0,0.0013900491367879741,0.0,0.016309454761751274,0.0,0.8677191987845057,1.0,0.9584894700978497,0.0,0.35414349927603694,1.0,0.9999921655942106,1.0,0.45117137564482745,0.0,0.031336815383173566,1.0,0.1071494479009737,0.0,0.7877488767636314,0.0,0.06099193998146146,0.0,0.124244205230023,0.0,9.131661313732664e-05,0.0,0.8983707657028479,0.0,0.8699823439753561,0.0,0.9475478984002507,0.0,0.038651967686069044,0.0,0.178351833913446,0.0,0.0017775868110055937,0.0,0.02642404639615603,0.0,0.835221876515719,0.0,0.046673955692909774,0.0,0.0020555782114725085,0.0,0.6345969550689471,0.0,0.8187873422164318,1.0,0.7468005885942757,0.0,0.7243527081868264,1.0,0.46542277151303124,0.0,0.8652101072086247,0.0,0.7952813632229925,0.0,0.5537319006525041,0.0,0.8390740988079153,0.0,0.28735228937634016,0.0,0.8549652856262481
CPI,1000,12.106111288070679,0.3018595004229523,0.0,0.5856703645758623,0.0,0.7622944941363343,0.0,0.6269842667413673,0.0,0.5669989134427714,0.0,0.9444111882865905,1.0,0.031150036093843623,0.0,0.8413295754001604,0.0,0.29230788115568884,0.0,0.04121784703610892,0.0,0.1722296973195943,1.0,0.08457750014710591,1.0,0.21520224720430697,0.0,0.04071172688701477,0.0,0.3689850985523558,1.0,0.4139186090652587,1.0,0.04828937285121924,1.0,0.0628505393741856,0.0,0.022603036833799106,0.0,0.05684955022045285,1.0,0.004115625325499247,0.0,0.1343866450983366,1.0,0.09000090823025264,1.0,0.01759007477460278,0.0,0.9186087714491211,1.0,0.6915740731073012,0.0,0.5762388593289013,0.0,0.9166688025406694,0.0,0.9958605499839748,0.0,0.5616133943183291,0.0,0.09090700398893137,0.0,0.6265345077365007,0.0,0.5601681021872517,0.0,0.08733124904574391,0.0,0.9320894051740412,0.0,0.01949868251949206,0.0,0.7196709696116375,0.0,0.3256797392373698,0.0,0.20522294596448798,0.0,0.08594630013981286,0.0,0.4664621673926642,0.0,0.21700462385836855,1.0,0.08587246147449396,0.0,0.23642044037784832,1.0,0.0067784110395626195,0.0,0.744301043996837,0.0,0.09993725702485207,0.0,0.7840513462015131,0.0,0.431356920226549,0.0,0.7838181995049052,0.0,0.9453682422778478
CPI_sqrt,1000,12.010048151016235,0.3018595004229523,0.0,0.4259738916320177,0.0,0.5223868507115457,0.0,0.5439408430066043,0.0,0.4811187492897724,0.0,0.9158815591853042,1.0,0.5378482065640396,0.0,0.6901787062893147,0.0,0.37372307120273596,0.0,0.5128572626133759,0.0,0.24878069604444925,1.0,0.13539027595095326,1.0,0.3838190033013809,0.0,0.21748744606403242,0.0,0.5200324855272905,1.0,0.37242059249958853,1.0,0.016694805685104383,1.0,0.19193850010497415,0.0,0.37882453607091215,0.0,0.1591933188584131,1.0,0.04112859510990427,0.0,0.38429112640816876,1.0,0.3044562030934501,1.0,0.09176091976580159,0.0,0.4538294315315318,1.0,0.5222095514633583,0.0,0.34018443066284026,0.0,0.6689293636311933,0.0,0.8263681954548412,0.0,0.4609713560347658,0.0,0.5809491544589086,0.0,0.49904685377141567,0.0,0.4833292225871553,0.0,0.30178313520415057,0.0,0.4659710317170235,0.0,0.28637411673425084,0.0,0.5930541809336517,0.0,0.2967498187253687,0.0,0.3996732106856302,0.0,0.14406707615772946,0.0,0.31284835146957934,0.0,0.2965123847391798,1.0,0.08410068688955286,0.0,0.5158109858772656,1.0,0.054678752561678874,0.0,0.666155703266394,0.0,0.2523952167583621,0.0,0.6431880990396427,0.0,0.06654706424507452,0.0,0.47145487126302965,0.0,0.8649283239074012
CPI_n,1000,12.031236171722412,0.3018595004229523,0.0,0.2355910294793086,0.0,0.5202355517584808,0.0,0.49815858957188586,0.0,0.48435564313374574,0.0,0.758682280982262,1.0,0.05610379433950308,0.0,0.8563883295245018,0.0,0.4411041639866207,0.0,0.9241288473885588,0.0,0.41695617966740667,1.0,0.002106574778352977,1.0,0.5489361136615913,0.0,0.10794302094458835,0.0,0.4080494981799988,1.0,0.6193580719611044,1.0,0.0034335423973575426,1.0,0.04763799895108891,0.0,0.05849087974835044,0.0,0.013275841908883167,1.0,0.005440066597583455,0.0,0.8017181751174389,1.0,0.29939068916365486,1.0,0.08856612569046851,0.0,0.7870248404854572,1.0,0.26833566153535243,0.0,0.41654725813397114,0.0,0.9153946449492278,0.0,0.9880047439195968,0.0,0.812425861852461,0.0,0.2772190302354177,0.0,0.2954262123624477,0.0,0.6685799128250103,0.0,0.18883066733832077,0.0,0.8258798556325423,0.0,0.02404319052676726,0.0,0.4729217789332703,0.0,0.2782213788272856,0.0,0.07300884090453476,0.0,0.026518024274322708,0.0,0.12058202164949672,0.0,0.40916654788504114,1.0,0.09165334501719791,0.0,0.05310133079288527,1.0,0.019148708817549858,0.0,0.8079302353820788,0.0,0.21175879474608827,0.0,0.12060403103185408,0.0,0.623889402463489,0.0,0.5517206963492487,0.0,0.9276951703324099
CPI_bt,1000,13.090983152389526,0.3018595004229523,0.0,0.41922455874156245,0.0,0.2274120931880554,0.0,0.6789596775550972,0.0,0.3097935024460204,0.0,0.5602075827378727,1.0,0.3763637000967153,0.0,0.7287784890166527,0.0,0.36013522200823256,0.0,0.578623272920817,0.0,0.5505801972357158,1.0,0.48451107172181446,1.0,0.48468321432493955,0.0,0.18016184048401923,0.0,0.34542403509674446,1.0,0.44526145428600306,1.0,0.41853322588294495,1.0,0.4820632835234114,0.0,0.5546020684668175,0.0,0.49703492841687036,1.0,0.4379165704237049,0.0,0.15166152953934664,1.0,0.38687694860282,1.0,0.4022839105323048,0.0,0.8440346402972319,1.0,0.4645812263615363,0.0,0.38045753799886534,0.0,0.5916893833147981,0.0,0.33665995287599326,0.0,0.34649555498378276,0.0,0.44073952712777376,0.0,0.04775404951652602,0.0,0.9807235470244517,0.0,0.9422307014197111,0.0,0.999351885555236,0.0,0.2551796844781501,0.0,0.18275567600307735,0.0,0.37599366144785024,0.0,0.3105125146504909,0.0,0.27808394663287006,0.0,0.45227918647729265,0.0,0.49636451737192483,1.0,0.34626377317197443,0.0,0.23440331310273171,1.0,0.41620582045776133,0.0,0.515663611584501,0.0,0.42071180520430107,0.0,0.6876667490092787,0.0,0.43677730911822144,0.0,0.46208624552861755,0.0,0.6734392867238164
CPI_sqd,1000,13.076372385025024,0.3018595004229523,0.0,0.17336556156338684,0.0,0.9999663205021417,0.0,0.4609137408550922,0.0,0.1219287989359199,0.0,0.6833548723908733,1.0,0.47334499511140116,0.0,0.587484214324849,0.0,0.3993340256274418,0.0,0.7451913321900475,0.0,0.8216038144503874,1.0,0.4702069222395797,1.0,0.47889186276653206,0.0,0.1335624652338801,0.0,0.9329490430847324,1.0,0.49376970370435874,1.0,0.4324137446930604,1.0,0.4735374066410649,0.0,0.15496595634346488,0.0,0.3194222237385723,1.0,0.42097368827383697,0.0,0.18947500058114697,1.0,0.3594488946532338,1.0,0.3997739377114022,0.0,0.6431220269453963,1.0,0.5101276210344691,0.0,0.7154950378634055,0.0,0.9372289545831604,0.0,0.6183814897840858,0.0,0.3649546630392524,0.0,0.2790992180413203,0.0,0.30534248174952006,0.0,0.6136830432966558,0.0,0.3499774225789342,0.0,0.9987507583623945,0.0,0.1901726598813367,0.0,0.11077622123879882,0.0,0.23297837176318736,0.0,0.4534768151676233,0.0,0.25996485575725986,0.0,0.24958124683884453,0.0,0.24764080265978466,1.0,0.372463749203433,0.0,0.27112804821634184,1.0,0.3025932270534489,0.0,0.6445655889385798,0.0,0.5137075502142864,0.0,0.5782296525231875,0.0,0.4764514171470332,0.0,0.12807240419848853,0.0,0.5567356689313068
S-CPI,1000,12.670743227005005,0.3018595004229523,0.0,0.2899976192347858,0.0,0.4079797561953387,0.0,0.5281070081653618,0.0,0.1886864894680103,0.0,0.8367620498688905,1.0,0.5453936636994671,0.0,0.8881906191214146,0.0,0.25072588537793983,0.0,0.48988714328710314,0.0,0.29835601902949926,1.0,0.1269195460523488,1.0,0.7370901441214438,0.0,0.06982680051417556,0.0,0.6466466780373514,1.0,0.3322010390158482,1.0,0.009590095727001292,1.0,0.3939655920070806,0.0,0.12427065845611324,0.0,0.2404826153052705,1.0,0.10808136697119086,0.0,0.10400398956360313,1.0,0.1225911158970987,1.0,0.08156032532254198,0.0,0.9611489358571395,1.0,0.4630952801565376,0.0,0.5155042846718821,0.0,0.9631359507191664,0.0,0.9422047775806197,0.0,0.2597301164903897,0.0,0.5970051099773529,0.0,0.3391538759813354,0.0,0.8884366609505645,0.0,0.191083262385897,0.0,0.9000584068705741,0.0,0.05201151294700321,0.0,0.6224049993629982,0.0,0.31550907035342957,0.0,0.05099595125552834,0.0,0.02724258301907462,0.0,0.19235530289578473,0.0,0.739273074049131,1.0,0.04503613330715359,0.0,0.05590732344927903,1.0,0.027758449915118766,0.0,0.7007542467705068,0.0,0.4228277282667069,0.0,0.6868942873911813,0.0,0.18572601659014137,0.0,0.8380401226431892,0.0,0.9566872890525977
S-CPI_sqrt,1000,12.662719964981079,0.3018595004229523,0.0,0.3090637635524873,0.0,0.4686646320183524,0.0,0.4332841579062088,0.0,0.315979113137533,0.0,0.6767155835285994,1.0,0.4327653337530682,0.0,0.7166138519920084,0.0,0.5006371391026831,0.0,0.5862093445377176,0.0,0.613367318512434,1.0,0.18047472551784144,1.0,0.7763711381961123,0.0,0.20010939480268447,0.0,0.5500423439063603,1.0,0.36742504991498504,1.0,0.03902511266931514,1.0,0.3700471349598564,0.0,0.20079670035168917,0.0,0.21734439040394654,1.0,0.09052603171024592,0.0,0.21797240725439182,1.0,0.17080340591722004,1.0,0.09205915303474582,0.0,0.8082825919173849,1.0,0.5948795317814093,0.0,0.3227938118045055,0.0,0.7630731768157709,0.0,0.9072788266028032,0.0,0.4153591274792723,0.0,0.6200829705168995,0.0,0.503958093556949,0.0,0.6041679214457363,0.0,0.5227769677650513,0.0,0.6670193144289835,0.0,0.2363072176419171,0.0,0.3652894822185261,0.0,0.41540335591726146,0.0,0.09672739452454987,0.0,0.2063218848443124,0.0,0.33505585419811434,0.0,0.568604535149231,1.0,0.06818578685686398,0.0,0.2174753098250889,1.0,0.024397968092559747,0.0,0.6456450132668907,0.0,0.29783076720313395,0.0,0.5945684319356119,0.0,0.2128160343120032,0.0,0.6104723547726566,0.0,0.923131167569537
S-CPI_n,1000,12.658960580825806,0.3018595004229523,0.0,0.17076620795984204,0.0,0.32410993326603155,0.0,0.5056887801428581,0.0,0.22389939335413478,0.0,0.7770754091128604,1.0,0.41733655517147755,0.0,0.730125058599679,0.0,0.17816609386516152,0.0,0.6003739779756685,0.0,0.6574135095676701,1.0,0.07932182224021006,1.0,0.8917685078622959,0.0,0.0810280732996459,0.0,0.6588014740481917,1.0,0.571008354685943,1.0,0.019490823236972835,1.0,0.2242713880670552,0.0,0.08150567280543108,0.0,0.164998582437271,1.0,0.07260417386148854,0.0,0.02730246774632775,1.0,0.361583508704991,1.0,0.17921042549349614,0.0,0.947815248247225,1.0,0.6431675098058797,0.0,0.5239242419950549,0.0,0.8572166711374145,0.0,0.9508296827493835,0.0,0.5456764362270534,0.0,0.6038767328824581,0.0,0.48395253202302746,0.0,0.8273580638986435,0.0,0.26553266233142747,0.0,0.7832908763362968,0.0,0.06556497146100862,0.0,0.2418203322270424,0.0,0.30013081727761703,0.0,0.04863001419183838,0.0,0.04513790754888192,0.0,0.1893611154536396,0.0,0.7054523659266725,1.0,0.10441343951785709,0.0,0.10256041674020888,1.0,0.021255084221546764,0.0,0.7688516332448128,0.0,0.31780699308495663,0.0,0.6555290783358698,0.0,0.22709939840509075,0.0,0.7225186454386562,0.0,0.9769465572096155
S-CPI_bt,1000,13.72793197631836,0.3018595004229523,0.0,0.21137829500592942,0.0,0.47631612013101227,0.0,0.4950408567546257,0.0,0.1066477324445751,0.0,0.6269006211903712,1.0,0.4922517547647191,0.0,0.5632853861170355,0.0,0.08079350545619046,0.0,0.545174036439171,0.0,0.4784250542140816,1.0,0.43002414241469195,1.0,0.509354097050816,0.0,0.3372175679679696,0.0,0.5624374367047797,1.0,0.509333329715713,1.0,0.4699359646456037,1.0,0.49150457968585726,0.0,0.4236347945987848,0.0,0.3857805538910294,1.0,0.4774369945759496,0.0,0.27111449252236286,1.0,0.39482595574014623,1.0,0.38466562445108327,0.0,0.6655624864977561,1.0,0.5618674774103648,0.0,0.4944715970375865,0.0,0.7764148602842508,0.0,0.8206392063304522,0.0,0.32699393914733765,0.0,0.6143175084651966,0.0,0.29479365593268414,0.0,0.9047414858952253,0.0,0.5888128608834307,0.0,0.8893846708277688,0.0,0.27963403047062724,0.0,0.27924232605926114,0.0,0.36399256111385586,0.0,0.3045762730856661,0.0,0.22420096473244178,0.0,0.32630288687998904,0.0,0.6022503506037239,1.0,0.45165377627294945,0.0,0.2177476468122036,1.0,0.4437796247197988,0.0,0.6638910657603675,0.0,0.4368792952251133,0.0,0.5458449092525844,0.0,0.479647394499255,0.0,0.5767032309430099,0.0,0.5997839218594376
