method,n,tr_time,r2_test,tr_V0,pval0,tr_V1,pval1,tr_V2,pval2,tr_V3,pval3,tr_V4,pval4,tr_V5,pval5,tr_V6,pval6,tr_V7,pval7,tr_V8,pval8,tr_V9,pval9,tr_V10,pval10,tr_V11,pval11,tr_V12,pval12,tr_V13,pval13,tr_V14,pval14,tr_V15,pval15,tr_V16,pval16,tr_V17,pval17,tr_V18,pval18,tr_V19,pval19,tr_V20,pval20,tr_V21,pval21,tr_V22,pval22,tr_V23,pval23,tr_V24,pval24,tr_V25,pval25,tr_V26,pval26,tr_V27,pval27,tr_V28,pval28,tr_V29,pval29,tr_V30,pval30,tr_V31,pval31,tr_V32,pval32,tr_V33,pval33,tr_V34,pval34,tr_V35,pval35,tr_V36,pval36,tr_V37,pval37,tr_V38,pval38,tr_V39,pval39,tr_V40,pval40,tr_V41,pval41,tr_V42,pval42,tr_V43,pval43,tr_V44,pval44,tr_V45,pval45,tr_V46,pval46,tr_V47,pval47,tr_V48,pval48,tr_V49,pval49
LOCO-W,1000,241.00508666038513,0.18288095054456055,0.0,0.001244606493136291,0.0,0.9995456502045444,0.0,0.37132218665745287,1.0,0.5557315910117746,0.0,0.8498785297165972,0.0,0.9380005332444206,0.0,0.0023741804445923664,0.0,0.8300973852816196,0.0,0.0006664390471441406,1.0,0.7338892522754634,1.0,0.8106992748681889,0.0,0.3357324450336665,0.0,0.1382999449472525,0.0,0.12219392781983274,0.0,0.389020318810707,0.0,0.9887458763848476,0.0,0.8818061483820083,0.0,0.14004147347902984,1.0,0.8154755971882732,0.0,0.32880926081257256,1.0,0.9977058986933445,0.0,0.723783392689308,1.0,0.6288278820737105,0.0,0.31559351200128116,1.0,0.4789012405322055,0.0,0.998304361889737,1.0,0.12429823483362612,0.0,0.6006654753384362,0.0,0.14906643760990068,0.0,0.6773001315711551,0.0,0.4332158768157225,1.0,0.004928016691953974,0.0,0.36640086097873437,0.0,0.00013224750749918357,0.0,0.27855677579560023,0.0,0.002371780556540859,0.0,0.998463475713281,1.0,0.0226364010218304,0.0,0.026736289639398225,0.0,0.5555825727620984,0.0,0.4597656804915916,0.0,0.9995831535453841,0.0,0.2057411775539567,0.0,0.5097990691708227,0.0,0.6783549299785205,1.0,0.9223656037711039,0.0,0.7573686074451043,1.0,0.7151717910021274,0.0,0.05220895860029828,0.0,0.1868856640626988
CPI,1000,12.194799423217773,0.18288095054456055,0.0,0.9871342699468959,0.0,0.6900375233930188,0.0,0.6624406514584741,1.0,0.058725802726560805,0.0,0.896674774066752,0.0,0.2883164318768549,0.0,0.5985457123091198,0.0,0.18293733765786024,0.0,0.044242896458245126,1.0,0.20488256886333822,1.0,0.05985165232681511,0.0,0.420303547877407,0.0,0.9487598059164347,0.0,0.6576282868253566,0.0,0.9533311481070887,0.0,0.8257129997931605,0.0,0.10479102230634152,0.0,0.5323466886590417,1.0,0.2398237177895307,0.0,0.6004284644339936,1.0,0.019243799566339943,0.0,0.8712305914497107,1.0,0.3101128726039192,0.0,0.5377687768850833,1.0,0.009816721564896321,0.0,0.09908363691938121,1.0,0.02065612650979107,0.0,0.20014316755176098,0.0,0.6470871346089601,0.0,0.4048866147169829,0.0,0.7851430557676498,1.0,0.05789950588124773,0.0,0.9230216273744517,0.0,0.5095113561760816,0.0,0.38388170776381714,0.0,0.6473226909768055,0.0,0.34915611520575607,1.0,0.04477845073732764,0.0,0.7838213203720676,0.0,0.9340548347344405,0.0,0.6477702453174226,0.0,0.7494356771836872,0.0,0.145789939789441,0.0,0.17952134883347548,0.0,0.29114429378326945,1.0,0.5093301311416619,0.0,0.7422534444187475,1.0,0.79174706679435,0.0,0.6740898377061083,0.0,0.08947778446888072
CPI_sqrt,1000,12.076020956039429,0.18288095054456055,0.0,0.6568822789882833,0.0,0.1787671949684328,0.0,0.5345722393619177,1.0,0.020368217808652368,0.0,0.4032098146776997,0.0,0.72406187995235,0.0,0.45062776805782023,0.0,0.5676457896289238,0.0,0.48455194783860683,1.0,0.1971791943760915,1.0,0.02637082352457186,0.0,0.19752414826589282,0.0,0.6161642865635096,0.0,0.5100295488201673,0.0,0.6675356653073717,0.0,0.5727018014791379,0.0,0.3106540609338132,0.0,0.4419308124930219,1.0,0.7412233896381841,0.0,0.615692642520662,1.0,0.4467277660365222,0.0,0.5410627365595213,1.0,0.015800676786933764,0.0,0.561192550958376,1.0,0.027475017286067813,0.0,0.21893795125993332,1.0,0.12105326501380276,0.0,0.46465328779679577,0.0,0.7721358596390779,0.0,0.8348673747853318,0.0,0.4201973862795755,1.0,0.09755578757424771,0.0,0.5997311877815303,0.0,0.28939854840418733,0.0,0.47878342713653194,0.0,0.4312685280408148,0.0,0.2688388394052202,1.0,0.2504251441882121,0.0,0.6166574846157454,0.0,0.49841062202677616,0.0,0.4498945510714344,0.0,0.541340790224415,0.0,0.5237721496887296,0.0,0.13218122715126596,0.0,0.2894657841342647,1.0,0.6495597460786586,0.0,0.6600362782180815,1.0,0.2305682517465773,0.0,0.5734357204110332,0.0,0.1937232295581417
CPI_n,1000,12.109564304351807,0.18288095054456055,0.0,0.7228341128897993,0.0,0.15463049234578374,0.0,0.40249367713253426,1.0,0.15806083843397833,0.0,0.8723140452411973,0.0,0.9452082508282957,0.0,0.5465891878227843,0.0,0.6723475067235789,0.0,0.6550237634441146,1.0,0.21208078009635767,1.0,0.03687063181244627,0.0,0.09492523784751533,0.0,0.23949122406091683,0.0,0.5897020097889512,0.0,0.8477158936919416,0.0,0.7249786724502282,0.0,0.7408582942956119,0.0,0.7938028778567225,1.0,0.3277793841116847,0.0,0.9294128543303796,1.0,0.40318666112487744,0.0,0.9483290584700278,1.0,0.14464793215328153,0.0,0.7470519707903445,1.0,0.015633985289353915,0.0,0.19028087998348436,1.0,0.006941883950588722,0.0,0.08153911365895478,0.0,0.926242697090913,0.0,0.780971782082567,0.0,0.3957412823391672,1.0,0.0819235530187134,0.0,0.8204861847906604,0.0,0.3115824617605149,0.0,0.553987124627284,0.0,0.6500295268210552,0.0,0.23007622322704097,1.0,0.09317568346997779,0.0,0.2976545220443408,0.0,0.27450349849287603,0.0,0.7638047520292617,0.0,0.8792370912680375,0.0,0.8245225186261051,0.0,0.3048196821496617,0.0,0.536391391386025,1.0,0.5102021256911747,0.0,0.8970400011241438,1.0,0.6509511139411437,0.0,0.8362556557008821,0.0,0.252961420882603
CPI_bt,1000,13.107740879058838,0.18288095054456055,0.0,0.9432569152118968,0.0,0.5173560763035062,0.0,0.47569192515404246,1.0,0.4653188882179575,0.0,0.76331981568151,0.0,0.8337478677544876,0.0,0.169575389422305,0.0,0.8371958891030189,0.0,0.41113047915159534,1.0,0.3925399617664927,1.0,0.46405894286709615,0.0,0.4078957088150428,0.0,0.7159780799290583,0.0,0.46874609442087734,0.0,0.6888396583496637,0.0,0.9284246758154919,0.0,0.29266936864128223,0.0,0.5630922075212478,1.0,0.505108535286615,0.0,0.6780194764561462,1.0,0.547023346654688,0.0,0.6169480606454709,1.0,0.4541171702756486,0.0,0.4142948981562161,1.0,0.39229054452806533,0.0,0.1610507715858302,1.0,0.4443182550592031,0.0,0.6132140499470037,0.0,0.6534010275228176,0.0,0.627145817308636,0.0,0.29879105532931555,1.0,0.3342119092200021,0.0,0.6985966549876741,0.0,0.7485930220607687,0.0,0.3243873110649478,0.0,0.8660927210041903,0.0,0.5803139841595223,1.0,0.3921711248469345,0.0,0.15677965723566284,0.0,0.28727369791987145,0.0,0.7002336578004889,0.0,0.9680445355462928,0.0,0.9214044913541866,0.0,0.32647659553249897,0.0,0.267238666093709,1.0,0.5367067037804293,0.0,0.11407894678854308,1.0,0.4094812253408254,0.0,0.6428850633129765,0.0,0.08618288599093749
CPI_sqd,1000,13.09707260131836,0.18288095054456055,0.0,0.9155565858220214,0.0,0.42039747427284474,0.0,0.3051241411983049,1.0,0.443273898419138,0.0,0.44571315537958384,0.0,0.8577077807079331,0.0,0.17643768653557151,0.0,0.8676577320606602,0.0,0.7023888430557635,1.0,0.30992625231467374,1.0,0.4713780005611157,0.0,0.2691835932849951,0.0,0.9365365199618422,0.0,0.005349543664483149,0.0,0.3759154726041077,0.0,0.8368820811610633,0.0,0.18193122668673023,0.0,0.6016631000353208,1.0,0.5007803163799409,0.0,0.5856700445966333,1.0,0.28592805740203886,0.0,0.5154923022528632,1.0,0.4614671202422476,0.0,0.36339010493008644,1.0,0.47029261684262647,0.0,0.030972436453994067,1.0,0.4625692442023933,0.0,0.3068912569879997,0.0,0.7482428849381799,0.0,0.7256822026371779,0.0,0.3658686774064144,1.0,0.3541588406450208,0.0,0.6330992065983818,0.0,0.32626374145452863,0.0,0.7839768304218535,0.0,0.9905916164063283,0.0,0.6863289381418549,1.0,0.43145655127390503,0.0,0.7564533761039132,0.0,0.6852955779084571,0.0,0.4545485752717219,0.0,0.9675755015797235,0.0,4.352715320167043e-270,0.0,0.5857989733599336,0.0,0.2839581744079847,1.0,0.47350142441239446,0.0,0.7682860846040237,1.0,0.4597911281338984,0.0,0.7264345995055861,0.0,0.6518274355320385
S-CPI,1000,12.68883728981018,0.18288095054456055,0.0,0.9641811638463793,0.0,0.5730795447561472,0.0,0.30249139784701146,1.0,0.20727739626557967,0.0,0.9874879009192659,0.0,0.9382600441004538,0.0,0.47311999584116443,0.0,0.9486311368580701,0.0,0.5076761706377856,1.0,0.29967115732934024,1.0,0.06335832465369379,0.0,0.10653242278685221,0.0,0.7095033356191307,0.0,0.5425434269680318,0.0,0.944782189165318,0.0,0.6087690759681985,0.0,0.2802836773134867,0.0,0.4963321263411636,1.0,0.48222377197703065,0.0,0.9024048536936802,1.0,0.3168341346320478,0.0,0.9318501288915092,1.0,0.09676352592311122,0.0,0.18487731367061055,1.0,0.15092828917801476,0.0,0.06892907534486889,1.0,0.036185236068491014,0.0,0.130099500820348,0.0,0.947884825449391,0.0,0.8523406488718556,0.0,0.6771146913836575,1.0,0.018277265914110868,0.0,0.98719805855949,0.0,0.22234632168479673,0.0,0.5067357200744537,0.0,0.1702450286761435,0.0,0.6621662658334059,1.0,0.05013138034657052,0.0,0.8555049199145148,0.0,0.4637922058644042,0.0,0.3911788806888076,0.0,0.9276130176800501,0.0,0.7837537748560268,0.0,0.20645951803952067,0.0,0.1845973008191738,1.0,0.4983031180720508,0.0,0.9500669458308507,1.0,0.4145706434834087,0.0,0.9308354333573854,0.0,0.07281545050862133
S-CPI_sqrt,1000,12.675511121749878,0.18288095054456055,0.0,0.7519226281753442,0.0,0.445850843998813,0.0,0.3632825252245222,1.0,0.18137923665991434,0.0,0.9208474429318391,0.0,0.6955983452495579,0.0,0.4307054587711453,0.0,0.7115766154654508,0.0,0.499837832260998,1.0,0.22937414176748616,1.0,0.08245351265345069,0.0,0.21086938041879505,0.0,0.689018537768521,0.0,0.4570042527609006,0.0,0.8481282034619393,0.0,0.7081997609742634,0.0,0.3337558630513912,0.0,0.6687090497433825,1.0,0.5260979833567638,0.0,0.7643520420412009,1.0,0.3473707241770044,0.0,0.7974541777569679,1.0,0.09998446322471355,0.0,0.43171743650733213,1.0,0.1418376897774966,0.0,0.30025793679586366,1.0,0.05002962635567063,0.0,0.25117562176912217,0.0,0.8899855356390923,0.0,0.8027590214645348,0.0,0.6138620780261853,1.0,0.09089655850586104,0.0,0.9728600343747892,0.0,0.33477858350120093,0.0,0.5933908687615679,0.0,0.4985567210417001,0.0,0.8845042584555585,1.0,0.08727753628023743,0.0,0.5358831035593246,0.0,0.41948150505890386,0.0,0.519913366062791,0.0,0.6451782898081129,0.0,0.575670648731713,0.0,0.5324354215069493,0.0,0.24428048010777464,1.0,0.46343623617576485,0.0,0.6323883575876856,1.0,0.6509638195758181,0.0,0.8769552060189145,0.0,0.2515007329771206
S-CPI_n,1000,12.660861253738403,0.18288095054456055,0.0,0.9477709847020696,0.0,0.7128983007663977,0.0,0.3753912571453438,1.0,0.159598072269797,0.0,0.9768488243985282,0.0,0.8076029265023429,0.0,0.45481974792361707,0.0,0.9285085978152426,0.0,0.6726362387412037,1.0,0.2481650157250621,1.0,0.06216564661140934,0.0,0.11487124057821774,0.0,0.8922638031280599,0.0,0.22456742551805936,0.0,0.9619084317558153,0.0,0.9461649630381651,0.0,0.30716411538164273,0.0,0.6035559376770939,1.0,0.43853363126458744,0.0,0.9049046712333603,1.0,0.3353050700587502,0.0,0.9214202682991788,1.0,0.19431997758636776,0.0,0.30185116843901844,1.0,0.05832829593316179,0.0,0.029669469630659497,1.0,0.04168548255695236,0.0,0.16990478406826137,0.0,0.9706073863624415,0.0,0.9144287238760094,0.0,0.516613146958684,1.0,0.06294834025383965,0.0,0.9964953158372888,0.0,0.1727685913923201,0.0,0.5234337357357466,0.0,0.5835987109601304,0.0,0.6540423630045771,1.0,0.08522390330075785,0.0,0.7047901299600343,0.0,0.5160470932523932,0.0,0.6051909249068018,0.0,0.9008681170979709,0.0,0.6944928555948585,0.0,0.2840407759151017,0.0,0.17637736785469232,1.0,0.4417860010278406,0.0,0.9256219128099978,1.0,0.4494673230114881,0.0,0.9669213001784127,0.0,0.06278336914755211
S-CPI_bt,1000,13.729893922805786,0.18288095054456055,0.0,0.8678826915398128,0.0,0.621198495463087,0.0,0.3922895598377315,1.0,0.4856692674039212,0.0,0.6910069624425532,0.0,0.8294545850507351,0.0,0.5569739842850543,0.0,0.8676857010939394,0.0,0.6104616021639204,1.0,0.43290957264709323,1.0,0.46790352708448435,0.0,0.29676528420269344,0.0,0.8513200818126712,0.0,0.5287948848091195,0.0,0.730086973464285,0.0,0.7823030082872826,0.0,0.44426052718641346,0.0,0.6216439445427197,1.0,0.497517045988148,0.0,0.58568461819629,1.0,0.4777609573438618,0.0,0.610602662788343,1.0,0.46261574665010263,0.0,0.39901834636775635,1.0,0.4567097044666371,0.0,0.2427687374138528,1.0,0.46845604564373877,0.0,0.38192014380793454,0.0,0.7058006262298033,0.0,0.6116590169481785,0.0,0.5218275465004432,1.0,0.40243159172718046,0.0,0.7298897386681336,0.0,0.16335475916853437,0.0,0.5597021000836231,0.0,0.7184575666911587,0.0,0.6058287842096087,1.0,0.35353322538485743,0.0,0.48890032540946793,0.0,0.48341932599286547,0.0,0.5132600819426582,0.0,0.9688537257406177,0.0,0.9508899267170112,0.0,0.49692719347415404,0.0,0.4125991117005553,1.0,0.4908213515540855,0.0,0.9147679391528862,1.0,0.47767419660777477,0.0,0.641591536012815,0.0,0.3157520743518487
