method,n,tr_time,r2_test,tr_V0,pval0,tr_V1,pval1,tr_V2,pval2,tr_V3,pval3,tr_V4,pval4,tr_V5,pval5,tr_V6,pval6,tr_V7,pval7,tr_V8,pval8,tr_V9,pval9,tr_V10,pval10,tr_V11,pval11,tr_V12,pval12,tr_V13,pval13,tr_V14,pval14,tr_V15,pval15,tr_V16,pval16,tr_V17,pval17,tr_V18,pval18,tr_V19,pval19,tr_V20,pval20,tr_V21,pval21,tr_V22,pval22,tr_V23,pval23,tr_V24,pval24,tr_V25,pval25,tr_V26,pval26,tr_V27,pval27,tr_V28,pval28,tr_V29,pval29,tr_V30,pval30,tr_V31,pval31,tr_V32,pval32,tr_V33,pval33,tr_V34,pval34,tr_V35,pval35,tr_V36,pval36,tr_V37,pval37,tr_V38,pval38,tr_V39,pval39,tr_V40,pval40,tr_V41,pval41,tr_V42,pval42,tr_V43,pval43,tr_V44,pval44,tr_V45,pval45,tr_V46,pval46,tr_V47,pval47,tr_V48,pval48,tr_V49,pval49
LOCO-W,3000,738.8110129833221,0.35763409071343233,0.0,0.6505584736858715,0.0,0.9071589225228391,1.0,0.7716220591990064,0.0,0.022907587203963686,1.0,0.9661623936460892,1.0,0.0051697566770725345,0.0,0.7099632123666512,0.0,0.04210647400607548,1.0,0.0034031921715457214,0.0,0.2664582701111118,1.0,0.31737171252626784,0.0,0.4631850058278838,1.0,0.5563588670463402,0.0,0.5881570659988311,0.0,0.6179507180707686,0.0,0.021633468695823388,0.0,0.5201952653405444,0.0,0.0014510759862391698,0.0,0.8728342154543823,0.0,0.8258588338581776,0.0,0.5290427894765022,0.0,0.7379709086437939,1.0,0.5939785044946154,1.0,0.1259754323844724,1.0,0.012514188056165887,0.0,0.9917571063521038,0.0,0.45898024484389555,0.0,0.2638124362621047,1.0,0.173286295650954,0.0,0.10729362575155998,0.0,0.727671772707106,0.0,0.017542380580048755,0.0,0.7870321975051076,0.0,0.17331736648549956,1.0,0.6184062275903395,0.0,0.9014554876563312,0.0,0.5385037764575655,0.0,0.8318607199073488,0.0,0.7149413953653632,0.0,0.924007652961558,0.0,0.0076979300034871745,1.0,0.03827979931264325,0.0,0.9965952034789434,0.0,0.789326534898481,0.0,0.05034556491554709,0.0,0.12737108465841596,0.0,0.7491533710554945,0.0,0.5919265232478703,0.0,0.37161435193419357,0.0,0.5609422113861249
CPI,3000,33.33820939064026,0.35763409071343233,0.0,0.6088143079150661,0.0,0.6054146247938592,1.0,0.030624820915368677,0.0,0.2930023346581766,1.0,0.0038206497874330066,1.0,0.05428877570906141,0.0,0.9631333022660633,0.0,0.9710354925120915,1.0,0.01882350926305424,0.0,0.21268093259238513,1.0,0.002783232477394258,0.0,0.6921333242987852,1.0,0.03309406211796496,0.0,0.2549774779746059,0.0,0.8664665617016871,0.0,0.7233302776263837,0.0,0.5564077855387564,0.0,0.7373616613590028,0.0,0.4394355897963555,0.0,0.8482275606759796,0.0,0.10316781677927112,0.0,0.7155125942711751,1.0,4.330315194189458e-05,1.0,0.31757306611281977,1.0,0.01939240531019766,0.0,0.8693089808454444,0.0,0.14317746920791308,0.0,0.9152384081523253,1.0,0.1050126666176211,0.0,0.16032803334371415,0.0,0.06245380762847323,0.0,0.7373367853010527,0.0,0.6736907319471501,0.0,0.2874779085975767,1.0,0.09818746366790249,0.0,0.715655722533051,0.0,0.7265344693175915,0.0,0.20645555754175932,0.0,0.12877357515846893,0.0,0.40966972650257016,0.0,0.7525776105314326,1.0,0.0009295245839816223,0.0,0.34096028126217515,0.0,0.6968050436083147,0.0,0.15243838535254617,0.0,0.2843960389709663,0.0,0.6773129358320126,0.0,0.6937677718270443,0.0,0.22843891716949905,0.0,0.5892153318337803
CPI_sqrt,3000,33.23118782043457,0.35763409071343233,0.0,0.42788897856816444,0.0,0.5668975988004656,1.0,0.028279162996596937,0.0,0.5048663469808901,1.0,0.02308791363568646,1.0,0.28234756506008246,0.0,0.6107505347242785,0.0,0.5729214072959583,1.0,0.009153607269967877,0.0,0.11897108680872026,1.0,0.19980401983870594,0.0,0.8915461475953554,1.0,0.014630035095438735,0.0,0.27106459584218856,0.0,0.44801230921142643,0.0,0.2883869237914672,0.0,0.5187728614424466,0.0,0.16685290860986107,0.0,0.5708419504123196,0.0,0.729944715208869,0.0,0.23645349064671756,0.0,0.6004536266075409,1.0,0.0003197768742481564,1.0,0.614262145752351,1.0,0.0332402632140582,0.0,0.5075678049388542,0.0,0.4152555842705935,0.0,0.5613030932847395,1.0,0.1273055668594154,0.0,0.8660424643328055,0.0,0.34032706921719647,0.0,0.5470097868929331,0.0,0.21217613057957102,0.0,0.39638065283062895,1.0,0.22306610049805886,0.0,0.4056557713484785,0.0,0.686812890182952,0.0,0.5295784257697186,0.0,0.3769856075704373,0.0,0.6619520686526317,0.0,0.2528706777348594,1.0,0.005130035561540801,0.0,0.5816052639746084,0.0,0.5237524517499016,0.0,0.3145830472757156,0.0,0.54238006050032,0.0,0.6741519589015426,0.0,0.6379359656779086,0.0,0.3476370787624616,0.0,0.5229915720966258
CPI_n,3000,33.127310276031494,0.35763409071343233,0.0,0.3015927385373943,0.0,0.32825635172334583,1.0,0.021537175868801023,0.0,0.8019489976941738,1.0,0.002489555556444119,1.0,0.25413802847605516,0.0,0.9063587780351253,0.0,0.35477417452458226,1.0,0.0012195109410492572,0.0,0.10661901639720728,1.0,0.009188163641083536,0.0,0.9786437073194549,1.0,0.007163163536997696,0.0,0.01260058587406021,0.0,0.5410157425076368,0.0,0.9690566722432392,0.0,0.22612857007753778,0.0,0.24509849207136725,0.0,0.35104246297430547,0.0,0.9384610761013008,0.0,0.15481702339329428,0.0,0.06474270919632368,1.0,1.658222731548076e-06,1.0,0.15905860317706283,1.0,8.899265887028285e-05,0.0,0.7071424895360314,0.0,0.17272328797846986,0.0,0.22525933796086833,1.0,0.2964013185333119,0.0,0.8931812962710577,0.0,0.20284069277172645,0.0,0.39862060841718094,0.0,0.23261023312769408,0.0,0.09872950494499294,1.0,0.07653958505407708,0.0,0.543095654414472,0.0,0.7197055871105317,0.0,0.20244441395048413,0.0,0.16417509957833515,0.0,0.5384095195134078,0.0,0.6180535310415898,1.0,0.014347868210553765,0.0,0.5725750604137078,0.0,0.42616485227765244,0.0,0.08044593350626311,0.0,0.7053387388986309,0.0,0.6356886872518195,0.0,0.9252737664889646,0.0,0.22863940345901673,0.0,0.6317314658090665
CPI_bt,3000,40.71945786476135,0.35763409071343233,0.0,0.584272848515882,0.0,0.5935099042296409,1.0,0.3658158528344677,0.0,0.4079211363158216,1.0,0.4303743228576938,1.0,0.31248520052612677,0.0,0.9888043934913564,0.0,0.9589939198684557,1.0,0.15913306756015916,0.0,0.42669820313455287,1.0,0.3097344899050196,0.0,0.46182836085522966,1.0,0.3507447782791209,0.0,0.09275901867075248,0.0,0.8274826294080017,0.0,0.9199815453285267,0.0,0.5968732134875815,0.0,0.4649397203136591,0.0,0.00025451580044511034,0.0,0.9995277245012011,0.0,0.17742506499268446,0.0,0.6342270626788433,1.0,0.30107560517139487,1.0,0.3715754553363684,1.0,0.13301167718693296,0.0,0.7220749765507731,0.0,0.08781436905029699,0.0,0.8707227334063985,1.0,0.47489958771138774,0.0,0.7706438857421065,0.0,0.0005221118307241344,0.0,0.3172409435361312,0.0,0.15594407290080553,0.0,0.24338392113748092,1.0,0.20767484881647857,0.0,0.008650768877826188,0.0,0.6608098541913137,0.0,0.9127575731225811,0.0,0.3524478941006063,0.0,0.6110799633532735,0.0,0.5336432021398472,1.0,0.3417852512100038,0.0,0.4343072745895841,0.0,0.017080277190008757,0.0,0.060163144618155855,0.0,0.7669742356646759,0.0,0.9197832943467633,0.0,0.6524610059548996,0.0,2.98480416986837e-05,0.0,0.4430336850044422
CPI_sqd,3000,40.722673416137695,0.35763409071343233,0.0,0.000887727963390088,0.0,0.963903043881107,1.0,0.20025290919338679,0.0,0.9721805951790672,1.0,0.4022366990049612,1.0,0.33874330210879733,0.0,0.6830597521435058,0.0,0.7407643663137231,1.0,0.15044916865495944,0.0,0.4066712562967778,1.0,0.16044746104884494,0.0,0.5693779181095303,1.0,0.3807294104865044,0.0,0.08985517050718789,0.0,0.5882267719080772,0.0,0.27809297793518084,0.0,0.9882584712901433,0.0,0.33359000863429594,0.0,0.9999615491488206,0.0,0.9603527814087508,0.0,0.0004731836117246613,0.0,0.00022613093557530934,1.0,0.33821390853313327,1.0,0.2702758521379669,1.0,0.18791985486448748,0.0,0.9206287422026043,0.0,0.0025409585915754256,0.0,0.591735473899619,1.0,0.4981310077266113,0.0,0.14634241662289166,0.0,0.0014376049120259904,0.0,0.8534876613775653,0.0,0.008527953949376735,0.0,0.2694681198108204,1.0,0.14235874104991775,0.0,0.3645360354138955,0.0,0.6318128688400575,0.0,0.968158346401693,0.0,0.7272123209924816,0.0,0.00667341955998968,0.0,0.5596995233054153,1.0,0.2786397302745063,0.0,0.5666206221474865,0.0,1.9544658897790517e-06,0.0,7.841649813015358e-05,0.0,0.9957596136188729,0.0,0.8606231444565038,0.0,0.3899369607766947,0.0,0.2602940846362896,0.0,0.8456443367330435
S-CPI,3000,34.48826742172241,0.35763409071343233,0.0,0.3862703505901579,0.0,0.8926583967558241,1.0,0.018648840206419565,0.0,0.5728063479348988,1.0,0.059523828846747485,1.0,0.23935445913881226,0.0,0.8131435099392377,0.0,0.7164155292280247,1.0,0.007054170015469999,0.0,0.07442891307178039,1.0,0.04645331212241163,0.0,0.9430019945484434,1.0,0.04207055203841249,0.0,0.021761604179213315,0.0,0.9369210767074884,0.0,0.6545278158382635,0.0,0.5341850965526388,0.0,0.6988548957873196,0.0,0.7044084301788021,0.0,0.9353793642048581,0.0,0.3377427656234669,0.0,0.6188612226260053,1.0,0.0013184589670797474,1.0,0.4784289266676332,1.0,0.007156413790646934,0.0,0.7689392333459859,0.0,0.06184119074688021,0.0,0.6754903967770572,1.0,0.5126116756923836,0.0,0.7875675507106655,0.0,0.01867945133590356,0.0,0.6474198294619262,0.0,0.4111298769630437,0.0,0.15745367685478878,1.0,0.03803768459173453,0.0,0.5402109698143859,0.0,0.7575362581755971,0.0,0.7000605607188382,0.0,0.2557268586752568,0.0,0.5666097041599465,0.0,0.5995703830723477,1.0,0.0029904249272943964,0.0,0.5868334399054745,0.0,0.3016646756512786,0.0,0.11499237759667974,0.0,0.8681381910082275,0.0,0.8756933267997196,0.0,0.8618826675226011,0.0,0.1146629090993928,0.0,0.5031641820695264
S-CPI_sqrt,3000,34.481865644454956,0.35763409071343233,0.0,0.4712166265567004,0.0,0.6645643164481514,1.0,0.05198355794863448,0.0,0.6094714183054033,1.0,0.051335719621042816,1.0,0.20737725698842746,0.0,0.6873527360024105,0.0,0.609272344191451,1.0,0.051196726516774774,0.0,0.2856319726302591,1.0,0.0474520819800707,0.0,0.8171927366162701,1.0,0.0431695941783344,0.0,0.2399810725501063,0.0,0.8657707625592257,0.0,0.5502522825778711,0.0,0.5298746612921941,0.0,0.73189343199865,0.0,0.5127965519333028,0.0,0.6326883154577254,0.0,0.48145940783201346,0.0,0.5640249941296851,1.0,0.0011613350832844816,1.0,0.4310155251185568,1.0,0.015191110701098205,0.0,0.6561064798892576,0.0,0.3789687086830378,0.0,0.7344320111118211,1.0,0.505528604270372,0.0,0.8357333493651977,0.0,0.21244232042773653,0.0,0.5645848892626553,0.0,0.3467903473334164,0.0,0.30297222069529706,1.0,0.16721164484199486,0.0,0.5601049560974914,0.0,0.7688042138733603,0.0,0.5210430198721677,0.0,0.38197073141428034,0.0,0.4526835736260286,0.0,0.5847865057308543,1.0,0.00823213504312416,0.0,0.5553711288670855,0.0,0.5050014132132654,0.0,0.26133402445093257,0.0,0.6433928600119236,0.0,0.8093539483008605,0.0,0.6908640910202157,0.0,0.3432135950630587,0.0,0.5681672812389095
S-CPI_n,3000,34.41543698310852,0.35763409071343233,0.0,0.2918148907734675,0.0,0.8852282180676972,1.0,0.03626622447161168,0.0,0.6545393281231439,1.0,0.04102307850692387,1.0,0.2620357008066071,0.0,0.7958401134743195,0.0,0.8693460651009882,1.0,0.02783870338063981,0.0,0.13568155641119295,1.0,0.08077483791027917,0.0,0.9558031944517305,1.0,0.05768823900811768,0.0,0.05975283195985984,0.0,0.938424262216293,0.0,0.6382132951936452,0.0,0.5782361872762469,0.0,0.7102754335834272,0.0,0.48339711687330966,0.0,0.9282491169379761,0.0,0.19550601803141848,0.0,0.49067231477007955,1.0,0.0005612608257712219,1.0,0.6689364394282579,1.0,0.00810548162580762,0.0,0.6231724618774326,0.0,0.22437202555743602,0.0,0.8208771215072079,1.0,0.4475112962681946,0.0,0.8350761518176422,0.0,0.03413435289425101,0.0,0.28272885213193094,0.0,0.26560128113957315,0.0,0.31071173946996533,1.0,0.05470287472889073,0.0,0.3326863853007682,0.0,0.7908004756249951,0.0,0.4331084057241863,0.0,0.209763229342752,0.0,0.5411258183969141,0.0,0.22632821445913487,1.0,0.003620219346816928,0.0,0.4890521462129634,0.0,0.544210246405753,0.0,0.11617407626020193,0.0,0.8516821650553444,0.0,0.9613501554906813,0.0,0.879538253876753,0.0,0.1058496946019889,0.0,0.6027899835427568
S-CPI_bt,3000,42.00240135192871,0.35763409071343233,0.0,0.5254179080041982,0.0,0.8923040346158426,1.0,0.3249251383294598,0.0,0.7684968438245452,1.0,0.46770941702842067,1.0,0.4798615636144804,0.0,0.6889305181258418,0.0,0.7092255519197959,1.0,0.12616635835477613,0.0,0.3533423168688865,1.0,0.35916758074957245,0.0,0.818448209468708,1.0,0.42242089820717765,0.0,0.005752094443054477,0.0,0.7232244964937264,0.0,0.6978071317628622,0.0,0.8703039465227193,0.0,0.597377602926826,0.0,0.5716985925341295,0.0,0.928598992845848,0.0,0.22831637316895992,0.0,0.680988696029272,1.0,0.4086119898543976,1.0,0.5015592477356509,1.0,0.16967064036125457,0.0,0.8002627378959306,0.0,0.05383339869445537,0.0,0.7126207871242694,1.0,0.4724723494696255,0.0,0.7801802381150197,0.0,2.155018694114072e-06,0.0,0.4252106189589893,0.0,0.1871661107566433,0.0,0.35782862934601245,1.0,0.40885608319392913,0.0,0.30925612708355055,0.0,0.5977291736454616,0.0,0.8773655580580801,0.0,0.004718380539454625,0.0,0.576541080054875,0.0,0.45464988667560224,1.0,0.34829934687057185,0.0,0.46278108153284947,0.0,0.5064333827593842,0.0,0.058925602737607836,0.0,0.9924531917493307,0.0,0.8518040994017535,0.0,0.6835286645456438,0.0,0.0024204912757837707,0.0,0.45937445261158566
