method,n,tr_time,r2_test,tr_V0,pval0,tr_V1,pval1,tr_V2,pval2,tr_V3,pval3,tr_V4,pval4,tr_V5,pval5,tr_V6,pval6,tr_V7,pval7,tr_V8,pval8,tr_V9,pval9,tr_V10,pval10,tr_V11,pval11,tr_V12,pval12,tr_V13,pval13,tr_V14,pval14,tr_V15,pval15,tr_V16,pval16,tr_V17,pval17,tr_V18,pval18,tr_V19,pval19,tr_V20,pval20,tr_V21,pval21,tr_V22,pval22,tr_V23,pval23,tr_V24,pval24,tr_V25,pval25,tr_V26,pval26,tr_V27,pval27,tr_V28,pval28,tr_V29,pval29,tr_V30,pval30,tr_V31,pval31,tr_V32,pval32,tr_V33,pval33,tr_V34,pval34,tr_V35,pval35,tr_V36,pval36,tr_V37,pval37,tr_V38,pval38,tr_V39,pval39,tr_V40,pval40,tr_V41,pval41,tr_V42,pval42,tr_V43,pval43,tr_V44,pval44,tr_V45,pval45,tr_V46,pval46,tr_V47,pval47,tr_V48,pval48,tr_V49,pval49
LOCO-W,300,72.86066746711731,0.1462441397260532,1.0,0.07985521850827948,0.0,0.059569410226318564,0.0,0.8812448566339031,0.0,0.712743641244509,0.0,0.16784631447212872,0.0,0.14318654753041193,0.0,0.012733516908717601,1.0,0.012249447959052029,1.0,0.4298704000006205,0.0,0.9002200236987209,0.0,0.9701426892086932,0.0,0.9806344610289752,0.0,0.00212280058001868,0.0,0.1514206736114181,0.0,0.4121165499459487,0.0,0.005299901058294587,0.0,0.07062995891535573,0.0,0.3924598043053553,0.0,0.44321305588228643,1.0,0.009533852503694318,0.0,0.1355418643008951,0.0,0.5397754498426683,0.0,0.96035080669334,1.0,0.032262542114692705,1.0,0.004008680204066639,0.0,0.0013722657720424136,0.0,0.16559180915876992,0.0,0.7922458020358859,0.0,0.9960729730288949,0.0,0.21709546686849335,0.0,0.006170868852088063,0.0,0.3988279804554975,0.0,0.8269827997036812,0.0,0.5561615145750229,0.0,0.8398537939969478,0.0,0.8934771560268717,1.0,0.1975545133228641,1.0,0.09284789946640415,0.0,0.7431853625957585,1.0,0.07065069074968355,1.0,0.8724157435173336,0.0,0.8492352759833062,0.0,0.6847466250556129,1.0,0.6764552218754946,0.0,0.2413487198552201,0.0,0.9380269984318664,0.0,0.9934017957781802,0.0,0.9999211193552535,0.0,0.07459581757303224,1.0,0.17598144744128974
CPI,300,3.9181315898895264,0.1462441397260532,1.0,0.2031790146973066,0.0,0.3421352907988232,0.0,0.8781551764658899,0.0,0.2229708668147915,0.0,0.09765956116851399,0.0,0.21593616103197616,0.0,0.23140328977434754,1.0,0.07051004262022048,1.0,0.01335907631998602,0.0,0.41607529655384623,0.0,0.8174380132211352,0.0,0.7641262429093009,0.0,0.3946428584465594,0.0,0.5852512648493535,0.0,0.2854525122703857,0.0,0.4363906738312473,0.0,0.8464008517172361,0.0,0.10905010669198034,0.0,0.6849510311293212,1.0,0.8206675603315534,0.0,0.820307271366675,0.0,0.46356575292266927,0.0,0.9235205969577234,1.0,0.8643201445568262,1.0,0.5485260528317957,0.0,0.34170606697079553,0.0,0.27883282916848695,0.0,0.4160130008076812,0.0,0.843206675354655,0.0,0.9483333390883614,0.0,0.1647740226660196,0.0,0.17075663469216895,0.0,0.1434267635744127,0.0,0.9474837890188654,0.0,0.6572069919127278,0.0,0.46157557043662567,1.0,0.7382015159054836,1.0,0.12169182515234639,0.0,0.6587315313215482,1.0,0.0030021265510402706,1.0,0.3632462490769186,0.0,0.47066910619512753,0.0,0.9598944246780561,1.0,0.41827613116647017,0.0,0.9252605493048297,0.0,0.23273580877283612,0.0,0.1468343134533024,0.0,0.8262428877963124,0.0,0.18415313008298928,1.0,0.4612404135863474
CPI_sqrt,300,3.91084361076355,0.1462441397260532,1.0,0.4112811534036785,0.0,0.517371951281638,0.0,0.7106211677923275,0.0,0.5232596560288467,0.0,0.38290495325935603,0.0,0.545285403945342,0.0,0.7013451070106729,1.0,0.14150206633721152,1.0,0.16999734197296124,0.0,0.47042023889895773,0.0,0.6043982788087708,0.0,0.30876210911926283,0.0,0.5204736700271082,0.0,0.6040837616317082,0.0,0.47060161404416956,0.0,0.7158111128362532,0.0,0.5520946993857054,0.0,0.502549167413364,0.0,0.7378196936929069,1.0,0.8482083655196214,0.0,0.5322797427033786,0.0,0.5645240861419434,0.0,0.4863042697953667,1.0,0.7317643807664203,1.0,0.08129230364639883,0.0,0.36416609587571,0.0,0.4280266789952297,0.0,0.4888581345208529,0.0,0.5663457893865151,0.0,0.6373321973534974,0.0,0.41897833048817534,0.0,0.3412014399392628,0.0,0.525161643972307,0.0,0.694967844056577,0.0,0.6339864072914284,0.0,0.6799567061131466,1.0,0.5706247493693081,1.0,0.11874944809357851,0.0,0.7813807343785987,1.0,0.007117693753136992,1.0,0.39840361865765467,0.0,0.40429237675793106,0.0,0.6149258892705415,1.0,0.7528406574067195,0.0,0.7966728312967382,0.0,0.5892664964645434,0.0,0.4220415760520738,0.0,0.6755844532106523,0.0,0.39547269535645085,1.0,0.753533346145654
CPI_n,300,3.907909393310547,0.1462441397260532,1.0,0.10950759196459392,0.0,0.35978329596790737,0.0,0.9290080529507759,0.0,0.07164248235134059,0.0,0.6398876785935133,0.0,0.4272211315755218,0.0,0.8788406625349903,1.0,0.13694344121581203,1.0,0.0433716869239754,0.0,0.40142056863689296,0.0,0.07766994167653242,0.0,0.1702577624729143,0.0,0.5179637266588988,0.0,0.2670367860982902,0.0,0.6133840378018796,0.0,0.8760933772305398,0.0,0.2712613924641223,0.0,0.43246627566573465,0.0,0.5451283324397499,1.0,0.9023407585212537,0.0,0.8377613300795124,0.0,0.10551252200850636,0.0,0.1431715822685668,1.0,0.315786378271123,1.0,0.16088172023678232,0.0,0.18120119927617728,0.0,0.5667824369188742,0.0,0.47375894322647943,0.0,0.8432682564094822,0.0,0.5077622806788006,0.0,0.3902262503267344,0.0,0.0916431934020045,0.0,0.3380267653005893,0.0,0.6574550276702255,0.0,0.17810323373889048,0.0,0.7089682274915701,1.0,0.7662021645147665,1.0,0.1121783241237519,0.0,0.8010583061417138,1.0,0.0016998545689578984,1.0,0.28342207101881534,0.0,0.545148461526529,0.0,0.9827111776456728,1.0,0.7374776289868358,0.0,0.8923889025266647,0.0,0.6580295777142877,0.0,0.839463432349018,0.0,0.8287166836979275,0.0,0.2113826618443691,1.0,0.1322640556085356
CPI_bt,300,4.087449789047241,0.1462441397260532,1.0,0.43538839823157394,0.0,0.46415699604152977,0.0,0.5393040361091845,0.0,0.19378968547781805,0.0,0.4062733725803681,0.0,0.4621214975745949,0.0,0.6238940748786593,1.0,0.45298053834768914,1.0,0.47740536796004995,0.0,0.4321646955401037,0.0,0.16530945395061086,0.0,0.6566959347868524,0.0,0.6014297151299486,0.0,0.5203153408805532,0.0,0.2049290406231622,0.0,0.46226556240405925,0.0,0.536630843826363,0.0,0.46143700791224596,0.0,0.5964292997103171,1.0,0.786695819308719,0.0,0.41500297237053796,0.0,0.05809420979738666,0.0,0.7896657445589161,1.0,0.5038684962506476,1.0,0.44314169274813725,0.0,0.4156356640009315,0.0,0.8943181542300487,0.0,0.2985902240407201,0.0,0.7638368615352222,0.0,0.3855132661428654,0.0,0.17428733360047244,0.0,0.35458867042513753,0.0,0.3656219213682974,0.0,0.848264439871045,0.0,0.7729357586278278,0.0,0.6222847322861418,1.0,0.394087684375948,1.0,0.29268652589945277,0.0,0.7056440525285504,1.0,0.46805452246902174,1.0,0.30126450901419244,0.0,0.4966091476474929,0.0,0.6111593156442472,1.0,0.5531029369033935,0.0,0.6470793362760684,0.0,0.5387563265483782,0.0,0.3347001658388337,0.0,0.7623290542520883,0.0,0.08674454670021525,1.0,0.5085035950636135
CPI_sqd,300,4.084847450256348,0.1462441397260532,1.0,0.39866321124369547,0.0,0.8494493450421234,0.0,0.6834575993542502,0.0,0.39865524460599366,0.0,0.4164206150974936,0.0,0.9301145153776746,0.0,0.5615568194700981,1.0,0.47605865800894315,1.0,0.41399704674849425,0.0,0.45886112748491864,0.0,0.23151766574711474,0.0,0.636515492572586,0.0,0.5589910912379024,0.0,0.49335958471200586,0.0,0.9999999706354571,0.0,0.512243907191451,0.0,0.43422503414854374,0.0,0.9999999785205234,0.0,0.7691914830431621,1.0,0.39557756844904085,0.0,0.6744066479054387,0.0,0.0004643400324512199,0.0,0.045097252343508636,1.0,0.39092377644753235,1.0,0.45901718943420056,0.0,0.12708166617855504,0.0,2.6221573366453032e-05,0.0,0.6864067251854261,0.0,0.7729008753622634,0.0,0.4349558282342133,0.0,0.3978136663012998,0.0,0.3114120057614679,0.0,0.5287412312381171,0.0,0.9483577984198658,0.0,0.7420593446166486,0.0,0.5574026789719629,1.0,0.43164858761148783,1.0,0.30980011734533053,0.0,0.8400095004389562,1.0,0.39119119611638786,1.0,0.6101010229235442,0.0,0.5928918942954589,0.0,0.6477906143122508,1.0,0.500104587035214,0.0,0.4126356303284744,0.0,0.29095773115592144,0.0,0.6512328650347596,0.0,0.8041673467231684,0.0,0.08763399938207406,1.0,0.3268408901162754
S-CPI,300,4.268171310424805,0.1462441397260532,1.0,0.8104360836283369,0.0,0.33564585493844773,0.0,0.7459542607122007,0.0,0.20428297922239508,0.0,0.19956411370280613,0.0,0.4966485293373861,0.0,0.7968216958417635,1.0,0.20391290627624858,1.0,0.34358058438654404,0.0,0.39717738643584144,0.0,0.12613870118728066,0.0,0.2174448036492156,0.0,0.38119442795913044,0.0,0.7757020859719657,0.0,0.8684161508649884,0.0,0.7869106445548668,0.0,0.6766683953129069,0.0,0.7324065967979899,0.0,0.8401206492788642,1.0,0.9457441141928634,0.0,0.476028207741477,0.0,0.03203376357895038,0.0,0.6154690685258576,1.0,0.5794722639753209,1.0,0.04276276031300569,0.0,0.17555517623848516,0.0,0.41676779669854974,0.0,0.44884033530005707,0.0,0.8987883407003638,0.0,0.5766480523423567,0.0,0.033054093114071245,0.0,0.08513367010040623,0.0,0.2426328141003965,0.0,0.9338910116291924,0.0,0.6124785907957332,0.0,0.9305102671527309,1.0,0.5211605674853437,1.0,0.0866760888545115,0.0,0.9107772001415106,1.0,0.012144577469465907,1.0,0.4685539835476417,0.0,0.5517880077881236,0.0,0.8981802469567688,1.0,0.5928733845487035,0.0,0.9661043613467809,0.0,0.3041616317683191,0.0,0.6499119256316014,0.0,0.8838975490324046,0.0,0.2098756290884473,1.0,0.4132028294612179
S-CPI_sqrt,300,4.260619640350342,0.1462441397260532,1.0,0.6882769696041515,0.0,0.4748862914831454,0.0,0.78963937657198,0.0,0.3009666060745646,0.0,0.24927317057399884,0.0,0.6563790935837356,0.0,0.6916669814818536,1.0,0.22066284294437893,1.0,0.23291054134532818,0.0,0.5293170539195403,0.0,0.312993226606865,0.0,0.40070492860791024,0.0,0.39926931411053046,0.0,0.5648141955449109,0.0,0.5066401405243073,0.0,0.6961932363175736,0.0,0.6666576139088297,0.0,0.48842357043468887,0.0,0.6907419551312518,1.0,0.8116048340341823,0.0,0.5630575813409798,0.0,0.3428144190111151,0.0,0.5076778108131017,1.0,0.5130890439399929,1.0,0.06181216833652508,0.0,0.3136102191992589,0.0,0.49894965869906976,0.0,0.35736634314890703,0.0,0.6625268063756324,0.0,0.536350854255103,0.0,0.1810205380372346,0.0,0.1473577300571915,0.0,0.48635495160728837,0.0,0.6406084236984169,0.0,0.6554351960927208,0.0,0.8797544428004863,1.0,0.42227329627459576,1.0,0.11946962485516921,0.0,0.7717362114489357,1.0,0.007717980905985274,1.0,0.3872279588603362,0.0,0.5212830176030789,0.0,0.6756674546709791,1.0,0.7230366185639939,0.0,0.8544299642324815,0.0,0.38802047831661285,0.0,0.4978940041697058,0.0,0.720449842823623,0.0,0.37369407762258045,1.0,0.6124198044490374
S-CPI_n,300,4.259557247161865,0.1462441397260532,1.0,0.8980933081257396,0.0,0.35004949003361285,0.0,0.6970133926413086,0.0,0.17125894500658534,0.0,0.14703138879903815,0.0,0.7139614769709548,0.0,0.8140211136167808,1.0,0.2051959599257443,1.0,0.3033315372173745,0.0,0.39580137899400525,0.0,0.051886206623870126,0.0,0.27696663946744354,0.0,0.5184966293264512,0.0,0.5571786173351495,0.0,0.6157994216331962,0.0,0.7242108363909558,0.0,0.7439601578086121,0.0,0.3468056767410153,0.0,0.860339009594594,1.0,0.9045428396845441,0.0,0.7454983091088588,0.0,0.06630594203171257,0.0,0.2584076242174591,1.0,0.4839891240569152,1.0,0.07249176987330094,0.0,0.2645113861191341,0.0,0.34042684165744025,0.0,0.3422781295088281,0.0,0.8462678844602758,0.0,0.601081998384386,0.0,0.08448971722144066,0.0,0.10724024691428075,0.0,0.2516044978564917,0.0,0.9376334393360352,0.0,0.5805218761223436,0.0,0.9488743806623644,1.0,0.4885868857926983,1.0,0.11232470413909551,0.0,0.9587379363639235,1.0,0.007578768438142155,1.0,0.505886172435689,0.0,0.5231495074788431,0.0,0.924215982436437,1.0,0.6317973206539322,0.0,0.9740281981412967,0.0,0.4498786305014496,0.0,0.5359860016888814,0.0,0.8621085122581472,0.0,0.18633518877992689,1.0,0.7726646268218489
S-CPI_bt,300,4.4308531284332275,0.1462441397260532,1.0,0.5319901298265131,0.0,0.4714134637351736,0.0,0.577298857981353,0.0,0.41987031443690986,0.0,0.43630443053067836,0.0,0.7526609889625032,0.0,0.5459870811208997,1.0,0.49470669130086403,1.0,0.4555456904998149,0.0,0.487546521276823,0.0,0.32966041146840985,0.0,0.4125179241128124,0.0,0.44667699450684556,0.0,0.4794027693954659,0.0,0.5705803758709249,0.0,0.5896465799017995,0.0,0.5251416393549876,0.0,0.7633350692793621,0.0,0.6361680128611953,1.0,0.5732568953848798,0.0,0.5304037987089524,0.0,0.04523569251742886,0.0,0.5592059188346058,1.0,0.5240743511198801,1.0,0.44560580887809215,0.0,0.47008625623959865,0.0,0.5574528110217155,0.0,0.47848655164401677,0.0,0.8875013943637307,0.0,0.5592064475978243,0.0,0.2704707455200519,0.0,0.3873881654051552,0.0,0.3104696325800452,0.0,0.7158848996292362,0.0,0.622641099241197,0.0,0.5819086866540453,1.0,0.416566642928052,1.0,0.47191756443580507,0.0,0.7694187601712403,1.0,0.47045519954866266,1.0,0.4755482587049878,0.0,0.4469175160742052,0.0,0.871879091430358,1.0,0.49625214992052086,0.0,0.6465185616609185,0.0,0.48406967940812373,0.0,0.4298244860386476,0.0,0.6597236035494161,0.0,0.2148113494323376,1.0,0.4352205915811446
