method,n,tr_time,r2_test,tr_V0,pval0,tr_V1,pval1,tr_V2,pval2,tr_V3,pval3,tr_V4,pval4,tr_V5,pval5,tr_V6,pval6,tr_V7,pval7,tr_V8,pval8,tr_V9,pval9,tr_V10,pval10,tr_V11,pval11,tr_V12,pval12,tr_V13,pval13,tr_V14,pval14,tr_V15,pval15,tr_V16,pval16,tr_V17,pval17,tr_V18,pval18,tr_V19,pval19,tr_V20,pval20,tr_V21,pval21,tr_V22,pval22,tr_V23,pval23,tr_V24,pval24,tr_V25,pval25,tr_V26,pval26,tr_V27,pval27,tr_V28,pval28,tr_V29,pval29,tr_V30,pval30,tr_V31,pval31,tr_V32,pval32,tr_V33,pval33,tr_V34,pval34,tr_V35,pval35,tr_V36,pval36,tr_V37,pval37,tr_V38,pval38,tr_V39,pval39,tr_V40,pval40,tr_V41,pval41,tr_V42,pval42,tr_V43,pval43,tr_V44,pval44,tr_V45,pval45,tr_V46,pval46,tr_V47,pval47,tr_V48,pval48,tr_V49,pval49
LOCO-W,300,46.14447617530823,0.09313530293561167,1.0,0.2853627555609337,1.0,0.6650792316051635,0.0,0.23733886245749736,0.0,0.2895334990243016,0.0,0.5631516886294441,0.0,0.6475191850958404,0.0,0.1171251411944445,1.0,0.7613958641353846,0.0,0.7027008577425458,0.0,0.5613388638245647,0.0,0.8725094806337057,1.0,0.7753306107038235,0.0,0.24622554941345765,0.0,0.2609663083462903,1.0,0.19121362004164077,0.0,0.3332171681232007,1.0,0.18828238567090638,0.0,0.23933110493851129,0.0,0.22580537147237967,0.0,0.6538250163024732,0.0,0.5108498526147189,0.0,0.21298716763210057,0.0,0.6920662660635094,0.0,0.27124339546609444,1.0,0.49710906561691715,0.0,0.5652695568235742,0.0,0.6681744596376282,0.0,0.25100949304903,1.0,0.804049631873933,0.0,0.8655756991931565,0.0,0.3953181457100752,0.0,0.816200077020321,0.0,0.6420618795854588,1.0,0.39543802027740993,0.0,0.47938136771570994,0.0,0.22067384401682955,0.0,0.08462385045326815,0.0,0.04690897221321344,0.0,0.4887139016759958,1.0,0.33921014850446607,0.0,0.7370603377017128,0.0,0.7151990586366477,0.0,0.632266358407944,0.0,0.23250725076530498,0.0,0.27048338241095937,0.0,0.42800417205410135,1.0,0.6836872318923484,0.0,0.16693852483672655,1.0,0.8315783592668868,0.0,0.7807771589934098
CPI,300,4.763763189315796,0.09313530293561167,1.0,0.009938634918289752,1.0,0.006883680759368546,0.0,0.1696771774259524,0.0,0.13059332195033402,0.0,0.21292394165285405,0.0,0.12496757513718298,0.0,0.1500332842973694,1.0,0.028733434411262398,0.0,0.050551451604125046,0.0,0.5873744032378452,0.0,0.4372791512253461,1.0,0.7757460241767897,0.0,0.2633864823228773,0.0,0.36721556983456916,1.0,0.02521349343089253,0.0,0.17629617598482578,1.0,0.015651983574726046,0.0,0.017938998610474034,0.0,0.16325711591013814,0.0,0.2526459166094597,0.0,0.6390128948312789,0.0,0.1923402232342633,0.0,0.8233192999700312,0.0,0.2574198004852741,1.0,0.3273460858052841,0.0,0.5447786885976913,0.0,0.27419418548506314,0.0,0.7735521891923698,1.0,0.05567829316102977,0.0,0.6025776864720445,0.0,0.12611770239624992,0.0,0.02280886942189357,0.0,0.02045165740936823,1.0,0.035169711015200465,0.0,0.9599766397971796,0.0,0.8739572983861584,0.0,0.3529625126443138,0.0,0.08221720004203886,0.0,0.17034447100896716,1.0,0.04629634904292553,0.0,0.044637789292635385,0.0,0.2950771213301865,0.0,0.3994472457358865,0.0,0.6047347472259941,0.0,0.9363738932992017,0.0,0.5213637487296192,1.0,0.058093139559672956,0.0,0.8140272823120001,1.0,0.2543768674383676,0.0,0.6852235500051724
CPI_sqrt,300,4.7482311725616455,0.09313530293561167,1.0,0.26092701175335087,1.0,0.5616712880245058,0.0,0.20903925257100436,0.0,0.09688909316886368,0.0,0.281853502038092,0.0,0.4732131330042925,0.0,0.4106679487774805,1.0,0.019151375342714914,0.0,0.14080641596729715,0.0,0.4591199100594182,0.0,0.24244395978799976,1.0,0.7263002707181275,0.0,0.2109545375340845,0.0,0.15836996913552603,1.0,0.20485766101300562,0.0,0.20825827393621377,1.0,0.07676258726359828,0.0,0.20365054759598927,0.0,0.10939604452147411,0.0,0.35698821558238736,0.0,0.897188269867268,0.0,0.5158615463576965,0.0,0.8430737330345341,0.0,0.18636850350009748,1.0,0.5085816569014507,0.0,0.29900545792650235,0.0,0.7546853615356695,0.0,0.26037358636803754,1.0,0.0879864532158996,0.0,0.4082769577777183,0.0,0.03216242948350813,0.0,0.13336343681773122,0.0,0.042559648367045004,1.0,0.07732714463266423,0.0,0.9206058801683277,0.0,0.7425000978288405,0.0,0.544448516804986,0.0,0.7450441219674508,0.0,0.32727386288967364,1.0,0.08805108322807953,0.0,0.37620895194469617,0.0,0.17061380541812948,0.0,0.25452553197081895,0.0,0.3335801317151372,0.0,0.19739289719440822,0.0,0.3803106384434955,1.0,0.11238591427738354,0.0,0.5836749205583294,1.0,0.4331582219731653,0.0,0.8164971319279881
CPI_n,300,4.745246171951294,0.09313530293561167,1.0,0.03859599850672544,1.0,0.7380355955998246,0.0,0.09368672394850713,0.0,0.05792956388194734,0.0,0.03447474822309629,0.0,0.23458706948714236,0.0,0.3575153647808983,1.0,0.16305409903256513,0.0,0.09442310550867555,0.0,0.3960646148586892,0.0,0.10790683096671227,1.0,0.4303074428223424,0.0,0.16166605293944725,0.0,0.4936757537721835,1.0,0.010613818821441667,0.0,0.09556264118995711,1.0,0.384523023465518,0.0,0.10981945469451881,0.0,0.20866955466970616,0.0,0.020356871445352587,0.0,0.8592801975431528,0.0,0.2790984334719302,0.0,0.8371353147632121,0.0,0.46430318682356025,1.0,0.5679871605338436,0.0,0.43428629630591864,0.0,0.5696854153548062,0.0,0.2266142705669899,1.0,0.035738148666637735,0.0,0.24436069808448035,0.0,0.08770907227339408,0.0,0.2820853275398671,0.0,0.005422572239615606,1.0,0.1038308093835929,0.0,0.9440582904299524,0.0,0.9167075749184607,0.0,0.3803096857623442,0.0,0.6697032529895827,0.0,0.05599224651839571,1.0,0.6318949479495505,0.0,0.45676490245714285,0.0,0.49488859585112654,0.0,0.29472087179033046,0.0,0.43086694392523556,0.0,0.7827758065380875,0.0,0.4277264979447482,1.0,0.02041080331294608,0.0,0.5830410742494245,1.0,0.09802113131467888,0.0,0.9568393870565413
CPI_bt,300,4.938795804977417,0.09313530293561167,1.0,0.43184057765876127,1.0,0.5114779605175217,0.0,0.5314748914571455,0.0,0.40790050391081983,0.0,0.45613835740913017,0.0,0.6270169377988992,0.0,0.4463031516803392,1.0,0.39180100312875243,0.0,0.4778057258391838,0.0,0.4933567948403856,0.0,0.4628147944511494,1.0,0.5057516166124344,0.0,0.4701554695791511,0.0,0.46750672262401777,1.0,0.45918727624262273,0.0,0.48960883051642856,1.0,0.4414436025242361,0.0,0.5546823379372099,0.0,0.39632091753333765,0.0,0.43732957694628855,0.0,0.4580511755617712,0.0,0.4668434490321804,0.0,0.567470575842594,0.0,0.5647414746511579,1.0,0.47088641766520173,0.0,0.4554291725946221,0.0,0.5227301834669795,0.0,0.4984217937830298,1.0,0.45452787995853705,0.0,0.4646116946755077,0.0,0.4177271787626341,0.0,0.44608834750320675,0.0,0.325700142117026,1.0,0.4827974345311209,0.0,0.6146854470817577,0.0,0.47966089205403073,0.0,0.38169490246369797,0.0,0.4046536492444219,0.0,0.5319094978316075,1.0,0.47687029372948514,0.0,0.49079369246101684,0.0,0.47545475196420944,0.0,0.4861728513062487,0.0,0.6383227040954064,0.0,0.41472796584721117,0.0,0.4954570001445332,1.0,0.43102702877167204,0.0,0.5352689923731108,1.0,0.5057613058310895,0.0,0.5100703745306222
CPI_sqd,300,4.9369635581970215,0.09313530293561167,1.0,0.44591386137773326,1.0,0.5029402128114394,0.0,0.4646604831249962,0.0,0.45889988476579047,0.0,0.4766081988407829,0.0,0.4673699808546255,0.0,0.4729951501433131,1.0,0.44167564312972235,0.0,0.4717275955575207,0.0,0.39820603463097315,0.0,0.33069846022169025,1.0,0.47561015116066024,0.0,0.45943578002136365,0.0,0.5601730310964083,1.0,0.48352204623289774,0.0,0.4384455549642047,1.0,0.43866620435297715,0.0,0.487332808777066,0.0,0.41822849634010406,0.0,0.4601040872394805,0.0,0.48651913753500664,0.0,0.47466745449291764,0.0,0.566617024102855,0.0,0.44045881887077093,1.0,0.48756152710263223,0.0,0.48909875926602536,0.0,0.5701218795471458,0.0,0.4997341157350299,1.0,0.427332214282669,0.0,0.4995551686266967,0.0,0.3835280532374924,0.0,0.46194728478076685,0.0,0.461856526662698,1.0,0.48620242371576,0.0,0.5612751661945368,0.0,0.4787973176924471,0.0,0.44826157647384496,0.0,0.4837507817193157,0.0,0.4470320303076007,1.0,0.5139270887688592,0.0,0.43445732491651473,0.0,0.46763407807507135,0.0,0.5805352297456067,0.0,0.5037210857835274,0.0,0.5036394357565963,0.0,0.5055651854224594,1.0,0.4499384479629738,0.0,0.5245672995934538,1.0,0.5034716654555416,0.0,0.5103579445519131
S-CPI,300,4.912737607955933,0.09313530293561167,1.0,0.18026333804589595,1.0,0.7397282753710903,0.0,0.06075382777060739,0.0,0.12491849444308178,0.0,0.08563615437745964,0.0,0.5303022882253237,0.0,0.13663611412794363,1.0,0.023125386073739814,0.0,0.15247017421890274,0.0,0.34293227000832127,0.0,0.23727530348556786,1.0,0.6990786490303557,0.0,0.2862785890053814,0.0,0.45168240417567934,1.0,0.015982737864755292,0.0,0.7027031866421387,1.0,0.005567842432995616,0.0,0.1533655686828242,0.0,0.19724017590327325,0.0,0.21893311123980919,0.0,0.5640702002100295,0.0,0.32441440309478514,0.0,0.8939850771522874,0.0,0.3496755378205356,1.0,0.8296672236436258,0.0,0.6345385337286736,0.0,0.37624971795033757,0.0,0.5649568032480193,1.0,0.1610300137181152,0.0,0.5752541909102873,0.0,0.026468381137679277,0.0,0.4046862045013566,0.0,0.013190450211123111,1.0,0.0981722850677117,0.0,0.9953753493009384,0.0,0.7886380971670993,0.0,0.454067630248879,0.0,0.35196745659491036,0.0,0.5351531271901826,1.0,0.3598781033414863,0.0,0.10087084031443505,0.0,0.449471957916726,0.0,0.3630056269127474,0.0,0.3311391151693334,0.0,0.7331221755842315,0.0,0.5106538100440682,1.0,0.016492214612036798,0.0,0.8930669423641422,1.0,0.5378866904932765,0.0,0.9710935024932471
S-CPI_sqrt,300,4.923252105712891,0.09313530293561167,1.0,0.2535231253552971,1.0,0.8219400255753638,0.0,0.20689258249091202,0.0,0.1061149700752031,0.0,0.16214108227915897,0.0,0.6225069442308705,0.0,0.5163915312544155,1.0,0.1019874306800016,0.0,0.14257117356202448,0.0,0.5575127138496982,0.0,0.33333257964951324,1.0,0.7866448663379617,0.0,0.3226807840533826,0.0,0.4601900886073674,1.0,0.02765059365469174,0.0,0.6570067752929435,1.0,0.03969009969272711,0.0,0.256404472708525,0.0,0.15338090808765348,0.0,0.21533159852066025,0.0,0.4773589170772998,0.0,0.45709593988221897,0.0,0.7880413086757152,0.0,0.5364129075381109,1.0,0.7392520556004322,0.0,0.6717119239352329,0.0,0.8022848950498598,0.0,0.4876329149352901,1.0,0.20811727854338563,0.0,0.5428018120587113,0.0,0.07729320988421937,0.0,0.2954388032925459,0.0,0.0461486428841511,1.0,0.21525764750180043,0.0,0.970968291171192,0.0,0.5795766444209772,0.0,0.5282268135725807,0.0,0.35174673709374515,0.0,0.6884379785882466,1.0,0.2007596603370399,0.0,0.2725030596508597,0.0,0.42654556812575606,0.0,0.329144747197907,0.0,0.5650873882965951,0.0,0.5637664555378753,0.0,0.6172309041388516,1.0,0.02894600096286579,0.0,0.8256907951550827,1.0,0.40407814159030053,0.0,0.8920146506662323
S-CPI_n,300,4.913295745849609,0.09313530293561167,1.0,0.1138646826047377,1.0,0.842606524085155,0.0,0.27811521101904646,0.0,0.05963531959985396,0.0,0.10274584114807878,0.0,0.4358560773557363,0.0,0.5498540146085585,1.0,0.02212086665616762,0.0,0.13350268164539675,0.0,0.5408690012371155,0.0,0.411681213549925,1.0,0.6674699410208293,0.0,0.23513091709903,0.0,0.48797057093673546,1.0,0.008730360166497047,0.0,0.5100004257072318,1.0,0.005898491814116309,0.0,0.18229709007199302,0.0,0.22953316948597186,0.0,0.31625131994870614,0.0,0.6416680322453452,0.0,0.18332737172211894,0.0,0.858139746954959,0.0,0.19950215339033722,1.0,0.8128329318506369,0.0,0.6429130631838877,0.0,0.5831926746190754,0.0,0.24914165542251582,1.0,0.08330836382763063,0.0,0.7998643773234162,0.0,0.04163452733063448,0.0,0.17733135322705024,0.0,0.03294853300813371,1.0,0.18073325747662794,0.0,0.9884010816060564,0.0,0.6092905544431362,0.0,0.4389824754713845,0.0,0.4282564338648874,0.0,0.14985674563277018,1.0,0.1289982741255285,0.0,0.16638140440533744,0.0,0.48072595701792237,0.0,0.371025885258261,0.0,0.7374514951104295,0.0,0.6134061886380411,0.0,0.7406018502998312,1.0,0.02513822597242867,0.0,0.9492088029752117,1.0,0.5429017736925733,0.0,0.9437119172358527
S-CPI_bt,300,5.106428861618042,0.09313530293561167,1.0,0.444396899224268,1.0,0.5080407647795514,0.0,0.4846679215104335,0.0,0.4794040453488785,0.0,0.4673889793940663,0.0,0.440150590940555,0.0,0.49876081039840203,1.0,0.42610428768737557,0.0,0.4783906410316344,0.0,0.4977242733600704,0.0,0.4539205897444501,1.0,0.5072521367872693,0.0,0.4943984416749006,0.0,0.4901638398581492,1.0,0.4654505815455186,0.0,0.506087883351976,1.0,0.42611881366339865,0.0,0.4877646667040986,0.0,0.45720565126801777,0.0,0.4791965016305025,0.0,0.5113300658895897,0.0,0.4623816497028915,0.0,0.5429038223268349,0.0,0.46583063559497884,1.0,0.5180527126062062,0.0,0.5234736199038839,0.0,0.49432731172094035,0.0,0.4864889379424693,1.0,0.4767659564722907,0.0,0.5015251039823033,0.0,0.4584324014801916,0.0,0.49196453746901136,0.0,0.45282753158811545,1.0,0.4872505696643453,0.0,0.5799647007424152,0.0,0.5203930128421975,0.0,0.4766356720028782,0.0,0.47550147409671806,0.0,0.5057094424295302,1.0,0.47516478868728934,0.0,0.4707155077808137,0.0,0.4979122163202194,0.0,0.47829938038552866,0.0,0.4908986692010485,0.0,0.5077433338787284,0.0,0.5012363080789073,1.0,0.4659467803475173,0.0,0.5329338700091357,1.0,0.5108048528298089,0.0,0.5548991702670903
S-CPI_sqd,300,5.106090545654297,0.09313530293561167,1.0,0.47128280419797336,1.0,0.5148014825852657,0.0,0.46635135670332883,0.0,0.4663488041431638,0.0,0.46734098960454673,0.0,0.4545879175353934,0.0,0.47743008603998194,1.0,0.44418938054386403,0.0,0.47083175348730655,0.0,0.4862432157222466,0.0,0.5047124857743591,1.0,0.5197594322908913,0.0,0.4839463185825056,0.0,0.4792748517241872,1.0,0.4566165265536998,0.0,0.49752573318296484,1.0,0.4095269332130032,0.0,0.4778426609190616,0.0,0.47463410122565347,0.0,0.4850179626210655,0.0,0.4917672611032504,0.0,0.49493069030423004,0.0,0.5496668020628518,0.0,0.4932005308882259,1.0,0.5155305554478039,0.0,0.5195735895879053,0.0,0.5266542737065162,0.0,0.49826046357385273,1.0,0.4769265603985361,0.0,0.5260288429247745,0.0,0.4604016517418172,0.0,0.46634422394393055,0.0,0.44232039903324444,1.0,0.48528812815911365,0.0,0.6706209992480949,0.0,0.5214770226429539,0.0,0.5081455583419678,0.0,0.47022332997494637,0.0,0.5164746129754667,1.0,0.46475310442977746,0.0,0.4615209252253312,0.0,0.49516387174049986,0.0,0.48857952692923984,0.0,0.5384766523365266,0.0,0.513036321464921,0.0,0.5107860416838894,1.0,0.46943199477310643,0.0,0.5276390984104337,1.0,0.5164198460462185,0.0,0.551452607307188
