method,n,tr_time,r2_test,tr_V0,pval0,tr_V1,pval1,tr_V2,pval2,tr_V3,pval3,tr_V4,pval4,tr_V5,pval5,tr_V6,pval6,tr_V7,pval7,tr_V8,pval8,tr_V9,pval9,tr_V10,pval10,tr_V11,pval11,tr_V12,pval12,tr_V13,pval13,tr_V14,pval14,tr_V15,pval15,tr_V16,pval16,tr_V17,pval17,tr_V18,pval18,tr_V19,pval19,tr_V20,pval20,tr_V21,pval21,tr_V22,pval22,tr_V23,pval23,tr_V24,pval24,tr_V25,pval25,tr_V26,pval26,tr_V27,pval27,tr_V28,pval28,tr_V29,pval29,tr_V30,pval30,tr_V31,pval31,tr_V32,pval32,tr_V33,pval33,tr_V34,pval34,tr_V35,pval35,tr_V36,pval36,tr_V37,pval37,tr_V38,pval38,tr_V39,pval39,tr_V40,pval40,tr_V41,pval41,tr_V42,pval42,tr_V43,pval43,tr_V44,pval44,tr_V45,pval45,tr_V46,pval46,tr_V47,pval47,tr_V48,pval48,tr_V49,pval49
LOCO-W,300,143.8085377216339,0.2007324726308095,1.0,0.3858189253445564,0.0,0.5427423639124722,0.0,0.05682708973651196,0.0,0.9927742675309815,0.0,0.15749604896900649,0.0,0.4691143176793455,0.0,0.7598561219112432,1.0,0.025839964308584262,0.0,0.039992096667380794,0.0,0.9964111443163107,0.0,0.42698730074034397,1.0,0.5395382039402603,1.0,0.16258578879053442,0.0,0.5358615855002515,0.0,0.7487692911628809,0.0,0.21662165592388338,0.0,0.9860227387409786,0.0,0.9776788981057106,1.0,0.03704090595818643,1.0,0.4434932628574423,0.0,0.02080011030214557,1.0,0.0033932652827033394,0.0,0.04803998333960868,0.0,0.38977724592837093,0.0,0.13203455863760505,0.0,0.030852425553381635,0.0,0.46322651281537486,0.0,0.8383517711317563,0.0,0.6720301829929716,1.0,0.3702900773355964,1.0,0.7358034181878115,0.0,0.2323763571172498,0.0,0.8879872238870791,1.0,0.8335150391093212,0.0,0.9922392961586661,0.0,0.9067692645456875,0.0,0.6731274333818307,0.0,0.759682146151939,0.0,0.7291271541960097,0.0,0.5361721769690118,0.0,0.16113479975760137,0.0,0.9824692008735613,0.0,0.3604266794205374,1.0,0.9911401549696897,0.0,0.2987601467195595,0.0,0.3370576082045782,0.0,0.42436585902661017,1.0,0.4933780671433833,0.0,0.6933902987240668,0.0,0.041728656900344996
CPI,300,6.579896926879883,0.2007324726308095,1.0,0.11775731284986818,0.0,0.8058979026834924,0.0,0.5011038945613696,0.0,0.8149546976219784,0.0,0.2442227324728481,0.0,0.6681300542397774,0.0,0.8751868949289947,1.0,0.13490978933205866,0.0,0.43734727539233015,0.0,0.2161099978015915,0.0,0.029670879013799768,1.0,0.02744721006523884,1.0,0.022172401968889678,0.0,0.7110086604073234,0.0,0.1484891169609287,0.0,0.8539511120264843,0.0,0.744111897743446,0.0,0.21171139808117517,1.0,0.10889805326934116,1.0,0.2448006816446846,0.0,0.8095770694117537,1.0,0.6781188929048085,0.0,0.037941007934167596,0.0,0.6966279819505138,0.0,0.1032373681014418,0.0,0.18259968855275538,0.0,0.22155225806270562,0.0,0.3999694105451613,0.0,0.6375276021571371,1.0,0.8691261424278931,1.0,0.2595478626795871,0.0,0.677193162313291,0.0,0.4200792976722888,1.0,0.9296304740434775,0.0,0.12284064377027193,0.0,0.43729736617130494,0.0,0.23099217001972655,0.0,0.555996683177748,0.0,0.38808360069736686,0.0,0.9518790715031972,0.0,0.8982401317849109,0.0,0.4025708485364257,0.0,0.4582258557665158,1.0,0.8305664245758009,0.0,0.9116067447000771,0.0,0.4957484654403902,0.0,0.12171600281887712,1.0,0.14754635050087678,0.0,0.578219135900597,0.0,0.2565149717160756
CPI_sqrt,300,6.579484939575195,0.2007324726308095,1.0,0.07653876783099717,0.0,0.5662152056691027,0.0,0.6393024771283944,0.0,0.5176503787433127,0.0,0.36684151705306284,0.0,0.6222187996653568,0.0,0.424295190100886,1.0,0.18153658200391753,0.0,0.4178233650770252,0.0,0.5407573688063878,0.0,0.2355606972366872,1.0,0.6134954793896724,1.0,0.02548244037360728,0.0,0.6668232525941465,0.0,0.2710984334687211,0.0,0.8218502094351554,0.0,0.31050382976420265,0.0,0.32961927732817214,1.0,0.18663849359319634,1.0,0.15397877499662854,0.0,0.4120559440015382,1.0,0.5027800483905951,0.0,0.3466309665506282,0.0,0.33147708637561535,0.0,0.48960236725597467,0.0,0.37831313648415477,0.0,0.6448495979073166,0.0,0.726897869523438,0.0,0.5014333775549453,1.0,0.21767404880429664,1.0,0.15846821238253206,0.0,0.38038634259373727,0.0,0.5543742839983458,1.0,0.6412287721508406,0.0,0.4722150524392246,0.0,0.48460036111909643,0.0,0.4988128702673149,0.0,0.5702857594981822,0.0,0.6481516801287007,0.0,0.569917486115164,0.0,0.5901546504858988,0.0,0.5902110828350244,0.0,0.7517901677335398,1.0,0.5580798391551984,0.0,0.4927155970874317,0.0,0.5797944280809796,0.0,0.3551336518876324,1.0,0.5143891674809432,0.0,0.5512250817147528,0.0,0.6706186317785657
CPI_n,300,6.596259355545044,0.2007324726308095,1.0,0.14732358201851964,0.0,0.4416313395064905,0.0,0.37188751920143315,0.0,0.569821144751257,0.0,0.23661660314363625,0.0,0.5534329594583501,0.0,0.6282331134975626,1.0,0.32041220047047103,0.0,0.5463598100521543,0.0,0.30221602922409097,0.0,0.12823824355085245,1.0,0.08287317160647972,1.0,0.07276527457685623,0.0,0.7661993459503869,0.0,0.16258905982453903,0.0,0.9235749911540304,0.0,0.2780583049046953,0.0,0.2705965894303576,1.0,0.05916520672360096,1.0,0.03497623526345971,0.0,0.07722458634221836,1.0,0.7575801794442226,0.0,0.17828378926478633,0.0,0.20104122615638714,0.0,0.3598103746102169,0.0,0.250269295635547,0.0,0.35363465542082284,0.0,0.31710878304751206,0.0,0.5093910430460046,1.0,0.19814622242993818,1.0,0.0399107602318881,0.0,0.2382078743910886,0.0,0.15529188105054664,1.0,0.49992344747973483,0.0,0.5737309013316771,0.0,0.8608627761789314,0.0,0.7737653842786236,0.0,0.7518347046271937,0.0,0.6860112127691231,0.0,0.8703734337231139,0.0,0.49007072390290274,0.0,0.9688767477452868,0.0,0.5379753668146487,1.0,0.6396094487767316,0.0,0.8122309016244397,0.0,0.7457843195167188,0.0,0.3021948436947115,1.0,0.0650750592491108,0.0,0.12830330834077935,0.0,0.8035956507291475
CPI_bt,300,6.783986568450928,0.2007324726308095,1.0,0.4748638524533689,0.0,0.6045722888580968,0.0,0.5723789803036311,0.0,0.37492867369938376,0.0,0.3549013897188612,0.0,0.49163042533153417,0.0,0.3253846761983673,1.0,0.443009664484666,0.0,0.5188031322074366,0.0,0.826340615945069,0.0,0.3867450052468826,1.0,0.5463067242853696,1.0,0.5039622124369731,0.0,0.5357597980013757,0.0,0.44866857069991567,0.0,0.5189449432534315,0.0,0.2975424627586152,0.0,0.5091940709816537,1.0,0.4635179882062075,1.0,0.48636749491169273,0.0,0.6103853529374602,1.0,0.46770912950609467,0.0,0.281637035180381,0.0,0.27575125464901745,0.0,0.31655585449329116,0.0,0.6029624066248035,0.0,0.13168743332417732,0.0,0.5052346663329631,0.0,0.42120345306160406,1.0,0.4830615091832645,1.0,0.4549630276662514,0.0,0.36283499738455327,0.0,0.27899277329171135,1.0,0.4496206547138814,0.0,0.1630036089647744,0.0,0.8003722391438282,0.0,0.67076405740201,0.0,0.7619184755819375,0.0,0.31037957745207534,0.0,0.7275364812089006,0.0,0.7411580739098216,0.0,0.8163729886407901,0.0,0.8802080167533587,1.0,0.6577931131469925,0.0,0.49807549655576666,0.0,0.23510584159845854,0.0,0.3479771957120661,1.0,0.5166221364354538,0.0,0.7788253284503929,0.0,0.4895147640620539
CPI_sqd,300,6.763763904571533,0.2007324726308095,1.0,0.3709036799714562,0.0,0.6716069070339844,0.0,0.634217514741997,0.0,0.9229133327764492,0.0,0.2236242208992627,0.0,0.5928122598749612,0.0,0.6416088642819127,1.0,0.48119233731499267,0.0,0.5413644123814757,0.0,0.8895966266217192,0.0,0.10112774092434273,1.0,0.30954878546601694,1.0,0.4769543961922643,0.0,0.5350879405448441,0.0,0.46530875910471303,0.0,0.4969058391412173,0.0,0.28739175125021643,0.0,0.43107269351824506,1.0,0.46836140419088407,1.0,0.4772258317045282,0.0,0.7218832842535431,1.0,0.464740339851485,0.0,0.08377476287782687,0.0,0.051558339205577224,0.0,0.27391025731077107,0.0,0.009106216801742029,0.0,0.6387047990097166,0.0,0.6955109152117407,0.0,0.42899076325948454,1.0,0.47984473700440666,1.0,0.4637179277718006,0.0,0.4148647263843852,0.0,0.22272764413921986,1.0,0.3898265377181118,0.0,0.45620857806142023,0.0,0.5278170061520471,0.0,0.5352803320120241,0.0,0.6559420985425156,0.0,0.45075525391993887,0.0,0.9994997321317901,0.0,0.9286808814313963,0.0,0.46875913529794117,0.0,0.7591339831702615,1.0,0.7282306669307379,0.0,0.589808765242442,0.0,0.6267224337003419,0.0,0.40195122537829314,1.0,0.39257640915774744,0.0,0.3933910370163848,0.0,0.7493943994910197
S-CPI,300,18.463234901428223,0.2007324726308095,1.0,0.06944439055835883,0.0,0.28665743475649386,0.0,0.5713357231418722,0.0,0.9785879991536999,0.0,0.03150580543465291,0.0,0.6750619319573453,0.0,0.21643140541952594,1.0,0.09238207211273025,0.0,0.33802456182900287,0.0,0.6368394487534174,0.0,0.0926797021227479,1.0,0.13649654422895713,1.0,0.07070818585352022,0.0,0.8445236675838315,0.0,0.15928180309488177,0.0,0.9506901455249527,0.0,0.08372652961309007,0.0,0.19281055117499535,1.0,0.08172342131746424,1.0,0.1567115094961979,0.0,0.4921276334019887,1.0,0.7662218402563985,0.0,0.08129054172575012,0.0,0.3871424215160245,0.0,0.1268865200271208,0.0,0.028415832421185182,0.0,0.4866181541838218,0.0,0.7015396048997156,0.0,0.4967727883361546,1.0,0.1256272607562529,1.0,0.1365073228563008,0.0,0.5196521128786283,0.0,0.13886554308249704,1.0,0.41529866410741567,0.0,0.2261108054371525,0.0,0.7755784811549562,0.0,0.4106561668254518,0.0,0.890321148667913,0.0,0.5097925478588946,0.0,0.981764157269479,0.0,0.9326064614075763,0.0,0.8887681665490035,0.0,0.8409560414694033,1.0,0.5307461141828338,0.0,0.07822330623055997,0.0,0.7541645592800407,0.0,0.2040899953704618,1.0,0.2064647943707293,0.0,0.3761452612456849,0.0,0.6826880025153247
S-CPI_sqrt,300,18.465108156204224,0.2007324726308095,1.0,0.09948839559593936,0.0,0.4334594735788629,0.0,0.46006584295644654,0.0,0.6313233844015158,0.0,0.3025112822156253,0.0,0.6289225905415212,0.0,0.5042941975721452,1.0,0.3513917862038677,0.0,0.4373271742744623,0.0,0.5328753733613294,0.0,0.32224553261991395,1.0,0.22935687856559167,1.0,0.20263678644471272,0.0,0.8519690716030032,0.0,0.17386244637490578,0.0,0.9186948173790314,0.0,0.40772989193205006,0.0,0.23338092839523544,1.0,0.1389711084175621,1.0,0.25510458886619314,0.0,0.5219680586159191,1.0,0.6621471123208968,0.0,0.3871694311491797,0.0,0.444755381607156,0.0,0.40308714279555746,0.0,0.3889846026571586,0.0,0.39307984812847685,0.0,0.5534985369886495,0.0,0.4676875094155519,1.0,0.1385762870412019,1.0,0.05602058825279543,0.0,0.5832882302180489,0.0,0.348216846024253,1.0,0.39864199694946656,0.0,0.3615637364464793,0.0,0.6170403659132152,0.0,0.46329611399277865,0.0,0.6160689898981139,0.0,0.5065430201157931,0.0,0.5830092048102027,0.0,0.6058440400846111,0.0,0.7402768239498353,0.0,0.6401830548105427,1.0,0.6646755518472617,0.0,0.4288327230267202,0.0,0.5605747514993549,0.0,0.34727309001562257,1.0,0.31879320370621006,0.0,0.44262449439970625,0.0,0.44926148117240694
S-CPI_n,300,18.45803165435791,0.2007324726308095,1.0,0.06073376775773288,0.0,0.4462452410181113,0.0,0.350831364933118,0.0,0.8503162090130154,0.0,0.1512495889944669,0.0,0.8321738443643405,0.0,0.32598379976767927,1.0,0.11043289227241965,0.0,0.3517788609557677,0.0,0.49755536557073504,0.0,0.06753278604722081,1.0,0.07228893658836417,1.0,0.05645199200878333,0.0,0.8375261811980672,0.0,0.13632240008017765,0.0,0.9501423306130643,0.0,0.242659706766149,0.0,0.3004807536123633,1.0,0.07100687460635868,1.0,0.1161037487502104,0.0,0.6769993088796751,1.0,0.5188230565553931,0.0,0.3199822540430076,0.0,0.3299320792471927,0.0,0.12664100836343778,0.0,0.227697962997707,0.0,0.49231369414738796,0.0,0.5178565303483448,0.0,0.7300496849280749,1.0,0.08403229249015415,1.0,0.11478857435890788,0.0,0.3997039581711178,0.0,0.12606122391600172,1.0,0.4805968909354517,0.0,0.22230272981673316,0.0,0.7242460580636332,0.0,0.36663479179144576,0.0,0.7680835418645453,0.0,0.5163815309093264,0.0,0.8404766366654306,0.0,0.858332410332747,0.0,0.9053359149064297,0.0,0.8638176054077591,1.0,0.8432499327477949,0.0,0.2751642138559754,0.0,0.7456200057733182,0.0,0.21654829832066963,1.0,0.20672600405006247,0.0,0.39212691875180417,0.0,0.41773155566285963
S-CPI_bt,300,18.655081748962402,0.2007324726308095,1.0,0.4771341192817733,0.0,0.4583117727765946,0.0,0.3203984569222727,0.0,0.8359896327328644,0.0,0.2533540522305195,0.0,0.71544180688043,0.0,0.35069702534524494,1.0,0.48050969989489495,0.0,0.4827714585472191,0.0,0.5697151547496778,0.0,0.3805052997574404,1.0,0.43048094064099574,1.0,0.47840522423732046,0.0,0.5414797094777082,0.0,0.4573196044167052,0.0,0.5145287012851146,0.0,0.36104981013439796,0.0,0.47311342077709523,1.0,0.4787872034518309,1.0,0.4772963135434664,0.0,0.5135505384853567,1.0,0.5089604362392831,0.0,0.3523107581041659,0.0,0.5191609380527327,0.0,0.15076377963606347,0.0,0.14519429719772753,0.0,0.5228576413294795,0.0,0.6161689782453328,0.0,0.5220222916661328,1.0,0.4807577123805122,1.0,0.4558133798281159,0.0,0.514620311334699,0.0,0.367215672709565,1.0,0.4976089448025495,0.0,0.3009156227529104,0.0,0.6892102490121237,0.0,0.4598191338504285,0.0,0.7534306485581233,0.0,0.5148120444001619,0.0,0.9047863328430004,0.0,0.6766660770004733,0.0,0.5956242283021348,0.0,0.6063437962122424,1.0,0.4837389267676334,0.0,0.42050700444334344,0.0,0.5882932152423993,0.0,0.3997328492082979,1.0,0.4544872200421927,0.0,0.34035220079806205,0.0,0.45596881206854023
