method,n,tr_time,r2_test,tr_V0,pval0,tr_V1,pval1,tr_V2,pval2,tr_V3,pval3,tr_V4,pval4,tr_V5,pval5,tr_V6,pval6,tr_V7,pval7,tr_V8,pval8,tr_V9,pval9,tr_V10,pval10,tr_V11,pval11,tr_V12,pval12,tr_V13,pval13,tr_V14,pval14,tr_V15,pval15,tr_V16,pval16,tr_V17,pval17,tr_V18,pval18,tr_V19,pval19,tr_V20,pval20,tr_V21,pval21,tr_V22,pval22,tr_V23,pval23,tr_V24,pval24,tr_V25,pval25,tr_V26,pval26,tr_V27,pval27,tr_V28,pval28,tr_V29,pval29,tr_V30,pval30,tr_V31,pval31,tr_V32,pval32,tr_V33,pval33,tr_V34,pval34,tr_V35,pval35,tr_V36,pval36,tr_V37,pval37,tr_V38,pval38,tr_V39,pval39,tr_V40,pval40,tr_V41,pval41,tr_V42,pval42,tr_V43,pval43,tr_V44,pval44,tr_V45,pval45,tr_V46,pval46,tr_V47,pval47,tr_V48,pval48,tr_V49,pval49
LOCO-W,1000,4130.040692806244,0.3062465178878271,0.0,0.30668710039392,0.0,0.999999383907021,0.0,0.0025828118025583713,0.0,0.9159548292762607,1.0,0.38675716579123787,1.0,0.00011289566029626386,0.0,6.741922575770332e-10,1.0,0.03720621934114854,0.0,0.14059414474029075,0.0,5.551115123125783e-16,1.0,1.9745449719721364e-10,0.0,0.9893447977699099,0.0,0.3056934726342213,1.0,0.003703062981121663,0.0,0.999997792344216,1.0,0.0,1.0,0.43441971668338253,1.0,5.730977379481139e-05,0.0,0.9933679244837371,0.0,2.0883275255401124e-05,1.0,1.607576548667833e-05,0.0,0.0017946010188841788,0.0,2.8417076469722247e-09,0.0,0.9999999998264054,0.0,0.9999999999588305,0.0,0.22809439978411183,0.0,0.999647091382201,0.0,0.919142554646206,1.0,3.067531679779023e-07,0.0,0.7867209084545017,0.0,0.9999999862920181,0.0,0.8993831198101112,0.0,0.9999999967865809,0.0,0.9999999999246281,0.0,0.999830634394412,1.0,0.2983857550240473,0.0,3.343875773942351e-06,0.0,0.9999488983197333,0.0,0.5579971633239051,0.0,0.9980557876664489,0.0,0.999999951993846,0.0,0.23120077804332018,0.0,0.5984489968132671,0.0,0.10510390089464727,0.0,0.18252273250279827,0.0,0.43171936558740565,0.0,0.8082779260189297,0.0,2.3869795029440866e-14,0.0,0.9897072033532481,1.0,0.9779159064892814
CPI,1000,69.87121367454529,0.3062465178878271,0.0,0.36420057144536067,0.0,0.7730224680120105,0.0,0.15195422282945648,0.0,0.979340610037501,1.0,0.02982614260421564,1.0,0.34273059403661565,0.0,0.0839497702709846,1.0,0.003347411194630899,0.0,0.8195171940506691,0.0,0.41330296604331346,1.0,0.2790006068118419,0.0,0.8261896301460416,0.0,0.9342784085956609,1.0,0.05418758071264007,0.0,0.26601962672146484,1.0,0.1050846968691923,1.0,0.2261811987150134,1.0,0.5125472952413836,0.0,0.24212162072372256,0.0,0.8219338635280191,1.0,0.39813628441974125,0.0,0.7343033362172666,0.0,0.004850499844344829,0.0,0.05683278444283647,0.0,0.0007686755714611907,0.0,0.6465619115811089,0.0,0.630776424171396,0.0,0.6773036637246721,1.0,0.0065722874759335265,0.0,0.963904509617458,0.0,0.4886143400373821,0.0,0.10757921459011871,0.0,0.6871746273349795,0.0,0.38902082092755547,0.0,0.3219705781692084,1.0,0.11653858576283438,0.0,0.7903715434590757,0.0,0.23530576469767994,0.0,0.755078045492944,0.0,0.7309611857726801,0.0,0.6742627532385977,0.0,0.30173575248518925,0.0,0.09033261221105704,0.0,0.426308965326778,0.0,0.12142029993515974,0.0,0.4322467394424883,0.0,0.18960158909825764,0.0,0.09417839199589573,0.0,0.8343018448303643,1.0,0.0013121387692990197
CPI_sqrt,1000,69.82629609107971,0.3062465178878271,0.0,0.4092977093196427,0.0,0.7099438208666541,0.0,0.22354056999746208,0.0,0.6535083516195928,1.0,0.12653221285862998,1.0,0.15070993306122754,0.0,0.1463965169042199,1.0,0.2685729481279367,0.0,0.5458065811620458,0.0,0.46577692357505524,1.0,0.1234930958268935,0.0,0.6769349842735088,0.0,0.23509397913023466,1.0,0.023392076713508795,0.0,0.8583732111892077,1.0,0.1714996093421015,1.0,0.16845937194771,1.0,0.5022758262221063,0.0,0.4158373363108961,0.0,0.622546319779121,1.0,0.53283130207946,0.0,0.545496634330912,0.0,0.42811857028656036,0.0,0.5312349581320692,0.0,0.272806588717035,0.0,0.46267618447626846,0.0,0.5873325499809186,0.0,0.5977343900763357,1.0,0.0596196306152117,0.0,0.6000778084033216,0.0,0.5865264126911716,0.0,0.5212479365673296,0.0,0.3817482873086267,0.0,0.2718838227091416,0.0,0.4285975179899394,1.0,0.500712199178756,0.0,0.5434832443067565,0.0,0.4243756766831954,0.0,0.4656972401330611,0.0,0.4262451190973793,0.0,0.5768910451483608,0.0,0.31762150385208304,0.0,0.39206164373229446,0.0,0.5601555883954307,0.0,0.419203653063685,0.0,0.44364175001360595,0.0,0.3214844505911672,0.0,0.42885134963791927,0.0,0.5900659533579825,1.0,0.07043305827757446
CPI_n,1000,69.8602557182312,0.3062465178878271,0.0,0.3777742181862976,0.0,0.5808024886292034,0.0,0.2234846800485169,0.0,0.9340320442120305,1.0,0.1010283918549279,1.0,0.661571528860746,0.0,0.45909460731774177,1.0,0.10570154031043927,0.0,0.8286050009526966,0.0,0.19165106689203554,1.0,0.5282002735874511,0.0,0.856004680002858,0.0,0.46077780148345465,1.0,0.024697722700393936,0.0,0.6997353509830477,1.0,0.007802852370053884,1.0,0.0020863716428794503,1.0,0.46009937067123674,0.0,0.42352613553967233,0.0,0.7749981532629224,1.0,0.26176780886168877,0.0,0.9383770180669471,0.0,0.13698166583330362,0.0,0.2882394475255777,0.0,0.008549704975133503,0.0,0.8568440442856619,0.0,0.6138900235757453,0.0,0.7443791152247419,1.0,0.03611650336972866,0.0,0.6997370321215183,0.0,0.8326225908288507,0.0,0.4220340161018996,0.0,0.4746820400166506,0.0,0.18603934318260779,0.0,0.3890736897359486,1.0,0.15173803286865178,0.0,0.28412951476917103,0.0,0.7338031543369236,0.0,0.5115505410652056,0.0,0.5939802077620993,0.0,0.4132469753449576,0.0,0.09205673555667193,0.0,0.12109010432141504,0.0,0.8523453658391388,0.0,0.11673381621734308,0.0,0.7863710042314906,0.0,0.18976227515042865,0.0,0.08504360237911951,0.0,0.8845803243591355,1.0,0.0014001244270404449
CPI_bt,1000,70.9001955986023,0.3062465178878271,0.0,0.26966585234488694,0.0,0.25892797787652505,0.0,0.3043467896324905,0.0,0.9383247514880068,1.0,0.31908366599463756,1.0,0.4754419110368878,0.0,0.5385998803043162,1.0,0.4112112509240361,0.0,0.618710082653006,0.0,0.8917108361740647,1.0,0.27389065317790784,0.0,0.5747329984591943,0.0,0.6389117724863097,1.0,0.4582197029772629,0.0,0.6069971183770216,1.0,0.44969561156875193,1.0,0.14515179331716255,1.0,0.47740938114885584,0.0,0.3664750019977326,0.0,0.5248906131463046,1.0,0.43156811696859626,0.0,0.9571479772033917,0.0,0.0505489187155792,0.0,0.046621449133187665,0.0,0.010712359827558426,0.0,0.9731592515074536,0.0,0.5557308327723232,0.0,0.5249777540871604,1.0,0.48075424628731056,0.0,0.3313519938343611,0.0,0.48577628164724784,0.0,0.5640486035508059,0.0,0.7981961399796504,0.0,0.0063806270777902645,0.0,0.18824614383073868,1.0,0.3518714106972529,0.0,0.7338562107266255,0.0,0.4652885603890104,0.0,0.5805353048130947,0.0,0.18056910319022107,0.0,0.858402729788008,0.0,0.5808050889941958,0.0,0.1348935981003297,0.0,0.8427897229762702,0.0,0.008881464302347906,0.0,0.4364775477788013,0.0,0.019394961842442396,0.0,0.29532788261185206,0.0,0.9094430064857906,1.0,0.12444956857209888
CPI_sqd,1000,70.85670495033264,0.3062465178878271,0.0,0.3412135041468368,0.0,0.5916091085471502,0.0,0.3773526821372188,0.0,0.9143432126460929,1.0,0.3409858510630286,1.0,0.45346288124807704,0.0,0.5112195244540619,1.0,0.4089355074693037,0.0,0.14460010147526325,0.0,0.650406034495481,1.0,0.2744502148446314,0.0,0.6649341535567455,0.0,0.37917520698769247,1.0,0.4586940431281317,0.0,0.6736609626452335,1.0,0.4845115155259679,1.0,0.1445633985732031,1.0,0.489812471320753,0.0,0.0348824494549717,0.0,0.6716630495609279,1.0,0.4107585654043426,0.0,0.9873786865376051,0.0,0.3074886104041018,0.0,0.7239131891365854,0.0,0.0008836636959503973,0.0,0.7497082256242844,0.0,0.5715534363754823,0.0,0.539618411956646,1.0,0.3904808023184664,0.0,0.5239342467308722,0.0,0.5950059336771995,0.0,0.47475643138766227,0.0,0.1234806115542979,0.0,0.0037985970639175083,0.0,0.11057062795306016,1.0,0.39616456675125333,0.0,0.43060243940089227,0.0,0.16063790788082122,0.0,0.5633153840014085,0.0,0.13349173338714565,0.0,0.02373379469651724,0.0,0.10023372614376452,0.0,0.015243215377870024,0.0,0.9999797403033353,0.0,8.460474217701211e-05,0.0,0.28406868073237446,0.0,0.08177459884298999,0.0,0.22747317891375407,0.0,0.165722714971749,1.0,0.13085196658341097
S-CPI,1000,86.40668940544128,0.3062465178878271,0.0,0.32512391127949525,0.0,0.7905860358063429,0.0,0.1648785358457734,0.0,0.8977160697977861,1.0,0.044881554859179794,1.0,0.2988410014233074,0.0,0.6840033519396242,1.0,0.11349835693550314,0.0,0.9717369630787916,0.0,0.3983413920281037,1.0,0.04326481512178983,0.0,0.9241473010529261,0.0,0.48176752799349365,1.0,0.007365986026501086,0.0,0.772948610936107,1.0,0.18107268891062422,1.0,0.01461055096785548,1.0,0.6533277393049093,0.0,0.46812224256668367,0.0,0.8714294509469511,1.0,0.45904105231269693,0.0,0.839977704116687,0.0,0.10162341656345969,0.0,0.4156876960426257,0.0,0.0027755130466982835,0.0,0.612350129849271,0.0,0.8939714859247576,0.0,0.38196366887806926,1.0,0.05009336122710482,0.0,0.7141428238713717,0.0,0.6944836074199032,0.0,0.2097172982070159,0.0,0.6032506124850463,0.0,0.02791903891200399,0.0,0.4363300174623863,1.0,0.39977536819134973,0.0,0.4189665051826808,0.0,0.41794554507742815,0.0,0.6202248151812373,0.0,0.24729758932308432,0.0,0.43404678919588674,0.0,0.1483280700528698,0.0,0.03747617221528698,0.0,0.9010878200756987,0.0,0.11506951821489941,0.0,0.4379007928047408,0.0,0.18896123551931732,0.0,0.13944125079332148,0.0,0.7656525072084991,1.0,0.00010953739154477286
S-CPI_sqrt,1000,86.4511833190918,0.3062465178878271,0.0,0.5225003213334056,0.0,0.5928449190365783,0.0,0.2514548830382478,0.0,0.7561094287278312,1.0,0.04990017101387987,1.0,0.5952367393511714,0.0,0.5452693603138341,1.0,0.2153306863414443,0.0,0.5626543288319197,0.0,0.5204041663884077,1.0,0.26085116525927365,0.0,0.7302609866245774,0.0,0.5239240447552107,1.0,0.01573783921456708,0.0,0.570599800292832,1.0,0.3153674746719576,1.0,0.07888124715715594,1.0,0.8336432171169654,0.0,0.4728397016339516,0.0,0.8121029220694211,1.0,0.3890706829155588,0.0,0.6392233841785596,0.0,0.22981884492344878,0.0,0.5005856085419262,0.0,0.09283745199603194,0.0,0.5935846487906984,0.0,0.7188506456487681,0.0,0.43523507514571896,1.0,0.057850967630910716,0.0,0.5916041885818588,0.0,0.5897307317743904,0.0,0.33471977610707715,0.0,0.5364271025863272,0.0,0.19422938023576625,0.0,0.5874683403782708,1.0,0.35779124146855723,0.0,0.6407670101562091,0.0,0.4494095033553145,0.0,0.5170062890567922,0.0,0.44296875159390936,0.0,0.49449638463449874,0.0,0.451605706415286,0.0,0.35995615251593993,0.0,0.6241764338764081,0.0,0.341749228214558,0.0,0.4805253021998938,0.0,0.3642502988858126,0.0,0.36304027444600984,0.0,0.6652343963562651,1.0,0.01141579191925457
S-CPI_n,1000,86.54955220222473,0.3062465178878271,0.0,0.41327292801622445,0.0,0.6401565798247048,0.0,0.08427688700373998,0.0,0.8586743937425869,1.0,0.010642034711023337,1.0,0.3448732020169378,0.0,0.6655002263270755,1.0,0.04215955529233782,0.0,0.5127482742464202,0.0,0.3428529669367715,1.0,0.030750465564407616,0.0,0.866427332282347,0.0,0.17497099690400714,1.0,0.014487794594085251,0.0,0.7530501912248978,1.0,0.19490932775248337,1.0,0.01508996065220634,1.0,0.3538120592706197,0.0,0.29269144954194304,0.0,0.9033681391339661,1.0,0.4475348376891721,0.0,0.7426884761606528,0.0,0.07646688925835005,0.0,0.3413767416531189,0.0,0.001915476131798282,0.0,0.7773735096530736,0.0,0.7721456104063283,0.0,0.4542318787002763,1.0,0.013982094804050818,0.0,0.6451890193080878,0.0,0.5850918204496129,0.0,0.11468723372703132,0.0,0.3008450201584606,0.0,0.019655324218991455,0.0,0.27738664262680024,1.0,0.2683832586401005,0.0,0.6776368355475284,0.0,0.3291167581756108,0.0,0.5088583478878899,0.0,0.4063788346227263,0.0,0.5483972511802314,0.0,0.2562857976380828,0.0,0.05783040341477298,0.0,0.8841036399436071,0.0,0.2571162689334373,0.0,0.5205237704037456,0.0,0.20914253457881882,0.0,0.17744716892110468,0.0,0.8688644059245028,1.0,0.000885537862349003
S-CPI_bt,1000,87.55450820922852,0.3062465178878271,0.0,0.28875562713947545,0.0,0.6949702237999918,0.0,0.40518488353440035,0.0,0.8352610071713942,1.0,0.37627235439725154,1.0,0.4912788450640011,0.0,0.5619898425508006,1.0,0.4565739545058899,0.0,0.6212841612492582,0.0,0.44515910725675567,1.0,0.28430015077249926,0.0,0.765608301176153,0.0,0.5328212787428097,1.0,0.46992703943786607,0.0,0.5515573379362704,1.0,0.445432078169949,1.0,0.07154097719638931,1.0,0.5224735607754253,0.0,0.19262911938960375,0.0,0.5970157085900245,1.0,0.49976168574213714,0.0,0.9451331450557775,0.0,0.3412747122189457,0.0,0.656554418759252,0.0,0.0018525668165010167,0.0,0.7685332618724019,0.0,0.733891815691838,0.0,0.4047723721292795,1.0,0.4435075356750239,0.0,0.8091107156193509,0.0,0.5762856381271022,0.0,0.3024875407771216,0.0,0.4709649294097943,0.0,0.10145144944348239,0.0,0.4172655734146324,1.0,0.4505559540019224,0.0,0.5494535773858997,0.0,0.39395169507827554,0.0,0.572139774348102,0.0,0.4488039498801445,0.0,0.4073654800739114,0.0,0.10071933692826146,0.0,0.006985156828374863,0.0,0.9309170260100478,0.0,0.09772678070119306,0.0,0.36466811717819847,0.0,0.07434417041206624,0.0,0.29107600651301535,0.0,0.5724736410354654,1.0,0.16252897417012235
