method,n,tr_time,r2_test,tr_V0,pval0,tr_V1,pval1,tr_V2,pval2,tr_V3,pval3,tr_V4,pval4,tr_V5,pval5,tr_V6,pval6,tr_V7,pval7,tr_V8,pval8,tr_V9,pval9,tr_V10,pval10,tr_V11,pval11,tr_V12,pval12,tr_V13,pval13,tr_V14,pval14,tr_V15,pval15,tr_V16,pval16,tr_V17,pval17,tr_V18,pval18,tr_V19,pval19,tr_V20,pval20,tr_V21,pval21,tr_V22,pval22,tr_V23,pval23,tr_V24,pval24,tr_V25,pval25,tr_V26,pval26,tr_V27,pval27,tr_V28,pval28,tr_V29,pval29,tr_V30,pval30,tr_V31,pval31,tr_V32,pval32,tr_V33,pval33,tr_V34,pval34,tr_V35,pval35,tr_V36,pval36,tr_V37,pval37,tr_V38,pval38,tr_V39,pval39,tr_V40,pval40,tr_V41,pval41,tr_V42,pval42,tr_V43,pval43,tr_V44,pval44,tr_V45,pval45,tr_V46,pval46,tr_V47,pval47,tr_V48,pval48,tr_V49,pval49
LOCO-W,300,2.2791543006896973,0.12111278873724263,1.0,0.9037138458088736,0.0,3.3306690738754696e-16,1.0,0.7783890319207156,0.0,0.13201468866566635,0.0,0.7415623284062045,0.0,0.0045997158456491105,1.0,0.5990167228066319,0.0,1.0,0.0,1.0,0.0,0.859084877229247,1.0,0.8911492379670445,1.0,0.2379967292669758,1.0,0.18399027397141143,0.0,0.9949364306771618,1.0,0.9999999993735701,0.0,0.5225269562026603,0.0,0.0,0.0,0.5882491618336565,1.0,0.0034447956458625306,0.0,0.338779081116802,0.0,0.575031502277257,0.0,0.7952837865420568,0.0,0.0914854153888287,0.0,1.0894729562949124e-11,0.0,0.9999999999999764,0.0,0.6119506100055768,0.0,0.936537423823542,0.0,0.575679909732957,1.0,2.4424906541753444e-15,0.0,0.007924461251313852,0.0,0.8284054972286421,1.0,0.989739363642234,0.0,0.7619010355525694,0.0,0.9302265984059943,0.0,0.38674617044461146,0.0,0.28016760046676614,0.0,0.14529610705749563,0.0,1.1102230246251565e-16,0.0,0.3029093491138458,0.0,0.2163809276021268,0.0,0.1947668878469342,0.0,0.02220880876798692,1.0,0.6904411328407911,1.0,0.07920723145013842,0.0,0.009444980020091087,0.0,0.6298758431919951,0.0,0.9354824778442775,0.0,0.18950990582619132,0.0,0.8566031048398575,0.0,0.999349973115383
CPI,300,2.964893341064453,0.12111278873724263,1.0,1.0,0.0,1.0,1.0,0.02712235698790793,0.0,1.0,0.0,1.0,0.0,0.561290167835769,1.0,0.0014331720399241219,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08529428484454321,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.012042773160226013,0.0,1.0,0.0,1.0,0.0,0.23168708006331673,0.0,0.8833449009064727,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.5557273040612175,0.0,1.0,1.0,0.6923437038640384,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.32114730893103843,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.7617838516354258,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.7964687395945869,0.0,1.0,0.0,0.7697596020027515,0.0,1.0
CPI_sqrt,300,2.9568142890930176,0.12111278873724263,1.0,0.5,0.0,0.5,1.0,0.14177206193993058,0.0,0.5,0.0,0.5,0.0,0.6582520043214526,1.0,0.19441036159718833,0.0,0.5,0.0,0.5,0.0,0.5,1.0,0.5,1.0,0.5,1.0,0.163898089816575,0.0,0.5,1.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,1.0,0.032673223233047284,0.0,0.5,0.0,0.5,0.0,0.12823975613335153,0.0,0.7497173710263383,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,1.0,0.5,0.0,0.40202289944330283,0.0,0.5,1.0,0.7534962320540879,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.8111831343229439,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,1.0,0.6543175207583168,1.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5809473318636135,0.0,0.5,0.0,0.6856673960753464,0.0,0.5
CPI_n,300,2.958463191986084,0.12111278873724263,1.0,0.5,0.0,0.5,1.0,0.07757129265430641,0.0,0.5,0.0,0.5,0.0,0.8753945045898749,1.0,0.0036592590932119306,0.0,0.5,0.0,0.5,0.0,0.5,1.0,0.5,1.0,0.5,1.0,0.13695358809435593,0.0,0.5,1.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,1.0,0.006434143094996383,0.0,0.5,0.0,0.5,0.0,0.03599013542381615,0.0,0.8453955916646109,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,1.0,0.5,0.0,0.25456095140806556,0.0,0.5,1.0,0.21825779298611653,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.896916107179059,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,1.0,0.5227556888774234,1.0,0.5,0.0,0.5,0.0,0.5,0.0,0.44253407856596716,0.0,0.5,0.0,0.8165270952617322,0.0,0.5
CPI_bt,300,3.1187002658843994,0.12111278873724263,1.0,0.5,0.0,0.5,1.0,0.4677140434337343,0.0,0.5,0.0,0.5,0.0,0.5261163859440688,1.0,0.19118429529167102,0.0,0.5,0.0,0.5,0.0,0.5,1.0,0.5,1.0,0.5,1.0,0.449582846530855,0.0,0.5,1.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,1.0,0.428792666806637,0.0,0.5,0.0,0.5,0.0,0.41263314604640017,0.0,0.7128530946010297,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,1.0,0.5,0.0,0.4680676242100087,0.0,0.5,1.0,0.47672516951996374,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5734239348924112,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,1.0,0.2710545445177417,1.0,0.5,0.0,0.5,0.0,0.5,0.0,0.8598532309997519,0.0,0.5,0.0,0.5398814466245174,0.0,0.5
CPI_sqd,300,3.1177783012390137,0.12111278873724263,1.0,0.5,0.0,0.5,1.0,0.43881696926045966,0.0,0.5,0.0,0.5,0.0,0.6522280243144313,1.0,0.3141851943298516,0.0,0.5,0.0,0.5,0.0,0.5,1.0,0.5,1.0,0.5,1.0,0.49196137329136486,0.0,0.5,1.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,1.0,0.40690526395327337,0.0,0.5,0.0,0.5,0.0,0.4452989813946718,0.0,0.6776906693275728,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,1.0,0.5,0.0,0.46972287577170113,0.0,0.5,1.0,0.46970174088792965,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.565876888068997,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,1.0,0.6047603034270104,1.0,0.5,0.0,0.5,0.0,0.5,0.0,0.9893517766586449,0.0,0.5,0.0,0.6647267584225014,0.0,0.5
S-CPI,300,3.0588338375091553,0.12111278873724263,1.0,0.009295264210580835,0.0,0.009295264210580835,1.0,0.08108526003276711,0.0,0.009295264210580835,0.0,0.009295264210580835,0.0,0.8946262001787514,1.0,0.000657974289830075,0.0,0.009295264210580835,0.0,0.009295264210580835,0.0,0.009295264210580835,1.0,0.009295264210580835,1.0,0.009295264210580835,1.0,0.09583436898187458,0.0,0.009295264210580835,1.0,0.009295264210580835,0.0,0.009295264210580835,0.0,0.009295264210580835,0.0,0.009295264210580835,1.0,0.003490131166830471,0.0,0.009295264210580835,0.0,0.009295264210580835,0.0,0.056508981854963156,0.0,0.9678065580101172,0.0,0.009295264210580835,0.0,0.009295264210580835,0.0,0.009295264210580835,0.0,0.009295264210580835,0.0,0.009295264210580835,1.0,0.009295264210580835,0.0,0.3119660690821674,0.0,0.009295264210580835,1.0,0.350891010285868,0.0,0.009295264210580835,0.0,0.009295264210580835,0.0,0.009295264210580835,0.0,0.8058015237793918,0.0,0.009295264210580835,0.0,0.009295264210580835,0.0,0.009295264210580835,0.0,0.009295264210580835,0.0,0.009295264210580835,0.0,0.009295264210580835,1.0,0.7142650125312029,1.0,0.009295264210580835,0.0,0.009295264210580835,0.0,0.009295264210580835,0.0,0.923921475135482,0.0,0.009295264210580835,0.0,0.8537235772142202,0.0,0.009295264210580835
S-CPI_sqrt,300,3.050889730453491,0.12111278873724263,1.0,0.4999999999999668,0.0,0.4999999999999668,1.0,0.06996746974345429,0.0,0.4999999999999668,0.0,0.4999999999999668,0.0,0.7270874958124427,1.0,0.024157153052330276,0.0,0.4999999999999668,0.0,0.4999999999999668,0.0,0.4999999999999668,1.0,0.4999999999999668,1.0,0.4999999999999668,1.0,0.11996746843321304,0.0,0.4999999999999668,1.0,0.4999999999999668,0.0,0.4999999999999668,0.0,0.4999999999999668,0.0,0.4999999999999668,1.0,0.020952247908267708,0.0,0.4999999999999668,0.0,0.4999999999999668,0.0,0.08644347982606365,0.0,0.775521489513546,0.0,0.4999999999999668,0.0,0.4999999999999668,0.0,0.4999999999999668,0.0,0.4999999999999668,0.0,0.4999999999999668,1.0,0.4999999999999668,0.0,0.4075806433889394,0.0,0.4999999999999668,1.0,0.24031274565777377,0.0,0.4999999999999668,0.0,0.4999999999999668,0.0,0.4999999999999668,0.0,0.6734182873641205,0.0,0.4999999999999668,0.0,0.4999999999999668,0.0,0.4999999999999668,0.0,0.4999999999999668,0.0,0.4999999999999668,0.0,0.4999999999999668,1.0,0.6417561804751957,1.0,0.4999999999999668,0.0,0.4999999999999668,0.0,0.4999999999999668,0.0,0.6195841598370335,0.0,0.4999999999999668,0.0,0.6135720730289294,0.0,0.4999999999999668
S-CPI_n,300,3.048861026763916,0.12111278873724263,1.0,0.4999999999996853,0.0,0.4999999999996853,1.0,0.06675346139613753,0.0,0.4999999999996853,0.0,0.4999999999996853,0.0,0.8447032069401361,1.0,0.0037603746687198143,0.0,0.4999999999996853,0.0,0.4999999999996853,0.0,0.4999999999996853,1.0,0.4999999999996853,1.0,0.4999999999996853,1.0,0.16395558737924093,0.0,0.4999999999996853,1.0,0.4999999999996853,0.0,0.4999999999996853,0.0,0.4999999999996853,0.0,0.4999999999996853,1.0,0.012991173099603284,0.0,0.4999999999996853,0.0,0.4999999999996853,0.0,0.061100819963928674,0.0,0.9752423036360468,0.0,0.4999999999996853,0.0,0.4999999999996853,0.0,0.4999999999996853,0.0,0.4999999999996853,0.0,0.4999999999996853,1.0,0.4999999999996853,0.0,0.4657300618809701,0.0,0.4999999999996853,1.0,0.18804687055566283,0.0,0.4999999999996853,0.0,0.4999999999996853,0.0,0.4999999999996853,0.0,0.8277193369653402,0.0,0.4999999999996853,0.0,0.4999999999996853,0.0,0.4999999999996853,0.0,0.4999999999996853,0.0,0.4999999999996853,0.0,0.4999999999996853,1.0,0.7174044740566201,1.0,0.4999999999996853,0.0,0.4999999999996853,0.0,0.4999999999996853,0.0,0.8479202102367801,0.0,0.4999999999996853,0.0,0.7739411262688445,0.0,0.4999999999996853
S-CPI_bt,300,3.215380907058716,0.12111278873724263,1.0,0.4999999999996853,0.0,0.4999999999996853,1.0,0.4705109569237689,0.0,0.4999999999996853,0.0,0.4999999999996853,0.0,0.5499986065601106,1.0,0.29106699945915093,0.0,0.4999999999996853,0.0,0.4999999999996853,0.0,0.4999999999996853,1.0,0.4999999999996853,1.0,0.4999999999996853,1.0,0.4608741474992548,0.0,0.4999999999996853,1.0,0.4999999999996853,0.0,0.4999999999996853,0.0,0.4999999999996853,0.0,0.4999999999996853,1.0,0.4208287009037641,0.0,0.4999999999996853,0.0,0.4999999999996853,0.0,0.46534912559095704,0.0,0.6767436439011487,0.0,0.4999999999996853,0.0,0.4999999999996853,0.0,0.4999999999996853,0.0,0.4999999999996853,0.0,0.4999999999996853,1.0,0.4999999999996853,0.0,0.5043675809252077,0.0,0.4999999999996853,1.0,0.476013212646604,0.0,0.4999999999996853,0.0,0.4999999999996853,0.0,0.4999999999996853,0.0,0.5308692837104305,0.0,0.4999999999996853,0.0,0.4999999999996853,0.0,0.4999999999996853,0.0,0.4999999999996853,0.0,0.4999999999996853,0.0,0.4999999999996853,1.0,0.5681597893974588,1.0,0.4999999999996853,0.0,0.4999999999996853,0.0,0.4999999999996853,0.0,0.9092380994151317,0.0,0.4999999999996853,0.0,0.6057499760696538,0.0,0.4999999999996853
S-CPI_sqd,300,3.2111594676971436,0.12111278873724263,1.0,0.4999999999716766,0.0,0.4999999999716766,1.0,0.4792245206607396,0.0,0.4999999999716766,0.0,0.4999999999716766,0.0,0.5463916301724994,1.0,0.3548256041354878,0.0,0.4999999999716766,0.0,0.4999999999716766,0.0,0.4999999999716766,1.0,0.4999999999716766,1.0,0.4999999999716766,1.0,0.47190824598374753,0.0,0.4999999999716766,1.0,0.4999999999716766,0.0,0.4999999999716766,0.0,0.4999999999716766,0.0,0.4999999999716766,1.0,0.40317215801960715,0.0,0.4999999999716766,0.0,0.4999999999716766,0.0,0.47761783579576317,0.0,0.6625160509111421,0.0,0.4999999999716766,0.0,0.4999999999716766,0.0,0.4999999999716766,0.0,0.4999999999716766,0.0,0.4999999999716766,1.0,0.4999999999716766,0.0,0.496925127051645,0.0,0.4999999999716766,1.0,0.46348276408287714,0.0,0.4999999999716766,0.0,0.4999999999716766,0.0,0.4999999999716766,0.0,0.5442039794371493,0.0,0.4999999999716766,0.0,0.4999999999716766,0.0,0.4999999999716766,0.0,0.4999999999716766,0.0,0.4999999999716766,0.0,0.4999999999716766,1.0,0.6156212589303702,1.0,0.4999999999716766,0.0,0.4999999999716766,0.0,0.4999999999716766,0.0,0.9892500972836945,0.0,0.4999999999716766,0.0,0.6024570423824731,0.0,0.4999999999716766
