method,n,tr_time,r2_test,tr_V0,pval0,tr_V1,pval1,tr_V2,pval2,tr_V3,pval3,tr_V4,pval4,tr_V5,pval5,tr_V6,pval6,tr_V7,pval7,tr_V8,pval8,tr_V9,pval9,tr_V10,pval10,tr_V11,pval11,tr_V12,pval12,tr_V13,pval13,tr_V14,pval14,tr_V15,pval15,tr_V16,pval16,tr_V17,pval17,tr_V18,pval18,tr_V19,pval19,tr_V20,pval20,tr_V21,pval21,tr_V22,pval22,tr_V23,pval23,tr_V24,pval24,tr_V25,pval25,tr_V26,pval26,tr_V27,pval27,tr_V28,pval28,tr_V29,pval29,tr_V30,pval30,tr_V31,pval31,tr_V32,pval32,tr_V33,pval33,tr_V34,pval34,tr_V35,pval35,tr_V36,pval36,tr_V37,pval37,tr_V38,pval38,tr_V39,pval39,tr_V40,pval40,tr_V41,pval41,tr_V42,pval42,tr_V43,pval43,tr_V44,pval44,tr_V45,pval45,tr_V46,pval46,tr_V47,pval47,tr_V48,pval48,tr_V49,pval49
LOCO-W,300,78.10727977752686,0.8787591431808582,1.0,0.8598771671983139,1.0,0.7303380793132839,1.0,0.9987264470008115,1.0,1.0062996502746557e-07,1.0,0.9836149067266002,1.0,7.871437657236413e-08,1.0,0.09203873491201109,1.0,0.6238605935951783,1.0,0.8593882866380211,1.0,2.968754597709733e-08,1.0,0.9499055490538013,1.0,0.0033279101909480246,0.0,0.9816111270473774,0.0,0.9999984173331805,0.0,0.08275771720262148,0.0,0.35484484568533425,0.0,1.0957759588592353e-08,0.0,1.1223525052339589e-05,0.0,0.9999996831702858,0.0,0.998983843900865,0.0,0.0011705739961046513,0.0,0.001007457528975575,0.0,0.9990146642122415,0.0,0.0007827089502241424,0.0,0.01947918815714944,0.0,0.9997804202324648,0.0,0.998830219924486,0.0,3.939981126910297e-07,0.0,0.9421095619559248,0.0,0.6017990550173415,0.0,0.0005998489764748038,0.0,0.9999999979646284,0.0,1.2153554940219635e-07,0.0,0.002836127241541475,0.0,4.944738407619553e-08,0.0,0.22339981286424815,0.0,0.002316985869067145,0.0,0.0006957063010188946,0.0,4.346768501695131e-06,0.0,3.5333774572876564e-08,0.0,0.8409610330318873,0.0,0.9851837554111162,0.0,0.0006215086663250435,0.0,8.81249982986887e-08,0.0,0.22599879385259414,0.0,0.0015206657898995113,0.0,0.4356654897889437,0.0,0.9995046007954815,0.0,0.00010174227551695836,0.0,0.8525138515354311
CPI,300,4.25744366645813,0.8787591431808582,1.0,0.0012314347305368116,1.0,0.09060386287075445,1.0,0.06683175504855808,1.0,0.0033688130307355383,1.0,0.0052705159844032455,1.0,0.008522806217425493,1.0,0.0017693188321096865,1.0,0.030971846362240023,1.0,0.0012726382107926574,1.0,0.020947631326269634,1.0,0.0011627421833996863,1.0,0.028364893899504293,0.0,0.4693339538057791,0.0,0.10379943037527167,0.0,0.7361321617168377,0.0,0.7423578460583641,0.0,0.8387118526885753,0.0,0.11586460602112941,0.0,0.9527767534311996,0.0,0.19852980523633307,0.0,0.6032438048660859,0.0,0.44833329826909724,0.0,0.5277691041937086,0.0,0.5081716228585288,0.0,0.18958401820036103,0.0,0.42344800932806037,0.0,0.4567410297537165,0.0,0.5085976347743787,0.0,0.4144751032984345,0.0,0.04930273873964964,0.0,0.7834262421154427,0.0,0.03536064666336137,0.0,0.8156123387961729,0.0,0.09990457587715312,0.0,0.2988366887406275,0.0,0.3684533379113035,0.0,0.957774134921526,0.0,0.9960469667847347,0.0,0.2916673080474823,0.0,0.5166515532351469,0.0,0.007928213459398512,0.0,0.7071483077850145,0.0,0.8931885367912011,0.0,0.6125968671883032,0.0,0.1473820416334814,0.0,0.016834265013047855,0.0,0.5881123339164898,0.0,0.29165747844432194,0.0,0.8795190748269857,0.0,0.7632963756394338
CPI_sqrt,300,4.257302522659302,0.8787591431808582,1.0,0.3393055115150505,1.0,0.49674594958469265,1.0,0.3887600971778355,1.0,0.3373628512418612,1.0,0.3106409043147853,1.0,0.157142751430646,1.0,0.26270747042413944,1.0,0.28544845366878013,1.0,0.15990192045942164,1.0,0.1564260508067722,1.0,0.18814980371182244,1.0,0.22434237854372124,0.0,0.47087797038905993,0.0,0.48974618593546515,0.0,0.5065750967840622,0.0,0.4973727861876439,0.0,0.5046174757249313,0.0,0.5011979056962488,0.0,0.5005892253456726,0.0,0.4975336040406788,0.0,0.4941632407218176,0.0,0.5008069013103753,0.0,0.5030318634941623,0.0,0.48872670209524893,0.0,0.5013143674228692,0.0,0.4958742594081055,0.0,0.49878982945086664,0.0,0.5136680406064065,0.0,0.5067199161360586,0.0,0.4980496408980344,0.0,0.5164484360418397,0.0,0.4968752361350942,0.0,0.4996504745509886,0.0,0.494103949296472,0.0,0.48130282652201073,0.0,0.5026216365525712,0.0,0.5072595217415675,0.0,0.4942802357627939,0.0,0.492592755482881,0.0,0.5022389939102223,0.0,0.5069137394411004,0.0,0.49726609954554535,0.0,0.49917421729344064,0.0,0.5014252556552251,0.0,0.48818033721238097,0.0,0.49859038454331117,0.0,0.5026330486629524,0.0,0.4971027287765797,0.0,0.5062115746965554,0.0,0.497578470038698
CPI_n,300,4.250223875045776,0.8787591431808582,1.0,0.1391335929803253,1.0,0.3670149113684896,1.0,0.06772934789883706,1.0,0.23056737721623372,1.0,0.043324977118937985,1.0,0.00390822132681538,1.0,0.0035231274897805443,1.0,0.15566154424005757,1.0,0.0026880547533379285,1.0,0.07256168618177666,1.0,0.004210480963001683,1.0,0.012719788908383671,0.0,0.2584798325174956,0.0,0.43640496439784693,0.0,0.5576528045367414,0.0,0.5166022257798046,0.0,0.5561378798556167,0.0,0.5162938866841267,0.0,0.4982600862033733,0.0,0.48186614391837307,0.0,0.5041213317521871,0.0,0.42682422538155007,0.0,0.6090127394189914,0.0,0.3795768997735509,0.0,0.4938327097500995,0.0,0.43746979523264556,0.0,0.4497176483241153,0.0,0.5488573961485906,0.0,0.5645878332131706,0.0,0.4979157433600585,0.0,0.6196403721646473,0.0,0.48488538125748265,0.0,0.5053372837352905,0.0,0.5301352301943596,0.0,0.49379686020164126,0.0,0.5812485637723804,0.0,0.557678913336236,0.0,0.5859004682314211,0.0,0.4236359326872088,0.0,0.49353972214424385,0.0,0.4973898038808318,0.0,0.44371276266812293,0.0,0.4927047924160978,0.0,0.5135940475947183,0.0,0.478604348523825,0.0,0.43665427488805414,0.0,0.5175139707414185,0.0,0.4474746733445909,0.0,0.5372690440072831,0.0,0.5907921554832378
CPI_bt,300,4.453444004058838,0.8787591431808582,1.0,0.0001793906827904552,1.0,0.19719838577829518,1.0,0.5136192868226663,1.0,0.03383628260485969,1.0,0.017261717521834204,1.0,0.005444650207639295,1.0,0.0003222040119567023,1.0,0.0006672145818854405,1.0,0.002470983934545688,1.0,0.017039877419476428,1.0,0.00029388852164724755,1.0,0.0001458548731854146,0.0,0.2472806808071435,0.0,0.46100483566036693,0.0,0.4938005864939111,0.0,0.5481424587781152,0.0,0.5354891664561808,0.0,0.5723780843857884,0.0,0.47997274608131874,0.0,0.5177651002435998,0.0,0.38100576977680967,0.0,0.557114666010684,0.0,0.549545249361467,0.0,0.37079585418107286,0.0,0.49818895819300957,0.0,0.5382653449783826,0.0,0.5337756733165986,0.0,0.4649586913546592,0.0,0.39089115267256536,0.0,0.3889048499584143,0.0,0.9119999638287799,0.0,0.516733731299057,0.0,0.5250805457270461,0.0,0.4223580667536999,0.0,0.5205419897095717,0.0,0.48533731968711796,0.0,0.5194333469488529,0.0,0.7345845088340179,0.0,0.44566283722706407,0.0,0.5026121339529003,0.0,0.48319123584987134,0.0,0.48315719458193107,0.0,0.4294323310214414,0.0,0.534996849780429,0.0,0.4001995481820687,0.0,0.4765774366254489,0.0,0.4135997410701032,0.0,0.43157571151735574,0.0,0.5121823154017348,0.0,0.5914319783163733
CPI_sqd,300,4.446362495422363,0.8787591431808582,1.0,1.8339192016342662e-16,1.0,0.0007266220521622053,1.0,0.0005058721353758702,1.0,5.601947207548016e-07,1.0,1.4721208397972454e-07,1.0,6.73054187479016e-13,1.0,0.001692261552096874,1.0,0.0005907268105576441,1.0,4.989350144169426e-05,1.0,0.027935718155887093,1.0,0.013032039772594688,1.0,3.502564051403904e-06,0.0,4.074084766659198e-77,0.0,1.4976936257200308e-55,0.0,0.032703392394906286,0.0,0.33425266790862884,0.0,0.00047411602793302163,0.0,0.9999999999975205,0.0,0.11768759749650498,0.0,6.441155495066564e-11,0.0,9.528835230154742e-05,0.0,3.422381458189469e-10,0.0,1.0,0.0,2.6405321862958497e-45,0.0,0.015526587045577774,0.0,7.600499727718688e-25,0.0,0.010813746119000116,0.0,1.0,0.0,8.995519853804297e-06,0.0,0.883694910336155,0.0,1.0,0.0,1.2815404868212602e-10,0.0,0.9999999999999928,0.0,4.901905014164437e-08,0.0,0.9999999999744751,0.0,0.9999996208455095,0.0,1.0,0.0,1.0,0.0,1.7188332116216004e-11,0.0,0.9973463989249771,0.0,4.054232544183365e-33,0.0,3.543308194377196e-07,0.0,1.2256523511749212e-106,0.0,1.0,0.0,6.550092015470371e-29,0.0,0.0005583361033125477,0.0,1.821894724040296e-22,0.0,2.2762036463907878e-116,0.0,1.0,0.0,8.498751079281233e-12
S-CPI,300,4.656801700592041,0.8787591431808582,1.0,0.008093991463071576,1.0,0.30904498456352897,1.0,0.2154609831005055,1.0,0.07417719414720711,1.0,0.07694034786448373,1.0,0.01822433589626032,1.0,0.07032589206098831,1.0,0.32279568070354375,1.0,0.024210148183575305,1.0,0.05845858142441765,1.0,0.6675092663186126,1.0,0.010146037157542233,0.0,0.07334678370516542,0.0,0.04888151939650191,0.0,0.6408362778628994,0.0,0.6314716969971448,0.0,0.7123110581459366,0.0,0.34973550075447335,0.0,0.7539205563225233,0.0,0.35704939929278967,0.0,0.23338427809864576,0.0,0.4422551592333192,0.0,0.9653929257510884,0.0,0.17250817015716052,0.0,0.1544837259646476,0.0,0.10696271987080452,0.0,0.4658803565756784,0.0,0.9301971202412509,0.0,0.40861408959501916,0.0,0.13384594385217202,0.0,0.9838598559003017,0.0,0.18103036939338635,0.0,0.9926620699404634,0.0,0.4218635264703891,0.0,0.12850755954523246,0.0,0.8925363658996299,0.0,0.9484863031853547,0.0,0.97065921548797,0.0,0.3417104862533839,0.0,0.9317656079138572,0.0,0.00320956647806814,0.0,0.4515485964486005,0.0,0.4926693116541807,0.0,0.8587070914157415,0.0,0.4533234239277938,0.0,0.1374771975803319,0.0,0.4648520142022116,0.0,0.025350205407425424,0.0,0.9282463180778908,0.0,0.8438304099009362
S-CPI_sqrt,300,4.6587419509887695,0.8787591431808582,1.0,0.2991870202881766,1.0,0.4593537569620464,1.0,0.3440821664529175,1.0,0.32240673391410235,1.0,0.30359114105999774,1.0,0.2085150330221775,1.0,0.2834765959341369,1.0,0.4111497529586676,1.0,0.17465300938724498,1.0,0.2558898154375411,1.0,0.3901108203658641,1.0,0.19947280389975003,0.0,0.4576527792275228,0.0,0.48771237978003024,0.0,0.5027704806543917,0.0,0.49990906004815205,0.0,0.4947204301514869,0.0,0.49961060701897303,0.0,0.5020107384414741,0.0,0.4983510632836479,0.0,0.4967961841583408,0.0,0.480161040146265,0.0,0.5167745513322528,0.0,0.48680346620381504,0.0,0.4978126051790781,0.0,0.4939830698533635,0.0,0.4995030797654205,0.0,0.5235313036033058,0.0,0.49971252756706236,0.0,0.4906027095381673,0.0,0.544255287232107,0.0,0.5020873643998496,0.0,0.5029851074585444,0.0,0.4937166789470054,0.0,0.49794480502041577,0.0,0.5078636375150016,0.0,0.5078914129253684,0.0,0.5362040686792385,0.0,0.48709048028043667,0.0,0.5071484069898902,0.0,0.4934660479720513,0.0,0.49751285402531126,0.0,0.500804590404578,0.0,0.5062077561361668,0.0,0.4950110019492622,0.0,0.4929307769982627,0.0,0.49988216808291064,0.0,0.48652522730600045,0.0,0.5091997649402289,0.0,0.5119085696498271
S-CPI_n,300,4.657463073730469,0.8787591431808582,1.0,0.027251966207234128,1.0,0.29546528781155773,1.0,0.18569027501148633,1.0,0.18965467605409914,1.0,0.05668970493194225,1.0,0.03321822967743384,1.0,0.03749008359750942,1.0,0.17295166943325407,1.0,0.05473793377316355,1.0,0.13010788939066398,1.0,0.5104695340961485,1.0,0.03304714158922802,0.0,0.2245747083049749,0.0,0.3873179588203586,0.0,0.5149694815384059,0.0,0.48786686275296454,0.0,0.4897326118875075,0.0,0.4819437787180718,0.0,0.5169796802054378,0.0,0.4886183257036977,0.0,0.4614920908511138,0.0,0.3213232093573273,0.0,0.6360904006327629,0.0,0.3307664557975446,0.0,0.4891936163513498,0.0,0.4566301732996298,0.0,0.514647482052896,0.0,0.6537544993274332,0.0,0.5417293541872059,0.0,0.41675219393634594,0.0,0.7375899769346591,0.0,0.47373563768346094,0.0,0.5386538563610931,0.0,0.49858542239573755,0.0,0.4755032664665536,0.0,0.5822860703072622,0.0,0.5714276429673646,0.0,0.7052135609389194,0.0,0.4197105077088953,0.0,0.5175117077819116,0.0,0.42462534710223443,0.0,0.4778424375180634,0.0,0.4552157666061419,0.0,0.5574207524854061,0.0,0.4980938472302153,0.0,0.38569041832683726,0.0,0.4846100890064749,0.0,0.4439490737922066,0.0,0.556238637566592,0.0,0.5649571395017396
S-CPI_bt,300,4.845588207244873,0.8787591431808582,1.0,5.8730306500735316e-05,1.0,0.35586818142161963,1.0,0.09168906559331946,1.0,0.13727773952096195,1.0,0.004249326424190086,1.0,0.0025584373163235314,1.0,0.001440721777477805,1.0,0.10927858446041577,1.0,0.018303747966763022,1.0,0.13552060172316172,1.0,0.5317895270365295,1.0,0.0037833098510794035,0.0,0.1084710465903187,0.0,0.37368369103617005,0.0,0.5094053274253733,0.0,0.5074714595490796,0.0,0.5956675780950275,0.0,0.5008456779973111,0.0,0.5464768701414913,0.0,0.48628760449435604,0.0,0.4495182446340911,0.0,0.3910437024354375,0.0,0.64919892669216,0.0,0.25891747985401115,0.0,0.4800864100077661,0.0,0.43715210510404295,0.0,0.47329562699877653,0.0,0.7339646949252945,0.0,0.4960318299409876,0.0,0.4052081327591114,0.0,0.8299672561499718,0.0,0.5031527291144439,0.0,0.5347085702801846,0.0,0.45021158204964257,0.0,0.4600408680226384,0.0,0.6595666491769774,0.0,0.5894444457103243,0.0,0.7689474784950538,0.0,0.3462630667785638,0.0,0.5667930102908053,0.0,0.40911298022849973,0.0,0.48496175789877993,0.0,0.5639299408352544,0.0,0.5619384321240612,0.0,0.4320921198263621,0.0,0.3705683625196175,0.0,0.45507692106344116,0.0,0.40279988761134305,0.0,0.5821751371494621,0.0,0.6373247668003948
