method,n,tr_time,r2_test,tr_V0,pval0,tr_V1,pval1,tr_V2,pval2,tr_V3,pval3,tr_V4,pval4,tr_V5,pval5,tr_V6,pval6,tr_V7,pval7,tr_V8,pval8,tr_V9,pval9,tr_V10,pval10,tr_V11,pval11,tr_V12,pval12,tr_V13,pval13,tr_V14,pval14,tr_V15,pval15,tr_V16,pval16,tr_V17,pval17,tr_V18,pval18,tr_V19,pval19,tr_V20,pval20,tr_V21,pval21,tr_V22,pval22,tr_V23,pval23,tr_V24,pval24,tr_V25,pval25,tr_V26,pval26,tr_V27,pval27,tr_V28,pval28,tr_V29,pval29,tr_V30,pval30,tr_V31,pval31,tr_V32,pval32,tr_V33,pval33,tr_V34,pval34,tr_V35,pval35,tr_V36,pval36,tr_V37,pval37,tr_V38,pval38,tr_V39,pval39,tr_V40,pval40,tr_V41,pval41,tr_V42,pval42,tr_V43,pval43,tr_V44,pval44,tr_V45,pval45,tr_V46,pval46,tr_V47,pval47,tr_V48,pval48,tr_V49,pval49
LOCO-W,300,36.06445026397705,0.9574333805736934,1.0,0.5023513392097694,1.0,0.6166552068445103,1.0,0.031756379953370883,1.0,0.25815185759418535,1.0,0.8270141718042294,1.0,0.7697244993710672,1.0,0.35950582522035635,1.0,0.40501800420253176,1.0,0.8557750707919649,1.0,0.8142803856531059,1.0,0.7698919473594963,1.0,0.6923238802105964,0.0,0.14501624697651716,0.0,0.8289157916513085,0.0,0.8039012945358317,0.0,0.6306754793667747,0.0,0.5747618988802744,0.0,0.665807618449767,0.0,0.22327796158816016,0.0,0.8489118201918184,0.0,0.3391948568967348,0.0,0.5138775358203113,0.0,0.8265012751710663,0.0,0.11623540583480674,0.0,0.6626928057366593,0.0,0.40605402835505755,0.0,0.707682316249007,0.0,0.5414530314149628,0.0,0.5744583232506761,0.0,0.7828705544176778,0.0,0.773288997887374,0.0,0.8829420585581365,0.0,0.9659525578295469,0.0,0.4247872152958685,0.0,0.3411608310877807,0.0,0.8006784354019916,0.0,0.7763777006964809,0.0,0.5187953909255376,0.0,0.7698577514891607,0.0,0.139193175211341,0.0,0.2927013504369317,0.0,0.6392150047965655,0.0,0.5878672326229832,0.0,0.8263645164545005,0.0,0.6122921580845027,0.0,0.35068986064727126,0.0,0.6798920603551862,0.0,0.31211835614616057,0.0,0.5409911113853232,0.0,0.147056928791506
CPI,300,4.187112331390381,0.9574333805736934,1.0,0.005470929619921997,1.0,2.3012330447699175e-05,1.0,0.00011544057931445224,1.0,3.690721876055591e-05,1.0,0.00018002896903900224,1.0,0.019291990283396454,1.0,0.016330352584401645,1.0,0.004131076434957348,1.0,2.7511760559012758e-06,1.0,0.009999391324965839,1.0,1.7278699753199954e-05,1.0,3.8886931075455166e-05,0.0,0.3041393167309967,0.0,0.3746674105309286,0.0,0.7026582059145892,0.0,0.3035153354699546,0.0,0.7997351890655924,0.0,0.24494880302242605,0.0,0.16917210198850663,0.0,0.9788010374677988,0.0,0.11363687784320425,0.0,0.7101055695034385,0.0,0.724598083238526,0.0,0.4959658539712418,0.0,0.8836970676523832,0.0,0.37587208906596437,0.0,0.9599782354108193,0.0,0.6603781247737412,0.0,0.6788927907141472,0.0,0.16114590237760534,0.0,0.10232197361087858,0.0,0.40520254775547937,0.0,0.9588036916304156,0.0,0.8361537790983415,0.0,0.8408074994769501,0.0,0.5641829232533946,0.0,0.038825839686507206,0.0,0.7868947405533098,0.0,0.7122062436890861,0.0,0.48877899460806296,0.0,0.47041040294876174,0.0,0.6526101754612379,0.0,0.22059642862637363,0.0,0.22840307838319318,0.0,0.32887689620319993,0.0,0.20194473339049757,0.0,0.36522977285024705,0.0,0.8750947269952224,0.0,0.864068248870131,0.0,0.9898318084543347
CPI_sqrt,300,4.16575026512146,0.9574333805736934,1.0,0.3465788616636425,1.0,0.30647557557487937,1.0,0.35263399699335796,1.0,0.22327619611170346,1.0,0.37648084507045104,1.0,0.4096134535991329,1.0,0.2939526170886143,1.0,0.23071013028157583,1.0,0.16906612936712762,1.0,0.16423722305574745,1.0,0.09095613640967126,1.0,0.1496742027072846,0.0,0.531712168030328,0.0,0.5032674689531443,0.0,0.5152517821843065,0.0,0.4691335618156857,0.0,0.4481881104232251,0.0,0.503697517108494,0.0,0.48954796324341426,0.0,0.5456537958009015,0.0,0.47560399843245876,0.0,0.49229996259315295,0.0,0.5009980488376146,0.0,0.48452628640053125,0.0,0.5374670484702653,0.0,0.5386431439035897,0.0,0.5291474310374366,0.0,0.4871176295132799,0.0,0.48936017565654116,0.0,0.47410202564300874,0.0,0.4707620251709488,0.0,0.5085774103919318,0.0,0.5184103871394653,0.0,0.52437838317854,0.0,0.5028172951196258,0.0,0.5049798983784671,0.0,0.4633507623745815,0.0,0.5364355835183504,0.0,0.4688438762544214,0.0,0.5676782168715452,0.0,0.5146734073982863,0.0,0.5246541849452101,0.0,0.48892935784044245,0.0,0.500817833110124,0.0,0.5258957105907056,0.0,0.4427446324233418,0.0,0.5037477262301182,0.0,0.5019723794805495,0.0,0.4985510097358048,0.0,0.5187466383357686
CPI_n,300,4.172556161880493,0.9574333805736934,1.0,0.033407432750987814,1.0,0.011650572039686478,1.0,0.014563903396577062,1.0,0.002951302659821381,1.0,0.18092223453196188,1.0,0.062261337753153644,1.0,0.024975748703857634,1.0,0.06875763670810241,1.0,0.001750057003847117,1.0,0.014087125456177033,1.0,0.0010592987996780724,1.0,4.5130931006360035e-05,0.0,0.37945919057592153,0.0,0.5061229409706183,0.0,0.33689485454393736,0.0,0.5636551955945127,0.0,0.3580866327328659,0.0,0.7035401872146422,0.0,0.46471833263522855,0.0,0.7418017035126225,0.0,0.2549205241552045,0.0,0.4925278665197616,0.0,0.6170682331267366,0.0,0.5133634261301935,0.0,0.6058245998934895,0.0,0.6322745866245945,0.0,0.7316828925028873,0.0,0.5921092858055753,0.0,0.5321791817037334,0.0,0.4330294637658726,0.0,0.3548522506935669,0.0,0.41843645316522415,0.0,0.5945393664553944,0.0,0.43142353367597347,0.0,0.3921270474437686,0.0,0.47859979587241863,0.0,0.3636559035242476,0.0,0.6162259336409719,0.0,0.25238940022995826,0.0,0.5388797351658675,0.0,0.36305279061619355,0.0,0.5933081631620858,0.0,0.585502767979604,0.0,0.41021882788464253,0.0,0.47893313210667215,0.0,0.306798993427733,0.0,0.5487376531559965,0.0,0.630614269596285,0.0,0.5371444488339275,0.0,0.6382971186304214
CPI_bt,300,4.342955589294434,0.9574333805736934,1.0,0.0001550850528055029,1.0,7.671687412800773e-07,1.0,0.0015362831776132106,1.0,4.805361253039618e-10,1.0,0.00949268612200879,1.0,0.0014194792217151505,1.0,7.699867598123622e-09,1.0,0.00042474183978917284,1.0,4.934565913484875e-08,1.0,2.467343207299143e-10,1.0,6.949604808581568e-06,1.0,3.222708769249738e-09,0.0,0.6619511600772369,0.0,0.540530861645601,0.0,0.5127790386806053,0.0,0.41427178872164405,0.0,0.7835914294416595,0.0,0.722892606463194,0.0,0.4615589293474488,0.0,0.786514083491199,0.0,0.2516492683256916,0.0,0.5043656340190648,0.0,0.3668320322522359,0.0,0.6451982017508175,0.0,0.6752934018398777,0.0,0.5299422638117441,0.0,0.7168982257009617,0.0,0.6184390314234123,0.0,0.8143375391553718,0.0,0.2786452651658372,0.0,0.16945792212393573,0.0,0.3477928675999621,0.0,0.7304554293876027,0.0,0.38074465968137816,0.0,0.6566136059268153,0.0,0.2637701582821657,0.0,0.1443521051830885,0.0,0.8318780393367137,0.0,0.4768481002584943,0.0,0.7442546856888392,0.0,0.6111205929253247,0.0,0.5467977939832613,0.0,0.659789607734137,0.0,0.5024887859554765,0.0,0.39293167978045673,0.0,0.20165114860894456,0.0,0.6140754902102139,0.0,0.5831811710893139,0.0,0.6092996126878778,0.0,0.5183729884463161
CPI_sqd,300,4.362148761749268,0.9574333805736934,1.0,4.7942239201745855e-56,1.0,4.22807066781967e-25,1.0,3.620041553917182e-24,1.0,1.0466889025451156e-16,1.0,9.923021366437307e-20,1.0,0.689990301836798,1.0,1.466532831655912e-23,1.0,5.231740574857093e-22,1.0,1.1747612046682021e-35,1.0,3.3108870823967962e-18,1.0,1.6645198428810993e-40,1.0,3.9442510304057044e-13,0.0,1.0,0.0,7.469156053243153e-16,0.0,7.493251274041487e-33,0.0,0.0162749045283198,0.0,0.9999986889008109,0.0,0.0006060814751345689,0.0,0.02300057378907401,0.0,0.00147475787000155,0.0,4.679780400922388e-184,0.0,0.00012997074096365597,0.0,0.9999999999999899,0.0,0.10792469058918214,0.0,0.6091058324355012,0.0,1.0,0.0,1.0,0.0,1.5908621169870024e-73,0.0,4.727809345367587e-15,0.0,0.026708798949672558,0.0,1.0059355715546548e-53,0.0,0.9990522699035725,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3.983486562165462e-12,0.0,3.358862000920263e-47,0.0,1.0,0.0,3.5368204191743474e-05,0.0,1.0,0.0,0.9959329362840269,0.0,0.9985493103228167,0.0,0.10908791562081377,0.0,0.9986798248159929,0.0,0.9999999999965223,0.0,1.977915084222764e-121,0.0,1.0,0.0,4.936543058003183e-42,0.0,3.377832376728249e-05,0.0,1.0
S-CPI,300,4.340881109237671,0.9574333805736934,1.0,0.03382122041082071,1.0,0.0006927567144983354,1.0,0.005852583032368596,1.0,7.460584143915542e-05,1.0,0.062411730245728804,1.0,0.2772160942676639,1.0,0.0051109826854939325,1.0,0.01642493360185021,1.0,0.0005147649725488598,1.0,0.06660577177594336,1.0,0.0001661329560933983,1.0,0.00022576283043431358,0.0,0.8333420017930447,0.0,0.8536775689207996,0.0,0.5871513183831208,0.0,0.6252669814748109,0.0,0.7282023131758504,0.0,0.8754619150451906,0.0,0.8962760386824911,0.0,0.9961906668426371,0.0,0.044712275225803046,0.0,0.6891553534661301,0.0,0.6690510920671315,0.0,0.6556022410712612,0.0,0.8771061877930606,0.0,0.6926887569967433,0.0,0.9754568981672584,0.0,0.45623355289668277,0.0,0.6190819830422732,0.0,0.10476374779003628,0.0,0.15325048212599557,0.0,0.23284674546463846,0.0,0.8185612449265137,0.0,0.6250212651533169,0.0,0.9069421604962209,0.0,0.36016364859408967,0.0,0.14412053701650612,0.0,0.8716503362455866,0.0,0.6470331551884081,0.0,0.8150913393903896,0.0,0.811301935097861,0.0,0.2930216156913029,0.0,0.8917412137475408,0.0,0.6608769639604865,0.0,0.7445891484542592,0.0,0.06279487878274748,0.0,0.6306543937507769,0.0,0.8132075802454064,0.0,0.8085376235368443,0.0,0.9947839572166023
S-CPI_sqrt,300,4.338052034378052,0.9574333805736934,1.0,0.3278696753863434,1.0,0.23301113977854054,1.0,0.26032919682047656,1.0,0.14570505550706148,1.0,0.3805342646330042,1.0,0.42933103689284663,1.0,0.23143816447855203,1.0,0.2704979471660426,1.0,0.23256803498754625,1.0,0.265863416160635,1.0,0.11199470487739854,1.0,0.14083627200853355,0.0,0.5034803528203458,0.0,0.5538392358348506,0.0,0.5121138959382749,0.0,0.5107666049397702,0.0,0.5288182695795495,0.0,0.5416127811823627,0.0,0.5312383929979246,0.0,0.5976396556069795,0.0,0.44944154775028483,0.0,0.5088076841604691,0.0,0.514070776751462,0.0,0.4869311410446967,0.0,0.5393059676767339,0.0,0.5320780804610399,0.0,0.5513747344630496,0.0,0.4806589727460577,0.0,0.5202595036120856,0.0,0.46896409184487436,0.0,0.4580320282534549,0.0,0.484371116540693,0.0,0.5211954265708486,0.0,0.5180753977493895,0.0,0.5272282459858542,0.0,0.4900639254787116,0.0,0.4691262605114129,0.0,0.5416493717300145,0.0,0.5147425271226312,0.0,0.5482039465583024,0.0,0.5065620531969409,0.0,0.5040580345954357,0.0,0.5247263460324033,0.0,0.51023932942317,0.0,0.5270151342642556,0.0,0.4543705478433085,0.0,0.5043396239947177,0.0,0.5092387688734702,0.0,0.49413359804694956,0.0,0.5608106197952113
S-CPI_n,300,4.3358283042907715,0.9574333805736934,1.0,0.06391523930854429,1.0,0.0075292322239944275,1.0,0.0837708252357307,1.0,0.0028508242811131086,1.0,0.23863277517238324,1.0,0.3639293612213526,1.0,0.023997811133031805,1.0,0.0446688420497644,1.0,0.010264218058896959,1.0,0.07179189846929772,1.0,0.0012712281572105695,1.0,0.0024202710349511326,0.0,0.612071576152009,0.0,0.74349089080566,0.0,0.591900095637858,0.0,0.42136481742751,0.0,0.7167831771840171,0.0,0.7115789776910962,0.0,0.7205993951709738,0.0,0.9235428184220571,0.0,0.2191482304022202,0.0,0.6083691027603889,0.0,0.6127765981776706,0.0,0.43932745784909694,0.0,0.7580897874955808,0.0,0.5525622514984354,0.0,0.7780323613378088,0.0,0.5364962450622011,0.0,0.6725663287194236,0.0,0.31468481476989824,0.0,0.3995107435054188,0.0,0.3541211337835176,0.0,0.6918928376752146,0.0,0.5939904340973634,0.0,0.6774873271153952,0.0,0.4982324001443006,0.0,0.4152762544820487,0.0,0.6752202548251741,0.0,0.6419178079786413,0.0,0.741265188960604,0.0,0.5924843168143585,0.0,0.493894313842143,0.0,0.6015673528443549,0.0,0.5931006017282998,0.0,0.70538167874423,0.0,0.24932576550944835,0.0,0.5811553879780126,0.0,0.5133860086922245,0.0,0.6119335082947805,0.0,0.8264415258136524
S-CPI_bt,300,4.516400098800659,0.9574333805736934,1.0,0.005153809279775675,1.0,3.2924076131927987e-07,1.0,3.0807018969781093e-06,1.0,1.0334747058703343e-09,1.0,0.015911774351967327,1.0,0.4693943008307796,1.0,0.0008300418371894905,1.0,0.005946360734756133,1.0,5.424581035492051e-10,1.0,0.005187695603505079,1.0,1.6820335294855677e-10,1.0,1.5513354552808808e-06,0.0,0.5488017898799048,0.0,0.8783446731659361,0.0,0.4798226998023866,0.0,0.6203792574913075,0.0,0.7179955257968293,0.0,0.930014653539903,0.0,0.6856118894324313,0.0,0.9928408494143107,0.0,0.0962735255781394,0.0,0.7584428892043635,0.0,0.7222301011039485,0.0,0.4940973434648478,0.0,0.8291193314142415,0.0,0.8117879945440023,0.0,0.9209950735306331,0.0,0.3780201579326196,0.0,0.6032693945336224,0.0,0.17697104314960477,0.0,0.19262252808146968,0.0,0.33372890426890023,0.0,0.680981676100149,0.0,0.664501874627625,0.0,0.8058063203692503,0.0,0.3226567049326119,0.0,0.26441141667506296,0.0,0.8976449054868406,0.0,0.6034637332331796,0.0,0.8143260732956723,0.0,0.7900491994902656,0.0,0.707672806157762,0.0,0.7201241416055743,0.0,0.4994758963569198,0.0,0.5746299102602928,0.0,0.14525002896456823,0.0,0.6544155032565808,0.0,0.5821473644951614,0.0,0.5686944761682801,0.0,0.875871078719197
