method,n,tr_time,r2_test,tr_V0,pval0,tr_V1,pval1,tr_V2,pval2,tr_V3,pval3,tr_V4,pval4,tr_V5,pval5,tr_V6,pval6,tr_V7,pval7,tr_V8,pval8,tr_V9,pval9,tr_V10,pval10,tr_V11,pval11,tr_V12,pval12,tr_V13,pval13,tr_V14,pval14,tr_V15,pval15,tr_V16,pval16,tr_V17,pval17,tr_V18,pval18,tr_V19,pval19,tr_V20,pval20,tr_V21,pval21,tr_V22,pval22,tr_V23,pval23,tr_V24,pval24,tr_V25,pval25,tr_V26,pval26,tr_V27,pval27,tr_V28,pval28,tr_V29,pval29,tr_V30,pval30,tr_V31,pval31,tr_V32,pval32,tr_V33,pval33,tr_V34,pval34,tr_V35,pval35,tr_V36,pval36,tr_V37,pval37,tr_V38,pval38,tr_V39,pval39,tr_V40,pval40,tr_V41,pval41,tr_V42,pval42,tr_V43,pval43,tr_V44,pval44,tr_V45,pval45,tr_V46,pval46,tr_V47,pval47,tr_V48,pval48,tr_V49,pval49
LOCO-W,300,128.01546216011047,0.802561894740087,1.0,0.1535419483212036,1.0,0.14368845052502943,1.0,0.8566685259416666,1.0,0.21439275210176056,1.0,0.7063133541799986,1.0,0.954551995602434,1.0,0.5895506218767732,1.0,0.2789394006093171,1.0,0.4868530527981364,1.0,0.7003269227382058,1.0,0.18554873057761923,1.0,0.5276489090950556,0.0,0.8429051628245552,0.0,0.00021597016850716244,0.0,0.9147525255143747,0.0,0.12203398153951062,0.0,0.21319585972554744,0.0,0.5715402637898628,0.0,0.9996351759791565,0.0,0.0027460638647571756,0.0,0.05654748252163444,0.0,0.6082756335015206,0.0,0.6929068927821809,0.0,0.9920567014964783,0.0,0.12846167443164958,0.0,0.3078437228498174,0.0,0.7624984938731727,0.0,0.7051995259446,0.0,0.9032588003189752,0.0,0.3190457053490713,0.0,0.4008004587201468,0.0,0.36526966108331227,0.0,0.5881051009402751,0.0,0.11255979808333094,0.0,0.9999837944105834,0.0,0.9047282125432112,0.0,0.3153571881360755,0.0,0.5851870906776679,0.0,0.20194441246553374,0.0,0.36662515459510214,0.0,0.3816899857617394,0.0,0.6248495954820187,0.0,0.9841214252930531,0.0,0.8175792778147604,0.0,0.009954698109792437,0.0,0.48554773130725126,0.0,0.1258684025673531,0.0,0.15721410444351747,0.0,0.7260673639116738,0.0,0.7071624021535238
CPI,300,6.694875955581665,0.802561894740087,1.0,0.007595289217926589,1.0,0.06360438218381413,1.0,0.013246819724338417,1.0,0.0026803471661018146,1.0,0.1066135449539461,1.0,0.005993189761680783,1.0,0.3109255563875575,1.0,0.0009210561733224478,1.0,0.027527968326063763,1.0,0.004855514151592231,1.0,0.05794028114294727,1.0,0.005655913527366551,0.0,0.30772800534233713,0.0,0.05667315890580245,0.0,0.5660958487316847,0.0,0.7096876864880526,0.0,0.6555645849208536,0.0,0.4571062730248754,0.0,0.5724515717134953,0.0,0.08134615992121152,0.0,0.9250867770158062,0.0,0.6875991424936941,0.0,0.8289018722972603,0.0,0.5261682240723945,0.0,0.45693806726390274,0.0,0.6173000847485213,0.0,0.5809985116123092,0.0,0.7636706321721082,0.0,0.9394743824078393,0.0,0.44133469663977287,0.0,0.5120953720451134,0.0,0.5931424719658998,0.0,0.2407503220097733,0.0,0.10942255257942174,0.0,0.5476145215805774,0.0,0.43049394069185,0.0,0.2748276573081543,0.0,0.5082420344171087,0.0,0.2897409415480535,0.0,0.6588891871076065,0.0,0.08143923679973408,0.0,0.12047981301721927,0.0,0.26416023495177554,0.0,0.07960922730682396,0.0,0.24376412753642995,0.0,0.5167167401709111,0.0,0.7846377456808162,0.0,0.06685283824206069,0.0,0.9157997177642871,0.0,0.11536925902027767
CPI_sqrt,300,6.660354375839233,0.802561894740087,1.0,0.39787398301120447,1.0,0.41681229072161063,1.0,0.4367269981168538,1.0,0.27437709300072427,1.0,0.36377654913923463,1.0,0.21572309980064808,1.0,0.2790901815145539,1.0,0.3991291744877334,1.0,0.02261054174927443,1.0,0.269500588023908,1.0,0.29625565067410786,1.0,0.36191933023998724,0.0,0.48654924706833763,0.0,0.4312933940731881,0.0,0.504282464566703,0.0,0.5197979033148075,0.0,0.4974149956898064,0.0,0.5057818854776148,0.0,0.5065333740417566,0.0,0.48662417143948294,0.0,0.511106974463674,0.0,0.5012340115579025,0.0,0.5008825388918251,0.0,0.5020307867296513,0.0,0.4997674415123691,0.0,0.49576764804083434,0.0,0.4987983402863911,0.0,0.5002437293930941,0.0,0.519492072665052,0.0,0.50544958109948,0.0,0.48658919111600624,0.0,0.5048711402935228,0.0,0.49932646471618053,0.0,0.49389153431706206,0.0,0.49315269857363575,0.0,0.49885567686142485,0.0,0.49350029620690095,0.0,0.523682387730689,0.0,0.5034275957587102,0.0,0.5007718738791255,0.0,0.5052015122589187,0.0,0.48640516662281275,0.0,0.49745312756444,0.0,0.49429264312698534,0.0,0.5050180824568554,0.0,0.5084682205484,0.0,0.5141268709955691,0.0,0.495471261105656,0.0,0.5092969885895968,0.0,0.5066590574389868
CPI_n,300,6.619633197784424,0.802561894740087,1.0,0.19149544873945884,1.0,0.06150757418636757,1.0,0.09959740750490859,1.0,0.003154797514627748,1.0,0.05156217574977523,1.0,0.11477526740708044,1.0,0.0930226958169641,1.0,0.03803255960636289,1.0,0.006443280665117658,1.0,0.028727093784973564,1.0,0.4128414081811351,1.0,0.03432455411002065,0.0,0.37463123776644025,0.0,0.07779551171641047,0.0,0.5583696641658416,0.0,0.676089096029364,0.0,0.3384088948501971,0.0,0.588822815134738,0.0,0.5233204532433408,0.0,0.398624194119853,0.0,0.5795614242563089,0.0,0.555202078656931,0.0,0.5259037527967261,0.0,0.5352144086068262,0.0,0.4619593636830438,0.0,0.483225736754924,0.0,0.4662960708541057,0.0,0.5366083022493532,0.0,0.4396684624254693,0.0,0.4035200418241679,0.0,0.486375468840305,0.0,0.5752196263224642,0.0,0.40131045035336066,0.0,0.4426342344009759,0.0,0.5185801657140675,0.0,0.4670958660866626,0.0,0.4707373942394389,0.0,0.46071377274798764,0.0,0.46028657882333446,0.0,0.42923143708471634,0.0,0.5296341362632738,0.0,0.38740076369207,0.0,0.4940419747076677,0.0,0.3777336493017867,0.0,0.5585613182797187,0.0,0.5497683682982231,0.0,0.5851394556420638,0.0,0.5326383533232936,0.0,0.6416074320144999,0.0,0.5652495434257278
CPI_bt,300,6.881911993026733,0.802561894740087,1.0,0.02189221114484317,1.0,0.04052923694027621,1.0,0.012757977786585861,1.0,0.07510972710197145,1.0,6.761084642627022e-05,1.0,0.002221417996958282,1.0,0.5190561856783914,1.0,0.0023766997700389917,1.0,0.038521505170320554,1.0,8.910875447374774e-09,1.0,0.15327399652267804,1.0,0.0003654809362815315,0.0,0.424508385853942,0.0,0.18898361877129832,0.0,0.5167324117167693,0.0,0.5163794190320844,0.0,0.3456642746283101,0.0,0.47547822542056745,0.0,0.4417573339279479,0.0,0.4241668499438953,0.0,0.6302073195831543,0.0,0.5391417360469266,0.0,0.5252037144664264,0.0,0.4289916245424543,0.0,0.6326710300510914,0.0,0.5902442717617157,0.0,0.47579917164956165,0.0,0.5637660909489616,0.0,0.612939078148603,0.0,0.38296079468217564,0.0,0.5510328408333285,0.0,0.5478974037734239,0.0,0.42876582175112177,0.0,0.48516007866811794,0.0,0.45942811105059855,0.0,0.3976182290331717,0.0,0.466451016940712,0.0,0.6093730946187548,0.0,0.5444073681726942,0.0,0.4864051458263579,0.0,0.5489400601035637,0.0,0.4648412643404626,0.0,0.41003155433141614,0.0,0.2509747727538397,0.0,0.39555963992664606,0.0,0.4150871462310938,0.0,0.5476705474058773,0.0,0.4614197599672326,0.0,0.5723248970614088,0.0,0.5876378041798967
CPI_sqd,300,6.8397886753082275,0.802561894740087,1.0,7.890165788215584e-98,1.0,6.758457600530191e-25,1.0,0.009552842933692806,1.0,0.022594362302381012,1.0,4.4951596928461915e-06,1.0,5.072606270660114e-10,1.0,0.0009072691819964988,1.0,1.20582444110594e-146,1.0,0.0031632188650099684,1.0,5.964173197357787e-07,1.0,0.10840308948840749,1.0,2.1772505677503083e-53,0.0,0.9513289784164444,0.0,1.831064202758759e-53,0.0,0.056377545259903,0.0,1.0,0.0,1.0,0.0,0.9999999999951455,0.0,1.0,0.0,4.6694754898693764e-23,0.0,0.8462552393327123,0.0,8.938414035863288e-05,0.0,0.9993706987366945,0.0,0.9999999997242787,0.0,1.0,0.0,4.473201745062418e-58,0.0,1.0,0.0,6.157637150089757e-08,0.0,1.0,0.0,0.9999931023629511,0.0,0.8224178821604426,0.0,0.9999939665226394,0.0,1.3774213762747723e-33,0.0,1.480034365350159e-15,0.0,8.587665431800541e-07,0.0,1.0,0.0,6.888657235314877e-136,0.0,1.0,0.0,5.265376228693999e-16,0.0,1.7904175001860452e-30,0.0,1.405913862308316e-19,0.0,7.595559554167291e-24,0.0,1.3245546583247334e-37,0.0,3.6951377917952035e-88,0.0,1.6876578163085994e-07,0.0,0.9138055411787018,0.0,0.9999999999934197,0.0,0.624038079594361,0.0,0.9653659745958288,0.0,0.002648756249017097
S-CPI,300,19.485891103744507,0.802561894740087,1.0,0.010406545536047819,1.0,0.020664074976255283,1.0,0.05780088736065856,1.0,0.04373790422972676,1.0,0.004802156867259522,1.0,0.011202892939384064,1.0,0.08712967459712329,1.0,0.0017007133795556644,1.0,0.01907257945015453,1.0,0.00018084393368307807,1.0,0.75107282964861,1.0,0.000699201877049688,0.0,0.20398037467725993,0.0,0.15060918062792567,0.0,0.6006461374854525,0.0,0.8448598891471647,0.0,0.26268294069050035,0.0,0.9204010741958295,0.0,0.2143904100541369,0.0,0.11823250823506065,0.0,0.7398055664333897,0.0,0.5554100740135589,0.0,0.8161696270593513,0.0,0.6677719741874858,0.0,0.9127460357887904,0.0,0.22735765997650592,0.0,0.29731807288512163,0.0,0.689529536041392,0.0,0.8913065468066181,0.0,0.4810354062277484,0.0,0.31047265332987967,0.0,0.6270649559839488,0.0,0.05049393792360625,0.0,0.08972049990002162,0.0,0.09812095660628567,0.0,0.47161905879630334,0.0,0.15134777277905048,0.0,0.8451636665507529,0.0,0.5100992483521734,0.0,0.45316914817461795,0.0,0.809253658690436,0.0,0.10229923819937725,0.0,0.4223810261263965,0.0,0.025837333084546332,0.0,0.7737501527025509,0.0,0.36499371605276704,0.0,0.9230007965113355,0.0,0.291444675314659,0.0,0.9558376861245198,0.0,0.7960295383893349
S-CPI_sqrt,300,19.560433864593506,0.802561894740087,1.0,0.3493756920988188,1.0,0.3644256046949317,1.0,0.2415693796225835,1.0,0.2306924539268842,1.0,0.30905105541841593,1.0,0.19439551158599017,1.0,0.29598113488364586,1.0,0.3245557245085562,1.0,0.08042957739971729,1.0,0.15809784255983533,1.0,0.6264075447646356,1.0,0.19641035418587643,0.0,0.4863274322208288,0.0,0.42974640198017994,0.0,0.5048893607516013,0.0,0.5197709041765542,0.0,0.49082185848811855,0.0,0.5060167196991092,0.0,0.4881240167301578,0.0,0.486721350977854,0.0,0.5081003984767953,0.0,0.5131666939252947,0.0,0.5065312469598341,0.0,0.5077631731903762,0.0,0.513077534246911,0.0,0.4943963248719691,0.0,0.4982699663809882,0.0,0.512604605651101,0.0,0.5219041910362665,0.0,0.49603244932481905,0.0,0.49267835290343903,0.0,0.49808061336556986,0.0,0.48960217993419863,0.0,0.4886308060951028,0.0,0.4909085266322516,0.0,0.5035039479930643,0.0,0.48818137034139814,0.0,0.5105849058000842,0.0,0.499640553186863,0.0,0.4970491658146586,0.0,0.4952538991618454,0.0,0.4890873081192916,0.0,0.49852556248609237,0.0,0.4785373944281581,0.0,0.5137106614088288,0.0,0.48619534516007196,0.0,0.5207673111633898,0.0,0.49552793250328825,0.0,0.5265854642704382,0.0,0.5068741128676701
S-CPI_n,300,19.480976104736328,0.802561894740087,1.0,0.12706397488237692,1.0,0.0808831932785824,1.0,0.05048394980331594,1.0,0.034512981201597924,1.0,0.16097331821364624,1.0,0.01989606863574619,1.0,0.1924594074803077,1.0,0.013028330887610592,1.0,0.01924584103326432,1.0,0.0017922963334182922,1.0,0.9290579202033071,1.0,0.004280536152858963,0.0,0.4854391301531652,0.0,0.1585266482995003,0.0,0.5282080453860163,0.0,0.6492889277544895,0.0,0.4171341962917807,0.0,0.544132594977992,0.0,0.41647137536272366,0.0,0.37982901005395603,0.0,0.5657821984847409,0.0,0.5669718488672182,0.0,0.4887752320980517,0.0,0.5339181982802573,0.0,0.622499075983474,0.0,0.5730938411915206,0.0,0.4937273261507239,0.0,0.5595915126306614,0.0,0.6402468186767124,0.0,0.3992881475477619,0.0,0.4453250636474835,0.0,0.5885277382338823,0.0,0.4559302709821661,0.0,0.3881792413966365,0.0,0.41475841053277956,0.0,0.5290659308494123,0.0,0.4337822998037248,0.0,0.5888992629486517,0.0,0.573960611022242,0.0,0.4876348165010741,0.0,0.5075174959724766,0.0,0.4203361662658335,0.0,0.4719052799485782,0.0,0.3252700350068463,0.0,0.5420752611843639,0.0,0.4650343955364552,0.0,0.6219047681858322,0.0,0.543280116086978,0.0,0.6832794456797693,0.0,0.5400901627761603
S-CPI_bt,300,19.699133157730103,0.802561894740087,1.0,0.008663637206586644,1.0,0.00016856346879558703,1.0,0.009192310849557664,1.0,0.048601985907654806,1.0,0.020005613684806935,1.0,5.535509748598055e-06,1.0,0.01230773289186287,1.0,1.6771721339425876e-06,1.0,0.0902945947632951,1.0,3.1694801113621897e-07,1.0,0.700089191352576,1.0,6.640512148367845e-07,0.0,0.4073717645882353,0.0,0.03663591459459613,0.0,0.5997701605178145,0.0,0.7396774553827515,0.0,0.3877764633426871,0.0,0.6384281824971485,0.0,0.4385008365087304,0.0,0.37121800080779116,0.0,0.611692968328879,0.0,0.5669378344244267,0.0,0.5393000321574062,0.0,0.5421382524280255,0.0,0.6714674404120016,0.0,0.4876876496767429,0.0,0.4809448028275693,0.0,0.5699571548073179,0.0,0.7015535770140036,0.0,0.4020705414788313,0.0,0.4310321329355946,0.0,0.6148523599661802,0.0,0.39773685841054773,0.0,0.37826285470141685,0.0,0.3854323689329635,0.0,0.5768014766000824,0.0,0.3950264315141322,0.0,0.5839047014190277,0.0,0.5972978824065293,0.0,0.4520448634066797,0.0,0.6141744608982103,0.0,0.3714197528098472,0.0,0.4677655924566069,0.0,0.3126136685654567,0.0,0.6165903504682256,0.0,0.44471036562569105,0.0,0.6590997897775672,0.0,0.42525439415394134,0.0,0.6801378554077435,0.0,0.5466099687829302
