method,n,tr_time,r2_test,tr_V0,pval0,tr_V1,pval1,tr_V2,pval2,tr_V3,pval3,tr_V4,pval4,tr_V5,pval5,tr_V6,pval6,tr_V7,pval7,tr_V8,pval8,tr_V9,pval9,tr_V10,pval10,tr_V11,pval11,tr_V12,pval12,tr_V13,pval13,tr_V14,pval14,tr_V15,pval15,tr_V16,pval16,tr_V17,pval17,tr_V18,pval18,tr_V19,pval19,tr_V20,pval20,tr_V21,pval21,tr_V22,pval22,tr_V23,pval23,tr_V24,pval24,tr_V25,pval25,tr_V26,pval26,tr_V27,pval27,tr_V28,pval28,tr_V29,pval29,tr_V30,pval30,tr_V31,pval31,tr_V32,pval32,tr_V33,pval33,tr_V34,pval34,tr_V35,pval35,tr_V36,pval36,tr_V37,pval37,tr_V38,pval38,tr_V39,pval39,tr_V40,pval40,tr_V41,pval41,tr_V42,pval42,tr_V43,pval43,tr_V44,pval44,tr_V45,pval45,tr_V46,pval46,tr_V47,pval47,tr_V48,pval48,tr_V49,pval49
LOCO-W,300,816.9881317615509,0.9890919887198568,1.0,0.006110043823098987,1.0,0.9210946252777121,1.0,0.001628254965749365,1.0,0.006960470219313897,1.0,3.1194906847331616e-05,1.0,0.001464883602789846,1.0,0.008123089040565579,1.0,2.494934134844584e-06,1.0,0.0015427816736184319,1.0,7.328641214332521e-06,1.0,2.705722660589771e-05,1.0,1.5595130842482874e-05,0.0,0.04913944502230705,0.0,0.7984458195484625,0.0,0.3986959262151831,0.0,0.3464593515202554,0.0,0.9619021180839115,0.0,0.9650152035464712,0.0,0.04894204865799523,0.0,0.7657662638794167,0.0,0.00046649119136599193,0.0,0.6046867050209155,0.0,0.5442326577517906,0.0,0.39220119514772744,0.0,0.03403885557870856,0.0,0.14915692001852787,0.0,0.19396527518996431,0.0,0.6894725639685122,0.0,0.18043390821040872,0.0,0.2367439296690904,0.0,0.19595865922779088,0.0,0.7314332606361179,0.0,0.9964561527850841,0.0,0.9723150253570948,0.0,0.42607057482533595,0.0,0.571663452226808,0.0,0.07393910720260277,0.0,0.6048416612123756,0.0,0.06969194325087014,0.0,0.1725243696977825,0.0,0.2914162224424951,0.0,0.6811963377322723,0.0,0.9135031819677388,0.0,0.013049698201545668,0.0,0.8402406011497497,0.0,0.9078975068632642,0.0,0.8786089668847921,0.0,0.09004465750896407,0.0,0.21274579302650554,0.0,0.3789201461212083
CPI,300,15.7008056640625,0.9890919887198568,1.0,2.1253631325251664e-05,1.0,2.5737994490264205e-05,1.0,9.870666439334917e-05,1.0,5.937769151991348e-08,1.0,1.1411188095789646e-09,1.0,5.023374433584852e-08,1.0,2.077232606284947e-08,1.0,0.00011415892541461239,1.0,1.0650970847243843e-10,1.0,3.3859077602863223e-09,1.0,1.5588568494932114e-08,1.0,4.533890007810332e-07,0.0,0.2074729520811534,0.0,0.2372155433331476,0.0,0.0916882294954453,0.0,0.9468696636941583,0.0,0.05299228107743795,0.0,0.8110489121205404,0.0,0.2354193302562369,0.0,0.6115725577425674,0.0,0.13221420050398247,0.0,0.03746763295718086,0.0,0.024483910470243304,0.0,0.178548048669181,0.0,0.01850603192035825,0.0,0.12816488554494626,0.0,0.08645075287602938,0.0,0.18658461934035175,0.0,0.4724202613648104,0.0,0.19875342793145245,0.0,0.8799143656609848,0.0,0.2184090289312572,0.0,0.17976480531429606,0.0,0.46794755419991024,0.0,0.29113530455294195,0.0,0.8988476733559289,0.0,0.3181374324289212,0.0,0.08700571789077222,0.0,0.6157991603594608,0.0,0.6283122469010298,0.0,0.4943048369288549,0.0,0.8267956272109173,0.0,0.3749175986652053,0.0,0.8339231124192082,0.0,0.18219479468531408,0.0,0.9044381611504997,0.0,0.5876183336976003,0.0,0.33831147731509403,0.0,0.718707887953941,0.0,0.4839109631881948
CPI_sqrt,300,15.695375680923462,0.9890919887198568,1.0,0.2673255470376278,1.0,0.31802541779882265,1.0,0.16361784765468612,1.0,0.2255733672109244,1.0,0.1637685519622069,1.0,0.18825082056957892,1.0,0.13871409655686245,1.0,0.22614439367039724,1.0,0.13287189065636007,1.0,0.12489778366353299,1.0,0.12657471647558072,1.0,0.09952901935022307,0.0,0.49974333665896886,0.0,0.49994108235901075,0.0,0.4996769956377545,0.0,0.5000714547832436,0.0,0.49986905941806725,0.0,0.49999359605750526,0.0,0.49978524139950736,0.0,0.4999929431778592,0.0,0.4999565565759434,0.0,0.4999815551125077,0.0,0.4999510529342882,0.0,0.5001081825665864,0.0,0.49981946969206054,0.0,0.5000053093115047,0.0,0.4999794060273057,0.0,0.49995891120035074,0.0,0.5001858980941215,0.0,0.5000938871847322,0.0,0.500012031596931,0.0,0.49986252844286966,0.0,0.4999990555013179,0.0,0.5001187584803388,0.0,0.4997960415924352,0.0,0.5000540998381008,0.0,0.4999575437977614,0.0,0.4999499138286761,0.0,0.49993126946241406,0.0,0.4999947654908904,0.0,0.4999851448939593,0.0,0.5000048777045112,0.0,0.49984428956844357,0.0,0.5003242394528381,0.0,0.49985547477087244,0.0,0.500133253068208,0.0,0.49998857502469246,0.0,0.5000110435479382,0.0,0.5000484503408565,0.0,0.4999556924460808
CPI_n,300,15.701568603515625,0.9890919887198568,1.0,0.0003447569722995049,1.0,0.015619731544586317,1.0,0.0011497949476688355,1.0,0.00037177905133774144,1.0,9.779917090528522e-05,1.0,0.00023570932285566933,1.0,0.00012361806745151725,1.0,0.0009164479794183257,1.0,5.7515925093083064e-05,1.0,9.05218075961902e-06,1.0,4.854281194297771e-06,1.0,3.452672245922316e-05,0.0,0.4985345015588136,0.0,0.5013748850621051,0.0,0.4987545326451618,0.0,0.5008260561794668,0.0,0.49917407940721303,0.0,0.500054733779119,0.0,0.4967997018656271,0.0,0.4998811910559855,0.0,0.4987031136808842,0.0,0.49966049786506156,0.0,0.4998065801181412,0.0,0.499874465275811,0.0,0.49874402737429435,0.0,0.4980770468605912,0.0,0.49982341654915946,0.0,0.49938408985405114,0.0,0.500714419348025,0.0,0.5004954811071913,0.0,0.4998328574015977,0.0,0.49944231545418805,0.0,0.49991484542130277,0.0,0.5000179556149323,0.0,0.49944924989315576,0.0,0.5005047826112903,0.0,0.49976371057826235,0.0,0.4997569204494225,0.0,0.4998976398019979,0.0,0.49930042392543167,0.0,0.497181660994007,0.0,0.5002642755094389,0.0,0.4996000215400248,0.0,0.5029752224275423,0.0,0.4987647494125393,0.0,0.5004398483229081,0.0,0.49942571728456925,0.0,0.500250096419071,0.0,0.49995449806450865,0.0,0.5010462210116559
CPI_bt,300,15.867332935333252,0.9890919887198568,1.0,4.373868382110856e-09,1.0,1.600575231717607e-05,1.0,3.090898559915006e-10,1.0,3.2990075871074626e-10,1.0,5.10752313014678e-19,1.0,9.081231320912667e-14,1.0,4.845071202532178e-18,1.0,3.767231160823429e-10,1.0,1.7429249959429973e-14,1.0,5.172633821521228e-15,1.0,1.688836062157748e-18,1.0,8.567701009760532e-14,0.0,0.49872399913576976,0.0,0.4992144643767415,0.0,0.49588672666164163,0.0,0.5009847966777687,0.0,0.49931067043597177,0.0,0.4999978896030839,0.0,0.5014340653949572,0.0,0.499963321154035,0.0,0.4993571309640955,0.0,0.4990920396851065,0.0,0.5002254054849081,0.0,0.4999628090576762,0.0,0.4986921489617833,0.0,0.4994599304683401,0.0,0.499819347099348,0.0,0.4995742687046385,0.0,0.5006200984899201,0.0,0.5003737371662172,0.0,0.5010437183633293,0.0,0.4994728554039998,0.0,0.4999929782134458,0.0,0.5001191561947871,0.0,0.4996017020516389,0.0,0.5016227622304877,0.0,0.5006257704482674,0.0,0.4995028388689051,0.0,0.5011274700565944,0.0,0.4981481686889823,0.0,0.4949480878413296,0.0,0.5002608971990513,0.0,0.5000621609141516,0.0,0.5030618674554221,0.0,0.49799500687939535,0.0,0.4977029828506073,0.0,0.5001141306895461,0.0,0.5005683538221347,0.0,0.5003040744970203,0.0,0.49896494717234485
CPI_sqd,300,15.867412567138672,0.9890919887198568,1.0,2.0561480853911052e-209,1.0,4.406004250866346e-252,1.0,1.3609241604418047e-79,1.0,1.405620368259076e-80,1.0,1.711984334886125e-172,1.0,2.931600032246844e-145,1.0,9.849129821756067e-130,1.0,5.879887008444382e-156,1.0,1.6317974942178042e-102,1.0,2.0679294666752564e-74,1.0,1.2395033428475508e-84,1.0,1.8198164944988284e-115,0.0,0.41162111972036347,0.0,0.4478123826064243,0.0,0.35044547743216886,0.0,0.6076936219337897,0.0,0.4084172550650951,0.0,0.5068785381392473,0.0,0.40414740156173745,0.0,0.4974614646098746,0.0,0.5461715773058277,0.0,0.4219482485925994,0.0,0.49634875980689996,0.0,0.4870713344851249,0.0,0.4793615253876311,0.0,0.22667429750449308,0.0,0.5007451896579735,0.0,0.5026324376298688,0.0,0.622377898220358,0.0,0.490589641784394,0.0,0.5664634173413758,0.0,0.3937786478630889,0.0,0.5013521463798642,0.0,0.6295264737847084,0.0,0.5681583376065686,0.0,0.5701016627317219,0.0,0.5073147327424448,0.0,0.46868510685126763,0.0,0.38005074415404794,0.0,0.32793079766934863,0.0,0.13825190064849413,0.0,0.4643877273306758,0.0,0.5394298523466771,0.0,0.43443218607561296,0.0,0.4082166044104543,0.0,0.4613078648019548,0.0,0.5055805509161259,0.0,0.5550702933929509,0.0,0.5180365178113421,0.0,0.6704426618371049
S-CPI,300,28.590248584747314,0.9890919887198568,1.0,2.2143490357621466e-10,1.0,0.0012322554971119098,1.0,2.8646164266780157e-06,1.0,4.362521899048708e-05,1.0,1.6147545344152613e-06,1.0,1.7158491256514015e-06,1.0,9.60395865169764e-08,1.0,0.0008934573662047349,1.0,4.23871881301265e-07,1.0,3.1594706124136013e-07,1.0,4.2828788055934966e-07,1.0,3.544462426356418e-05,0.0,0.18646173831432716,0.0,0.23146211665141025,0.0,0.006670840983574129,0.0,0.9122699681402022,0.0,0.338606335890581,0.0,0.7064025189812526,0.0,0.3625313382485741,0.0,0.4547111526677058,0.0,0.3925350708360309,0.0,0.08317770167788074,0.0,0.10413396604553521,0.0,0.7031739560279096,0.0,0.15460194842298325,0.0,0.08035686884120607,0.0,0.1752668793472802,0.0,0.40615436606769517,0.0,0.8077938620878309,0.0,0.8314300823216212,0.0,0.8870842161265882,0.0,0.1500550224282629,0.0,0.35739989183711496,0.0,0.6000459545470381,0.0,0.3442974582729218,0.0,0.9767328507615072,0.0,0.5796469422018526,0.0,0.0999586740802525,0.0,0.29532320896910624,0.0,0.054336968007832706,0.0,0.4572317920188357,0.0,0.4720598926397805,0.0,0.21645798210804174,0.0,0.907599615617625,0.0,0.14913092149616486,0.0,0.8903788989985582,0.0,0.8299461647465523,0.0,0.598612659666369,0.0,0.887262735320504,0.0,0.5409383501000802
S-CPI_sqrt,300,28.582438468933105,0.9890919887198568,1.0,0.20758502124353145,1.0,0.35461031657410597,1.0,0.19396870206188987,1.0,0.20315039753787584,1.0,0.16930802488968638,1.0,0.1671617379873725,1.0,0.09283728945737951,1.0,0.23426455977312588,1.0,0.08143860379830165,1.0,0.1545115151565516,1.0,0.11666457856407414,1.0,0.09681308261523741,0.0,0.49996911985804215,0.0,0.5001229412632252,0.0,0.4995007595090989,0.0,0.50024020662166,0.0,0.5000176170321351,0.0,0.5000113568999196,0.0,0.49985276064001005,0.0,0.4999952700219989,0.0,0.4999597481558723,0.0,0.4998843464192107,0.0,0.49992536069574117,0.0,0.5001073281895603,0.0,0.4998812366187824,0.0,0.4998001469732481,0.0,0.4999813391086699,0.0,0.5000081711780981,0.0,0.5001531365562883,0.0,0.500042030916119,0.0,0.5001743761289762,0.0,0.49994871288202075,0.0,0.500001476957895,0.0,0.5000858468572055,0.0,0.49993582431863504,0.0,0.5001749398652812,0.0,0.5000192867632193,0.0,0.49997427115675164,0.0,0.4998304832155304,0.0,0.4997700942993679,0.0,0.4989222424012822,0.0,0.49990975749174354,0.0,0.4999767921862689,0.0,0.5005485702869026,0.0,0.49976615372720967,0.0,0.5000956618922263,0.0,0.5000392349026539,0.0,0.5000579991491025,0.0,0.5001215168309224,0.0,0.500017997309949
S-CPI_n,300,28.59736132621765,0.9890919887198568,1.0,9.33281764340642e-05,1.0,0.026351617068898235,1.0,0.0009570636838747924,1.0,0.0017582723318968754,1.0,0.0005524356105554157,1.0,0.0003870748768574224,1.0,8.938339515974304e-05,1.0,0.012032871856438452,1.0,0.00026943759053386267,1.0,0.00011836297476962067,1.0,3.003823530811272e-05,1.0,0.0010168811762880923,0.0,0.4995106297986638,0.0,0.49949669527481105,0.0,0.4952917303966597,0.0,0.5014215265254055,0.0,0.49959387336485905,0.0,0.500044290314092,0.0,0.4960006077656339,0.0,0.5000196681595375,0.0,0.49889930154186435,0.0,0.49749128246735225,0.0,0.4995143517526562,0.0,0.5012633714682058,0.0,0.4989597055447915,0.0,0.4974683748964381,0.0,0.499687512547232,0.0,0.500165882838121,0.0,0.501876429931291,0.0,0.5005083769627191,0.0,0.5004625837215627,0.0,0.49917066708380964,0.0,0.4999984542685703,0.0,0.5012423784380494,0.0,0.49847517438458405,0.0,0.5011937702748029,0.0,0.4988637944693167,0.0,0.4994934050195496,0.0,0.49693166594353144,0.0,0.4984655613256681,0.0,0.4977677017050401,0.0,0.4994470152524561,0.0,0.4997260097927731,0.0,0.5029774318908615,0.0,0.4974787456501804,0.0,0.5015776804383568,0.0,0.5004234905345853,0.0,0.5008344333973828,0.0,0.5006603671059292,0.0,0.4998559609333099
S-CPI_bt,300,28.784339904785156,0.9890919887198568,1.0,5.508396198040419e-14,1.0,0.00037535707390170837,1.0,2.6826639860135016e-09,1.0,3.68493823423954e-12,1.0,1.970772907620793e-13,1.0,3.925390442840359e-10,1.0,6.371778947195106e-16,1.0,4.336845988435788e-08,1.0,8.68494958263775e-11,1.0,1.673258357072636e-13,1.0,8.339124681851091e-13,1.0,4.708191137118363e-09,0.0,0.49965565839344944,0.0,0.49937722238253085,0.0,0.49198246177926325,0.0,0.5023336923610499,0.0,0.49892961137601616,0.0,0.500025624939443,0.0,0.4958837126842717,0.0,0.4999633735399143,0.0,0.5000940322421923,0.0,0.499068980281597,0.0,0.49945752217785755,0.0,0.5010128326342977,0.0,0.49785721504299363,0.0,0.4968397226381067,0.0,0.4998990050705373,0.0,0.4997655877272192,0.0,0.5009331195247421,0.0,0.5004846858941041,0.0,0.5008492964486347,0.0,0.4997023259497545,0.0,0.500023073097891,0.0,0.5002309982833789,0.0,0.49885251691292426,0.0,0.5011150225809111,0.0,0.4996519949327122,0.0,0.4991667949430223,0.0,0.49810682361055836,0.0,0.4981389612411719,0.0,0.49395388085131375,0.0,0.49988175286820613,0.0,0.49943763645567074,0.0,0.50358816482807,0.0,0.49818464255403966,0.0,0.5013337402921405,0.0,0.4999815984990457,0.0,0.5000984302556964,0.0,0.5011372042428337,0.0,0.4987600611366999
