method,n,tr_time,r2_test,tr_V0,pval0,tr_V1,pval1,tr_V2,pval2,tr_V3,pval3,tr_V4,pval4,tr_V5,pval5,tr_V6,pval6,tr_V7,pval7,tr_V8,pval8,tr_V9,pval9,tr_V10,pval10,tr_V11,pval11,tr_V12,pval12,tr_V13,pval13,tr_V14,pval14,tr_V15,pval15,tr_V16,pval16,tr_V17,pval17,tr_V18,pval18,tr_V19,pval19,tr_V20,pval20,tr_V21,pval21,tr_V22,pval22,tr_V23,pval23,tr_V24,pval24,tr_V25,pval25,tr_V26,pval26,tr_V27,pval27,tr_V28,pval28,tr_V29,pval29,tr_V30,pval30,tr_V31,pval31,tr_V32,pval32,tr_V33,pval33,tr_V34,pval34,tr_V35,pval35,tr_V36,pval36,tr_V37,pval37,tr_V38,pval38,tr_V39,pval39,tr_V40,pval40,tr_V41,pval41,tr_V42,pval42,tr_V43,pval43,tr_V44,pval44,tr_V45,pval45,tr_V46,pval46,tr_V47,pval47,tr_V48,pval48,tr_V49,pval49
LOCO-W,300,2.2758383750915527,0.987259124795468,1.0,0.00081399977886909,1.0,0.008778919473241165,1.0,0.0048256920580010965,1.0,9.865899906702502e-06,1.0,0.09873405574950356,1.0,0.0019845827939937166,1.0,0.0008398228808133013,1.0,5.846296899369996e-05,1.0,0.0034709178637125637,1.0,1.7411694862579097e-05,1.0,2.634355023012347e-08,1.0,4.636448040384877e-06,0.0,0.8043687732400966,0.0,0.9091032260405161,0.0,0.7529733848127469,0.0,0.9531829479089919,0.0,0.9401474616074154,0.0,0.07063657735652251,0.0,0.7006050119616327,0.0,0.9145281553697472,0.0,0.9962540932994318,0.0,0.41269223695627544,0.0,0.8568448953700321,0.0,0.9997934174004653,0.0,0.5036517505487086,0.0,0.013514948738413635,0.0,0.594322660538777,0.0,0.6979372522912517,0.0,0.863547518660102,0.0,0.172742285241261,0.0,0.9403322724008218,0.0,0.6592615081277977,0.0,0.4948525950326439,0.0,0.5935487656611218,0.0,0.926098124427662,0.0,0.03794043379653578,0.0,0.27875959404801687,0.0,0.26784518278296887,0.0,0.273431662627009,0.0,0.5925961766530963,0.0,0.7241395600059942,0.0,0.8681112328081886,0.0,0.24254371086864868,0.0,0.19182968757480467,0.0,0.903670337993975,0.0,0.8712921596549559,0.0,0.1264772742538578,0.0,0.390171079877887,0.0,0.05331733940786543,0.0,0.7534543686110595
CPI,300,3.1959242820739746,0.987259124795468,1.0,0.00014023117623005536,1.0,0.00010634259248754659,1.0,3.991715067707953e-07,1.0,1.06640295459704e-06,1.0,4.5259347006080706e-07,1.0,0.00019949870120191646,1.0,7.716848707580436e-06,1.0,7.067898827800447e-05,1.0,4.310313171173593e-09,1.0,0.00024609321433008,1.0,4.517766016964016e-10,1.0,7.923306634284036e-08,0.0,0.8990637470201961,0.0,0.6931372720179294,0.0,1.0,0.0,0.8645747692109962,0.0,0.6894925277777003,0.0,0.29699039827157836,0.0,0.4667229309353222,0.0,0.6332189696445647,0.0,0.25267956416354964,0.0,0.3772956056144102,0.0,1.0,0.0,0.49723884097611526,0.0,1.0,0.0,0.47193903579676705,0.0,1.0,0.0,1.0,0.0,0.1533272707000266,0.0,1.0,0.0,0.5972039407708276,0.0,0.02013479837152623,0.0,0.4158706009774455,0.0,0.5305935729606541,0.0,0.04530621492826227,0.0,0.922391380977244,0.0,1.0,0.0,1.0,0.0,0.260573450154996,0.0,0.08107235103019955,0.0,0.5834786640326315,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.2539267313906841,0.0,0.6524564508044617,0.0,0.9649584397938089,0.0,0.7882677255974415,0.0,1.0
CPI_sqrt,300,3.1415939331054688,0.987259124795468,1.0,0.27526778866172746,1.0,0.2937339218574797,1.0,0.2581986090592866,1.0,0.21132434561412694,1.0,0.3366794976537959,1.0,0.33838322071143945,1.0,0.200861350061727,1.0,0.23340964478965004,1.0,0.13012127831337256,1.0,0.1419400851153962,1.0,0.06736193869099256,1.0,0.058030271149604774,0.0,0.502088240056965,0.0,0.5000130054881573,0.0,0.5,0.0,0.49796781877494445,0.0,0.49969262420914135,0.0,0.4894794009101772,0.0,0.5002230325640226,0.0,0.5054183003393582,0.0,0.4986717909095527,0.0,0.4987319190224102,0.0,0.5,0.0,0.5000822413671692,0.0,0.5,0.0,0.4984775913376317,0.0,0.5,0.0,0.5,0.0,0.4988141400834577,0.0,0.5,0.0,0.4937261733350354,0.0,0.4942522806387195,0.0,0.5005809388574526,0.0,0.49683847910750784,0.0,0.49922097127936277,0.0,0.5013129955183496,0.0,0.5,0.0,0.5,0.0,0.49839215425800026,0.0,0.5006120753017542,0.0,0.5060204113564628,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5010562415448255,0.0,0.5056972012943308,0.0,0.5004069603386259,0.0,0.4999028056901261,0.0,0.5
CPI_n,300,3.1555299758911133,0.987259124795468,1.0,0.009879207443621895,1.0,0.0012503545032500462,1.0,0.0010682525135765292,1.0,0.00010396940812548417,1.0,0.044738096129644925,1.0,0.00994576418556109,1.0,0.0002877074697002427,1.0,0.002813540462214607,1.0,1.2445427259591061e-05,1.0,3.66827906410028e-05,1.0,5.980284254939569e-07,1.0,1.6451971036528801e-07,0.0,0.49957494956073784,0.0,0.500922820075048,0.0,0.5,0.0,0.5376638442912898,0.0,0.5006267147289588,0.0,0.4769369247738586,0.0,0.4862780493052017,0.0,0.5116383279875586,0.0,0.4997096006615695,0.0,0.498005644346115,0.0,0.5,0.0,0.49997731308745347,0.0,0.5,0.0,0.49700451041546767,0.0,0.5,0.0,0.5,0.0,0.5023173909438257,0.0,0.5,0.0,0.507066220257588,0.0,0.4320618930451694,0.0,0.5005290793412104,0.0,0.48730520170074876,0.0,0.48377311728415223,0.0,0.504546734743654,0.0,0.5,0.0,0.5,0.0,0.4887003134659339,0.0,0.4861382391779805,0.0,0.4668561951749227,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5041855202426223,0.0,0.5023834738356006,0.0,0.5069989920798853,0.0,0.49980106356118503,0.0,0.5
CPI_bt,300,3.3359196186065674,0.987259124795468,1.0,1.0813745640949197e-10,1.0,4.185981462521917e-07,1.0,3.1763819245630267e-07,1.0,2.7498869728900633e-19,1.0,3.586344760180429e-05,1.0,2.1481729281864862e-06,1.0,1.50313737062821e-16,1.0,1.2651941943834682e-09,1.0,1.4306565355031692e-14,1.0,9.155123451416014e-20,1.0,1.0172143280095282e-15,1.0,6.437706981192782e-26,0.0,0.5099036976512393,0.0,0.49357441522711404,0.0,0.5,0.0,0.5126730918302183,0.0,0.5095793073749662,0.0,0.5668225007528366,0.0,0.47858162432814944,0.0,0.5344122285977674,0.0,0.49280388728000024,0.0,0.4794448611650441,0.0,0.5,0.0,0.49880068862642213,0.0,0.5,0.0,0.514232488752148,0.0,0.5,0.0,0.5,0.0,0.4946779829097849,0.0,0.5,0.0,0.46307476807794096,0.0,0.4872793994977025,0.0,0.5016440223706213,0.0,0.4494824540266817,0.0,0.4842336422941299,0.0,0.5023071517743476,0.0,0.5,0.0,0.5,0.0,0.4988081946827578,0.0,0.48829093343279684,0.0,0.5590335020401903,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.48227885323180836,0.0,0.4774129554817684,0.0,0.5042478809958084,0.0,0.500125731570544,0.0,0.5
CPI_sqd,300,3.321812868118286,0.987259124795468,1.0,1.5049379762496012e-113,1.0,7.197672685202533e-53,1.0,1.4188374131248683e-113,1.0,2.594379199440905e-180,1.0,5.204874070952464e-101,1.0,1.0833375486031842e-64,1.0,1.0155141627614174e-38,1.0,7.671752630728924e-142,1.0,2.8900664828825882e-93,1.0,2.0260140625410063e-37,1.0,4.609412654780879e-37,1.0,9.058518744745999e-31,0.0,0.9997998296396889,0.0,0.0001488732350305878,0.0,0.5,0.0,0.8518951443852372,0.0,0.9233921612364572,0.0,9.69660976912984e-15,0.0,0.9990645069963224,0.0,2.847942241070176e-13,0.0,0.5660707831630203,0.0,0.36417574395099006,0.0,0.5,0.0,0.5244409415489732,0.0,0.5,0.0,0.4607326905553218,0.0,0.5,0.0,0.5,0.0,0.008874020703854837,0.0,0.5,0.0,6.035495088116014e-06,0.0,0.9314630247359844,0.0,0.7149504040456496,0.0,1.5825544562607616e-28,0.0,2.1229766115458884e-06,0.0,0.9356151102333075,0.0,0.5,0.0,0.5,0.0,0.003312744318180075,0.0,0.07548170605848827,0.0,0.9848421799387354,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.39176008902760556,0.0,0.5426350589515249,0.0,0.8015762984451844,0.0,0.5509564545274592,0.0,0.5
S-CPI,300,3.2437477111816406,0.987259124795468,1.0,0.0009863947821364184,1.0,6.794972501801357e-05,1.0,4.961812155226751e-05,1.0,2.2952291738118123e-05,1.0,0.005320092579609627,1.0,0.06122221671253512,1.0,7.270678878691095e-06,1.0,0.0004991074783666433,1.0,8.21749490942324e-06,1.0,0.000632493083892833,1.0,1.016561615953528e-08,1.0,1.86097867242049e-08,0.0,0.9159232668200041,0.0,0.6033251393187165,0.0,0.5,0.0,0.6249608257295695,0.0,0.6239077400197445,0.0,0.330736120119476,0.0,0.15005427043867486,0.0,0.734483904191371,0.0,0.4555852458624562,0.0,0.2121636596566036,0.0,0.5,0.0,0.4218692538706932,0.0,0.5,0.0,0.6215281759972943,0.0,0.5,0.0,0.5,0.0,0.4130257875170575,0.0,0.5,0.0,0.7698617241665047,0.0,0.046330420597368645,0.0,0.7778248388398504,0.0,0.05538864225014272,0.0,0.02118262271791316,0.0,0.36580678814996437,0.0,0.5,0.0,0.5,0.0,0.258765746925098,0.0,0.29907541199537013,0.0,0.8759429738110383,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.28725309579308456,0.0,0.76770315302367,0.0,0.9107511801676023,0.0,0.6516572838028946,0.0,0.5
S-CPI_sqrt,300,3.244154214859009,0.987259124795468,1.0,0.3410361343336641,1.0,0.2550013583444157,1.0,0.24998920005177921,1.0,0.16657309136653992,1.0,0.3239538825684121,1.0,0.3378940605983125,1.0,0.1856197653032411,1.0,0.25028774995828945,1.0,0.16946050694229375,1.0,0.20087682573689808,1.0,0.06033765860710517,1.0,0.03950610264404741,0.0,0.5039881089464033,0.0,0.5017241715907776,0.0,0.5,0.0,0.5017508553591817,0.0,0.49980437560379204,0.0,0.5037126936876347,0.0,0.49655969871701916,0.0,0.5037001595982438,0.0,0.49957604726488136,0.0,0.49859459756827335,0.0,0.5,0.0,0.5001655248575689,0.0,0.5,0.0,0.5036568360640374,0.0,0.5,0.0,0.5,0.0,0.5001998623633289,0.0,0.5,0.0,0.5089654583213574,0.0,0.4902444335822083,0.0,0.5003410854955341,0.0,0.4926299904148647,0.0,0.4978237130019408,0.0,0.49890271564147715,0.0,0.5,0.0,0.5,0.0,0.49897020163154066,0.0,0.4995776430352948,0.0,0.5048464007233742,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5003241851603852,0.0,0.504661623538123,0.0,0.5009148781051914,0.0,0.5000364740372403,0.0,0.5
S-CPI_n,300,3.2480130195617676,0.987259124795468,1.0,0.034019091176959865,1.0,0.0035564738820611174,1.0,0.008265099956455637,1.0,0.0005967931774440011,1.0,0.07930048691082586,1.0,0.08376557878688412,1.0,0.0005422710972564605,1.0,0.010072770725986993,1.0,0.0004471325582893455,1.0,0.008098052414881953,1.0,7.666637591414059e-06,1.0,7.805823214005493e-07,0.0,0.5370790877112352,0.0,0.5150961580797341,0.0,0.5,0.0,0.5018872957435213,0.0,0.5041858842435034,0.0,0.5139974518231906,0.0,0.4475169794397771,0.0,0.5391603979544923,0.0,0.49366237244509137,0.0,0.4983086989837316,0.0,0.5,0.0,0.4995227567616915,0.0,0.5,0.0,0.5226815559540783,0.0,0.5,0.0,0.5,0.0,0.5133454551509057,0.0,0.5,0.0,0.5430376509550845,0.0,0.42729914807872127,0.0,0.5025611345052595,0.0,0.4587313050831337,0.0,0.4817757874672973,0.0,0.5042994595549369,0.0,0.5,0.0,0.5,0.0,0.4968279971518436,0.0,0.49587348798256625,0.0,0.5322787455435957,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.49494129334278353,0.0,0.5268098401114861,0.0,0.508154422922784,0.0,0.5002413474385964,0.0,0.5
S-CPI_bt,300,3.4252078533172607,0.987259124795468,1.0,0.0006012248460904242,1.0,3.336788020182659e-08,1.0,3.3155128728761422e-12,1.0,1.5226431915928537e-09,1.0,6.983484474503802e-05,1.0,0.005777598640436916,1.0,8.991252350499476e-10,1.0,7.347118896634544e-07,1.0,3.948959103349082e-15,1.0,6.938278819139558e-06,1.0,2.9797994690993044e-20,1.0,4.369078032690344e-20,0.0,0.5285247951428672,0.0,0.5163887878236754,0.0,0.5,0.0,0.5196182692531741,0.0,0.4971727113547776,0.0,0.4978239072028611,0.0,0.46013385749932584,0.0,0.5204870635690568,0.0,0.4987025207832874,0.0,0.48417813704238677,0.0,0.5,0.0,0.500617601848431,0.0,0.5,0.0,0.511924168977351,0.0,0.5,0.0,0.5,0.0,0.48857352906197177,0.0,0.5,0.0,0.574402167386523,0.0,0.42682646145356096,0.0,0.5031078569059194,0.0,0.4437322632669427,0.0,0.4753230355098052,0.0,0.512822975285304,0.0,0.5,0.0,0.5,0.0,0.492161125185521,0.0,0.49635353573198615,0.0,0.5612609986912803,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.4926412902867659,0.0,0.5316049480262162,0.0,0.5077254247933052,0.0,0.49981507538927666,0.0,0.5
