method,n,tr_time,r2_test,tr_V0,pval0,tr_V1,pval1,tr_V2,pval2,tr_V3,pval3,tr_V4,pval4,tr_V5,pval5,tr_V6,pval6,tr_V7,pval7,tr_V8,pval8,tr_V9,pval9,tr_V10,pval10,tr_V11,pval11,tr_V12,pval12,tr_V13,pval13,tr_V14,pval14,tr_V15,pval15,tr_V16,pval16,tr_V17,pval17,tr_V18,pval18,tr_V19,pval19,tr_V20,pval20,tr_V21,pval21,tr_V22,pval22,tr_V23,pval23,tr_V24,pval24,tr_V25,pval25,tr_V26,pval26,tr_V27,pval27,tr_V28,pval28,tr_V29,pval29,tr_V30,pval30,tr_V31,pval31,tr_V32,pval32,tr_V33,pval33,tr_V34,pval34,tr_V35,pval35,tr_V36,pval36,tr_V37,pval37,tr_V38,pval38,tr_V39,pval39,tr_V40,pval40,tr_V41,pval41,tr_V42,pval42,tr_V43,pval43,tr_V44,pval44,tr_V45,pval45,tr_V46,pval46,tr_V47,pval47,tr_V48,pval48,tr_V49,pval49
LOCO-W,300,69.08093547821045,-0.1112080857913409,0.0,0.038038980250526544,0.0,0.1932209279219157,0.0,0.9569053119305263,0.0,0.8227132067336742,0.0,0.9998695010085934,0.0,0.46769066194480047,0.0,0.9513834770396219,0.0,0.002700865379999029,0.0,0.9999246793896622,0.0,1.1258309651207554e-07,0.0,0.15671885786095152,0.0,0.9999999180381788,0.0,0.11224068668461107,0.0,0.9999999968856896,0.0,1.920089251206125e-05,0.0,0.8361742309362181,0.0,0.4446600767071779,1.0,0.009887684375336603,0.0,0.4893412911406747,0.0,5.580090427503848e-07,0.0,0.00010954904080329175,0.0,0.9951247188152617,0.0,0.9982220734997358,0.0,0.9999999999741379,0.0,1.865210208507051e-10,0.0,0.04097311480744892,0.0,0.23622926750078332,0.0,0.020625648217029835,0.0,0.129010490981319,0.0,0.9999999995924653,0.0,1.3583576197295777e-05,0.0,0.9927134249000532,0.0,0.9833519920657154,0.0,0.9731910924579205,0.0,0.0003136099348839405,0.0,0.9998793556810197,0.0,0.9999996982921051,0.0,0.999623278722779,0.0,0.0002343459150097038,0.0,0.0001755826015502615,0.0,0.9996746880667421,0.0,0.007617720544351503,0.0,0.6150331346129553,0.0,0.9999999999958978,0.0,0.07928737112653506,0.0,0.21438892817756927,0.0,3.1149526630303015e-06,0.0,0.7246453265685258,0.0,0.9728543491791539,0.0,0.0029181867423178076
CPI,300,4.094785928726196,-0.1112080857913409,0.0,0.14393678209571326,0.0,0.9579827787423048,0.0,0.7045722401414655,0.0,0.19720177942851302,0.0,0.9948987744153905,0.0,0.3092399349434073,0.0,0.015079011327967616,0.0,0.3792749801142065,0.0,0.5611590256957697,0.0,0.9705428546474923,0.0,0.3351814275183206,0.0,0.6776860938633162,0.0,0.34581083391134504,0.0,0.8642892520764953,0.0,0.05606629664965473,0.0,0.7451798896442335,0.0,0.9924075391409196,1.0,0.13980898792566326,0.0,0.02005080983123283,0.0,0.23288191026827448,0.0,0.15568299778302974,0.0,0.9089025327194404,0.0,0.6308941541920774,0.0,0.4541194063101916,0.0,0.18011466318683395,0.0,0.5194551852702978,0.0,0.23369138547492274,0.0,0.6039379863186136,0.0,0.8182197049349951,0.0,0.9786886268567896,0.0,0.04749409384466952,0.0,0.9455274071826393,0.0,0.6484200295421412,0.0,0.26784807259863613,0.0,0.2009530699671565,0.0,0.7331751345699247,0.0,0.7008544748035285,0.0,0.41968472099442844,0.0,0.1783358714967333,0.0,0.13936086308379841,0.0,0.12312246581770742,0.0,0.18025520881967572,0.0,0.0467333282905713,0.0,0.6045716877084009,0.0,0.666193964161193,0.0,0.6764348685383076,0.0,0.6431140924951855,0.0,0.6646008255962073,0.0,0.5652960911137503,0.0,0.43533497719768527
CPI_sqrt,300,4.097038745880127,-0.1112080857913409,0.0,0.5102161428802008,0.0,0.510436460797781,0.0,0.5199696466019482,0.0,0.5022796230733002,0.0,0.5251977522096223,0.0,0.5034999946966054,0.0,0.45409418289606074,0.0,0.505891591067584,0.0,0.46779797937070755,0.0,0.49271338115332003,0.0,0.4927220860726354,0.0,0.49122308494573147,0.0,0.5020810455384856,0.0,0.5215554504005805,0.0,0.47036761270796645,0.0,0.49765233991052626,0.0,0.5527502709906789,1.0,0.35794197575839964,0.0,0.5040415452154778,0.0,0.5051661172945465,0.0,0.49784692112417955,0.0,0.5050460382803085,0.0,0.5122553197621398,0.0,0.4672287828723948,0.0,0.48478297114033514,0.0,0.5055714023488864,0.0,0.48149517407980263,0.0,0.5394551868024497,0.0,0.427775171268187,0.0,0.5036732646462403,0.0,0.43252201035996446,0.0,0.5350688861427029,0.0,0.5205626636075786,0.0,0.5036031123261134,0.0,0.4951200489059674,0.0,0.5089677985351209,0.0,0.4777364232841732,0.0,0.48492798862102526,0.0,0.49016414961367644,0.0,0.47118515068079336,0.0,0.3908403418162498,0.0,0.536584660986167,0.0,0.43005142977713007,0.0,0.49948964187955736,0.0,0.5195576626602718,0.0,0.48902455393948263,0.0,0.5040499316729942,0.0,0.5016899344242013,0.0,0.5247864411171532,0.0,0.4890194706445592
CPI_n,300,4.100015878677368,-0.1112080857913409,0.0,0.6974332934838858,0.0,0.2961129924159405,0.0,0.5641960797702639,0.0,0.48949565652948296,0.0,0.7204534410534631,0.0,0.4509152486579603,0.0,0.3043449440800139,0.0,0.5391659775655492,0.0,0.4282356693037423,0.0,0.5590466188281533,0.0,0.46343197084096993,0.0,0.2765165023961919,0.0,0.5169414669062923,0.0,0.5963762067143034,0.0,0.6073874039804624,0.0,0.4420828105213805,0.0,0.6974229989467096,1.0,0.28050500750154717,0.0,0.45523717263333535,0.0,0.45578458178518966,0.0,0.5198069887318624,0.0,0.5339459656930216,0.0,0.40903921246444774,0.0,0.3598994370073753,0.0,0.47301465354102806,0.0,0.49737521184327604,0.0,0.5856285551189642,0.0,0.5925922712271992,0.0,0.38621885428961394,0.0,0.43641253366545735,0.0,0.15107237222892117,0.0,0.6755798744426849,0.0,0.5329296295989545,0.0,0.33404709425561085,0.0,0.3417034308231892,0.0,0.6121513306609052,0.0,0.474313598728265,0.0,0.4971725141008186,0.0,0.47020651600595853,0.0,0.5383903639128207,0.0,0.09519978571940113,0.0,0.5345061910179095,0.0,0.24628565253270113,0.0,0.4580660287108692,0.0,0.610183545217146,0.0,0.38785223985531647,0.0,0.5678417328397836,0.0,0.4631159851288885,0.0,0.5610636932519728,0.0,0.4774472514346758
CPI_bt,300,4.268862009048462,-0.1112080857913409,0.0,0.5764547035220771,0.0,0.31839453993477146,0.0,0.579371136787968,0.0,0.47687788934391306,0.0,0.8280670426912737,0.0,0.5892248908309841,0.0,0.373119003905799,0.0,0.5309828809302436,0.0,0.2673683974593781,0.0,0.7808405127768284,0.0,0.36362291476148845,0.0,0.6696209218405742,0.0,0.6684481230760699,0.0,0.5719183551402528,0.0,0.43334774556579936,0.0,0.554331422832955,0.0,0.6751270719115527,1.0,0.8076303752552727,0.0,0.5037627191998855,0.0,0.5710376514950544,0.0,0.507246738465128,0.0,0.5743472405536654,0.0,0.5050672429779158,0.0,0.3390018693673052,0.0,0.34181200391882166,0.0,0.44611169892680425,0.0,0.382898087371355,0.0,0.7550548806853601,0.0,0.42105369333756004,0.0,0.5776130728550661,0.0,0.0007113469553180685,0.0,0.4880520596841079,0.0,0.47034613093328864,0.0,0.24286445516915112,0.0,0.32553583668648867,0.0,0.7001442547875036,0.0,0.2091717662931996,0.0,0.2901943623891994,0.0,0.3985148564893373,0.0,0.5386822538237391,0.0,0.22849367790211916,0.0,0.5562312700483394,0.0,0.017316716918584822,0.0,0.5759539865850299,0.0,0.692462602753918,0.0,0.5820858821892467,0.0,0.7492717761786436,0.0,0.6384300075944997,0.0,0.6701820609913184,0.0,0.5405720013315993
CPI_sqd,300,4.270068407058716,-0.1112080857913409,0.0,1.0,0.0,2.5141867916338128e-06,0.0,0.029835022078737658,0.0,2.044544410222711e-05,0.0,1.0,0.0,0.9999999999999986,0.0,0.0,0.0,2.5690309533807555e-05,0.0,6.226784732905737e-283,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0059043384172094e-55,0.0,1.0,0.0,0.0,0.0,0.9999999999982927,0.0,1.0,1.0,0.09727722435825664,0.0,2.0428074681942913e-294,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.9999985385088569,0.0,0.0,0.0,0.997349103173193,0.0,1.0,0.0,6.660570834419113e-57,0.0,1.0,0.0,2.5792461151671004e-223,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.760076646148389e-109,0.0,6.6681145104088706e-146,0.0,0.1472447419413634,0.0,1.2791615938011959e-203,0.0,1.2821401799294156e-25,0.0,4.199872896250919e-70,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.5050861087177105e-30,0.0,1.1413039865551225e-149,0.0,1.0,0.0,1.0,0.0,1.7592939838414577e-07,0.0,0.013629639928601507,0.0,0.0
S-CPI,300,4.514459848403931,-0.1112080857913409,0.0,0.8733319888899695,0.0,0.694107060608911,0.0,0.8131879987988675,0.0,0.32450184566013485,0.0,0.9965179577390643,0.0,0.7097065391994818,0.0,0.09895321982632638,0.0,0.5037585744281037,0.0,0.05645853416578819,0.0,0.6030671881479164,0.0,0.581529299656403,0.0,0.6502316773783664,0.0,0.7866635860959679,0.0,0.9190310471055806,0.0,0.4869731966651054,0.0,0.1376373916772179,0.0,0.9988646811117732,1.0,0.6258662192020084,0.0,0.4096900248361714,0.0,0.7975594807419837,0.0,0.3520999160839312,0.0,0.8888215861649198,0.0,0.562053146055418,0.0,0.11126475574965972,0.0,0.23279756587255646,0.0,0.6940206266922126,0.0,0.41515009848065665,0.0,0.7946835363532726,0.0,0.09739876336291364,0.0,0.5812740051536877,0.0,0.24453103909778628,0.0,0.8815374055239633,0.0,0.5910472248184084,0.0,0.02886110571254991,0.0,0.0906700869346142,0.0,0.8098155828526024,0.0,0.33022692263862896,0.0,0.1541978918581675,0.0,0.04581506641187973,0.0,0.5197733505858038,0.0,0.03695681764301374,0.0,0.3911756956672935,0.0,0.012940727668399687,0.0,0.7969883436977374,0.0,0.7902937686135603,0.0,0.49998861530244465,0.0,0.8742159622483523,0.0,0.5632732044064788,0.0,0.7521804062774722,0.0,0.40498388848846295
S-CPI_sqrt,300,4.5153892040252686,-0.1112080857913409,0.0,0.5859661872591774,0.0,0.522774755717472,0.0,0.5249346214449311,0.0,0.49491259841141494,0.0,0.56566305965859,0.0,0.5174143668599168,0.0,0.4505038174851347,0.0,0.5039633599120529,0.0,0.46245414446100247,0.0,0.5178585620465744,0.0,0.5045984839275981,0.0,0.4849857996517933,0.0,0.5073073217818547,0.0,0.5236129730798937,0.0,0.4942243479605536,0.0,0.4902382584090956,0.0,0.5449511928852586,1.0,0.6389947154095439,0.0,0.492370761306629,0.0,0.5041439126876774,0.0,0.48927044253952146,0.0,0.5109864888339176,0.0,0.5054436331474983,0.0,0.45564826380599843,0.0,0.4659009630668228,0.0,0.510696256105679,0.0,0.5012879384565422,0.0,0.5287220022848494,0.0,0.4639324324874564,0.0,0.5085153459933103,0.0,0.44314402340461173,0.0,0.5350546434110898,0.0,0.49136696237462496,0.0,0.43640478202093447,0.0,0.4657041237221421,0.0,0.5163775412515381,0.0,0.48912265991347464,0.0,0.48401454437198516,0.0,0.4711866784268467,0.0,0.48922488249710233,0.0,0.3783840084180676,0.0,0.5156960838479645,0.0,0.4027448497109124,0.0,0.5078602166081211,0.0,0.5648562283001405,0.0,0.5059969289586793,0.0,0.5213318405670554,0.0,0.4990122226665626,0.0,0.5455798162016484,0.0,0.49537616147571095
S-CPI_n,300,4.508464336395264,-0.1112080857913409,0.0,0.7527579806751348,0.0,0.6787693011066186,0.0,0.6643977478126748,0.0,0.45311172359372626,0.0,0.8950381792435513,0.0,0.5595842833012602,0.0,0.3047500132999239,0.0,0.5056855874426922,0.0,0.3136058084282076,0.0,0.6116727215513894,0.0,0.6645710042609712,0.0,0.5685096917052229,0.0,0.5339678040620811,0.0,0.6413062850508111,0.0,0.41667834587550356,0.0,0.4249648251548145,0.0,0.8288713968872028,1.0,0.6755857787400685,0.0,0.5266977552230285,0.0,0.4632970547973534,0.0,0.4747754975910556,0.0,0.5563491971515891,0.0,0.4541350267048765,0.0,0.3208271384641017,0.0,0.3451444514991129,0.0,0.5420870226820582,0.0,0.499255786547666,0.0,0.6642220009769926,0.0,0.37362347555729025,0.0,0.5081905231053021,0.0,0.28130659267821667,0.0,0.6958733958494568,0.0,0.45630467180957757,0.0,0.09559015262613624,0.0,0.297244121874111,0.0,0.5655539497252355,0.0,0.4455422767663572,0.0,0.4341908872243157,0.0,0.31352477177809535,0.0,0.594995055903033,0.0,0.13451694162565675,0.0,0.48530021959903985,0.0,0.08049674255860406,0.0,0.6865320915415345,0.0,0.6537422280206504,0.0,0.5161613657430406,0.0,0.6656607758174907,0.0,0.4950410402052206,0.0,0.5919496003597531,0.0,0.5160071751966853
S-CPI_bt,300,4.6878557205200195,-0.1112080857913409,0.0,0.8851219674521223,0.0,0.6454235837116,0.0,0.7743377550195736,0.0,0.42256674707884634,0.0,0.9306725431520873,0.0,0.8063567965098285,0.0,0.1281847055764782,0.0,0.5220186695204534,0.0,0.21305905573964123,0.0,0.5652072850116593,0.0,0.7578543294729949,0.0,0.6798457104667215,0.0,0.5663981391638561,0.0,0.6526387154508182,0.0,0.4465414747747397,0.0,0.49940439283341004,0.0,0.9192003663827744,1.0,0.9999826991820031,0.0,0.5907219702941665,0.0,0.41745520541376685,0.0,0.4581662873084235,0.0,0.5803450787837231,0.0,0.4598600967805524,0.0,0.05943354232754326,0.0,0.18997089435722553,0.0,0.5922144032527179,0.0,0.4206084774328811,0.0,0.7679980230812822,0.0,0.07133735725786289,0.0,0.5724926855856187,0.0,0.14536959754252,0.0,0.8888654265200214,0.0,0.5415148899217487,0.0,0.012152281877000227,0.0,0.19113887001965874,0.0,0.5937690792453163,0.0,0.34342785939554826,0.0,0.34430387898115944,0.0,0.24512833808476386,0.0,0.48443107508225314,0.0,0.0023266307473689372,0.0,0.5241873825015632,0.0,0.001080022525352619,0.0,0.7246892286200391,0.0,0.9481158455779899,0.0,0.4780529377088082,0.0,0.7771864371451953,0.0,0.5282560668917681,0.0,0.7234668390766696,0.0,0.2681834253513673
