method,n,tr_time,r2_test,tr_V0,pval0,tr_V1,pval1,tr_V2,pval2,tr_V3,pval3,tr_V4,pval4,tr_V5,pval5,tr_V6,pval6,tr_V7,pval7,tr_V8,pval8,tr_V9,pval9,tr_V10,pval10,tr_V11,pval11,tr_V12,pval12,tr_V13,pval13,tr_V14,pval14,tr_V15,pval15,tr_V16,pval16,tr_V17,pval17,tr_V18,pval18,tr_V19,pval19,tr_V20,pval20,tr_V21,pval21,tr_V22,pval22,tr_V23,pval23,tr_V24,pval24,tr_V25,pval25,tr_V26,pval26,tr_V27,pval27,tr_V28,pval28,tr_V29,pval29,tr_V30,pval30,tr_V31,pval31,tr_V32,pval32,tr_V33,pval33,tr_V34,pval34,tr_V35,pval35,tr_V36,pval36,tr_V37,pval37,tr_V38,pval38,tr_V39,pval39,tr_V40,pval40,tr_V41,pval41,tr_V42,pval42,tr_V43,pval43,tr_V44,pval44,tr_V45,pval45,tr_V46,pval46,tr_V47,pval47,tr_V48,pval48,tr_V49,pval49
LOCO-W,300,14.677026510238647,-0.5037496872251626,0.0,0.3466421895978107,0.0,0.1767825592474621,0.0,0.004448286509716515,0.0,0.12422936684899688,0.0,0.03265182210844442,0.0,0.814841494490654,0.0,0.008512269866410072,0.0,0.015593074881873226,0.0,0.03770569511657762,0.0,0.1838751606546305,0.0,0.18239559935160232,0.0,0.0021964526665171347,0.0,0.008379925338336758,0.0,0.5635208960020065,0.0,0.06979272331567044,0.0,0.02451050957858525,0.0,0.0024380521854849846,0.0,0.05033987413624419,0.0,0.3619145699145936,0.0,0.010386217553142396,0.0,0.0003694566144931688,0.0,0.021530623774418833,0.0,0.007915806507454382,0.0,0.10214387119103141,0.0,0.004258763564462531,0.0,0.02090898298709787,0.0,0.03992693111278911,0.0,0.8142802236413458,0.0,0.015147620684513918,0.0,0.006631336536506716,0.0,0.03395170148150439,1.0,0.11776909507290989,0.0,0.7988769549237855,0.0,0.16824252958277564,0.0,0.10214516933281714,0.0,0.2436695205289453,0.0,0.013133958703386739,0.0,0.07834471165782486,0.0,0.03758234091223012,0.0,0.02326172019722894,0.0,0.004060536227586287,0.0,0.013468980942741848,0.0,0.6665100065915088,0.0,0.01330568898795026,0.0,0.032332223195702725,0.0,0.39769122179949,0.0,0.1170479941834458,0.0,0.17170680811025996,0.0,0.004171526105808732,0.0,0.19908862909757552
CPI,300,3.7440645694732666,-0.5037496872251626,0.0,0.05225525099902347,0.0,0.9863534145373696,0.0,0.6479811870295611,0.0,0.4627805005513468,0.0,0.20713062381947606,0.0,0.34707084266137955,0.0,0.2941727161113208,0.0,0.29238720525428763,0.0,0.4492697303085321,0.0,0.6516930542598312,0.0,0.8121223393306194,0.0,0.4721081742044995,0.0,0.40427022991942413,0.0,0.9674031702026367,0.0,0.015996168752340962,0.0,0.42793279816654606,0.0,0.06361061759745235,0.0,0.6062740356375216,0.0,0.12740146094164478,0.0,0.5403433728463194,0.0,0.7605925653808625,0.0,0.08524721245070088,0.0,0.7510004805863275,0.0,0.6458443602639676,0.0,0.7140422760035103,0.0,0.6794398214455931,0.0,0.1440702988504866,0.0,0.6083597138075009,0.0,0.5484768018754973,0.0,0.06376343552666006,0.0,0.11336119313907506,1.0,0.03624965871587476,0.0,0.43604651453009524,0.0,0.5542386454426265,0.0,0.02284539408136514,0.0,0.9039161297138671,0.0,0.7271007514821731,0.0,0.7838498890736104,0.0,0.8110221661125532,0.0,0.7725489311101414,0.0,0.8179687090181504,0.0,0.04839969283204767,0.0,0.6798176948163175,0.0,0.9263872646887111,0.0,0.1697149570161014,0.0,0.7644737492889706,0.0,0.299564737774879,0.0,0.48578470592976186,0.0,0.7978098821755202,0.0,0.7087238598295968
CPI_sqrt,300,3.7247393131256104,-0.5037496872251626,0.0,0.42800988390430034,0.0,0.5600395661025702,0.0,0.4866859620725226,0.0,0.4915561578065673,0.0,0.49778476028583574,0.0,0.45099141784249563,0.0,0.5029291293006163,0.0,0.48632410258433945,0.0,0.4553672431707575,0.0,0.45765416204034554,0.0,0.527012800703367,0.0,0.5161807948880195,0.0,0.5102731677270487,0.0,0.5755397736537928,0.0,0.3769993565054499,0.0,0.5632427195150368,0.0,0.4793042010298662,0.0,0.5223457804813559,0.0,0.5435705083274998,0.0,0.5169855113326671,0.0,0.49573590352775504,0.0,0.3602383145733613,0.0,0.4674370626603282,0.0,0.5895552645848612,0.0,0.5369328769081073,0.0,0.5776924543517099,0.0,0.39754724592176294,0.0,0.4824785933829654,0.0,0.457419540612114,0.0,0.4223519672391265,0.0,0.49851299530284476,1.0,0.5397690188161145,0.0,0.5982768758300145,0.0,0.575658314819389,0.0,0.4571483743306423,0.0,0.5608999935166,0.0,0.5164229228477416,0.0,0.5469629829476889,0.0,0.5169980169270054,0.0,0.5319688091115433,0.0,0.4977685107126422,0.0,0.40963707518679343,0.0,0.4951034945114247,0.0,0.5149407144240733,0.0,0.45396159412712866,0.0,0.5102619582546772,0.0,0.5972521125657195,0.0,0.6184974729364563,0.0,0.561692929228852,0.0,0.48498128900884174
CPI_n,300,3.720472812652588,-0.5037496872251626,0.0,0.5264744801299054,0.0,0.7687691465393431,0.0,0.7363248269717204,0.0,0.49026800448239605,0.0,0.21724108429304723,0.0,0.5953472276674858,0.0,0.5933325462292436,0.0,0.0687339713453372,0.0,0.22811497845899698,0.0,0.7893706623138714,0.0,0.5243652552546806,0.0,0.4053216314421099,0.0,0.7253051012064153,0.0,0.644017041694252,0.0,0.10848438245545777,0.0,0.5851512135101862,0.0,0.18018117380947118,0.0,0.5098282545018864,0.0,0.1619389624301259,0.0,0.6568052892430103,0.0,0.855570515406153,0.0,0.10638070495296814,0.0,0.5042954356980395,0.0,0.7477637053498889,0.0,0.24566347450395776,0.0,0.6914090486319452,0.0,0.1973897625499148,0.0,0.3503744573846602,0.0,0.4332259469623823,0.0,0.5908357388602676,0.0,0.42763810783866546,1.0,0.48846550106256753,0.0,0.19328316978086274,0.0,0.5191997329923338,0.0,0.19291339604076385,0.0,0.6718170934423442,0.0,0.5222327686917089,0.0,0.7202937783448807,0.0,0.5576802026925788,0.0,0.6526820096634609,0.0,0.7214292888986216,0.0,0.37952470150798223,0.0,0.6992681541698144,0.0,0.7647828994202798,0.0,0.12056937628367531,0.0,0.4834532767342897,0.0,0.5794127402874667,0.0,0.5131838604202403,0.0,0.28835575533961777,0.0,0.6131415689564712
CPI_bt,300,3.9065492153167725,-0.5037496872251626,0.0,0.37494405641211853,0.0,0.9984685654703038,0.0,0.4286835308616267,0.0,0.2090067568821538,0.0,0.03178356161201372,0.0,0.295022636774547,0.0,0.09879011092896045,0.0,0.911924040406068,0.0,0.33104509551642236,0.0,0.09585106367533347,0.0,0.4373592852508176,0.0,0.7393069811062789,0.0,0.789470527518633,0.0,0.9994925357323624,0.0,0.16935534102419975,0.0,0.6213444923636533,0.0,0.09474143295757587,0.0,0.870479605801102,0.0,0.06818195147599056,0.0,0.7754871185725526,0.0,0.9808798816250274,0.0,0.0016452381303943763,0.0,0.5245531452519296,0.0,0.8325145405834935,0.0,0.6679050619547172,0.0,0.9817777376623278,0.0,0.005775741887122348,0.0,0.1794399546575709,0.0,0.39659034377991836,0.0,0.0010007537216799964,0.0,0.09452995998337715,1.0,0.07963321308899945,0.0,0.7087208081991427,0.0,0.11592842876529186,0.0,0.0021555541770390003,0.0,0.9183670944245474,0.0,0.6906129699000904,0.0,0.932031526683564,0.0,0.6325609791324805,0.0,0.46368776915527365,0.0,0.9881191405364325,0.0,0.02478658140111447,0.0,0.4111467561399348,0.0,0.9982903462099346,0.0,4.3008975670747704e-05,0.0,0.9927408695509834,0.0,0.3403886557091338,0.0,0.8712342506902616,0.0,0.16682961824726333,0.0,0.890055376396186
CPI_sqd,300,3.906871795654297,-0.5037496872251626,0.0,0.0,0.0,1.0,0.0,9.064111757400837e-15,0.0,2.531220161507111e-21,0.0,6.221010432308265e-213,0.0,1.0,0.0,1.0,0.0,0.08947623033812807,0.0,2.4270567012787283e-118,0.0,1.0981286472314443e-113,0.0,0.9999999999999999,0.0,3.2473571198948448e-205,0.0,1.7691360436447865e-32,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.1670135643648085e-56,0.0,1.4771098675176667e-58,0.0,0.0,0.0,1.0,0.0,8.444473352762044e-48,0.0,2.361611553129671e-28,0.0,1.0,0.0,6.964849616462273e-07,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.8223206475329756e-60,0.0,0.0,0.0,0.0,0.0,0.060231086039035465,1.0,0.9807038637164415,0.0,1.0,0.0,1.122247129459353e-62,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3.606680199662064e-64,0.0,0.29511507751792143,0.0,1.0,0.0,0.0,0.0,2.5837787401592137e-19,0.0,1.0,0.0,1.0,0.0,7.866773808888948e-77,0.0,1.0
S-CPI,300,3.888868570327759,-0.5037496872251626,0.0,0.4356439182269133,0.0,0.9719794845840973,0.0,0.6321695158920604,0.0,0.6106799533974334,0.0,0.333243231265838,0.0,0.7638279558342215,0.0,0.8579131930638559,0.0,0.7526329995311482,0.0,0.4006379789693445,0.0,0.48609999634367546,0.0,0.4847017835148939,0.0,0.2946292491546793,0.0,0.5188729777729126,0.0,0.984589995608963,0.0,0.04928490884861894,0.0,0.9270296749132395,0.0,0.14076874864203753,0.0,0.8430387618548936,0.0,0.13526673350442397,0.0,0.640300690296602,0.0,0.8367216733349998,0.0,0.055853086517975895,0.0,0.5874725507152637,0.0,0.8802481874126313,0.0,0.8315908132604977,0.0,0.9898842321103005,0.0,0.10222155517499792,0.0,0.5849970049933684,0.0,0.3411931609110467,0.0,0.17566345563280272,0.0,0.4253967804268399,1.0,0.7531045195091058,0.0,0.8140336457058907,0.0,0.6385488238571357,0.0,0.11204706701780265,0.0,0.9397819673337563,0.0,0.9459464546494126,0.0,0.955210632273421,0.0,0.8377361408123336,0.0,0.930099265331371,0.0,0.9467437301124352,0.0,0.21575205693328842,0.0,0.6524197094856322,0.0,0.9724820646064694,0.0,0.1752995938131321,0.0,0.8765834337413207,0.0,0.7083404506638958,0.0,0.922933450106636,0.0,0.5907840376335105,0.0,0.7683256678511183
S-CPI_sqrt,300,3.9031496047973633,-0.5037496872251626,0.0,0.45741940634007694,0.0,0.6361294691722408,0.0,0.5019238490529906,0.0,0.5347488849142883,0.0,0.4343775522167902,0.0,0.5462366530350388,0.0,0.5507075466363145,0.0,0.5311000037177883,0.0,0.4890394799061521,0.0,0.47532577245168195,0.0,0.4918236293653657,0.0,0.5011765470954076,0.0,0.5292928638546147,0.0,0.640196423505355,0.0,0.3895181294323036,0.0,0.5776879214883107,0.0,0.41536418660211727,0.0,0.5487172831122427,0.0,0.44158593464281554,0.0,0.5436878773317465,0.0,0.6025280739560059,0.0,0.4222817580674883,0.0,0.5446950086447799,0.0,0.5997448424807038,0.0,0.5911516714846228,0.0,0.6480571845656623,0.0,0.3758838858032009,0.0,0.4995804138851383,0.0,0.4820617944506629,0.0,0.39987824612649125,0.0,0.5006836239604955,1.0,0.5306627210592846,0.0,0.5468777908911264,0.0,0.5247452244731998,0.0,0.3760914809964515,0.0,0.6737164849066445,0.0,0.5727544110824871,0.0,0.6772563701843778,0.0,0.5429284064485658,0.0,0.5820410468069195,0.0,0.6057449951583671,0.0,0.42912943881589544,0.0,0.6006103328774459,0.0,0.5893862170919468,0.0,0.387129539451865,0.0,0.5961600265377573,0.0,0.5401785549049424,0.0,0.6253392397808187,0.0,0.44252895529691005,0.0,0.5748709667161099
S-CPI_n,300,3.8915278911590576,-0.5037496872251626,0.0,0.4191718957498051,0.0,0.8178179768147367,0.0,0.6000401425796276,0.0,0.5907130582084565,0.0,0.37719455645214817,0.0,0.49888259886142783,0.0,0.6530141312358637,0.0,0.7938039061732891,0.0,0.36509053004591896,0.0,0.3588638469459068,0.0,0.554039610117738,0.0,0.3780427980753301,0.0,0.6732615294449246,0.0,0.840876305677832,0.0,0.05697952499560213,0.0,0.8094009153180937,0.0,0.29657522383488977,0.0,0.6322137928534353,0.0,0.18470792017329285,0.0,0.4622334655442739,0.0,0.7754089053037176,0.0,0.1871297430239735,0.0,0.5855685338438169,0.0,0.7352607571788887,0.0,0.6078794987958639,0.0,0.870096748708588,0.0,0.0914847771608095,0.0,0.47567947080309875,0.0,0.5742008930796393,0.0,0.22329727623745438,0.0,0.42573155932650697,1.0,0.6560876398086917,0.0,0.7490591992722362,0.0,0.5992801692565433,0.0,0.3294169530817205,0.0,0.8985438510126089,0.0,0.6037920669675182,0.0,0.9178884220690731,0.0,0.6142995374161396,0.0,0.8421498869220645,0.0,0.8125494878444126,0.0,0.2884474000399798,0.0,0.7233654666330468,0.0,0.9089667708849787,0.0,0.3632169781654183,0.0,0.8621080954104912,0.0,0.6672625856795247,0.0,0.9584105663432795,0.0,0.3653697707450376,0.0,0.48868996839781564
S-CPI_bt,300,4.078847885131836,-0.5037496872251626,0.0,0.3200043723058531,0.0,0.9999209619013373,0.0,0.6803771207813034,0.0,0.8464840933965163,0.0,0.021000464589575194,0.0,0.8108024788562929,0.0,0.456048510652357,0.0,0.9676156634088502,0.0,0.27042989324039957,0.0,0.31958132961674546,0.0,0.3338588298966759,0.0,0.3593855513951845,0.0,0.9834022728791598,0.0,0.9999996838650271,0.0,3.245374321273175e-05,0.0,0.9968868937415334,0.0,0.0334897351122873,0.0,0.9232768272393199,0.0,0.03711012239273453,0.0,0.6481667070314294,0.0,0.9975482143350826,0.0,0.008164731232518482,0.0,0.7451708452922741,0.0,0.9213570744804411,0.0,0.9971574249332261,0.0,0.9998441259856767,0.0,4.921175144562915e-07,0.0,0.5611900735524007,0.0,0.28099324860267927,0.0,0.06449289615385388,0.0,0.9218006062926168,1.0,0.3910238515870047,0.0,0.999954032483482,0.0,0.6810616396897226,0.0,0.005361442742603735,0.0,0.9999450987132414,0.0,0.9887206256834946,0.0,0.99999970037688,0.0,0.9340273513356807,0.0,0.9858788258870411,0.0,0.984255704557023,0.0,9.17117259164895e-05,0.0,0.9996986621106728,0.0,0.9599024724623383,0.0,1.2765660067040482e-06,0.0,0.968109083579801,0.0,0.9318598813322985,0.0,0.9999789386952646,0.0,0.623187057910011,0.0,0.9693022617834648
