method,n,tr_time,r2_test,tr_V0,pval0,tr_V1,pval1,tr_V2,pval2,tr_V3,pval3,tr_V4,pval4,tr_V5,pval5,tr_V6,pval6,tr_V7,pval7,tr_V8,pval8,tr_V9,pval9,tr_V10,pval10,tr_V11,pval11,tr_V12,pval12,tr_V13,pval13,tr_V14,pval14,tr_V15,pval15,tr_V16,pval16,tr_V17,pval17,tr_V18,pval18,tr_V19,pval19,tr_V20,pval20,tr_V21,pval21,tr_V22,pval22,tr_V23,pval23,tr_V24,pval24,tr_V25,pval25,tr_V26,pval26,tr_V27,pval27,tr_V28,pval28,tr_V29,pval29,tr_V30,pval30,tr_V31,pval31,tr_V32,pval32,tr_V33,pval33,tr_V34,pval34,tr_V35,pval35,tr_V36,pval36,tr_V37,pval37,tr_V38,pval38,tr_V39,pval39,tr_V40,pval40,tr_V41,pval41,tr_V42,pval42,tr_V43,pval43,tr_V44,pval44,tr_V45,pval45,tr_V46,pval46,tr_V47,pval47,tr_V48,pval48,tr_V49,pval49
LOCO-W,300,137.36461472511292,0.08825272231697057,0.0,0.2385487517604099,0.0,0.9572039509240957,0.0,0.03052329658306352,0.0,0.48163252291871794,0.0,0.005925118128379592,0.0,0.19231865170456652,0.0,0.5106647012475793,0.0,0.15737851856202412,0.0,0.9997194429140326,1.0,0.006991994177480754,0.0,0.4208059382216187,0.0,0.9981457192561293,0.0,0.4297250136972701,0.0,0.35937606272897704,0.0,0.0016180232930331773,0.0,0.9993861647170803,0.0,0.3070274578237604,0.0,0.014219587684534574,0.0,0.03229864292604512,0.0,0.036812820439801386,0.0,0.06530034663550666,0.0,0.033047816980842915,0.0,0.8114850544424372,0.0,0.8071717098467737,0.0,0.7908605832239578,0.0,0.11140051917760052,0.0,0.02492702594439855,0.0,0.08605018795618502,0.0,0.06380384650376891,0.0,0.3583075744460854,0.0,0.6446303880182952,0.0,0.4354987594552404,0.0,0.04212111346496383,0.0,0.22454378292722332,0.0,0.0067001401811498384,0.0,0.0005564321543422013,0.0,0.15039882794913217,0.0,0.8940904453214443,0.0,0.21894550247020983,0.0,0.5368704436798661,0.0,0.04784344317654543,0.0,0.26839870083342365,0.0,0.33122543759031176,0.0,0.23785430179630318,0.0,0.6542436686012547,0.0,0.9836947655355502,0.0,0.006071741574345202,0.0,0.19061882701955435,0.0,0.4646870969902064,0.0,0.4110481887450007
CPI,300,6.397528648376465,0.08825272231697057,0.0,0.3857726688117243,0.0,0.06513209524475429,0.0,0.12680527641737027,0.0,0.5235845614399943,0.0,0.362024366831313,0.0,0.17080025495881024,0.0,0.9542515226293036,0.0,0.2221945145075614,0.0,0.1402475168824513,1.0,0.00042151066681407487,0.0,0.113257650595189,0.0,0.6389543445142154,0.0,0.5563498416103466,0.0,0.32063908125019414,0.0,0.7634351196469618,0.0,0.15230124203797152,0.0,0.3723063601312011,0.0,0.4000178383764381,0.0,0.02496376461941749,0.0,0.9874641961307551,0.0,0.4979649422733891,0.0,0.6941003929951961,0.0,0.8103758431786947,0.0,0.27128086440079324,0.0,0.6369805656294327,0.0,0.6380795676977703,0.0,0.04775711951743222,0.0,0.7751465635530289,0.0,0.21507053762245354,0.0,0.08064732197176877,0.0,0.5020081655196483,0.0,0.6023538601812581,0.0,0.4725961404068102,0.0,0.4521574374523356,0.0,0.4174865553743864,0.0,0.28779004628640215,0.0,0.0074626453524321784,0.0,0.8458369639368332,0.0,0.5807954738267154,0.0,0.9468913587314504,0.0,0.9562562427950089,0.0,0.4431450747406505,0.0,0.6589412189921167,0.0,0.546099455339891,0.0,0.46724261261034733,0.0,0.9151847284336082,0.0,0.26882269905166545,0.0,0.16742587190603053,0.0,0.3056105287015323,0.0,0.2034099750523718
CPI_sqrt,300,6.399949789047241,0.08825272231697057,0.0,0.4781752738216962,0.0,0.48617184391903484,0.0,0.4711720494018046,0.0,0.497786966822607,0.0,0.5095797392834893,0.0,0.49872198721689953,0.0,0.5164410200847577,0.0,0.49957734242841656,0.0,0.5028276212725207,1.0,0.11994291689159164,0.0,0.4799280076737261,0.0,0.5029865294037721,0.0,0.5047050324584832,0.0,0.503997063197614,0.0,0.50568470041307,0.0,0.4960495723895169,0.0,0.5012741869415044,0.0,0.49594597896934384,0.0,0.4936303029702953,0.0,0.5182452788200718,0.0,0.5118718234891771,0.0,0.5068814813797928,0.0,0.5047944530912737,0.0,0.4933124993012112,0.0,0.500761603951484,0.0,0.5033454269423469,0.0,0.4943891352691373,0.0,0.48839436606414055,0.0,0.504365244518667,0.0,0.48903775305416375,0.0,0.5050535492669697,0.0,0.4999499318550985,0.0,0.49952936843606727,0.0,0.49351335578144945,0.0,0.49354372171064315,0.0,0.48719508293743635,0.0,0.4967400531262294,0.0,0.5076046666917944,0.0,0.50779968544639,0.0,0.49234876233379243,0.0,0.5054753123910101,0.0,0.49510420343889744,0.0,0.49336144719193553,0.0,0.5002479807254988,0.0,0.4808259102526107,0.0,0.5055784396467271,0.0,0.5041930717792699,0.0,0.49067860978945227,0.0,0.4769375603484385,0.0,0.4776363604243643
CPI_n,300,6.386605262756348,0.08825272231697057,0.0,0.5457585942503699,0.0,0.38144777649646144,0.0,0.5167085430673194,0.0,0.4628593191564277,0.0,0.46084410785091023,0.0,0.42904763354511916,0.0,0.5195523971175168,0.0,0.4675653422882402,0.0,0.5458303685189141,1.0,0.0032165389070945172,0.0,0.4974180228751322,0.0,0.4497103908915959,0.0,0.4532813734825199,0.0,0.45266823532478134,0.0,0.49669824118286343,0.0,0.4400421333312938,0.0,0.523719651409042,0.0,0.49643796264177076,0.0,0.5175016393547323,0.0,0.486751181992547,0.0,0.4812835810651314,0.0,0.5584408089770416,0.0,0.5236727362269046,0.0,0.4388691921003219,0.0,0.5009490035683735,0.0,0.5233581194022794,0.0,0.39541060451404253,0.0,0.41151990921688875,0.0,0.49937863551100026,0.0,0.4514907737204146,0.0,0.6259900457014047,0.0,0.5034696990788705,0.0,0.44188359402974936,0.0,0.494838544824762,0.0,0.4767930220719739,0.0,0.39657223324456303,0.0,0.38783603370867237,0.0,0.5886456514540976,0.0,0.5751537114833764,0.0,0.45176429364704196,0.0,0.5222598253277614,0.0,0.45920806362559496,0.0,0.4819672475195956,0.0,0.387404292535706,0.0,0.38319152605452167,0.0,0.5227533602079805,0.0,0.43656724632335536,0.0,0.4894322252331437,0.0,0.350352527577258,0.0,0.45250209087174753
CPI_bt,300,6.567989826202393,0.08825272231697057,0.0,0.83905814352634,0.0,0.44823628444819685,0.0,0.5968277468629203,0.0,0.5258421924537418,0.0,0.4674380730369406,0.0,0.4698556366005212,0.0,0.6057267987228828,0.0,0.6278121296011796,0.0,0.4651802239370712,1.0,3.023621100944345e-20,0.0,0.32210768971857523,0.0,0.45765446997648407,0.0,0.5331180620540454,0.0,0.5294687670301654,0.0,0.4797187400760567,0.0,0.49468685473841345,0.0,0.5102726782401689,0.0,0.43231150897401543,0.0,0.5000878316473787,0.0,0.5040212491629674,0.0,0.4956321638067404,0.0,0.6690337789685995,0.0,0.43908582025757936,0.0,0.44109762616745596,0.0,0.4865575100600933,0.0,0.5479172970038623,0.0,0.4028978726738628,0.0,0.5399803156812786,0.0,0.4531167025128849,0.0,0.4833952019570868,0.0,0.4969559697127022,0.0,0.5363920752484176,0.0,0.5372746330835992,0.0,0.4856243756135614,0.0,0.5160431884422463,0.0,0.33338669274810384,0.0,0.47677329058576057,0.0,0.5536711519282398,0.0,0.4997146742982574,0.0,0.5362161227772694,0.0,0.49212704111610744,0.0,0.4262520729388623,0.0,0.532527456245907,0.0,0.37304564628842596,0.0,0.3942108011455218,0.0,0.4701709823992772,0.0,0.5029200540805131,0.0,0.4716989973460488,0.0,0.33427064223684033,0.0,0.3909778704264829
CPI_sqd,300,6.579811096191406,0.08825272231697057,0.0,0.0006183956407391683,0.0,4.5048777395357625e-58,0.0,0.7774595739672774,0.0,0.9969315214396105,0.0,6.841463700304924e-33,0.0,2.4665589290873997e-62,0.0,1.0,0.0,3.857857556886378e-28,0.0,7.680599071478703e-06,1.0,0.0,0.0,0.41449769687794236,0.0,1.0,0.0,3.582352493974341e-41,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0393139527143753,0.0,1.2440792158820783e-47,0.0,0.9983062778580365,0.0,1.0,0.0,0.029235050620226233,0.0,0.9999982115021108,0.0,1.0,0.0,3.3710019056975896e-80,0.0,1.0,0.0,0.016434911998804688,0.0,0.004243091874116625,0.0,4.122605461472888e-15,0.0,2.5690594766031046e-192,0.0,3.5112631767459466e-41,0.0,2.918442049694544e-99,0.0,2.0368822977836264e-25,0.0,0.0008536883806641144,0.0,1.0,0.0,0.0,0.0,9.957112760212885e-88,0.0,0.2900082429001215,0.0,1.0,0.0,1.0,0.0,4.152777746307181e-73,0.0,0.9999997515151525,0.0,1.938291662631139e-06,0.0,2.465442977022241e-05,0.0,2.754310489885262e-06,0.0,1.0,0.0,7.693164862161516e-15,0.0,1.0,0.0,1.2863455606092745e-22,0.0,5.658125670011505e-76,0.0,6.88306104932258e-108
S-CPI,300,18.17468523979187,0.08825272231697057,0.0,0.7750658150057589,0.0,0.120589252242426,0.0,0.5994890896727403,0.0,0.783436355593343,0.0,0.34763171932504733,0.0,0.06837444659665648,0.0,0.8328368931388501,0.0,0.24941933879680678,0.0,0.7121307871666457,1.0,0.0006900415369268076,0.0,0.2748908403010876,0.0,0.30959954665034284,0.0,0.7800324591098342,0.0,0.3253481814889823,0.0,0.4989847499276714,0.0,0.7188035878969774,0.0,0.6984804145918583,0.0,0.1608206006236727,0.0,0.129555531328145,0.0,0.8626181281337174,0.0,0.7992223032076442,0.0,0.9585213261443193,0.0,0.2043908430747618,0.0,0.03696617827006111,0.0,0.8551053472225466,0.0,0.6126472202722127,0.0,0.1404283512856747,0.0,0.4069800078682113,0.0,0.4843822467177935,0.0,0.28716098675335644,0.0,0.769101046709723,0.0,0.6653329231591597,0.0,0.32363684545411936,0.0,0.35098887966852965,0.0,0.2708300608209373,0.0,0.09847410636706844,0.0,0.30512040297192955,0.0,0.7632574054123219,0.0,0.9506374751625466,0.0,0.8895107253043479,0.0,0.8790270005690115,0.0,0.4066396107777224,0.0,0.754212348653085,0.0,0.5964947521232848,0.0,0.36350586937169915,0.0,0.8811449209564025,0.0,0.47360195103465647,0.0,0.33213573328551177,0.0,0.2971033599093035,0.0,0.09466799364142531
S-CPI_sqrt,300,18.186718940734863,0.08825272231697057,0.0,0.5205122066508664,0.0,0.4760258231353563,0.0,0.4912165214691804,0.0,0.5022113255463381,0.0,0.49539393252998165,0.0,0.4886158750592679,0.0,0.5189126975553747,0.0,0.5041379090108626,0.0,0.5024452985906899,1.0,0.17165479858913302,0.0,0.4926770199091752,0.0,0.4957438836541107,0.0,0.5032372224240245,0.0,0.49613491860666165,0.0,0.5007279724993691,0.0,0.49994210700749275,0.0,0.4974280885978475,0.0,0.4936186609604286,0.0,0.48580098341813305,0.0,0.5162466553844716,0.0,0.5012001755857162,0.0,0.5141235541709899,0.0,0.4908650354002133,0.0,0.4861562538847209,0.0,0.502486046408965,0.0,0.495891290755648,0.0,0.48692554923107983,0.0,0.49557779420590237,0.0,0.5028954274329468,0.0,0.4993126002580927,0.0,0.5106269934949013,0.0,0.5014718844337099,0.0,0.4946237901610925,0.0,0.49972424167585566,0.0,0.4864337574492477,0.0,0.48920780156840643,0.0,0.4862469062352076,0.0,0.5186357402210288,0.0,0.52241669002895,0.0,0.5041450662426007,0.0,0.5039286709435368,0.0,0.4963065707905531,0.0,0.500489550608781,0.0,0.4999277235253331,0.0,0.5210473893257263,0.0,0.5035221168209283,0.0,0.49088464894065553,0.0,0.4961736880797502,0.0,0.49214807749783857,0.0,0.4888506940023917
S-CPI_n,300,18.162951946258545,0.08825272231697057,0.0,0.7535406788503856,0.0,0.3762582361349777,0.0,0.6169635164535429,0.0,0.5672057789377585,0.0,0.48391684897014475,0.0,0.41157533890890546,0.0,0.5905635718631204,0.0,0.4494535113222384,0.0,0.5713192638307056,1.0,0.0010316156372577154,0.0,0.44503629530175104,0.0,0.44128402237677666,0.0,0.5348289328181198,0.0,0.49805371785569874,0.0,0.5181169308989726,0.0,0.5174122190083398,0.0,0.5233128232570116,0.0,0.42749750127179303,0.0,0.43706757325037926,0.0,0.6277768912126599,0.0,0.5409430136228138,0.0,0.6249580996406902,0.0,0.4119560107338155,0.0,0.39461002639240506,0.0,0.5411746016063458,0.0,0.5350732583300111,0.0,0.4294721691119183,0.0,0.4676282721359298,0.0,0.46993861690583244,0.0,0.4618130311002688,0.0,0.586602697710447,0.0,0.49496994485231655,0.0,0.4389061997555501,0.0,0.4493128320203027,0.0,0.4883629084806917,0.0,0.38351354594968534,0.0,0.4202172758317897,0.0,0.5835480693803448,0.0,0.6665890547772313,0.0,0.5367159080591645,0.0,0.5519372997310967,0.0,0.4725578841035651,0.0,0.4665985123537922,0.0,0.5026554059183951,0.0,0.48490480078982695,0.0,0.5309868977879891,0.0,0.5049619652166812,0.0,0.4605401503416257,0.0,0.4652905309568314,0.0,0.38735626364600273
S-CPI_bt,300,18.36902618408203,0.08825272231697057,0.0,0.9380471390769793,0.0,0.23782782683090825,0.0,0.7001711696795525,0.0,0.5307086484953453,0.0,0.5240680626392262,0.0,0.39351925224591977,0.0,0.6561563918874181,0.0,0.3693595321217056,0.0,0.5598128033322759,1.0,6.015046480576527e-42,0.0,0.3001539134614428,0.0,0.5080591374092376,0.0,0.5230200905832062,0.0,0.4625388660800439,0.0,0.5097790201550433,0.0,0.4656001741130651,0.0,0.5013161076010032,0.0,0.45499870616618976,0.0,0.40532612360571363,0.0,0.695506210529571,0.0,0.5454268281581359,0.0,0.6813530587431101,0.0,0.44056128339682166,0.0,0.3777304412345273,0.0,0.4818494114749889,0.0,0.5986116170854343,0.0,0.39240047612740225,0.0,0.47164537019199415,0.0,0.4660854502358476,0.0,0.4615043151244962,0.0,0.6593640004191986,0.0,0.4754366265391768,0.0,0.4460936453174573,0.0,0.4881448595058339,0.0,0.38981193545132836,0.0,0.3172852776427133,0.0,0.403193102132002,0.0,0.5966655962169065,0.0,0.702081513410687,0.0,0.4852182095801139,0.0,0.5379334968067164,0.0,0.45643518718123405,0.0,0.4974167079030689,0.0,0.5018857674215763,0.0,0.5854648625485476,0.0,0.546233256959097,0.0,0.4323188198626024,0.0,0.47581922207927174,0.0,0.3561173218563185,0.0,0.3785493791117645
