method,n,tr_time,r2_test,tr_V0,pval0,tr_V1,pval1,tr_V2,pval2,tr_V3,pval3,tr_V4,pval4,tr_V5,pval5,tr_V6,pval6,tr_V7,pval7,tr_V8,pval8,tr_V9,pval9,tr_V10,pval10,tr_V11,pval11,tr_V12,pval12,tr_V13,pval13,tr_V14,pval14,tr_V15,pval15,tr_V16,pval16,tr_V17,pval17,tr_V18,pval18,tr_V19,pval19,tr_V20,pval20,tr_V21,pval21,tr_V22,pval22,tr_V23,pval23,tr_V24,pval24,tr_V25,pval25,tr_V26,pval26,tr_V27,pval27,tr_V28,pval28,tr_V29,pval29,tr_V30,pval30,tr_V31,pval31,tr_V32,pval32,tr_V33,pval33,tr_V34,pval34,tr_V35,pval35,tr_V36,pval36,tr_V37,pval37,tr_V38,pval38,tr_V39,pval39,tr_V40,pval40,tr_V41,pval41,tr_V42,pval42,tr_V43,pval43,tr_V44,pval44,tr_V45,pval45,tr_V46,pval46,tr_V47,pval47,tr_V48,pval48,tr_V49,pval49
LOCO-W,300,864.128527879715,0.04674327856249649,0.0,1.1363012390130933e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999991556614747,0.0,1.0,0.0,3.2862601528904634e-14,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.004024889359214967,0.0,1.0,0.0,0.9999999999993135,0.0,0.4864844142306469,0.0,0.9999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999988613677548,0.0,1.0,0.0,0.9955131929602239,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.10796905109425858,0.0,0.0,0.0,0.0,0.0,0.0016981320213427242,0.0,0.9987379377505698,0.0,1.0,0.0,5.645426548461785e-08,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.00025178407779369305,0.0,0.0,0.0,1.0,0.0,0.003564113069167929,0.0,0.0008286158462651461,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.016235933930649926,0.0,0.9999999999618624,0.0,0.0,0.0,1.0563682478759162e-06,0.0,0.9999999855188082
CPI,300,16.636116981506348,0.04674327856249649,0.0,0.7423049422405311,0.0,0.0074735677487994335,0.0,0.2288201390019558,0.0,0.4148079441303278,0.0,0.006273272871616256,0.0,0.8611834968411491,0.0,0.048349231516934876,0.0,0.3704413838165872,0.0,0.1859568430761388,0.0,0.08926832664404782,0.0,0.6286239688058792,1.0,0.0007762377086175195,0.0,0.03284418291871246,0.0,0.6638129210036385,0.0,0.024401998587982046,0.0,0.9956114128886031,0.0,0.9278905251109983,0.0,0.33040223463498886,0.0,0.8691771215143206,0.0,0.8140905709154148,0.0,0.052771047408560555,0.0,0.47999212457944707,0.0,0.6733996859889171,0.0,0.45155636101704644,0.0,0.9210879554383959,0.0,0.34345726977252944,0.0,0.5017894360332323,0.0,0.22838989691607814,0.0,0.08416387329002933,0.0,0.29540510078166005,0.0,0.6491370510960452,0.0,0.924000158401616,0.0,0.147593109075632,0.0,0.11128253720904446,0.0,0.6710731145228637,0.0,0.0701301822274031,0.0,0.9751289061328118,0.0,0.9646291878406904,0.0,0.24804631800094518,0.0,0.7655779956956383,0.0,0.38245481358547584,0.0,0.8057826050679089,0.0,0.6436135928427558,0.0,0.6316786245810989,0.0,0.20221394318216845,0.0,0.1940172194519761,0.0,0.2662908344861604,0.0,0.0004423559366428677,0.0,0.07330155254000419,0.0,0.32984254000139823
CPI_sqrt,300,16.65334129333496,0.04674327856249649,0.0,0.5022139203931,0.0,0.4815005320801443,0.0,0.49622845802406346,0.0,0.5055562638926915,0.0,0.48062902157804954,0.0,0.5027604601207035,0.0,0.4978157508347651,0.0,0.4976435717118123,0.0,0.49982962706742967,0.0,0.49821228653836913,0.0,0.505105081654782,1.0,0.18407746214473053,0.0,0.5037526633088739,0.0,0.5025273033633755,0.0,0.4888889677356204,0.0,0.4989362521883116,0.0,0.5159082791270567,0.0,0.4935536797175488,0.0,0.5034032584230765,0.0,0.5122025159067226,0.0,0.5000308739231745,0.0,0.5054230894060006,0.0,0.4957896247138025,0.0,0.5010879031196022,0.0,0.49653063720257035,0.0,0.4983713275259574,0.0,0.49813918854864675,0.0,0.5057262366510641,0.0,0.496444843612198,0.0,0.5077078504392872,0.0,0.4616265929274056,0.0,0.50316859162468,0.0,0.49107617389991315,0.0,0.49555985817558124,0.0,0.5101508161757801,0.0,0.49329155879765674,0.0,0.49832824390122743,0.0,0.4977435052601231,0.0,0.4994617483350799,0.0,0.5158760824751731,0.0,0.5014590559327053,0.0,0.5096244260610188,0.0,0.4896624148949822,0.0,0.49437453926712804,0.0,0.4999964059878971,0.0,0.4972670508558699,0.0,0.49750699509084945,0.0,0.4959831696123409,0.0,0.4803830577600511,0.0,0.49358547860598867
CPI_n,300,16.646563291549683,0.04674327856249649,0.0,0.5055695621743799,0.0,0.40272506891127907,0.0,0.5042280944475934,0.0,0.5754771551200656,0.0,0.3502762306714249,0.0,0.4946268576617017,0.0,0.3803734128860826,0.0,0.39407021111500107,0.0,0.515955190521808,0.0,0.4474500267073048,0.0,0.6428661523590968,1.0,0.007906440751328667,0.0,0.5362401371958323,0.0,0.4903738423706272,0.0,0.5345583109617192,0.0,0.6432684094750347,0.0,0.5795687845068116,0.0,0.46062984347479485,0.0,0.4652506330904939,0.0,0.5560116808118588,0.0,0.4553083135332848,0.0,0.4983602183189037,0.0,0.5233485443885866,0.0,0.47769223190562426,0.0,0.6586047582455904,0.0,0.5617988893278361,0.0,0.4531670560682439,0.0,0.5468499433967454,0.0,0.4708486042205873,0.0,0.47272280093876085,0.0,0.4830485043531072,0.0,0.54183032985396,0.0,0.45769861299548364,0.0,0.42727113772611586,0.0,0.5116900062416239,0.0,0.4778916081241502,0.0,0.5233371821737477,0.0,0.5791396955384521,0.0,0.6285382913200177,0.0,0.5848870096005311,0.0,0.512241710203384,0.0,0.6444344248652597,0.0,0.41169052139257195,0.0,0.516006228458124,0.0,0.48847987971906137,0.0,0.5004778272204535,0.0,0.46217546713353647,0.0,0.452732402754206,0.0,0.4414402290127167,0.0,0.5005320076760469
CPI_bt,300,16.833935976028442,0.04674327856249649,0.0,0.5266043520600538,0.0,0.3746421355396352,0.0,0.45306271660175296,0.0,0.47855758578857394,0.0,0.4035666178338516,0.0,0.4166924621137245,0.0,0.40445584390493483,0.0,0.6472952325064524,0.0,0.5122117257089469,0.0,0.45265799401648504,0.0,0.5387188245966633,1.0,3.412440896062186e-35,0.0,0.4744944753031096,0.0,0.5487918431948798,0.0,0.3830815730348,0.0,0.6035570306297103,0.0,0.5478631633777223,0.0,0.4665603503627772,0.0,0.4859109117966747,0.0,0.5287061732513169,0.0,0.4349212458412415,0.0,0.5344540916003421,0.0,0.39130756280791934,0.0,0.3231286256775856,0.0,0.5136661579057661,0.0,0.6226494821278945,0.0,0.4814383203731581,0.0,0.46290385536013384,0.0,0.40970800881593183,0.0,0.39861389686062687,0.0,0.27135758341429783,0.0,0.5707531472562127,0.0,0.4839506489988066,0.0,0.44953577556530144,0.0,0.45918752878264824,0.0,0.4247336625924303,0.0,0.5018273037171088,0.0,0.3891449067755229,0.0,0.5296723133593444,0.0,0.5022253806244352,0.0,0.517967112356057,0.0,0.5580461559345608,0.0,0.4025118525393313,0.0,0.4192660172498885,0.0,0.4848601768113671,0.0,0.44655173238854273,0.0,0.3253758333868047,0.0,0.43359516549730137,0.0,0.4442864711534914,0.0,0.4588767440229231
CPI_sqd,300,16.817873001098633,0.04674327856249649,0.0,1.2837885279731786e-47,0.0,2.9326982290947453e-94,0.0,9.563345159414087e-35,0.0,1.6485281943775024e-31,0.0,1.7426957177185382e-130,0.0,2.700593591248653e-10,0.0,1.8848071269925537e-88,0.0,7.283937210053551e-137,0.0,4.2080138708374556e-05,0.0,1.3744240820527296e-147,0.0,1.0,1.0,0.0,0.0,0.998089432628241,0.0,1.0,0.0,3.4837713392311294e-05,0.0,1.0,0.0,1.0,0.0,9.440951550265997e-50,0.0,1.208746146245252e-39,0.0,1.0,0.0,0.9999337214426474,0.0,1.0,0.0,0.9939185800097271,0.0,3.8134397854451615e-63,0.0,1.0,0.0,3.413802150721444e-29,0.0,1.0,0.0,5.386545507682544e-07,0.0,0.0036518275092179146,0.0,8.806141082818324e-55,0.0,1.0624017378056726e-118,0.0,1.0,0.0,6.097336824839703e-82,0.0,1.0052924823226712e-28,0.0,2.916105944163976e-56,0.0,2.9731757214152887e-55,0.0,0.9999823646629563,0.0,1.75303582352196e-47,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.9999999979996902,0.0,5.109121114079845e-32,0.0,1.4370453629643753e-128,0.0,4.6630255010294324e-74,0.0,0.7356076397897339,0.0,4.83536311381161e-28,0.0,3.032349739384035e-41,0.0,0.0,0.0,0.9994565180122357
S-CPI,300,29.190422296524048,0.04674327856249649,0.0,0.4034347531281012,0.0,0.021159465553498222,0.0,0.6999986111977848,0.0,0.6847375041871827,0.0,0.01042254158408711,0.0,0.23959163181142723,0.0,0.035288714444965105,0.0,0.5276117629098568,0.0,0.6315782230332497,0.0,0.014556379351109254,0.0,0.8708483958538703,1.0,0.005057157200277137,0.0,0.8957474487010092,0.0,0.6606367165409669,0.0,0.18869377918323815,0.0,0.9677042313906257,0.0,0.9198158782973505,0.0,0.3541349361012015,0.0,0.6270008203422763,0.0,0.8781133634331655,0.0,0.1758609605190592,0.0,0.3025467861686604,0.0,0.792013811905645,0.0,0.30074542329828935,0.0,0.8022019723692638,0.0,0.3792806610220847,0.0,0.5004872437605143,0.0,0.7748293224263203,0.0,0.1850704569409667,0.0,0.2617302363219175,0.0,0.23075000403575396,0.0,0.6701723242610875,0.0,0.15962165936287387,0.0,0.4967910083779376,0.0,0.480823986935034,0.0,0.1942159425635263,0.0,0.5574194325346016,0.0,0.8287494756111027,0.0,0.7596432356616143,0.0,0.8305693054579086,0.0,0.5095218153373148,0.0,0.8002847446588423,0.0,0.16885362999618275,0.0,0.8371816586616339,0.0,0.512705527421513,0.0,0.1086442154756011,0.0,0.6058335729792721,0.0,0.06973836224812859,0.0,0.08652760536954857,0.0,0.3144174941191502
S-CPI_sqrt,300,29.208117246627808,0.04674327856249649,0.0,0.5015956102036386,0.0,0.46949609219674227,0.0,0.4978710031741185,0.0,0.5069407463468738,0.0,0.4825403055768243,0.0,0.49405741594463526,0.0,0.47160089700555047,0.0,0.49056832328476435,0.0,0.5004049264700885,0.0,0.48798988778995706,0.0,0.5055035130935505,1.0,0.13846567702745238,0.0,0.505742574253069,0.0,0.5032165793321666,0.0,0.4896584233051081,0.0,0.5242154693659837,0.0,0.5153672243537852,0.0,0.49529040163940763,0.0,0.5073937144331659,0.0,0.519221000428905,0.0,0.48866896141762506,0.0,0.5017633701537509,0.0,0.5060598882985802,0.0,0.49440828597985587,0.0,0.5161510260054659,0.0,0.4978712678202013,0.0,0.506035956011867,0.0,0.5137940733302838,0.0,0.49375163269077227,0.0,0.49003337783287515,0.0,0.4900984120073333,0.0,0.5045266539022273,0.0,0.48784940401725807,0.0,0.4975974142655441,0.0,0.5025658529619919,0.0,0.4887449982642127,0.0,0.4956466907520149,0.0,0.5252268717982193,0.0,0.5183384336282723,0.0,0.5146840022187698,0.0,0.5087683116261927,0.0,0.5202963240505195,0.0,0.49608895336105924,0.0,0.5088027676519039,0.0,0.5012832621285362,0.0,0.4929737052756454,0.0,0.5033298451280617,0.0,0.4870421920725558,0.0,0.47933042429478634,0.0,0.4851291886946913
S-CPI_n,300,29.215360641479492,0.04674327856249649,0.0,0.47799048355966345,0.0,0.3230519966919859,0.0,0.5162089047389413,0.0,0.5159263180575445,0.0,0.36433184182149136,0.0,0.45812343804925104,0.0,0.31495195936676024,0.0,0.4666948517310604,0.0,0.5135877983031721,0.0,0.3931137137870751,0.0,0.5457521436396633,1.0,0.012128675137609879,0.0,0.5283168100431193,0.0,0.5260049985240541,0.0,0.40448923691829236,0.0,0.6539824116846338,0.0,0.6218724698556042,0.0,0.45101591183867956,0.0,0.5352449666860416,0.0,0.6540447724948009,0.0,0.4274504884757634,0.0,0.5191126244480083,0.0,0.5147016390543553,0.0,0.41320268359985035,0.0,0.5963040224981404,0.0,0.39560753280891287,0.0,0.5961518545337264,0.0,0.5263337504101743,0.0,0.4404703225058499,0.0,0.4570998649932052,0.0,0.3987195727369598,0.0,0.5412801419556039,0.0,0.4555858216352916,0.0,0.523613829784766,0.0,0.5720022451334852,0.0,0.40040613746110226,0.0,0.5395488688976479,0.0,0.6124275749290538,0.0,0.6166081259626667,0.0,0.6337248002844773,0.0,0.5409479020651388,0.0,0.6226296994666722,0.0,0.424694953814344,0.0,0.590320635013229,0.0,0.5189606489737761,0.0,0.47719781939645656,0.0,0.4525706683930055,0.0,0.36815163955809693,0.0,0.3559736702018841,0.0,0.4465470263725303
S-CPI_bt,300,29.392056703567505,0.04674327856249649,0.0,0.4653617213856976,0.0,0.3122168755988571,0.0,0.5495952699275476,0.0,0.4848839328352004,0.0,0.3138983743243603,0.0,0.4518908264502007,0.0,0.2722346963555947,0.0,0.4564773293438599,0.0,0.48437446571479786,0.0,0.3376583118949469,0.0,0.5827735372587637,1.0,3.542283737713677e-32,0.0,0.5694824310028513,0.0,0.5460901356297134,0.0,0.4089545108579416,0.0,0.7223356229548565,0.0,0.6878872749198633,0.0,0.42999789845136666,0.0,0.6052106234570954,0.0,0.6765278469827415,0.0,0.4657824537365636,0.0,0.5275283498682222,0.0,0.47953829878859894,0.0,0.3953924005798928,0.0,0.6756205404672442,0.0,0.45682030712752364,0.0,0.5909531571662285,0.0,0.5528231336032949,0.0,0.4022140491023582,0.0,0.53618453835219,0.0,0.2543993100511712,0.0,0.6097645343942908,0.0,0.39617855976976546,0.0,0.5403776456383741,0.0,0.6183215787764096,0.0,0.41700325656322057,0.0,0.5139272357658982,0.0,0.7701141507779055,0.0,0.7103181880929402,0.0,0.6639186572758877,0.0,0.5645022735395001,0.0,0.5488883252605757,0.0,0.39062436323993494,0.0,0.5506556911830759,0.0,0.5188515485192924,0.0,0.48834065153770206,0.0,0.5340181122682109,0.0,0.33675938677575135,0.0,0.2500028446354622,0.0,0.3308439366925636
