method,n,tr_time,r2_test,tr_V0,pval0,tr_V1,pval1,tr_V2,pval2,tr_V3,pval3,tr_V4,pval4,tr_V5,pval5,tr_V6,pval6,tr_V7,pval7,tr_V8,pval8,tr_V9,pval9,tr_V10,pval10,tr_V11,pval11,tr_V12,pval12,tr_V13,pval13,tr_V14,pval14,tr_V15,pval15,tr_V16,pval16,tr_V17,pval17,tr_V18,pval18,tr_V19,pval19,tr_V20,pval20,tr_V21,pval21,tr_V22,pval22,tr_V23,pval23,tr_V24,pval24,tr_V25,pval25,tr_V26,pval26,tr_V27,pval27,tr_V28,pval28,tr_V29,pval29,tr_V30,pval30,tr_V31,pval31,tr_V32,pval32,tr_V33,pval33,tr_V34,pval34,tr_V35,pval35,tr_V36,pval36,tr_V37,pval37,tr_V38,pval38,tr_V39,pval39,tr_V40,pval40,tr_V41,pval41,tr_V42,pval42,tr_V43,pval43,tr_V44,pval44,tr_V45,pval45,tr_V46,pval46,tr_V47,pval47,tr_V48,pval48,tr_V49,pval49
LOCO-W,300,70.16712236404419,-0.020303891322643652,0.0,1.1445844272373051e-11,0.0,0.9976750942944356,0.0,0.12914568657321812,0.0,2.4609064717129314e-06,0.0,0.0338456686061922,0.0,0.16103123336896952,0.0,0.0012646017684264654,0.0,0.0033001513737487276,0.0,0.7493473708319797,0.0,0.9999997223033609,0.0,9.436977792509627e-05,0.0,0.0018574720562479774,0.0,6.723617335668841e-06,0.0,0.8724193382357682,0.0,0.9996986087327189,0.0,0.0160390230798656,0.0,0.7501918957623723,0.0,0.858165167272086,0.0,0.9985176788059914,0.0,0.9984576901990918,0.0,0.027863263791793824,0.0,0.8397797719114668,0.0,0.9985619514596107,0.0,0.5899890537830603,0.0,0.1784525009999669,0.0,0.3536810377877533,0.0,1.684037388427484e-07,0.0,0.9999998020117445,1.0,0.04122136395259568,0.0,0.9928499070249158,0.0,0.9961885060910397,0.0,0.01598106797844301,0.0,1.4332997122501467e-08,0.0,1.0670020422764992e-11,0.0,0.6314287845413833,0.0,0.7423787286489735,0.0,5.68486394236789e-06,0.0,0.14337249583666778,0.0,0.26671096048231857,0.0,0.7074506647404092,0.0,0.9920389939641158,0.0,0.9999134420539812,0.0,0.9999999970118606,0.0,1.4613913545957757e-06,0.0,0.374085848470753,0.0,1.8596729778330712e-06,0.0,1.7969348231616777e-10,0.0,0.0006054970046853736,0.0,0.29863208247624273,0.0,0.08588456319231552
CPI,300,4.270746469497681,-0.020303891322643652,0.0,0.2394402765237435,0.0,0.37649075606812576,0.0,0.6157323769424088,0.0,0.5173957176518565,0.0,0.29414312964802014,0.0,0.3760567851163731,0.0,0.5963215429649457,0.0,0.7666279599283887,0.0,0.153208658108353,0.0,0.17591403173261605,0.0,0.09700187556320383,0.0,0.06500763721123846,0.0,0.5605005027638373,0.0,0.34988678437059884,0.0,0.11054474704776984,0.0,0.8590482871557986,0.0,0.8511208516934894,0.0,0.648938457780114,0.0,0.5882473777073646,0.0,0.5616474069809837,0.0,0.7661714345483877,0.0,0.9109184173116158,0.0,0.7811949058433489,0.0,0.21333976761568985,0.0,0.19783056842287872,0.0,0.2608589348554722,0.0,0.5030715652428024,0.0,0.8271586254460072,1.0,0.4099979065570477,0.0,0.2915841698867652,0.0,0.30523976559266586,0.0,0.02164883104494272,0.0,0.9711917021484485,0.0,0.6900340252750274,0.0,0.9203609462870808,0.0,0.1570460019445729,0.0,0.6675351876274455,0.0,0.1861935195493274,0.0,0.28470714592876556,0.0,0.7242569825173908,0.0,0.18614756926951503,0.0,0.16276088962004281,0.0,0.9600477021648833,0.0,0.49497331691265933,0.0,0.09872441488344874,0.0,0.13057464871588842,0.0,0.07364094240982856,0.0,0.9375754851343838,0.0,0.5499824278383465,0.0,0.1841493981564502
CPI_sqrt,300,4.239997148513794,-0.020303891322643652,0.0,0.5003275787683389,0.0,0.4745011692802083,0.0,0.5328915182759316,0.0,0.4411298154023064,0.0,0.46582647067926614,0.0,0.5044346030481256,0.0,0.5187996419337761,0.0,0.5281143146813089,0.0,0.4448220070446325,0.0,0.5001765434678592,0.0,0.49070459265470134,0.0,0.36231767079686034,0.0,0.5003923856305482,0.0,0.43222849629878185,0.0,0.5156099395528204,0.0,0.5222897868609554,0.0,0.4476997250421852,0.0,0.5287599156465974,0.0,0.4612672331184591,0.0,0.5396043652363023,0.0,0.4794399295850716,0.0,0.5547137622602116,0.0,0.5964294424989487,0.0,0.530156538790229,0.0,0.4649655152896048,0.0,0.4925575494706852,0.0,0.4593238443170204,0.0,0.49521702006484936,1.0,0.42396644274998674,0.0,0.4745727158251658,0.0,0.4450509715856905,0.0,0.4500874935114035,0.0,0.5739397869164189,0.0,0.4970930511492465,0.0,0.5641619500325044,0.0,0.5108769461515625,0.0,0.5136194806464114,0.0,0.47843314393946906,0.0,0.5150352133094258,0.0,0.6840614988932474,0.0,0.47688969332220127,0.0,0.44369461905019486,0.0,0.5320338604583968,0.0,0.5998289866950554,0.0,0.5130815598709935,0.0,0.4563722121485279,0.0,0.48637494472840803,0.0,0.5007605893420225,0.0,0.4027130924252864,0.0,0.5118321168889901
CPI_n,300,4.24566650390625,-0.020303891322643652,0.0,0.2046267700285399,0.0,0.45110196937908664,0.0,0.786200146967588,0.0,0.6903526916221687,0.0,0.6632838027933912,0.0,0.5343791524419809,0.0,0.4198854233210252,0.0,0.6132965697377888,0.0,0.41869727409090796,0.0,0.6247662756570003,0.0,0.29314478127568694,0.0,0.2872322511559341,0.0,0.3675124048063993,0.0,0.37083603451815267,0.0,0.6016270692830387,0.0,0.7669588054780088,0.0,0.5714417447310042,0.0,0.7277781818935841,0.0,0.4153844594857178,0.0,0.8154304329309217,0.0,0.3205375233102772,0.0,0.4445966426666693,0.0,0.7671542318723197,0.0,0.7605305237158695,0.0,0.20870483984630872,0.0,0.6104172834717324,0.0,0.4926947749475678,0.0,0.35252399997185047,1.0,0.007248417215461743,0.0,0.29699460438024056,0.0,0.13427520617875216,0.0,0.3842242876687119,0.0,0.5972981164460733,0.0,0.6733874129189994,0.0,0.787407489629369,0.0,0.6689241140632903,0.0,0.23924431004453528,0.0,0.5134104585522733,0.0,0.5394619534630117,0.0,0.47488962387735084,0.0,0.4288127835406556,0.0,0.5926223352970029,0.0,0.5953321565653426,0.0,0.3128564854699081,0.0,0.14406476096168563,0.0,0.31090093160618915,0.0,0.42861338813938177,0.0,0.46320555937540125,0.0,0.48480877757182345,0.0,0.5726750261265885
CPI_bt,300,4.4339330196380615,-0.020303891322643652,0.0,0.11555672881273338,0.0,0.327870802542137,0.0,0.961336903802415,0.0,0.004042354602053057,0.0,0.486420147910589,0.0,0.7111251875789351,0.0,0.512445973865345,0.0,0.575528373227733,0.0,0.2883172443292886,0.0,0.24554345504344466,0.0,0.05919328644905757,0.0,0.030637528351152864,0.0,0.5150905952284413,0.0,0.5848508514370023,0.0,0.7037104545674371,0.0,0.4383213130068394,0.0,0.008829435506123117,0.0,0.7702468820089146,0.0,0.28100032154836796,0.0,0.22755882193163768,0.0,0.8247289654709882,0.0,0.9366398903663833,0.0,0.8539550528483668,0.0,0.8198498771022978,0.0,0.8562086982346451,0.0,0.42901127331173083,0.0,0.6001935059203358,0.0,0.7232808471871031,1.0,1.9467826516141147e-05,0.0,0.10615204465927103,0.0,0.12572395547451148,0.0,0.07179132607785915,0.0,0.004501420714527187,0.0,0.7290648886893166,0.0,0.98727731428448,0.0,0.17481092142827515,0.0,0.03470087544079067,0.0,0.45864004008468456,0.0,0.5182574635770866,0.0,0.9944772709390177,0.0,0.12959541391195406,0.0,0.9669224500101401,0.0,0.8583025317143621,0.0,0.9998280891287049,0.0,0.014175893740292465,0.0,0.5729152281821791,0.0,0.4491751621946586,0.0,0.2366199584955785,0.0,0.3122005670550396,0.0,0.15985329716679936
CPI_sqd,300,4.436964273452759,-0.020303891322643652,0.0,0.0,0.0,4.797450729646116e-233,0.0,1.0,0.0,2.8087425641849355e-34,0.0,1.0,0.0,4.0964175178931083e-07,0.0,6.817742011788835e-34,0.0,0.9999855096920242,0.0,1.0,0.0,0.9999999999998022,0.0,8.782009883627371e-62,0.0,0.0,0.0,1.0,0.0,1.0,0.0,8.555404989000033e-07,0.0,1.0,0.0,0.9999999999999997,0.0,1.2891880729682955e-81,0.0,2.540079748381956e-06,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.7344408766964861,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.18170576690750595,0.0,0.020297438974854462,0.0,1.0,0.0,0.0,0.0,6.218868216073244e-06,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.20997847082773025,0.0,3.255615328183291e-50,0.0,9.733545993086885e-188,0.0,0.9999907181540469,0.0,6.053097566349995e-56,0.0,2.3491717615248498e-07,0.0,1.0,0.0,0.0027647277688219395,0.0,1.0978152818568374e-93,0.0,1.2348507996896498e-14,0.0,9.035638001289872e-11,0.0,2.3703229530684846e-16,0.0,0.0,0.0,0.9224643553631782
S-CPI,300,4.68475079536438,-0.020303891322643652,0.0,0.23352377468552066,0.0,0.2791539683783729,0.0,0.808986951746455,0.0,0.7916784174287883,0.0,0.30050372823026344,0.0,0.40269566734337614,0.0,0.6079165067884237,0.0,0.9240884320886478,0.0,0.3753210103624888,0.0,0.7486153337390179,0.0,0.5221526869566088,0.0,0.007461141251289288,0.0,0.41863356299142485,0.0,0.4135015041122484,0.0,0.6700446786875047,0.0,0.6795143212584922,0.0,0.8039356981870591,0.0,0.9817496500490623,0.0,0.48434614514953717,0.0,0.912734237968795,0.0,0.9197447670374908,0.0,0.7383878445689736,0.0,0.9070052001072519,0.0,0.9627825070906706,0.0,0.7655627924952841,0.0,0.9882360253740714,0.0,0.11819713862547027,0.0,0.891602001261204,1.0,0.09420138755579643,0.0,0.17502332644427304,0.0,0.19307121318353115,0.0,0.07292118667184361,0.0,0.7267645253014919,0.0,0.24493985584393396,0.0,0.905618277603679,0.0,0.7228659949539045,0.0,0.4578866276531454,0.0,0.2651448637184247,0.0,0.5992257397158783,0.0,0.7525936228804588,0.0,0.07510482913148135,0.0,0.45858461874399536,0.0,0.9708372291255087,0.0,0.760382999913926,0.0,0.5435654457099177,0.0,0.5080297670896546,0.0,0.5863923147427158,0.0,0.501449469611123,0.0,0.22368918219937373,0.0,0.4610221663950988
S-CPI_sqrt,300,4.689239501953125,-0.020303891322643652,0.0,0.47053355824315335,0.0,0.4750851709075767,0.0,0.5579088603294823,0.0,0.5093694403289303,0.0,0.5087352356869814,0.0,0.48107190918489345,0.0,0.487104419128114,0.0,0.5666789702651749,0.0,0.4842237075295003,0.0,0.5010317091332203,0.0,0.4644048437983149,0.0,0.33003349986737457,0.0,0.47821611024551275,0.0,0.5129519541266784,0.0,0.5292190879086921,0.0,0.5255790537567134,0.0,0.5502733758059382,0.0,0.5633945604042524,0.0,0.46347877232127843,0.0,0.5299621607070995,0.0,0.555272078201563,0.0,0.5464512108595736,0.0,0.6291059954883933,0.0,0.5873315216542773,0.0,0.5507334631067377,0.0,0.5454237836084128,0.0,0.41492611615176844,0.0,0.5989679165840247,1.0,0.18088128016028265,0.0,0.44894729574211767,0.0,0.4136845406898527,0.0,0.42901553254980707,0.0,0.5794592768806487,0.0,0.48850910344223225,0.0,0.5844995735497157,0.0,0.548918747498249,0.0,0.479401718214154,0.0,0.49224017743368226,0.0,0.5002719558415865,0.0,0.5890669003688781,0.0,0.48163816588648817,0.0,0.4564201928274089,0.0,0.5798399545607887,0.0,0.7171882845545723,0.0,0.48632150901089444,0.0,0.43860414032501477,0.0,0.5256800151832028,0.0,0.48338501042551374,0.0,0.46357300634137766,0.0,0.5089106180264588
S-CPI_n,300,4.679678916931152,-0.020303891322643652,0.0,0.4553338594256312,0.0,0.3929497162252298,0.0,0.7216225000758881,0.0,0.386225776573034,0.0,0.4874852439154751,0.0,0.329570874446797,0.0,0.6803086527464699,0.0,0.7867520242333264,0.0,0.5014068165486212,0.0,0.4933212153357065,0.0,0.46003640974814575,0.0,0.0649324477370414,0.0,0.4116130528676275,0.0,0.33111844206560825,0.0,0.5571728738629466,0.0,0.6479940903547735,0.0,0.561811092252465,0.0,0.8561015505266099,0.0,0.2538296906876796,0.0,0.7120295315839891,0.0,0.7514541021895692,0.0,0.7171989192176064,0.0,0.9174165997985575,0.0,0.7129374494888695,0.0,0.7739550111889468,0.0,0.7031406039421333,0.0,0.18895615234932206,0.0,0.7902020047557198,1.0,0.2527168517961075,0.0,0.2738557746450207,0.0,0.23220875423750398,0.0,0.29917389852723253,0.0,0.8054092222390536,0.0,0.4623674858320719,0.0,0.8079732827910231,0.0,0.6046781558910785,0.0,0.5236776656939783,0.0,0.5070245921617021,0.0,0.4115688173687656,0.0,0.7699534683354181,0.0,0.2433685535833684,0.0,0.356843472890246,0.0,0.7923389311340727,0.0,0.9074170702587114,0.0,0.4396846282095377,0.0,0.4445716253275599,0.0,0.6699353035447927,0.0,0.45925828072560637,0.0,0.33051194981838394,0.0,0.49487595042995475
S-CPI_bt,300,4.868221044540405,-0.020303891322643652,0.0,0.26364276786708346,0.0,0.369904580741128,0.0,0.8977508248152998,0.0,0.4237266184309373,0.0,0.2204149052362045,0.0,0.2790997009466524,0.0,0.8235115586514814,0.0,0.8528917022346776,0.0,0.058734745192451816,0.0,0.7892391185978432,0.0,0.09469649992442097,0.0,3.0538920945821636e-05,0.0,0.5788535957523877,0.0,0.45633322116967373,0.0,0.7311718033767305,0.0,0.8466009736169768,0.0,0.7065560006305205,0.0,0.8930321806233091,0.0,0.06416198385543875,0.0,0.7380077631273861,0.0,0.8614902508839861,0.0,0.9350851148003534,0.0,0.9999468093696552,0.0,0.9985367099082029,0.0,0.5939705917997424,0.0,0.8434568903472989,0.0,0.03106512015884496,0.0,0.9937858952107692,1.0,0.28156668902851256,0.0,0.06151483364530174,0.0,0.15974924681397806,0.0,0.20189100339881821,0.0,0.9931852661112969,0.0,0.3817412196568055,0.0,0.9995217829221376,0.0,0.3351418154318506,0.0,0.05278916152322934,0.0,0.3361441791068749,0.0,0.26865954490509036,0.0,0.9812200576538284,0.0,0.14042944239537924,0.0,0.24216385231323323,0.0,0.9778111652762931,0.0,0.9971113392267525,0.0,0.37852366070872334,0.0,0.021312741536402557,0.0,0.5790712817821557,0.0,0.5542710429445272,0.0,0.23757038549049286,0.0,0.5083599256635472
