method,n,tr_time,r2_test,tr_V0,pval0,tr_V1,pval1,tr_V2,pval2,tr_V3,pval3,tr_V4,pval4,tr_V5,pval5,tr_V6,pval6,tr_V7,pval7,tr_V8,pval8,tr_V9,pval9,tr_V10,pval10,tr_V11,pval11,tr_V12,pval12,tr_V13,pval13,tr_V14,pval14,tr_V15,pval15,tr_V16,pval16,tr_V17,pval17,tr_V18,pval18,tr_V19,pval19,tr_V20,pval20,tr_V21,pval21,tr_V22,pval22,tr_V23,pval23,tr_V24,pval24,tr_V25,pval25,tr_V26,pval26,tr_V27,pval27,tr_V28,pval28,tr_V29,pval29,tr_V30,pval30,tr_V31,pval31,tr_V32,pval32,tr_V33,pval33,tr_V34,pval34,tr_V35,pval35,tr_V36,pval36,tr_V37,pval37,tr_V38,pval38,tr_V39,pval39,tr_V40,pval40,tr_V41,pval41,tr_V42,pval42,tr_V43,pval43,tr_V44,pval44,tr_V45,pval45,tr_V46,pval46,tr_V47,pval47,tr_V48,pval48,tr_V49,pval49
LOCO-W,300,17.701815366744995,-0.2953978392706076,0.0,0.3349866330887985,0.0,0.9109944301658631,0.0,0.9592811021820911,0.0,0.7102292791423143,0.0,0.9610924650031332,0.0,0.7749105661255923,0.0,0.8213454966908141,0.0,0.6583136082984204,0.0,0.2858485353176038,0.0,0.6118201960201067,0.0,0.3679838225963522,0.0,0.7715112315008755,0.0,0.6222409860072773,0.0,0.9221006965751523,0.0,0.6027836409172509,0.0,0.05237967610051775,0.0,0.9976631932997007,0.0,0.1494075153563903,0.0,0.2436386090141921,0.0,0.18287673045029096,0.0,0.580988356599534,0.0,0.5175978882105425,0.0,0.8563697397076189,0.0,0.44081728949316046,0.0,0.792736123659515,1.0,0.20860739687106866,0.0,0.1776498207949022,0.0,0.2088929326990665,0.0,0.033961222404179536,0.0,0.1851136648283931,0.0,0.7995355725121862,0.0,0.06925268998290901,0.0,0.2864317154430909,0.0,0.10966028964479702,0.0,0.19208592579967132,0.0,0.8087473593938547,0.0,0.5829610861642132,0.0,0.23743339850496692,0.0,0.40434817290223446,0.0,0.07753605308977585,0.0,0.23150707854874475,0.0,0.8734301230766486,0.0,0.22306265419940952,0.0,0.8177372743912816,0.0,0.6260376154408428,0.0,0.30046044546602224,0.0,0.5581056890815369,0.0,0.8079916926505426,0.0,0.9512615478810535,0.0,0.3891636771273248
CPI,300,3.952148675918579,-0.2953978392706076,0.0,0.5802327747425851,0.0,0.17414841625770133,0.0,0.0692607275431606,0.0,0.02366700635346593,0.0,0.8112264944161763,0.0,0.9844998749509504,0.0,0.430105281821025,0.0,0.8141310898464752,0.0,0.0903736109378997,0.0,0.5750131108976922,0.0,0.3367507133636479,0.0,0.049218802898915934,0.0,0.05290053530558588,0.0,0.3182697306101996,0.0,0.26475936592866856,0.0,0.7945800801292378,0.0,0.29487890258291394,0.0,0.9442667810265932,0.0,0.4385666750924643,0.0,0.4257075667360324,0.0,0.6724314976925263,0.0,0.7779713994590587,0.0,0.7520408766550375,0.0,0.4278240649989431,0.0,0.9503419672937824,1.0,0.013299157684604886,0.0,0.6184921780435298,0.0,0.5497780792368592,0.0,0.06729359638127443,0.0,0.11202428324808433,0.0,0.9747603317545737,0.0,0.5871020955295476,0.0,0.19243415296613237,0.0,0.7324687857800251,0.0,0.7257743582889059,0.0,0.4185284784557918,0.0,0.38514058764598225,0.0,0.7533182683234771,0.0,0.8924563532021093,0.0,0.5590642436527499,0.0,0.3016790014056009,0.0,0.22520815268894323,0.0,0.7020701467239565,0.0,0.4406801637734827,0.0,0.606979126313283,0.0,0.45119236744543423,0.0,0.0924138388258185,0.0,0.7180915791530863,0.0,0.1171002888980357,0.0,0.5318506796574094
CPI_sqrt,300,3.93265700340271,-0.2953978392706076,0.0,0.40868396276341445,0.0,0.42718139866007915,0.0,0.3899936342831599,0.0,0.33757341207997527,0.0,0.48046569201065786,0.0,0.6376697892500727,0.0,0.576269506193257,0.0,0.6535455984163825,0.0,0.5276506803990094,0.0,0.5657394548743334,0.0,0.42865070610303035,0.0,0.6226152435091492,0.0,0.4523092562735312,0.0,0.5484054220262418,0.0,0.2978590145107622,0.0,0.6375126348635702,0.0,0.47508630128372786,0.0,0.5139682701149527,0.0,0.6682719940596756,0.0,0.3349365035347425,0.0,0.5391981978775039,0.0,0.5507068557974837,0.0,0.48924166578502576,0.0,0.5026637306684391,0.0,0.49206059911759104,1.0,0.43108233026392045,0.0,0.6185021814927372,0.0,0.5619357743713266,0.0,0.4538970076545031,0.0,0.40717343173969456,0.0,0.7418541169506727,0.0,0.44968761175571653,0.0,0.3140172370575687,0.0,0.49871229936691863,0.0,0.5187747722553818,0.0,0.43599207414907554,0.0,0.5655476928086602,0.0,0.47864712552346567,0.0,0.4710920001509581,0.0,0.540457201288609,0.0,0.39317606436826436,0.0,0.4444856411680931,0.0,0.48020781854440714,0.0,0.4391314096808878,0.0,0.3868578566323026,0.0,0.4702520016293557,0.0,0.29378675298302687,0.0,0.5136225078630154,0.0,0.4753371882058208,0.0,0.43484331472811577
CPI_n,300,3.933591604232788,-0.2953978392706076,0.0,0.1931888084461234,0.0,0.4114289084288617,0.0,0.3376529679452118,0.0,0.058418258317887724,0.0,0.9219591673856917,0.0,0.8388172774726717,0.0,0.3162060082810333,0.0,0.7230533440374171,0.0,0.5168306522309322,0.0,0.872010023004629,0.0,0.36435476653226984,0.0,0.23336522364651108,0.0,0.5047421538872574,0.0,0.9029389906754322,0.0,0.32729906745118675,0.0,0.3745127481285306,0.0,0.5771584542086252,0.0,0.20976667142981814,0.0,0.40067075014949766,0.0,0.3127120160782473,0.0,0.11300818145778602,0.0,0.9755300153025939,0.0,0.6711221442062728,0.0,0.5656508348522665,0.0,0.8413928477487052,1.0,0.2087219441844903,0.0,0.51207606401912,0.0,0.2109005882813766,0.0,0.15998459814794203,0.0,0.5708190772474594,0.0,0.8734674254140102,0.0,0.3902766652120288,0.0,0.14504657695967144,0.0,0.6601553143190191,0.0,0.9317405687528313,0.0,0.7046023992972591,0.0,0.7250171877586847,0.0,0.8920837308163727,0.0,0.6432072532328363,0.0,0.8548220384422027,0.0,0.17125539688983055,0.0,0.48845299322791086,0.0,0.8352375500226976,0.0,0.48543289451934557,0.0,0.6059545975099618,0.0,0.39800185004426425,0.0,0.3241906707469941,0.0,0.7228158177058339,0.0,0.47313193468400416,0.0,0.6349017926773337
CPI_bt,300,4.1270599365234375,-0.2953978392706076,0.0,2.8879576110629182e-05,0.0,0.03775979557240476,0.0,0.8308537023730258,0.0,1.7975529400634795e-06,0.0,0.9972452945020882,0.0,0.9996784837583749,0.0,0.12822688750383887,0.0,0.942723688857894,0.0,0.6180414743079982,0.0,0.8924934851617828,0.0,1.3978785962039076e-05,0.0,0.3445374815774727,0.0,0.3187581934459557,0.0,0.8990953702340462,0.0,0.004883908386959469,0.0,0.9998597022995831,0.0,0.9562136111250854,0.0,0.633683008212168,0.0,0.8198310199006376,0.0,0.34440376225973507,0.0,0.7641001848350517,0.0,0.9991807018559437,0.0,0.9427622763425629,0.0,0.36029358688893337,0.0,0.9996508601312263,1.0,2.776684469440253e-08,0.0,0.7684917196288351,0.0,0.00033428606431868134,0.0,0.9979072056975093,0.0,0.018055483860115618,0.0,0.9999999998442465,0.0,0.9201540302293965,0.0,1.770505076062525e-05,0.0,0.6516417271979246,0.0,0.9867370750380846,0.0,0.5356757981789819,0.0,0.030432664176338085,0.0,0.9999064546168343,0.0,0.9999533087616559,0.0,0.8322451615115916,0.0,0.4215686120670817,0.0,0.04347830004266143,0.0,0.9273205097209771,0.0,0.9986865448128908,0.0,0.998221454402363,0.0,0.01584385542503381,0.0,0.012012825376993556,0.0,0.0013988350833352371,0.0,0.9340977019097874,0.0,0.29198965809935906
CPI_sqd,300,4.124942064285278,-0.2953978392706076,0.0,0.21846896380020808,0.0,2.3334715264348086e-103,0.0,4.0377695261531e-06,0.0,9.382141655809806e-66,0.0,1.0,0.0,0.9999999999999384,0.0,2.2863764746356813e-232,0.0,0.9999999990823114,0.0,0.9999999999526834,0.0,0.8495282331949396,0.0,1.405414683131389e-62,0.0,2.8191582318199947e-61,0.0,1.3627217880135904e-61,0.0,0.9999997459553854,0.0,5.053548285075569e-13,0.0,1.0,0.0,0.31748033003905185,0.0,1.689223934155478e-13,0.0,3.4897907556992586e-30,0.0,3.434658555192604e-189,0.0,1.484126586313665e-23,0.0,1.0,0.0,1.0,0.0,1.626088898767265e-15,0.0,1.0,1.0,1.1944811011277961e-43,0.0,0.9999868811821147,0.0,0.9999971375360854,0.0,2.1437466326346197e-116,0.0,8.188580056926414e-218,0.0,1.0,0.0,0.9999999985674931,0.0,9.565454585194162e-92,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.9985723056820581,0.0,0.22304289771567187,0.0,1.0,0.0,1.0,0.0,0.9820023207180859,0.0,0.2478070385368661,0.0,1.0,0.0,1.0,0.0,2.4250937611741272e-05,0.0,0.05663715718653196,0.0,2.6328245555044894e-68,0.0,0.5158009302968477,0.0,3.633564280076699e-18,0.0,3.2875358766681754e-13
S-CPI,300,4.106340646743774,-0.2953978392706076,0.0,0.3992120280484718,0.0,0.20107613726699963,0.0,0.09194701895358215,0.0,0.1419987885570103,0.0,0.925973224529936,0.0,0.8818305265111714,0.0,0.46736031497271385,0.0,0.9514147289530657,0.0,0.5239617433330336,0.0,0.726889677099685,0.0,0.31278746325821793,0.0,0.2877829270204206,0.0,0.5433754082506336,0.0,0.8459784675551003,0.0,0.10567154225798614,0.0,0.9443254724223543,0.0,0.8103061432565329,0.0,0.5549783771991588,0.0,0.48887908724439494,0.0,0.26567354814268174,0.0,0.5053344331348006,0.0,0.9837397971460233,0.0,0.9516551581649815,0.0,0.5628797588710659,0.0,0.9466458594594104,1.0,0.02522512904488213,0.0,0.7190115658829707,0.0,0.8214292107660207,0.0,0.7737515404734422,0.0,0.35713718989482324,0.0,0.9952096443079391,0.0,0.6877011747052768,0.0,0.11122132560746045,0.0,0.846907940611469,0.0,0.9294815271119223,0.0,0.7591023878876757,0.0,0.5346938084988082,0.0,0.6858250572722868,0.0,0.9715205827413874,0.0,0.966885999948263,0.0,0.5618481440020496,0.0,0.5782406561632816,0.0,0.9303556338352146,0.0,0.7926002055006623,0.0,0.5832002898926124,0.0,0.3879452039101502,0.0,0.22041639682942132,0.0,0.558003582946614,0.0,0.5410657029754132,0.0,0.5013158494288099
S-CPI_sqrt,300,4.112251043319702,-0.2953978392706076,0.0,0.4945692342846375,0.0,0.4450893687694947,0.0,0.3867820859141751,0.0,0.3543352898631474,0.0,0.7137728670004205,0.0,0.6757964286720344,0.0,0.46140398693120027,0.0,0.6391026487730705,0.0,0.5418424100153082,0.0,0.6153476232978302,0.0,0.4557308128923174,0.0,0.5006090578573867,0.0,0.46449555225426054,0.0,0.5986682444551,0.0,0.35534393334376657,0.0,0.5386094543867785,0.0,0.5808052150323763,0.0,0.5783766626571754,0.0,0.4903726939867886,0.0,0.48373669883988596,0.0,0.4769267418655324,0.0,0.8515008900691341,0.0,0.6493144604278,0.0,0.47438429598346743,0.0,0.6119361226580662,1.0,0.309670104478392,0.0,0.5799610364922686,0.0,0.5963640008852752,0.0,0.5379088986844374,0.0,0.4393796458938571,0.0,0.8588133328876677,0.0,0.5040631907108177,0.0,0.3616630475995747,0.0,0.6020034484767981,0.0,0.6467589803686215,0.0,0.5948979507610029,0.0,0.5034309396530242,0.0,0.6434013600475615,0.0,0.7115251947491733,0.0,0.6516388997313722,0.0,0.49901062935096574,0.0,0.5697568402955394,0.0,0.6905533569687553,0.0,0.5927929354594828,0.0,0.5817068557457483,0.0,0.47228050899055435,0.0,0.3223480481658252,0.0,0.6063849349016753,0.0,0.5205043213250113,0.0,0.4570836727024042
S-CPI_n,300,4.110646963119507,-0.2953978392706076,0.0,0.47832396841765984,0.0,0.357538904443608,0.0,0.25578379183749195,0.0,0.20666056933172955,0.0,0.9207233376049712,0.0,0.8674547052697266,0.0,0.6113455260261732,0.0,0.7710630001873838,0.0,0.5962946423342742,0.0,0.5662410258701457,0.0,0.37657193481331164,0.0,0.22189856864293933,0.0,0.5423485362544719,0.0,0.52039120452162,0.0,0.21893099563150503,0.0,0.869775400072607,0.0,0.6681430778025192,0.0,0.7899995988878783,0.0,0.5842581699270158,0.0,0.3834632607356613,0.0,0.3678584392879416,0.0,0.8815664784825211,0.0,0.9264364134699613,0.0,0.49353770483030146,0.0,0.9160485778665974,1.0,0.16819881424461325,0.0,0.617235147752273,0.0,0.6079502127928621,0.0,0.5318480656887852,0.0,0.36469140326297406,0.0,0.9852464964310054,0.0,0.6339169777848677,0.0,0.24077506820810057,0.0,0.6255132643304522,0.0,0.9238634348871273,0.0,0.5876388608032991,0.0,0.5435115593232512,0.0,0.8153360790164754,0.0,0.8522778633782444,0.0,0.892930540623803,0.0,0.3742035070680729,0.0,0.613145412027263,0.0,0.924253130056066,0.0,0.83393578073929,0.0,0.5254701123869437,0.0,0.42277355207904765,0.0,0.1692784389072179,0.0,0.5154867688611667,0.0,0.62616175158331,0.0,0.34162614427968024
S-CPI_bt,300,4.299089670181274,-0.2953978392706076,0.0,0.6104602023481238,0.0,0.06538126793539831,0.0,0.012845164624329615,0.0,0.00010596554422649984,0.0,0.999999910389836,0.0,0.9999998000139118,0.0,0.1859839770767457,0.0,0.9999997002495143,0.0,0.9725192992069129,0.0,0.44516681221989796,0.0,0.4044285882070725,0.0,0.0672055853513029,0.0,0.2725771394771058,0.0,0.5275383399418687,0.0,0.0019814463206902573,0.0,0.9969378203925375,0.0,0.9877805138609443,0.0,0.9922535509468122,0.0,0.9669838573464822,0.0,0.08508402157893397,0.0,0.4916066710006358,0.0,0.9999999999999682,0.0,0.9994274795237132,0.0,0.5766696080590198,0.0,0.999999819321417,1.0,0.006993931525010189,0.0,0.9448628422669082,0.0,0.9908689669685149,0.0,0.4433722338271234,0.0,0.004168858545245089,0.0,1.0,0.0,0.472743721350453,0.0,0.022122579564394167,0.0,0.9174225456180594,0.0,0.9999999624142253,0.0,0.864092901874375,0.0,0.7460356464490757,0.0,0.9926897117183484,0.0,0.9999999999937871,0.0,0.9999898089405953,0.0,0.6708313529777405,0.0,0.9925639239585898,0.0,0.9999992850972776,0.0,0.9996249254374837,0.0,0.7731124542631765,0.0,0.9390606303239956,0.0,1.0264617512234636e-10,0.0,0.9948900410122801,0.0,0.4019022858443308,0.0,0.314215509296329
