method,n,tr_time,r2_test,tr_V0,pval0,tr_V1,pval1,tr_V2,pval2,tr_V3,pval3,tr_V4,pval4,tr_V5,pval5,tr_V6,pval6,tr_V7,pval7,tr_V8,pval8,tr_V9,pval9,tr_V10,pval10,tr_V11,pval11,tr_V12,pval12,tr_V13,pval13,tr_V14,pval14,tr_V15,pval15,tr_V16,pval16,tr_V17,pval17,tr_V18,pval18,tr_V19,pval19,tr_V20,pval20,tr_V21,pval21,tr_V22,pval22,tr_V23,pval23,tr_V24,pval24,tr_V25,pval25,tr_V26,pval26,tr_V27,pval27,tr_V28,pval28,tr_V29,pval29,tr_V30,pval30,tr_V31,pval31,tr_V32,pval32,tr_V33,pval33,tr_V34,pval34,tr_V35,pval35,tr_V36,pval36,tr_V37,pval37,tr_V38,pval38,tr_V39,pval39,tr_V40,pval40,tr_V41,pval41,tr_V42,pval42,tr_V43,pval43,tr_V44,pval44,tr_V45,pval45,tr_V46,pval46,tr_V47,pval47,tr_V48,pval48,tr_V49,pval49
LOCO-W,300,143.6422200202942,0.11207820124268986,0.0,0.11997775816417289,0.0,0.34601778431607444,0.0,0.030995850432572025,0.0,0.9254133063582878,0.0,0.4872112274809791,0.0,0.1901737974982527,0.0,0.9954542312478761,0.0,0.23776821832105988,0.0,0.9116269818593709,0.0,0.8759361232233298,0.0,0.7363860132026311,0.0,0.5231224288887955,0.0,0.6060311958583825,0.0,0.22386123073406983,0.0,0.010492781477220992,0.0,0.5891514390439616,0.0,0.01075640972997538,0.0,0.18370625276321695,0.0,0.12303660557289042,0.0,0.4865407165626595,0.0,0.7068730925546509,0.0,0.6238126173746799,0.0,0.9862979766819138,0.0,0.7446732596510716,0.0,0.14429685525434643,0.0,0.05782975412448532,0.0,0.25237708361003164,0.0,0.19000825574697267,0.0,0.946548721563451,0.0,0.8344220233679396,0.0,0.1147739522034179,0.0,0.14443501588698138,0.0,0.6351823894990841,0.0,0.2464643043968614,1.0,0.29743425372006194,0.0,0.13746638675109568,0.0,0.4614498352696358,0.0,0.4166738973457714,0.0,0.003295117882098908,0.0,0.6275987939133215,0.0,0.3100593712690557,0.0,0.860655113752399,0.0,0.19204195237824084,0.0,0.9297831433453316,0.0,0.742241544373845,0.0,0.7008687398720777,0.0,0.0736584578543591,0.0,0.9422723647718043,0.0,0.184424470750997,0.0,0.6273630070668557
CPI,300,6.623089790344238,0.11207820124268986,0.0,0.10908569952654451,0.0,0.8460478556496399,0.0,0.9840022773807545,0.0,0.7613455675561436,0.0,0.9660532050307007,0.0,0.1914108499328307,0.0,0.13793949517552673,0.0,0.8343895126511859,0.0,0.46216572808479744,0.0,0.6275950269897458,0.0,0.790154808334269,0.0,0.21788797597637277,0.0,0.12925617165271114,0.0,0.9045675970307401,0.0,0.7862325968207522,0.0,0.8955454045700886,0.0,0.7276917682105952,0.0,0.5731121667196731,0.0,0.2988486957213471,0.0,0.5144191076382786,0.0,0.20841927287082568,0.0,0.9567255529119847,0.0,0.8014101056870517,0.0,0.8648071491263103,0.0,0.7300186546103193,0.0,0.27498586247679047,0.0,0.08944195474724609,0.0,0.2318986027810609,0.0,0.8903146974095901,0.0,0.8091999897874311,0.0,0.10582116242928385,0.0,0.7901766317477092,0.0,0.12875440054877907,0.0,0.6256988105893565,1.0,0.13032143973932586,0.0,0.9004649574281693,0.0,0.7306107397757821,0.0,0.5910337365337316,0.0,0.05914094600731269,0.0,0.5087710397613914,0.0,0.7915944127910701,0.0,0.5738283694470422,0.0,0.11548679665450373,0.0,0.8812858304110622,0.0,0.25382798588047134,0.0,0.9088316799673264,0.0,0.9590047278674295,0.0,0.37926064668720266,0.0,0.4315109304862789,0.0,0.5056016599196097
CPI_sqrt,300,6.6356024742126465,0.11207820124268986,0.0,0.49778638917141643,0.0,0.5008866533152481,0.0,0.5310027187012056,0.0,0.4905372227433639,0.0,0.5497092683050935,0.0,0.5031183902378112,0.0,0.4734482042788132,0.0,0.5092567123324315,0.0,0.5062920995932381,0.0,0.512840487541047,0.0,0.4955295512888702,0.0,0.5010989615280734,0.0,0.47215647164853786,0.0,0.5282056465179832,0.0,0.5056779704554303,0.0,0.525265866056746,0.0,0.4419489799259193,0.0,0.5143138033289522,0.0,0.49024512397418324,0.0,0.5491389991790375,0.0,0.48542906320305884,0.0,0.5571519417025828,0.0,0.5236733860944565,0.0,0.5168971076971558,0.0,0.5379957215781036,0.0,0.47144933470964384,0.0,0.47798511447828884,0.0,0.4957001552914258,0.0,0.5460945511962184,0.0,0.48410302792706617,0.0,0.48561123811790474,0.0,0.4961677706270263,0.0,0.48301248931471774,0.0,0.5018985738822366,1.0,0.246606419286789,0.0,0.500307066027699,0.0,0.5094290729033636,0.0,0.48368240680814334,0.0,0.49443989846778535,0.0,0.49601492711007944,0.0,0.5168271856016399,0.0,0.49406422051705123,0.0,0.5028411604076988,0.0,0.5087884640277982,0.0,0.4788648686605758,0.0,0.5323384438647093,0.0,0.5170362615835375,0.0,0.5234371601698365,0.0,0.49831753263583206,0.0,0.5103284571445867
CPI_n,300,6.637367486953735,0.11207820124268986,0.0,0.36079493006350666,0.0,0.42278960689595646,0.0,0.6274620107565937,0.0,0.3454237278703046,0.0,0.6831810946358605,0.0,0.6363532394215278,0.0,0.3413984212179768,0.0,0.3597731293614347,0.0,0.494098445656401,0.0,0.5490937050797707,0.0,0.40266390944728114,0.0,0.5525564336026978,0.0,0.38928681121849307,0.0,0.5944909268905036,0.0,0.5805054068210037,0.0,0.5334927874149604,0.0,0.5219001495134892,0.0,0.3800433330510409,0.0,0.5439332205404777,0.0,0.44861293082564735,0.0,0.3329879494073754,0.0,0.7139291559735165,0.0,0.6493416139439799,0.0,0.4977471663450484,0.0,0.6045784917789624,0.0,0.5736809479403082,0.0,0.2946009736115917,0.0,0.5227053959563739,0.0,0.6430942017004346,0.0,0.4390299077487402,0.0,0.5460369189889791,0.0,0.5840926313566605,0.0,0.4489662451145875,0.0,0.6604019509664786,1.0,0.05888831236500593,0.0,0.5999238749981244,0.0,0.5918324496084093,0.0,0.2946025991910849,0.0,0.5328898904625766,0.0,0.40362835298378985,0.0,0.6510187559274222,0.0,0.5708555550448084,0.0,0.6152453232010342,0.0,0.7302494596355864,0.0,0.5284658370421643,0.0,0.410874295660711,0.0,0.6003560254797895,0.0,0.4863323109044369,0.0,0.359352646236702,0.0,0.47191886091493096
CPI_bt,300,6.823319673538208,0.11207820124268986,0.0,0.17966522471780788,0.0,0.44720091313712884,0.0,0.7428124330918298,0.0,0.6846529653510861,0.0,0.9996519647840397,0.0,0.5535831075671696,0.0,0.21464832656273464,0.0,0.256551461150062,0.0,0.4334681860929789,0.0,0.48924494811148217,0.0,0.634097785579202,0.0,0.4007963110865171,0.0,0.45421623529605853,0.0,0.4709208704639356,0.0,0.452768001422463,0.0,0.6721082027383138,0.0,0.25963684436168866,0.0,0.29321252851047164,0.0,0.5386075027325739,0.0,0.8444918691295542,0.0,0.07589899450311716,0.0,0.9123595949646613,0.0,0.6041506867701841,0.0,0.44584588845782863,0.0,0.5309022041383891,0.0,0.48140177262886075,0.0,0.4885799711259443,0.0,0.039486120517402655,0.0,0.7669913644260831,0.0,0.40883780909695183,0.0,0.5983732306105431,0.0,0.7195225767462299,0.0,0.5951810878127757,0.0,0.669719221074428,1.0,1.7371107013686269e-07,0.0,0.7031686585808676,0.0,0.36018695642573195,0.0,0.6114637820430117,0.0,0.27850588299307366,0.0,0.5083764789107212,0.0,0.621035481675691,0.0,0.4377817207592164,0.0,0.5879511022458245,0.0,0.9963164997519028,0.0,0.34269144279498387,0.0,0.6970982920446975,0.0,0.6016659098475794,0.0,0.5161213296956093,0.0,0.3773323578337929,0.0,0.4795578994022229
CPI_sqd,300,6.826948642730713,0.11207820124268986,0.0,0.9983555591278548,0.0,9.4427585550356e-10,0.0,5.713651802406726e-43,0.0,0.9746995297242993,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.00620094914044865,0.0,3.444601862561663e-151,0.0,1.0,0.0,2.23885946428574e-138,0.0,8.621945887420433e-272,0.0,0.3511225906141574,0.0,1.0,0.0,0.9991096920419492,0.0,1.0,0.0,5.3866250467813995e-12,0.0,1.0,0.0,1.110564744263153e-102,0.0,1.7231663746651977e-09,0.0,3.2366674015854906e-30,0.0,1.0,0.0,1.0,0.0,1.6828362339420966e-33,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.610077095882108e-106,0.0,0.0002986505418447107,0.0,1.0,0.0,0.0,0.0,1.3924199147839363e-16,1.0,3.773473538292771e-07,0.0,0.4906605750197653,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.9999999999999968,0.0,4.666280151557871e-114,0.0,1.0,0.0,2.4540955768734102e-194,0.0,2.7652342956085266e-98,0.0,1.0,0.0,1.0,0.0,6.875565334657516e-112,0.0,2.3214395513350172e-83
S-CPI,300,18.951395273208618,0.11207820124268986,0.0,0.2045235481939391,0.0,0.6484058343408636,0.0,0.799152631637666,0.0,0.7402805259572521,0.0,0.9801292309796586,0.0,0.6661616879591914,0.0,0.0783618245424745,0.0,0.4704880754755804,0.0,0.3461239881737708,0.0,0.8175216789005977,0.0,0.2689980619245709,0.0,0.38451343154290063,0.0,0.39710031320212225,0.0,0.8304823168808295,0.0,0.23134870764726967,0.0,0.9444324253123448,0.0,0.24130759923847273,0.0,0.697559958770069,0.0,0.4088332534544946,0.0,0.7643209379514735,0.0,0.36326994232520815,0.0,0.97272895045808,0.0,0.8396105275078796,0.0,0.4668363343073381,0.0,0.9087890536685842,0.0,0.3315431446140196,0.0,0.11964843169257344,0.0,0.5411302259689987,0.0,0.8711008759256029,0.0,0.2652465658499335,0.0,0.36527295514457525,0.0,0.7929230141173211,0.0,0.5132319032822682,0.0,0.910457981460495,1.0,0.7181394342757088,0.0,0.6751869954889511,0.0,0.6769237451730012,0.0,0.3822095199567245,0.0,0.25196784312707055,0.0,0.4143073949269386,0.0,0.8197270863471671,0.0,0.4330592465437731,0.0,0.5492924432470189,0.0,0.8154423463903312,0.0,0.0472938166512141,0.0,0.9212195908027428,0.0,0.9422178325103227,0.0,0.7710822962726236,0.0,0.4195980639479069,0.0,0.874446914158999
S-CPI_sqrt,300,18.98289704322815,0.11207820124268986,0.0,0.4725968398059515,0.0,0.49693174280594604,0.0,0.5286516538129794,0.0,0.5151187215373852,0.0,0.6245298255214697,0.0,0.49368576236310135,0.0,0.46770036273022036,0.0,0.4969849583946435,0.0,0.48226256659036326,0.0,0.5281356255267625,0.0,0.4790454350447242,0.0,0.4928790998036985,0.0,0.48031992275458657,0.0,0.5253675766676736,0.0,0.4881140605451145,0.0,0.5198045497026736,0.0,0.47858440786654727,0.0,0.5280681952504303,0.0,0.49298591380324447,0.0,0.5556076080984191,0.0,0.4590340711493753,0.0,0.6117737150918341,0.0,0.5188295839869087,0.0,0.4874280700289342,0.0,0.5498357313763303,0.0,0.4949634024250102,0.0,0.4733551821530011,0.0,0.5002468541772547,0.0,0.5659136403439071,0.0,0.47496417958217035,0.0,0.49481234074258507,0.0,0.5170943296963846,0.0,0.5024743581282117,0.0,0.5358377030929006,1.0,0.39011494292243437,0.0,0.5394075543031197,0.0,0.5278830671259053,0.0,0.49714779952940136,0.0,0.49288696706025403,0.0,0.5061417730620815,0.0,0.5428624721349631,0.0,0.49453101279520395,0.0,0.5041117230287128,0.0,0.5998826891104543,0.0,0.48940819421937043,0.0,0.549506940312712,0.0,0.5124694886423481,0.0,0.5102014104805268,0.0,0.48135203977329954,0.0,0.5149602712200766
S-CPI_n,300,18.965579748153687,0.11207820124268986,0.0,0.49771333499275433,0.0,0.4872407066552436,0.0,0.6099023224411578,0.0,0.5862747168219209,0.0,0.8753396657681702,0.0,0.5527595499836908,0.0,0.26496461528142473,0.0,0.4285544824251894,0.0,0.4910880574206396,0.0,0.6604975191356842,0.0,0.3844063561527499,0.0,0.4450389265850286,0.0,0.4234403735838345,0.0,0.6648897271743228,0.0,0.4488344828953277,0.0,0.6207201929463071,0.0,0.5063011025955071,0.0,0.6423618885684382,0.0,0.568420755310878,0.0,0.8141720943967011,0.0,0.45101041104159884,0.0,0.8965578732830619,0.0,0.6154373314485412,0.0,0.44852861770934144,0.0,0.6900208314438624,0.0,0.4105420837632874,0.0,0.35131396071742205,0.0,0.5067931659821107,0.0,0.7565941406060388,0.0,0.43940340188019156,0.0,0.45684049166508267,0.0,0.5899104909474774,0.0,0.4839338629960531,0.0,0.7485573598272252,1.0,0.3811842732760131,0.0,0.7487852545090803,0.0,0.7326660064488839,0.0,0.4513558619960868,0.0,0.5035172205492402,0.0,0.4967367044862995,0.0,0.7428749282962714,0.0,0.39258080866640843,0.0,0.5448741260189224,0.0,0.7317918953359566,0.0,0.3750056235646655,0.0,0.7232516013672188,0.0,0.6584966919879705,0.0,0.6081788854273351,0.0,0.4539609985208897,0.0,0.7553377000167281
S-CPI_bt,300,19.165954113006592,0.11207820124268986,0.0,0.03948988171776483,0.0,0.515608352113063,0.0,0.7179137390362422,0.0,0.6234861843579927,0.0,0.9962714813614687,0.0,0.5945745942166203,0.0,0.18480736973512513,0.0,0.10114549263322081,0.0,0.345542229629817,0.0,0.5387391377701634,0.0,0.42924236921336156,0.0,0.4824700732257596,0.0,0.4371885294946354,0.0,0.6955761649457309,0.0,0.4343192364198875,0.0,0.7580375011760772,0.0,0.378646191421641,0.0,0.491619403845963,0.0,0.5617520988436667,0.0,0.8381987582097983,0.0,0.19460140000307874,0.0,0.9785026521832124,0.0,0.70880301706247,0.0,0.5495885051728077,0.0,0.8042954128018862,0.0,0.3214699750506663,0.0,0.2389823059862088,0.0,0.397826835583878,0.0,0.9342178184090016,0.0,0.37586577398708376,0.0,0.4638279193460937,0.0,0.7219357451946846,0.0,0.4096213366731299,0.0,0.7997215364586668,1.0,0.002710579118862381,0.0,0.8825995148805981,0.0,0.5619860338523288,0.0,0.3418765636944668,0.0,0.3660857548078592,0.0,0.5096350256231619,0.0,0.7858028994944082,0.0,0.44882867845386043,0.0,0.49468654120295624,0.0,0.9979279417389261,0.0,0.39759765087064897,0.0,0.9361436132491723,0.0,0.6581644800638764,0.0,0.6266497785632343,0.0,0.3704949275937246,0.0,0.7654221204033013
