method,n,tr_time,r2_test,tr_V0,pval0,tr_V1,pval1,tr_V2,pval2,tr_V3,pval3,tr_V4,pval4,tr_V5,pval5,tr_V6,pval6,tr_V7,pval7,tr_V8,pval8,tr_V9,pval9,tr_V10,pval10,tr_V11,pval11,tr_V12,pval12,tr_V13,pval13,tr_V14,pval14,tr_V15,pval15,tr_V16,pval16,tr_V17,pval17,tr_V18,pval18,tr_V19,pval19,tr_V20,pval20,tr_V21,pval21,tr_V22,pval22,tr_V23,pval23,tr_V24,pval24,tr_V25,pval25,tr_V26,pval26,tr_V27,pval27,tr_V28,pval28,tr_V29,pval29,tr_V30,pval30,tr_V31,pval31,tr_V32,pval32,tr_V33,pval33,tr_V34,pval34,tr_V35,pval35,tr_V36,pval36,tr_V37,pval37,tr_V38,pval38,tr_V39,pval39,tr_V40,pval40,tr_V41,pval41,tr_V42,pval42,tr_V43,pval43,tr_V44,pval44,tr_V45,pval45,tr_V46,pval46,tr_V47,pval47,tr_V48,pval48,tr_V49,pval49
LOCO-W,300,964.3685805797577,0.001619692305920184,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999985843942858,0.0,0.23936899002419254,0.0,4.507426654143387e-10,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.2484527922573818e-07,0.0,1.0,0.0,1.0,0.0,0.9999977545581661,0.0,0.0,1.0,1.3527830066140112e-06,0.0,1.9984014443252818e-14,0.0,1.0,0.0,0.005077034185140716,0.0,0.4176975913793204,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.6881778318702402,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.037465720846049155,0.0,0.9999999912842296,0.0,0.01415523357238302,0.0,0.00045501756687071904,0.0,0.0,0.0,0.0,0.0,0.03777795276413831,0.0,0.0,0.0,1.0,0.0,2.1094237467877974e-15,0.0,0.0,0.0,1.4656821556213728e-05,0.0,0.39627405937150184,0.0,1.959349212110606e-05,0.0,1.0
CPI,300,18.070720434188843,0.001619692305920184,0.0,0.3735552796116269,0.0,0.07067896471422296,0.0,0.6241812845056578,0.0,0.8020544092278473,0.0,0.9272709992100794,0.0,0.5300619064930269,0.0,0.11440042616058527,0.0,0.9483210556720759,0.0,0.6270179359483659,0.0,0.43529785772020935,0.0,0.12331905080794298,0.0,0.08182957655419693,0.0,0.0515198748732013,0.0,0.872621872432044,0.0,0.27719025540221043,0.0,0.04019577518929422,0.0,0.14227915993703472,0.0,0.11055110699954601,0.0,0.7802252156462421,0.0,0.31190734121866404,1.0,0.1397707890486931,0.0,0.4379057960555299,0.0,0.7951574488028117,0.0,0.6135647874472958,0.0,0.1444302849893767,0.0,0.24630574068886973,0.0,0.23590273696684871,0.0,0.038574028057132045,0.0,0.43869802409199393,0.0,0.5325861750270353,0.0,0.48407348126051924,0.0,0.8517986041596566,0.0,0.5307897797229565,0.0,0.6671781807377496,0.0,0.14827317347735358,0.0,0.6922328599639942,0.0,0.9640407277741836,0.0,0.06993724022304909,0.0,0.86181223554106,0.0,0.2533748189490195,0.0,0.7298538537366862,0.0,0.7834136913574083,0.0,0.14791657777200845,0.0,0.21252798288273067,0.0,0.12182408267798023,0.0,0.2448364518195545,0.0,0.6156130409080726,0.0,0.8359485015012043,0.0,0.23666722177435245,0.0,0.0854490912890356
CPI_sqrt,300,18.186583518981934,0.001619692305920184,0.0,0.502118689085243,0.0,0.5040565004116131,0.0,0.5128614864230994,0.0,0.4978343886748125,0.0,0.5124329035251933,0.0,0.5117598063177787,0.0,0.4889116313694562,0.0,0.5016692244635194,0.0,0.5041504634363315,0.0,0.45117783786222826,0.0,0.47833202250387663,0.0,0.4848698291232185,0.0,0.490614434861898,0.0,0.5310933637106887,0.0,0.4989516200478747,0.0,0.48175696226431686,0.0,0.5008766778668516,0.0,0.4979371025692644,0.0,0.49966726671668066,0.0,0.48679290112154205,1.0,0.5332976311233438,0.0,0.4648714333194566,0.0,0.5073361379836085,0.0,0.5291754950536334,0.0,0.48165531654303156,0.0,0.503595154184961,0.0,0.46113214935606534,0.0,0.496203775743524,0.0,0.5018973137978147,0.0,0.49653418146027567,0.0,0.4977028856615135,0.0,0.5113871372144844,0.0,0.5038215957347703,0.0,0.514292330136753,0.0,0.49964600130237646,0.0,0.4874720552901029,0.0,0.5436091580989574,0.0,0.4725161557191204,0.0,0.5078125612888211,0.0,0.48116125030404,0.0,0.508680075513972,0.0,0.5106510223059078,0.0,0.4881496503901717,0.0,0.49755688753174765,0.0,0.5039030974036282,0.0,0.4287908603668179,0.0,0.5042957221775712,0.0,0.4937985284173133,0.0,0.5054736107974199,0.0,0.45596547116687575
CPI_n,300,18.159254550933838,0.001619692305920184,0.0,0.48525175090284167,0.0,0.5640396363893727,0.0,0.4060038233984639,0.0,0.6198299221413696,0.0,0.5532746429383245,0.0,0.47384367724529114,0.0,0.5895192706019806,0.0,0.7121702274693451,0.0,0.40321719423333,0.0,0.3449976914239997,0.0,0.5501423140986299,0.0,0.44458718086596766,0.0,0.47232719129599404,0.0,0.6912223697851676,0.0,0.44379913376333313,0.0,0.3904322749497966,0.0,0.5100340620374996,0.0,0.6836762797526241,0.0,0.5048917038076685,0.0,0.2629193433482512,1.0,0.622071296808485,0.0,0.4133703456515277,0.0,0.5684023330304705,0.0,0.3795489686728196,0.0,0.5418859322011447,0.0,0.5960960876222935,0.0,0.26954665416353285,0.0,0.5633070345640988,0.0,0.45521344375576583,0.0,0.5887250680082158,0.0,0.47140076239963913,0.0,0.6473301325796817,0.0,0.5569555843238366,0.0,0.4402634705911275,0.0,0.2108926759095645,0.0,0.41638382218740205,0.0,0.7143143647195723,0.0,0.2957163085180884,0.0,0.5442313435063307,0.0,0.43255591508392527,0.0,0.5041431686673021,0.0,0.6863768926025762,0.0,0.33677485438202326,0.0,0.6094955999205509,0.0,0.5595583197819641,0.0,0.5896895177952846,0.0,0.5825366773907722,0.0,0.5957907958622101,0.0,0.28427418466030185,0.0,0.2739822448638178
CPI_bt,300,18.38179039955139,0.001619692305920184,0.0,0.5109978199060372,0.0,0.7606155807064137,0.0,0.40363449202627516,0.0,0.6576270811392462,0.0,0.5841402849899261,0.0,0.6121007543868722,0.0,0.48571304489174705,0.0,0.8042821042141075,0.0,0.4707800048883702,0.0,0.24373330791337544,0.0,0.5755001619525169,0.0,0.5776019880166776,0.0,0.4530933432970261,0.0,0.5728979310992931,0.0,0.5028392263312206,0.0,0.41911034513697004,0.0,0.5750494416334134,0.0,0.3684418933587523,0.0,0.6366346036214684,0.0,0.18438337599729215,1.0,0.8770378029214692,0.0,0.1518028297105083,0.0,0.6250421063749744,0.0,0.5640104232954536,0.0,0.35482091540123517,0.0,0.34684489748374303,0.0,0.20032743167442696,0.0,0.249988992133941,0.0,0.47443048667697785,0.0,0.5644602593558982,0.0,0.4697825996541062,0.0,0.5386062856136574,0.0,0.5480801630250591,0.0,0.6965582163657853,0.0,0.47529686383354297,0.0,0.37928488386511094,0.0,0.10287010831620336,0.0,0.30243521140216634,0.0,0.4571452744052172,0.0,0.499353941299318,0.0,0.6118925501722392,0.0,0.6213238739023199,0.0,0.4193594323686386,0.0,0.3261466100581793,0.0,0.46690683080230594,0.0,0.80090128606366,0.0,0.4269345234601914,0.0,0.39126846977585755,0.0,0.2118878493736715,0.0,0.07828469905113469
CPI_sqd,300,18.37760281562805,0.001619692305920184,0.0,1.0915814137625901e-41,0.0,0.9733781317740748,0.0,1.0,0.0,0.9993504771458264,0.0,1.0,0.0,0.765799576135912,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3.894884760861122e-161,0.0,1.0,0.0,6.500396061376958e-07,0.0,1.0,0.0,0.9999999995724054,0.0,5.188489511518004e-105,0.0,0.9999977275694534,0.0,4.5987258935150175e-125,0.0,1.1566611163606255e-08,0.0,6.873157030445838e-87,1.0,1.2556552592451596e-48,0.0,0.0,0.0,1.5215398399482137e-71,0.0,1.0,0.0,5.728833634820554e-19,0.0,0.9999963920452571,0.0,2.4308603409938813e-25,0.0,4.316516196513315e-55,0.0,3.030701712353502e-45,0.0,1.0,0.0,1.0,0.0,0.9876041293982041,0.0,4.6940187629502475e-18,0.0,2.9296443271183737e-10,0.0,1.0,0.0,1.3046532089403326e-190,0.0,1.0,0.0,0.0,0.0,3.3080740126339824e-78,0.0,0.9996520408782322,0.0,1.0,0.0,1.0,0.0,4.984709682878423e-145,0.0,2.7034704077557985e-117,0.0,1.0,0.0,0.5289327858299909,0.0,1.0,0.0,0.9999999999428025,0.0,1.0,0.0,7.434600138145262e-284
S-CPI,300,31.394076585769653,0.001619692305920184,0.0,0.7941972960777333,0.0,0.38435466156283415,0.0,0.2966595842801494,0.0,0.7826077959302356,0.0,0.995042971852626,0.0,0.8013278291657036,0.0,0.49747193785766114,0.0,0.9389809593208431,0.0,0.5711322362557212,0.0,0.555645243545117,0.0,0.31800177841139987,0.0,0.211380092646192,0.0,0.1470720432103319,0.0,0.7707834682051692,0.0,0.4842234524760184,0.0,0.3796588416752087,0.0,0.3767346028332649,0.0,0.22398139488922947,0.0,0.6756647159057815,0.0,0.08560294504840349,1.0,0.6759570548954629,0.0,0.009263395248744661,0.0,0.6570303037658137,0.0,0.8398584464152712,0.0,0.1544470464691715,0.0,0.6557178415770466,0.0,0.09939315244298258,0.0,0.019521405901781086,0.0,0.48549663382204095,0.0,0.3677873627342094,0.0,0.83102469217546,0.0,0.9776020870994147,0.0,0.6871696316023513,0.0,0.8572090819895265,0.0,0.3068028649397548,0.0,0.12074074416597841,0.0,0.6937132704080804,0.0,0.03164373273834542,0.0,0.8402184884165886,0.0,0.28960515083448446,0.0,0.9858375048245839,0.0,0.8462652130138117,0.0,0.1966546078004625,0.0,0.45089378088659365,0.0,0.43715784424853665,0.0,0.38945745408530685,0.0,0.7298335184179934,0.0,0.19903597156347852,0.0,0.089825836967384,0.0,0.05961424061520737
S-CPI_sqrt,300,31.203094720840454,0.001619692305920184,0.0,0.5192669639442451,0.0,0.49255371043556,0.0,0.504973815320491,0.0,0.5059012479778096,0.0,0.5177176812872918,0.0,0.510972815714391,0.0,0.49068894246884665,0.0,0.5438080147299992,0.0,0.49636280536276894,0.0,0.5064768284618557,0.0,0.4895652147576946,0.0,0.5014557420672673,0.0,0.4922772808904718,0.0,0.5125906949334755,0.0,0.5087162535236478,0.0,0.5026755930086547,0.0,0.4994769210484121,0.0,0.48194391940709236,0.0,0.493242110048092,0.0,0.4570355998818506,1.0,0.5106015542884677,0.0,0.4491014271349089,0.0,0.5100708346393503,0.0,0.5261677838791698,0.0,0.4700980693834259,0.0,0.5126396497916573,0.0,0.40375049964214027,0.0,0.49112008653847433,0.0,0.49942722215972746,0.0,0.49776967844290715,0.0,0.5015342871613483,0.0,0.5325360788208571,0.0,0.5117938118887635,0.0,0.5305923760268171,0.0,0.4709409015041966,0.0,0.46313847979001854,0.0,0.5776536412101886,0.0,0.46029163593603895,0.0,0.5200172149709645,0.0,0.4947244855358545,0.0,0.5259921998623498,0.0,0.5260388672192701,0.0,0.4778393703033043,0.0,0.47201848801398943,0.0,0.4989410078800619,0.0,0.5016938627339935,0.0,0.5246167495483799,0.0,0.48159010386915196,0.0,0.446548480111657,0.0,0.444528122384006
S-CPI_n,300,31.198378801345825,0.001619692305920184,0.0,0.5540005190407848,0.0,0.4802709552886644,0.0,0.4804054087357376,0.0,0.5342938766702038,0.0,0.6060542983763558,0.0,0.568521023999877,0.0,0.5063256789540005,0.0,0.759574016869299,0.0,0.5353578716716233,0.0,0.4946757973727801,0.0,0.3954859496434665,0.0,0.5265308054590195,0.0,0.4526182562738345,0.0,0.6527770653709126,0.0,0.4920962206771141,0.0,0.41022413210787984,0.0,0.5032119659629812,0.0,0.39813350084951427,0.0,0.5356222714260211,0.0,0.19902853410342325,1.0,0.40172791753642245,0.0,0.17268532266075093,0.0,0.5162643008466145,0.0,0.4352076911328269,0.0,0.3414851169436392,0.0,0.536495478131841,0.0,0.21399645239307208,0.0,0.32938739559077274,0.0,0.46872099101289577,0.0,0.45807612379131785,0.0,0.6074927838350378,0.0,0.6118903287662159,0.0,0.4850615211996901,0.0,0.6080218585875747,0.0,0.472748686814195,0.0,0.4179763852592172,0.0,0.6503056691377536,0.0,0.2459217861549644,0.0,0.6103772272679792,0.0,0.4480878168109139,0.0,0.6485348359232456,0.0,0.6552749734780289,0.0,0.4627442950622458,0.0,0.4006597412630183,0.0,0.5244450664123439,0.0,0.39375604087704497,0.0,0.6120147770595995,0.0,0.42489634556611533,0.0,0.30477162014285175,0.0,0.19631544189624534
S-CPI_bt,300,31.42939043045044,0.001619692305920184,0.0,0.7114958861671956,0.0,0.46572454422325293,0.0,0.16394715139621518,0.0,0.6391501780635472,0.0,0.6411460671971538,0.0,0.5969670994259485,0.0,0.4821547059412011,0.0,0.7996437983396715,0.0,0.4661607635959397,0.0,0.3661066731392367,0.0,0.3752338382654966,0.0,0.3881376011986759,0.0,0.44301097170656145,0.0,0.5509060340538297,0.0,0.5826335735831166,0.0,0.4209437873756146,0.0,0.437045648978319,0.0,0.27498208047684924,0.0,0.5913587628109169,0.0,0.28517838813039087,1.0,0.5770616094780202,0.0,0.01590486009678875,0.0,0.48753629674303245,0.0,0.8713357456476978,0.0,0.3413560301567672,0.0,0.5557264127146848,0.0,0.03502130819670187,0.0,0.3592016427308987,0.0,0.4721297078480861,0.0,0.41416377158729795,0.0,0.5926129633901815,0.0,0.7129008631210264,0.0,0.5933123860942572,0.0,0.7262077111324469,0.0,0.3915402625092759,0.0,0.36895024393538345,0.0,0.7796759397562882,0.0,0.16897878895044555,0.0,0.7060320941084526,0.0,0.44446518336001184,0.0,0.6783274597794747,0.0,0.7061335492717661,0.0,0.35333343645610626,0.0,0.3757227796719588,0.0,0.48715757932879,0.0,0.3332944816049812,0.0,0.6039266404189989,0.0,0.2190848952488264,0.0,0.09677107375400851,0.0,0.04033374783987183
