method,n,tr_time,r2_test,tr_V0,pval0,tr_V1,pval1,tr_V2,pval2,tr_V3,pval3,tr_V4,pval4,tr_V5,pval5,tr_V6,pval6,tr_V7,pval7,tr_V8,pval8,tr_V9,pval9,tr_V10,pval10,tr_V11,pval11,tr_V12,pval12,tr_V13,pval13,tr_V14,pval14,tr_V15,pval15,tr_V16,pval16,tr_V17,pval17,tr_V18,pval18,tr_V19,pval19,tr_V20,pval20,tr_V21,pval21,tr_V22,pval22,tr_V23,pval23,tr_V24,pval24,tr_V25,pval25,tr_V26,pval26,tr_V27,pval27,tr_V28,pval28,tr_V29,pval29,tr_V30,pval30,tr_V31,pval31,tr_V32,pval32,tr_V33,pval33,tr_V34,pval34,tr_V35,pval35,tr_V36,pval36,tr_V37,pval37,tr_V38,pval38,tr_V39,pval39,tr_V40,pval40,tr_V41,pval41,tr_V42,pval42,tr_V43,pval43,tr_V44,pval44,tr_V45,pval45,tr_V46,pval46,tr_V47,pval47,tr_V48,pval48,tr_V49,pval49
LOCO-W,300,66.8702335357666,0.7150103132143131,0.0,0.9928262428535362,0.0,0.024033340483270327,0.0,0.8189545712720121,0.0,0.9999982797742683,0.0,0.9999451320943838,0.0,0.04046116018599755,0.0,0.9955973801368895,0.0,0.6332085310967903,0.0,0.9905198782984185,0.0,2.2956368030957464e-06,0.0,0.00011436232672445978,0.0,0.0938605524348406,0.0,1.6386524581690765e-08,0.0,0.9998280084792052,0.0,8.237024542445681e-07,0.0,0.30556293099666,0.0,0.050559576859031896,0.0,0.18563463083469345,0.0,0.9999997659803372,0.0,0.00028637139870701933,0.0,0.9993587100835525,0.0,0.9929603193552169,0.0,0.9724380562866842,0.0,0.2895224062464471,0.0,3.5583892196155986e-06,0.0,0.7632607908042222,0.0,0.9984225088552271,0.0,0.999999309593855,0.0,0.3537309179761614,0.0,0.01440178543048809,0.0,0.00011692024755194375,1.0,0.0011085068995549952,0.0,0.999939703235577,0.0,0.9997791767508372,0.0,0.9999924730309321,0.0,0.12152380860924605,0.0,0.9999956552808311,0.0,0.772144365712055,0.0,1.0291419616503816e-06,0.0,0.7047912038754429,0.0,2.0043411530501487e-07,0.0,0.19885778438412516,0.0,0.9997735449576874,0.0,0.023118553030225253,0.0,0.9955500801594274,0.0,0.8785497516340475,0.0,0.03983968639388569,0.0,0.9770480490464664,0.0,0.9996471656907266,0.0,0.9958722068452748
CPI,300,4.484650373458862,0.7150103132143131,0.0,0.4112038905337179,0.0,0.689943755853765,0.0,0.6981161904219647,0.0,0.774040782819515,0.0,0.5228331680275565,0.0,0.2599570698545567,0.0,0.0473939456375453,0.0,0.4421344929575154,0.0,0.014012950656943956,0.0,0.5464434909480038,0.0,0.9123127773702222,0.0,0.05753040031121183,0.0,0.9747485315282214,0.0,0.6640885124757825,0.0,0.31698040113570136,0.0,0.3421202340659667,0.0,0.14107826228624004,0.0,0.2250526263531618,0.0,0.3276346930544134,0.0,0.7642876587368868,0.0,0.6116549601225635,0.0,0.5644939935025398,0.0,0.6180011151503041,0.0,0.8644597493547581,0.0,0.8827609265784759,0.0,0.8519241242727909,0.0,0.9630838699707589,0.0,0.9655398451622524,0.0,0.5632958499041076,0.0,0.14953191150679018,0.0,0.5229523943468753,1.0,0.07349031316708936,0.0,0.18599922734705826,0.0,0.12327725288917901,0.0,0.21541968005445972,0.0,0.6264518585910489,0.0,0.1445944419232229,0.0,0.8780775191148502,0.0,0.15768227268550578,0.0,0.8690564630119411,0.0,0.6199904714712163,0.0,0.009006013956616855,0.0,0.7946023059841811,0.0,0.37529593991322424,0.0,0.4215482455916219,0.0,0.3955733208527116,0.0,0.1531425193238068,0.0,0.25126370451671964,0.0,0.3623575874768434,0.0,0.3626603352553573
CPI_sqrt,300,4.486369848251343,0.7150103132143131,0.0,0.5010125487598825,0.0,0.5048484681797799,0.0,0.49919484401942815,0.0,0.5074254662818851,0.0,0.5021398558186839,0.0,0.5016522822521003,0.0,0.47644268320044836,0.0,0.5034837703374806,0.0,0.4853498972464562,0.0,0.5095012622067817,0.0,0.5058760581896933,0.0,0.4823651402786095,0.0,0.5033370105051673,0.0,0.5029617628669026,0.0,0.5075944814697646,0.0,0.5021604512397507,0.0,0.4952756394239815,0.0,0.4971743104133502,0.0,0.5023251231620068,0.0,0.503397121963365,0.0,0.5084087433936292,0.0,0.500042585588051,0.0,0.4919535658605421,0.0,0.5067842044553355,0.0,0.5039015533426463,0.0,0.5053455717305531,0.0,0.5032424711829391,0.0,0.5092812805748514,0.0,0.49794148629363355,0.0,0.49134113842938243,0.0,0.4579658081607168,1.0,0.4774386682870641,0.0,0.49953425298417975,0.0,0.47403471444956,0.0,0.486261828071845,0.0,0.5011647150727876,0.0,0.4911044779638921,0.0,0.5138982496162349,0.0,0.5014918154461365,0.0,0.5118495053867659,0.0,0.4974475384330433,0.0,0.47961728012626753,0.0,0.506621640357692,0.0,0.4972315429768669,0.0,0.503869714614069,0.0,0.4951050570034704,0.0,0.5016578268593721,0.0,0.489848077587715,0.0,0.4995414683883567,0.0,0.499094468440723
CPI_n,300,4.463923692703247,0.7150103132143131,0.0,0.43723324322531304,0.0,0.5326535120757753,0.0,0.49935897189764894,0.0,0.5235570786879368,0.0,0.48201706825165824,0.0,0.5237715509687694,0.0,0.3244260951379407,0.0,0.49285241634438715,0.0,0.41547109772413593,0.0,0.5048966606710044,0.0,0.5507333718227414,0.0,0.37232986203425333,0.0,0.575362855383431,0.0,0.5207968696956258,0.0,0.5458113237062016,0.0,0.5226183831444712,0.0,0.4237217270181588,0.0,0.46957802749704414,0.0,0.484110337695148,0.0,0.547572237360958,0.0,0.6095836479473601,0.0,0.4707871040343359,0.0,0.551717125774705,0.0,0.5458123936920283,0.0,0.5232760325926957,0.0,0.5277792631128807,0.0,0.5367602958176019,0.0,0.5930532980708509,0.0,0.518622559605318,0.0,0.4970539701221948,0.0,0.4332841713859251,1.0,0.5605315829565507,0.0,0.4970569962362655,0.0,0.2962895886653729,0.0,0.4013625690358882,0.0,0.5171785940605307,0.0,0.47599007523187514,0.0,0.4706821368731545,0.0,0.5433022964801025,0.0,0.536965408943373,0.0,0.44025804190679746,0.0,0.3953282968021545,0.0,0.627537364134063,0.0,0.48915715592569575,0.0,0.47738166307872104,0.0,0.4331168580121809,0.0,0.5033230591624619,0.0,0.45186606694859044,0.0,0.46688700414494083,0.0,0.47395114944340105
CPI_bt,300,4.633235692977905,0.7150103132143131,0.0,0.5224095640499561,0.0,0.5570056141627532,0.0,0.5355181253400073,0.0,0.5047454346893139,0.0,0.47125090209759396,0.0,0.5248550827441968,0.0,0.20449906313364258,0.0,0.527344618166837,0.0,0.3771384318399541,0.0,0.4537101757507706,0.0,0.524387670986771,0.0,0.3393632091188216,0.0,0.6248109342395389,0.0,0.4650908786513998,0.0,0.4225396370841993,0.0,0.5099601826418236,0.0,0.46749538097512183,0.0,0.39057661515226905,0.0,0.5398455277630789,0.0,0.5560464157829882,0.0,0.5788637604363643,0.0,0.4952239299590348,0.0,0.4811801354821713,0.0,0.5191200585957865,0.0,0.5356737609972958,0.0,0.5402275815390885,0.0,0.4886064317106687,0.0,0.5719301088277698,0.0,0.5400057088756866,0.0,0.39413718851833374,0.0,0.4181939733509973,1.0,0.5337926196446217,0.0,0.4944007231723516,0.0,0.1499306856663109,0.0,0.4451566487558852,0.0,0.4862247233313028,0.0,0.42790861938448244,0.0,0.5533093796033823,0.0,0.579104170777836,0.0,0.4898846194244771,0.0,0.48250850600933204,0.0,0.40140077099861504,0.0,0.6602780990266423,0.0,0.5184728685558345,0.0,0.4641368241382281,0.0,0.312145961937406,0.0,0.5172302305147172,0.0,0.4298951632439386,0.0,0.45755825854555154,0.0,0.5148798391548365
CPI_sqd,300,4.641324996948242,0.7150103132143131,0.0,6.137079060490073e-13,0.0,1.0,0.0,0.999999843464917,0.0,1.0,0.0,1.193090110654328e-16,0.0,0.9957113567251015,0.0,2.664683881125581e-294,0.0,0.9980058981774772,0.0,0.0,0.0,1.0,0.0,0.9976514952355067,0.0,1.124994996798592e-180,0.0,1.0,0.0,0.9997593387707077,0.0,0.7340146879588599,0.0,0.00018799682144079522,0.0,6.517973736591043e-13,0.0,0.22515669936429394,0.0,5.330647840469113e-16,0.0,0.15672463219087485,0.0,0.9999996644952074,0.0,1.3261714200329945e-39,0.0,1.3278695877770367e-41,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.8832083070411358,0.0,1.0,0.0,0.0014470613469377913,0.0,1.0,0.0,2.132139311967035e-10,1.0,0.9987884925483693,0.0,0.5766987126132838,0.0,0.0,0.0,2.459647659523987e-07,0.0,0.1186801795989183,0.0,7.12498418579315e-60,0.0,0.9999996947448162,0.0,1.0,0.0,0.9228073153136893,0.0,4.387570723696504e-27,0.0,8.977678191368747e-227,0.0,1.0,0.0,0.4514444355554377,0.0,2.6439356312809116e-134,0.0,0.00018757256271002606,0.0,0.9999998653857248,0.0,1.705219961458341e-69,0.0,5.899537131515985e-22,0.0,0.9991329543971912
S-CPI,300,4.874427080154419,0.7150103132143131,0.0,0.31244375152961534,0.0,0.6834804713883395,0.0,0.606052530103349,0.0,0.7813629211397943,0.0,0.34421690340134825,0.0,0.8372247249271279,0.0,0.06812729235200914,0.0,0.598084223283875,0.0,0.113960684234924,0.0,0.5012911090568192,0.0,0.9868917427120945,0.0,0.008439475635618731,0.0,0.857630602103949,0.0,0.901513832485265,0.0,0.4371291003760439,0.0,0.694936150302947,0.0,0.12582491695973574,0.0,0.5766602683310592,0.0,0.4850174691530719,0.0,0.38158998552210066,0.0,0.8516519894797483,0.0,0.3976898252091099,0.0,0.31739043171006975,0.0,0.9638367571483345,0.0,0.7872790056627487,0.0,0.6757959398751254,0.0,0.943970557743147,0.0,0.9483813717599666,0.0,0.35573081100880166,0.0,0.3816355962487999,0.0,0.8012289432474786,1.0,0.353890366913064,0.0,0.24346533619787242,0.0,0.10669523491941874,0.0,0.35608316655405886,0.0,0.5099225710660487,0.0,0.13177668908263973,0.0,0.8126733456788411,0.0,0.816465747689897,0.0,0.9330512355841816,0.0,0.11847480277081923,0.0,0.012177274371452464,0.0,0.9029857677016435,0.0,0.2281892095695054,0.0,0.3463485734228303,0.0,0.26249623370028285,0.0,0.7497290045314275,0.0,0.09243409357843435,0.0,0.3523674309113145,0.0,0.29216635306513783
S-CPI_sqrt,300,4.887906551361084,0.7150103132143131,0.0,0.49471986487657815,0.0,0.5035044565167797,0.0,0.5007633829581644,0.0,0.5096532034279724,0.0,0.4979253091254471,0.0,0.5037246815627192,0.0,0.4611841917144697,0.0,0.500279833981289,0.0,0.47351244430986633,0.0,0.5003482154894999,0.0,0.5104719228482948,0.0,0.4817616884227842,0.0,0.510709027490773,0.0,0.5069973969445879,0.0,0.5025698224003635,0.0,0.49947302832068996,0.0,0.49591410830123295,0.0,0.4993331019175436,0.0,0.5025777276638296,0.0,0.500876670269606,0.0,0.5081005034311605,0.0,0.5077137465399263,0.0,0.4906969993828245,0.0,0.508216076325373,0.0,0.5036320943785217,0.0,0.5025459960142598,0.0,0.503189044297925,0.0,0.5139279911882629,0.0,0.49770725333514854,0.0,0.5026316117467328,0.0,0.5352503699158141,1.0,0.5103860041869271,0.0,0.4987042458032323,0.0,0.4641370983594218,0.0,0.48821700457632033,0.0,0.4987190976439002,0.0,0.48350838887696135,0.0,0.5061495714772835,0.0,0.5038398457326039,0.0,0.5107401690151885,0.0,0.49608139082275043,0.0,0.4748040252852862,0.0,0.5260615094923513,0.0,0.5001153898640409,0.0,0.4913017342151174,0.0,0.4939932042899607,0.0,0.5046324710299477,0.0,0.48705029562853785,0.0,0.49709846614723757,0.0,0.49929917695737214
S-CPI_n,300,4.871532201766968,0.7150103132143131,0.0,0.43479186263883696,0.0,0.535632275321569,0.0,0.45207065600789226,0.0,0.5643786322468687,0.0,0.4874842596944275,0.0,0.5224899367709058,0.0,0.2646197722118104,0.0,0.540896275567732,0.0,0.35534391373723695,0.0,0.517241070933247,0.0,0.5945523913102133,0.0,0.32444251387383066,0.0,0.6701279848631665,0.0,0.5302492709491031,0.0,0.48774626675047295,0.0,0.49813822767372284,0.0,0.439106353085851,0.0,0.5220079244138468,0.0,0.4894464700056884,0.0,0.46051773154613246,0.0,0.5918396600738066,0.0,0.5258865227549124,0.0,0.46955827202252015,0.0,0.5976041415779221,0.0,0.541222411827241,0.0,0.5402165730858723,0.0,0.5635921934088213,0.0,0.6577884417018011,0.0,0.5438361793092777,0.0,0.4746243441546258,0.0,0.6125813524774735,1.0,0.5656064629867021,0.0,0.4809267307580553,0.0,0.3038258988228698,0.0,0.5060418925547864,0.0,0.5100672642589775,0.0,0.4033375830301712,0.0,0.5323619836642662,0.0,0.5687641397012921,0.0,0.6346317274107836,0.0,0.4649311177106784,0.0,0.36877552996477897,0.0,0.6835190093601837,0.0,0.49623793187643,0.0,0.4615309501298509,0.0,0.455191573313568,0.0,0.49165179252531604,0.0,0.3986755882319039,0.0,0.4751356934604079,0.0,0.4917102984934824
S-CPI_bt,300,5.034731149673462,0.7150103132143131,0.0,0.4113654829994859,0.0,0.5678591521481033,0.0,0.4997744573128046,0.0,0.5539069684973149,0.0,0.47667166244853687,0.0,0.5330705866142073,0.0,0.18462536569604915,0.0,0.55780460398487,0.0,0.2670201429183129,0.0,0.5280777259470364,0.0,0.585326218299538,0.0,0.32746697601606056,0.0,0.6576518648116048,0.0,0.5599211023729723,0.0,0.38395850010608445,0.0,0.5260394890588853,0.0,0.4550712420946642,0.0,0.5022360370827672,0.0,0.48260584829473385,0.0,0.3836168561738444,0.0,0.5998539938712015,0.0,0.532641052862587,0.0,0.47468560271664995,0.0,0.598165016193781,0.0,0.5544433893582368,0.0,0.5262557015241258,0.0,0.5424746733250638,0.0,0.7006697943188518,0.0,0.5645330215416371,0.0,0.4838870101952378,0.0,0.8369350565801466,1.0,0.5889486221567298,0.0,0.5075477181843594,0.0,0.15141067376856898,0.0,0.43213802225716497,0.0,0.49304247722704647,0.0,0.3796638728044126,0.0,0.5630219451825017,0.0,0.5974550007524979,0.0,0.7328860358481818,0.0,0.42159617408530664,0.0,0.3014879531287433,0.0,0.7440728340180822,0.0,0.5227611300534756,0.0,0.4443823603452385,0.0,0.47931023538977724,0.0,0.5084718682194406,0.0,0.3804024570035822,0.0,0.4545138005855611,0.0,0.5055600535336741
