method,n,tr_time,r2_test,tr_V0,pval0,tr_V1,pval1,tr_V2,pval2,tr_V3,pval3,tr_V4,pval4,tr_V5,pval5,tr_V6,pval6,tr_V7,pval7,tr_V8,pval8,tr_V9,pval9,tr_V10,pval10,tr_V11,pval11,tr_V12,pval12,tr_V13,pval13,tr_V14,pval14,tr_V15,pval15,tr_V16,pval16,tr_V17,pval17,tr_V18,pval18,tr_V19,pval19,tr_V20,pval20,tr_V21,pval21,tr_V22,pval22,tr_V23,pval23,tr_V24,pval24,tr_V25,pval25,tr_V26,pval26,tr_V27,pval27,tr_V28,pval28,tr_V29,pval29,tr_V30,pval30,tr_V31,pval31,tr_V32,pval32,tr_V33,pval33,tr_V34,pval34,tr_V35,pval35,tr_V36,pval36,tr_V37,pval37,tr_V38,pval38,tr_V39,pval39,tr_V40,pval40,tr_V41,pval41,tr_V42,pval42,tr_V43,pval43,tr_V44,pval44,tr_V45,pval45,tr_V46,pval46,tr_V47,pval47,tr_V48,pval48,tr_V49,pval49
LOCO-W,300,14.836644887924194,0.548443603998187,0.0,0.13208246955055614,0.0,0.04303794003804906,0.0,0.1261420768886421,0.0,0.002692839877975084,0.0,0.8513538301844092,0.0,0.07931598947302376,1.0,0.11084102779808458,0.0,0.217910257876055,0.0,0.055410928320533626,0.0,0.08466187207145492,0.0,0.030245881836729382,0.0,0.11607864842968629,0.0,0.11472314531516203,0.0,0.39395080548882366,0.0,0.2268764267391632,0.0,0.17068693153801373,0.0,0.06101548387202649,0.0,0.7192905646781282,0.0,0.06087787178939763,0.0,0.8974779199419278,0.0,0.5884905786955066,0.0,0.002850041662024072,0.0,0.0024858005844766717,0.0,0.0028147269238711914,0.0,0.19371662405229728,0.0,0.5368677667683108,0.0,0.05926469842574822,0.0,0.09246072651654413,0.0,0.2886634076410295,0.0,0.2528876394594075,0.0,0.03208218532949092,0.0,0.23185469115122936,0.0,0.38597898119727925,0.0,0.5719331411330666,0.0,0.42767974787894214,0.0,0.9603665756172652,0.0,0.09190410408438365,0.0,0.0787608754829503,0.0,0.04378477803311276,0.0,0.6410937361228283,0.0,0.18886663884969546,0.0,0.17222555401240425,0.0,0.7181502187896099,0.0,0.5724875959057394,0.0,0.0927906988650451,0.0,0.07540042426731497,0.0,0.31809106318567026,0.0,0.23279128226880474,0.0,0.4816620152259403,0.0,0.9839811036438812
CPI,300,3.950611114501953,0.548443603998187,0.0,0.5018045307240706,0.0,0.13568064066281094,0.0,0.9788075985524582,0.0,0.6651274288483081,0.0,0.3143774957359059,0.0,0.107407565310281,1.0,0.516383018748762,0.0,0.6942188567876753,0.0,0.8262784072012481,0.0,0.25882760818719686,0.0,0.14898634213439604,0.0,0.5035676400779019,0.0,0.9212704109925931,0.0,0.5520421733573989,0.0,0.15648291654904178,0.0,0.3796698586276478,0.0,0.4557809885466612,0.0,0.44742356642287684,0.0,0.6090789340863639,0.0,0.013674991781099556,0.0,0.5954334551685327,0.0,0.9421290177622247,0.0,0.3532423745202786,0.0,0.5742708326793506,0.0,0.6899486639593723,0.0,0.16825338981203675,0.0,0.2144034239854415,0.0,0.2238115221219491,0.0,0.7778996368481259,0.0,0.9024985261236321,0.0,0.8421869191444362,0.0,0.039279607552787185,0.0,0.29285396348660264,0.0,0.9086034250102055,0.0,0.06851208684088757,0.0,0.9453008781020368,0.0,0.3140609867881614,0.0,0.45504445172853336,0.0,0.21324362762194293,0.0,0.2902145505292499,0.0,0.4752879167731526,0.0,0.634334915518025,0.0,0.2966862337416335,0.0,0.5044990026618484,0.0,0.28076295512858385,0.0,0.17932577864090615,0.0,0.058298838820857374,0.0,0.0415018998141198,0.0,0.2048534858151944,0.0,0.3779398959714327
CPI_sqrt,300,3.9477715492248535,0.548443603998187,0.0,0.4862349305289526,0.0,0.4799159190402193,0.0,0.5162555997026863,0.0,0.4708844481153091,0.0,0.49493218421225327,0.0,0.46412041992274294,1.0,0.49336782024394277,0.0,0.5179813452023763,0.0,0.5109710051999281,0.0,0.5086632971876847,0.0,0.490524008493107,0.0,0.4816810558249092,0.0,0.5410965799934548,0.0,0.5085179617076475,0.0,0.48162432336184213,0.0,0.5029352400112184,0.0,0.5037691169456232,0.0,0.48430556854718804,0.0,0.5111688782301478,0.0,0.4732691966983132,0.0,0.5239602127797822,0.0,0.5005648260547075,0.0,0.5405496150826485,0.0,0.4937441941037092,0.0,0.5193590311863819,0.0,0.4747792045871004,0.0,0.4925889872723404,0.0,0.5431921082500358,0.0,0.4907728943550582,0.0,0.524420114758486,0.0,0.5362134497204767,0.0,0.4678582549828701,0.0,0.4882574476016884,0.0,0.5313558404060794,0.0,0.47601523836677134,0.0,0.5099916300256548,0.0,0.5068910049163372,0.0,0.5014429166396599,0.0,0.4557479568270391,0.0,0.5243194797018225,0.0,0.5150146623619417,0.0,0.492449600866426,0.0,0.5369166246034087,0.0,0.5180938135714839,0.0,0.4848367303079095,0.0,0.4730154520771985,0.0,0.47782321305618636,0.0,0.4323214850261284,0.0,0.4643602480480982,0.0,0.5045721343819297
CPI_n,300,3.975471258163452,0.548443603998187,0.0,0.46430647066424946,0.0,0.3773385981380001,0.0,0.5579079513687194,0.0,0.382051995109584,0.0,0.21805318253555972,0.0,0.39438354071176696,1.0,0.6000304036802444,0.0,0.5232506798324345,0.0,0.5517407353032563,0.0,0.3788165210747522,0.0,0.34403629246895157,0.0,0.5753398944540347,0.0,0.5990402411121925,0.0,0.3659712733988704,0.0,0.5829653396802909,0.0,0.4789011056272329,0.0,0.47830943869156894,0.0,0.5498520097355164,0.0,0.456326539819408,0.0,0.3357644716051451,0.0,0.4764546890602868,0.0,0.473781742981227,0.0,0.5425839260714483,0.0,0.5989367613540341,0.0,0.47338517673405894,0.0,0.35176841495021455,0.0,0.376565724279774,0.0,0.6054490437200749,0.0,0.6894787529019895,0.0,0.5753536350297003,0.0,0.7022458427369619,0.0,0.43354934205253154,0.0,0.581513067229499,0.0,0.5353984494514856,0.0,0.3575661822039104,0.0,0.5945309249880494,0.0,0.5212848147973311,0.0,0.7438132340315647,0.0,0.3892805904378875,0.0,0.5281244973659189,0.0,0.6576833514458561,0.0,0.4768483174659046,0.0,0.7175344106366122,0.0,0.26890241454097796,0.0,0.4463260658190564,0.0,0.5606669338301807,0.0,0.17130719547290002,0.0,0.4159624613079734,0.0,0.48626044531344476,0.0,0.6744550908648363
CPI_bt,300,4.139410018920898,0.548443603998187,0.0,0.6468792378207661,0.0,0.3208046767371292,0.0,0.6384156389791524,0.0,0.29172182134371083,0.0,0.4806627042155313,0.0,0.24939695569054243,1.0,0.4008302315243556,0.0,0.6608235807069752,0.0,0.5221958602067724,0.0,0.574065588043091,0.0,0.11636959009616926,0.0,0.332351460568274,0.0,0.7436532372309105,0.0,0.614158829277857,0.0,0.2697088609710782,0.0,0.22543618357101153,0.0,0.19091201076793518,0.0,0.5277656107693586,0.0,0.48808086424837915,0.0,0.5259173615724679,0.0,0.5032136851306022,0.0,0.5214778795450834,0.0,0.8816434720851646,0.0,0.6202950691542011,0.0,0.7495723525420985,0.0,0.2625000142272921,0.0,0.3731838786553836,0.0,0.6166363354012075,0.0,0.47304691568194496,0.0,0.6353082043149945,0.0,0.6375667031553731,0.0,0.23433376393781874,0.0,0.23913501900265283,0.0,0.7724473008085371,0.0,0.32852841744278516,0.0,0.8584270391371498,0.0,0.5528608860782435,0.0,0.7237277066865663,0.0,0.08923387251587994,0.0,0.45242615041647255,0.0,0.6675782705140947,0.0,0.4464388326502185,0.0,0.5614163899361437,0.0,0.4759552204757635,0.0,0.7334953878573846,0.0,0.30654470031929737,0.0,0.10526070289752693,0.0,0.0317582192744792,0.0,0.4590819932828132,0.0,0.5332200833138068
CPI_sqd,300,4.1409289836883545,0.548443603998187,0.0,0.0,0.0,0.0,0.0,0.9999999985872862,0.0,0.0010669101670088765,0.0,0.0,0.0,0.0,1.0,1.9947996356905046e-43,0.0,0.997359081998225,0.0,1.0,0.0,0.9995734165700758,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.9999995469489149,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,5.0611116729074763e-64,0.0,1.0,0.0,9.231962825176709e-11,0.0,0.00016390947644758303,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.6652650896481217,0.0,0.0,0.0,1.0,0.0,1.7631165396822546e-51,0.0,2.7721534455477115e-77,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.3918259157042574,0.0,1.0,0.0,2.5488913332769377e-66,0.0,1.71342263917968e-21,0.0,0.9999999672268828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9999995205027545
S-CPI,300,4.114728212356567,0.548443603998187,0.0,0.7545041504410803,0.0,0.03684505966305642,0.0,0.808869110809177,0.0,0.3839185001118666,0.0,0.7158457045902124,0.0,0.09896087983098589,1.0,0.8122182837906242,0.0,0.9481884793989342,0.0,0.9345137936163087,0.0,0.7269743354625685,0.0,0.028575261057184945,0.0,0.8007851718710051,0.0,0.8257168800150365,0.0,0.7677665648633417,0.0,0.701757291077497,0.0,0.3524731653206468,0.0,0.8695553064173734,0.0,0.69353925026938,0.0,0.8419003471239389,0.0,0.33633797833949275,0.0,0.9679142307637875,0.0,0.9815561602003162,0.0,0.9979443045822676,0.0,0.9506506904559059,0.0,0.9853102811503357,0.0,0.20182713242852895,0.0,0.37445479118532876,0.0,0.9429360293943196,0.0,0.692899404929598,0.0,0.9880942273707879,0.0,0.6945992383064932,0.0,0.43229948821882097,0.0,0.6138062707181184,0.0,0.9477400106637793,0.0,0.0797138084311223,0.0,0.88237998712243,0.0,0.8965885932628177,0.0,0.9449801521808687,0.0,0.06641171473189346,0.0,0.8214115537454905,0.0,0.6976191005363352,0.0,0.5628082860085083,0.0,0.910641443122628,0.0,0.6888046398653946,0.0,0.8169654940874995,0.0,0.09024577251805832,0.0,0.008570751059311418,0.0,0.0532027126948996,0.0,0.5620145239012485,0.0,0.9509239083156845
S-CPI_sqrt,300,4.0948874950408936,0.548443603998187,0.0,0.5216818842431162,0.0,0.4760642339195026,0.0,0.5336843398612421,0.0,0.4965578100703861,0.0,0.5011001726577022,0.0,0.47070798159819777,1.0,0.5026872526828481,0.0,0.575272812494546,0.0,0.553690215756869,0.0,0.5144225058764755,0.0,0.4846142886175643,0.0,0.5396554746779691,0.0,0.5718474072619959,0.0,0.5209727977290954,0.0,0.5074547736521688,0.0,0.49748870411115437,0.0,0.5328154985384105,0.0,0.5000387403492186,0.0,0.5291397332258974,0.0,0.49377422524362147,0.0,0.5351296578262981,0.0,0.5343708213986891,0.0,0.5929106872665434,0.0,0.5353384358779435,0.0,0.5289717811925159,0.0,0.4837079608797612,0.0,0.4875806684633187,0.0,0.5547442752221428,0.0,0.5141599855906297,0.0,0.5800807660587934,0.0,0.5386498205805498,0.0,0.5015988592003933,0.0,0.4971172735986256,0.0,0.5582827015924017,0.0,0.4809152942737351,0.0,0.546966692625068,0.0,0.5240035281141215,0.0,0.5488415263176926,0.0,0.4408458357763511,0.0,0.513977226438161,0.0,0.5105471225243191,0.0,0.5034004415696979,0.0,0.5453968195395992,0.0,0.5111425908319903,0.0,0.5305854454512242,0.0,0.4605703828276898,0.0,0.4396817245438651,0.0,0.4525899961114112,0.0,0.48481513338648213,0.0,0.5490244444158444
S-CPI_n,300,4.100506067276001,0.548443603998187,0.0,0.5505848847058146,0.0,0.2553066084773532,0.0,0.5999633126154094,0.0,0.4328995650180313,0.0,0.6299498595785934,0.0,0.31861586293547217,1.0,0.5352654934579775,0.0,0.829524713361253,0.0,0.7555463667056632,0.0,0.5692986756524926,0.0,0.3500189494725486,0.0,0.6543549533611779,0.0,0.7390454871537494,0.0,0.6761757613991235,0.0,0.41424526800324263,0.0,0.38868936744264854,0.0,0.6249487376208033,0.0,0.5412186054943678,0.0,0.6384194888835188,0.0,0.4421174254348619,0.0,0.6923687557457576,0.0,0.7141337439075109,0.0,0.885295106458337,0.0,0.8354434811836582,0.0,0.7352626315250356,0.0,0.46680432962015483,0.0,0.4363856883336852,0.0,0.6719244503563279,0.0,0.6744982399929365,0.0,0.8630231817982146,0.0,0.6958439474772551,0.0,0.5579150689041841,0.0,0.5482833561543399,0.0,0.8003541441877713,0.0,0.3181282840596945,0.0,0.6869331983678564,0.0,0.6947846679355847,0.0,0.7943689059282715,0.0,0.3206063425387601,0.0,0.7245461658532764,0.0,0.6991866728897422,0.0,0.44806665923647054,0.0,0.799342694690844,0.0,0.49372930788922775,0.0,0.676772032762959,0.0,0.33850030847760393,0.0,0.20426874934003436,0.0,0.21044721193478955,0.0,0.5294056012990144,0.0,0.6203712012312318
S-CPI_bt,300,4.28171968460083,0.548443603998187,0.0,0.4230930347504136,0.0,0.1597088566136612,0.0,0.7480977625070308,0.0,0.5048519521809142,0.0,0.531676753452434,0.0,0.20330959544206273,1.0,0.6375561381155195,0.0,0.9212721189141615,0.0,0.8526384229729533,0.0,0.658825819619275,0.0,0.2574118287928236,0.0,0.8345737695152926,0.0,0.9769394025110343,0.0,0.7527403949786142,0.0,0.6743767699858791,0.0,0.5043871404722077,0.0,0.797717257306781,0.0,0.5772084229006995,0.0,0.5320007945430169,0.0,0.1557310766288274,0.0,0.7362844012319518,0.0,0.8477478492842824,0.0,0.9875868548775802,0.0,0.8909800126735801,0.0,0.8705111113036663,0.0,0.17580058019365075,0.0,0.2783179184086868,0.0,0.8772736764871011,0.0,0.6044636195801576,0.0,0.9883323338831077,0.0,0.7553042012712229,0.0,0.4952390907189068,0.0,0.5642661167689689,0.0,0.8960358176713006,0.0,0.19359930973562778,0.0,0.9239962356485082,0.0,0.8006037382521798,0.0,0.8264239703576863,0.0,0.04526185342553057,0.0,0.8746015832466549,0.0,0.6155279452927196,0.0,0.2987420341042313,0.0,0.8736332377112256,0.0,0.42085680421040594,0.0,0.8131809511009893,0.0,0.23246207339992503,0.0,0.00912272944881746,0.0,0.10744567200532584,0.0,0.3937992923399676,0.0,0.7065798517128052
