method,n,tr_time,r2_test,tr_V0,pval0,tr_V1,pval1,tr_V2,pval2,tr_V3,pval3,tr_V4,pval4,tr_V5,pval5,tr_V6,pval6,tr_V7,pval7,tr_V8,pval8,tr_V9,pval9,tr_V10,pval10,tr_V11,pval11,tr_V12,pval12,tr_V13,pval13,tr_V14,pval14,tr_V15,pval15,tr_V16,pval16,tr_V17,pval17,tr_V18,pval18,tr_V19,pval19,tr_V20,pval20,tr_V21,pval21,tr_V22,pval22,tr_V23,pval23,tr_V24,pval24,tr_V25,pval25,tr_V26,pval26,tr_V27,pval27,tr_V28,pval28,tr_V29,pval29,tr_V30,pval30,tr_V31,pval31,tr_V32,pval32,tr_V33,pval33,tr_V34,pval34,tr_V35,pval35,tr_V36,pval36,tr_V37,pval37,tr_V38,pval38,tr_V39,pval39,tr_V40,pval40,tr_V41,pval41,tr_V42,pval42,tr_V43,pval43,tr_V44,pval44,tr_V45,pval45,tr_V46,pval46,tr_V47,pval47,tr_V48,pval48,tr_V49,pval49
LOCO-W,300,136.11126351356506,0.7779873167702059,0.0,0.9579005061592902,0.0,0.5280539202083079,0.0,0.66972683724137,0.0,0.7714937556843317,0.0,0.3271912624830017,0.0,0.12909985006241764,0.0,0.12178845482566869,0.0,0.7165043710225081,0.0,0.37786494803891224,0.0,0.6861732723567462,0.0,0.5326493926839265,0.0,0.03166795231776198,0.0,0.46480168095886754,0.0,0.13650097606590594,0.0,0.2973630342610517,0.0,0.21390263925605313,0.0,0.9238309204503059,0.0,0.996103452072487,0.0,0.5969405572096395,0.0,0.9711506664557286,0.0,0.6405988121390476,0.0,0.2862387479588373,0.0,0.3750595926073692,0.0,0.5135837946091771,0.0,0.6919466990282991,0.0,0.6569078978892804,0.0,0.39272734478119176,0.0,0.8803908718139064,0.0,0.0406891083216504,0.0,0.6227151670814346,0.0,0.8019114401262827,0.0,0.017098620205247994,0.0,0.057403027439291154,0.0,0.7082218745766788,0.0,0.7064925981233672,0.0,0.18868032904002807,0.0,0.66147530409267,0.0,0.8058050258430292,0.0,0.10792361062167943,0.0,0.8384641791126031,0.0,0.603897503360393,0.0,0.2204896342623125,0.0,0.3809204899934041,1.0,0.32813810374719765,0.0,0.18302674878093628,0.0,0.6472360021197585,0.0,0.529624592066537,0.0,0.5452703195350365,0.0,0.9931943716166214,0.0,0.9950194703754913
CPI,300,6.878287076950073,0.7779873167702059,0.0,0.5320492857399404,0.0,0.12013240903891365,0.0,0.7550773230044162,0.0,0.7450530311022145,0.0,0.49524122705262913,0.0,0.5690298466238687,0.0,0.5959566387345986,0.0,0.7906975735494004,0.0,0.6748033731112878,0.0,0.7112784543774696,0.0,0.016706312069745252,0.0,0.7404041917502281,0.0,0.5195629267309044,0.0,0.8879664774006107,0.0,0.6715299811445151,0.0,0.4126859557822012,0.0,0.38715101128420376,0.0,0.5894937093298481,0.0,0.586687897798866,0.0,0.40546345881436896,0.0,0.5116448383386939,0.0,0.7271351670076542,0.0,0.28841159991076826,0.0,0.2511556370588493,0.0,0.2434961781894211,0.0,0.020600167387251782,0.0,0.4243506815313015,0.0,0.8353281216356641,0.0,0.6166808501146096,0.0,0.7016995230409458,0.0,0.4032751921802636,0.0,0.3973147643618275,0.0,0.6661624409386029,0.0,0.8158604297705092,0.0,0.8360760391226261,0.0,0.5800250146510564,0.0,0.8107219962248264,0.0,0.28895164954401104,0.0,0.9320535800766648,0.0,0.4085597883358714,0.0,0.17314559979458316,0.0,0.8836282990041431,0.0,0.5542360322426435,1.0,0.22225385946605297,0.0,0.6623251861342279,0.0,0.9241874753525743,0.0,0.9690942662426979,0.0,0.19046189908851824,0.0,0.04078214219968519,0.0,0.14821870451157365
CPI_sqrt,300,6.8951239585876465,0.7779873167702059,0.0,0.5005933698881336,0.0,0.49919412107220157,0.0,0.49927847105874507,0.0,0.5051444288018242,0.0,0.5000298449228391,0.0,0.5025390768479342,0.0,0.501146752317084,0.0,0.5023235493958601,0.0,0.4995673094972513,0.0,0.5016429091882848,0.0,0.4940350237629407,0.0,0.5026881542475619,0.0,0.49905043371737134,0.0,0.5003070823845565,0.0,0.49794505918951387,0.0,0.501129998296834,0.0,0.4996135293714028,0.0,0.4992337233916156,0.0,0.49931546759534656,0.0,0.498953028834986,0.0,0.4999381241199004,0.0,0.5027214632617499,0.0,0.5012576553181651,0.0,0.5027496891820247,0.0,0.4971343896418567,0.0,0.5000034451870591,0.0,0.4967551233487218,0.0,0.5034219944609083,0.0,0.5005584988485151,0.0,0.5006731670615941,0.0,0.4931939786714949,0.0,0.5009742449228285,0.0,0.5004200107999438,0.0,0.5014853911442014,0.0,0.4994894758663087,0.0,0.4981592364189108,0.0,0.5036426365671326,0.0,0.5000671236807637,0.0,0.498101026255988,0.0,0.49898348193533754,0.0,0.4992414161567726,0.0,0.5026585246443305,0.0,0.49889816575157137,1.0,0.4995785635656682,0.0,0.4998849685093491,0.0,0.49820347211475036,0.0,0.5001650884713099,0.0,0.4938449733610716,0.0,0.4982371982478913,0.0,0.5021411134627853
CPI_n,300,6.880297660827637,0.7779873167702059,0.0,0.512407518025464,0.0,0.49834565242481077,0.0,0.4880385615789996,0.0,0.5432799800999419,0.0,0.5016422842184576,0.0,0.5183914662813518,0.0,0.495796903700749,0.0,0.5167367954441906,0.0,0.5096609519509094,0.0,0.4671538222908763,0.0,0.4526045035612647,0.0,0.5287997473925102,0.0,0.4876615239056801,0.0,0.5078756413908253,0.0,0.5149936898633293,0.0,0.5040041828794278,0.0,0.49941182350678087,0.0,0.5130030141849905,0.0,0.48666237889753794,0.0,0.519006463487644,0.0,0.46503061327972417,0.0,0.49591200204548136,0.0,0.5149316485870176,0.0,0.5389344285485167,0.0,0.4919493653961962,0.0,0.4766658366830238,0.0,0.48689658581893375,0.0,0.4914801943036995,0.0,0.510839801480211,0.0,0.5148292538911107,0.0,0.4867298687190157,0.0,0.5153576452271503,0.0,0.493212971707978,0.0,0.5044185346281645,0.0,0.493116392660137,0.0,0.489581886889279,0.0,0.5229330144982745,0.0,0.4966938697359687,0.0,0.5004873064315655,0.0,0.4893468499028354,0.0,0.4939397947782248,0.0,0.511174510594305,0.0,0.5541067200808835,1.0,0.15872925199220816,0.0,0.4617081809812372,0.0,0.47323762736822217,0.0,0.4912793959684743,0.0,0.45355000655907324,0.0,0.4838574474485619,0.0,0.4994068118075073
CPI_bt,300,7.062030553817749,0.7779873167702059,0.0,0.5140198096903579,0.0,0.513720063494649,0.0,0.492089239525118,0.0,0.5493812694325412,0.0,0.4712270598884574,0.0,0.47899961363655685,0.0,0.5013821522237482,0.0,0.5097269025233314,0.0,0.4846048279645585,0.0,0.4988247654344221,0.0,0.4510740445062488,0.0,0.48203983445339077,0.0,0.5023544391940113,0.0,0.5196112675435391,0.0,0.4777232732689415,0.0,0.5064896173452043,0.0,0.49708039430708856,0.0,0.5055960813794873,0.0,0.48349789789233044,0.0,0.5138158990291506,0.0,0.43833437520916024,0.0,0.5029620189587665,0.0,0.5123509294251315,0.0,0.520380905479583,0.0,0.49974167152819426,0.0,0.46708083221979046,0.0,0.46696967544733287,0.0,0.5189697312010766,0.0,0.5181011996938625,0.0,0.5059788018189684,0.0,0.48571011606101644,0.0,0.5008103330907212,0.0,0.5229142779932394,0.0,0.5169500671637858,0.0,0.5034447804407324,0.0,0.47521189724950647,0.0,0.5228051185707374,0.0,0.4933804473357386,0.0,0.4777674918630253,0.0,0.4967886425887484,0.0,0.500512997114573,0.0,0.5256127747315448,0.0,0.49704249477228585,1.0,0.07333233020637168,0.0,0.5003423686511885,0.0,0.506202900032086,0.0,0.5159258729145236,0.0,0.5018385889924525,0.0,0.4964083726528358,0.0,0.5400568873245362
CPI_sqd,300,7.065935850143433,0.7779873167702059,0.0,1.3258632942686106e-07,0.0,0.08409532504792033,0.0,1.604926624709786e-07,0.0,1.0,0.0,0.12074350680179335,0.0,0.7424216355346533,0.0,0.4137973348531577,0.0,0.754711955005574,0.0,1.0892810181665449e-35,0.0,2.428104291775523e-05,0.0,3.956982783660667e-99,0.0,0.9999692466667772,0.0,0.9985204214913028,0.0,0.843799626742431,0.0,0.012408986332330374,0.0,0.9838562321761036,0.0,0.003161058746909227,0.0,0.014624896638439976,0.0,0.030681062120070907,0.0,0.9839591860702073,0.0,2.442992232058782e-82,0.0,0.9917976037454447,0.0,0.0001587351953018247,0.0,0.9999999792412232,0.0,0.979231371842574,0.0,0.25978769092783316,0.0,0.2691274988471022,0.0,0.999999928260447,0.0,0.9988222393785682,0.0,0.9979661277047249,0.0,0.9898351012072534,0.0,0.9984746793855671,0.0,0.9999999995341932,0.0,0.9805532024696878,0.0,0.00014051271804068843,0.0,0.08702406167828058,0.0,0.9986114248806699,0.0,0.8187138881012903,0.0,0.37011874258813765,0.0,0.8859546037094095,0.0,0.00030382091256175246,0.0,0.9999999998981483,0.0,1.0,1.0,0.0,0.0,0.9827197193735462,0.0,3.0339751704427377e-15,0.0,0.974944396713839,0.0,1.0840889418344077e-22,0.0,0.001018624164212398,0.0,0.0048779815396719365
S-CPI,300,18.700771808624268,0.7779873167702059,0.0,0.6786656259226879,0.0,0.3906857610203723,0.0,0.035708874078287045,0.0,0.9443873395597864,0.0,0.3680535750192488,0.0,0.7091605287013742,0.0,0.4983941834936356,0.0,0.9925409404939357,0.0,0.46441263729960464,0.0,0.37336103682629396,0.0,0.03198866668611911,0.0,0.6739170796592531,0.0,0.7903067941057541,0.0,0.9440976172235327,0.0,0.42842548912418704,0.0,0.540868399151778,0.0,0.14152348317634939,0.0,0.7582452022677428,0.0,0.39717614952953156,0.0,0.8207215269070496,0.0,0.3824478822087055,0.0,0.9210245250647144,0.0,0.3549931288098689,0.0,0.869863084145251,0.0,0.440414405081222,0.0,0.07927185945340137,0.0,0.5082277536337297,0.0,0.7342068691247239,0.0,0.7273872940691398,0.0,0.8210442632750166,0.0,0.2512980511569983,0.0,0.871021296410378,0.0,0.7825597736879513,0.0,0.9301822265265369,0.0,0.5932851442357095,0.0,0.5147255131237983,0.0,0.9046230254219338,0.0,0.5082246329095853,0.0,0.4312331566717414,0.0,0.4404314728048623,0.0,0.11471260601540173,0.0,0.8823847530811276,0.0,0.824296966063182,1.0,0.04510728609398085,0.0,0.3589055469125223,0.0,0.6078965549345134,0.0,0.830035880707289,0.0,0.46172204774202985,0.0,0.35954247703446335,0.0,0.40678832295555534
S-CPI_sqrt,300,18.696402072906494,0.7779873167702059,0.0,0.5006464905912078,0.0,0.49935198109580875,0.0,0.4989367280485951,0.0,0.5090748570709185,0.0,0.49980129440098403,0.0,0.5002877413888512,0.0,0.49969645782999816,0.0,0.504362153649497,0.0,0.5004460134844305,0.0,0.5012761264558401,0.0,0.49116496757899747,0.0,0.5024620948860244,0.0,0.5014762987973015,0.0,0.50210549653827,0.0,0.49978812402566,0.0,0.498947645578202,0.0,0.49857899032127234,0.0,0.49986075882658176,0.0,0.49859800924561243,0.0,0.5027511189183079,0.0,0.4931727052496226,0.0,0.5029833673646884,0.0,0.49967768030564425,0.0,0.5057963233689386,0.0,0.4990914937803946,0.0,0.49704459350404523,0.0,0.5025861367614328,0.0,0.5029580181965942,0.0,0.5019877619141113,0.0,0.5016216197595433,0.0,0.49650523264808294,0.0,0.500428316303832,0.0,0.5025141954194215,0.0,0.502307614039792,0.0,0.5014832943339388,0.0,0.5007217007205323,0.0,0.5060386517842254,0.0,0.500157049491404,0.0,0.4990980836056242,0.0,0.5000820696257423,0.0,0.49861585383085616,0.0,0.5046047966920636,0.0,0.5222735870524097,1.0,0.4561032521898335,0.0,0.5030141725026798,0.0,0.5002809277412288,0.0,0.5024201503173823,0.0,0.4989154205377825,0.0,0.4955646086022911,0.0,0.501278253456259
S-CPI_n,300,18.69380521774292,0.7779873167702059,0.0,0.5069630814953923,0.0,0.48286446177403647,0.0,0.4949875850718446,0.0,0.5684582107870786,0.0,0.4884200827200695,0.0,0.5223097740412362,0.0,0.5056537056880936,0.0,0.5326425378784115,0.0,0.5415121934157192,0.0,0.49839648543483106,0.0,0.4234883370155204,0.0,0.5222928251786492,0.0,0.5154078858755387,0.0,0.5325451719226888,0.0,0.4967340398509536,0.0,0.4932495382018221,0.0,0.49041663044554035,0.0,0.49876001317956803,0.0,0.49503535018894884,0.0,0.5227788699434502,0.0,0.46745281649520837,0.0,0.5232869265522033,0.0,0.5046127113631215,0.0,0.5561786818705505,0.0,0.4829102467939556,0.0,0.4739293276895052,0.0,0.49990130393229354,0.0,0.5245564893154742,0.0,0.5126965465837309,0.0,0.5245727770157814,0.0,0.4805815392577376,0.0,0.5047068092040463,0.0,0.5166952264993621,0.0,0.5217444347504154,0.0,0.502050780396858,0.0,0.490518735672889,0.0,0.5401216644759816,0.0,0.5078437773725235,0.0,0.4954464729230379,0.0,0.5046487264898302,0.0,0.49201694777009136,0.0,0.5278365353245226,0.0,0.5820022075341597,1.0,0.2335509690105365,0.0,0.48821798999446414,0.0,0.4958876543535697,0.0,0.5215282763044081,0.0,0.5159785110081968,0.0,0.4486387306804708,0.0,0.5099715587846932
S-CPI_bt,300,18.907758951187134,0.7779873167702059,0.0,0.4966430388095378,0.0,0.49766417296921045,0.0,0.4889730195311627,0.0,0.588093147750428,0.0,0.4836640628730334,0.0,0.5128723392024201,0.0,0.5037744358279898,0.0,0.5245495344283082,0.0,0.5140024028581269,0.0,0.5014931359155703,0.0,0.38996384239707327,0.0,0.5288574648294535,0.0,0.5134673051952005,0.0,0.5278911294412901,0.0,0.48990617220833343,0.0,0.4888497641450459,0.0,0.4918971913678793,0.0,0.5063112920339944,0.0,0.49006883730425693,0.0,0.518113934688594,0.0,0.4821249656190187,0.0,0.5387679821906053,0.0,0.4942238090345803,0.0,0.5634755162245471,0.0,0.5106309529938897,0.0,0.46208197257237965,0.0,0.5049367972012317,0.0,0.513663662653873,0.0,0.5117359509532226,0.0,0.5178069882460706,0.0,0.4617021440236157,0.0,0.5024731081907692,0.0,0.5062542032865921,0.0,0.5226959285045273,0.0,0.5055595690623029,0.0,0.4967931295126076,0.0,0.5477613807421576,0.0,0.49623018116165146,0.0,0.5036405204634189,0.0,0.5019761672957694,0.0,0.4902156477847621,0.0,0.5282727324300449,0.0,0.6345451325077149,1.0,0.0406171565848607,0.0,0.5143205519806674,0.0,0.518733047153139,0.0,0.5190230155864838,0.0,0.5031373301716026,0.0,0.47120690457594794,0.0,0.510517855841839
