method,n,tr_time,r2_test,tr_V0,pval0,tr_V1,pval1,tr_V2,pval2,tr_V3,pval3,tr_V4,pval4,tr_V5,pval5,tr_V6,pval6,tr_V7,pval7,tr_V8,pval8,tr_V9,pval9,tr_V10,pval10,tr_V11,pval11,tr_V12,pval12,tr_V13,pval13,tr_V14,pval14,tr_V15,pval15,tr_V16,pval16,tr_V17,pval17,tr_V18,pval18,tr_V19,pval19,tr_V20,pval20,tr_V21,pval21,tr_V22,pval22,tr_V23,pval23,tr_V24,pval24,tr_V25,pval25,tr_V26,pval26,tr_V27,pval27,tr_V28,pval28,tr_V29,pval29,tr_V30,pval30,tr_V31,pval31,tr_V32,pval32,tr_V33,pval33,tr_V34,pval34,tr_V35,pval35,tr_V36,pval36,tr_V37,pval37,tr_V38,pval38,tr_V39,pval39,tr_V40,pval40,tr_V41,pval41,tr_V42,pval42,tr_V43,pval43,tr_V44,pval44,tr_V45,pval45,tr_V46,pval46,tr_V47,pval47,tr_V48,pval48,tr_V49,pval49
LOCO-W,300,4.166810750961304,0.7914017977744017,0.0,0.13801570748058767,0.0,0.0004026254201868751,0.0,0.0010290522727540719,0.0,0.29762064537784405,0.0,0.05845357387946459,0.0,0.2924853351458597,0.0,0.47551465465964915,0.0,0.9945388836251259,0.0,0.07327953612222615,0.0,0.9341311376597297,0.0,0.993491872702737,0.0,0.9467674021017313,0.0,0.4996268973956255,0.0,0.7256343675057587,0.0,0.4146307861611793,0.0,0.48722984282392,0.0,0.9961625378904924,0.0,0.0376116815605666,0.0,0.9978101897167779,0.0,0.9952981351123521,0.0,0.792421913966258,0.0,0.09116189401643582,0.0,0.9847787174415832,0.0,0.4039475728500852,0.0,0.9374684852716546,0.0,0.2711019827979776,0.0,0.9213522016394273,0.0,0.9952697600083978,0.0,0.13414259277927743,1.0,0.7656904497350157,0.0,0.01117672115098689,0.0,0.1443546586886395,0.0,0.9932134717555695,0.0,0.015031999373841809,0.0,0.0532258992507858,0.0,0.4327515296542809,0.0,0.9772832064795649,0.0,0.8103440748317071,0.0,0.8386127658404219,0.0,0.04413384867504966,0.0,0.9856122300620743,0.0,0.9999892276062372,0.0,0.5675357019486285,0.0,0.09453600369250015,0.0,0.9898286407951506,0.0,0.7247048091988657,0.0,0.0015810637033958352,0.0,0.006035140874202649,0.0,0.37450461615612607,0.0,0.9468067218133409
CPI,300,3.6241960525512695,0.7914017977744017,0.0,0.20384996069249212,0.0,1.0,0.0,0.9408920192139809,0.0,0.05178345470858947,0.0,1.0,0.0,0.2553407006977221,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.317611474636305,0.0,0.52078274341099,0.0,1.0,0.0,0.9395226526880547,0.0,1.0,0.0,0.4762123524821305,0.0,0.6635108607589483,0.0,1.0,0.0,0.8209687729495101,0.0,1.0,0.0,0.9326798000931872,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.9554922544599513,0.0,0.23286125000503705,0.0,0.3509916238758648,0.0,0.27631457709701657,0.0,1.0,0.0,1.0,1.0,0.07970585050636436,0.0,1.0,0.0,0.5906544970985236,0.0,0.9892632945444395,0.0,1.0,0.0,0.020502689505754786,0.0,1.0,0.0,1.0,0.0,0.12400473221211084,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.9178104813998764,0.0,1.0,0.0,1.0,0.0,0.2479649938701377,0.0,0.5511476171502976,0.0,0.13179274024690463,0.0,1.0,0.0,1.0
CPI_sqrt,300,3.6216418743133545,0.7914017977744017,0.0,0.5024622268333794,0.0,0.5,0.0,0.5000087205189437,0.0,0.49672620511373705,0.0,0.5,0.0,0.4987600918337498,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.4912722937509585,0.0,0.4986127231390054,0.0,0.5,0.0,0.5028286177680801,0.0,0.5,0.0,0.49993037786906763,0.0,0.5001726006347642,0.0,0.5,0.0,0.5053436223597371,0.0,0.5,0.0,0.5064718860460182,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.4998351967360944,0.0,0.4931607648004565,0.0,0.5005818671146407,0.0,0.503779422170128,0.0,0.5,0.0,0.5,1.0,0.5017763726897716,0.0,0.5,0.0,0.5041169134319133,0.0,0.5058770248456698,0.0,0.5,0.0,0.49819370241355726,0.0,0.5,0.0,0.5,0.0,0.4996285792188566,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5086844373064916,0.0,0.5,0.0,0.5,0.0,0.49771626094447463,0.0,0.5005756081040087,0.0,0.5009331088299125,0.0,0.5,0.0,0.5
CPI_n,300,3.6196460723876953,0.7914017977744017,0.0,0.5116909398473695,0.0,0.5,0.0,0.5023830335277963,0.0,0.48531269035623636,0.0,0.5,0.0,0.4815658569834052,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.557399804810144,0.0,0.4647706102474617,0.0,0.5,0.0,0.5546689654083078,0.0,0.5,0.0,0.49431136638618595,0.0,0.5001897275225327,0.0,0.5,0.0,0.5482712683059549,0.0,0.5,0.0,0.6712754301000361,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.4994982309995513,0.0,0.4602344008307921,0.0,0.497470904780882,0.0,0.5774185550279248,0.0,0.5,0.0,0.5,1.0,0.3947225659562109,0.0,0.5,0.0,0.5131060918178217,0.0,0.5643064543404831,0.0,0.5,0.0,0.48450909290180993,0.0,0.5,0.0,0.5,0.0,0.4980388684900304,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.549107801740683,0.0,0.5,0.0,0.5,0.0,0.5409951156278685,0.0,0.5021968859628849,0.0,0.4870998937220034,0.0,0.5,0.0,0.5
CPI_bt,300,3.8119685649871826,0.7914017977744017,0.0,0.5253276874535644,0.0,0.5,0.0,0.5015441336313796,0.0,0.4891037749877494,0.0,0.5,0.0,0.493821107238413,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5958666055268185,0.0,0.500771621308368,0.0,0.5,0.0,0.5567841506677739,0.0,0.5,0.0,0.5000539816547096,0.0,0.4918892633898431,0.0,0.5,0.0,0.5102801147279072,0.0,0.5,0.0,0.48590298052156206,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.501150140205094,0.0,0.5165439626421627,0.0,0.49319520460486393,0.0,0.5186465510980857,0.0,0.5,0.0,0.5,1.0,0.37977997182218937,0.0,0.5,0.0,0.5028727360512046,0.0,0.5343353129983427,0.0,0.5,0.0,0.4707130959110212,0.0,0.5,0.0,0.5,0.0,0.4969608390043294,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.6622055777005329,0.0,0.5,0.0,0.5,0.0,0.42618298164235097,0.0,0.4937424230846472,0.0,0.501796812211196,0.0,0.5,0.0,0.5
CPI_sqd,300,3.8155534267425537,0.7914017977744017,0.0,1.3574691613296024e-50,0.0,0.5,0.0,0.6346837193810777,0.0,0.00345716821916782,0.0,0.5,0.0,0.0049426181633366005,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.7708452448557642,0.0,3.194954125893655e-15,0.0,0.5,0.0,0.6485182054309422,0.0,0.5,0.0,0.9252896871992243,0.0,0.5744877137323737,0.0,0.5,0.0,1.0,0.0,0.5,0.0,1.0,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.6211793376883787,0.0,1.0921939389319688e-35,0.0,1.0,0.0,5.205367007916163e-05,0.0,0.5,0.0,0.5,1.0,7.971322343757096e-222,0.0,0.5,0.0,1.0,0.0,1.0,0.0,0.5,0.0,9.369755542518362e-05,0.0,0.5,0.0,0.5,0.0,0.1252008502175449,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,1.0,0.0,0.5,0.0,0.5,0.0,1.0,0.0,0.17536614675058637,0.0,8.666335282643245e-35,0.0,0.5,0.0,0.5
S-CPI,300,3.722243070602417,0.7914017977744017,0.0,0.48468724629679066,0.0,0.5,0.0,0.9251927918845236,0.0,0.14497115547119854,0.0,0.5,0.0,0.0015412355510268127,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5240910416890482,0.0,0.5267495246491815,0.0,0.5,0.0,0.7377914060949573,0.0,0.5,0.0,0.6740832932015308,0.0,0.08134310581835852,0.0,0.5,0.0,0.8434031453365995,0.0,0.5,0.0,0.9278718689284149,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.6117375734735852,0.0,0.24843895060156262,0.0,0.7535763226601031,0.0,0.7482732481308327,0.0,0.5,0.0,0.5,1.0,0.3135082180576902,0.0,0.5,0.0,0.6121514557982354,0.0,0.9717409943270149,0.0,0.5,0.0,0.04779186357961739,0.0,0.5,0.0,0.5,0.0,0.0671765655394264,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.9907440002203987,0.0,0.5,0.0,0.5,0.0,0.4911880493225756,0.0,0.0871121653412052,0.0,0.5994237952798926,0.0,0.5,0.0,0.5
S-CPI_sqrt,300,3.7263801097869873,0.7914017977744017,0.0,0.49772705414701396,0.0,0.5,0.0,0.5003003709118025,0.0,0.49900901654724716,0.0,0.5,0.0,0.4978067305475178,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5075508066895097,0.0,0.4975440964644446,0.0,0.5,0.0,0.5066726309663916,0.0,0.5,0.0,0.500745330506481,0.0,0.49950191248468784,0.0,0.5,0.0,0.511344748224237,0.0,0.5,0.0,0.5291073349700397,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5000838924373716,0.0,0.49525340769341175,0.0,0.5005833993255427,0.0,0.5027293726068699,0.0,0.5,0.0,0.5,1.0,0.48797787624591066,0.0,0.5,0.0,0.4989720613591574,0.0,0.5103911619165173,0.0,0.5,0.0,0.49638029269026385,0.0,0.5,0.0,0.5,0.0,0.4983529695339852,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5113572281677542,0.0,0.5,0.0,0.5,0.0,0.4996184261098881,0.0,0.4981555970314076,0.0,0.49864268191192357,0.0,0.5,0.0,0.5
S-CPI_n,300,3.7196145057678223,0.7914017977744017,0.0,0.4923185385605859,0.0,0.5,0.0,0.5023640375972016,0.0,0.47748546229266337,0.0,0.5,0.0,0.4843274177820044,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5030157216065019,0.0,0.4812826418594205,0.0,0.5,0.0,0.5288405877305019,0.0,0.5,0.0,0.49747069894950824,0.0,0.4950810708650589,0.0,0.5,0.0,0.5484937227211384,0.0,0.5,0.0,0.6780998869109511,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5017994848260938,0.0,0.44879641506140605,0.0,0.5443350872615259,0.0,0.5463747378365235,0.0,0.5,0.0,0.5,1.0,0.3438435828196227,0.0,0.5,0.0,0.5342712081296757,0.0,0.5939827123536198,0.0,0.5,0.0,0.48238639184857346,0.0,0.5,0.0,0.5,0.0,0.4859753078118782,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5721293311277247,0.0,0.5,0.0,0.5,0.0,0.4912799144313651,0.0,0.48870769176060486,0.0,0.5094418045264769,0.0,0.5,0.0,0.5
S-CPI_bt,300,3.9227681159973145,0.7914017977744017,0.0,0.46485555031677633,0.0,0.5,0.0,0.5017192677686748,0.0,0.47199393556358316,0.0,0.5,0.0,0.4781002717902463,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5404384663929326,0.0,0.4611106058084968,0.0,0.5,0.0,0.560083407363523,0.0,0.5,0.0,0.5007566544734001,0.0,0.48916158426236794,0.0,0.5,0.0,0.5889831470323316,0.0,0.5,0.0,0.6888765258604768,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5013688454356483,0.0,0.4440685652999543,0.0,0.5279351639694478,0.0,0.5121044252782133,0.0,0.5,0.0,0.5,1.0,0.23551663841277304,0.0,0.5,0.0,0.4990470596823098,0.0,0.6060043155922736,0.0,0.5,0.0,0.47534191249923674,0.0,0.5,0.0,0.5,0.0,0.4812255034173332,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.6532947000098444,0.0,0.5,0.0,0.5,0.0,0.5239883884057326,0.0,0.4990065513788817,0.0,0.47978328864574593,0.0,0.5,0.0,0.5
