method,n,tr_time,r2_test,tr_V0,pval0,tr_V1,pval1,tr_V2,pval2,tr_V3,pval3,tr_V4,pval4,tr_V5,pval5,tr_V6,pval6,tr_V7,pval7,tr_V8,pval8,tr_V9,pval9,tr_V10,pval10,tr_V11,pval11,tr_V12,pval12,tr_V13,pval13,tr_V14,pval14,tr_V15,pval15,tr_V16,pval16,tr_V17,pval17,tr_V18,pval18,tr_V19,pval19,tr_V20,pval20,tr_V21,pval21,tr_V22,pval22,tr_V23,pval23,tr_V24,pval24,tr_V25,pval25,tr_V26,pval26,tr_V27,pval27,tr_V28,pval28,tr_V29,pval29,tr_V30,pval30,tr_V31,pval31,tr_V32,pval32,tr_V33,pval33,tr_V34,pval34,tr_V35,pval35,tr_V36,pval36,tr_V37,pval37,tr_V38,pval38,tr_V39,pval39,tr_V40,pval40,tr_V41,pval41,tr_V42,pval42,tr_V43,pval43,tr_V44,pval44,tr_V45,pval45,tr_V46,pval46,tr_V47,pval47,tr_V48,pval48,tr_V49,pval49
LOCO-W,300,80.49462151527405,0.5743901443920709,1.0,9.512074111850399e-05,1.0,0.9607965855883009,1.0,0.9214070000593929,1.0,0.8195996635837983,1.0,0.14668021349085492,1.0,0.9999100233018804,1.0,0.6171349649736042,1.0,0.33367143252361653,1.0,0.852899828762002,1.0,0.009888429378630215,1.0,0.9283907828678486,1.0,0.00012887980834608292,0.0,0.5225118148403014,0.0,0.000280450004223165,0.0,0.45324996238624804,0.0,0.9321705151599129,0.0,0.7530024476342916,0.0,0.7138675528096053,0.0,0.10515457024627473,0.0,8.64753392687545e-05,0.0,0.15227304831610944,0.0,0.9559103956165127,0.0,0.9925379585915566,0.0,0.42961780691908624,0.0,0.9859239011176382,0.0,0.017597081179333673,0.0,0.9996187764174764,0.0,0.1086179873462263,0.0,0.6707507328182286,0.0,0.37662807110932384,0.0,0.027265193496869067,0.0,0.0035221720818033875,0.0,0.606633441306273,0.0,0.9926830278707348,0.0,0.9972384757655925,0.0,0.007839813484953995,0.0,0.9999779465247013,0.0,0.3510278770674867,0.0,0.9449087331138701,0.0,0.0016602539296456387,0.0,0.9998238541525906,0.0,0.7775668520192279,0.0,2.7426377347983255e-05,0.0,0.48385329563086854,0.0,0.9991934554453573,0.0,0.0002910117367335152,0.0,0.42707924322072355,0.0,0.9472529837653753,0.0,0.9981737219200703,0.0,0.357987364071353
CPI,300,4.413081884384155,0.5743901443920709,1.0,0.019761675838929856,1.0,0.6339018307508079,1.0,0.3068695519281944,1.0,0.10670733968684404,1.0,0.27165044132444915,1.0,0.0011031921843245277,1.0,0.011369606876059783,1.0,0.45950509773976556,1.0,0.6379502023347006,1.0,0.1234465405950293,1.0,4.0862594597812945e-05,1.0,0.04363802299957578,0.0,0.6069030288940486,0.0,0.9556580296406317,0.0,0.6382106398351767,0.0,0.670768792850294,0.0,0.7634921418474534,0.0,0.8754790575797782,0.0,0.34336547603301243,0.0,0.8832587521520826,0.0,0.9031878933782576,0.0,0.1638049710422813,0.0,0.5354464512809848,0.0,0.28386850299733946,0.0,0.19081327854426194,0.0,0.46971129610728246,0.0,0.08117605326555699,0.0,0.8311084514917898,0.0,0.2607760182965526,0.0,0.29676357362753203,0.0,0.838160758216178,0.0,0.6554926730272242,0.0,0.8604233209738463,0.0,0.6784634357718689,0.0,0.6569380942479971,0.0,0.09637978627334226,0.0,0.05347174781511514,0.0,0.9575896871863929,0.0,0.3803457878749531,0.0,0.25453235305773547,0.0,0.8770065177933263,0.0,0.9753280086020981,0.0,0.11868357838140803,0.0,0.5998741919913805,0.0,0.9061691826501128,0.0,0.608149476071652,0.0,0.8521651367819598,0.0,0.1283643123169279,0.0,0.28733729506255123,0.0,0.38150227703782646
CPI_sqrt,300,4.3988025188446045,0.5743901443920709,1.0,0.04079913441572399,1.0,0.5216501711678311,1.0,0.5037764132086491,1.0,0.4596458106434602,1.0,0.5152528620512178,1.0,0.08493535035095495,1.0,0.173698043523273,1.0,0.29369648905401574,1.0,0.5298730741244763,1.0,0.43928509433177976,1.0,0.26121645557006357,1.0,0.3611645887247082,0.0,0.5167151599550448,0.0,0.5608593356087954,0.0,0.6359438050731142,0.0,0.5182561394826688,0.0,0.4659437943407855,0.0,0.5055877606666426,0.0,0.5060251433654723,0.0,0.5176784785450982,0.0,0.506766597466432,0.0,0.5394034723248604,0.0,0.48054504674383514,0.0,0.49776096235292056,0.0,0.4784794696882493,0.0,0.5027415065757178,0.0,0.49425995075106277,0.0,0.5019918566908856,0.0,0.5276831125217489,0.0,0.4624785994536652,0.0,0.5457679832876263,0.0,0.48297629085356264,0.0,0.5741050825401635,0.0,0.502673216781955,0.0,0.5153658366629781,0.0,0.49083595465733265,0.0,0.48101723457618517,0.0,0.49852029130813136,0.0,0.5093356632629825,0.0,0.5001052600454049,0.0,0.5079305522351072,0.0,0.500965091249957,0.0,0.4861718298586106,0.0,0.5108126737382671,0.0,0.565521801208899,0.0,0.48613961964826385,0.0,0.5095071877899683,0.0,0.5038910238054051,0.0,0.49162845086230755,0.0,0.5192863324377377
CPI_n,300,4.393652439117432,0.5743901443920709,1.0,2.2365373141137248e-05,1.0,0.49256439512261885,1.0,0.47892766191527847,1.0,0.1623556420484576,1.0,0.4692020005459587,1.0,0.047506542887080803,1.0,0.02361914287136095,1.0,0.5723918793242034,1.0,0.5024874250940117,1.0,0.17528784266048564,1.0,0.23868514518741069,1.0,0.08347218648419413,0.0,0.52683806164783,0.0,0.7913014692245253,0.0,0.5420677353602569,0.0,0.6694944630828004,0.0,0.4574136305713158,0.0,0.5604260446437285,0.0,0.4926202729009026,0.0,0.5962921507076536,0.0,0.5334449347462901,0.0,0.7096443924458574,0.0,0.4305881522528254,0.0,0.4616036592653011,0.0,0.4747467419317129,0.0,0.39433486121647143,0.0,0.5488260673599811,0.0,0.5919491119082294,0.0,0.25390515232202926,0.0,0.3089331428731367,0.0,0.65803101300942,0.0,0.4344025079853347,0.0,0.6605579355397415,0.0,0.5038717562811299,0.0,0.6211668917048992,0.0,0.4132053918694065,0.0,0.17105709319871942,0.0,0.5083664938702682,0.0,0.4750059005246486,0.0,0.41961855165490813,0.0,0.5500483811982142,0.0,0.5268529123650468,0.0,0.28517999145741946,0.0,0.3898861807122009,0.0,0.8151154141719918,0.0,0.2804647406347147,0.0,0.6284937587339153,0.0,0.4846498789796644,0.0,0.4831087577694586,0.0,0.6061295966201419
CPI_bt,300,4.583996534347534,0.5743901443920709,1.0,8.733008417770932e-16,1.0,0.8824314689291255,1.0,0.534462107121644,1.0,0.012967345376447104,1.0,0.25765485175894676,1.0,0.00030420502006075746,1.0,6.231660442354601e-08,1.0,0.6299129797462185,1.0,0.15948366954858328,1.0,0.006272181901170402,1.0,1.1693575006328555e-13,1.0,0.07405479799078805,0.0,0.7321022416284032,0.0,0.8838089375693866,0.0,0.567154569407595,0.0,0.344618293076142,0.0,0.6021728839333198,0.0,0.5552951717365988,0.0,0.7717213829524232,0.0,0.8278581256893918,0.0,0.5213172588461981,0.0,0.46598613301000996,0.0,0.38801537345223186,0.0,0.6832828573771244,0.0,0.3655162726170301,0.0,0.4704131041439073,0.0,0.5450124668639902,0.0,0.6430324842507931,0.0,0.4045016641163996,0.0,0.1627077933436653,0.0,0.8826824873340822,0.0,0.5230580435483649,0.0,0.8042911946810491,0.0,0.6288043084479578,0.0,0.6856848257020576,0.0,0.12494632245408072,0.0,0.03182784161016689,0.0,0.4423811805380627,0.0,0.315598420508145,0.0,0.4282641132384429,0.0,0.5750500618679663,0.0,0.5227817353897363,0.0,0.3951373417428034,0.0,0.5464508687301199,0.0,0.6283097141525154,0.0,0.45268010110790824,0.0,0.5331882039786294,0.0,0.5837694705408087,0.0,0.47512141386396395,0.0,0.48288639863810534
CPI_sqd,300,4.5770862102508545,0.5743901443920709,1.0,2.8057412895486378e-09,1.0,0.9982119815618455,1.0,0.9291054981857001,1.0,0.994446373398614,1.0,1.805135078662466e-28,1.0,1.3477238975335324e-05,1.0,1.669673530767459e-142,1.0,0.29676213225582093,1.0,1.7797059959836409e-118,1.0,1.5764113179607182e-10,1.0,6.020200056224171e-23,1.0,8.304343298770706e-96,0.0,1.0,0.0,0.9999999999999999,0.0,1.0,0.0,1.8350222119621785e-52,0.0,1.2025372966093181e-05,0.0,1.0,0.0,3.2223193405000007e-12,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3.2310264141700326e-34,0.0,1.1923084790001527e-62,0.0,2.682590522755609e-60,0.0,1.2316290413602204e-108,0.0,4.5986143801680945e-08,0.0,1.0,0.0,1.3527398598214344e-43,0.0,1.0,0.0,1.0,0.0,1.0,0.0,8.006250625214535e-06,0.0,1.0,0.0,1.0,0.0,0.00046265309820174886,0.0,2.236293375574167e-32,0.0,3.7159991911963435e-99,0.0,0.9999999999640322,0.0,1.0,0.0,0.9999998167010327,0.0,8.904518532259444e-104,0.0,1.9115930970551518e-64,0.0,0.9966627019799064,0.0,0.9999999020365092,0.0,0.5199191444622948,0.0,0.009462299147675199,0.0,1.0348863494784055e-127,0.0,1.0
S-CPI,300,4.817151069641113,0.5743901443920709,1.0,8.152656016805334e-07,1.0,0.952240674567212,1.0,0.6091326365671172,1.0,0.23850873339869716,1.0,0.3942395074995317,1.0,0.011404049591702914,1.0,0.00023970927581198892,1.0,0.5209437909386118,1.0,0.3562450588993861,1.0,0.26263007056719867,1.0,0.021573410450250317,1.0,0.047966814647297136,0.0,0.8500359182736752,0.0,0.9447704777587026,0.0,0.9236850512862643,0.0,0.8262107510328144,0.0,0.2803752202676325,0.0,0.7447859329680785,0.0,0.5444657354521739,0.0,0.937332589063197,0.0,0.7826648447558049,0.0,0.8042132198359123,0.0,0.2814708173153804,0.0,0.5718321036708471,0.0,0.02134912735497627,0.0,0.15782478133397493,0.0,0.10819980592870188,0.0,0.8247393604824029,0.0,0.38199253905167063,0.0,0.14078409844638962,0.0,0.9501713453174574,0.0,0.29806481944067387,0.0,0.6740803697451976,0.0,0.7594067258054376,0.0,0.6855836797408199,0.0,0.18429129364947583,0.0,0.2283416952013118,0.0,0.424386227703793,0.0,0.40767927368727275,0.0,0.36324810931364737,0.0,0.7863448846697867,0.0,0.9513750113241672,0.0,0.027988167768373626,0.0,0.3625170119779249,0.0,0.8226603915469188,0.0,0.5825832025687346,0.0,0.732110412565036,0.0,0.1271326987587012,0.0,0.051840527893885796,0.0,0.8015523266084995
S-CPI_sqrt,300,4.814053058624268,0.5743901443920709,1.0,0.00884488251715141,1.0,0.6148630996893049,1.0,0.5213476374863035,1.0,0.4813508341332034,1.0,0.46640921045743994,1.0,0.17194417401444462,1.0,0.18416510453197554,1.0,0.5301073122569028,1.0,0.4961853395555059,1.0,0.35218795892528976,1.0,0.29416662927609877,1.0,0.337909324393484,0.0,0.5087897420004953,0.0,0.6683322550377544,0.0,0.5440985915957101,0.0,0.5346178122212619,0.0,0.5125298490645144,0.0,0.5135002051763993,0.0,0.5060364143649092,0.0,0.6011808182320789,0.0,0.5182611393866108,0.0,0.5538249925592307,0.0,0.44995878638338255,0.0,0.5056229973360682,0.0,0.47062602640165896,0.0,0.47200814247577677,0.0,0.4724001687146349,0.0,0.5221175881510346,0.0,0.5223784437452859,0.0,0.45441477392999646,0.0,0.5554014739465559,0.0,0.5174856296610573,0.0,0.5326829186420005,0.0,0.5021826337056903,0.0,0.5287179529544128,0.0,0.48171969951618815,0.0,0.4334419112746762,0.0,0.5031749406663139,0.0,0.5049498756181807,0.0,0.47971006942211064,0.0,0.5253568574555189,0.0,0.5033018494988185,0.0,0.4810859081273455,0.0,0.49494388524477373,0.0,0.5140540406884534,0.0,0.5064579026625312,0.0,0.5069699580168398,0.0,0.48224866695881974,0.0,0.4896651374658378,0.0,0.5189820023601639
S-CPI_n,300,4.812134504318237,0.5743901443920709,1.0,6.39254093883556e-05,1.0,0.8760120539772018,1.0,0.5598360757020513,1.0,0.33245611727575475,1.0,0.4035081054585366,1.0,0.0074666709516266255,1.0,0.003489109857383092,1.0,0.5382654057902375,1.0,0.4496027400167553,1.0,0.16519574416766647,1.0,0.025189943695553673,1.0,0.10200311806950085,0.0,0.6478105019063352,0.0,0.840481649282156,0.0,0.8122578110971673,0.0,0.6509925657389328,0.0,0.5518263461247636,0.0,0.5944716043340778,0.0,0.5741417672376589,0.0,0.8070060896605955,0.0,0.5859464616116257,0.0,0.48546173167627715,0.0,0.5060987643525642,0.0,0.48661610007277145,0.0,0.32283713933415964,0.0,0.3678836700538464,0.0,0.35874074355648655,0.0,0.6103254433732256,0.0,0.5699255196670471,0.0,0.2270543640969518,0.0,0.7868923916933691,0.0,0.5392721196526284,0.0,0.6327822554315004,0.0,0.5218289015187461,0.0,0.7133241624801274,0.0,0.2802013679176123,0.0,0.21046663384186226,0.0,0.48907465433386815,0.0,0.5680086988732201,0.0,0.4051427336829433,0.0,0.6078261840333696,0.0,0.5233699225958789,0.0,0.292893674829351,0.0,0.4216169871923739,0.0,0.6630938499248493,0.0,0.4964360930655698,0.0,0.586298402380223,0.0,0.3901037968135467,0.0,0.4335503442816352,0.0,0.601001778476131
S-CPI_bt,300,4.998085260391235,0.5743901443920709,1.0,1.8853025359605346e-11,1.0,0.9964510194212776,1.0,0.5594623750820762,1.0,0.20339231472770547,1.0,0.2335958420988949,1.0,0.0031224640642261788,1.0,1.7722566507643114e-13,1.0,0.405099280878024,1.0,0.22879368323246418,1.0,0.006630518141256389,1.0,0.01241452483451089,1.0,0.0004024694312009483,0.0,0.6297696551515881,0.0,0.9994478087566898,0.0,0.9965894311848759,0.0,0.7610933243578311,0.0,0.5575311274691396,0.0,0.5549694464859073,0.0,0.44005996194335606,0.0,0.9932890683562002,0.0,0.6186062040798573,0.0,0.7941794862991809,0.0,0.24033403324336428,0.0,0.39561954607733063,0.0,0.2724082443423914,0.0,0.2803671960910793,0.0,0.37495207974183087,0.0,0.6797053187769729,0.0,0.6123996264937641,0.0,0.1323010238378171,0.0,0.9396208321649193,0.0,0.5186029724286068,0.0,0.8077127811283824,0.0,0.5630134595430996,0.0,0.8285031975916766,0.0,0.29981618103688956,0.0,0.04747044390540311,0.0,0.5232857339606922,0.0,0.37345318216299134,0.0,0.11310271380064257,0.0,0.6658573973307023,0.0,0.531392259158401,0.0,0.22120074617379798,0.0,0.47140381859842345,0.0,0.9599767354975944,0.0,0.6260352170670126,0.0,0.6064405608451041,0.0,0.2784464220508831,0.0,0.4245600266182606,0.0,0.7538870100948222
