method,n,tr_time,r2_test,tr_V0,pval0,tr_V1,pval1,tr_V2,pval2,tr_V3,pval3,tr_V4,pval4,tr_V5,pval5,tr_V6,pval6,tr_V7,pval7,tr_V8,pval8,tr_V9,pval9,tr_V10,pval10,tr_V11,pval11,tr_V12,pval12,tr_V13,pval13,tr_V14,pval14,tr_V15,pval15,tr_V16,pval16,tr_V17,pval17,tr_V18,pval18,tr_V19,pval19,tr_V20,pval20,tr_V21,pval21,tr_V22,pval22,tr_V23,pval23,tr_V24,pval24,tr_V25,pval25,tr_V26,pval26,tr_V27,pval27,tr_V28,pval28,tr_V29,pval29,tr_V30,pval30,tr_V31,pval31,tr_V32,pval32,tr_V33,pval33,tr_V34,pval34,tr_V35,pval35,tr_V36,pval36,tr_V37,pval37,tr_V38,pval38,tr_V39,pval39,tr_V40,pval40,tr_V41,pval41,tr_V42,pval42,tr_V43,pval43,tr_V44,pval44,tr_V45,pval45,tr_V46,pval46,tr_V47,pval47,tr_V48,pval48,tr_V49,pval49
LOCO-W,300,24.84807586669922,0.8341855964564098,1.0,0.10739717155520834,1.0,0.8257319538850542,1.0,0.38689280218513566,1.0,0.5937031924784966,1.0,0.3977621596669464,1.0,0.2245500243005194,1.0,0.1900279801607626,1.0,0.10217393092034055,1.0,0.4663679081481249,1.0,0.45608542633550786,1.0,0.8001812648320928,1.0,0.36335299444151037,0.0,0.7169497162979597,0.0,0.07991047395846573,0.0,0.16024251915905996,0.0,0.5735200341019369,0.0,0.44673304469334907,0.0,0.3819284635117399,0.0,0.7589278327194386,0.0,0.8390514936589135,0.0,0.6530081463493739,0.0,0.6135544491682872,0.0,0.5309631142215517,0.0,0.5515248199104965,0.0,0.44743710295744377,0.0,0.06289936411377128,0.0,0.274274340489976,0.0,0.8266575901108083,0.0,0.6049323469688497,0.0,0.773788484014996,0.0,0.7932278999604033,0.0,0.6092402831818198,0.0,0.7133411039004232,0.0,0.7310127132551799,0.0,0.23833664317418957,0.0,0.6503450937809323,0.0,0.44264134002970956,0.0,0.48521825504580984,0.0,0.239360826218866,0.0,0.6919803791376393,0.0,0.11988841895323155,0.0,0.293323084723892,0.0,0.7636827551184118,0.0,0.7342703667183157,0.0,0.904108055062679,0.0,0.766696509901176,0.0,0.5079793998724302,0.0,0.3886281883837225,0.0,0.757716525976932,0.0,0.1813072779940027
CPI,300,3.729687452316284,0.8341855964564098,1.0,0.874888048345553,1.0,0.048823344398303055,1.0,0.002255265579360101,1.0,0.000520052738489699,1.0,0.0005385496704002222,1.0,0.0010153437654125046,1.0,0.04332222914992289,1.0,0.019340019940642078,1.0,0.09690404692813526,1.0,0.00026497406499781606,1.0,0.007998486019372012,1.0,0.7634864233512285,0.0,0.8627337177019948,0.0,0.734231628444993,0.0,0.7194992351166474,0.0,0.7967953430905941,0.0,0.8530231999028621,0.0,0.36347533665351817,0.0,0.501674622803047,0.0,0.04074436432656593,0.0,0.14874137854319486,0.0,0.802729887139579,0.0,0.9703939653107085,0.0,0.8866753228470658,0.0,0.8535420578947774,0.0,0.7361842018236814,0.0,0.16103889472488858,0.0,0.8053513729476356,0.0,0.24977184838608807,0.0,0.2589973132002432,0.0,0.576409368587567,0.0,0.4373788167988324,0.0,0.6931787841671299,0.0,0.1092040941160008,0.0,0.34026697989926824,0.0,0.45477349673020234,0.0,0.20594194812818828,0.0,0.5357063972571783,0.0,0.3191815152599271,0.0,0.40143156055862483,0.0,0.06000702465035927,0.0,0.6823449439745701,0.0,0.6828579175458348,0.0,0.9910286396223236,0.0,0.2711418409792108,0.0,0.975030505763754,0.0,0.31002057250570747,0.0,0.638283152502535,0.0,0.29863357185792816,0.0,0.809847349197261
CPI_sqrt,300,3.7194907665252686,0.8341855964564098,1.0,0.5626766102968758,1.0,0.3230911406629139,1.0,0.14694575726981812,1.0,0.012127549311523052,1.0,0.05840911751973814,1.0,0.14468232074805637,1.0,0.44140348757012327,1.0,0.21104520758183504,1.0,0.33832820879731085,1.0,0.03136929050957741,1.0,0.07756934129983348,1.0,0.6560671636377609,0.0,0.4801264064499654,0.0,0.4800221779473077,0.0,0.6121843158308222,0.0,0.5373513889921949,0.0,0.5387884935245035,0.0,0.5981629815132564,0.0,0.4827927903817749,0.0,0.43095907732235117,0.0,0.5003729950900495,0.0,0.5247079190975346,0.0,0.4351466813104037,0.0,0.5721446208149629,0.0,0.6353216259103655,0.0,0.5263568736952491,0.0,0.40346931852081436,0.0,0.5696603510313475,0.0,0.5470158547102012,0.0,0.45933015672074506,0.0,0.5624938987162821,0.0,0.448602625726998,0.0,0.44599645363743984,0.0,0.4656130479967381,0.0,0.5062581819420238,0.0,0.4777510450772598,0.0,0.4694518814344658,0.0,0.4811112689776926,0.0,0.4995018506504341,0.0,0.5366067854117853,0.0,0.3394789017733004,0.0,0.5363513596021322,0.0,0.5243739333785973,0.0,0.5939839824342964,0.0,0.5087686087005752,0.0,0.5475115210730673,0.0,0.4892007342789083,0.0,0.5185257740577314,0.0,0.48538843108049307,0.0,0.5010226077142809
CPI_n,300,3.7188613414764404,0.8341855964564098,1.0,0.8699900683350148,1.0,0.08188383357192419,1.0,0.010463671515496495,1.0,0.0004888453601290594,1.0,0.0067570809010458095,1.0,0.0038110599244997826,1.0,0.3215261486448827,1.0,0.004111967704254488,1.0,0.5820381008871587,1.0,1.641686170619349e-05,1.0,0.010683002046535706,1.0,0.8611772875148718,0.0,0.5779132183060945,0.0,0.4251238475674173,0.0,0.8677227042711115,0.0,0.5323735449163076,0.0,0.7262693262711983,0.0,0.8603846352039658,0.0,0.4640377918152533,0.0,0.28231012945011963,0.0,0.40233581181255373,0.0,0.6820238970524374,0.0,0.43514072139650173,0.0,0.22367872622791918,0.0,0.6397146881654252,0.0,0.8350860386703983,0.0,0.27558424012498595,0.0,0.6410392767352686,0.0,0.4634242777894304,0.0,0.7379438038266302,0.0,0.5031562253652957,0.0,0.6083862811948033,0.0,0.1451059459665925,0.0,0.20238828233317663,0.0,0.6337641325804109,0.0,0.643632170847106,0.0,0.30305657536620334,0.0,0.4314845579848775,0.0,0.3497730520650531,0.0,0.20540395707120995,0.0,0.09322311029177782,0.0,0.6734489359465544,0.0,0.7981427116070927,0.0,0.9012333006283524,0.0,0.4144889883095883,0.0,0.4975141814588468,0.0,0.4432222640783267,0.0,0.2899225742067964,0.0,0.470175289575811,0.0,0.6141270723726309
CPI_bt,300,3.8980205059051514,0.8341855964564098,1.0,0.9475019451841128,1.0,2.299406407538622e-06,1.0,3.16402215036306e-08,1.0,1.0875195850112536e-14,1.0,2.2979205234986458e-07,1.0,3.724649241032061e-07,1.0,0.4457490644170057,1.0,9.293301396788199e-06,1.0,0.002493204725194102,1.0,9.182421298301714e-16,1.0,1.0552897646692952e-05,1.0,0.9961940529188636,0.0,0.1949633203151045,0.0,0.21405604056341554,0.0,0.957487386085154,0.0,0.9003532859921,0.0,0.932605183048236,0.0,0.7454206118762415,0.0,0.32145013764682123,0.0,0.1619811219088036,0.0,0.31387150944945097,0.0,0.7413903609390751,0.0,1.9558720245559525e-05,0.0,0.2974970275821872,0.0,0.8842244934815875,0.0,0.40654024188881627,0.0,0.017148481131088234,0.0,0.7167440188510928,0.0,0.8048256527757675,0.0,0.09838748784861295,0.0,0.9271698704920099,0.0,0.24124557128756446,0.0,0.1025160223873946,0.0,0.07103507873299904,0.0,0.8408211008451774,0.0,0.19099173966505056,0.0,0.01943586948035118,0.0,0.6345091167208806,0.0,0.4029254908549342,0.0,0.22166201231004912,0.0,0.0019689217071659167,0.0,0.3003733800018824,0.0,0.959921318168765,0.0,0.9344764480283388,0.0,0.2553257659572379,0.0,0.8691774246734214,0.0,0.03855954892395657,0.0,0.6971192675158989,0.0,0.0740892437899094,0.0,0.890010293082103
CPI_sqd,300,3.8934342861175537,0.8341855964564098,1.0,1.0,1.0,2.641572782692842e-78,1.0,5.456923686303382e-31,1.0,1.378973902224375e-19,1.0,1.5871080726917177e-05,1.0,1.2427161790320766e-65,1.0,1.4745519087293765e-05,1.0,1.3284126234525085e-05,1.0,0.00021928593023445335,1.0,1.5110467719155857e-16,1.0,3.1176409672910114e-10,1.0,0.2080484334618118,0.0,0.6764191878041673,0.0,5.139655434186505e-10,0.0,0.8424521289045184,0.0,1.0,0.0,1.0,0.0,0.995167085645156,0.0,0.3497832250727956,0.0,1.7721300960892676e-95,0.0,1.0,0.0,1.0,0.0,4.9462206701250215e-17,0.0,0.9927845492198475,0.0,0.9999999986681923,0.0,5.939243022454594e-05,0.0,0.8079809155421465,0.0,0.9999999909929687,0.0,1.0,0.0,0.9999999999983561,0.0,0.001830114271779242,0.0,3.71855927948602e-111,0.0,6.458374809310612e-08,0.0,1.951335449981121e-46,0.0,0.7291759484264511,0.0,0.655098187166953,0.0,6.718176398061176e-42,0.0,0.0007384845036010017,0.0,0.5221211182705462,0.0,2.2646789850012185e-25,0.0,3.95395889199851e-53,0.0,1.0,0.0,0.963900247464528,0.0,0.9998631424456325,0.0,9.419700782386634e-42,0.0,1.0,0.0,0.6200847768066551,0.0,5.965606006025614e-68,0.0,0.9820368965644339,0.0,0.9396211273681669
S-CPI,300,3.879511594772339,0.8341855964564098,1.0,0.9929564177652934,1.0,0.010390269705649014,1.0,0.0015130537692733036,1.0,1.4795005334954817e-05,1.0,0.005706771171938389,1.0,0.018750133359454066,1.0,0.35807805508364426,1.0,0.08497573060862862,1.0,0.8716780168930731,1.0,1.87501872981832e-05,1.0,0.03645052474512429,1.0,0.9379879776183762,0.0,0.7440756746789484,0.0,0.3706024506896969,0.0,0.7038454174627603,0.0,0.9887105782197811,0.0,0.7525927618652056,0.0,0.8716172700876558,0.0,0.8348292287337516,0.0,0.11988980449885073,0.0,0.2542507731381623,0.0,0.9000028773117391,0.0,0.6980510387788424,0.0,0.6737637050032201,0.0,0.9285535943585903,0.0,0.859714278290593,0.0,0.14535442195819398,0.0,0.8104766557566243,0.0,0.9723131112292304,0.0,0.666222365513178,0.0,0.9489729178850145,0.0,0.5753454218406258,0.0,0.2477065692236582,0.0,0.5734745731809008,0.0,0.9026601086340181,0.0,0.4406152534866846,0.0,0.19735494362527017,0.0,0.6668352057384017,0.0,0.4024893516131196,0.0,0.25835370065103924,0.0,0.023667328520178093,0.0,0.5712757921454734,0.0,0.6887283337260375,0.0,0.9963688209461458,0.0,0.30364165729859344,0.0,0.9513387372207274,0.0,0.2776097248889307,0.0,0.4179876956026544,0.0,0.9128222617006393,0.0,0.8922107991514856
S-CPI_sqrt,300,3.8768937587738037,0.8341855964564098,1.0,0.7595941905255026,1.0,0.19644114152180703,1.0,0.09488925519528224,1.0,0.012115096511632001,1.0,0.07640119010767779,1.0,0.19855286824161567,1.0,0.4499034608555451,1.0,0.2920785766262239,1.0,0.6490222722233389,1.0,0.014859918795830627,1.0,0.21292053396345445,1.0,0.6693753531203009,0.0,0.45721129125288873,0.0,0.5005675599361049,0.0,0.5480844406654584,0.0,0.6146323271149554,0.0,0.5587643540934187,0.0,0.5995834605609343,0.0,0.568269833464618,0.0,0.4613943798776428,0.0,0.4824131793358515,0.0,0.5802723595952706,0.0,0.5023345643135674,0.0,0.5458172718943702,0.0,0.5991224735685801,0.0,0.5911012906779101,0.0,0.39204676622581935,0.0,0.5701190109402702,0.0,0.5684900291209302,0.0,0.5302782076171595,0.0,0.545860922677161,0.0,0.5201502149174592,0.0,0.412596236385308,0.0,0.47830637881346855,0.0,0.5652103198261645,0.0,0.5485768880524798,0.0,0.47397742724609165,0.0,0.5007188337864223,0.0,0.4855858987157237,0.0,0.47471875425131727,0.0,0.36436231125720175,0.0,0.5277149311458172,0.0,0.5269878333293225,0.0,0.6389447495800656,0.0,0.509936316563734,0.0,0.6243762123714793,0.0,0.4664422931637929,0.0,0.530061786382643,0.0,0.5857544814403148,0.0,0.5398784849980568
S-CPI_n,300,3.875028610229492,0.8341855964564098,1.0,0.972438543077446,1.0,0.02799644922421354,1.0,0.0046226748955651405,1.0,4.338103002815752e-05,1.0,0.021034839205715562,1.0,0.03234484160046001,1.0,0.3327981963378128,1.0,0.2814979199391163,1.0,0.6056923741608747,1.0,0.00018337677117851174,1.0,0.0662975694246061,1.0,0.84065254686787,0.0,0.48837453065884917,0.0,0.270104720041535,0.0,0.8059913816587468,0.0,0.8535935641391215,0.0,0.7264038835432811,0.0,0.7805801234863516,0.0,0.5845127520932821,0.0,0.43128862459928224,0.0,0.43783321989687796,0.0,0.8228426259197352,0.0,0.5260207288898752,0.0,0.6263593650029473,0.0,0.7452190482360089,0.0,0.870949786741358,0.0,0.22999914277235195,0.0,0.6836482439364406,0.0,0.8942475012371344,0.0,0.6894863412370256,0.0,0.5655752093210562,0.0,0.6722332544855714,0.0,0.15449757384352836,0.0,0.24104042748628185,0.0,0.8425417037140115,0.0,0.7611615274373893,0.0,0.3534341112827213,0.0,0.5760518038754896,0.0,0.4568265802491545,0.0,0.18792270177030923,0.0,0.08444939890263731,0.0,0.6041456288825295,0.0,0.6405814290905005,0.0,0.9111875107119616,0.0,0.48380703402010056,0.0,0.8262570209371409,0.0,0.4484287603410892,0.0,0.577923135650695,0.0,0.6432523909062194,0.0,0.6772091739203885
S-CPI_bt,300,4.0500168800354,0.8341855964564098,1.0,0.9999975919521523,1.0,1.0120921813421402e-09,1.0,0.00014865685518122233,1.0,2.881156828938706e-10,1.0,0.01758493354021961,1.0,0.00022991780067253126,1.0,0.05572516125609147,1.0,0.15747846978832353,1.0,0.7441443826148615,1.0,2.1792683606018278e-07,1.0,0.005529054269901562,1.0,0.9869947708474981,0.0,0.756370453106533,0.0,0.023652102455982513,0.0,0.9379619434077722,0.0,0.9994326138441868,0.0,0.8444531250002552,0.0,0.9969484915843415,0.0,0.9033538607455966,0.0,0.37864564472756324,0.0,0.4090516698530193,0.0,0.9707159150879509,0.0,0.5992061215761594,0.0,0.8759290723707862,0.0,0.9991489849605262,0.0,0.978616101015589,0.0,0.02495042189392022,0.0,0.9533698810593751,0.0,0.9956444840036264,0.0,0.8198508554497852,0.0,0.6354051028742643,0.0,0.6851970152814344,0.0,0.010234464807631433,0.0,0.14549078363387513,0.0,0.9842089640275788,0.0,0.8663825247023031,0.0,0.07688415169936864,0.0,0.447302142290258,0.0,0.3006605662883567,0.0,0.10314127411243884,0.0,0.0019389685679604492,0.0,0.6297936167390175,0.0,0.6379991292875182,0.0,0.9999399088345797,0.0,0.4877494722582635,0.0,0.9946074248810537,0.0,0.34230352855365476,0.0,0.5341996069054126,0.0,0.7902176193407393,0.0,0.8879145643296126
