method,n,tr_time,r2_test,tr_V0,pval0,tr_V1,pval1,tr_V2,pval2,tr_V3,pval3,tr_V4,pval4,tr_V5,pval5,tr_V6,pval6,tr_V7,pval7,tr_V8,pval8,tr_V9,pval9,tr_V10,pval10,tr_V11,pval11,tr_V12,pval12,tr_V13,pval13,tr_V14,pval14,tr_V15,pval15,tr_V16,pval16,tr_V17,pval17,tr_V18,pval18,tr_V19,pval19,tr_V20,pval20,tr_V21,pval21,tr_V22,pval22,tr_V23,pval23,tr_V24,pval24,tr_V25,pval25,tr_V26,pval26,tr_V27,pval27,tr_V28,pval28,tr_V29,pval29,tr_V30,pval30,tr_V31,pval31,tr_V32,pval32,tr_V33,pval33,tr_V34,pval34,tr_V35,pval35,tr_V36,pval36,tr_V37,pval37,tr_V38,pval38,tr_V39,pval39,tr_V40,pval40,tr_V41,pval41,tr_V42,pval42,tr_V43,pval43,tr_V44,pval44,tr_V45,pval45,tr_V46,pval46,tr_V47,pval47,tr_V48,pval48,tr_V49,pval49
LOCO-W,300,130.62160181999207,0.4854376374631063,1.0,0.004983787116438654,1.0,0.8960652692606712,1.0,0.6595018369432226,1.0,0.8412000760380578,1.0,0.9215487574998049,1.0,0.9524503537047961,1.0,1.3641934450969728e-05,1.0,0.0013117108305332748,1.0,0.0013756964410369665,1.0,0.19428693482450188,1.0,0.038526482809110196,1.0,0.5827418870926684,0.0,0.5596474796658443,0.0,0.613183739461201,0.0,0.7431637546040124,0.0,0.8476450280153811,0.0,0.26381587821859775,0.0,0.43765263457678794,0.0,0.9962040600293041,0.0,0.36666681610674345,0.0,0.12455078800061403,0.0,0.7188080118493763,0.0,0.3989476576762272,0.0,0.42973743059316116,0.0,0.4658186653396893,0.0,0.5722643689100784,0.0,0.4519024729627623,0.0,0.020994695620798143,0.0,0.8681014047989,0.0,0.7345642991325708,0.0,0.16651670978756805,0.0,0.5496292766657729,0.0,0.32274884316310615,0.0,0.9360768876890629,0.0,0.9885735624527843,0.0,0.5711992803202948,0.0,0.8259429668719485,0.0,0.2513873225645453,0.0,0.3235346321500385,0.0,0.7964589434207278,0.0,0.10495427737993279,0.0,0.7642215485680381,0.0,0.020588630287933674,0.0,0.002987686766748099,0.0,0.4729231452851801,0.0,0.8610858777977662,0.0,0.9903537259431403,0.0,0.9830804057446378,0.0,0.360674373124074,0.0,0.9121162023669811
CPI,300,6.396980047225952,0.4854376374631063,1.0,0.001694281254661814,1.0,0.15292683151836894,1.0,0.1080848800726526,1.0,0.035535866098066755,1.0,0.2826315848211839,1.0,0.06631924337164173,1.0,0.0008834300570000371,1.0,0.09031585334893782,1.0,0.18887038872160206,1.0,0.5837765162520977,1.0,0.6679316565282843,1.0,0.972184038070574,0.0,0.04460877425452046,0.0,0.6178729205412,0.0,0.4086222167082266,0.0,0.29365084758226834,0.0,0.8164070761613778,0.0,0.16743799617257954,0.0,0.5442589709052295,0.0,0.30359863028655115,0.0,0.15328694267795956,0.0,0.8307705618624052,0.0,0.03637227123585942,0.0,0.8331152031790587,0.0,0.14619102769344716,0.0,0.6640131675815387,0.0,0.3191919178088022,0.0,0.3967275469556536,0.0,0.2381995614181231,0.0,0.8894000025950095,0.0,0.2335476461492852,0.0,0.8696877330476503,0.0,0.679215159559461,0.0,0.6695197246802673,0.0,0.04875826900832546,0.0,0.3585233072695533,0.0,0.9400332117219244,0.0,0.20823702281037382,0.0,0.021453147247248117,0.0,0.13328976150662714,0.0,0.7234243706027736,0.0,0.4605285888951409,0.0,0.07851838349734612,0.0,0.29339585945506186,0.0,0.1327641855728658,0.0,0.6378562134055725,0.0,0.0356336550857089,0.0,0.7329825829502353,0.0,0.48295181845809776,0.0,0.09362602059084274
CPI_sqrt,300,6.391125440597534,0.4854376374631063,1.0,0.17181737892389481,1.0,0.4531149455561765,1.0,0.5601636753268314,1.0,0.4203722388101291,1.0,0.4640468666070828,1.0,0.4906779712468118,1.0,0.024175463376043066,1.0,0.28685866419606443,1.0,0.5447951269140855,1.0,0.525285491299199,1.0,0.47636583063322696,1.0,0.511292232667798,0.0,0.4815857147892178,0.0,0.4868042338496416,0.0,0.510659810180076,0.0,0.4501151597939342,0.0,0.5074268766291131,0.0,0.4967510474982385,0.0,0.49122273546104966,0.0,0.48130571988332743,0.0,0.4522966999903871,0.0,0.5415220970725337,0.0,0.490121620120138,0.0,0.5128005126094669,0.0,0.5007292485287076,0.0,0.49276819434906494,0.0,0.5567873598267356,0.0,0.4721388112275657,0.0,0.5186547141238089,0.0,0.5183648535148637,0.0,0.49950133643314076,0.0,0.49654776463584605,0.0,0.5008412403720759,0.0,0.539207633063501,0.0,0.5086771126198337,0.0,0.48561319987310914,0.0,0.5169220053857497,0.0,0.49120189593772606,0.0,0.47503685300917226,0.0,0.4684714881082027,0.0,0.5307035251003325,0.0,0.5022385276707669,0.0,0.4470982217511406,0.0,0.46067512570435604,0.0,0.5004213447259235,0.0,0.5318578227330577,0.0,0.4753071272503967,0.0,0.5105636330349498,0.0,0.5074063483084886,0.0,0.4743860240248729
CPI_n,300,6.377621412277222,0.4854376374631063,1.0,0.00696972873899008,1.0,0.033676872317471684,1.0,0.3015401683380283,1.0,0.2899680575424354,1.0,0.5267417643793586,1.0,0.44216281980636224,1.0,1.1561036414571164e-06,1.0,0.08353125197859351,1.0,0.6515969283499099,1.0,0.52663879649968,1.0,0.5864186254022519,1.0,0.6195185044649443,0.0,0.3687468238802306,0.0,0.5283015589905975,0.0,0.4112975928236235,0.0,0.36136933910248276,0.0,0.6308089963404212,0.0,0.32860093055490797,0.0,0.4152381662392607,0.0,0.37572077761833156,0.0,0.3319480867839805,0.0,0.5772816049700538,0.0,0.4012456735593661,0.0,0.5770119166355501,0.0,0.4685391627009233,0.0,0.5934385072277168,0.0,0.5610481013404747,0.0,0.4525783083824133,0.0,0.3036689082955517,0.0,0.721189834169312,0.0,0.49000576257811046,0.0,0.3056355958487351,0.0,0.5912628374536765,0.0,0.5322566148502689,0.0,0.5235277569342411,0.0,0.47478060397788674,0.0,0.5813371068843021,0.0,0.4551516263021343,0.0,0.3636946609696786,0.0,0.29144903239891384,0.0,0.6399363336991046,0.0,0.5398621721235084,0.0,0.16919118225031432,0.0,0.5649294316757479,0.0,0.4913027605462067,0.0,0.701641201324916,0.0,0.43507456131966044,0.0,0.5592734150746591,0.0,0.5476707588545465,0.0,0.24795969781620275
CPI_bt,300,6.607070446014404,0.4854376374631063,1.0,5.990110696910501e-08,1.0,0.021002922053543607,1.0,0.5675426647929954,1.0,0.00023605873566055508,1.0,0.09148765020588318,1.0,0.46457472565506597,1.0,4.836616657131095e-06,1.0,7.0326412291566805e-06,1.0,0.7171173405715678,1.0,0.4087964570386119,1.0,0.15281535471844054,1.0,0.6003499357378604,0.0,0.32492963867353575,0.0,0.5100929425621433,0.0,0.17384899303009177,0.0,0.6413061403862491,0.0,0.5327690360641754,0.0,0.31503436545982044,0.0,0.30839591824508905,0.0,0.31241608095651796,0.0,0.23086883578781092,0.0,0.6420750008234096,0.0,0.3290328663782307,0.0,0.5443047775487981,0.0,0.3945621342793797,0.0,0.5591294498347673,0.0,0.5157614706465028,0.0,0.47359859253776754,0.0,0.4339638208707791,0.0,0.7492918962191272,0.0,0.254122319204292,0.0,0.5808564157684402,0.0,0.6501693983317366,0.0,0.6810791629210722,0.0,0.46193405889263806,0.0,0.40266717758510145,0.0,0.6406694795091372,0.0,0.2921287857525181,0.0,0.5231221243182236,0.0,0.3076458295360699,0.0,0.6773941201820466,0.0,0.44478430306466205,0.0,0.15135098895452198,0.0,0.32559359641372343,0.0,0.5797773902677571,0.0,0.12922493734867274,0.0,0.049312871849673715,0.0,0.37482608250783384,0.0,0.4097156480655378,0.0,0.26316481233912054
CPI_sqd,300,6.559251070022583,0.4854376374631063,1.0,8.417769744526344e-32,1.0,0.03697212970777059,1.0,1.0,1.0,2.1190740854552867e-249,1.0,7.550390372037513e-05,1.0,2.6573128247178683e-134,1.0,0.0031862619418893947,1.0,1.1440037247371277e-34,1.0,4.744741998403014e-20,1.0,0.9831044959677997,1.0,4.099095699816194e-45,1.0,1.0,0.0,2.3877720416866718e-147,0.0,4.594990581244735e-97,0.0,0.13584167634190641,0.0,0.997406530217102,0.0,0.999999998531476,0.0,1.5746300708496144e-65,0.0,4.132598143858324e-27,0.0,1.6571864710225758e-256,0.0,1.9778069595607884e-236,0.0,1.0,0.0,6.568013736398451e-07,0.0,0.9999970498689124,0.0,0.9960543316608536,0.0,2.338983478958005e-05,0.0,0.9999999999999998,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.2362185676003888e-07,0.0,1.0,0.0,1.0,0.0,0.9949774078767533,0.0,2.0023723908791796e-10,0.0,0.025357644467904363,0.0,1.0,0.0,3.625762501586885e-24,0.0,3.7231103140166176e-151,0.0,4.4709712551166765e-126,0.0,0.999999999939161,0.0,3.8516698450426497e-16,0.0,5.578127722580305e-179,0.0,0.9999955348622159,0.0,1.0,0.0,0.7176107039793338,0.0,2.2224853137745502e-91,0.0,1.0,0.0,0.0644203447444905,0.0,1.637375604216163e-143
S-CPI,300,18.349563360214233,0.4854376374631063,1.0,2.338526903387651e-05,1.0,0.09157640779944143,1.0,0.930410869525927,1.0,0.06751939560268602,1.0,0.3137763492293223,1.0,0.3310015607713245,1.0,9.562020487642256e-05,1.0,0.04992717989314456,1.0,0.8399881794272861,1.0,0.6777983285917837,1.0,0.5035438740229488,1.0,0.7499421852750563,0.0,0.010560601137588065,0.0,0.5386985554307094,0.0,0.213989391352075,0.0,0.3256744404615599,0.0,0.7831949892913752,0.0,0.12544623483979217,0.0,0.27676293772096217,0.0,0.11979350271271083,0.0,0.05587577460703294,0.0,0.941529398151245,0.0,0.4097534562632491,0.0,0.8707064658815857,0.0,0.30249854307180546,0.0,0.4317727115062374,0.0,0.8628646740789809,0.0,0.4048812678785224,0.0,0.6457058591290394,0.0,0.8992049221468121,0.0,0.41255463770779277,0.0,0.6930627015859527,0.0,0.8313112924337837,0.0,0.5407027786749902,0.0,0.45235269699346736,0.0,0.40286498572832163,0.0,0.9210763428249359,0.0,0.15410136760196214,0.0,0.0047431395012967,0.0,0.07778531294344085,0.0,0.9810605090570262,0.0,0.5192352167510921,0.0,0.011912506702886948,0.0,0.08136511668591145,0.0,0.571123568999663,0.0,0.6648327315354279,0.0,0.04501021936627843,0.0,0.5312697076387506,0.0,0.1460210246584847,0.0,0.057495875141986036
S-CPI_sqrt,300,18.286402463912964,0.4854376374631063,1.0,0.08460962988391452,1.0,0.2909200474379029,1.0,0.544019633734522,1.0,0.30702570441356314,1.0,0.4765181615565865,1.0,0.47549429317361275,1.0,0.019581603031507463,1.0,0.22141370285223516,1.0,0.5129799320710107,1.0,0.5412768754986577,1.0,0.4705944296703919,1.0,0.5205313293795426,0.0,0.4628856788377067,0.0,0.4948933054432497,0.0,0.481868205363795,0.0,0.4998035786745572,0.0,0.5241708027856232,0.0,0.4830324769420329,0.0,0.483789496291053,0.0,0.4737002055923442,0.0,0.4371616751957583,0.0,0.5300697654740066,0.0,0.4994634099479947,0.0,0.5250661464354912,0.0,0.4854771945886473,0.0,0.5024894566726363,0.0,0.5406215400882722,0.0,0.4995737951057991,0.0,0.4909378863723115,0.0,0.5362110323434698,0.0,0.4928528175557149,0.0,0.49979792211556395,0.0,0.5108161820173389,0.0,0.5332994384611834,0.0,0.5056993081302692,0.0,0.47564273189759104,0.0,0.5295555682177575,0.0,0.483785807702927,0.0,0.4624826732041256,0.0,0.4635475330413511,0.0,0.5668080732028713,0.0,0.4913139121213678,0.0,0.43035223644392057,0.0,0.48651963447849,0.0,0.5099388912108276,0.0,0.5273342336317759,0.0,0.4426950117179609,0.0,0.5184626173117235,0.0,0.49005971721466407,0.0,0.4525781101062258
S-CPI_n,300,18.27072548866272,0.4854376374631063,1.0,0.0017695474622321276,1.0,0.1159200452631241,1.0,0.7794102544260618,1.0,0.1217639251760056,1.0,0.286550734554574,1.0,0.3427218575733768,1.0,0.012652729084673657,1.0,0.05826973139728086,1.0,0.5220740856541614,1.0,0.5610468238277719,1.0,0.42178256516908763,1.0,0.601826049155201,0.0,0.24954034813131298,0.0,0.4433085402096144,0.0,0.4934615005140019,0.0,0.4856489779127637,0.0,0.5498624473107797,0.0,0.3988214956789148,0.0,0.3907958268128132,0.0,0.4946512527579501,0.0,0.2379050137733999,0.0,0.650234312013176,0.0,0.42767231567994357,0.0,0.6453298748853933,0.0,0.43319701333435234,0.0,0.5172640153201147,0.0,0.6646876310891521,0.0,0.4578959535301361,0.0,0.5190480378240119,0.0,0.7148899764181836,0.0,0.4567372910738122,0.0,0.5619989110966396,0.0,0.5895930354340956,0.0,0.6822837214626598,0.0,0.440579891672025,0.0,0.4677754150030287,0.0,0.6581842893768568,0.0,0.3970048783020179,0.0,0.2641209368054789,0.0,0.31488576469562757,0.0,0.8301018611870391,0.0,0.5266012997224557,0.0,0.20130304238154983,0.0,0.3778150009916382,0.0,0.5223615113068155,0.0,0.647700489648372,0.0,0.2066708523654115,0.0,0.6479773297033571,0.0,0.368456609701963,0.0,0.15625285464903854
S-CPI_bt,300,18.535957098007202,0.4854376374631063,1.0,1.2790505201417554e-15,1.0,0.0008242252106866218,1.0,0.8040224617334442,1.0,0.00012482938812187583,1.0,0.112832077417312,1.0,0.08991648352861797,1.0,0.0008492692514697572,1.0,0.00366124079008293,1.0,0.9417769755363288,1.0,0.7446120744962432,1.0,0.29999821574766894,1.0,0.6760837404472393,0.0,0.1610886414228827,0.0,0.3507756504702597,0.0,0.45789167612454174,0.0,0.3186679026898809,0.0,0.6201800447106292,0.0,0.3312932805367291,0.0,0.3199985659406429,0.0,0.2845389632943465,0.0,0.08152210740848714,0.0,0.793481764834324,0.0,0.4447038075950458,0.0,0.6947007262370464,0.0,0.2826866287586809,0.0,0.4714503087598725,0.0,0.39073904492638384,0.0,0.4333731960404652,0.0,0.5611519503950029,0.0,0.8505402170258459,0.0,0.3913199163568157,0.0,0.5303538224176275,0.0,0.5929342482831557,0.0,0.736050762155634,0.0,0.47341462163771747,0.0,0.4818466328841718,0.0,0.7750452972969732,0.0,0.36226839413313744,0.0,0.17162519323942638,0.0,0.21871576026998996,0.0,0.9171683513810189,0.0,0.6154948474768087,0.0,0.04437162899982445,0.0,0.322470418777814,0.0,0.539296479108807,0.0,0.7335524069262372,0.0,0.03127300065254928,0.0,0.7424798143767055,0.0,0.5218405684571085,0.0,0.06859769638976512
