method,n,tr_time,r2_test,tr_V0,pval0,tr_V1,pval1,tr_V2,pval2,tr_V3,pval3,tr_V4,pval4,tr_V5,pval5,tr_V6,pval6,tr_V7,pval7,tr_V8,pval8,tr_V9,pval9,tr_V10,pval10,tr_V11,pval11,tr_V12,pval12,tr_V13,pval13,tr_V14,pval14,tr_V15,pval15,tr_V16,pval16,tr_V17,pval17,tr_V18,pval18,tr_V19,pval19,tr_V20,pval20,tr_V21,pval21,tr_V22,pval22,tr_V23,pval23,tr_V24,pval24,tr_V25,pval25,tr_V26,pval26,tr_V27,pval27,tr_V28,pval28,tr_V29,pval29,tr_V30,pval30,tr_V31,pval31,tr_V32,pval32,tr_V33,pval33,tr_V34,pval34,tr_V35,pval35,tr_V36,pval36,tr_V37,pval37,tr_V38,pval38,tr_V39,pval39,tr_V40,pval40,tr_V41,pval41,tr_V42,pval42,tr_V43,pval43,tr_V44,pval44,tr_V45,pval45,tr_V46,pval46,tr_V47,pval47,tr_V48,pval48,tr_V49,pval49
LOCO-W,300,846.8577065467834,0.9856187655020069,1.0,0.2571754678509425,1.0,2.1856467603553753e-05,1.0,0.7970138438262362,1.0,0.599514346138799,1.0,2.9641169518868082e-09,1.0,3.5361906736142146e-09,1.0,3.9112343763747504e-07,1.0,0.007402761635429855,1.0,4.914226074514971e-06,1.0,0.9901634159761442,1.0,2.1878499012473185e-11,1.0,1.5143270518769292e-05,0.0,0.9649706047748468,0.0,0.005664687080182418,0.0,0.9999724222742137,0.0,0.03898822817150582,0.0,0.9443666627156779,0.0,0.999296965518877,0.0,0.9548066304651667,0.0,0.9923825599487874,0.0,0.9854761606601162,0.0,0.0027302918430134326,0.0,0.9683064276380124,0.0,0.00019494284805043893,0.0,0.001799158198267481,0.0,0.0035998421922065482,0.0,0.003353207763309274,0.0,0.004378094087771678,0.0,0.997734237473481,0.0,0.0035298646857068183,0.0,0.9968514496259345,0.0,0.9999263836645145,0.0,0.0019571782381987424,0.0,4.9583067748604215e-05,0.0,0.0018724699639186548,0.0,0.9954289675213005,0.0,4.6870573948143424e-05,0.0,0.00023432522116717536,0.0,0.9938835264528508,0.0,0.998734438141765,0.0,3.6386363808649236e-06,0.0,0.9997839783053933,0.0,0.05480351295046837,0.0,0.0018743605202887759,0.0,0.9991445543483182,0.0,0.00016176539904011467,0.0,2.010951364095348e-06,0.0,0.9978068187795367,0.0,0.0008459230227855219,0.0,6.2289113913927e-05
CPI,300,16.549357891082764,0.9856187655020069,1.0,0.0002848273929867794,1.0,4.155062173102378e-08,1.0,0.0005806389051922205,1.0,2.668237896587653e-06,1.0,5.8751816645066854e-06,1.0,2.10039240724681e-06,1.0,3.5579957577996074e-08,1.0,0.3057163928335517,1.0,0.0008961733712598365,1.0,0.00015457481864653293,1.0,2.765687199314131e-11,1.0,0.0026252021638358343,0.0,0.8531043604379778,0.0,0.2779768825283841,0.0,0.5558964473799508,0.0,0.8584337741743819,0.0,0.9139120485307708,0.0,0.07578885461085977,0.0,0.27166411474757735,0.0,0.24539748303046938,0.0,0.8802951952697565,0.0,0.060918789319042224,0.0,0.33745161788410766,0.0,0.8050025547972882,0.0,0.6531244479210572,0.0,0.13804396280528042,0.0,0.25891409506119534,0.0,0.3511948734526991,0.0,0.9148099543028945,0.0,0.5822263122241917,0.0,0.2756804300203089,0.0,0.08681483936676587,0.0,0.8127367840225539,0.0,0.6998217151433984,0.0,0.5680016167532849,0.0,0.6097135527624399,0.0,0.3027094449433968,0.0,0.07564692678262346,0.0,0.17521243069850512,0.0,0.25965625610773885,0.0,0.5608724361731581,0.0,0.21741572594096686,0.0,0.4655261018389041,0.0,0.7418346966331323,0.0,0.01702238959619096,0.0,0.361498231842131,0.0,0.32367467564841634,0.0,0.31554752434873656,0.0,0.4067463769544176,0.0,0.19890607863677207
CPI_sqrt,300,16.572237730026245,0.9856187655020069,1.0,0.011452963979628698,1.0,0.01617148202874532,1.0,0.22967194561235332,1.0,0.15472312537479593,1.0,0.0006328981675580609,1.0,0.003256229199806089,1.0,0.0003168590438309195,1.0,0.5096751681668354,1.0,0.3822398741341102,1.0,0.14671323181290197,1.0,0.019346582573538617,1.0,0.3096378796369242,0.0,0.4999960036801489,0.0,0.5000525228442153,0.0,0.49999851668530937,0.0,0.5000071974517548,0.0,0.5002455882641067,0.0,0.5005536923823999,0.0,0.5000510537423081,0.0,0.5002596278279363,0.0,0.5076993473951125,0.0,0.5000330036034552,0.0,0.5006784166982879,0.0,0.5001956263192374,0.0,0.4999954023307826,0.0,0.5002328549507523,0.0,0.4997366823065494,0.0,0.49980357898009586,0.0,0.49984005943694576,0.0,0.5020117817796365,0.0,0.5000155559723535,0.0,0.49998539399755215,0.0,0.5001018071740942,0.0,0.5000547020601906,0.0,0.499910805102228,0.0,0.49946392046568877,0.0,0.49998719808170883,0.0,0.49996291879962157,0.0,0.4976521039205982,0.0,0.49997702479701056,0.0,0.49996406727116766,0.0,0.5000425068938756,0.0,0.4999917581633262,0.0,0.499813983876043,0.0,0.49997766081042605,0.0,0.5088876514776643,0.0,0.5022903966912325,0.0,0.49996196563499556,0.0,0.49998394868530693,0.0,0.5000881217274123
CPI_n,300,16.584860801696777,0.9856187655020069,1.0,0.00012215420011327388,1.0,8.085711654611949e-09,1.0,0.010997846805045963,1.0,0.0009708694027384953,1.0,3.730336348185005e-08,1.0,9.563432612955743e-08,1.0,1.6529952110000833e-05,1.0,0.5032705928752305,1.0,0.020594832493602305,1.0,0.0014054598260901522,1.0,3.016107773430414e-07,1.0,0.04283510408811072,0.0,0.499845330038682,0.0,0.49975092928074444,0.0,0.49965659399228257,0.0,0.5002592246019284,0.0,0.5016195188130411,0.0,0.492371125153211,0.0,0.4997109825182953,0.0,0.5039466833681117,0.0,0.5437986339276623,0.0,0.500251823730419,0.0,0.4967113324837012,0.0,0.5025945417176677,0.0,0.5005641468871865,0.0,0.5004497719441059,0.0,0.48937528702586675,0.0,0.49842783818422354,0.0,0.5022861577507403,0.0,0.5071802449556222,0.0,0.4988812494303944,0.0,0.49993217887000574,0.0,0.5008905127872689,0.0,0.4997854512815009,0.0,0.5008412796797864,0.0,0.5339612535393718,0.0,0.4998671725193951,0.0,0.49998851619444673,0.0,0.45565252193039724,0.0,0.4991822372152812,0.0,0.4998480034870688,0.0,0.5013181154028196,0.0,0.49997592483047715,0.0,0.498960625822998,0.0,0.49965629850769067,0.0,0.5074812706232743,0.0,0.5256419837249448,0.0,0.49971597261030126,0.0,0.499392831984121,0.0,0.4989976188969443
CPI_bt,300,16.736594200134277,0.9856187655020069,1.0,0.0074859171287653264,1.0,4.833607207534981e-18,1.0,9.644505914404853e-08,1.0,5.608339814807783e-09,1.0,0.0011475187676610573,1.0,4.577163054170071e-05,1.0,0.00045557776433304453,1.0,0.6807510971576284,1.0,0.000178798235432213,1.0,1.6662737591918614e-09,1.0,1.0504280823582873e-20,1.0,2.49521052155996e-05,0.0,0.4999111625475611,0.0,0.5002073144988756,0.0,0.49983456420473227,0.0,0.50017436733788,0.0,0.502006774053877,0.0,0.4867328335384831,0.0,0.5003243229577554,0.0,0.5050901618074068,0.0,0.5578632095162895,0.0,0.4992838006383123,0.0,0.481536054460778,0.0,0.5009692942495177,0.0,0.49997066600350565,0.0,0.5010378034165118,0.0,0.5228953508189842,0.0,0.5003624451374797,0.0,0.5003328495781776,0.0,0.48700878105422646,0.0,0.4996399582311667,0.0,0.5001769342337394,0.0,0.500366034261043,0.0,0.5012943200573124,0.0,0.5001870047149185,0.0,0.574481768642584,0.0,0.499841620055378,0.0,0.4990371690942129,0.0,0.4192454785330323,0.0,0.4993947236762704,0.0,0.4996272594248992,0.0,0.49858054734257656,0.0,0.5002378867209226,0.0,0.5009449387136622,0.0,0.5000315565144061,0.0,0.5073353321674133,0.0,0.48585948919199506,0.0,0.4997445843538706,0.0,0.4999922835524871,0.0,0.5001491000922612
CPI_sqd,300,16.742502689361572,0.9856187655020069,1.0,0.08885669453551792,1.0,2.6031222788974487e-14,1.0,9.815195955223326e-40,1.0,9.008520521570023e-76,1.0,0.0002098096350182817,1.0,6.905064959995515e-09,1.0,6.115806518867053e-10,1.0,0.9999999999998366,1.0,7.832867868121524e-97,1.0,4.1161919031982983e-13,1.0,3.787235059860236e-27,1.0,1.418660792391018e-48,0.0,0.4753430189344037,0.0,0.4918591156545602,0.0,0.4844465492979309,0.0,0.5205466013235597,0.0,0.6242089591065071,0.0,0.018786324085790687,0.0,0.48364197163845873,0.0,0.7878689757235912,0.0,1.0,0.0,0.4776616694252769,0.0,1.5380088669063582e-09,0.0,0.7184329887690042,0.0,0.5659564237372804,0.0,0.5060395848833764,0.0,0.9999999935924759,0.0,0.4824778218034031,0.0,0.26773319116945116,0.0,0.6220405824674258,0.0,0.5697789249442755,0.0,0.5357454674713613,0.0,0.5637778123995467,0.0,0.5305490052703866,0.0,0.5872754628253062,0.0,0.999999945613002,0.0,0.4879545117044527,0.0,0.4229040793029812,0.0,7.293164841356641e-19,0.0,0.5552936954349293,0.0,0.4705257332499712,0.0,0.5596508026807828,0.0,0.5524962133337978,0.0,0.6012607864827693,0.0,0.46518041453228615,0.0,0.9819615163811111,0.0,0.06204397248317447,0.0,0.44467751205013645,0.0,0.5531509476089798,0.0,0.5284811114287631
S-CPI,300,29.168458461761475,0.9856187655020069,1.0,0.0010625250559688781,1.0,8.669215492932431e-08,1.0,1.019234754031569e-05,1.0,0.002681879064537778,1.0,6.822924431336626e-07,1.0,4.215992666027685e-06,1.0,2.5312304437719762e-05,1.0,0.9115072455604356,1.0,0.006496504991910313,1.0,0.001094338374560286,1.0,6.144910661738936e-09,1.0,0.03438282033947356,0.0,0.23167061406455236,0.0,0.251650097311701,0.0,0.4750957963713431,0.0,0.8480364309920786,0.0,0.9095898662131392,0.0,0.4155270015293953,0.0,0.5416354321744145,0.0,0.7390778918299862,0.0,0.9675242972571925,0.0,0.39024358015064214,0.0,0.7420641503959369,0.0,0.7409470055478905,0.0,0.787104428566385,0.0,0.6475395934979623,0.0,0.37106099843958146,0.0,0.2745619889562989,0.0,0.6883317600479703,0.0,0.6954258798317757,0.0,0.4038994385392075,0.0,0.4594321994859309,0.0,0.9961771601343613,0.0,0.9868374868259155,0.0,0.35808903045857005,0.0,0.7649526067490704,0.0,0.08984198587989284,0.0,0.07364910130210876,0.0,0.10884721846098505,0.0,0.19992140406573783,0.0,0.3177253894256597,0.0,0.7248198856732009,0.0,0.8460965650856728,0.0,0.6756873009348403,0.0,0.12069945754104133,0.0,0.36590714860279877,0.0,0.501262732419604,0.0,0.0713428728624449,0.0,0.7701440487443858,0.0,0.576385921153877
S-CPI_sqrt,300,29.150912761688232,0.9856187655020069,1.0,0.007771410008563549,1.0,0.008766778261800353,1.0,0.20848004984359636,1.0,0.15106172072562624,1.0,0.001011145933176257,1.0,0.00551662411352979,1.0,0.001066279131563689,1.0,0.5147941857347303,1.0,0.3612793807110669,1.0,0.1556260213816844,1.0,0.030292321505368616,1.0,0.3660786548650301,0.0,0.49998195647292554,0.0,0.49996828075669913,0.0,0.5000002687547005,0.0,0.5000979532154858,0.0,0.5002584549196176,0.0,0.5000222721766804,0.0,0.4999453843866725,0.0,0.500891636362223,0.0,0.5151558112190243,0.0,0.49997336862961705,0.0,0.501182864457922,0.0,0.5002858148240386,0.0,0.500088088972255,0.0,0.5000099957782665,0.0,0.5004306921572688,0.0,0.4998663452759948,0.0,0.5000597413378747,0.0,0.5006955049651916,0.0,0.49988773473657844,0.0,0.5000036152932391,0.0,0.500146242775419,0.0,0.5001265336468095,0.0,0.5000191279266749,0.0,0.5060967701482223,0.0,0.4999729503689424,0.0,0.4999094571521604,0.0,0.49085961846013054,0.0,0.5000212237808965,0.0,0.4999741940819172,0.0,0.5000762637336247,0.0,0.5000468629610226,0.0,0.5000621922063266,0.0,0.49996064096516485,0.0,0.4997260048814923,0.0,0.50365391406968,0.0,0.4999299004752372,0.0,0.5000484036817199,0.0,0.5000563031289847
S-CPI_n,300,29.151249885559082,0.9856187655020069,1.0,0.004244298500385621,1.0,9.045392846889022e-07,1.0,0.0018879292820192242,1.0,0.0025724018091186763,1.0,1.5010085416863841e-06,1.0,1.2541502809359818e-05,1.0,3.147383597374683e-05,1.0,0.6475130893117047,1.0,0.05836937915720989,1.0,0.004635063613141842,1.0,1.1536215672201035e-06,1.0,0.09021005900074375,0.0,0.4996961308337493,0.0,0.49943761822635185,0.0,0.5000174804054872,0.0,0.5005392643882127,0.0,0.5019818693724606,0.0,0.4932543525043052,0.0,0.5001142035215997,0.0,0.5084414875443166,0.0,0.5768081068034108,0.0,0.5000909568361253,0.0,0.48700042995471904,0.0,0.5020211401881253,0.0,0.5003464693060389,0.0,0.5004479955074772,0.0,0.5186635592414027,0.0,0.4989677438527618,0.0,0.5018972486693428,0.0,0.5247415592826149,0.0,0.49969404777859255,0.0,0.5001143940034354,0.0,0.5009534592502145,0.0,0.500872381508351,0.0,0.4999084566313525,0.0,0.5818480647858408,0.0,0.49974460161926426,0.0,0.49883287846310465,0.0,0.4091312717982394,0.0,0.4996392219277341,0.0,0.4997036312958026,0.0,0.5011670584150854,0.0,0.5003006518638748,0.0,0.5007945766442912,0.0,0.49962618924101543,0.0,0.5361542892196486,0.0,0.5180683247917093,0.0,0.4992137751921745,0.0,0.5011645139629017,0.0,0.49943190136263493
S-CPI_bt,300,29.329657554626465,0.9856187655020069,1.0,0.20176358011606388,1.0,7.02955760304109e-09,1.0,7.674626495829987e-12,1.0,2.0196523679661504e-07,1.0,0.014038221278577439,1.0,0.0005547350715658924,1.0,0.0011898553418537327,1.0,0.5584008367557072,1.0,0.0006601353187057298,1.0,2.6484917352543715e-06,1.0,1.951581508788926e-15,1.0,0.00010094044177873308,0.0,0.4997603056372274,0.0,0.5000677926177949,0.0,0.4999269056803116,0.0,0.5007797107537456,0.0,0.5023151583888322,0.0,0.49594438629835663,0.0,0.5001654827926412,0.0,0.5033412434308527,0.0,0.599987794887426,0.0,0.5000578762289744,0.0,0.5161199808553636,0.0,0.5027202304152195,0.0,0.5002492894865582,0.0,0.5003187889309766,0.0,0.4913143347688838,0.0,0.4995331486719618,0.0,0.5008923705944095,0.0,0.5018433318931246,0.0,0.49939039849055655,0.0,0.49987328002614057,0.0,0.5010998457787937,0.0,0.501270231621439,0.0,0.4996611347341086,0.0,0.5811834308102324,0.0,0.499538389872363,0.0,0.49998937433875024,0.0,0.41808191089934776,0.0,0.49940474071942714,0.0,0.49978363349144067,0.0,0.5010462111499198,0.0,0.5003723604914023,0.0,0.4996420472478609,0.0,0.49939280579391193,0.0,0.5351007834685045,0.0,0.5166900185065144,0.0,0.49915376472027617,0.0,0.5012356461338405,0.0,0.499538357340116
