method,n,tr_time,r2_test,tr_V0,pval0,tr_V1,pval1,tr_V2,pval2,tr_V3,pval3,tr_V4,pval4,tr_V5,pval5,tr_V6,pval6,tr_V7,pval7,tr_V8,pval8,tr_V9,pval9,tr_V10,pval10,tr_V11,pval11,tr_V12,pval12,tr_V13,pval13,tr_V14,pval14,tr_V15,pval15,tr_V16,pval16,tr_V17,pval17,tr_V18,pval18,tr_V19,pval19,tr_V20,pval20,tr_V21,pval21,tr_V22,pval22,tr_V23,pval23,tr_V24,pval24,tr_V25,pval25,tr_V26,pval26,tr_V27,pval27,tr_V28,pval28,tr_V29,pval29,tr_V30,pval30,tr_V31,pval31,tr_V32,pval32,tr_V33,pval33,tr_V34,pval34,tr_V35,pval35,tr_V36,pval36,tr_V37,pval37,tr_V38,pval38,tr_V39,pval39,tr_V40,pval40,tr_V41,pval41,tr_V42,pval42,tr_V43,pval43,tr_V44,pval44,tr_V45,pval45,tr_V46,pval46,tr_V47,pval47,tr_V48,pval48,tr_V49,pval49
LOCO-W,300,2.5671491622924805,0.9860088793144184,1.0,4.036072406621294e-05,1.0,0.5295822559620439,1.0,7.29209008487608e-05,1.0,0.8104146234394596,1.0,0.2418587014142355,1.0,7.28777997949237e-08,1.0,0.15946143436394067,1.0,0.006943205002121533,1.0,0.0008624083942945227,1.0,0.9566653904400862,1.0,0.3209501948745591,1.0,0.9625844097807663,0.0,4.395297533821285e-06,0.0,0.9992368050331707,0.0,0.02002685738518628,0.0,0.08732412112859689,0.0,0.9913430144989663,0.0,0.996986187777262,0.0,0.9999206432971651,0.0,0.9039452167095097,0.0,0.9996645378029531,0.0,0.005756961532356386,0.0,0.9758468404157215,0.0,0.003192670093988048,0.0,0.9981274979028565,0.0,0.9999806450935255,0.0,0.018837389744713273,0.0,0.9980737227199084,0.0,0.00033461262332257213,0.0,0.00039458290050042866,0.0,0.9975790037116755,0.0,0.9999029645885545,0.0,0.004731782147870289,0.0,0.022825182840554015,0.0,0.9998973461242204,0.0,0.9785352512966085,0.0,0.9997843165061959,0.0,3.69488089968506e-05,0.0,0.9918691089600428,0.0,0.044478327664719264,0.0,0.9935603500278909,0.0,0.00014698532522849916,0.0,0.9966777893822034,0.0,0.9978024768910565,0.0,0.9999634979806585,0.0,0.001065626344715409,0.0,0.9829590217852238,0.0,0.993403706711571,0.0,0.046732674260813845,0.0,0.962685917507609
CPI,300,3.624243974685669,0.9860088793144184,1.0,0.00029590481239339143,1.0,4.076145355512735e-08,1.0,0.0005820123014462988,1.0,2.399904314647942e-06,1.0,5.278884214006494e-06,1.0,2.7568846481786266e-06,1.0,4.0967163805097294e-08,1.0,0.25981370070823917,1.0,0.0006063104149448382,1.0,0.00015144103761773555,1.0,3.209854110547171e-11,1.0,0.002660731893728873,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.08755785822259182,0.0,1.0,0.0,0.23876146772522916,0.0,0.8701281733110013,0.0,1.0,0.0,0.31859233301924994,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.2029092678339518,0.0,1.0,0.0,1.0,0.0,0.5597130837482676,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.6126315214258846,0.0,1.0,0.0,1.0,0.0,0.19340900147051682,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.3502915516718046,0.0,0.2465520223441081,0.0,1.0,0.0,1.0,0.0,1.0
CPI_sqrt,300,3.597304582595825,0.9860088793144184,1.0,0.011156873642287088,1.0,0.015193077424609215,1.0,0.22593253951355707,1.0,0.15203443127274352,1.0,0.0006150581138630247,1.0,0.0036506231415627975,1.0,0.00032687516985932205,1.0,0.5090655568089961,1.0,0.37429916114491807,1.0,0.1432501530898404,1.0,0.018611236833559613,1.0,0.30831867809584235,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5005821706298207,0.0,0.5,0.0,0.5002020806651245,0.0,0.507537809335899,0.0,0.5,0.0,0.5007496939919406,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.4994493777210786,0.0,0.5,0.0,0.5,0.0,0.501981047273745,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.499611035573803,0.0,0.5,0.0,0.5,0.0,0.49799081836622994,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.508754203916177,0.0,0.5020114930532407,0.0,0.5,0.0,0.5,0.0,0.5
CPI_n,300,3.5969042778015137,0.9860088793144184,1.0,0.0001273726570184722,1.0,5.97405969321009e-09,1.0,0.01057023452766704,1.0,0.0009001356260238548,1.0,3.1835966571503006e-08,1.0,1.3411935698509803e-07,1.0,1.7825048388851834e-05,1.0,0.49193780224768474,1.0,0.016677243440428483,1.0,0.0013028601833898102,1.0,2.414893943451959e-07,1.0,0.042187930836666006,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.4930466279949494,0.0,0.5,0.0,0.5046758018690576,0.0,0.5461257871529562,0.0,0.5,0.0,0.4987721560756035,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.4866908565811635,0.0,0.5,0.0,0.5,0.0,0.5079271672242791,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.533201043573019,0.0,0.5,0.0,0.5,0.0,0.45689605192734944,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5035334835317713,0.0,0.5258193492291715,0.0,0.5,0.0,0.5,0.0,0.5
CPI_bt,300,3.616666793823242,0.9860088793144184,1.0,0.0030849092929204234,1.0,2.0452843306048565e-23,1.0,5.8157919311663656e-08,1.0,8.625835141039385e-11,1.0,5.244232321700936e-05,1.0,5.494850313076068e-07,1.0,0.0004319529572274511,1.0,0.6730070537650088,1.0,0.0002592627163962552,1.0,2.6340195746252655e-13,1.0,2.3233006390858752e-12,1.0,8.517063044226771e-05,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.48719236104367003,0.0,0.5,0.0,0.5064729997583746,0.0,0.5496987327163224,0.0,0.5,0.0,0.48266512330597616,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5194451113726033,0.0,0.5,0.0,0.5,0.0,0.48755963909391503,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5719014493232477,0.0,0.5,0.0,0.5,0.0,0.42286090513081426,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5029353155558679,0.0,0.4857502173348341,0.0,0.5,0.0,0.5,0.0,0.5
CPI_sqd,300,3.6344447135925293,0.9860088793144184,1.0,0.07862942302349152,1.0,1.114436017802742e-15,1.0,1.0198589692248956e-30,1.0,1.0427887630872066e-45,1.0,0.001849219864355931,1.0,5.400354462232332e-07,1.0,0.0009615605911923355,1.0,0.9999999571935686,1.0,1.5170414172937091e-124,1.0,1.51047052303108e-15,1.0,4.885964549175878e-21,1.0,9.708634892615462e-84,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.03896134491071376,0.0,0.5,0.0,0.7164588054747141,0.0,1.0,0.0,0.5,0.0,1.0476343028236871e-08,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.999998631567004,0.0,0.5,0.0,0.5,0.0,0.5897468319104906,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.9999972639422927,0.0,0.5,0.0,0.5,0.0,2.2388408601500804e-18,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.9711247253654957,0.0,0.0019365213414717802,0.0,0.5,0.0,0.5,0.0,0.5
S-CPI,300,3.709946632385254,0.9860088793144184,1.0,0.0011220180876234133,1.0,7.156478358371716e-08,1.0,7.388006078250522e-06,1.0,0.002724323743603035,1.0,5.421666968204041e-07,1.0,5.741086366361679e-06,1.0,3.0314375994406997e-05,1.0,0.879185946148891,1.0,0.004836870101532354,1.0,0.0011189424104562687,1.0,5.520490724422076e-09,1.0,0.03621647206913451,0.0,0.806719413956811,0.0,0.806719413956811,0.0,0.806719413956811,0.0,0.806719413956811,0.0,0.806719413956811,0.0,0.461538607793636,0.0,0.806719413956811,0.0,0.7336006579209391,0.0,0.9587229588600731,0.0,0.806719413956811,0.0,0.7422012381189551,0.0,0.806719413956811,0.0,0.806719413956811,0.0,0.806719413956811,0.0,0.34621023382869376,0.0,0.806719413956811,0.0,0.806719413956811,0.0,0.695830634926351,0.0,0.806719413956811,0.0,0.806719413956811,0.0,0.806719413956811,0.0,0.806719413956811,0.0,0.806719413956811,0.0,0.7431442544725868,0.0,0.806719413956811,0.0,0.806719413956811,0.0,0.11863448326480908,0.0,0.806719413956811,0.0,0.806719413956811,0.0,0.806719413956811,0.0,0.806719413956811,0.0,0.806719413956811,0.0,0.806719413956811,0.0,0.35897366453567425,0.0,0.4527185581338408,0.0,0.806719413956811,0.0,0.806719413956811,0.0,0.806719413956811
S-CPI_sqrt,300,3.7090981006622314,0.9860088793144184,1.0,0.007890053320718998,1.0,0.00831233720404291,1.0,0.20760045027851587,1.0,0.15039366664469617,1.0,0.0009295253712194806,1.0,0.006010855323606416,1.0,0.0011145564253992905,1.0,0.5131287589610664,1.0,0.35084462682513096,1.0,0.15456043385573054,1.0,0.030322173670655164,1.0,0.36932851198144045,0.0,0.5000000000000002,0.0,0.5000000000000002,0.0,0.5000000000000002,0.0,0.5000000000000002,0.0,0.5000000000000002,0.0,0.5002433868267154,0.0,0.5000000000000002,0.0,0.500872154049692,0.0,0.5146056559259179,0.0,0.5000000000000002,0.0,0.501344549882837,0.0,0.5000000000000002,0.0,0.5000000000000002,0.0,0.5000000000000002,0.0,0.5000741171277308,0.0,0.5000000000000002,0.0,0.5000000000000002,0.0,0.5007182520981537,0.0,0.5000000000000002,0.0,0.5000000000000002,0.0,0.5000000000000002,0.0,0.5000000000000002,0.0,0.5000000000000002,0.0,0.5051542471562938,0.0,0.5000000000000002,0.0,0.5000000000000002,0.0,0.4912011798495169,0.0,0.5000000000000002,0.0,0.5000000000000002,0.0,0.5000000000000002,0.0,0.5000000000000002,0.0,0.5000000000000002,0.0,0.5000000000000002,0.0,0.4995520835008649,0.0,0.50317323041361,0.0,0.5000000000000002,0.0,0.5000000000000002,0.0,0.5000000000000002
S-CPI_n,300,3.7095210552215576,0.9860088793144184,1.0,0.004444880421273458,1.0,8.422421324412168e-07,1.0,0.0017572319913743005,1.0,0.002446466302202453,1.0,1.2304996576630045e-06,1.0,1.7246591839904627e-05,1.0,3.4221588611548963e-05,1.0,0.6346939372547175,1.0,0.04835536159647046,1.0,0.00458695931220031,1.0,1.1210263492958918e-06,1.0,0.09629686733183218,0.0,0.5000000000000018,0.0,0.5000000000000018,0.0,0.5000000000000018,0.0,0.5000000000000018,0.0,0.5000000000000018,0.0,0.4949094286989985,0.0,0.5000000000000018,0.0,0.5075537586914808,0.0,0.5709364252460939,0.0,0.5000000000000018,0.0,0.4884822046829663,0.0,0.5000000000000018,0.0,0.5000000000000018,0.0,0.5000000000000018,0.0,0.5173552069536895,0.0,0.5000000000000018,0.0,0.5000000000000018,0.0,0.5253217568275553,0.0,0.5000000000000018,0.0,0.5000000000000018,0.0,0.5000000000000018,0.0,0.5000000000000018,0.0,0.5000000000000018,0.0,0.5760982137641357,0.0,0.5000000000000018,0.0,0.5000000000000018,0.0,0.41089730391094115,0.0,0.5000000000000018,0.0,0.5000000000000018,0.0,0.5000000000000018,0.0,0.5000000000000018,0.0,0.5000000000000018,0.0,0.5000000000000018,0.0,0.533756740857128,0.0,0.5148285247845991,0.0,0.5000000000000018,0.0,0.5000000000000018,0.0,0.5000000000000018
S-CPI_bt,300,3.904360294342041,0.9860088793144184,1.0,0.21666955321232184,1.0,1.5629983034118133e-05,1.0,2.57698982103752e-13,1.0,4.3952491589513164e-05,1.0,0.010119917929803057,1.0,5.470928802566309e-05,1.0,0.00031201644444037846,1.0,0.5401470261018959,1.0,0.0005577710068608746,1.0,9.792718472287043e-06,1.0,5.675002839981109e-14,1.0,0.00022155358727637189,0.0,0.5000000000000018,0.0,0.5000000000000018,0.0,0.5000000000000018,0.0,0.5000000000000018,0.0,0.5000000000000018,0.0,0.49777040876018835,0.0,0.5000000000000018,0.0,0.5033696028648449,0.0,0.5941881842492747,0.0,0.5000000000000018,0.0,0.5173536516495909,0.0,0.5000000000000018,0.0,0.5000000000000018,0.0,0.5000000000000018,0.0,0.4907353870005702,0.0,0.5000000000000018,0.0,0.5000000000000018,0.0,0.5018854442350746,0.0,0.5000000000000018,0.0,0.5000000000000018,0.0,0.5000000000000018,0.0,0.5000000000000018,0.0,0.5000000000000018,0.0,0.5769597278198308,0.0,0.5000000000000018,0.0,0.5000000000000018,0.0,0.42141685271628837,0.0,0.5000000000000018,0.0,0.5000000000000018,0.0,0.5000000000000018,0.0,0.5000000000000018,0.0,0.5000000000000018,0.0,0.5000000000000018,0.0,0.5321676303280928,0.0,0.5111784864786499,0.0,0.5000000000000018,0.0,0.5000000000000018,0.0,0.5000000000000018
