method,n,tr_time,r2_test,tr_V0,pval0,tr_V1,pval1,tr_V2,pval2,tr_V3,pval3,tr_V4,pval4,tr_V5,pval5,tr_V6,pval6,tr_V7,pval7,tr_V8,pval8,tr_V9,pval9,tr_V10,pval10,tr_V11,pval11,tr_V12,pval12,tr_V13,pval13,tr_V14,pval14,tr_V15,pval15,tr_V16,pval16,tr_V17,pval17,tr_V18,pval18,tr_V19,pval19,tr_V20,pval20,tr_V21,pval21,tr_V22,pval22,tr_V23,pval23,tr_V24,pval24,tr_V25,pval25,tr_V26,pval26,tr_V27,pval27,tr_V28,pval28,tr_V29,pval29,tr_V30,pval30,tr_V31,pval31,tr_V32,pval32,tr_V33,pval33,tr_V34,pval34,tr_V35,pval35,tr_V36,pval36,tr_V37,pval37,tr_V38,pval38,tr_V39,pval39,tr_V40,pval40,tr_V41,pval41,tr_V42,pval42,tr_V43,pval43,tr_V44,pval44,tr_V45,pval45,tr_V46,pval46,tr_V47,pval47,tr_V48,pval48,tr_V49,pval49
LOCO-W,300,69.56679081916809,0.31292948622489547,0.0,0.11045479695173355,0.0,0.8386465956946036,0.0,0.999999999999825,1.0,0.9999999999983465,0.0,6.063670934441934e-05,0.0,0.9370593008682137,0.0,9.992007221626409e-16,0.0,2.170072487261976e-07,0.0,3.9268033269479474e-11,0.0,0.09827049211468553,0.0,4.0611958240788226e-13,1.0,0.9264428647771749,0.0,0.9999999999999996,0.0,0.4398702954580759,1.0,0.9999999999909639,0.0,0.000345606842295787,0.0,2.8675145591350315e-09,0.0,0.9999999696410294,0.0,5.465092155265694e-05,0.0,2.7343134430535265e-05,0.0,0.7388514144753326,0.0,0.9843150078163461,1.0,0.12831626535323704,0.0,0.9906983897112396,0.0,0.9999999342970954,0.0,0.9999999998892016,1.0,0.0008687673814931074,0.0,0.999767446288142,1.0,4.979683104755495e-07,0.0,0.00535240807615478,0.0,0.999999999999878,1.0,0.9999892155074974,0.0,0.9982530070793195,1.0,9.518341917424955e-06,0.0,0.9979689453218762,0.0,0.9999945332393153,1.0,0.00034646350641487356,0.0,0.7537712393734184,0.0,9.386534621791398e-07,0.0,0.6705385978528707,0.0,0.9963363465810566,1.0,0.9984970476833059,1.0,4.6629367034256575e-15,0.0,0.1761495428008002,1.0,0.999999985434532,0.0,4.905954707923321e-06,0.0,1.0702549957386509e-13,0.0,0.7857081615091399,0.0,0.7292363874328827,0.0,0.9999999999894273
CPI,300,4.29889178276062,0.31292948622489547,0.0,0.6716654536018325,0.0,0.1783058882249995,0.0,0.13516406008200915,1.0,0.968584067169967,0.0,0.531618927639923,0.0,0.6496870831242681,0.0,0.5192236992912154,0.0,0.8136816822212372,0.0,0.2323666906408408,0.0,0.9505715016773989,0.0,0.21703552463942294,1.0,0.04982205918137854,0.0,0.10171769028519911,0.0,0.467778541614464,1.0,0.6266719588722782,0.0,0.08267089490264734,0.0,0.2985417598002199,0.0,0.046752782629048015,0.0,0.4996171590646067,0.0,0.15362475158489158,0.0,0.8661779389460504,0.0,0.1345587627371551,1.0,0.9574040713040386,0.0,0.06309202849358758,0.0,0.9218298309852044,0.0,0.4305166084126887,1.0,0.076748284207759,0.0,0.05614861191521596,1.0,0.3034300885281469,0.0,0.7083649615923729,0.0,0.8535273935580123,1.0,0.3952935567857952,0.0,0.7030850829455574,1.0,0.012587076627984436,0.0,0.17035129572633417,0.0,0.45085347878344617,1.0,0.038285164694911264,0.0,0.20709055993991787,0.0,0.19926394168009526,0.0,0.24207110361985879,0.0,0.30833789892222896,1.0,0.024471878865414853,1.0,0.5180653404443987,0.0,0.7772529346816273,1.0,0.05092840000824519,0.0,0.210179490265527,0.0,0.6997195586619864,0.0,0.15764505132886575,0.0,0.6093539209686035,0.0,0.6997986705021491
CPI_sqrt,300,4.27813458442688,0.31292948622489547,0.0,0.5206154501271609,0.0,0.5013206794859602,0.0,0.5089461589130718,1.0,0.4973556667184825,0.0,0.48388994813028113,0.0,0.5161982376218801,0.0,0.49587551396452945,0.0,0.5011735432338469,0.0,0.4917065907874653,0.0,0.5070131283673167,0.0,0.49235160305058406,1.0,0.4142385237870478,0.0,0.47625550018535495,0.0,0.4982114192353554,1.0,0.4858597917720343,0.0,0.5026881587703805,0.0,0.49807111151926925,0.0,0.4971889144464389,0.0,0.5071194088757599,0.0,0.5047328143662222,0.0,0.500222305709225,0.0,0.501108556309407,1.0,0.4979178790539916,0.0,0.4966198408538231,0.0,0.505786221241442,0.0,0.4934964293237469,1.0,0.43226217477339685,0.0,0.49287118399509333,1.0,0.4944146617987108,0.0,0.5036303343617037,0.0,0.5084860869182076,1.0,0.48743593169852467,0.0,0.5100293887816869,1.0,0.5167420126582387,0.0,0.47976120110531134,0.0,0.5004686156676368,1.0,0.5061796746446334,0.0,0.5221975517839125,0.0,0.49304748388393843,0.0,0.4953966755908989,0.0,0.49753688647968736,1.0,0.4960646998614294,1.0,0.4948680884788143,0.0,0.5083644683288329,1.0,0.4280253322917856,0.0,0.4710021261143514,0.0,0.49993478401245295,0.0,0.503129006869567,0.0,0.4933066475193905,0.0,0.49916950369425295
CPI_n,300,4.279970169067383,0.31292948622489547,0.0,0.6594174652510524,0.0,0.47278347479827487,0.0,0.48938950788578495,1.0,0.5157320667142468,0.0,0.6389424604185584,0.0,0.5836402104961216,0.0,0.42324456612890893,0.0,0.5343471599960836,0.0,0.49828868790385417,0.0,0.5383151582421873,0.0,0.33879490954735086,1.0,0.26673272445014995,0.0,0.5398816296060241,0.0,0.536990054630248,1.0,0.7200650383863634,0.0,0.4437447733043266,0.0,0.4715222445511885,0.0,0.5032758854160735,0.0,0.5627627140143077,0.0,0.5495828504805207,0.0,0.43711407171678685,0.0,0.48710419941155697,1.0,0.6479205323713964,0.0,0.5046844434546193,0.0,0.5265795574165975,0.0,0.5139991023964036,1.0,0.12606480252720748,0.0,0.46188543590252745,1.0,0.4483195864261076,0.0,0.509080923465224,0.0,0.4802377709889288,1.0,0.49320101713896464,0.0,0.6797760469487464,1.0,0.11997042690905302,0.0,0.2772298493622223,0.0,0.48333799600065996,1.0,0.5060428863322524,0.0,0.6085584575396036,0.0,0.4801888250575693,0.0,0.42493526059505315,0.0,0.5046586125621574,1.0,0.5316802382183419,1.0,0.4548268254612765,0.0,0.424683324273877,1.0,0.06393441038997676,0.0,0.34543319842415454,0.0,0.5896674478798272,0.0,0.654065120535702,0.0,0.5310963228073363,0.0,0.5185328615116591
CPI_bt,300,4.465876817703247,0.31292948622489547,0.0,0.6735134458595395,0.0,0.44561338344055784,0.0,0.4503030404037094,1.0,0.45846792436448186,0.0,0.6502771073625307,0.0,0.6244743680706065,0.0,0.47696699470892956,0.0,0.5143048384792607,0.0,0.3809632506853909,0.0,0.5109411284365954,0.0,0.4033758507198118,1.0,0.12458278054096378,0.0,0.5099321975438005,0.0,0.6221526891111899,1.0,0.17627511379086092,0.0,0.4652363165075407,0.0,0.4440278089090519,0.0,0.4665394138229085,0.0,0.58841461797924,0.0,0.5855792263317151,0.0,0.48927508435843514,0.0,0.5139939830425885,1.0,0.6101916787139338,0.0,0.5055627289172212,0.0,0.5666276747016111,0.0,0.605956534273914,1.0,0.06883219256117216,0.0,0.3599715868397637,1.0,0.5242385696331031,0.0,0.5174956850153527,0.0,0.5218053300197583,1.0,0.41930518225501834,0.0,0.6585839791411014,1.0,0.32186927434762425,0.0,0.10467986329349677,0.0,0.6193249166487563,1.0,0.514842623838408,0.0,0.3822785386042099,0.0,0.44701370935913387,0.0,0.3918501760318468,0.0,0.46625144450675027,1.0,0.4287492543751309,1.0,0.6460473580235567,0.0,0.5566086904589421,1.0,1.790591717808392e-05,0.0,0.14298931379160973,0.0,0.517781531981998,0.0,0.5679485736083598,0.0,0.47992196383762514,0.0,0.551867655903073
CPI_sqd,300,4.475498199462891,0.31292948622489547,0.0,1.0,0.0,0.4099311455542041,0.0,7.60604365046075e-18,1.0,4.0650025535668965e-91,0.0,1.0,0.0,0.9999977899324263,0.0,0.0,0.0,0.9999999999999927,0.0,9.184174924730532e-269,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.9313618338847455e-15,0.0,0.9918712519673454,1.0,0.0,0.0,0.14298380394166021,0.0,1.0,0.0,1.7135073842417517e-183,0.0,1.0,0.0,5.345708670380812e-13,0.0,1.0,0.0,9.946501297097149e-10,1.0,1.0,0.0,0.999999995309347,0.0,1.0,0.0,0.010178904443124435,1.0,0.0,0.0,5.914875340414387e-188,1.0,1.0,0.0,1.0,0.0,0.9999988678503939,1.0,5.187581432482076e-38,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.9999999446436635,1.0,3.039728695075702e-46,0.0,1.936312341385111e-93,0.0,0.9947371574689653,0.0,8.93591245381976e-21,0.0,1.0,1.0,0.9999999925954304,1.0,3.648175545961109e-07,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0370852722471277e-07,0.0,1.0,0.0,0.01899163924352101,0.0,0.5770245846013335
S-CPI,300,4.724569082260132,0.31292948622489547,0.0,0.8359848615922371,0.0,0.288772742286739,0.0,0.37290733506197704,1.0,0.6498686075336156,0.0,0.6223999231230462,0.0,0.8604469911837678,0.0,0.19351501553159356,0.0,0.8632318038639903,0.0,0.38739082441247585,0.0,0.8667389406990647,0.0,0.026165479144309608,1.0,0.22768240511459342,0.0,0.1493424583145313,0.0,0.7516524787398178,1.0,0.324855376872513,0.0,0.08192639620133751,0.0,0.6653767031068575,0.0,0.16774225718699476,0.0,0.7840719365980617,0.0,0.6623439973520544,0.0,0.33713675125966414,0.0,0.35519627766132333,1.0,0.9934977554572985,0.0,0.6488035101873193,0.0,0.9913474684727301,0.0,0.6945273001326167,1.0,0.22419909144493105,0.0,0.019683346846319713,1.0,0.5497532408395782,0.0,0.8815540342236269,0.0,0.833947257268189,1.0,0.2639282085037965,0.0,0.9011035106226564,1.0,0.28989943722248823,0.0,0.028133020614686855,0.0,0.7698584404175779,1.0,0.5927118962958431,0.0,0.7243381435687188,0.0,0.6041609181369126,0.0,0.1018453545165452,0.0,0.7078546437317143,1.0,0.5296651284490334,1.0,0.3944016511460152,0.0,0.6700160145850299,1.0,0.006829464883494021,0.0,0.03552955620003855,0.0,0.4297052858135296,0.0,0.7285497283591529,0.0,0.5474219713451941,0.0,0.7618321220895643
S-CPI_sqrt,300,4.735020637512207,0.31292948622489547,0.0,0.5339319530523646,0.0,0.49370869994941335,0.0,0.5025241771367837,1.0,0.499996538764491,0.0,0.4819550420081054,0.0,0.5102236299156665,0.0,0.4897057279295261,0.0,0.5072150884536263,0.0,0.4912888094772793,0.0,0.5070006209216666,0.0,0.4820043467339088,1.0,0.45872088331536676,0.0,0.48683866263856146,0.0,0.5145457328167189,1.0,0.47684295090913875,0.0,0.49031312197927357,0.0,0.5120986447603858,0.0,0.49383958491966407,0.0,0.5130609371160544,0.0,0.5044192793827867,0.0,0.49596971225091435,0.0,0.4991749100453685,1.0,0.5237425978419954,0.0,0.5022556017290917,0.0,0.5051726279711785,0.0,0.500364783445137,1.0,0.439056595977954,0.0,0.4897751234821953,1.0,0.49729655735107964,0.0,0.5072854401302048,0.0,0.5185216058698142,1.0,0.489121787818932,0.0,0.524852812305717,1.0,0.48000445603505026,0.0,0.45590992812253883,0.0,0.4972435128180403,1.0,0.4997962360896029,0.0,0.51618189094039,0.0,0.5006974085513043,0.0,0.48842141530086797,0.0,0.501138480685614,1.0,0.4968132562286423,1.0,0.495433106795231,0.0,0.5119076543883513,1.0,0.3247819743847735,0.0,0.46408800957023133,0.0,0.4941493669303698,0.0,0.516337063062317,0.0,0.5054459054452667,0.0,0.5066604865040778
S-CPI_n,300,4.724534273147583,0.31292948622489547,0.0,0.7249450439586922,0.0,0.4399398696843833,0.0,0.48286700967439644,1.0,0.5542109756659024,0.0,0.5316460418752031,0.0,0.5838265036702892,0.0,0.44142102120285925,0.0,0.5734058504040338,0.0,0.4110696511590885,0.0,0.5526440008876357,0.0,0.3791623974272651,1.0,0.438266401274291,0.0,0.3639620496490202,0.0,0.5768409353773758,1.0,0.4843149672627571,0.0,0.4598670760689229,0.0,0.6055403872543368,0.0,0.4446840463653604,0.0,0.5870145275221823,0.0,0.5653756003930152,0.0,0.4601198566542367,0.0,0.49062737589293837,1.0,0.6964259409360579,0.0,0.5245281169475449,0.0,0.5511564385287359,0.0,0.5141760130091183,1.0,0.28694420889548866,0.0,0.382468396709846,1.0,0.4682874330460292,0.0,0.5895088503524638,0.0,0.6085534249162062,1.0,0.43828868817511357,0.0,0.6677211062048024,1.0,0.5006883480411013,0.0,0.24533527017577927,0.0,0.5113820798538647,1.0,0.47031094539235374,0.0,0.6192024366667203,0.0,0.48650578839706676,0.0,0.41441328027874935,0.0,0.5047068423674584,1.0,0.47043826797069027,1.0,0.5917624911256099,0.0,0.578335319951318,1.0,0.027688674391633757,0.0,0.35418708112465813,0.0,0.4941462370669313,0.0,0.614253646307362,0.0,0.5262085602390563,0.0,0.5482423804809422
S-CPI_bt,300,4.9149134159088135,0.31292948622489547,0.0,0.7030286281735332,0.0,0.4708274336147162,0.0,0.4945186088530393,1.0,0.49609006575364684,0.0,0.6230454953856435,0.0,0.6141607596362838,0.0,0.3791317371420529,0.0,0.5920317638692951,0.0,0.42958433302955895,0.0,0.5693993755905008,0.0,0.19074298266678186,1.0,0.5477757558461284,0.0,0.3437589061619015,0.0,0.6569178661747201,1.0,0.2531289611963506,0.0,0.4334075397330929,0.0,0.5743967945992374,0.0,0.426157093922889,0.0,0.606446337787524,0.0,0.591082745582713,0.0,0.4809631806269087,0.0,0.47558225631376794,1.0,0.7053541205103188,0.0,0.5305676353931976,0.0,0.5807618914894126,0.0,0.6049195167574143,1.0,0.18683601476262124,0.0,0.34368910789019197,1.0,0.49758805143473256,0.0,0.5879273446177445,0.0,0.6184427066068797,1.0,0.44028614753358497,0.0,0.7037242222634377,1.0,0.39608070296874853,0.0,0.26138193594710896,0.0,0.5414025813519556,1.0,0.5233796980097347,0.0,0.5596015710177523,0.0,0.5019224909306162,0.0,0.4137175917550029,0.0,0.49760326486691264,1.0,0.47607858321349744,1.0,0.5164076344942352,0.0,0.6040109990270723,1.0,1.7999191206599994e-06,0.0,0.13821399540945084,0.0,0.5076428132290346,0.0,0.6523636969860094,0.0,0.49367796238886663,0.0,0.5672556417580678
